http://movie.douban.com/subject/4751653/	怒火街头 怒火街頭
(5星)	2011最喜欢的港剧，结尾的时候sweet死了～～郑嘉颖果然还是适合这种痞痞的角色啊，8爷那种温润如玉反而只会透出猥琐感。胡杏儿越来越漂亮了，脸那个小啊
(4星)	真心不喜欢胡杏儿和她演的急迫上位大律师的角色。
(4星)	等待第二部
(3星)	KC演的 正常吧 胡杏儿我依旧当酱油看 林子善还是适合演小混混 SAM同学怎么也演歌情种呢 滕丽名就算师奶了我还是喜欢 整部戏看得好平淡 不入戏 现在在拍2了 为了灿森 还是看吧。。。
(5星)	如果你想零星的时间用来脑残地大笑，也顺便看看一个男人的浪子风情，推荐。
(4星)	片名简直是乱译啊！看到名字以为讲街头小混混恩怨情仇的有没有！！
(4星)	索腿天后死得好惨！
(3星)	喜欢李灿森，看好林子善
(NA)	凑合。
(5星)	郑嘉颖很贱~
(4星)	这一对好可爱
(4星)	在我眼中你像他
(NA)	李灿森李灿森李灿森~~~~~~~~❤。一直不喜歡胡杏兒也是現在才看完這劇的最大原因錒。造型實在是沒什麽話來評價……
(3星)	郑嘉颖的新风格我还真不能接受。
(4星)	其实罗力亚爱的是蒋状吧！！！
(4星)	《怒火街头》看完了，依然是香港喜欢拍的题材，呼吁正义与公平，把平凡人的温暖和法律的威严结合在一起，又有亲情爱情和友情，感人至深。
(4星)	郑嘉颖最适合有文化的痞子那种腔调，看的时候很容易变成苏。但是囧萌囧萌的李璨琛更值得爱!!!TVB剧情愈发是浮云&amp;怎么都喜欢不来陈敏之
(3星)	哈哈哈李灿森这个酱油打得...
(4星)	郑嘉颖为这部戏真是牺牲不少啊
(3星)	挺好看的。可是。郑嘉颖实在无感，硬生生的扣了一分，好吧我不理智。胡杏儿貌似又难看了点。。囧~~~~
(3星)	鄭嘉穎太做作，胡杏兒太誇張
(5星)	我覺得米佐治最可愛了……
(5星)	法律元素包装下的偶像剧。人物剧情冲突不断，很吸引眼球。
(3星)	不好看啊。。。突然一下就没了
(4星)	律师剧里头警察和法庭、陪审都是鸡肋
(4星)	喜歡李燦森呀格子襯衫好好睇呀 胡杏兒再醜點兒唄 陳奐仁好靈呀
(NA)	结局如此狗血是为哪般…
(3星)	看着胡杏儿有点烦
(5星)	有郑嘉颖！有胡杏儿！值得一看！
(3星)	如果有续集 能不能不要胡杏儿 
(4星)	精致的好剧，同时我要说：TVB有一种魔力，甭管你是多愤青的一个人，看了港剧，总会感觉非常温馨，这个世界超美好。。。。
(4星)	郑嘉颖一点一点可爱起来
(5星)	我还是觉得虎头蛇尾了，浪费了陀枪师姐。。
(4星)	朋友推荐说是今年最好港剧，看了的确不错，虽然没有多少轰轰烈烈，不错还是有不少亮点，最好贞贞死的真的很可惜
(3星)	除了男女主角不够讨喜，配角不够出彩，情节略有bug，也还能一看。
(4星)	有李灿森！！！怎能错过呢。。
(4星)	6集弃
(NA)	超级喜欢LA这个角色啊，迷死人了！
(NA)	这部真的是今年看的最好的了，虽然有点虎头蛇尾
(3星)	TVB的现代剧都是一个套路了，之前看的黄子华佘诗曼的那个戏也是这样，快速看完，娱乐一下。郑嘉颖现在已经完全不是我的菜了，胡杏儿这次的造型蛮成功的，刚开始看的时候觉得很亮眼，不过后面发现她还是胡杏儿……
(4星)	最后一集看得我哭死了，越来越钟意Law霸了
(3星)	不为看别的，就为看KC吃面！！！！！故事假得要死，看到李灿森出现在这种片子中已经很奇怪了，更怪的是那个角色。
(4星)	俾翻索腿天后我!
(2星)	tvb真是越来越渣了。。。。实在看不下去啊
(4星)	其實很久很久沒看港劇，只不過忽然有人推介，就...
(4星)	仓促你妹！
(5星)	剧情什么的还是蛮喜欢的
(5星)	李璨琛一個人就值五星了 可惜是個bad ending
(3星)	三星半把。
(4星)	蒋大壮的那个助理VICTOR叫什么名字啊！？
(4星)	好久不看TVB这部不错 ~
(4星)	四兄弟平时说话挺搞笑的。
(4星)	之前好讨厌KC的，但为什么越来越帅？？这套剧非常好看！TVB水准回来了。
(NA)	我心中的三元啊杨不悔啊就这样开始了演绎师奶的生涯了！！！
(NA)	整体还不错看~
(3星)	歌不错
(4星)	难得2011年真正好睇想追嘅TVB剧集。羅大狀你飲茶可唔可以去多幾個地方？
(4星)	现在郑先生可真喜欢吊儿郎当，内心阳光啊。但这片儿虎头蛇尾啊
(4星)	4個男人都鍾意！
(4星)	郑嘉颖，你还记得当年的江玉郎吗。~
(5星)	李灿森
(3星)	早年就喜欢李灿森= =剧里最喜欢何利贞··他们两个在这个剧里最后太悲催了。。
(4星)	装逼少女喜欢李灿森诺
(NA)	郑嘉颖演得好浮夸
(3星)	为了Sam才看啊！这是个什么ending啊！最好真的有第二部！但是，请不要再找胡杏儿！我就是不喜欢她！
(4星)	陈敏之果然是索腿天后，连我这种肥妹控都动心了
(NA)	什么今年比较好的片也算挺难看了 就是冲着陈敏之的长腿跟一众男配角啊!!!!!!!!!!!
(4星)	胡杏儿很可爱~！
(4星)	KC靓仔~
(5星)	胡杏儿的发型不敢恭维
(NA)	李灿森！！！！！！！！！！！！！
(3星)	冲着李灿森看的
(5星)	仿佛被人偷偷按了倒退键 重回小时候做一名忠实的电视剧迷 每天晚上一集慢慢的追。胡杏儿借剧翻身啊 仔细看你也确实不是那么讨厌吗。要是郑嘉颖作秀做姿态的痕迹不那么重的话 我怕这部剧要越过《巾帼枭雄》取代在我心里的地位了。这么好的骨架不多拍几个case 只拍20集 实在是太可惜了。
(3星)	很久没看港剧了 这剧怎么这样啊！它把每个人物的背景和故事介绍完，人物性格也塑造好，故事还没展开，然后就完了！！！完了？！坑爹呐！！最后一集也太省事了吧！随随便便就把诉讼拍了。。。要拍第二部也不带这样的。。。
(4星)	a SAM!!!!!
(NA)	SAM LEE~~~wor~~~
(5星)	今年第二部从头到尾看完的剧再次献给KC 尽管虎头蛇尾...
(3星)	看李灿森来着的 胡杏儿有多讨厌就有多讨厌啊
(NA)	米佐治是我看下去的理由
(3星)	主要还是为了看看李灿森的！
(3星)	结局好烂- -
(5星)	深水埗平民风确实温馨动人。有关公义与良心的探寻，放置法律界向来大有看头。其实这剧也有很多TVB式套路，如贤惠主妇的模式化生产（虽滕丽名依然很让人心疼），但LAW霸独特的个人气场真的很有味道，与王思苦等人的对手也颇见火花，妓女贞贞更是对整个世俗偏见的讽刺。冲动下就想给港剧加个分，鼓励下。
(4星)	理想主义者，值得敬佩．
(4星)	与以往很不一样的TVB！嘻哈音乐的片头曲，紧凑的节奏（20集），全局没有家族战争，更令人惊奇的是！！---是！居然没人得癌症。。太没TVB风范了。名字也很标题党--怒火街头以为是警匪片，进去一看是司法律师片，为底层人出头，正义公益良知~。
(3星)	看港剧最要紧呢是不要太较真，套路神马的只要保证收视即可，还可以普及香港法律知识。
(4星)	港剧就是这种，你完全知道剧情的走向，也忍不住要把它看完的东西
(4星)	短了点儿
(4星)	算不错的法律剧啊
(4星)	一o一
(3星)	你啲究竟是律師還是法醫法證警察的兼職人員啊！
(3星)	Kris的迷途知返戲劇性得完全是為了happy ending吧……一點鋪墊都沒有，沒辦法收貨wor~鄭嘉穎的表演算是有那麽點突破，起碼不是木頭人了；石修好臉譜化；好鐘意李燦森~~
(4星)	看到滚床单哭着弃剧~~o(&gt;_&lt;)o ~~
(4星)	本来是因为李灿森才看的，看后才发现是难得的好剧
(3星)	我是彻底中KC的毒了，我都N年没看港剧了，看惯了傲骨贤妻这样的美式法庭剧，感觉港片有时候真够脑残的，不过港片最令人动容的就是那种街坊亲友之间的暖暖感情和人情味，这点恰巧是硬邦邦的美剧和英剧没有的，可能这个就是文化差异吧
(5星)	难得的好剧，完全被郑给吸引了，嘻嘻闹闹不正经，其实满怀正义之心。年轻时谁不曾犯错不曾走过歪路，只要你把它扭正了，走直了，就是你自己的路。杏儿又不讨喜了。。。期待2。还有啊，老八啊，也深得我心啊！！！
(3星)	好像是我完整看的第一部TVB。剧情整体感觉不是太紧凑，前几个案子太平淡，人物都出过场以后，没什么事只好谈恋爱，第11集是不是有点儿早？接下来律师故事就快变侦探小说了。
(3星)	不管其他人怎么高度评价，实在无法接受一部法政片如此情绪化，不尊重法律精神，过多的煽情，我情愿最后kris因为悲愤作为控方律师，而law霸为了维护法律的公正，坚信PK无故意杀人动机，为PK辩护，然后在正义的前提下一较高下。这样才有始有终，不至于价值观混乱。
(4星)	看名还以为又是消防队。。
(3星)	看了一集，完全没劲，郑嘉颖居然能因此得视帝，真是没天理！！PS豆瓣上居然没有天与地！！！
(4星)	火花！燃！人生第一部真正的TVB
(5星)	胡杏儿。。。好瘦！我都认不出了。。。
(3星)	KC去年收获确实够大，大陆一部步步，本港台一部怒火——往前刷他就没有几个担正的戏演出神采的，主角花瓶命运简直诅咒一样……戏是短小精悍，有内容也有诚意，虽然不外乎TVB那点价值观，有点老套且说教mode。这部戏没有什么煞到我的萌点，但也没减分点。
(3星)	烂尾
(3星)	不错
(3星)	看多了还是会觉得有些模式化
(4星)	嬉笑怒骂
(4星)	其实还不错 不过还是觉得laughing应该是视帝！！
(5星)	太短了！不太能接受结尾的case和坐牢2年，这不是律政片了。
(5星)	是的，仅仅是因为正义，这才是大家喜欢这部片子的原因，看多了勾心斗角的宫廷剧，突然一部很温暖人心的片子，确实很喜欢。
(4星)	这部不错。
(3星)	男女主角的爱情线很窘阿。
(4星)	案子一般般，不过情节还算能看下去的，还是非常讨厌胡杏儿阿
(5星)	老港味 我喜欢
(4星)	不喜欢胡杏儿，喜欢郑嘉颖，不喜欢law霸，还是喜欢八爷。
(3星)	八爷就凭这Lao霸竟然能拿得到TVB影帝，是其他片都太烂了么？！片头曲是好听的，其他都很普通。
(4星)	律师真是不错的职业！
(4星)	我真的不喜欢胡杏儿~~~
(3星)	 郑嘉颖卖萌记 
(4星)	一宿舍人一起看到半夜才看完，很不错诶~顿时对TVB剧产生小好感诶~寒假就快来了~有事情做了~
(4星)	长得漂亮的都死掉了
(5星)	好喜欢四人组！
(4星)	还可以吧 讲律师人性的电视剧
(3星)	典型tvb
(4星)	最后那个镜头两个人好幸福~期待二
(3星)	主题曲还不错
(4星)	一个角色出彩表演给力、但剧本平平的剧~~得男主和女配意料之中~
(4星)	其实也就一般般啦。。。。。如果有三星半的话。。。。。。
(4星)	挺好看的 期待续集
(3星)	果然对tvb还是无感。。。
(4星)	为什么自卑，干吗要后悔，耶耶。
(4星)	本不喜欢郑嘉颖，看了后还是不太喜欢。。。
(4星)	KC在里面真好看啊真好看啊真好看啊真好看啊！
(5星)	看完最后一集可以打满分
(4星)	最近TVB肿么了 怎么每一个DJ的男主都会带着一个讨厌的女猪 让佘诗曼演就好了
(4星)	“贱人”是个褒义词
(4星)	20111220 胡杏儿真丑，她所在的情节都不那么自然。我怎么觉得女角写不好演不好是港剧的弊病呢。。而且看完法证看这个觉得审案若爆了……
(2星)	港剧的精彩程度真是逐年下降，甚至这部剧我完全觉得智商已经低于50了。开头很不错的5集之后就完全陷入了低谷，尽管我没有加快播放速度，但基本上是在当做背景音的状态下看完的。尤其是其中案件的处理，一张嘴加一些证据而已，就可以结案，简直就是误导。
(4星)	law霸!..几乎要重拾对KC的爱了..今次视帝实至名归
(5星)	结局胡杏儿加分 以前对KC一直是江玉郎的讨厌印象 改观以后可以看他演的别的片了~
(NA)	胡杏儿真是喜欢不起来啊，郑嘉颖不适合这样胡子拉碴的，还是干干净净比较好
(3星)	虽然是一部立足于草根阶层的电视剧，可胡编乱造剧情却是在嘲讽草根阶层的智商
(4星)	说真话，算我OUT吧，我是因为这部戏才喜欢郑嘉颖的。
(2星)	如果，你周末发烧，躺在床上无聊，看这个还不错
(3星)	美腿shi掉了好桑感！！好中意她跟阿sam！！！！还有梁师太的小儿子好萌！！！！
(5星)	 郑嘉颖 由此剧攞到 视帝 ~。。 众望所归。 确实不比 Laughing 哥差
(4星)	郑嘉颖的江玉郎阴影不散啊。。。
(3星)	片头有《混沌武士》的感觉。香港市民阶层生活扑面而来。还好只有二十集，否则要烂尾了。
(4星)	郑嘉颖很亮，凭此剧拿视帝也名副其实了。四天看完。索腿天后好漂亮啊。当然还有黄智雯
(3星)	看嘉颖哥拿奖的时候还以为这是一部多么豪华巨制的大片，结果就真的很普通= =然后滕丽名在里面好挫！
(5星)	意犹未尽
(4星)	欢喜剧
(3星)	以前对八爷木有感觉，现在看着好喜欢~~~
(5星)	爱law霸爱law霸爱law霸爱law霸爱law霸爱law霸爱law霸爱law霸爱law霸爱law霸
(3星)	很赞~~就喜欢这个调调的港剧~~不过结局有点仓促~~
(4星)	好看呐，好看呐，有些电视剧真的是一看就会被吸引的！~郑嘉颖在我心里的形象瞬间改变了。。
(5星)	郑嘉颖和胡杏儿都不错！其实胡杏儿蛮适合短发的
(3星)	虎头蛇尾
(3星)	大赢家お
(4星)	今年视帝视后交出的精彩佳作!
(3星)	看完《法政3》再看《怒火》的后果是：觉得里面的法政弱爆了啊！！
(4星)	如果没有胡杏儿就圆满了= = 
(4星)	law霸o(^_^)o
(4星)	好看倒是其次，关键是立意。Sam太潮了！林子善真是个好演员。石修气场太强大了。如果没有胡杏儿，这部剧该是多完美啊。喜欢这个结尾，当然，如果索腿天后没死就更好了。
(3星)	其一，最玩世不恭的一个却是最有情有义有信。再者，杏儿里头挺美 ：P
(3星)	怎么也喜欢不起来胡杏儿啊
(4星)	郑嘉颖的流氓气质我好喜欢啊~~~~
(4星)	好久没看到很好看的港剧了&gt;~&lt;虽然人选除了郑嘉颖，其余都不太喜欢，不过好在这部剧的剧情整体而言比最近几部都要好得多，紧凑得多。看惯了老郑正经的一面，看他不正经的一面好不习惯。。。不过却更喜欢这样外表不正经，内心却受煎熬的他。笑得太多了，鱼尾纹好深啊，果然还是岁月不饶人╮(╯_╰)╭
(3星)	无感，不肿么好看，KC老了。
(4星)	郑嘉颖确实适合演这样的双面浪子的角色。
(5星)	风格小独特。
(4星)	纯粹是为了郑嘉颖看的。。。。。。
(NA)	和法证先锋刚好是相反的。法证里面把律师说的很坏，没人性。怒火则把警察表现的很无能，更重要的是，法医不给力啊！这对我法证迷的，压力很大啊~~
(5星)	笑贫不笑娼。仍然喜欢陈敏之。
(3星)	亮点是李灿森，古惑仔变正义！
(4星)	更喜欢郑嘉颖！！！
(4星)	反正就是好看嘛~~~~
(5星)	请不要集体卖萌好伐。。
(4星)	虽然实在看不下去胡杏儿的脸，但是但是，TVB。。。
(5星)	真心不错，小人物的故事，大结局这一集很TVB，但又让人觉得不无聊，期待第二部～
(4星)	最近TVB的编剧来大姨妈咩，都是这种结局！
(4星)	滕丽名居然沦落到这种角色。。。好桑感。。。
(4星)	郑嘉颖还是在TVB里比较正常
(3星)	纯属扯蛋。
(4星)	又贱又可爱的KC
(4星)	挺好看的
(4星)	八阿哥演技不错的说
(4星)	我想吃鱼蛋。。。
(NA)	反正看到胡杏儿我就不高兴！！！
(3星)	同样是追剧无更新时的零食.有人说这部剧非常赞Law霸很霸气,我的感受是还好. 郑嘉颖我还是最爱你在法证里的样子.胡杏儿的律师形象倒是目前为止所有演过律师的花旦里我最喜欢的. 滕丽名啊你果真是迟暮了吗当年陀枪师姐我是多么喜欢你.
(4星)	难得案情有意思，爱情也很有爱，一点不雷，等第二部
(5星)	喜欢LAW霸，喜欢李灿森！
(5星)	爱死KC了，陈敏之好有气质啊~
(3星)	如果不是烂尾了，绝壁应该是四星啊魂淡！！！KC终于不用扮深情了，当然最爱还是李灿森，角色也很棒，律师戏侦探戏什么的果然还是TVB最有爱了~
(4星)	开头很吸引，又烂尾了 = = 这对CP组合无爱啊...不欢喜胡杏儿演这种性格，老聒噪额，跟鱼跃在花见里面的孖姜没什么大区别感觉，对她路人转微黑啊...里面的官司也是...看过BL，呢地真系湿湿碎，又一度拔高中心思想的公正公义...几个配角倒是几有亮点。主题曲倒很喜欢~重要的是看完这句对KC由路人转
(4星)	港味 好好味
(4星)	郑嘉颖留胡子挺好看的，在这里真的是挺帅的。真心的求不要再演古装剧了！！！！
(4星)	李灿森好像花栗鼠wwwww
(4星)	其实我是冲着八贤王来的
(5星)	做人呢，最重要的就是善良！（滕丽名好久没见了呀！灿森还是这么喜感！KC是彻底赖在邋遢路线上了！胡杏儿真的好丑啊！！！）
(4星)	一般不看，看一次都欲罢不能
(4星)	好剧。吃货law霸~~
(4星)	看KC。。。很赞啊！
(4星)	这才算高帅富好吧。。。。。。。
(5星)	KC实在很萌，几个兄弟也可爱，这几年看到的最有TVB精神的剧集
(5星)	kc痞死了
(NA)	法律
(4星)	讨厌胡杏儿
(4星)	好看！
(4星)	主演名单为什么不给关礼杰一个位置！！！
(3星)	结局有点莫名其妙 = =
(4星)	不喜欢觉得不好看的几位同学能不能给我解释下为什么觉得不好看啊！完全沉醉在对KC的花痴中剧情基本被我浮云掉了啊。还有李灿森这种潮男加陈敏之的美腿，连几个打酱油的被告之类的都很帅啊！姐灰常满意灰常喜欢啊！坐等2~
(3星)	点解TVB剧还是这么老套，boring的很！KC的气质不适合law霸那么邋遢的人，这方面塑造的有些刻意了，但是演的还算萌，有些可爱的片段；偶尔几次换正装去高档餐厅和会所，点点洋菜，说说英文，真是眼前一亮，立即觉得舒服很多。
(5星)	你就是个吃货...
(4星)	正义左右
(4星)	第一集开波就觉得唔错,希望好头好尾
(4星)	弱肉强食世界的草根情怀   挺期待第二部的
(5星)	八爷不错啊
(3星)	三星半吧，律政剧还是得看英美的。律政剧的主题其实一定绕不开正义和职业操守的矛盾，这时就看编剧的价值观和能力了。这部剧却轻易回避了，在给女主制造这样的两难情况后，居然在她第一次做选择时，给了一个“安慰奖”以解决后顾之忧，编剧也太不负责了。
(5星)	爱死kc了好吗~！~！~！~！
(4星)	好期待即将与这个城市的羁绊！
(4星)	真好看！！！
(4星)	期待度果然不能太高么？四星勉强啊
(4星)	TVB的女演员值得看的只有杏儿了，虽然她演的调调都一样。
(4星)	配角太抢镜
(4星)	不错不错，今年这两部TVB都拍得好好看。
(3星)	本来有惊喜，但《真相》《潜行狙击》之后调为三星。角度新颖，但拍得经不起推敲。亮点是片头曲。本来李灿森是亮点，但居然演圣母。陈敏之很索，但她的情节设置很弱，结局很莫名。杏儿职业装很正，郑嘉颖演痞子很勉强，他还是本分地演精英人士好了。
(4星)	第5集太搞笑了
(3星)	感觉还好。有些案件的解决好莫名，而且有些拖沓，总觉得内容不是很充实。另外，贞贞的死，sigh。L.A.充满喜感。
(3星)	林子善其实有点可爱。
(3星)	这不是律政剧，这是励志剧
(4星)	估计大陆的搞法律的看这个片觉得真的就像片头写的那样，纯属虚构。郑嘉颖和胡杏儿的车都很不错。
(4星)	还不错，莫名喜欢片头曲-v-
(3星)	整体比真相差很多 感觉每个CASE都不完整！
(5星)	很好看~~
(4星)	剧情还不错，就是胡杏儿可不可以再丑一点~~~真不喜欢她
(NA)	只为李灿森。
(3星)	开头有点意思，死第一个人开始拖沓了，10分钟可以讲完的案子要研究2、3集，受不了
(4星)	胡杏儿真是越爱越二了!
(4星)	不错~~这类题材我越来越喜欢了
(3星)	干嘛搞这么多死人的案子。。。
(4星)	L.A几靓仔，阿SAM真系大反转，真系咕唔到tvb噶职业剧仲有出头天
(4星)	有郑嘉颖。。不解释。
(4星)	还不错，有点意思
(4星)	比《真相》精彩干练。TVB就20集以内刚刚好
(4星)	  现在已经很少有这种不扯淡的港剧  怎么的也值四颗星
(5星)	LAW霸来啦~
(3星)	律师戏不复壹号皇庭的唇枪舌战，在tvb编剧眼里有“污点”的港女，始终配不起港男
(2星)	如果没有郑嘉颖我是绝对不会看的……
(4星)	一天看完的
(5星)	今年目前最好的TVB剧集
(3星)	又来抄电影，律政版《流氓医生》
(3星)	看的很窝火啊，编剧比《真相》弱很多，几个角色也不讨喜。
(3星)	李灿森竟然接tvb。索腿天后果真索 可惜最后死左。kc好演技 杏儿惹人憎。
(3星)	看的时候觉得还可以，但没想到后来这部电视剧只见这样受欢迎。
(4星)	关礼杰不但老了而且残了。。。
(4星)	恩，不错看！
(5星)	其实还真的不错看
(5星)	哈哈，sam lee！
(4星)	好看好看 剧名可以无视！！剧情精彩！！！ 灿森锅锅很口爱！！
(3星)	郑嘉颖为嘛这么猥琐样~此剧证明即使是我喜欢的律政题材 如果演员不喜欢 都是看不出好感的
(3星)	郑嘉疑好帅！！！！！！！！
