http://movie.douban.com/subject/4195601/	女人最痛
(4星)	 &lt;20 完结&gt;不爱看这种女强人的剧，可是爱看女强人之间斗来斗去的- -            
(NA)	 忘记标记了 2小姐~            
(4星)	 总算看完了！！！！！！！！！！！！！！！我觉得比杜拉拉好看N倍啊。。。结局太差了。。本来想给五星可是结局扣一星。。虎头蛇尾！看得我那个纠结啊！！！！！张可颐张可颐！！！我真想重温《难兄难弟》看你演宝珠啊！！！美死啊&gt;&lt;。。但是jackie的方式还是太极端了。。。            
(4星)	 TVB又制造女人混战了            
(3星)	 隔着TVB深夜档看了几集，只觉得江美仪这女人越发有味道，别无其他……            
(4星)	 结婚那么多年，老婆跟人跑了，还是跟女人跑了！！加分加分！！！            
(4星)	 家庭事业到底哪个更重要？            
(4星)	 还是时装剧好看。            
(3星)	 虎头蛇尾，开始几集很精彩，后面就归于平淡了            
(3星)	 很典型的TVB办公室室内情景剧。。。            
(3星)	 看过就忘            
(NA)	 生活就是白刃战，谁狠谁赢。但对自己狠就够了。            
(4星)	 做女人真是不容易啊，做个把事业与家庭兼顾的女人更难。            
(5星)	 米雪、我超欣賞的、            
(3星)	 女人的生活方式也可以有很多种，不是所有女人必须去结婚生子或者一定要留住爱人在身边。            
(4星)	 All About Eve。踢威碧居然也会写不完美的结局，我很欣慰。女人最痛，女人的成功是血泪史。            
(4星)	 结局不错，不硬扯着大团圆，不过我觉得为了事业放弃这么好的一段感情很可惜            
(3星)	 我也是无聊了看的光味了。            
(NA)	 不喜欢三位女主            
(4星)	 嗯，貌似还不错            
(2星)	 扮相不好看的片子，米雪的确太老，里面衣服也不好看张可颐还不错，很舒服，可惜是个坏女人最喜欢贱男，小人物，很可爱            
(3星)	 不是赢了这个就是输了那个            
(3星)	 女小强励志片  马德钟太可耐鸟  滕丽名大尺度牺牲            
(3星)	 不过就是一老套的商战片            
(5星)	 不错，剧情不错，米雪，滕丽名都不错，张可颐有点失望。米雪的经验老道，宽厚，滕丽名延续的傻大姐风格            
(NA)	 他轉身走時我以為她會追過去抓緊他，但是沒有，都好，也許這是他們最合適的結局，有愛飲水飽，但是生活要複雜得多            
(NA)	 真讨厌Jackie这样的女人            
(3星)	 3.5  TVB几好。阵容可以更好            
(NA)	 婚姻家庭剧。。。            
(4星)	 喜欢CASH太这个角色，NICK太可怜了。。演员的话，ANGELA ANTIE实在很棒。            
(3星)	 也有勾心斗角，也有爱恨纠葛，但是这个片子相对那些tvb的大戏来说，真是小巫见大巫，平淡无奇了。而比较不同的是，这个片子最后没有很说教地告诫人们不要耍阴招，很尊重每个女人不同的目标和手段，也没让有情人终成眷属，也算是一种遗憾的美丽。只是最后得到什么失去什么都要看个人的心态了。            
(4星)	 有的人在半误会半错中偏离了             
(4星)	 http://movie.douban.com/review/3614227/            
(4星)	 比杜拉拉好宽叫怪             
(4星)	 上帝要女人生孩子，还要给女人事业心...            
(NA)	 大家的妆也太厚了点嘛。。。怎么越看越没意思？            
(4星)	 只能说是矮子里面拔将军            
(3星)	 TVB越来越让人失望了            
(NA)	 事业是无论何时都可以争取的东西，而爱人却是一旦错过，就错过了。            
(4星)	 Nobel姐V5啊。            
(4星)	 最深刻的一句话就是：“你成日捻住会输俾我，你有无捻过会输咗我噶？”质问得太好了。但BIBI那明明就没有E cup好不好。            
(4星)	 结局太恶心。我很意外。            
(3星)	 1弃。            
(3星)	 女人的子宫不是用来生仔就是用来生瘤             
(3星)	 因为和妈妈一起看，才挑了这个，看了一大半很想弃掉的，但是因为妈妈好像喜欢就看完了，最后一下还是蛮爽的，女人，未必就要弱势啊。            
(4星)	 好看好看            
(3星)	 越來越繁瑣和冗長，不如開頭的俐落和吸引。但是TVB的演員還是讓我很喜歡的。            
(5星)	 忍不住给了五星给这个TVB的戏。断断续续看了几集。首先大赞米雪演的NOBEL，进退有度，忍辱负重。现实中自己身边的确有米雪这样的亲戚和朋友在，很受启发。BIBI角色不算新鲜，只是再次提醒观众，善良是人的基本。Jackie这类高处不胜寒的例子，现实中遇到不少，反面提醒自己。            
(3星)	 方便面剧            
(NA)	 有滴杜拉拉同ugly betty噶影 陈国邦好cute啊~ 配角滴戏好睇过主角            
(2星)	 张可颐果然无论如何都不是我的菜啊~喜欢甜妞贾晓晨多点。            
(4星)	 我果然还是喜欢看这种女强人的片子~~            
(4星)	 一个女人追求事业到如此地步，站在落地窗前看外面高楼大厦更显得她的孤独和寂寞咗。孤独和寂寞是不同的两个状态，她都占全咗，令到爱她如此深的男人离开她，这代价真的值得？事业在成功有咩野用，爱情才可以令你坟墓上开出花。            
(4星)	 Noble姐，汪海鲸；Jacky，沙宛琪，绰号“鲨鱼鳍”；Bibi，余曼悠。飞速的看完了~ BU的办公室，“明朗少女成功记 ”的剧情，不过骨子里还是港剧的人生态度~            
(3星)	 自从米雪演过失常少女后...这部戏里 我就觉..她不时地神经失常了....            
(4星)	 不错不错..            
(3星)	 不知道《杜》到底烂成什么样    。            
(5星)	 2010-7~8，frog。Jackie也太强势过头了吧~~8-22ed，痛痛的结局。那么耀眼的成功，但确输了更为宝贵的东西，不喜欢啊....            
(4星)	 Jakie就是自作孽 还是最爱Noble姐啦            
(4星)	 如果是馬德鍾這樣的男朋友，選一萬次還是選事業阿。            
(4星)	 剧情算是很好的了，目前在追。            
(4星)	 女人的成功是要比男人付出更多更多的代价的，譬如爱情、譬如友情，所以一定要想好了            
(4星)	 TVB很现实            
(4星)	 每年都靠看TVB这样的剧集励志。            
(4星)	 品牌推广题材~~岩晒我~~~十分有共鸣~~~另外，主演的演员又中意~~不过jackie最后始终放弃左一个自己禁中意又难得禁中意自己的人，真系好遗憾，不过，可能每个人的价值观唔一样啦，正如佢自己所讲~            
(3星)	 结局让我吐血。赢了所谓的‘事业’像输了整个世界....。            
(3星)	 越看越累            
(3星)	 生孩子那段最搞笑==            
(4星)	 noble姐：“我跑惯长途，我们终点见。”| Like 排名：noble姐，chi lam &amp; bibi 大活宝，没缺点阿nick，苹果脸amy，angela antie，loli脸苏娜。Dislike 排名：jackie，完。| 看不厌的走T台，听不厌的BGM。            
(3星)	 陪老妈一起看            
(3星)	 虎头蛇尾······            
(3星)	 这已经是我每天加班回家的安慰。张可颐d造型好靓吖～現實的結局。            
(NA)	 沒有爆點.            
(5星)	 最近一直在追这个，蛮好看的，跌宕起伏            
(3星)	 张可颐是我心头爱，就把头发放下来吧~接受不了马德钟演男一啊~好吧，在一部关于女人的片子里，所有男人都是浮云。。            
(4星)	 现实的结局我喜欢，不是这样我还不爱了            
(4星)	 强势独立的女人幸福绝对不能再摆在第一位了。            
(4星)	 虎头蛇尾，一星给chi lam            
(3星)	 三星半，前面可以四星，后面有点夸张。            
(4星)	 为了成功，牺牲太多。            
(4星)	 噢，这样就大结局了。。啊。。            
(4星)	 男人都习惯把责任推给女人，隐匿一些见不得光的秘密。其实不能怪对方，是自己先认真了，但别人没有。从头到尾那么多美好，都不及一个认真。            
(3星)	 我觉得三星是很靠谱的，同期我喜欢无线的多些。没看完。            
(2星)	 为什么TVB越来越狗血了。8集走人~~~~            
(4星)	 张可颐完全安茜附身。这个结局很好，符合常理。要是给jackie来个大团圆就太狗血了。            
(4星)	 虎头蛇尾。不过还不错哈追的累点也值了。            
(4星)	 7.27-8.21 近期看的港剧里不错的一部了~只不过张可颐真是老了~Jackie最后还是觉得自己什么问题都没有,大家为啥都那么容易原谅她~            
(4星)	 我纯粹好奇这部剧和《谈情说案》是不是出自同一编剧手            
(4星)	 个人觉得，算TVB今年迄今为止最出彩的剧了~            
(3星)	 后尾很草率            
(4星)	 小品式的都市时尚职业剧集，小规模的女人战争，米雪的女强人形象有些太温暖了，外柔内刚的典型，和林嘉桦的对手戏好有爱尤其是开始造人那段~！大爱啊~~受不了~可颐长相变了变得有些不好看，滕丽名则十足的惊艳了一把，丑女翻身大成功，觉得她和李若彤好像，演小龙女的话估计也ok的~！男主就算了            
(4星)	 张可颐又翻来啦~~~            
(NA)	 jackie最爱的只是她自己....这社会上太多伪君子了...却还都春风得意的.....            
(5星)	 应该是TVB今年最好的女人戏了            
(5星)	 噫！J才是那只冇脚的雀仔=.3=            
(3星)	 没看完。。- -            
(NA)	 【2010-07-26】            
(3星)	 有的衣服还挺好看的。。            
(4星)	 名字有点土。不过剧情够跌宕，够职场。            
(4星)	 鱼与熊掌不可兼得            
(3星)	 其实智力对每个女人都可以这么好。            
(3星)	 米雪加女性职场剧情            
(4星)	 大爱米雪~~大姐大的风范~            
(5星)	 超級喜歡啊。            
(5星)	 女人必看。想得到很多 必定输掉更多。            
(NA)	 本来觉得张可颐很漂亮，看了这部电视剧非常讨厌张可颐，也觉得她长的超级难看！真坏！            
(4星)	 这故事想告诉我们什么？有得必有失？            
(5星)	 也許是去年《義海豪情》的光芒太過耀眼，亦如那年的《金枝欲孽》。同是去年的《女人最痛》其實也很不錯喔。三個女人一臺戲，各有痛楚。看她們如何挨得住。只是張可頤飾演的宛琪似乎執意重蹈米雪飾演的Cash太的覆轍，用事業療救愛情的痛。或者在事業面前，她已經可以忽略后者的傷痛。            
(4星)	 好熟悉的外企生死斗。。            
(5星)	 陈国邦贱的好可爱阿~            
(3星)	 美仪好靓！二小姐好帅！            
(2星)	 浓妆艳抹成这样，请问是为神马？            
(3星)	 一般般，还不够痛。            
(4星)	  到最后都只是高处不胜寒，但是Jackie没后悔过。            
(3星)	 结局真应题            
(4星)	 去年看的了忘记神马感觉了 应该是蛮喜欢的 有米雪的都爱看            
(4星)	 米雪宝刀不老            
(4星)	 张可颐老了，大浓妆也遮不住            
(3星)	 还可以的            
(NA)	 新年快樂！祝大家心想事成！********價值觀、人生觀的不同造就的多彩世界！知道自己要什麽，為之前沖！其實每個人都有自己的目標，得失都由自己判斷。            
(4星)	 最后张可颐没有和马德钟在一起诶。。蛮现实的结局 大家追求不同么。。多给一颗星。。            
(3星)	 片头真傻逼            
(3星)	 张可颐真是有够老…我是在看杨紫琼咩？？            
(4星)	 多年不看TVB了，難得看一次~永遠的狗血劇情卻永遠地能夠吸引你往下看~            
(3星)	 结局我喜欢。            
(3星)	 我想给三星半的  那半颗给陈国邦 ^^            
(NA)	 后来就跑题了。            
(4星)	 女人的痛，男人又怎会懂。            
(4星)	 结局很好。            
(3星)	 比毒辣辣好些,但也就是典型的狗血TVB            
(NA)	 有得有失。            
(NA)	 滕丽名。。。希望你能演第一。。。你真的还漂亮~            
(4星)	 看杜拉拉不如看这个            
(4星)	 这部剧里最喜欢的汪明荃演的角色，女人最重要是的不是事业，为事业付出太多太多也不会幸福的            
(4星)	 张可颐的衣服太好看了！            
(4星)	 太清楚自己要什么的女人会很可怕。            
(3星)	 喜欢米雪演的角色，张可颐的角色对自己对身边人太狠了。            
(4星)	 結尾爛 前面都很愛。米雪都不會老的麼..            
(4星)	 其实是一部不错的职场时尚剧。但是不明白为什么要用这么慢忧郁的蓝色基调。            
(3星)	 断断续续刨完《女人最痛》。张可颐所饰演的Jackie老实说让我挺失望的。身边的人都对她不离不弃，可她就是不懂珍惜。            
(4星)	 还不错，结局有点狗血            
(4星)	 好片。張可頤果然還是我心目中那一代花旦中最會演戲的一個。不過看著片就遇到類似困擾，格外難受。            
(3星)	 不喜歡jackie這樣有野心心又狠的女人。比較喜歡看BiBi和Chi Lam這一對。雖然也是講女性題材，相對喜歡女人唔易做多點。            
(3星)	 陈国邦的戏份能不能多点！？真好，Jackie跟阿Nick没在一起，我很满意……我又如此报复社会，可耻！            
(4星)	 结局我觉得最发人深省，很现实            
(4星)	 攻心＋幽默；职场＋情场。            
(3星)	 女人看看就好~            
(4星)	 米雪真好看~            
(2星)	 看了之后我觉得我的痛经更痛了            
(4星)	 不再是为了男人而放弃理想，而她自己内心也已经足够强大去承受这一切。可是jackie也太幸运了 被她背叛过的人 全数都原谅了她 我还是喜欢noble姐和BiBi 这样纯正的人            
(4星)	 还真没看出开始那个滕丽名，米雪真是好气场            
(3星)	 soso            
(3星)	 港版杜拉拉~~~~~~ 米雪值得一看            
(3星)	 众多女性同胞很共鸣            
(4星)	 很喜欢cash太，越看越不喜欢鲨鱼鲸，想上位又要装好人，生活已经给她很多了还不满足，活该最后。。。哎。。。            
(NA)	 女人真可憐....什麼都要做...什麼都不能做....到底要怎樣            
(2星)	 乱            
(3星)	 为了张可颐            
(4星)	 职场故事永远比国仇家恨来得利落干净。米雪多年修为就该是这样智慧的，张可颐有点老了，滕丽名的角色很cute，和陈国邦很合拍。出乎意料没有大团圆，我想大概就算是Jackie，也算不上是亦舒笔下的女主角。不过如果是我，不放过Nick这样的好男人也都不会选一个同行结婚。输赢又有多重要呢。            
(4星)	 宁愿做一个简单的yeda            
(2星)	 其实出发点几好，只是tvb在没落。            
(4星)	 ...这个可以看..这个不难看..            
(4星)	 何其狗血            
(3星)	 其实这是少有的比较现实的tvb剧啊，特别是张同学最后的选择。。。。。不是每个女人都会选择爱情的。            
(4星)	 不可以太鲁莽，不可以做事做太绝。无论竞争多激烈，始终记得自己是谁，不要迷失。无论发生过什么事，只是最后要记得当日都是真d。            
(4星)	 为了张可颐            
(5星)	 很赞的剧啊~造型很美~剧情也不错~喜欢            
(4星)	 坚决不要做女强人。。            
(4星)	 好吧从第一季我就觉得jackie肯定是摩羯座！            
(4星)	 为了陈国邦和滕丽名加颗星！            
(3星)	 陣容不錯，內容牽強～張可頤的look還是不錯的～            
(4星)	 结尾太潦草……            
(3星)	 cash太强大，因为她懂宽容；Jackie自我，因为她不迁就；BiBi好运，因为她傻人傻福；Angela Auntie孤立，因为她的世界只有男人。男人在商业世界搏杀是常态，女人要从中分一杯羹总被特殊关注。其实在工作中，女人除了利用身为女性的某些优势外，工作态度和要求从不异于男人。            
(NA)	 很喜欢张可颐，把这个角色演的真的很到位，以至于我看着看着都开始不喜欢她了~不过还好，只是演戏而已，哈哈哈~不过就是可怜戏中的马德钟了`唉            
(5星)	 港剧一贯风格            
(3星)	 张可颐挺有气质的            
(5星)	 每个女人心中都有一段情，或一宗事业。            
(3星)	 其实真没有什么看点！            
(4星)	 好久没看TVB   挺好。。。            
(4星)	 十分爱这个剧本，很具时代问题性，而且十分中的。可惜美指差到无轮~！至于表演，感觉也偏向浮夸。            
(3星)	 到底到底到底tvb要怎样腐烂下去。好故事也给它烂掉。            
(4星)	 跟到现在，还是比较喜欢jackie的，相对觉得BIBI不是我所喜欢的。喜欢jackie的坚持，喜欢对事业的追求            
(4星)	 港剧所有的情节都有套路            
(4星)	 这个题材是很少有的，至少在我看来很有共鸣，一个女人怎么样才能有幸福，怎么样才能算幸福，在每个人看来都不尽相同，至少张可仪演的那个角色最后也只是事业上的辉煌。。。女人在现在的社会真的不容易            
(4星)	 女人最难，女人最痛。爱情和事业最终没法兼顾，再次说明办公室恋情极度不靠谱。要成功需要付出常人无法付出的，一般人无法承受。如果忽略反复出现的办公楼下孕妇画面(成本不够原因？)，看剧情还是可以的。            
(4星)	 结局还挺另类的，tvb的创新体现，老是大团圆多不现实啊            
(4星)	 有人知道自己是真小人，但最可怕是自己都不知道自己是伪君子；女人最终只能二选其一。            
(4星)	 是想看到的结局            
(4星)	 真小人好過偽君子。以為得到了，其實失去了更多。            
(4星)	 一群老女人            
(5星)	 有笑有泪~真的女人晤易做            
(4星)	 张可颐的婚照装扮超显老气。结局让人无语。            
(4星)	 就...还蛮真实的            
(3星)	 我真是越老越挑剔了，我啷个豆是觉得这部剧黑无聊黑无趣            
(4星)	 好久没有看完过一部港剧了 还是中意睇女人戏            
(4星)	 good!            
(NA)	 弃            
(4星)	 痛彻心扉的是jackie最后对着nick说的那番话，所谓女人最痛，莫过于那些历历在目的经历和回忆吧            
(4星)	 good            
(4星)	 现实说 有爱还不够......女人要得到成功，要比男人付出更多，牺牲更多。我该怎么做??            
(4星)	 细女，看事情不要这么简单，你要成功是要付出，还要牺牲很多。——Jackie            
(3星)	 又是tvb一向盛行的女人剧。结局真是令人一阵唏嘘。Jackie这个角色实在可以在现实中找到很多。即便你觉得她再错也罢，照样能上位成功。如此，就是现实。忠良的打个三星。已是今年我最能看下去的一部了。            
(4星)	 轻轻松松            
(NA)	 陈国邦亮了            
(NA)	 TVB的老女人和老把戏            
(4星)	 三个不同女人的人生 你想要哪一种？结局挺不错的 比较不像TVB风格 赞一下！            
(3星)	 雖然中間沒看，但我已然沒興趣了。            
(5星)	 感同身受            
(4星)	 大家都不容易啊···            
(4星)	 喜欢张可颐的气质，米雪的气场            
(4星)	 结尾不得劲            
(4星)	 我不喜歡Jackie不喜歡Jackie不喜歡Jackie。。。。            
(4星)	 虎头蛇尾。            
(5星)	 结局比较仓促，整个剧还是值得一看的            
(4星)	 结局虽不完美, 但很潇洒, 我钟意            
(5星)	 算是今年TVB拍的最好的一出了，在HK收视率不高可能是因为那些师奶们不钟意吧，有人说结局仓促，我觉得还好，虽然TVB一贯虎头蛇尾，但这部的结局在我看来却很自然，很符合现实，性格决定命运，最后也可以说是各得其所吧，钢炼的等价交换在这部剧了也是得到了淋漓尽致的展现～            
(4星)	 还是那句，TVB拍某专定行业，总是出彩。            
(4星)	 真是搞不懂JACKIE最后还是能当成亚太总裁~~            
(4星)	 赞同有人讲说这部好过杜拉拉~戏到中间才越来越觉得好看~            
(3星)	 幾個老演員不錯            
(NA)	 估到结局啊。除了靓YEDA和小三比较亮眼，其余一般            
(NA)	 那T好丑。            
(4星)	 很不錯的片子~~建議看粵語版~蠻好聽的~            
(4星)	 很现实的片子            
(NA)	 感觉自从金枝欲孽之后，TVB就开始越来越喜欢拍这样歌颂真善美，且非大团圆结局的片了。但是也没有拍出金枝欲孽那样经典的片来。            
(4星)	 女人啊女人            
(3星)	 欢欢的行业，做女强人从来都不容易，对我来说家庭永远会重要过事业吧...哈，我是小女人^^            
(NA)	 今年为止TVB最好看的剧。            
(4星)	 蛮好看的。            
(4星)	 没有情妇，会死啊?相对于日剧天真烂漫的柔情，TVB把生活描绘地现实多了。            
(5星)	 张可颐的新片一定要支持的            
(4星)	 呀呀呀，还以为要烂尾了，还好还好～            
(5星)	 一直都很喜欢可颐，只是她好久都没吃来了，还好又看到她的片子了，果然没失望，这部片子可以说是今年TVB上半年最好看的片子了！非常不错~            
(4星)	 女强人呐。。。            
(4星)	 做女人真不容易嘎            
(4星)	 做女人真的最痛一定要給以後的老公看讓他好好疼女人讓他知道女人是用來愛的!            
(4星)	 我永遠都會支持張可頤---我最喜愛TVB女藝員            
(4星)	 四星半....很久么有看到一部裏面的沒有讓我討厭的人的TVB據了 不過偶爾夾雜這一兩句普通話聽著真讓我窩火..lHK現在流行說普通話了咩..            
(3星)	  就是不喜欢这类剧。            
(4星)	 杜拉拉+宫心计+Ugly Betty            
(4星)	 是目前2010最好看的TVB剧！            
(4星)	 米雪的头发有点假            
(5星)	 好看。            
(5星)	 好好体啊            
(4星)	 TVB很久没出过这么精彩的戏了            
(4星)	 虽然结局不那么完美，但是生活的确就是这样的。            
(4星)	 张可颐 最终挺让人出乎意料~~            
(2星)	 这名字···            
(3星)	 好痛啊~~~~~~~~~~~~~~~~不生仔 便生瘤            
(3星)	 当初觉得若职场真是这样未免太过残忍，但是亲身踏入职场后，才发现，这才是现实的写照啊            
(3星)	 女强人比男人还不靠谱            
(3星)	 炒冷饭            
(5星)	 成为女强人的代价~~            
(4星)	 结局好无奈。。            
(4星)	 好喜欢jacky。其实很很靓~            
(4星)	 可颐姐什么的最销魂。            
(4星)	 女人戏最高！            
(5星)	 讲出了女人的处世之艰难，在重重地生活与社会压力之下仍要自力更新迎难而上，确实不是易事。作为一个女性，这部电视剧有一定的启发性，但仍避免不了抄袭之嫌。里面用到了一些公关危机处理的手法，看起来更加有感觉。所谓理论联系实际嘛，学这行看这行也不错噢~~            
(NA)	 期望甚低，但没想到这么好看。            
(4星)	 结尾真的不是很喜欢，始终喜欢Jackie会醒悟。收尾太草了~感觉再多拍个5集会更好~            
(5星)	 男人哪有我们女人痛。这是近期最好的TVB。。            
(5星)	 张可颐虽然老了但上了妆还是很漂亮啊~米雪姐很有气场很正派~滕丽名很可爱啊~~江美儀和陈自瑶很有奸角味儿啊~总的来说挺不错的！~            
(4星)	 如果只论前六集，我能给五星，后半段虽然也算精彩，但不是我想看到的那种故事，tvb真是虎头蛇尾惯了。            
(4星)	 我也很痛= =            
(5星)	 好看。            
(3星)	 跟老妈一起看。。。            
(5星)	 太好看的一部了oh  oh  oh ~~~《女人最痛 》=《Ugly Betty》+《宫心计》+《杜拉拉升职记》             
(4星)	 我觉着还多好看的             
(4星)	 jackie这种性格的人真讨人厌            
(4星)	 做女人不容易~            
(5星)	 三个女人的演技都好棒哦！            
(5星)	 有些东西失去了 LET GO  珍惜身边拥有的吧  家人  朋友  事业  不然会失去更多            
(3星)	 这个故事告诉我们，想要成功就是要不择手段，踩着别人往上爬。到最后JACKIE也没有反省自己的所作所为，她这种人根本不配得到原谅，也没有幸福可言。一辈子被欲望与权力支配。            
(4星)	 又是一场好戏！            
(3星)	 前几集还行，后面就……            
(NA)	 前半场米雪气场十足，后半场滕丽名华丽变身。至于jackie...赢得职位输了Nick 连挽留的机会都毁于她的好胜心之下，真是最痛。            
(3星)	 雷            
(4星)	 chi lam好好笑啊！！！马德钟就算了吧            
(4星)	 又烂尾            
(3星)	 马德钟的啊，哈哈！肥皂剧，也不错看。不过最后居然没在一起……            
(NA)	 睇咗幾集睇唔落去            
(4星)	 Missy is back            
(3星)	 再一部大龄剩女的哀歌            
(3星)	 睬完法网群英一起评            
(4星)	 最后竟然没在一起？            
(5星)	 劲啊！！最中意二小姐！            
(NA)	 TVB的女人经....看了一集弃            
(5星)	 为什么张可颐复出老了这么多!            
(5星)	 至少没有拉着看            
(3星)	 女人内讧            
(4星)	 硬朗港女万岁！大结局引出另一个轮回，喜欢充满战斗力的气场~~            
(2星)	 无力吐槽了。。。            
(5星)	 觉得挺不错的            
(5星)	 必须给五星！！！！！！！！！！！！！            
(4星)	 女人唔易做            
(3星)	 现在的TVB剧一定要这么重口味吗？米雪越来越有魅力，时间对她而言完全不是问题。可是，程英、小冰、区学儿...都一去不复返了。            
(3星)	 结局过分仓促了            
(3星)	 米雪真是不错~演技扮相都不是盖的！张可颐的角色不讨喜呢~滕丽名一开始整容前还真是么认出来。。。o(╯□╰)o总的来说剧情还是洗具 女人总是杯具！结尾不是一点点的狗血。。。            
(NA)	 陳國邦哈哈哈            
(3星)	 张可颐的身上再也看不到安茜的“样子”了...            
(5星)	 净系无狗血结局就已经值得俾5粒星            
(3星)	 久違的有質量的港劇。不過難免空洞和形式感。            
(4星)	 事业爱情家庭要想全兼顾到还真是件难事儿。            
(4星)	 看到目前还不错。继续关注            
(4星)	 三女一男，之前不是很喜歡滕麗名，但看過後，反而最中意的就是BIBI。很佩服米雪姐。看到最後，阿NICK同Jackie沒有在一起反而讓我釋懷好多。Jackie這樣的女人不適合結婚是真的。第一次追TVB，追到一部還算滿意的劇。            
(4星)	 E02：“你只是想不要输给我，有没有想过会输掉我？”            
(4星)	 大爱chi lam~~            
(NA)	 好好睇，呢排要开始追啦            
(4星)	 滕丽名越来越有谐星范儿咯！超喜欢她！            
(3星)	 结局啊= =|||            
(4星)	 结局还是挺合理的。            
(4星)	 不给力的结局最坍塌            
(5星)	 看完全剧，觉得是全年至今最好的剧了。接近五星            
(3星)	 都是看着看着就放弃了            
(4星)	 大爱Maggie Cheung的女王气场，米雪都不错哈，马德钟跟张可颐，好多年不见的组合了，O(∩_∩)O哈哈哈~            
(4星)	 最后一幕真感慨            
(4星)	 结局很意外~~现在女性都活得不容易啊            
(3星)	 结局好恶心。            
(5星)	 居然没点确定…比起当年挚爱《女人唔易做》的摇旗呐喊空口号，《最痛》的Jackie倒真是在女性主义的道路上走得更远了，要的就是这种excruciating pleasure            
(4星)	 像EL的OFFICE            
(4星)	 江美儀真好看，戲真好！            
(4星)	 继续看下去，有沈卓盈还有les剧情，wonderful~~~~            
(3星)	 又一个蛇尾之作。            
(4星)	 米雪~            
(4星)	 不可理喻            
(4星)	 难得的港剧，居然整体造型，包括公司装潢，演员装扮都没以前那么土了。剧情也很紧凑            
(4星)	 要得到，必须先失去。            
(NA)	 哎哟米雪啊哎哟马德钟啊我好中意啊            
(4星)	 女人何苦为难女人.            
(4星)	 hoyee            
(4星)	 有惊喜，很棒！            
(NA)	 米雪好靓啊            
(4星)	 滕丽名陈国邦，亮点！结局非常的不TVB，记得上一次，应该是刑侦四，萱萱跟古天乐没有在一起。不过我真的好爱这个结局。真的就是没法在一起。            
(3星)	 马德钟超级gentlemen，张可颐甘可恶都有人原谅，太冇天理啦！            
(NA)	 01 - 10            
(3星)	 她们老了。。            
(NA)	 不喜欢，没道理            
(5星)	 喜欢里面三个女主角都喜欢，还有马德钟，陈国邦            
(4星)	 看完心里憋的慌啊。。。            
