http://movie.douban.com/subject/3332543/	ID精英
(2星)	 几乎没有看下去的欲望            
(3星)	 熟悉de過境            
(3星)	 剧情限制，演技都不怎么样~            
(3星)	 TVB风格的结尾 却缺了点什么 是不是TVB开始不走大团圆结局的路线了呢？还是比较失望的             
(5星)	 裏面有我姐。            
(2星)	 与预期大相径庭~~~甚为失望……没有看全，首尾想加，不过五集……            
(3星)	  故事延续了TVB一贯的风格，但似乎有一种不伦不类的感觉，明明伸展出许多条线，却虎头蛇尾地结束了，唉，失望~~            
(4星)	 TVB涉及到各行各业 普及知识至大众呐            
(2星)	 好无聊啊            
(NA)	 无聊~不好看~不评价了~            
(3星)	 很一般            
(5星)	 郭晋安和蒙嘉慧演这部戏很不错……强推……            
(4星)	 本来只有三颗星的，因为有胡琛多了一颗星。前几集比较有看点...中间渣渣...最后3集最精彩，没有最喜欢的角色，但是胡琛绝对是这部戏最大的一个亮点！！            
(2星)	 悲催的买碟有没有？没看完的有没有？实在看不下去的有没有？            
(3星)	 TVB套路:做了十多年的朋友最後還是會變戀人或者就是不是冤家不聚頭 曹永廉和蔣大衛都沒什麼對手戲 岳父和女婿在一起拍戲會很奇怪的吧            
(2星)	 第一集好闷。。弃！            
(5星)	 超好看，觉得思敏太惨了，好不容易熬到头了，又这样。超爱欧顺风，强烈觉得他应该和安儿在一起，而不是硬和志欣配在一起。还有在病房门口响起最佳损友时，彻底崩溃了            
(NA)	 厄....我喜欢邓健泓啊            
(3星)	 平淡。发挥了TVB剧特色就是它唯一的特色。严重鄙视曹永廉其人。为嘛到最后还要让姚嘉妮死啊。硬把郭晋安和蒙嘉慧凑一对。此剧还让我惊叹发现郭晋安竟是64年的老头一枚。            
(3星)	 结局有点太仓促，但整体还是不错的。。            
(3星)	 喜欢希希同诗诗  好可爱            
(2星)	 第28集 最佳损友的歌声响起的时候，竟然有点想喊，再烂的片，都有一刻闪光点。人生真是无奈。煎锅回归tbb的第一部戏，表现的不错，从一开始就担心他是不是坏人，还好只是被从小纵坏，但心底还是好好的。麦子轩Kelvin，Good！            
(3星)	 比较平淡的片            
(3星)	 我支持邓健泓            
(3星)	 打算去香港玩，所以看看这部剧。狗血得很啊！特别是阿敏死那段，在家不是挺安全的么？为什么要冒着危险跑到外面去？香港的房子那么不安全？看电视剧最奇怪的就是里面的房子怎么都是随便能进出的，一般的房子不都有两道门还有门拴么，哪有那么容易进得来。开枪也只是打坏门锁吧，门拴那么容易打得掉？而            
(3星)	None
(4星)	 挺不错的！            
(NA)	 我只看麦子轩的部分。            
(2星)	      什么烂编剧编的剧情。也就适合我在家感冒养身体时用快进看了。            
(3星)	 舍友看的时候一起看了..对郭靖安的印象真的一直还是在阿旺时期啊..            
(2星)	 制服不贴身啊~每剧都有坏人啊~梁靖琪看起来反而更老气啊~            
(3星)	 还可以吧，警察剧一般都不会太差            
(3星)	 其实还可以，就是有点拖            
(NA)	 哈哈！在珠江台看的，叫香港入境处。。其实没有很喜欢，但开始也有追过一天。。哈哈！~            
(4星)	 结局不喜欢。            
(3星)	 不错            
(3星)	 算是比较老套的tvb模式吧            
(NA)	 其实是30集，居然剪了那么多？            
(3星)	 为了yoyo            
(4星)	 有些剧情未交待清楚，不过还是值得一看            
(5星)	 比起国产剧那种矫情又主旋律，还有点像文艺片调调的歌功颂德。TBV的年度职业大戏一直都很成功，每次都可以给人一种很温暖的感觉。忽略关于四角恋的纠缠，黑老大对女二的情愫为败笔的大结局增添了不少亮点。忽略关于罗湖的讨论，个人觉得要是上海也能搞个类似机构该有多好？            
(4星)	 这部剧就是为我拍的嘛~郭靖安+蒙嘉慧！！！            
(2星)	 感情线不明确，郭晋安和蒙嘉慧最后就那么突然在一起了，多么突兀。这两颗星都是为了琛哥的狗血            
(2星)	 又烂尾了…… 有几个演员演得…… 真是受不了            
(3星)	 大爱欧顺风~            
(3星)	 香港的海关~香港真的很喜欢拍法制篇，而且还是可以接受的那种~            
(4星)	 不知道为什么最近看港剧都看到结尾编人死的.阿敏这段好难过              
(4星)	 最佳损友响起的时候我竟然哭了！            
(4星)	 为了邓健泓给四星            
(4星)	 久违TVB花旦。突然很爱蒙嘉慧。            
(3星)	None
(3星)	 黄德斌，黄德斌，黄德斌。            
(3星)	 同样是眼镜公子哥儿，煎pan跟Bosco还是有差别滴。            
(1星)	 看了不到一集，实在进入不了状态            
(NA)	 冲着邓健泓去看的（¯﹃¯）            
(5星)	 有YOYO~~            
(1星)	 挂着职业剧的头，卖着师奶剧的肉。            
(4星)	 喜歡喔~什麽職業通過TVB劇集都會被神化~略嫌收尾太急。。。            
(3星)	 原来香港入境处机构挺庞大的嘛。为什么最后阿风没有跟安儿在一起啊！！            
(4星)	None
(NA)	 不错！            
(3星)	 看不下去了            
(3星)	 看完没？貌似看完了。。。。            
(2星)	 唐诗咏一如既往好看，邓健泓难得帅气了一回，除了唐和邓真的不知道还有什么可看的，脑残编剧还不给这两只好结局，真是气愤            
(3星)	 莫名其妙...            
(3星)	 我一直都相信tvb的退步是出现在编剧和导演等很多原因上，但演员的演技是没有值得怀疑的，这部依然是，所以只有6分，但尊的表现依然抢眼！            
(3星)	 为毛不论怎样都觉得郭晋安好傻的样子            
(2星)	 唐诗咏的戏份好少 伤心            
(NA)	 其实我就是为了看我们家小诗咏            
(3星)	 为大卫哥来一颗            
(4星)	 入境處真實生活里沒人情味！            
(2星)	 看了六集就放弃了，其实郭晋安我觉得你好2啊            
(4星)	 推荐是因为有尊叔啊，还被神经病小MM追，太有意思了。            
(3星)	 萌男没和萌女在一起，天理难容。            
(3星)	 还行的TVB电视剧，每天睡前一集。如果可以早点播就更好了            
(3星)	 看了两集            
(4星)	  阵容不错啊 郭晋安蒙嘉慧邓健泓唐诗咏李天翔 ..  剧情小狗血 结局太仓促            
(3星)	 邓健泓是里面唯一的亮点~            
(NA)	 我是有多不喜欢郭晋安就有多喜欢邓健泓~            
(NA)	  职业剧，比较新鲜的在于是在深圳罗湖入境处。我说，你老婆以前做那行你真没有感觉的啊。基本上跟这职业没啥关系吧，就是他老婆是大陆妹。挺没意思的，好朋友是大坏蛋，很老套。            
(3星)	 顺风啊~~~邓健泓又帅了~~~            
(3星)	None
(NA)	 诶，还是不满结局            
(NA)	 每一个人刚出场好像都挺喜欢。。后来慢慢就不喜欢了。。。整个剧怪怪的感觉= =。。比如我挺萌蒙嘉慧和曹永廉CP的 一定要为了写到男一女一一起把廉记写坏？！！我又觉得黄德斌姚嘉妮几有fu 结果中途就让黄死了！还有nat带着个小女儿本来多萌的 后来怎么了？好像也没有一个明明白白的结局= =            
(5星)	 only u里nat个老公都好像郭晋安            
(3星)	 把一个黑社会何琛刻化的介么有情有义            
(3星)	 郭晋安真老了啊=-=~乃说现在则TVB怎9越来越米看头越来越假越来越坑爹了呢(￣.￣)+            
(3星)	 中规中矩，姚嘉妮在这部剧里的表现不错。            
(3星)	 姜大卫姜大卫姜大卫！            
(2星)	 TVB当年小生们终于老得只能演人爸人妈了，何其悲剧。看这片完全因为邓健鸿，大爱顺风！绝对理想型！他该跟安儿在一起的，啊啊！果断二分，因为伤我家顺风的心！            
(3星)	 蛮好的题材，拍的just soso了。。。            
(3星)	 明明是四星剧，结果就因为编剧的脑残活活减掉一颗星~            
(5星)	 为毛评分这么低……            
(4星)	 几好睇！！            
(5星)	 大陆深圳卫视播放时的名称是香港入境处，本来一听这个极其生疏的名字，觉得没有看的必要了，后来一查才知道，原来这就是ID精英啊，看完觉得还是很不错的，郭晋安和蒙嘉慧的搭档很给力。            
(3星)	 tvb剧的特点是，“其实剧情那么回事，但是演员个个都有爱”。            
(3星)	 香港拍这种各行各业的剧还是比抄袭欧美的好啊            
(NA)	 我本来是要看叶安儿和欧顺风成双成对的，早知道这样便宜了痴情妹谁还看啊！！！！！！            
(2星)	 剧情也太狗血了！最顺眼陈国邦            
(NA)	 看了几集，发现突然又一次喜欢邓健泓了...            
(3星)	 前面还行，这结局实在是太搓了，又老土，又牵强            
(4星)	 忘了内容了。。。            
(3星)	 以为角度很好会很好看，其实不然            
(3星)	 现在港剧不咋的，一般般。            
(4星)	 一致喜欢黑社会，哈哈，我也想被他看上..            
(3星)	 看到一半实在不行了。枯燥无味饶了我吧。            
(2星)	 我是个没耐心的人，一集没出点啥剧情就看不下去了==            
(3星)	 对其中的角色没有认同感，角色又过多，虽然个体光明、阴暗面都有，但是无感啊~对象倒是蛮新颖的~一个个边境案都是靠开会提出要注意某可疑展开的，呆板~反正怪怪的~|好牵强，越来越扯淡~两星半~            
(NA)	 很喜欢顺风~ 最后那个阿SIR杀了人 很自私 很人渣             
(3星)	 眼镜控 然后港人的温情，入境处原来是为了维护港人的正当权益~~lolo            
(NA)	 喜欢邓健泓的演出~            
(3星)	 爱上邓健泓和唐诗咏。            
(3星)	 邓健泓=v=            
(4星)	 港剧的调调，喜欢的职业剧。主角方俊杰的个性不哪能喜欢，郑柏宇的角色也是，人物关系其实也有点怪，分开来不怎么样，但是加起来还是蛮好看的            
(4星)	 故事还行，男女年轻演员都很不错，坏人曹永廉也很出彩哦，可是俺不喜欢大卫同学的那条线，他和老婆的复合戏，他和儿子的调教戏，他和下属的暗斗戏，也不喜欢他和自己女婿的彪戏，都有点假。想顺风可以和安儿在一起，志新就和罗湖同事在一起好了，嘉惠和郭靖安在一起，而思敏当然是要和胡琛在一起了！            
(3星)	 香港入境处的片名怂啊            
(3星)	 结局真的是 过程真的是            
(3星)	 逆我西皮！            
(NA)	 YO！            
(4星)	 邓健泓很可爱哦            
(4星)	 还不错~ 中间后来跳掉了没看，蛮喜欢蒙嘉慧和郭晋安的~ 曹永廉 演坏人还真蛮有感觉的- -              
(NA)	 目前看来琛哥是个好男人 想看他会不会继续好下去 看不下去了 放弃            
(3星)	 蒙嘉慧也老了，给郑伊健摧残的吧。结局不喜欢！为什么他们夫妻不能一起            
(2星)	 不算好看，剧情有点新意，但是拍的不咋地~~~            
(3星)	 剪掉很多，看都是很莫名。。。            
(3星)	 几百条线，乱七八糟，草草结尾。最好的角色就是方浚杰的大嫂。不过我还是把它煲完了....            
(4星)	 恋上  邓健泓            
(3星)	 可能很多女生会喜欢胡琛这个角色，我也是。常跟朋友说想做大哥身边的女人，直到片尾他激方俊杰杀掉郑柏宇时，我才发觉他身上的光环没了，似乎越过了我的道德底线，和坏蛋同归于尽才是合理的。不喜欢老友变情人的结局。该剧为我普及了一些入境处的常识。            
(3星)	 顺风和志欣在一起让我觉得很牵强啊。            
(3星)	 郭晋安拍的电视剧都不错。。。            
(4星)	 最后烂尾了。。。- -            
(4星)	 冲着蒙嘉慧去看的，看了快一个月了，看到后面还不错；始终喜欢不起来郭晋安；少掉的一颗星是因为我喜欢安儿和顺风在一起。            
(4星)	 欧顺风，其实你挺像 zr的~·            
(4星)	 哎呀呀。欢喜邓健泓了说……            
(4星)	 香港那才叫公民和公务员啊！邓健泓8错~~            
(3星)	 总算土豆上有全集，电视台放的也剪得太厉害了吧。。。            
(4星)	 为什么顺风就没和安儿在一起呢~~~            
(NA)	 30集OK~恩恩~猜结局神马的最没意思了~            
(4星)	 tvb，我的最爱~            
(4星)	 狂爱欧顺风，嘻嘻            
(4星)	 罪过……应该看书的……感觉会拍续集啊            
(3星)	 电视剧频道在播，比较平淡，一般般            
(3星)	 曹永廉保养地真是好啊。。            
(4星)	 喜欢邓健泓.....            
(NA)	 有翔仔~~~            
(3星)	 复杂、微妙的感情关系。            
(5星)	 我又庸俗了...            
(2星)	 剧情太太太慢了，看不下去。。            
(2星)	 看了一半没看下去，只能说明比较差。即使有郭晋安和蒙嘉慧，我也昧不下良心。。。            
(3星)	 题材OK 可是剧情有点扯 感觉硬是要在那么几个人之间多扯出点关系扯出点故事来 一般般            
(3星)	 顺风和安儿一对不错哦~没在一起，减一星            
(5星)	 香港入境处            
(3星)	 题材新，桥段老            
(4星)	 胡琛简直就是太深情了啊。没想到郭靖安都快50了啊，保养得真好。            
(4星)	 刚刚看完。结尾很仓促，一贯的大团圆结局。亲情友情爱情与事业人生黑白两道交织，很复杂也很简单。            
(2星)	 主题曲不错，邓健泓要上位了，郭晋安还是只适合演阿旺，里面一段你有没有搞我老婆绝对本色表演            
(3星)	 一半~            
(4星)	 不一样的职业 细心发现  缘分天注定            
(5星)	 郭晋安 也挺顺眼的。            
(4星)	 发现里面最让我印象深刻的不是俊杰对思敏的矢志不渝，也不是安琪对俊杰的默默付出，而是胡琛对思敏那种爱到可以舍弃可以为了对方的幸福做任何事的无私与大度，虽然是黑社会老大但胡琛并没有因为爱一个人而做出那些见不得人的事，正是他那舍弃自己成全他人的爱让我看到了其另外一伟大面            
(1星)	 不好看。虽然有yoyo            
(3星)	 這出戲有點不真實。。            
(3星)	 此剧汇集TVB的赶客三宝。不过其中的蒙嘉慧我还蛮喜欢            
(5星)	 蛮喜欢的，不过柏宇变质的原因也太牵强了吧。。。还有，还是没学会怎么自己过关。。。            
(NA)	 匆匆暼过            
(NA)	 很一般的。看不下去。            
(3星)	 结局太囧了            
(3星)	 看这片的时候我还是很有耐心的，现在想想，没虾米亮点。好像是看完与敌同行之后看的。            
(2星)	 男主角太苦命了            
(4星)	 算是近几年看得下去的港片了，黄德斌做得好好。            
(3星)	 看後不記得劇情啊            
(3星)	 一般            
(3星)	 还是喜欢侦探剧，而不是海关的~            
(4星)	 看完之后才知道，原来我过关时他们是这么做事的。。            
(3星)	 还行            
(2星)	 我都不是看完的，是听完的，边听边做其他事。结局是啥子我完全想不起了，我也不确定我听完没有。。            
(3星)	 过关的时候，入境处有那么和蔼可亲嘛？ 完全没有嘛...  闲来无事还是可以看看的。            
(3星)	 就算是对郭晋安的痴迷，也让我无法忍受女主角。。。所以没几集就算了            
(NA)	 真的很拖，没看完...            
(2星)	 一集都坚持不下去~缓慢呀~~            
(NA)	 入境处故事            
(3星)	 邓健泓不错！            
(3星)	 之前看在有邓健泓的戏份才看的。果然表现不俗哈。不过更加喜欢黄德斌在这部剧里的角色。。非常man啊···很好···            
(2星)	 实在没办法看下去了，，真无聊的电视            
(3星)	 MS没看结局，实在拖沓，而且有点乱七八糟            
(3星)	 喜欢风儿这条线 但是最后的结局又让我很无语...是因为梁靖琪有强大无比的后盾么- -无奈了            
(NA)	 垃圾剧情            
(2星)	 前几集看得我还是很开心的，因为曾经从罗湖过了关，感觉很亲切。不过后面越来越不知所谓，某人不愧是收视毒药呀，被缩剪也是有道理的            
(2星)	 编剧太牵强 有些烂            
(3星)	 不是很吸引····            
(3星)	 没啥意思            
(NA)	 就快看完的说            
(4星)	 大家都不爱 但是我的菜。。            
(3星)	 比起古灵精探2和烈火雄心3这部剧还是不错的了~            
(NA)	 我居然看完了，但是也忘记了            
(3星)	 结束的太快。            
(4星)	 第一次知道原来货归海关管，人是入境处管的~恩            
(3星)	 呃。。。。。。。。。忘记了 什么剧情了  半年多前看的~~~呃。。。。。。。。。。。。。对了，通过此剧我更多的了解了香港和深圳之间的密切关系~~~~一般的TVB剧集。2009年阅。            
(2星)	 情节真的不是一般的拖。。感情线好狗血。。剧情与名字完全不符合。。偏题的剧啊。。            
(2星)	 纯粹为了政府部门做宣传。剧情很一般。第二颗星给郭晋安            
(4星)	 去HK还需要偷渡吗？            
(2星)	 不怎么样            
(1星)	 不是很喜欢这类的片子。            
(4星)	 还可以            
(3星)	 主要是題材還挺親切的，每次過關都能看見這些帥哥靚女。劇情有點狗血啦~另外趕客三寶影響了收視率，當然我個人只是不喜歡梁靖琪而已~這兩年看郭晉安看得疲勞了，我覺得他應該學歐陽震華完全消失一年再出來這樣比較有新鮮感~            
(3星)	 这个剧情……哎 不过YOYO几中意了            
(2星)	 yoyo實在不負趕客三寶之名！            
(3星)	 开始很烂，结尾有点意想不到            
(3星)	 还行还行，还没看完呢···还是比较喜欢郭晋安的            
(2星)	 郭晋安的演技不知是被阿旺束缚了还是被剧本捆住了，情节就更不想多说了            
(3星)	 又一部经典的虎头蛇尾TVB。。。            
(3星)	 又是一部烂尾剧~            
(4星)	 TVB是每晚睡前必看，因为催眠效果比较理想。下载之后转到小P上，睡前捧着看一会，没多久就会睡着。这一部是同事推荐的，说很好看。之后发现：很不好看！郭晋安永远都演这样的男人，当断不断，拿得起放不下，我要是他早就拿块冻豆腐去撞死了。另外搞不懂蒙嘉慧到底哪里差了，为什么TVB每次安排她的角色            
(3星)	 最后结果很突兀            
(3星)	 結尾實在不怎麼樣啊~~            
(NA)	 无论好片坏片，贪婪TVB的熟悉感，            
(4星)	 冲着蒙嘉慧才去看的~还不错吧！            
(5星)	 这结局就是明摆着要让男女主在一起而牺牲掉男主最爱的女配！突然发现只要静下心来看TVB每部都是好剧啊！特别在最后几集发挥到极致！            
(3星)	 结局太狗血。            
(3星)	 中间の鸡肋剧情实在忍不了            
(3星)	 一切都很一般。            
(3星)	 主角阵容挺强大的 可是也是感觉剧情游走 未完成            
(4星)	 这个不错，虽然我瞎编了结局~但我真看过~            
(2星)	 还可以更烂一点么。            
(3星)	 “郭蒙配”缺少火花。邓健泓和梁靖琪从形象到演技都还停留在龙套水准。一些配角却有不错表现，比如比梁自然很多的唐诗咏，很MAN的反派黄德斌。郭的大哥大嫂角色设计和表演也恰到好处。特别眼前一亮的是Madam扮相的朱惠敏。全部剧情没多少亮点，倒可以借此了解下入境处这一不太被人熟知的岗位。            
(5星)	 本来是想给四星,结果考虑到Kenny,Patrick,小翔,阿邦,Ellesmere,廉记~~~嫩个多我喜欢的男人啊!!!            
(5星)	 虽然讲的是入境处~不过也很好看~多了解香港的一个职业~邓健泓很可爱~嘴角有颗痣的男人..            
(NA)	 哎，郭晋安还是老了啊~            
(4星)	 看了很多遍，觉得还行。蛮喜欢蒙嘉慧的。            
(3星)	 也就一般!也就一般!            
(2星)	 食之无味，弃之有理。不是为了YOYO真是看不下去。。            
(4星)	 冲着郭晋安和蒙嘉慧才看的            
(3星)	 一般般            
(NA)	 good            
(3星)	 香港几十年都这么几个演员……            
(2星)	 这个片子简直比流水账还要平淡。。情节淡而无味，磨磨唧唧的一个问题扯半天。。莫名的松散剧情,平淡演员....最奇怪的是结局的发展,是故意找个问题引发结局,吗??            
(4星)	 看完這部...好喜歡鄧健泓啊....可是我希望的一對沒有在一起..誒            
(3星)	 这部片子真正吸引我的是在后半部分，虽然有些老套，但是还是可以接受的！            
(3星)	 相当的水            
(3星)	 原谅我看了几集就看不下去了，郭晋安跟蒙嘉慧的搭配我喜欢，不过实在不怪他们 这个剧情实在太生活太平淡            
(3星)	 觉得有点混乱。不过呢，对入境处总算是有一些了解呢。            
(2星)	 我看到睡着了.....            
(4星)	 TVB让我看到生活的方方面面。            
(2星)	 一般...            
(3星)	 没有什么起伏            
(3星)	 整部剧很平淡，没有高潮。有的地方很突兀，特别是YOYO喜欢上郭，这点10个人有11个也不明白为什么。勉强看完了，太一般了！            
(5星)	 除了有两个巨讨厌的女人 其他剧情不错            
(3星)	 剧情有点断档的说            
(3星)	 一般般            
(NA)	 我始终觉得郭晋安是傻子            
(NA)	 听到“爹爹”，我就郁闷，看不完，彻底放弃~~~            
(5星)	 这部片子挺不错的，近来发现港剧越来越好看了            
(3星)	 对这部片子开始很感兴趣.可是.看完以后才发现.原来.不怎么样.!有点像流水账.!            
(4星)	 我也想去海关            
(3星)	 开始还以为是警匪片，看到是讲入境事务处的，不免有些许失望，不过看下来也还行吧            
(1星)	 开始还不错，结局很败笔，坏人突然就变的坏的很彻底，好好的非要死个人避免三角关系，太牵强了……            
(2星)	 如今越来越讨厌看这种路数的戏了。            
(3星)	 怪怪的慘劇            
(NA)	 节奏太慢，结局牵强            
(4星)	 从古灵精探爱上郭晋安             
