http://movie.douban.com/subject/2342526/	楚汉骄雄 楚漢驕雄
(4星)	 可以看作经典啦~~~演员都很出色！            
(4星)	 演技赞            
(5星)	 项羽，真男人！            
(3星)	 过了有点久了，但知道我是看过的            
(4星)	 刘邦在这片子里简直是废的，江华演的项羽好浮夸            
(4星)	 生当作人杰，死亦为鬼雄。至今思项羽，不肯过江东。            
(5星)	 江华震撼了我。。。            
(5星)	 吕雉            
(NA)	None
(3星)	 霸王项羽。            
(5星)	 大器晚成，无为而可不致，有为而致            
(4星)	 Haha~时隔一年，雍正成了项羽、吕四娘成了吕雉、岑日忠成了张良、岑日礼成了陈平、岑日爱成了虞姬... 阵容和九五至尊很像啊！看完没有很佩服一个人也没有很恨一个人~但刘邦真的好无能！郦食其、吕雉..也不过如此~唯张良算是有智谋而不卑鄙阴险的。哎，果然还是人心叵测、天命最高啊。。            
(5星)	 大家都演得很好嘛 就是不怎么喜欢两个女猪 陈平张良都很萌啊            
(4星)	 为了大叔而看- -            
(5星)	 荡气回肠！            
(4星)	 典型的港剧，轻松娱乐又不失精彩，很喜欢港剧里这种戏谑历史的风格。这部戏有点小脑残，但看着很过瘾            
(5星)	 看了N遍  严重鄙视大陆翻拍剧抄袭剧            
(4星)	 只为看黎耀祥的韩信~~！正！！            
(4星)	 虞美人就应该是珩珩那样的，吼吼郑少秋真傻            
(3星)	 虽然尊重历史典故，却任意编撰造成这些历史事件的原因。            
(2星)	 跳着看,就知道不咋样...            
(5星)	 项羽是个很值得尊敬的英雄。            
(3星)	 没胡子的项羽看着就是嫪毐 有胡子的项羽看着就是古天乐 狂妄自大关键还很无脑 哪里有霸气了 感觉有点奸诈小人的刘邦反被郑少秋演得变成时势所迫的样子 范增很偏执 韩信很诸葛亮             
(NA)	 呢个劲扑街            
(3星)	 国语版的配音真用力            
(3星)	 演员老了点~ 把刘邦演的弱智了点……            
(4星)	 很不错。。。            
(5星)	 最喜欢的TVB            
(5星)	 还有更精彩的刘邦么            
(4星)	 蛮不错的一部历史剧。印象最深刻、演得最好的有四位，绝对分先后 -- 黎耀祥演的韩信、张可颐演的吕后、蒋志光演的张良、江华演的项羽。            
(4星)	 韩信，只有韩信            
(4星)	 印象很深 项羽和刘备的感情            
(3星)	 瞎编的特别逗！            
(4星)	 谁说我们家美人是败笔？哼~多么温婉动人的虞姬啊！！！            
(4星)	 好中意江华            
(NA)	 胡说八道            
(2星)	 Flora差点就演古装了...            
(4星)	 未免过于戏说话了。其实挺不错的。            
(4星)	 是非不在时势，公道自在人心            
(4星)	 你这个贪财好色的卑鄙小人！            
(3星)	 TVB的东西还是有些看头的。            
(4星)	 长篇历史，改得颇有意思            
(3星)	 两个老帅哥的较量            
(4星)	 吕雉和戚夫人是共苦的？            
(4星)	 演员选得好啊，演的都不错，也算忠于历史。            
(2星)	 不好看！~            
(3星)	 吴美衍我不喜欢。            
(NA)	 御姐啊~气场啊~            
(4星)	 除了虞姬太丑别的都不错            
(4星)	 以前以为是渣片，看了才发觉其实很不错来着            
(NA)	 拦住我 我想杀人...            
(4星)	 印象中很不错，讨厌刘邦            
(5星)	 看了好几遍！主题曲循环了好几遍！            
(5星)	 楚項羽,心目中永遠的大英雄            
(4星)	 当时看的如痴如醉~~历史故事总是特别吸引我~~韩信~你能再帅点么·我爱你            
(3星)	 喜欢张可颐            
(5星)	 英雄血，美人泪，一壶酒仙醉。            
(2星)	 郑少秋的古装不复当年            
(4星)	 哭了很多次             
(2星)	 受不了虞姬个样            
(3星)	 你有张良计 我有过墙梯            
(4星)	 想了解吕雉所以看的，不错~            
(NA)	 唯一看的我哭的一部电视剧，我的项羽兄，我的虞姬（虽然饰演者有点丑）但还是很好看的。            
(NA)	 好象我很喜欢历史剧。            
(5星)	 这部剧比鸿门宴给力多了，编剧靠谱，演员靠谱，不过江华演的有点过了，张良和韩信简直大亮啊！楚汉传奇被演绎的非常精彩！            
(3星)	 算是TVB为数不多值得看到尾的历史剧吧/ 公道不在人心，是非只在时势。            
(5星)	 短小精悍            
(4星)	 第28集相当搞笑            
(3星)	 TVB的历史剧能拍成这样不错了            
(3星)	 拍得有点儿戏            
(5星)	 当时那么投入地看一出历史戏，还深深地爱上了项羽，唉            
(5星)	 把项羽的霸气与刘邦的奸佞 演绎的淋漓尽致啊。            
(3星)	 有人很喜欢。我觉得一般啦。。。。TVB喜欢这样拍历史。虽然架空，也算他能自圆其说            
(4星)	 难得的比较遵从历史（戚姬和虞姬的忽略）            
(NA)	 张可颐版的“吕后”很精彩。            
(4星)	 不爱历史的不要看..爱历史可以当上一课秦汉史            
(5星)	 张可颐的吕雉气势十足！！！历史人物在戏里个个有模有样啊！选角到位了这次～            
(2星)	 扯吧            
(4星)	 挺喜欢吴美珩演的虞姬~            
(4星)	 可怜的项羽，只能说是命不好。不是韩信强。            
(5星)	 为什么我觉得刘邦和项羽，吕雉，张良 韩信 演的都那么中我意呢？看后能让我对这段历史感兴趣 就是很了不起了            
(5星)	 公道在时事乎？公道在人心乎？大悲项羽~            
(3星)	 还学到历史知识了            
(4星)	 相当不错            
(3星)	 觉得郑少秋演的确实不错。看过《项羽与刘邦》后。看的时候好讨厌刘邦啊。            
(4星)	 喜欢吕后！            
(3星)	 有教育意义            
(4星)	 喜欢可颐            
(5星)	 张可颐很有气势            
(4星)	 有一些谬误            
(4星)	 演员的演技都很出彩。            
(4星)	 认识历史人物            
(4星)	 张可颐，你的吕雉真是演的太好了。哎，虽然我还是不怎么喜欢你            
(4星)	 吕后的气场            
(4星)	 很多典故长胡子的江华还是好帅气-姜还是老的辣就是太自负了--可惜一代骄雄变枭雄记得好像是2006年还是2007年才看到吧，还特意去买碟2009-10再复习下 开头，吕雉琴音吸引项羽，要助他成就大业。而却，他拒绝了。后来她投资在刘邦身上，目光如炬。时势造英雄            
(4星)	 秋官把无赖刘邦演得太招人喜欢了            
(4星)	 吳美珩實在太難看。喜歡張可頤演的呂雉。黎耀祥是個驚喜。            
(5星)	 补历史。。。虽然把刘邦塑造得好好。。。            
(3星)	 张可颐演的还不错            
(3星)	 为了女人            
(4星)	 TVB又一次的顛覆歷史            
(NA)	 意外中还不错            
(NA)	 有历史与智慧。            
(NA)	 感觉江华不大适合演楚霸王。。。。            
