http://movie.douban.com/subject/5247088/	法证先锋3 法證先鋒Ⅲ
(NA)	 反正呢，看完以后我觉得张可颐的脸是歪的，然后慢慢的还爱上了徐子珊的嘴唇            
(4星)	 这不能算探案剧了，应该算言情。案件都复杂到涵盖太多方面，探案剧最精彩的一幕居然在法庭上。真心不喜欢EVA，一是我向来对太聪明的女人无感，说好听是聪明，说难听点就是心机重。死在她那个性上，有点残忍了。MADAM完全打酱油，破案的向来都是法医法政。几个案子真心恐怖，不宜独居女子深夜观看。            
(4星)	 剧情三星，另外一星给黎耀祥和张可颐            
(3星)	 一帮人的模特秀            
(4星)	 看完了  恢复日常活动            
(4星)	 吸引点 推理 分析             
(3星)	 看了这部剧就知道女人一定不要太有好奇心啊！最后又是绑架，又是爆破逃跑。。。            
(3星)	 看港剧嘛，最重要是开心。            
(2星)	 主角做作到令人发指，破案就是持续地装逼，你们是法证不是神好吗！就算要给官配让路也不必把配角搞得这么苦逼吧！            
(2星)	 配角几乎完全没印象啊，没几个案例尽是家长里短有木有。。。            
(2星)	 十分十分坑爹啊。你以为一人一pad是炫富啊，你以为你拍科学说教片呐。演员不讨喜，气场较一二弱爆了            
(3星)	 除了内条穿了20多集的皮裤 徐子珊还是不错的 还有这个结局是说明有法政4是吧            
(3星)	 我已经没追求到看TVB的地步了~            
(3星)	 学好地理和生物真的很重要            
(3星)	 看了俩礼拜啊            
(5星)	 算是今年TVB最满意的作品了。其实我最喜欢的是EVA，可惜啊。其实结局挺狗血的，EVA的女儿是被吃了什么迷幻药吗，这么听话。            
(5星)	 继续拍啊。。            
(3星)	None
(NA)	 唯一亮点是徐子珊没那么讨厌了……            
(3星)	 我想说连续看的几个案子都有炒冷饭嫌疑，太弱了…演员我都挺喜欢的，徐子珊也不讨厌。            
(3星)	 剧情挺简单的，看着玩吧。            
(3星)	 看了这个才知道狄仁杰有多么煞笔            
(NA)	 这编剧挺省事 懒得编谁的故事发展了 转头让人把她杀了就好了=-=            
(2星)	 狗血。            
(NA)	 相当先进            
(4星)	 没看过1&amp;2,但是很明显现在所有的表演都是拼情节，太老套了，觉得TVB没玩意了，没有以前好看了            
(3星)	 您能再扯点儿么             
(3星)	 想不明白为什么收视率高过潜行~            
(NA)	 1案子都不是警察办的 2凶手的故事往往悲惨得好像他杀人是应该似的 3主角或者主角身边的人总要出事 4张可颐真的老了 我很悲伤             
(3星)	 一晚上解决            
(4星)	 可颐老多了~~            
(5星)	 看完了 珍惜眼前人啊            
(4星)	 法医发证什么的，高科技的好喜欢！            
(4星)	 一口气看完这种题材果然吃定我啊。徐子珊没有那么讨厌啊            
(2星)	 编剧没吃药            
(NA)	 我就喜欢黎耀祥张可颐这样的            
(4星)	 我觉得有几个片段挺恐怖的，我和室友都抱在一起看。最强的是徐子珊在这部戏皮裤+靴子从第一集穿到最后一集没换过。布国栋就像是圣男一样。            
(NA)	 墨镜党，            
(4星)	 吴卓羲同学帅的好有我当年看TVB的感觉            
(3星)	 1.请问小雯雯是怎么知道她妈咪去了天堂的？2.当Angel中弹躺在加护病房里的时候 一群穿黑西装戴黑墨镜的人一齐走进来看她 当时我有种在看“骇客帝国”的感觉；3.此片家庭伦理是主线 破案只是生活的小点缀。            
(4星)	 这算什么大结局啊！！摆明了要拍4啊！            
(3星)	 抄csi            
(2星)	 最讨厌mandy 专业上精准 生活中追求格调 感情上又能时刻理智 我酸了            
(3星)	 唉，还不如重新叫个名字！另外，圣父圣母才是真爱，其余人不管谁统统靠边靠边！            
(3星)	 剧情是屎！！！！！！            
(2星)	 2011.11.21 剧情各种弱            
(4星)	 这个世界太可怕了，稍不留神就会招来杀身之祸。            
(3星)	 看完赶紧上豆瓣！尼玛我就知道肯定一堆人在吐槽这个狗血的结局啊！！！            
(4星)	 没看过法证1、2的人觉得很好看~            
(4星)	 结局还不够精彩。            
(4星)	 angel为毛要死？            
(2星)	 为什末最后不把所有的人都拍死或者说其实他们是超人呢！！！            
(3星)	 干吗都是女人死。。            
(3星)	 导演水平有待提高            
(3星)	 结局和剧透的不一样啊~又留悬念难道还要出4嚒~            
(2星)	 两星半，烂透了！！！            
(3星)	 预着了只有最后面精彩拉！            
(3星)	 别的看不懂但是法医这部分太扯了，每次都解剖三人了手套衣服都清澈的一比…而且这不是技术剧，这特么是炫耀剧啊！里面随口说说的测量仪器都尼玛几千万啊！而且哪个医用实验室会这么五彩科幻的…PS：萧正楠还是很帅的，得俺心！            
(3星)	 看惯CSI了 看这个真是小意思。。。哎            
(1星)	 还能更差么亲！            
(3星)	 没有欧阳震华真没意思            
(5星)	 angle你为什么要死。。警察查案的工具好高端好先进！！！！！吴卓羲头发好怂。。            
(4星)	 一路追来，说实话我真看不习惯黎耀祥，因为每次看见他就会想起他演过的天蓬元帅。。我就会各种扭曲 。。            
(4星)	 这两天看法证先锋满脑子都是白话！痴线噶！            
(3星)	 扮酷交给高sir一人就够了，全员黑超扮酷走全场真的看的不舒服！不满2小姐身边的小跟班罗钧满戏太少，法医跟法政这比例……TVB整年压错宝啊年底还能有好看过怒火街头跟真相的吗？            
(NA)	 pro sir            
(3星)	 张可颐老了TAT 剧情好弱啊 不过不讨厌徐子珊了。。。最精彩的就是法庭那场戏了 然后黎耀祥真不适合这种高端角色////// 完全配不上我们美丽聪慧的MANDY~那个小法政凭什么死啊 不懂咧 真的很烂。。。。对了好喜欢那个JIM啊 和张可颐很配很配！            
(3星)	 结局搞的哟，不知道内编剧为了霸蛮把情感线和故事线拼一块儿的时候，牺牲了多少脑细胞！！！            
(3星)	 弄半天，我追推理剧比追Bosco都积极            
(3星)	 香港演员真是越来越丑了啊。。没看的了，只好选它，很一般。。。            
(4星)	 看到最后觉得好是因为爱 哭了2次啊 真傻比哟            
(4星)	None
(4星)	 我是太无聊了            
(2星)	 一集没看完 弃之            
(5星)	 一如既往支持警匪片啦，不过张可颐真的老了。。。            
(4星)	 是我也会为你挡那一枪的。            
(3星)	 我想弃 真心想弃 难得我那么喜欢胡定欣的一部戏 竟然让她做炮灰 谁都看得出官配是哪一对吧 那还干嘛要她来打酱油啊！！！！            
(3星)	 粤语版 普通话版 看得我头昏            
(3星)	 科教说教也太多了            
(3星)	 没有前两部的案件精彩 看最后一集的态势 看来很快就会出4了            
(NA)	 张可颐真的好憔悴。。。            
(3星)	 刚看完2.还是2好看 喜欢佘诗曼            
(4星)	 最后一集很精彩。tvb已经开始走主角死的路线了～            
(4星)	 终于追完了！！            
(NA)	 我还是喜欢欧阳震华啊 唉            
(1星)	 脑残弱智缺心眼山寨逻辑混乱生搬硬套胡扯一通，黎耀祥在我的记忆力就是壹号皇庭中的呆子和爱你爱到杀死你的变态，或者是凶悍的柴九。突然间演什么精明专业人士，呆板的要死            
(3星)	 超乎我想象的不太好看。。。还不如荃加福禄寿探案的感脚。。。阿ron完全是个闲角儿，主角是张可颐好嘛= =，还有就是略带装逼犯的感脚。。。            
(2星)	 人物太多，偶然太多。编剧越写到后面，自暴自弃的嫌疑就越大，看到最后觉得最冷血的不是终极boss，而是脑残的新婚一家人。            
(4星)	 3+  casting坚强。但编剧仍无法改变中后段感情线极其拖沓的问题。最后一集半完全是恐怖片            
(4星)	 黎耀祥很棒以及反正我爱死了徐子珊和胡定欣，钟学心和布国栋在我眼里真的就是一对狗男女啊摔。            
(3星)	 剧情真心一般，技术越来越先进了，这纯粹就是无敌我们内地善良的观众！在内地这种神奇的地方，什么死亡方法都是自杀噢！你们香港傻眼了吧！            
(4星)	 沒想到發證烏東沒了歐陽震華林文龍以後也學會了無節操吐槽學會了崩壞……胡定欣鍾嘉欣這輩花旦都要爭當人妻了啊……徐子珊與沈振軒的組合明明是Paris與爆登但吐槽的卻是富貴妹……視帝港姐什麼你懂的……最後……終於還是標準結局了……陳豪嫂你死得好慘啊……            
(3星)	 没有Tim sir有点少失望。。。。。最后一个案件略突然            
(3星)	 跟CSI比起来真是小儿科            
(4星)	 虽然跟刑事侦缉档案4和鉴证实录比起来这部剧确实不咋的，但还是一集一集的看下来了。            
(3星)	 那就是為看布色儿和曼迪啦！肉恩變土鱉了            
(NA)	 。。。。坑爹            
(4星)	 案子不精彩就不说了，牛逼的编剧竟然拆了三对情侣。            
(3星)	 比前面的差远了，那么容易就破案啊啊啊！！徐子珊演技实在太差！其实EVA演坏人挺入戏的            
(NA)	 一集。弃。虽然是黎耀祥的脑残粉，可也不能阻止我弃这剧……各种不喜欢。虽然莫名强迫症想要看完……            
(NA)	 希望特大于是失望            
(4星)	 阿sir不像阿sir，madam不像madam，张可颐不像张可颐，吴卓羲却还是吴卓羲，还好还有胡定欣            
(3星)	 徐子珊我爱死你了！！！但是可以不要再和吴卓羲搭档了吗！！！            
(NA)	 啊啊啊啊啊，人生又有追求了！！！！            
(4星)	 远不如前面的好看，但还是忍不住一集集的追，也许无关剧情，只为情怀。            
(2星)	 搞毛            
(3星)	 “天眼少女”系列是TVB版走进科学诶。            
(5星)	 最后的案子都是惯有的了。。为了吴卓羲！！！！！！！            
(4星)	 编剧是不是吃屎啦 非要让angel 死干嘛啊 老子追港剧以来最喜欢的女人就因为替男盆友当一枪背部中枪就搞死啦 编剧2缺啊 本身就喜欢陈茵薇这个人 其他人 包括ken 都只是剧情需要 花痴一下也无妨             
(3星)	 除胡定欣其余真心不行。。。            
(2星)	 第三部活生生浪费了这个系列            
(3星)	 终于熬到了结局~法医锅锅真是漂亮~但是和破锣sir真是不搭啊~徐子珊看得出演得很卖力。吴卓羲你个愣头青~胡定欣真适合演奸角~结局用力过猛烂尾了~            
(3星)	 請問最後那個是走秀嗎 張可頤老了好多喔 陳茵媺的衣服還蠻喜歡的顆顆            
(3星)	 狗血啊，要打了鸡血才敢看结局！            
(5星)	 五星統統給美翻了的張可頤姐姐!!! 但是還是忍不住要對劇情吐槽一下… 這個殺人套路喔實在是不來塞啦。麻煩編劇動動腦子設劇情好伐啦!! 老是把兇手刻意推出來 是不是太玩弄老娘智商、欺騙老娘苦追你一個月的感情了啊!!!            
(4星)	 这个结尾纯粹想让人失眠，期待法4。            
(2星)	 我看法证和警察都快被整合成一个部门了吧！-_,- 然后一人一台平板电脑放桌上，站在上面讲的人却要写白板，太瞎了吧？？？最后关头手被犯人抓着，一脚飞踹那人的头不就行了吗，那把枪在那瞄瞄瞄吃撑了吧！            
(4星)	 编剧要不要这么没新意啊···不过还是不错看            
(3星)	 好失望。            
(2星)	 没有大冬瓜怎么都不能给好评╮(╯_╰)╭ 况且真的很烂            
(3星)	 他们一般是这样出场的：一组人一组人的到，分别摆个pose，再等主角到，再分别摆pose，然后所有人一起摆着pose走到案发现场。。。            
(4星)	 &lt;29 完结&gt;我可以忍受法医是找证据的法证是破案的警察是整天吃喝玩乐的 但决不能忍受感情是主线破案是副线以及拖拖拉拉的破案进度。我真的爱死二小姐和阿Kate了❤（求这帮人再来个法四吧TAT            
(3星)	 1好2更好3还好，但是3给我看害怕了奶奶个抓的，天眼少女和最后EVA死时候真的瞎完完地了。。因为吓人少给一星嗯哼。            
(3星)	 让我考虑……要不要看完 真。略恐怖。            
(4星)	 加入了很多现代元素，但还是不错的，挺严谨            
(4星)	 中段有几个案子还不错，话说每部最后一个故事都一定要搞这么轰轰烈烈吗？            
(5星)	 我觉得这货比犯罪心理恐怖好么            
(3星)	 好同事终成眷属            
(3星)	 黎演的蛮感人的            
(4星)	 我决定追随法政系列到底~一如之前的香港警察系列！哇咔咔~！            
(4星)	 徐子珊这部里没潜行狙击那么讨厌，反而还挺讨人喜欢的，张可颐也漂亮，就是看着黎兆祥的时候他演二师兄的画面常常会跑出来笑场...            
(3星)	 劇情還可以。。。可是趕腳發展太快了= =            
(3星)	 最后要不要这么狗血啊~~~可怜的Ada和Angel            
(4星)	 angel和她男朋友好般配啊~~~~            
(4星)	 喜欢陈茵媺~正妹！            
(3星)	 啊啊啊又一次经受了港式狗血的洗礼！！            
(4星)	 案件很紧凑，节奏也很快。但我最喜欢的是里面的一干男女拍拖都好干脆，喜欢就说出来。算是不错的续集。            
(3星)	 看过CSI再看这个就……            
(NA)	 追看剧~张可颐好棒~~~徐子珊演帅气女警也很到位。案件倒是没有很引人入胜的感觉，最后留小尾巴什么的好讨厌。。            
(NA)	None
(3星)	 快进快进快进→结束。            
(5星)	 编剧给力～            
(NA)	 刚看完觉得挺好看的 接着看法证12才知道3真的是对不起法证这块招牌了。            
(4星)	 张姐姐适合演胡定欣的角色，然后把法医的角色让给ice姐姐吧。。。咳咳            
(4星)	 很好看啊。            
(3星)	 怀念欧阳震华            
(4星)	 Pro sir太得我心了。。尤其是送eva和dr.钟回家和定心丸的细节。。管案件去死啊。。爆登和双胞胎穿越看得我好开心~ada这个剧造型和性格都很讨喜啊~意外~其实jim挺好的~高sir也是萌点~真心觉得风少不好看。。T.T eva死的时候我还是松了一口气的。。摊手。。。为什么angel死了啊啊啊 ！！她为什么要死啊啊            
(3星)	 我看了开始 就猜中结局            
(NA)	 咦 怎么第二级就有搞基戏份            
(3星)	 徐子珊和吴卓羲这对狗男女。。。张可颐怎么老成那样了            
(4星)	 法政法医都开始断案开始抓犯人了 警察神马的可以回家洗洗睡了。。            
(4星)	 虽然情节各种假 但是还是觉得好看呢            
(NA)	 还可以吧，终于记住吴卓羲的名字了。。。            
(4星)	 徐子珊终于没那么讨厌了，以前总是演那些好贱格的角色真是叟不尿            
(4星)	 木有帅哥呀~~~            
(5星)	 超帅的！！！            
(4星)	 电视剧只偏心港剧没办法，其实完全可以另取名字不叫法政3的！！            
(3星)	 剧情很薄弱，一猜就知道是谁。问题是，angle竟然死了。坑爹啊。坑爹啊啊啊啊啊            
(3星)	 欧阳震华是灵魂人物。没有他的法政先锋完全找不回前两部的感觉。真心没觉得张可颐好看。            
(3星)	 又一部编剧赶着上厕所的电视剧            
(3星)	 片子里面好多精分啊。后面看看就觉得没劲了            
(3星)	 一般            
(4星)	 真是不喜歡胡定欣！如果要在徐子珊和胡定欣裏面選- -還是徐子珊吧！= =！再加個楊怡！再加個佘詩曼！再加個鐘嘉欣- -我喜歡喜歡鐘嘉欣了= =！            
(2星)	 我想杀人。。。每一部还不容易出了一对，马上就要死一个。。。Σ(｀д′*ノ)ノ             
(4星)	 一如既往的TVB，好看            
(3星)	 演员大换血。。没有第一部好看，张可颐出来时我都没认出是她。            
