http://movie.douban.com/subject/3314870/	潜伏
(5星)	 20090422.兰花村，日。昨天看第十五集，竟然看哭了            
(4星)	 年三十儿到今儿啊，姐宝贵的光阴啊！            
(4星)	 酷            
(4星)	 我们都在看呢            
(4星)	 演员的演技都还可以，不过情节的漏洞还是有的。最大的BUG就是，为什么余则成一到天津站，这里就没有秘密了？这难道不值得怀疑吗？            
(4星)	 晕，推荐标签：喜剧，黑色幽默，心理，爱情，战争。。。。。（这元素真全啊）干脆db你代表我全自动定义得了，我好省事儿～～～～～～            
(5星)	 最近好多台重播……            
(4星)	 反正我哭了，哪怕这可能只是个言情剧- -+            
(4星)	 不想看的时候电视里天天演，等我想看倒不演了~            
(4星)	 悲伤尽情地来吧 但要尽快过去。            
(5星)	 孙红雷真的太棒了            
(4星)	 真实            
(4星)	 如果能不露话筒不穿帮就更好啦！            
(4星)	 先要“沉下来”，才能“浮上去”            
(4星)	 传说中的……            
(NA)	 都是职场战略啊~~~            
(5星)	 嚓。从今天起，做一个潜挺。            
(5星)	 可哭死我了~~~            
(NA)	 其实是我妈妈在看。。。            
(4星)	 是的对三四十岁的大叔毫无抵抗力孙红雷陈道明黄日华归为一类 演技和主题方面是二花说的主人公关怀让我突然觉得自己浅薄的要命 毫无羞耻感             
(5星)	 很喜欢姚晨扮演的角色            
(3星)	 娘亲烧饭时候看，跟着看。小场面的压抑。            
(3星)	 看了10多集都沒辦法into進去 想來革命劇還是不對我的胃             
(4星)	 一流表演，优秀剧本。            
(5星)	 少说话，多干事。特喜欢爱乐乐团合唱的《深海》            
(4星)	 很不错很利索！            
(NA)	 学着点            
(5星)	 确实很牛逼            
(5星)	 这结局太操蛋了，啊啊啊啊~            
(5星)	 年度杯具。土共国党皆是空。            
(5星)	 在不同电视频道里看了N遍了，百看不厌。            
(4星)	 经对比此电视剧导演不错，孙也是不错的演员。            
(4星)	 虽然我没耐心追连续剧看            
(5星)	 还是孙红雷靠谱！！            
(5星)	 好看。            
(5星)	 29集终于哭了。廖三民死的悲壮            
(4星)	 故事情節比較好呀 =  = 那個個別人演技也很棒我對這部戲有很好的回憶            
(5星)	 好剧            
(5星)	 我看过的最让我伤感的电视剧            
(5星)	 除了第13集没有看，其他全部看完。不俗的国产电视剧。五星嘉奖。            
(5星)	 结局好心痛……            
(5星)	 我不知道该同情左蓝翠平还是晚秋            
(5星)	 在看中～            
(5星)	 最后让人觉得我们都是可悲的,一些组织都是自私的            
(5星)	 我 爱 孙 红 雷 !            
(5星)	 很牛逼啊            
(5星)	 各种心碎啊            
(4星)	 还历史以人性的面目            
(5星)	 很喜欢！            
(2星)	 搞笑片。信仰是块皮（屁）。谢若林牛逼             
(4星)	 剧本太棒了            
(5星)	 我的信仰是无底深海  小孙的眯眯眼满可爱的 喜欢他从他的流氓开始。。。            
(4星)	 还算不错的谍战片子            
(4星)	 什么也不信，这无疑是最可怕的。算计，算计一切可以算计的人和事，现如今，朋友、爱人、家人，也能“满嘴是情义，满心是利益”。            
(5星)	 太牛了。            
(5星)	 0907 看的停不下来             
(4星)	 比还行强 就给4颗星 有几处硬伤 但是能看出大家都很认真 相对同期其他谍战题材这片可以矬子里拔个将军了            
(NA)	 不动声色             
(NA)	 “我他妈都等了你两个时辰了。”            
(5星)	 最后一集哭死我了            
(5星)	 就是遗憾吧，就是命运吧。            
(5星)	 革命是残酷的，一切在它面前都只得沉默。老余太强了，国民党真是人才济济啊，只可惜，留不住人            
(5星)	 虽然据说它有点脑残，可是我怎么看怎么觉得感动而且哭了不止一回            
(5星)	 太喜欢左蓝了。            
(5星)	 去他妈的主义            
(3星)	 无非就是小布尔乔亚的无病呻吟，留念它就是高度近视。有些台词很有意思。            
(4星)	 做梦都在看，看了两通宵            
(3星)	 暗算之后            
(4星)	 对于人物性格的刻画极其生动，近年来不多见的优秀谍战片。            
(5星)	 佛龛是国民党的余则成，深海就是共产党的李涯。这俩我都喜欢，独不喜欢的唯“信仰”二字。然则“滚滚长江东逝水，浪花淘尽英雄。是非成败转头空。”            
(5星)	 最喜欢看这几个人的对戏：余对陆、余对站长、余对翠平            
(5星)	 始终还是大时代的小人物……但是却很感人……            
(5星)	 我运即国运，为李涯默哀。            
(5星)	 从总体来看不是明枪明刀的事儿总不算是大事儿，但悬念迭起峰回路转跌宕起伏酣畅淋漓荡气回肠欲罢不能啊！国大还是家大？结尾的主流价值观是“为国奋斗终生。”            
(4星)	 姚晨演的极好。其他演员也很不错，除了孙红雷，装啊            
(4星)	 木有想象的好，7分吧，编剧很强悍，余先生其实是个没理想的人，入什么党啊~            
(4星)	 国产电视剧少有的精品。            
(5星)	 是挺棒的！            
(4星)	 还是黎明之前好看            
(5星)	 头一次看电视剧这么有兴趣，NB            
(4星)	 我觉得真这么潜伏早就被抓住了……            
(5星)	 最后一集显示组织太不靠谱了！            
(5星)	 這我看過最成功的編劇的國產劇。            
(5星)	 在同事不断的推荐下，现在才看，的确是非常的好看 - 保密的那帮人都很强~~~            
(NA)	 信仰，家庭都不能保护谈什么信仰；信仰！感情被玩弄了还要识大体，什么信仰！狗屁...            
(4星)	 原来姚晨的戏份这么大。感情戏太多，节奏有些拖沓。主角的计谋有些过，剧情有漏洞。            
(4星)	 革！命！的！爱！情！分！外！浪！漫！            
(4星)	 看得异常压抑            
(5星)	 从小处来看，余则成的机智和沉着令人敬佩，李涯的忠勇狡诈也深入人心，而从宏观角度看，个人命运不过是历史洪流中的一粒细沙。我认为，余则成信仰的改变不那么明显。            
(5星)	 超正~            
(5星)	 太好看了            
(4星)	 现在我们总该重视人了吧？            
(5星)	 好看！            
(3星)	 三星半！没吹那么强            
(4星)	 那个年代人人一水的钢笔，中山装，看得爽死我啦。            
(4星)	 这个应该改名叫，古今共产党员对比片            
(4星)	 跟着姐姐一起看完，发现姚晨演的真不错，可惜剧情没有想象的艰险，李涯死得太囧了，结局基本属于烂尾            
(NA)	 天津不是天津，间谍不像间谍。            
(4星)	 看过一部就可以了～            
(NA)	 这部电视剧背后的理念非常模糊，只想娱乐一把，以至只能靠嘲笑一个乡下女人来作笑料，可叹可怜。            
(NA)	 这是群众的压力啊...我真不能这么看电视剧了.            
(4星)	 在家陪妈妈和姥姥看的~还不错·~            
(5星)	 看完以后难过            
(5星)	 好看，真说到人的故事那么稀少，尤其是那段时间的，所以特别好看            
(NA)	 @pps home            
(5星)	 还是不错的国产片，虽然一开始硬着头皮陪老妈看的。孙红蕾的眯眯眼我还是不能接受，老妈却说这叫男人味，不敢苟同。            
(5星)	 真长见识，人性啊，人心啊，算计啊，伪装啊……中国人这方面真牛，内耗真在行！身在中国，不学会这些怎么行？            
(4星)	 除了节奏慢点儿都挺好的 关键雷哥哥演技好            
(5星)	 连续四天看完，不错，但结局真让人接受不了，一辈子啊！！！            
(4星)	 很好            
(4星)	 心理战            
(4星)	 我也看过的说。            
(5星)	 讽啊讽！            
(5星)	 国产佳剧.            
(NA)	 非常好。花了两天时间看完了潜伏这个电视剧。 我喜欢智慧型的人。当然勇气也是坚持的必须。有几个小感悟： 1. 人还是要有理想的。 但是理想也的确需要付出很多代价。现在的人都太现实了。不会考虑什么理想了。也许和平时期就是这样。“生存”而不是“为什么生存”就是每个人最关心的字眼。             
(4星)	 刮目相看之作，少了戾气和惯常表演，孙红雷完全演对。            
(4星)	 经典国产悬疑连续剧。            
(3星)	 3.5断断续续看的            
(5星)	 DVD压缩碟            
(NA)	 国军也太弱智了吧            
(4星)	 太恨这结局了。。。            
(5星)	 我覺得挺好看的 = =怎麼辦 我是老了麼            
(NA)	 李涯真帅~            
(5星)	 团团唯一一部从头到尾完整看完的电视剧  很赞            
(4星)	 该在一起的就是不在一起。            
(5星)	 林黎胜。。。            
(NA)	 孙红雷太帅了！啥都能演！            
(5星)	 很久不看电视剧，这个不错            
(5星)	 虽然是后知后觉 ha~            
(5星)	 太nb了！            
(4星)	 前半段比后半段精彩，但总体来说对于“信仰”的描述比较空洞，尤其后段，基本沦为纯技术流的斗智斗勇，失之无味。左蓝太红太专，晚秋太假太二，唯有翠平同志实惠，狙击保镖之于还堪以调情搞笑之重任。谢若林在一干人中生活哲学之境界最高，毫无悬念是全剧最出彩的人物，坏在太真诚没城府，可惜了的。            
(5星)	 很少有这样的电视剧了 结尾很好 依稀看到了孙红雷当年诠释阿来时的气场            
(4星)	 编剧、表演很精彩，调度、拍摄较粗糙。            
(4星)	 嚯，两天一夜            
(5星)	 難得的紅色題材 姚晨 孫紅雷 絕對優秀            
(5星)	 嘿嘿，我OUT了，赶紧补回来            
(5星)	 合情合理的跌宕起伏            
(5星)	 4.5星            
(4星)	 唯一一部完整看过的国产剧，挺不赖            
(5星)	 爱祖峰...            
(5星)	 大嘴姚晨一样能搞出经典角色 无声机关枪            
(4星)	 虐            
(5星)	 哎呀我就耐看孙红雷和我们家姚晨            
(4星)	 我最喜欢老站长……冯恩鹤同志，您的演技真是炉火纯青呐，果然不愧是八一的老演员！！            
(4星)	 四星半。            
(5星)	 这许多年来，难得一部没有任何噱头不玩任何花哨只图一个好故事的脚踏实地型电视剧，只能说，很少有。            
(5星)	 看过的最好的一部大陆电视剧~~~~~            
(5星)	 星评这么多高，推荐这么多，不能自绝于人民地来看潜伏了~看完以后不得不觉得，卧底真tmd不是人干的活儿！！ 太需要心理干预了！！！！            
(4星)	 搞笑，好玩，有点感动            
(2星)	 只爱陈桃花            
(5星)	 我们全家一起看的~            
(5星)	 看完了真难受。唯一败笔在剧中季节转换。不过仍然满分，很好很好            
(4星)	 翠平最开心的，是最后与余则成相望的一眼吧。而这政治的残酷，要使她一生都要在回忆中度过。第16集，晚秋再次出现，对着余则成，将头发拢到耳后，悠悠怯怯地说，我嫁人了。            
(5星)	 09年最好看的国产剧。节奏感很赞～            
(5星)	 不能接受这个结局啊啊啊&gt;__&lt;            
(4星)	 结局真恶心            
(NA)	 陈桃花。莲舍。北京。            
(4星)	 俩人的感情拍的很真实。            
(5星)	 至少中国人玩政治，玩阴谋是相当有水准的……            
(4星)	 我竟然看完了一部电视剧！鼓掌~~            
(5星)	 只是不喜欢结尾~那个妖精终于得逞了            
(5星)	 太赞了，近期最好看的大陆电视剧。            
(4星)	 讓孫紅雷在臺灣出名了            
(4星)	 孙红雷演技不错，以前的狠劲一点都没了。 断断续续跟着爸妈看完。廖三民的死法没想到过。 斗智斗勇，拼心理素质的。            
(5星)	 朱子家训，鸡窝，深海。。。姚晨的能量很强大~            
(3星)	 盛名之下，其实难负啊。。。孙德表演太装了吧，姚的稍好，舞台剧感觉又太重，倒是有配角不错的，但大多都有捏腔拿调的嫌疑，总体来说还算可以吧，起码在国内电视剧里面来说，看看还过得去            
(4星)	 通过此片确定孙红雷的确是目前国内少壮派演员中演技最好的其中之一 姚晨也大有前途。            
(5星)	 如果一定要打分的话，我想他应该是100分，绝对的满分100！！            
(5星)	 信仰的力量            
(NA)	 孙红雷，你的时代到了            
(4星)	 创新不容易 这个不错~            
(5星)	 中国解放战争            
(4星)	 政治与性是恒久的主题。如果一切暧昧，勾引，挑逗，出轨，一夜情，艳遇，劈腿，婚外恋，包二奶都能由组织上出面，以政治任务的形式出现，那将多么令人激动啊。            
(4星)	 就那样            
(4星)	 很不错            
(5星)	 火了一部《潜伏》多少部仿《潜伏》就出现了，还一部比一部假！            
(5星)	 最爱的 是李涯~~            
(5星)	 其实那已经远远超越爱情了。那是信任，信仰和默契。            
(4星)	 翠萍很有喜感            
(5星)	 一个周末看完的电视剧            
(5星)	 剧情是靠翠屏犯错误来推进的 真是缺根弦儿啊            
(5星)	 国内我给5星的很少，这个，可以            
(4星)	 难得不错的国产剧，几个配角很出色的，台词也好。            
(NA)	 这结局真让人郁闷            
(5星)	 干净利落的谍报剧，非常吸引人            
(4星)	 现在TMD国内电视剧也开始走红            
(4星)	 理想主义，家庭档，我跟着我妈看了两遍。            
(5星)	 跟我妈看的..挺不错的            
(5星)	 谁知道自己的坟墓上是鲜花还是狗屎？则成同志，翠平同志还等着你哪……            
(5星)	 很单纯的看完，很好 不纠结，            
(5星)	 献礼的同时  为观众打开一扇窥视历史的床 执政的偶然            
(4星)	 我就喜欢翠平的大嘴            
(5星)	 导演很有风骨            
(4星)	 我喜欢朱杰。吼吼            
(4星)	 还行，结局不好            
(4星)	 水准不低 结尾不好            
(5星)	 致敬            
(5星)	 余则成绝逼是天蝎座。            
(4星)	 090904            
(NA)	 真好看真好看            
(4星)	 我信仰你，信仰生活。            
(4星)	 累死我了。。            
(5星)	 最后1集里的几个配角哈差，关系户吧。            
(4星)	 孙红雷能不能换个腔调，审美疲劳。            
(NA)	 学会隐忍！            
(5星)	 太好看了！            
(5星)	 相当不错            
(4星)	 和姑姑姑爸一起看～～            
(5星)	 最后的结尾太电影化了。。。。晚秋的眼神太恐怖了。。。            
(4星)	 发现国内还是有一些不错的电视剧的。。。比如这个            
(NA)	 好久没看过电视剧了，而且我最喜欢spy的题材。。。            
(5星)	 机场离别那一幕让我泪流满面...全剧催泪最高潮            
(NA)	 开始讨厌孙红雷了            
(5星)	 戏不错，价值观不赞成。自由与人性受限制，革命者的爱情再浪漫也不足取。            
(4星)	 最后和晚秋的偶遇，让人觉得有些过分巧合，好像是一辈子也绕不开女人这道坎了            
(4星)	 电视剧太耗工夫了            
(4星)	 太纯真了，好在有些东西很现实。            
(4星)	 演员选的好!!(貌似是小半个梅兰芳组的~)谢若林帅,~曹炳琨http://baike.baidu.com/view/2164427.htm这小子要火!!            
(4星)	 一场闹剧            
(5星)	 访谈纪要所需            
(5星)	 没见过孙红雷如此型男            
(5星)	 一气看完了 非常好看            
(4星)	 心事不改！            
(5星)	 没完没了            
(5星)	 不錯！            
(5星)	 经典！            
(4星)	 其实还挺好看的            
(5星)	 情节紧凑，结局出乎意料            
(4星)	 “嫁人就该嫁李涯那样的”            
(5星)	 “我看过的最好的谍战剧”，原来这句溢美之辞只给了《暗算》。            
(4星)	 每次回家陪父母看电视剧，看着看着就看上了。。。            
(NA)	 需要恶补近代历史            
(4星)	 我都快看成喜剧了，老顽童啊，我啊，陪家里领导看            
(4星)	 这是战争年代最纷乱的爱情。            
(4星)	 还是得看点有文化的。。。            
(5星)	 很精彩            
(5星)	 看到最后一集，她从鸡窝拿出结婚证书时我竟然看哭了            
(5星)	 大时代背景下的小人物命运--身不由己。            
(5星)	 潜伏是最牛逼的电视剧！ 潜伏是最牛逼的电视剧！ 潜伏是最牛逼的电视剧！            
(5星)	 09年看的特别乐呵 “林黛玉是哪个野女人”            
(5星)	 超级讨厌那个晚秋  装圣女            
(4星)	None
(4星)	 【这是为了今年阅片量凑数的！！！这是为了今年阅片量凑数的！！！剧情导演背景都知道啊都知道！！！！】            
(5星)	 最震撼的结局是：盛乡才是真正的潜伏！            
(4星)	 懸念還是不夠，跟《越獄》沒法比~~            
(4星)	 床晃啊晃             
(5星)	 诶诶我都忘了.. 这东西我也看过来的！            
(5星)	 余则成：我就喜欢潜伏  刺激            
(3星)	 挺帅的            
(5星)	 消磨时间用            
(3星)	 3.5啦，还可以吧            
(4星)	 最后一集我还哭了。            
(4星)	 总算看上这片子了……嘿嘿，虽然听他们讲“信仰”的时候，还真不厚道地发笑过，但每个人都不停地在追问自己的价值，“我可以做什么”，这点很受感动。            
(4星)	 刘华强也能演谍战片！！！！            
(5星)	 第二次看了还是欲罢不能。结局是让人遗憾了，所以才那么让人回味吧。            
(4星)	 “我信仰生存主义。”“我兜里现在有两根金条，你告诉我哪一根是高尚的，哪一根是龌龊的。”            
(4星)	 志高是个好老公，则成是个好男人……            
(5星)	 挺喜欢李涯！            
(5星)	 牛逼……            
(5星)	 经典            
(4星)	 看到27集这俩终于洞房我就满足了，最后大结局过于悲催还是放弃吧。            
(5星)	 结尾真Tmd虐人啊！余则成最后要是没从呆湾回来把翠平和孩子从山里接出来，就去死吧！太混蛋了，晚秋那种女的最恶心了！直接去死！！            
(4星)	 扣掉的一星是因为孙红雷的做作            
(3星)	 不懂为毛呼声这么高，难道不就是平平么……            
(5星)	 第二遍了~老孙~戏骨子~            
(NA)	 捧得太高了点吧。听到那些口口声声的狗屁信仰我就起鸡皮疙瘩。其实它想告诉我们这个国家前途天下兴亡民族危难跟我等匹夫屁妇既没有鸟关系也没有蛋关系。我们几千年的礼仪之邦文明古国要狠起来那是天下无敌的，特别是玩政治，人性没扭曲变态你好意思玩？            
(5星)	 超级好看...一气呵成的...            
(5星)	 结局太虐太纠结了            
(4星)	 被逼的，陪老妈子看的，，，但我对侦探，悬疑，斗智那类的东西木有抵抗力。。。            
(5星)	 这片子给力- -。。            
(5星)	 情节跌宕起伏，扣人心弦，整个故事也许就是地下谍战的一个缩影。里面简直是现在社会的缩影，当官为钱，不为事业，更谈不上服务，当然没有办法出成绩，只有忽悠，余成功不是他聪明而是他面对一个腐败的系统，漏洞百出。同时也教会我们如何做人，用在职场上，生活上，无比合适，现在的社会该学余则成。            
(4星)	 断断续续看完了这部火红的谍剧，可能是此类片看得太多，并无惊喜的情绪。done            
(5星)	 虐！心！为什么李涯的死令我如此伤感。。。廖三民也不错，你们双宿双飞也算一个好结局！！！            
(5星)	 组织太讨厌了555555555            
(4星)	 没看全 但左蓝死那段看了好几遍            
(4星)	 除了吴站长，你们都是个屁。            
(4星)	 我喜欢大团圆结局嘛~            
(5星)	 孙红雷这个影帝！！            
(1星)	 组织最无赖！！            
(3星)	 不爱姚晨，晚秋系非吾等明北滴银镯女纸。            
(5星)	 陈桃花阿桃花！！！！！！！！！            
(5星)	 最后翠平和余则成怎么就没在一起呢？。。。。。。这编剧怎么那么刻意安排结尾呢？。。。应该让余则成回归身份啊！抱孩子啊回家！。。。干嘛和晚秋结婚！。。。。。。            
(5星)	 余则成真男人            
(4星)	 吴站长想的最开            
(4星)	 李涯是个好同志。晚秋是个好忧伤。            
(5星)	 结局告诉我们，不要给组织做事。因为它连最基本的家都不给你            
(5星)	 刺激片。算算年代，最后余和翠平也没能相见……            
(5星)	 难道还有二麽！！            
(5星)	 2010.8 alone @SH            
(5星)	 陪妈看的。            
(5星)	 什么也不说，祖国知道我            
(5星)	 这个纯粹就是美剧的路数啊             
(5星)	 意犹未尽。            
(5星)	 经典没的说            
(5星)	 孙红雷阿～～～～～～            
(4星)	 这个结局我不能接受。            
(5星)	 最后一集哭死，总觉得好不近人情啊，悲伤尽情地来吧，但要尽快过去。            
(NA)	 看过2遍            
(4星)	 全是演技派，全是办公室政治，全是狗血party~            
(NA)	 WANQIU NI G XIAOJIANR,POLANHUO !!!!            
(5星)	 哭着看完最后一集，眼泪就没有停…            
(NA)	 看潜伏印证了一点 那就是没有一个好饼             
(5星)	 太好看了！电视剧一样可以很优秀！还有就是廖三民，怎么这么帅啊！            
(NA)	 我信仰良心、信仰生活，信仰你。            
(NA)	 主角配角都很好，几乎无可挑剔            
(5星)	 谍报工作，刺激            
(5星)	 节奏好棒.  结局好凄凉. 整个都好讽刺= =.            
(3星)	 我喜欢廖三民...的长相, 你演技好一点就能去某孬编剧里...演个小配角了.            
(5星)	 第一次看武林外传的时候感觉姚晨完全就是一个大爷们,后来深深的爱上此女子了!            
(4星)	 没死！            
(4星)	 瑕不掩瑜！            
(5星)	 很喜欢。            
(5星)	 人生之不确定。            
(5星)	 结局我不爱            
(4星)	 我怎么还是看到了爱情，唉~我没救了            
(5星)	 信仰，            
(4星)	 为革命这件大事，牺牲爱情这件小事的人，都是传说。演技表扬            
(5星)	 分寸            
(5星)	 我最喜欢吴站长：一个混机关的，身上没有一点脏东西的话，是不会有人信任你的。这一点我感触颇深。即便是在这样一个注重brainwash式口号的东方国家里，空谈主义而不务实的人，也无法生存。            
(4星)	 我爱大嘴翠萍。            
(NA)	 其实我喜欢谢若林和吴刚。。。            
(4星)	 地下工作者够刺激的            
(5星)	 一列雄壮的队伍里小小一个余则成挥挥手就过去了            
(5星)	 这是余则成，不是阿莱。            
(5星)	 坚持信仰            
(5星)	 少花点钱找所谓的帅哥美女，多花点钱给编剧导演外加认真选角，中国剧总是能再整出惊喜的。            
(4星)	 内战版的办公室政治~结尾真虐心.......................            
(4星)	 有人味儿            
(4星)	 确实不错            
(5星)	 看了潜伏，我决定买wsj，而且必看            
(4星)	 充满哀怨的结局堪称神来之笔，红果果的揭露了某D泯灭人性的本质。            
(4星)	 情节及孙红雷表演抓人，姚晨浪费了出镜率，女配角有潜力，官史史观。            
(4星)	 注意，此剧后宫            
(NA)	 看了几集，有些笑位，比较拖沓            
(5星)	 超赞啊！戴老板挂了后，国军谍业果然就衰了。。。。。            
(5星)	 孙红雷的演技那真是好            
(5星)	 妈的太牛B了             
(5星)	 作为间谍片 主旋律片来说 它很优秀            
(4星)	 被寝室同学带着断断续续看完了，有点意思。            
(5星)	 太赞了             
(NA)	 处女大战天蝎之经典            
(NA)	 越看越难看。            
(5星)	 最后竟然和晚秋在一起了，不可思议            
(5星)	 在黑夜里梦想着光。            
(5星)	 虐死....T-T..........            
(4星)	 借古讽今之嫌。            
(NA)	 我老了！            
(5星)	 一天一夜没睡觉看完了            
(5星)	 油纸伞说浪漫已经死掉。            
(5星)	 大结局那个穿帮话筒雷了好久 |  李涯的信仰太纯洁了            
(NA)	 这部戏因为有了姚晨而特别可爱。。            
(4星)	 我怀疑余则成的智商高达160            
(NA)	 俺连木木强都忍得了居然忍不了孙雷王！            
(5星)	 nb            
(5星)	 演员演得相当到位！精彩！            
(4星)	 挺不赖的            
(5星)	 ★★★★☆            
(4星)	 我是不满结局            
(5星)	 多么可惜却又多么美丽。。。这是温柔~            
(5星)	 看的时候很苏陆桥山，囧rz            
(4星)	 非得往深刻里整？30集，体力活。就不能不折磨人嘛。            
(5星)	 我想写续集            
(5星)	 50年代末。中共在台湾的地下党支部及全体人员已全部被清洗。900余人被枪决。            
(5星)	 哇，居然是9.1            
(3星)	 酝酿中            
(5星)	 孙红雷如果不做演员，是观众的损失；姚晨，我命中都在寻找这样的女人。这部电视剧太精彩，而且留下了一个回味无穷的结局。            
(5星)	 愚钝者亡            
(4星)	 情节紧凑 泡沫少            
(5星)	 这就是凄惨的爱情所发生的全过程么            
(5星)	 看完这个  压抑了一会  想着看个别的调解下气氛结果看了非诚勿扰二   看到姚晨和孙红雷时 我穿越了 也解脱了            
(5星)	 结局实在是很虐，尽管这就是现实。信仰也好，政治也罢，反正爱情在它们的照耀下，微不足道就对了~！            
(5星)	 精彩而精致！            
(5星)	 大家都在吹牛，说自己的戏像美剧，在我看来，这几年本质最像美剧的戏，就是潜伏。——宁财神            
(5星)	 结局显得组织也太不厚道了            
(5星)	 我很快就潜伏完了              
(4星)	 剧情有bug。但是营造的整体感觉还不错啦            
(NA)	 挺好            
(4星)	 我的国产剧第一次。            
(4星)	 我想，我喜欢老男人。            
(5星)	 太好了~~~~~~~~~~~~~~~            
(5星)	 嗲~~~~~~~~~~            
(4星)	 时间就像一头野驴            
(5星)	 忒喜欢吴站长            
(5星)	 可怜了翠平了···            
(4星)	 只能说我把他当一部喜剧片在看，大爱孙红雷。            
(5星)	 该死的信仰。。            
(5星)	 非常好！            
(5星)	 简直太他妈好看了！是我这几年看过的最好看的电视剧！电视剧果然还是国产的最最厉害！在我心中如同悬浮于金字塔上空的空气那种档次的电视剧都是国产的，金字塔顶尖的经典电视剧是基于理性的给予的评价。而这些不仅仅是。            
(5星)	 国内编剧有这个水平算不错了，结尾也没有大团圆            
(2星)	
(4星)	 对不起，其实我是卧底！            
(5星)	 难得的好剧。。情节紧凑，环节紧扣。            
(4星)	 这个男人。。这才是真正的男人！            
(5星)	 没想到最后一集是从头到尾哭着看完的。这不是一部精品，而是一部极品。            
(5星)	 雷雷的片子啊            
(5星)	 很少看大陆剧，一般都是朋友看完推荐看的。前半段压抑，后面却为他们的爱情而感动            
(5星)	 大时代背景下个人命运的沉浮。真实的故事应该比我们看到得更精彩。http://space.tv.cctv.com/page/PAGE1236044652526122            
(5星)	 如果每个男人的生命中都有一个翠平。            
(5星)	 太经典了，情节的紧凑紧张和人物的机敏冷静形成鲜明对比，一处处的让人觉得没有希望了一定会暴露了，却又一次次的峰回路转化险为夷，真是十万分的佩服剧中的余则成一角            
(4星)	 我暑假回家一天半看完的..挺好看的~~(如果你按快进的话)            
(NA)	 “我他妈都等了你两个时辰了。”            
(5星)	 这就是结局啊？？            
(5星)	 顾得！            
(3星)	 真TMD没人性！！            
(4星)	 与lie to me相形成趣            
(4星)	 沈傲君            
(5星)	 孙红雷 真男人            
(5星)	 大爱~            
(4星)	 还可以            
(5星)	 竟然哭了 结局的时候            
(4星)	 我想嫁给余则成=.=!!。。。这部电视剧的结局，恩……            
