http://movie.douban.com/subject/5257294/	豪斯医生  第七季 House M.D. Season 7
(3星)	 我再爱house也不能打五星了。编剧脑残，整一季都混乱不堪，人物boring，病例boring。这一季看下来由衷地心累，与前几季那些难以琢磨的病例和house的个人魅力太相形见绌了。想必最合我意的就是最后狠狠地撞烂cuddy家。let it out,then move on!            
(4星)	 豪斯，我真心觉得你死了比较好。            
(4星)	 Mystery和Metaphor一样重要，我好像还是更怀念前者。            
(5星)	 第七季也结束啦。。。            
(NA)	 说真的，，，第一集实在是看得心寒！！不太能接受他和异性有正常的亲密关系。。。哎哎哎，虽然破格一下也挺好的            
(4星)	 既然宣布要完季，还是捡回来看完好了。呐，也不晓得当时为啥会丢掉它的。            
(4星)	 前半大失水准，几乎无趣了起来。好在后面加入了一些新元素，不至于翻盘，总也称得上是个回归。总算还是有趣的东西。四星。            
(5星)	 忽然觉得House这悲剧的人生很似曾相识。            
(5星)	 五颗星全献给16集他的纵身一跃            
(3星)	 怎么能和cuddy睡在一起,受不了了            
(5星)	 13越看越美            
(5星)	 我对医疗美剧没有抵抗力的            
(4星)	 又唱又跳 豪斯还扮小丑···            
(5星)	 唔...13回归，值得庆祝。但是Cuddy和House中间的恩恩怨怨让我不得不开始讨厌Cuddy..  听说Cuddy不再续约了，听说下季开始House是在监狱。不过这季终集实在是巧妙。            
(5星)	 编剧总是在提醒你 这个剧集随时会出现各种反转 对 我就是在耍你            
(5星)	 医学上的专业与否个人无法分辨，但是剧情什么的确实还是总能有些亮点，一个长时间高水平的值得一看的好剧。            
(4星)	 这个season完全是一个温柔可人的恋爱中的大叔~            
(5星)	 都是看一集少一集的剧了。怀念            
(5星)	 我喜欢house和cuddy在一起！盖戳！            
(3星)	 难得的休息就这样花在第7季上了。Taub变成了这季的休闲小果子，不否认还是有些亮点，只是Wilson翻来覆去从第一季到现在都只是那么几句台词。。miserable bla bla. 怀念Cameron还在的时期，那时候重心还是病例，而不是这群瞎搞搞的家伙们。另外，13有刘海比较能看看。            
(4星)	 無以為繼了            
(3星)	 无力了，吐槽都开始灰暗了= =            
(5星)	 still the best            
(4星)	 还可以追下去……            
(5星)	 天马行空，出神入化，keep pushing boundaries             
(4星)	 豪斯医生要耐下性子来看，越看越觉得有意思，如果一开始觉得没意思而放弃了，那后来的有趣的情节就无从欣赏了            
(NA)	 今季也是狗血满满呢～从虐身虐心这方面来说丝毫不输以往。最后结尾恶气出的好...有加分到            
(NA)	 要是我我也撞            
(3星)	 这一季就是甜蜜地谈了半个季度的恋爱，半个季度的放不下，和最后一集的大爆发。所以13什么时候归西，让天才小妹回来⋯继续求加chase戏份嘛，taub的麻烦咋这么多－ －！            
(5星)	 又一季结束了啊，就这么结束了            
(5星)	 病例是假象，八卦也是假象，一切都是假象，只有人性是真的。            
(4星)	 House hit house, hmm~            
(5星)	 如此相像。            
(5星)	 Cuddy婶您别把House叔当宠物狗行嘛，一会儿要一会儿不要，也许他只是你生活的一部分，但你是他的全部。            
(4星)	 每季结尾都狂虐大叔，是要怎样？！            
(5星)	 季末两个豪斯的人性大冲撞，一个拥抱了他人一个拥抱了自己，一个选择了改变自己美好活着，一个选择了更加混蛋继续孤独，看着豪斯做出这个决定真的很痛心，撞进卡迪家的一刹那五味杂陈的感觉已经飙到顶点，不知该以怎样应对，接下来会怎样发展，豪斯还会以怎样触目惊心的方式结束与他人的关系，抑或开始            
(5星)	 大象入室，本季结束。Cuddy姐你就勉强接受他吧！！！            
(5星)	 大叔。你的痛透过电视渗出来。            
(4星)	 到S7情感线逐渐压住了病例，中间有几集出彩，比如E15各剧集电影的穿插和E16画面与音乐的完美契合，但叔这季性格的刻画过山车般起伏不定，Cuddy是迷失剂，只有破碎的你才是完整。            
(5星)	 爱 Hugh Laurie            
(5星)	 love sucks            
(4星)	 看着自己最喜欢的剧集在慢慢走着下坡路，这滋味可真是不好受啊……            
(5星)	 13回归~~最后一集好爽~~            
(4星)	 你老苦逼了，真的。             
(4星)	 结局加一星！            
(3星)	 Who cares about common? Common is boring.I like being with you. You make me better.What we have is…uncommon. And I’ve never been happier.            
(4星)	 这季的最后一集|||||人格都变了好吗！要用平行宇宙来圆才圆得过去好吗！            
(4星)	 豪斯你是死贱人，幼稚又自私！            
(4星)	 Sep 20th, 2010 - May 27th, 2011            
(4星)	 尽管我已经不再着迷于你的破碎……            
(3星)	 7年了，也快没得编了，wilson已经变得可有可无，cuddy也要走了。季中出现的那个女孩儿曾经让我眼前一亮，可惜很快也消失了。在一场场独角戏里，house变得愈发狂躁，乖张，不可理喻，最终让整部剧也无法收拾。作为观众，惯性的因素越来越大。唉，可惜了。            
(NA)	 老李第一集就跟Cuddy滚床单，阿姨泥嚎阿姨再贱，下季终于可以看老李和囧囧光明正大的搅基了XD最后一集Cuddy一出现那张脸吓死个谁。。            
(3星)	 go completely insane. I like Masters!!No 13!!!            
(4星)	 cuddy不要house了！            
(5星)	 这一季马上完啦~不知道本季怎么收尾~~期待下一季~            
(4星)	 哎呀，下一季看不到Cuddy和可愛的Recheal了            
(4星)	 喜欢House身边所有的男男女女 不喜欢House没完没了的作天作地 您是天才还是怪才都不是可以作践爱你的人的正当理由 人生苦短 大家投胎到美国还遇到了爱上了是多么幸运 互相善待一秒是一秒啊 也许我是loser是弱者 我只能用最傻最笨的方式处理最简单善良的人际关系 SIGH            
(3星)	 大叔这是……要死了么……            
(2星)	 也就个别几集不错，后面是神马玩意            
(3星)	 being weak like that, house does not deserve any happiness. just another pathetic loser.            
(5星)	 有点悲伤的季终            
(5星)	 啧啧有几集简直是剧场版制作嘛            
(5星)	 没有了卡迪的房子叔叔会是怎么样呢？            
(3星)	 感觉不如之前的带劲，不过有几集的叙事很新颖，留下很深印象            
(4星)	 就那么结束了？就那么结束了⋯⋯越发夸张的一季，而最后埋下的伏笔足以让人全情期待下一季。            
(5星)	 第七季太搞了            
(5星)	 最后两集灰常不错哒...            
(5星)	 幸亏第六季的时候没弃剧，第七季，十四十五集很精彩，尤其是十五集，house果然是大叔里的精品，只是house又开始嗑药了，cuddy和house相爱却无法在一起，也许人生就是这样，有很多我们想做却无能为力的事~            
(4星)	 11            
(5星)	 要剧终了。。。好伤心啊TAT            
(4星)	 大叔注意不要一直卖萌啊=。=            
(5星)	 极虐的一季。            
(NA)	 就不能少点感情戏吗！！！            
(4星)	 神馬爛結尾呀〒▽〒第八季沒有cuddy也沒有wilson啦 大叔難道跟forman黑白配嗎〒▽〒13那麼美的菇涼怎麼不知道磨磨腮呢￢_￢            
(4星)	 其实我觉得真的不是cuddy虐house。唉。            
(5星)	 What do you do when you win? Party! What do you do when you lose? Party Harder!　大叔，你还是做回一个混蛋吧。            
(NA)	 13            
(5星)	 house 都和cuddy上床了，还有什么不可能！够狗血，我喜欢！            
(3星)	 HOUSE越来越老了--             
(4星)	 第7季给我的印象就是豪斯抓cuddy的PP            
(5星)	 下一季没了cuddy要肿么办TAT            
(4星)	 虽然23集开头看得我胆战心惊 可这个结尾豪斯的做法却让我看到了新开端的感觉，可是下一季如果没有了wilson和cuddy 又该怎么办呢            
(4星)	 虐死了            
(3星)	 变情感剧了            
(5星)	 没有行动就没有结果。经历过美好才知道残酷的可怕。cuddy知道你的一切，可在她最需要你的时候你没有勇气陪在她身边一起面对死亡。没有挽回的余地了吗？我亲爱的、poor的House. I feel hurt.            
(NA)	 第七季结束了。话说又是个大包袱的结局。。。好吧= = 制作组你们赢了。。。给偶第八季啊嗷嗷嗷            
(4星)	 看完finale降一星            
(NA)	 越来越不起劲了……            
(5星)	 两个剧都看完了，怎么办呀            
(5星)	 就像Wilson对House永不抛弃的坚持，我也一如既往的支持House。            
(4星)	 如果第八季是最后一季 那么chase你要去哪里？请迅速找好下家吧 泪目            
(4星)	 can&#39;t resist it            
(3星)	 最差的一季！            
(5星)	 要说再见了。            
(4星)	 大叔in love!            
(4星)	 Dear Greg, love sucks.            
(3星)	 嘿嘿，还是可以的，没事儿的时候看看很爽滴~~ 继续追。PS：豪斯太胡闹了，有点儿出格了，不好玩了。            
(4星)	 总算补完课了，越来越感叹怪异如大叔者能有wilson这么个不离不弃的朋友真是件多么幸福的事啊            
(5星)	 尽管有人说这季水了 但第二集我还是湿了            
(NA)	 love sucks?!/ 慢慢明白自己像house的是想要逃避痛苦，但是“我们就是我们，傻子才会买乐透。”            
(5星)	 Chase和13 就指着你俩发展了            
(5星)	 他简直就是个混蛋。            
(4星)	 &gt;19            
(4星)	 21            
(4星)	 坐等next season            
(4星)	 不給力!            
(3星)	 不知为何不太喜欢看大叔的感情戏，更喜欢案例分析和各种jackass的行径            
(4星)	 像House大叔的传记多过医务剧，或者改名叫House大叔的救赎吧～十分开心剧末13回来了。就等下一季开始编剧怎么把Cuddy整走呢？            
(NA)	 huddy分手众望所归            
(5星)	 第一集太鼻血了！！！            
(4星)	 我觉得House越来越疯癫了。            
(4星)	 finally..House and Cuddy...            
(5星)	 终于和Cuddy掰了            
(5星)	 希望叔这最后一撞撞出个新世界～            
(5星)	 常有惊喜。            
(4星)	 好雷好压抑的一季=A=            
(4星)	 我其实挺希望他幸福的。            
(5星)	 看到第七季了，还是很喜欢            
(4星)	 人生又一新开端。            
(5星)	 5            
(5星)	 最后一集看哭我了。我爱大叔。mua。            
(3星)	 有点儿意思            
(NA)	 沒心情棄了。            
(4星)	 2010.9.30-2011.8.12  house大叔也动作派了！            
(5星)	 house的感情生活真纠结            
(5星)	 EP22真是太。。。。摧残了            
(3星)	 有点儿不想追下一季了，越看越难受，一种说不出的别扭的难受，就好像那些无奈的生活            
(NA)	 莴笋先生，他是你的了。。            
(4星)	 每个人都有他人未知的痛苦，每个人都有无法克制的自我。每个人都有隐藏的阴暗角落。            
(4星)	 别再狗血了，好么            
(4星)	 House最后还是说出了I feel hurt,突然明白他和Cuddy再没可能。看了那么多年的House，想到以后看不到我叔和Cuddy斗智斗勇斗嘴的戏，还是觉得挺桑感。。。            
(5星)	 很多人不懂这个ending  对我确实再也不能够更感同身受了 I know how house feel, exactly.            
(5星)	 置之死地，就能后生吗            
(5星)	 大叔，不要走~~            
(3星)	 唉 大叔明年可以弃了            
(3星)	 House你就认了吧你和cuddy will never make it……你只能和wilson厮混一辈子            
(5星)	 没白等，好床戏！            
(3星)	 这季是越看越不爽 看你怎么完结了！！            
(4星)	 done            
(NA)	 23            
(5星)	 My beloved House～            
(NA)	 第一集有下滑趋势阿~            
(4星)	 大叔你就接受自己要孤独终老的事实吧。。。。            
(3星)	 23            
(3星)	 虽然有些狗尾续貂但是还是可以看吧            
(5星)	 so,now what?            
(5星)	 我觉得大叔是水瓶            
(4星)	 這些長壽劇裡，只有House不斷挖掘新的視點，探索不同的表現手法，把劇集上升到電影的高度。很欽佩劇組求新求變的勇氣，因為一旦失敗，滿盤皆輸。令人高興的是，走出混沌之後，整齣劇都昇華了。            
(3星)	 huddy恶心死了            
(3星)	 追了7年，终于还是弃了，豪斯已经不是当年那个豪斯            
(4星)	 Goodbye~House!            
(4星)	 本季正式结束，心里凌乱的一塌糊涂！            
(4星)	 平心而论这是最烂的一季。我理想的结局是House自杀，虽然肯定不可能。还剩最后一季了，我的美剧生涯也该结束了            
(5星)	 看的我心都碎了ＴＴ            
(NA)	 虽然万众期待Huddy秀  但也未免过了点吧  麻            
(5星)	 大叔，对你最后的举动，表达无上的理解和支持            
(4星)	 next season without Cuddy            
(5星)	 De momento, fantástico.            
(5星)	 从第一季开始就不喜欢Cuddy 现在尤其严重             
(NA)	 任何优秀的东东都永远无法一直犀利下去。            
(4星)	 他妈的，这季纠结死了            
(5星)	 大叔回来了。my body is a cage             
(4星)	 ……S8是要去开私人诊所了吗……            
(4星)	 依然是我最喜欢的美剧            
(4星)	 8分。第一次给House打四星，不得不说这一季水准下滑得很厉害，莫非House也快要接近它的Ending了。。。            
(4星)	 I guess we are both happier with our unhappiness........            
(4星)	 结局太尼玛闹心。下一季编剧还得怎么个折腾法儿？！            
(4星)	 补评 房子叔你说你图个啥 不想跟cuddy分还不肯开口 分了之后还不放过人家 james那么关心你还一脚把人家踹开……咳……            
(2星)	 算了不想看了 以后蹲等海豚阿姨的剪辑=-=            
(4星)	 哎。。。            
(5星)	 就是中意这个老瘸子            
(4星)	 这季只有16集无比闪亮剩下的实在看得人累心。            
(5星)	 这一季的大叔让人心疼            
(5星)	 道德女走了...            
(5星)	 喜欢这季的结束方式            
(3星)	 其实就是不忍心给两星            
(3星)	 13你终于回来我开看了！因为跳过太多剧情，反正最后我突然成了13&amp;House shipper了，当然不要是情侣关系，那样太那啥了，就是这种惺惺相惜的感觉最美好了~House你千万别正经谈恋爱了跟Cuddy那段真是雷死我了。            
(5星)	 叔，你自作自受！            
(3星)	 正式弃之            
(3星)	 不行不行不行，该结束了……            
(4星)	 老子hurt吐！是要哪样啊？！            
(4星)	 如果不是因为最后一集，我几乎要弃了。            
(3星)	 深情召唤hw回归，huddy神马的一边去啊~            
(4星)	 这一季加了屋子叔的感情戏看着有点烦，EP13 那对正太loli真有爱              
(5星)	 如此决绝……也就是因为大叔身边两个最亲密的人一个不续约一个不常驻嘛，大叔还是要孤独终老的说            
(4星)	 电视剧很少有到第七季还是那么好的。            
(4星)	 越来越肥皂了，Wilson和Cuddy不续约，早点完结算了。            
(5星)	 I&#39;ve been alone a long time,but I still want to end up like House.            
(4星)	 某些集 让人厌倦  下季快结束吧            
(5星)	 ……HOUSE和WILSON这对基友！！！！            
(5星)	 13:And one day I will be that sick,and there will be no one there when it&#39;s time...H:I will kill you...When the time come if you want me to.            
(4星)	 坚持看的最长一个美剧了，豪斯还是一如既往的犀利，其他人反而气场弱了，剧中诊断的时间越来越少了，生活的情节过多。不过剧集依然探讨了很多社会问题，总是能让人更加深刻的去思考所看到的一切。豪斯还是应该一个人，他不适合拥有爱情，害人害己呀。            
(3星)	 这一季大叔太渣了。只有在和Wilson吵架的时候才能看到一些原来的样子。幸亏最后一集又变“正常”了。看在结局的面子上勉强给个3星~ 哼！            
(4星)	 据说 第八季为最后一季~~            
(4星)	 十六集，他从楼上一跃而下。有时候觉得他过分混蛋，由着性子捉弄身边任何一个人，伤害自己爱的人，不愿意承担责任，不开心直接开车撞了Cuddy的家。可是你又看着他一个人疼得在血淋淋的浴缸里发抖，找不到任何人，你就又不能责怪他。My body is a cage that keeps me from dancing with the one I love            
(NA)	 难以忍受            
(4星)	 峰回路转，大叔继续小孩子脾气，但是过头了。我觉得任性的人一般情况下都是占上风，但是惹得别人无奈了，也就真的没人搭理了。            
(5星)	 我最爱的英国老男人和他的拐杖。            
(5星)	 虽然觉得house不可能改变.前半部分的改变还是让我很是吃惊.但是很爱爱情中的house. 和她和cuddy间的爱情...             
(3星)	 for me, house ended in season 6.            
(5星)	 春节期间奋力看完了第七季，太精彩了，大叔太酷了            
(3星)	 整部有点乱，结尾是亮点~跟大叔学了一招~！            
(5星)	 我是大叔控，大叔片酬全美最高是应该的！            
(5星)	 神啊这剧的虐心指数真是一山还有一山高……连载时候弃剧是因为莴笋的前妻，他俩又掰了我很高兴，HC掰了我高兴不起来。cuddy难道不是知道房子叔是怎样的混蛋才跟他一起的嘛再来玩“我们相爱却不能在一起”有意思吗！不过HC分开算是正常，上一季让HC在一起才是玩弄西皮= =            
(3星)	 差点就弃了，BG情节搞得整个都ooc了不过真心挺喜欢那小姑娘的            
(5星)	 必须表示我怪wilson了= =|||我果真是胳膊肘往内拐的人！p.s.最后cuddy的反转，多么接受不能啊。。。            
(NA)	 和cuddy搞上了才扎劲啊！！哟哈哈~            
(5星)	 第15集里演技爆发啊。在Cuddy的梦中穿插了重新设计的多部电影的画面，而且还有大叔的歌曲秀，大叔终于人性了一次，但结果还是被甩了。怎么看Cuddy都是红颜祸水，大叔果然适合自己一个人呆着。13也回来了，很好。plus，最后一集的结束方法太帅了，开车直接撞入Cuddy家的餐厅，解            
(4星)	 第七季也是惊喜有，但是整体水准不足～            
(4星)	 不得不承认，我的习惯于探测和人肉他人某方面是多年追看这部剧集的后遗症。而豪斯的沉浸于解谜，更像是出于一种逃避。             
(5星)	 豪斯纯爷们！            
(3星)	 延续第六季的疲软，进一步肥皂化，感情线过于粗糙，剧情持续不给力，依然没有印象深刻的剧情，这剧已经到了消耗老豪的份儿上，趣味性仍然有，毕竟大叔控眼巴巴地只等着老豪犯贱卖萌呢。            
(NA)	 House最后开车撞Cuddy房子时，真的太Crazy了！到现在还是想不懂、难以接受。            
(4星)	 之前都一直非常的喜欢House, 尽管身边的朋友看完都说他是神经病. 看完这季最后几集之后我决定应该不会看第八季了, House不是一般人能接受的. 试问有哪个正常人会自己给自己做手术, 哪怕你的医术有多么的高明. 试问谁会开车撞进前女友的家里, 哪怕你有多受伤. 对不起豪斯大叔, 我表示受不了.            
(5星)	 目前进度仍然是全五星，house照看cuddy女儿那集把我乐疯了都，大叔越贱越美丽啊            
(4星)	 热爱吐槽....和Wilson小鹿般的眼睛哇哈哈            
(4星)	 太虐心了。。唯一温暖我的是Masters这朵萌妹子            
(NA)	 至今还是最爱的美剧。每季都舍不得看，一定要等到季终攒了完整的一季才看。            
(NA)	 She&#39;s just gone.13。暂时没心情看下去。我终于知道C去哪了，去童话镇了。。。哈哈            
(4星)	 house要进监狱了 13又回来了 cuddy和house反目成仇？            
(5星)	 迫不及待啊办公室恋情终于要开始了！（结果在季末一切都砸了。。。TAT难过！最后一集编剧假装豪斯要跳楼那一段配上背景音乐真是吓死人然后结果又想象不到的搞笑！给编剧跪！            
(3星)	 豪斯还是单身吧。。。。。            
(4星)	 Surrounded by pains and lost the one he really loves.  Finally, back to Vicodin.            
(NA)	 房子是我的！！！            
(4星)	 CUDDY走了未必不是好事 701可以算是美剧最闷开头之一            
(5星)	 五星送上没有什么理由！            
(4星)	 看的我很虐心            
(5星)	 期待第八季。            
(5星)	 在大家眼里最坚强无所谓的人 内里其实比任何人都脆弱 只不过大家不相信而他/她自己不愿去相信             
(NA)	 Huddy一枚            
(5星)	 cuddy要走鸟。。。。。            
(5星)	 E09  最可悲的是每每我说服自己相信TA可以改变，但每每都是失望...........E22  真心虐心...自己切自己身上的肿瘤。。。  天才必然孤僻、alone。。。            
(2星)	 确实开始有失水准了，婶子你不该和叔在一起啊！！！还我大叔！！！！            
(4星)	 后继乏力了呢......            
(NA)	 感情纠葛太多 后来又太复杂和神经病 不过听他说what u do when u win?party! what u do when u lose?party harder!!还是超解忧π_π            
(5星)	 最后的海好美好亮            
(4星)	 瑞秋真是越长越萌了，大叔一如既往的miserable，又是一季。            
(3星)	 豪斯越来越不像话了            
(5星)	 I hate Cuddy.            
(5星)	 聚散离合，这季有结尾的意思了。            
(4星)	 13回归，太棒了。            
(NA)	 cuddy            
(NA)	 感情戏来的奇奇怪怪走的也奇奇怪怪 咳咳 HW才是真知吧            
(5星)	 最后一集，休叔，你帅呆了！            
(4星)	 感情戏一多就显得无聊起来了……            
(5星)	 追了这么久，house从来没让我失望过            
(3星)	 不好玩            
(5星)	 这一集看得我想哭。。            
(3星)	 别人笑我太疯癫，我笑他人看不穿。            
(5星)	 Cuddy and House就这么昙花一现。这一季还是蛮好看的。            
(5星)	None
(5星)	 ——当你是人生赢家的时候怎么做？ ——花天酒地！——如果你不小心一败涂地了呢？——醉生梦死！house不管在哪里，都是那个处于绝对领导地位，拥有绝对号召力的人。            
(5星)	 梦里竟出现让雷诺版的House  我中毒已深呐            
(5星)	 哎，放不下就放不下呗。            
(5星)	 最后一集完全没看懂，等着下一季看到底怎么回事= =            
(5星)	 驱车毁屋，好样的!            
(NA)	 瞧不死去年给了多少广告费啊！每集都有缺口苹果闪啊闪。。。。            
(5星)	 前面几集看得我几乎要放弃，下半段越来越精彩，直到house跳楼，我觉得这部美剧已经成为我心目中的经典了。。。。            
(4星)	 绕一大圈又跟CUDDY掰了，还掰得这么惨烈。。            
(5星)	 神作            
(4星)	 这一季看的人很揪心，很郁闷            
(4星)	 If i were Cuddy, i would dump him as well.不知道是不是看太多麻木了捏？感觉没那么吸引人了~e22真是血腥额……顶不顺            
(NA)	 whatever只有一季了~            
(NA)	 cuddy走了，估计第八季是完结了            
(4星)	 大叔继续给力 我继续登你出下季            
(4星)	 太给力了            
(5星)	 这一季House和Cuddy的鬼扯太多了 还是比较喜欢专注与案例的时候            
(3星)	 数度萌生弃剧的想法，最后还是坚持看完了~  据说第八季将是最后一季，好吧，那我再坚持一下。            
(4星)	 真心喜欢CUDDY，在一起太好了，可惜这苦逼的结局            
(5星)	 outstanding            
(5星)	 这季里很喜欢天然呆的Amber~ 季终House那一撞和出现夏威夷海滩上 确实是出乎意料了~突然发现每季终了的时候 编剧都在给我们传递豪斯要改变的暗号~可是经历了那么多 我们发现豪斯还是那个豪斯 从来都没有变过。            
(5星)	 I will kill youI feel hurt            
(4星)	 House love Cuddy            
(4星)	 从执医考试前到执医考试后，终于追完这一季，看来要有点新的追求了~            
(5星)	 身边真有house这样的人我一定离得远远的            
(1星)	 最不喜欢的一季，自私又傻逼的House            
(3星)	 院长要走了,13要走了,看的我有些伤感.            
(5星)	 HOUSE陪着我风雪交加雷雨霹雳的过了我最难熬的一年 一切从这个头像的大字母H开始 看着他无数次用自我毁灭的方式继续生活 秋天对我来说只是新剧和新赛季的开始 你说            
(4星)	 结局实在太好啦~！！期待第八季啊！！            
(4星)	 house你究竟要怎样啊啊啊啊啊            
(4星)	 My body is a cage that keeps me from dancing with the one I love.Who holds the key?            
(5星)	 这应该是迄今为止看过最长的美剧了  而且还是兴趣盎然继续屁颠屁颠追的~            
(5星)	 最好的一季~            
(NA)	 我实在不想再打五星，但是为了不拉低分数，索性不打了，最后一集的小清新结尾，实在让人吐槽无力.....            
(5星)	 这季不错            
(5星)	 House的爱原来是那么专制和脆弱啊。            
(5星)	 大叔真心疯了，CUDDY害的            
(4星)	 其实一般，但结局很出彩            
(NA)	 最怕就是越来越理解house            
(5星)	 豪斯疯了吧最后，这可不是游戏了            
(5星)	 第八季快来吧，可惜13走了~~~            
(5星)	None
(4星)	 束手无策，变得绝望            
(5星)	 补完，这季不错            
(5星)	 情感作祟            
(4星)	 退步            
(3星)	 还行~             
(5星)	 啦啦啦啦            
(5星)	 叔才是所有feel twisted里的No.1啊!            
(3星)	 审美疲劳……            
(5星)	 永远那么经典~~~            
(5星)	 没有多少人能看懂每次诊断的过程，治疗过程本身的情节起落靠演技、配乐等技巧来推进。引人入胜的是患者，以及团队中个体所遭遇到的生活背景，他们彼此关联，相处引发，呈现出藏匿在表象之下人性的盛宴。            
(5星)	 居然上床了，，，不敢想象 house这种人设不就应该有一堆基友孤老终身的么            
(5星)	 我等第8季            
(5星)	 那个Master还是蛮好的。            
(3星)	 13变美了。剧情好差……            
(5星)	 神奇怪蜀黍。            
(4星)	 需要仔细看。。。            
(5星)	 E16实在太惊艳了            
(4星)	 time to move on!            
(5星)	 这部剧把我由一个正常人变成了大叔控……            
(5星)	 唉。。。            
(3星)	 最后一集被开头吓到了没认真看，据说是拍得着实令人失望以致多人弃剧。Cuddy走了后该怎么搞呢？好奇            
