http://movie.douban.com/subject/2154781/	流金岁月 流金歲月
(4星)	 可以算做经典了。。            
(NA)	 喜欢宣萱            
(5星)	 看的很纠结 罗嘉良是个好男人！            
(3星)	 男一号 过于完美            
(5星)	 很讲道义的丁善本！            
(3星)	 罗嘉良 宣萱 我喜欢啊啊            
(5星)	 纠结的兄弟俩~EASON唱的岁月如歌            
(5星)	 这部看了5遍。最喜欢罗嘉良。            
(4星)	 如今TVB再也不拍这样剧了，或者说TVB也在进步，那时觉得杀人没关系，时常剧目里都是杀了谁谁谁，然后还可以不坐牢。失真的厉害。            
(4星)	 改不了的毛病，TVB大剧            
(3星)	 對家族劇有些厭了            
(5星)	 好看啊，家族片就是好看啊            
(NA)	 宣很靓            
(5星)	 我很愛的電視劇..看過3遍了!            
(3星)	 单纯傻孩子，Oscar～事隔多年翻出来看，还是因为峰～            
(4星)	 原来看过那么TVB。。。疯掉了。。。            
(4星)	 难以接受这样的结局            
(5星)	 全家一起的记忆            
(NA)	 算起来，竟然是3年多以前看的了            
(5星)	 perfect好剧~~~捞家原来很charming            
(NA)	 其实两个人在一起就好比做一道加法题，如果加起来等于更多的快乐，就说明加对了；如果加起来等于猜疑、压力，就应该重新加一次。            
(NA)	 【2002-09-16】            
(5星)	 大三时候的集体记忆！            
(4星)	 这种味才是TVB的味            
(5星)	 宣萱的角色对我影响太大了。。。            
(3星)	 我居然最喜欢石修！！！三观不正啊~但就是觉得很。。。。很好看！            
(5星)	 节奏与剧情，无可挑剔            
(3星)	 太虐了，暂时不看了。。            
(5星)	 那时候的TVB  还很精彩            
(5星)	 最近看港剧 看来看去 还是再看一遍这部吧            
(NA)	 除了钟守康和小雨其他人都非常乏味            
(4星)	 恨林峰恨得牙根痒痒！！！            
(4星)	 我爸妈果断表示对温SIR的转正接受不能，说是一看就一脸奸像，囧……            
(5星)	 服了！都是好人！            
(5星)	 罗嘉良，宣萱，够了。            
(4星)	 总算看完了            
(4星)	 到哪里找那么好的人呦 所以随便吧 拍肩             
(4星)	 由于这部剧喜欢林峰但是后来觉得奥斯卡好渣！！！！！！            
(NA)	 挺大气的一部剧            
(4星)	 对头的演员对头的角色对头的剧本，虽然不免一贯的路线。喜欢萱萱。林峰此时还未萌。            
(5星)	 这次看  看到了8年前我不曾看到的            
(4星)	 好看好看            
(4星)	 百变的罗嘉良，不变的宣萱。            
(5星)	 喜欢丁善本，但不是罗嘉良。希望有一天能成为像宣萱一样独立的女人。            
(5星)	 本来有好多话的看完什么都不想说了            
(3星)	 拖了三年才看完，看完后最喜欢的竟然是温兆伦。            
(5星)	 看到可以背下台词了            
(4星)	 捞家真系垫！            
(5星)	 看了无数遍还是喜欢！            
(5星)	 好看            
(5星)	 果然是tvb的经典啊，欲罢不能的看完。。罗嘉良很帅啊，宣萱可爱，林峰那时的造型太傻，杨怡短发很清纯，叶璇还算靓，还有就是，港剧一贯的三八            
(5星)	 我打算过段日子在看第四遍~罗嘉良真是太帅啦            
(5星)	 曾经很喜欢            
(NA)	 罗嘉良~            
(4星)	 扯了点啊            
(5星)	 天蓝天蓝天蓝天蓝天蓝~~~完全不觉得丁善本是完美男人。十足圣母。。。            
(4星)	 都不知为何当年觉得罗大嘴很帅。            
(NA)	 经典重温            
(4星)	 经典~            
(4星)	 这就是经典。            
(4星)	 初三那会儿李静洁天天跟我讨论            
(NA)	 经典            
(5星)	 捞家和宣萱那么深情的对望，让我坚信。。。你们才是对方的唯一            
(NA)	 三天看了第三次            
(3星)	 里面罗嘉良就是“好男人”的诠释            
(NA)	 男女主角都很爱            
(4星)	 TVB虐人长剧之一。            
(4星)	 林峰很帅            
(NA)	 Oscar~~~~            
(3星)	 温兆伦神奇出现，经典三人组合            
(4星)	 其实我最喜欢的是两个人：守康和小雨，这两人要是一对就好了。            
(3星)	 又一部,不爱看            
(5星)	 爱死Jessica宣萱啦~~~PS：主题曲很有爱~~~            
(1星)	 我真的很讨厌罗嘉良啊！！            
(5星)	 真好看，最近重温ing            
(5星)	 很现实也很浪漫。很真实也很虚幻。喜欢他，因为人类最基本的情感。            
(5星)	 温情，温情，再温情            
(5星)	 商战大戏TVB是在捞家这里终结了!只有他担得起!天生一副大佬样!,怪不得在火玫瑰里演温SIR弟弟显得那么别扭,温SIR嫩啊,30多岁演的像20出头,还好和叶璇那么登对,后知后觉开始喜欢宣萱!            
(5星)	 啊哈哈我看过            
(5星)	 哎呀            
(4星)	 这只是电视剧            
(4星)	 大澳的天空            
(3星)	 感觉这部一般吧            
(NA)	  林峰~~~~~            
(NA)	 经典~~~~            
(5星)	 最喜欢的片子之一            
(4星)	 那段口哨声真好听            
(4星)	 萱萱和刘璇长得真是像啊~            
(4星)	 很好看的说            
(5星)	 虐心....罗嘉良太强了.            
(5星)	 好喜欢            
(5星)	 最喜欢的一部电视剧，丁善本是我看这么多电视剧中最爱的男主角，完美得一度成为我的梦幻目标。天蓝角色也绝棒，天仙配啊。            
(4星)	 家族大戏,罗嘉良好戏.            
(4星)	 呵呵 很少见的非小男女的爱情也是我英文名的真正出处 不是friends            
(5星)	 大爱！！！！            
(4星)	 覺得萬兆論好年輕            
(4星)	 太長了就是。            
(5星)	 有几个男人能成为丁善本            
(3星)	 好久以前的耶！！！            
(5星)	 最难忘的镜头就是善本送给天蓝的那个守护星            
(5星)	 经典            
(5星)	 超級好看的片子～！            
(4星)	 喜欢罗嘉良～～～            
(5星)	 经典。感人的兄弟情。小生小旦青涩而可爱。            
(5星)	 是我特别喜欢的一部TVB剧。            
(3星)	 模模糊糊了。。。            
(3星)	 我妈喜欢善本……            
(3星)	 太长            
(5星)	 我心中的TVB经典            
(4星)	 從這裡開始討厭奧斯卡...不過人家很帥...            
(5星)	 好看啊好看，当年的峰少还黑黑的，呵呵。            
(4星)	 最爱峰怡~            
(5星)	 当时看疯了，碟都让人看坏了。            
(2星)	 又是一部捧捞家的戏，没什么意思。            
(5星)	 感人力作啊~温馨            
(5星)	 这才是TVB   是2000年以后难得的好剧            
(4星)	 记忆中看过的最后一部TVB得力的家族巨作。            
(4星)	 45            
(3星)	 典型的港剧，看过便可以忘了            
(5星)	 经典啊！            
(5星)	 经典中的经典            
(5星)	 重新认识罗嘉良，每个人物的出场设计得太精心，父子情太动人。            
(NA)	 吹着口哨的流淌着的流金岁月            
(4星)	 还可以吧            
(5星)	 岁月流金。            
(3星)	 貌似没看全~            
(4星)	 守护星            
(3星)	 兄弟情义。            
(4星)	 很配的峰璇没演情侣...            
(5星)	 竟然是走到底的爱情            
(5星)	 开启了我TVB之旅            
(NA)	 温sir还扮嫩啊，虽然扮的还不错            
(4星)	 一个男人的身上责任如果太多，那么失去的总比得到的更多。那个时候，无法抗拒罗嘉良。            
(NA)	 岁月的童话            
(5星)	 这部剧曾经让我动摇过古萱啊~            
(4星)	 绝对的经典.罗嘉良在里面演技感情一流            
(4星)	 有钱啊，浪漫啊。。。幸运星            
(5星)	 好好看。。。那段吹口哨的配樂。。現在還記憶猶新            
(NA)	 Ivan与Rachel的爱情，太过轰轰烈烈。默契，是最宝贵的语言。            
(4星)	 经典！            
(NA)	 ``            
(5星)	 蛮经典的            
(5星)	 2003            
(4星)	 林峰当年好少年            
(5星)	 好好看的 丁善本超级大好人            
(4星)	 至少看过三遍,最疯狂的时候和妈妈一天看7集。            
(5星)	 很有深度，《流金岁月》确实是TVB的经典剧集，剧情、人物、配乐都是那么无可挑剔            
(5星)	 很不错的一部爱情剧，和小S的《倩女幽魂》在我心中勘称不分伯仲....            
(NA)	 。            
(NA)	 捞家演的丁善本是所有女孩YY的经典的不可能有真人版的绝世好男人            
(5星)	 TVB中最喜欢的电视剧            
(4星)	 罗嘉良的温情家族剧，又赚尽了我对他的爱啊~~~            
(5星)	 也是大爱的一部剧。            
(5星)	 想再看一遍            
(4星)	 ..啧啧啧....            
(5星)	 最爱,看了超过十遍~~~            
(5星)	  丁善本！            
(NA)	 OO            
(5星)	 非常好看的一部戏！！！配角现在都是大红大紫，主角们更是当年无线的顶梁柱。难怪捞家凭此角一举摘得视帝桂冠！非常喜欢善本与天蓝的爱情，虽然太虐心，但是好感人，演员的一颦一笑都能让我跟着起落揪心。这样的戏并不多。PS喜欢昭文积！！            
(NA)	 11岁            
(5星)	 当年为了看这个，半夜出去敲影碟店的门，还是冒着小雨去的，这就是魔力啊，和爱情一样。            
(5星)	 以前TVB好有钱哦 经常起外国取景 日妈现在斗扭到香港那个屁眼大的地方拍            
(4星)	 多年前的劇。被流金歲月這四個字一擊即中。            
(5星)	 經典阿經典阿  越長大越發現 最反感的不是那些大奸大惡的人 而是那些又蠢又自以為是的人 要我說 你妹的你個oscar你最好花一輩子時間的邊記住自己做過的蠢事邊接受著別人的寬容好好活著去吧！！            
(NA)	 胡杏儿            
(5星)	 多年以后还是把片尾曲能哼唱出来            
(5星)	 很棒！！！            
(4星)	 和西皮聊幼年最爱想到这个，这是我幼年最爱            
(4星)	 原本是冲着林峰和叶璇去的，无奈剧中两人没有交点，结果被罗嘉良和萱萱的爱情吸引了。            
(5星)	 捞家众多角色中，丁善本算是很经典的一个了            
(5星)	 很饱满的一部电视剧            
(5星)	 只有在TVB的捞家才是最有魅力最让人销魂的！            
(5星)	 我觉得最好的TVB剧！没有之一！            
(4星)	 只要善良，都能赢得敬重             
(5星)	 超级喜欢天蓝~            
(5星)	 罗嘉良真的嗲            
(3星)	 完美男人。岁月的童话。喜欢宣萱的干练。            
(4星)	 罗嘉良演的好人好的彻底。            
(5星)	 这个记忆也不太深了，隔太久了，不过好像是在法国和爸妈一起看的~躺在床上看枪战哇！            
(4星)	 上学的时候看的。喜欢里面的叶璇。            
(5星)	 程天蓝……            
(5星)	 温馨啊，虐心啊~            
(5星)	 这才像个台庆剧。            
(5星)	 看了十几遍了。IVAN是我心中完美男人形象。每次都会想起守护之星。            
(5星)	 太棒了            
(4星)	 捞家！！！（能整点别的词儿不？）温sir！！！（花痴。。）            
(4星)	 在万凰之王这种惨不忍睹的剧集之下，感觉在昔日影像里去看宣萱是多么的美好。            
(5星)	 经典啊！看了人人都想嫁丁善本有木有！            
(5星)	 港剧最爱            
(5星)	 重温，丁善本这样重情意男人现在还有么？            
(5星)	 宣萱，needless to say。。。            
(4星)	 丁善本是一个经典。            
(4星)	 我心中印象最深的一部港剧了。当时很喜欢的说~（当时其实很小。- -）            
(4星)	 好怀念以前TVB的那些人            
(5星)	 此生最爱            
(5星)	 very very good            
(5星)	 经典经典经典            
(5星)	 丁善本是男人中的精品。            
(5星)	 某天在上海看了一集，回来以后就看了一遍，善本大哥挺好的            
(4星)	 经典呀，其实罗嘉良好犀利            
(4星)	 有实力的演员好的剧情~            
(5星)	 TVB的流金岁月            
(5星)	 做不了丁善本，因为这样的人在现在社会会抑郁而死            
(5星)	 大爱丁善本和天蓝...            
(5星)	 很经典            
(5星)	None
(4星)	 好人太好，坏人太坏了。            
(5星)	 我什么都不记得 就记得捞家跟温兆伦！！！            
(5星)	 无解阵容，罗嘉良就是帅            
(5星)	 tvb剧要是只看一步的部，这部就是那个唯一，每年回顾，感动            
(3星)	 那时少年各种剧~~~            
(4星)	 好吧，这部剧是经典。但是里面的丁善本在对天蓝的感情上完全是个渣男好不好……没人有和我一样觉得咩？            
(4星)	 没以前没看完，重看吧。            
(5星)	 看过这么多港剧，还是最喜欢这部！            
(3星)	 把丁善本写得太完美的。连续剧就是连续剧            
(5星)	 程天蓝你美爆了！！！            
(5星)	 最喜欢的两部港剧之一，里面有太多喜欢的东西，经典啊经典            
(5星)	 心目中最完美的组合：罗嘉良和宣萱。永不可破！他们那时的绯闻我是相信的。。。除非他们戏里面真的是演的太好。            
(5星)	 偶也想要一个善本哥，不得不说，萱萱和谁都很搭啊。            
(NA)	 里面好像还有叶旋的            
(NA)	 男主角            
(4星)	 小时候            
(4星)	 有一阵还迷罗嘉良- -。            
(4星)	 不喜欢林峰争产那一part、、貌似我就是对争产不感冒啊。。而且实在太傻了吧。。            
(5星)	 真的超喜欢这部片的，萱萱，罗嘉良。看得我很憧憬。            
(4星)	 偶尔拖沓，整体不错。            
(5星)	 罗嘉良绝对是TVB精英之一.            
(5星)	 真的很中意Rachel，真的很中意Jessica！重温的感觉很复杂~~            
(4星)	 还可以            
(5星)	 想着高中那段狂迷罗嘉良的岁月。肯定少不了的电视剧。            
(5星)	 超经典啊！！！！！！！            
(4星)	 我妈偶像罗嘉良在里面真心帅！            
(5星)	 岁月的童话。            
(5星)	 当时十分着迷罗嘉良.            
(5星)	 好看，太好看了，经典            
(4星)	 港剧看多了，就觉得罗嘉良那张脸好烦啊……            
(3星)	 完美的男人是什么样的呢？应该就是本少爷这样的。            
(5星)	 好好看 歌好好听！！！！！            
(5星)	 我最爱的一部港剧，我最爱的罗嘉良~            
(2星)	 戏太假            
(4星)	 小时候看过。            
(4星)	 我男人很坏很幼稚            
(5星)	 因为太喜欢丁善本，所以喜欢罗嘉良。            
(4星)	 家族剧中算是不错的了            
(5星)	 喜欢呢~~            
(5星)	 好好看啊            
(5星)	 看了N次了，萱萱和良良的巅峰时期            
(NA)	 哎.  我tvb的开始..            
(5星)	 我爱TVB好剧本！            
(4星)	 这是TVB最后一部我提的起兴趣看的家族商战剧，此后再也没有出现！            
(3星)	 洗手的时候竟然恍惚飘过宣萱在此剧中的影像，特来评分。天蓝真是个好女孩哇。            
(4星)	 人原来可以好得如此牛逼            
(NA)	 最爱~喜欢天蓝和善本在一起，做人顶天立地，重情重义成为我一直到现在为止做人的宗旨，我相信总会有一个人真的懂你，即使所有人都觉得你傻，但只要她懂，其他就什么都不重要了            
(4星)	 家族大剧 演员都很赞~            
(5星)	 超级喜欢            
(5星)	 至今最爱的一部剧            
(4星)	 2星給羅宣 1星給風衣 1星给叶璇            
(5星)	 黄金阵容啊            
(NA)	 温暖泪流。            
(5星)	 幸好最好捞家和JESSICA 在一起，            
(5星)	 天蓝和善本的爱情好动人！            
(5星)	 林峰演个反派啊             
(5星)	 最爱的一部电视剧············            
(5星)	 讲不出为什么，但是当音乐想起，看起罗嘉良的表情，似乎就会被这部剧深深吸引，太完美的男人啦，背负所有的男人。            
(NA)	 不过那个人对自己有多好，有感觉的始终就是有感觉。            
(NA)	 唉哟 我记得是初中还是小学那会儿看的 特迷恋罗嘉良 还有萱萱也不错 里面的插曲当时超级喜欢。            
(4星)	 虽然好多人唔钟意呢部嘢....但是我觉得还是几好噶            
(5星)	 最爱的TVB经典剧之一            
(4星)	 哪有这么好的人啊~~~~            
(5星)	 经典连续剧            
(4星)	 那时候每天必看的剧            
(5星)	 可惜不是旋风搭档            
(4星)	 又一TVB的经典啊            
(NA)	 就是喜欢            
(NA)	 经典啊，看了 两个礼拜！丁善本还是和SABRINA比较配            
(5星)	 特别喜欢主题曲，原来就看过了，又重温了。还是很喜欢呀。喜欢萱萱。            
(3星)	 小时候看的            
(4星)	 丁善本完全符合我梦中情人。            
(5星)	 很经典            
(5星)	 记忆中流金岁月的宣萱美翻了，一头长直发，是我向往的            
(NA)	 是不是太早前看的了，没看完，哪天去补补            
(5星)	 好久前看的了，            
(5星)	 啊，好多年啦。当世事再没完美，可远在岁月如歌中找你~            
(4星)	 很喜欢里面的秦沛，不知道为什么，他的其他角色却不怎么喜欢，却很喜欢他的弟弟。还喜欢其中的罗嘉良，这应该是罗演的最完美的角色，他的大部分都是奸角，当然依然支持一直喜欢的宣萱！            
(4星)	 守护星。            
(5星)	 源于善良，高于善良。不经意发现看过，回想还能够清澈。必看推荐。            
(5星)	 我最爱的电视剧！            
(3星)	 没什么印象的港剧，都不是好剧            
(5星)	 TVB经典之一。            
(5星)	 难得林峰演坏人，里边善本真是不可多得的好男人啊~~~也喜欢宣萱            
(5星)	 大爱·丁善本大爱·就只有罗嘉良才会这么赞·            
(3星)	 口哨声好听~            
(NA)	 首歌好听            
(NA)	 五中            
(5星)	 最感动的一部港剧！亲情友情爱情的交错，让人懂得了义！            
(3星)	 oscar：蠢到令人发指！kiko：“借不到（车），你去偷啊！”人品绝对有问题。            
(5星)	 结局太happy了，但是中间的过程看的我无比纠结，一直等待转机。            
(NA)	 这个电视剧，对我来说，很重要。很多记忆跟它有关。            
(5星)	 很经典~~~            
(5星)	 经典！            
(NA)	 丁善本            
(5星)	 这部很喜欢，罗嘉良和宣萱真的蛮配。程天蓝，没错            
(5星)	 很喜欢宣萱。            
(5星)	 一部很经典的港剧，百看不厌，最爱！            
(5星)	 港剧最后的辉煌，我真是怀念看电视剧欲罢不能的时候。            
(4星)	 还算不错的长篇剧，最喜欢宣萱的角色了，率真活泼。不知道从什么时候开始，林峰的样子开始变得不一样了。。。            
(4星)	 捞家和萱真是不可复制的经典！丁善本太搓火了……            
(5星)	 看了这部剧我才知道罗嘉良在TVB是多么的无可取代            
(4星)	 从开头的口哨声看出唏嘘的岁月童话。。。歌美景美人美。。。那时的宣萱捞家，刚出道时青涩的林峰杨怡，还有那澳洲风光，tvb你们现在还可以拍的出这样的戏吗            
(5星)	 TVB 必看剧            
(5星)	 要看就要看粤语版的！正！            
(4星)	 港剧都好看            
(5星)	 罗嘉良和萱萱 绝配            
(4星)	 哈哈哈 哥最喜爱的狗血港剧            
(5星)	 这个才第九？！好喜欢哦！            
(4星)	 还不错，结尾显得匆匆了点，感觉没交代全面，虽然好但是还是无法超越心中的《大时代》。罗嘉良再次称赞下他的演技，赞！看了这片，让我感觉那个律师太神奇了吧，官司多绝望都可以打赢，萱萱确实挺有吸引力难怪兄弟俩都喜欢。还有就是了解到当你心中已经有一个人的时候，你很难再接受新恋情，哈哈            
(4星)	 没看完，还比较喜欢            
(4星)	 很喜欢宣萱在里面的干练，虽然剧情仍逃不出TVB一贯的家族争产模式，但胜在节奏紧凑！            
(5星)	 值得值得值得.....一看！！！            
(5星)	 天蓝和善本在海边分手的那一段，哭到缺氧~~以为说到自己心里去，可如今看来，那个人，也不过是个生命中的过客~~            
(2星)	 看过吧            
(4星)	 无线以前的好剧真是多，只是今时不同往日了            
(4星)	 多好的大哥典型            
(5星)	 萱萱和罗嘉良，哎……当年看的非常纠结。。。            
(4星)	 罗嘉良            
(5星)	 只想你仍安好，宣萱依然是最爱！            
(5星)	 力荐！！我的大爱！看多少遍就依旧感动多少遍！！            
(3星)	   温少复出，竟然不演出坏人，不过角色塑造还不错。            
(4星)	 播出的时候正值我苦学习的初中岁月，为了不遗憾终于在今天补看完了。觉得这算是tvb比较温情的一部剧，没有太大的跌宕起伏，更多的是宣扬人性本善的理念，没有那么刺激但看下来也还算不错。虽然善本完美的一塌糊涂，可我还是更中意温sir...吼吼            
(5星)	 情节紧凑，不拖沓，人物性格相对还是挺丰富的！            
(4星)	 觉得还不错            
(5星)	 感人啊，做个好大哥不容易。            
(5星)	 当年我可是看了好几遍            
(5星)	 臭脾氣的角色，與楊怡一路都好襯。            
(1星)	 混乱            
(4星)	 受与虐的纠结 宣萱和罗嘉良啊 这让人揪心的组合            
(5星)	 Ivan大好人到我想捶他，Rachel姐姐真靓            
(5星)	 重温再重温的经典啊            
(NA)	 家庭、责任、朋友、事业。。。背负着一身的包袱，唯独没有自己            
(5星)	 温Sir 和宣萱..            
(4星)	 经典            
(4星)	 罗嘉良绝对演技派啊。            
(5星)	 经典 幸亏当年完全忽略林某人             
(5星)	 流金岁月，港剧一高峰！            
(5星)	 想当年啊，想当年啊。。。。。。。。。。。。            
(5星)	 我每次看完流金岁月就想去重温火玫瑰，然后恶性循环~~汗~~这戏很好看，但是我始终觉得罗嘉良的角色好的过分了~~阿门！来回都是冲着温SIR看的            
(5星)	 经典。不少地方很感人。            
(5星)	 从这部戏，彻底喜欢上宣萱            
(5星)	 看了两遍，好看！            
(5星)	 经典            
(4星)	 眼泪都出来了……            
(NA)	 好看            
(4星)	 就爱宣萱            
(4星)	 GOOD            
(5星)	 现代男女的爱情就应该像程天蓝和丁善本一样，顾虑、克制、因世俗和他人不断的妥协牺牲，分分合合，最终才明白——这才是真爱。            
(NA)	 怀念以前tvb的商战片。            
(5星)	 最喜欢的电视剧之一            
(5星)	 本真            
(5星)	 这个绝对是经典咯，很早很早就好喜欢。。。            
(5星)	 有人说中年人喜欢的电视剧 那又怎么样呢            
(5星)	 我的最爱            
(5星)	 捞家和宣萱最配了，林峰成长地真快            
(5星)	 我最爱的剧            
(5星)	 perfect man...            
(5星)	 流金岁月，岁月流金啊            
(5星)	 真好看 罗嘉良的演技太赞了吧。。林峰 杨怡 吴卓羲神马的 好青涩。            
(3星)	 太长了            
(NA)	 非常喜欢罗嘉良            
(4星)	 这个挺经典            
(5星)	 最喜欢的一部片子            
(5星)	 重情重义，丁善本。            
(NA)	 喜欢捞家和宣萱，峰少的造型真是。。。            
(3星)	 跟创世纪一样，看得不多。            
(5星)	 捞家&amp;OO绝配！！！            
(3星)	 当年TVB不得不看的剧（其实我已经忘了讲什么了= =）            
(5星)	 那首口哨小曲            
(4星)	 TVB的家族剧一出谁与争锋～            
(5星)	 喜欢罗嘉良演不择手段的角色。。。            
(4星)	 罗嘉良的表演，令一般般的故事变得精彩            
(4星)	 有些人再完美，但就是爱不起来啊            
(5星)	 太经典的片子了看了不下十遍！~刚开始觉得不是很好看，越到后来越好看，而且是百看不厌，就是从这部片子真正的喜欢TVB！~            
(NA)	 丁善本善良得没了个性，亮点不多            
(4星)	 青涩时代的林峰。            
(5星)	 从来没有欣赏过这么纠结的电视剧，再次饭上温sir            
(5星)	 这是我认为的第二好看的电视剧。。特别是那段口哨，太给力了            
(5星)	 罗嘉良萱萱巅峰岁月            
(3星)	 比较喜欢荣邦老爷走之前的戏~捞家在里面太仁慈了，觉得他这种善良其实是很狭义的，就像愚忠一样~三十集后果断弃剧，已经可以预见后面的纠结了==            
(NA)	 兜兜转转，他终于可以把她放在心中最重要的位置，没有亲情与责任的牵绊，轻装上阵全心全意去追求自己的爱情。圆满的结局永远都是令人欢喜的。原来当初一切分离的苦涩都只是为了在最后让幸福的欢娱来得更加炽烈。    叶璇在里面很可爱。也第一次看到了峰怡的搭配，青春轻松的恋情，很喜欢。            
(5星)	 看过好多遍            
(5星)	 很经典，很喜欢宣萱、叶璇            
(5星)	 捞家 × 亲情～            
(5星)	 大小宣萱齐上阵。捞家最帅的戏了。亲情、友情、爱情……情感丰沛。人物无论大小都性格饱满。故事高潮间歇间隔而来舒缓有致……心中最爱的TVB剧。也是我偶像宣大人的经典。大爱里面的所有音乐，每天必听。            
(5星)	 TVB目前为止我最喜欢的一部，不过男主角完美的不真实。            
(5星)	 perfect             
(4星)	 罗嘉良那个角色得不得太苦情了点。。= =！~            
(5星)	 很经典的一部剧集。            
(3星)	 想当年的年代大局~~            
(NA)	 看得断断续续。            
(4星)	 这样的男人 可以做朋友 可以当兄弟 可以成上司 却绝不能成为恋人            
(4星)	 那个时候ron的戏份可有可无少得可怜            
(NA)	 经典。当时爱死萱萱了            
(5星)	 只为了这首歌            
(5星)	 商业剧的经典之作。            
(5星)	 丁善本的主要工作应该是让丁善行认清二叔。他没做到。差点送命。笨蛋。            
(5星)	 我最喜欢的港剧。主题曲有温暖人心的力量。            
(5星)	 经典。            
(5星)	 名剧            
(5星)	 好看            
