http://movie.douban.com/subject/3646516/	新飞越情海 Melrose Place
(4星)	 哇哦...巫小姐也会喜欢的 那些个情色画面 尤其是Stephanie Jacobsen饰演的医学院学生...            
(4星)	 ep12 有點感覺了.劇情展開了.            
(3星)	 内容空洞，看到第10集我放弃了            
(4星)	 好时尚的青春剧···            
(4星)	 爆点巨多，编剧很天马行空，为了继续看它如何YY，我决定继续跟下去了            
(4星)	 就当看看帅哥美女消磨点时间满不错的嘛            
(NA)	 bitches            
(3星)	 外貌协会的我看着觉着很养眼            
(4星)	 这剧被砍了真可惜。里面的JOSH是个JP男。贬义的-  -            
(4星)	 我要David和Lauren在一起！            
(3星)	 以此剧和《绝望主妇》为代表的一类美剧的中心思想是非常统一的：每个人都有一些见不得人的小秘密……            
(1星)	 目前還是很養眼的嘛            
(3星)	 两集过后放弃            
(4星)	 可惜被砍了...            
(4星)	 俊男靓女，凶杀悬疑，喜欢吧：）why not            
(4星)	 其实还挺好看的，全是俊男美女，个个身材火辣，相当养眼，衣服也都很美，不知道为什么收视不好。Ashleey那身材，哪像当妈的人呀~            
(2星)	 还ok，至少比oc啥的好多了            
(1星)	 帅哥还是没剧情重要，再帅我都看不下去了…………不过好像听说被砍了？？            
(4星)	 其实这部真的不错，可惜即使是小破台他的收视率也显得太悲惨了            
(4星)	 life is too complicated and we&#39;re so weak.            
(5星)	 音乐不错不错             
(3星)	 虽然头几集印象不错 但短命剧再追已无意义            
(2星)	 没有追的吸引力...            
(3星)	 give up~            
(4星)	 估计没下文了            
(4星)	 不知还有没有第二季            
(4星)	 我是Ashlee Simpson的Fan!个人觉得还不错。矛盾与阴谋，意外却又合理。            
(5星)	 比desperate housewives好看多了            
