http://movie.douban.com/subject/2287272/	上海探戈
(4星)	 记忆中周海媚的上海民国戏让人印象深刻，很衬她。            
(5星)	 神作啊！！！小黑！            
(5星)	 很不错，陈勋奇的经典            
(5星)	 对这部剧有无数回忆与感慨 尤记得林心如在船头蓝色的隐形眼镜 还有一集末尾陈勋奇一个镜头 几乎可以说 美不胜收            
(NA)	 喜欢任天翔 喜欢陈勋奇             
(NA)	 啊，又见小黑            
(4星)	 满好看的 当时的林心如还很稚嫩啊            
(5星)	 小学...            
(NA)	 哇哇，真的是好老的电视了呀，那时候的陈孝萱风情万种，如果努力演戏，也是会搏出位的呀，怎么这么不争气，怎么这么不争气，多努力一点的话，也不会是现在这样抛胸露乳的三流杂志封面女郎啊。            
(4星)	 小时候的记忆~            
(5星)	 那时候的林心如 好像戴了蓝色的隐形眼镜            
(3星)	 和爸爸妈妈一起看电视的晚上。已经记不清剧情，但是我记得里面有个人叫何非凡。笑。            
(4星)	 那时不知道林心如。            
(3星)	 那时候觉得男女主角好PP的            
(NA)	 我是在这儿认识林心如的            
(3星)	 孝萱美女。            
(3星)	 不知道这剧情是怎么搞的。            
(4星)	 那曲上海探戈，那年的上海滩。            
(NA)	 很小的时候看过的。那时候只看周海媚还忽略了林心如啊~~~~            
(3星)	 “华丽舞衣，拥抱的温柔”，唯一的记得是成龙的歌声了。            
(4星)	 蛮好看，而且片头曲蛮好听。            
(4星)	 今天看到陈勋奇来做访谈搜了一下才发现我还看过这个…我说怎么那么眼熟……哦这部戏居然还有后来红遍大江南北的林心如……“华丽舞衣拥抱着温柔”这句歌词到现在也记得啊……            
(NA)	 1996            
(4星)	 搞不好我看這個還比看還珠更早！當初Ruby還是春日雨後清純可愛的紫薇花一朵=V=，那時的心如還不是聖母瑪麗蘇。。。。(╯﹏╰）            
(5星)	 就是这个就是这个，我找了好几年啊！！！！！！！！！！！            
(4星)	 当时第一次看到林心如觉得好漂亮。陈孝萱也漂亮            
(4星)	 华丽舞衣，拥抱着温柔...            
(NA)	 当年很喜欢伊翁            
(3星)	 华丽舞衣，不一样相同；纠缠的心，沉默的相送。你心里的爱情是什么？让我们一切随风。猜得对不对，面对却很累，谁能猜透······            
(4星)	 当时有点迷陈孝萱。            
(5星)	 哦！            
(5星)	 尼玛！友邻太帅了！这是我小时候印象特深刻的民国剧…一直没找到，擦，居然在首页友邻看过中找到了            
(4星)	 小时候从这里开始认识上海滩            
(4星)	 我和我妈都爱看  片头曲的那支探戈  小时候总是爱模仿            
(NA)	 小时候的事了~            
(5星)	 夜晚，想起爱的人，下意识地哼起片头曲～～～            
(5星)	 陈勋奇刘锡明你们俩萌死我得了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 喜欢主题曲             
(5星)	 缺..我童年梦中大叔..            
(4星)	 印象太深刻了            
(4星)	 我的少年。            
(4星)	 记忆中的片子了，当时好像看的挺兴奋的，好像对陈勋奇那个角色印象深刻            
(NA)	 小学看的吧。当年看周海媚和林心如都好漂亮。            
(NA)	 上海探戈            
(3星)	 哇···我还真的看过耶~            
(5星)	 小学时期的最爱            
(NA)	 忘了            
(NA)	 那时候的林心如漂亮的哦            
(5星)	 很酷的感觉            
(3星)	 nb            
(5星)	 怀念一下那些童年~            
(3星)	 太模糊了 只记得小胡子长得很像一个亲戚            
(4星)	 林心如当年一句甜甜的“何非凡........”让我的心都化了。物是人非。他们都老了。            
(4星)	 因为主题曲是成龙唱的，所以一度记错成是成龙主演。第二次在电视剧里看到林心如，演个法国大使的女儿吧？！            
(5星)	 原来那时候就喜欢上Frankie了            
(3星)	 哎 戈探。。。            
(4星)	 那时候的林心如多漂亮啊。。。。            
(NA)	 那是小时候很喜欢看的~~~！            
(3星)	 林心如的依风卢还是在青涩时，陈孝萱的肖美云十分美艳也十分凄酸，陈勋奇一如既往是十分有味道的雅痞            
(4星)	 上学时的大爱啊，每天上学就跟女同学一起讨论            
(NA)	 现在才发现原来是林心如啊？？？            
(3星)	 小時候看這片，還不知道陳勛奇在音樂方面原來這麼有才華。            
(4星)	 记忆中这部片还是不错的。那位何非凡先生。            
(3星)	 其实还挺好看的            
(3星)	 犹记得林心如的小虎牙。            
(4星)	 小时候爱的电视剧。            
(4星)	 当时可喜欢林心如了。剧情不错，男主很有魅力。            
(3星)	 我记得陈旭奇跳chachacha            
(5星)	 小时候看的一部电视剧~            
(3星)	 小时候看过            
(4星)	 记得里面一句台词，很经典..            
(NA)	 噢儿时记忆            
(5星)	 情殇            
(2星)	 补漏            
(3星)	 那时候林心如是小配角            
(NA)	 上海探戈            
(NA)	 探戈            
(3星)	 陈勋奇挺有意思            
(5星)	 翔哥            
(NA)	 林心如很可爱。            
(3星)	 喜欢小胡子和陈孝萱            
(3星)	 一直以为这片男主角是林子祥呢。。            
(4星)	 情节也忘了，记得那时候特别好这种调调。。。            
(4星)	 第一次看见林心如            
(5星)	 小时候看得觉得可凄美了可好看了...            
(4星)	 林心如在里面很漂亮            
(5星)	 哎。。。真喜欢小胡子叔叔那样的人~~            
(4星)	 陈勋奇力作            
(NA)	 就记得小时候看的时候觉得陈孝萱特别美特别妩媚，虽然主角是周海媚，那时候林心如还很小。            
(NA)	 陳孝萱真漂亮~！            
(3星)	 只记得林心如的蓝色美瞳了。。。            
(NA)	 小时候~            
(5星)	 少年时最爱的剧集，那时候还不知道这个热辣、痴情的法国大使女儿就是后来的紫薇，喜欢这个时候的林心如。            
(4星)	 绝对的童年回忆，原来这部剧有陈孝萱！            
(3星)	 很小的时候看过的电视剧......            
(4星)	 觉得陈孝萱好美，林心如也留下美好印象，不过最后忽然转到东方明珠的镜头好囧            
(4星)	 那时候的林心如多可爱啊，到还珠里就变成了包子脸            
(3星)	 只记得主角的两撇小胡子。            
(5星)	 胡子大叔秒杀我啊！！！！我那年还很小啊！！！周海媚很有味道！！！            
(4星)	 喜欢何非凡            
(4星)	None
(5星)	 oh，天啦，终于找到这个男主了，叫陈勋奇=-=当年很喜欢的。。。就是一直忘记名字orz            
(3星)	 我也是记得小黑   记着片头曲的旋律 乱拉手风琴的时候最爱练习这一曲            
(NA)	 原来那个美女是陈孝萱            
(4星)	 那时候的周海媚很漂亮，林心如很年轻            
(NA)	 我娘当年大爱周海媚啊            
(3星)	 记得林心如喝醉酒当众小便的剧情，好狗血            
(5星)	 最近还重温了一遍！            
(4星)	 多年前看過~那時候的周海媚真是尤物啊~            
(3星)	 杀猪刀啊，这片子居然也15年了            
(4星)	 那个时候林心如还木有红……            
(4星)	 当年被刘锡明惊艳到了。            
(4星)	 小时候觉得最复杂的一部片子            
(4星)	 初一时一度迷恋，里面有林心如很可爱，有陈孝萱非常不幸，男主角不帅，还那么多人爱╮(╯▽╰)╭            
(NA)	 好小的时候看过的。。犹记得林心如的美瞳和奇叔的紧身秋裤。。。            
(5星)	 记得那时候爸爸也留着小胡子，反正对帅气的大叔没辙没辙的            
(4星)	None
(5星)	 这片子蛮吊的            
(NA)	 就不知道那任天翔原来就是陈勋奇&gt;&lt;            
(4星)	 感觉很不错啦。            
(3星)	 我只记得周海媚            
(4星)	 小时看过的，因杨门女将想到这导演这么眼熟啊，哈哈，原来            
(5星)	 儿时的回忆啊            
(4星)	 不喜欢的结局            
(5星)	 当年我特迷陈勋奇 恩哼！！            
(3星)	 当时是被陈孝萱给惊艳到了            
(5星)	 多年之后根本记不得那是当年的林心如。只知道陈孝萱很美。意外的成龙的主题曲还不算难听。            
(3星)	 喜欢那个小胡子~            
(2星)	 还是 虎牙的林心如            
(3星)	 看到陈勋奇导演《杨门女将》的宣传片后，突然想到了这部电视剧，当年小学的时候看得，还挺感人的。            
(3星)	 我看过吗？？？？            
(NA)	 以前很喜欢的电视剧啊，多少年了~            
(5星)	 我的童年            
(5星)	 童年记忆            
(4星)	 刘锡明很帅，陈孝萱很漂亮！            
(3星)	 有林心如嘛，只记得有周海媚，还有那个小胡子，觉得周海媚当时好漂亮啊，大美女一个~            
(NA)	 陈孝萱太美了            
(3星)	 小学看的，初见林心如            
(4星)	 记得小时候挺喜欢看            
(3星)	 当年是冲着陈勋奇才看的            
(5星)	 同样是小时候的回忆，蛮好看的，那时候就对林心如有印象了，觉得她挺美的。            
(5星)	 好怀念啊   好喜欢那个探戈的音乐  找不到啊找不到            
(NA)	 不知道是什么让我对此剧印象深刻，貌似挺喜欢那个胡子男一，刘锡明演什么不记得了，过年看到他，已经是个过气到处走场的小明星了~            
(5星)	 哎呀当年好喜欢的！！！！            
(3星)	 对刘锡明变态的荧幕形象认知从此片开始形成            
(5星)	 好看啊~好看，当年林MM嫩得很呢，看完还珠后才晓得那个依风卢是她演的            
(4星)	 突然想起来陪我走了一段难忘旅程的电视剧 =.=            
(4星)	 在老房子看的记得还有老妈外婆哈哈哈哈很迷啊啊            
(4星)	 男主叫何非凡！！啊哈哈~Ps：裏面居然有阿操姐！！？？❤            
(3星)	 好早看的，陈勋奇很帅呢~~林心如那时候还是那样子的，里面也很可爱，好像记得还是绿眼睛~~陈孝萱也很漂亮~~~周和刘有点傻了            
(4星)	 好看            
(4星)	 好遥远的回忆。。有时间再重温下            
(5星)	 美好的童年回忆            
(3星)	 谁会记得当年带着蓝色隐形眼镜演混血儿的林心如？两男一女的戏路，着实有些普通。不过成龙唱的主题曲挺不错。            
(3星)	 原来里边有林心如阿  童年记忆阿            
(4星)	 哇，终于找到了。林心如，周海媚，哇塞            
(2星)	 放学跑同学家看的            
(4星)	 陈孝萱美！            
(4星)	 很小的时候看得了，结局挺好笑的。            
(4星)	 这剧里面有姑娘叫乔赞美么亲！            
(NA)	 就记得周海媚了完全忘了有林心如            
(3星)	 我看的林心如的第一部作品  没想到后来出了个还珠格格 她红了            
(5星)	 上幼儿园的时候偷着看。我妈喜欢男主角和周海媚，我只喜欢周海媚。            
(NA)	 对林心如的最初印象            
(4星)	 小时候印象很深，里面的周海媚好漂亮～～　没看到里面有心如姐姐啊～～            
(4星)	 啊 好喜欢周海媚的嘴巴            
(4星)	 美云和天翔的探戈，无法复制~~            
(5星)	 难忘的刘锡明、周海媚，我想对于西方绅士最初的印象及被激发的喜爱就是来自刘锡明，来自上海探戈！            
(5星)	 除了演员 我已经想不起来具体内容是什么 但当时却是很喜欢的            
(NA)	 记得那旗袍女擦身而过的一吻~~            
(5星)	 不知道还有谁记得这部剧，当时群众天天追着看的。现在回想起来，应该算是最有老上海调调的一部电视剧了。            
(5星)	 好久以前看的了，好喜欢            
(4星)	 不错            
(3星)	 啊哈哈 那时候在我妈工作的地方拍的戏~~至今家里还有那时候从剧组搞来的花瓶            
(4星)	 当年觉得很好看~            
(4星)	 小时候看的，记得不错。林心如和陈孝萱都很好看~            
(NA)	 小时候印象最深的就是那段探戈舞            
(5星)	 那时候林心如还有两颗小虎牙            
(4星)	 很小的时候很喜欢的一部片子            
(NA)	 原來這裡還有林心如            
(5星)	 當年超喜歡這個            
(4星)	 最早是从这里认识林心如的，好美...            
(5星)	 爱上陈勋奇的小胡子            
(4星)	 记不清内容了 只是有印象 很喜欢             
(5星)	 理想            
(4星)	 忘记情节了             
(5星)	 童年美好记忆之一，那个寒假经常和表姐表妹表弟他们自己办晚会，然后在这首午夜舞影中一起跳舞，真是美好啊。            
(4星)	 回忆童年            
(4星)	 那会儿巨喜欢周海媚，林心如从来都是富家小姐的劲儿            
(4星)	 當年覺得林心如一襲婚紗贊的來~~無奈陳勛奇心裡只有藍心湄，至今回憶歷歷在目啊~~~            
(5星)	 完全记不得剧情了却常常想起这部剧。。就凭这个就值小学时的五颗            
(3星)	 那时候的林心如如此清纯活泼呀            
(4星)	 遥想当年，心如刚出道。            
(3星)	 小时候的事了            
(4星)	 小黑！            
(4星)	 这片的主演让我刮目相看。            
(4星)	 原来主题曲是成龙唱的 真TM难听            
(4星)	 记得小时候很爱看            
(4星)	 小时候看的，对流产那集印象深刻。就记得小胡子男主角和周海媚，才知道竟然还有林心如。            
(4星)	 都忘了情节了。。。只知道当年超爱这调调。。。是的。。。我那么小看电视就懂调调了            
(4星)	 今天快乐大本营的嘉宾是林心如。突然想起看到她的第一部电视剧，小时候觉得这部电视剧很好看，林心如的那个角色我也很爱~            
(4星)	 当年可是让陈勋奇的小胡子深深的迷了一把主题曲还是成龙唱的，那时候才知道他也会唱歌。            
(4星)	 小时候喜欢            
(3星)	 喜欢御姐好像从此开始            
(4星)	 剧情真可谓跌宕起伏。林心如很可爱，周海媚很有范儿            
(4星)	 喜欢            
(3星)	 刘锡明当时很帅~            
(5星)	 依风卢让人要心碎。            
(5星)	 陈孝萱真素漂酿~            
(3星)	 小时候的回忆 一点点咯            
(4星)	 小学冲着周海媚看到，记得里面有个叫“丑小鸭”。            
(4星)	 印象好深的呢~            
(NA)	 小时候的记忆            
(5星)	 小时候看过，长大之后忘记名字，依稀记得情节，再看一遍。感动依旧。            
(3星)	 啊？这里面居然还有林心如啊？            
(5星)	 老上海情结多半就是被这些风花雪月电视剧和张爱玲一同勾出来的。            
(5星)	 主题歌是成龙唱的，很有味道。剧中两大主演，刘锡铭见过多次，陈勋奇头一回见。陈勋奇的气质很特别，富有吸引力。此外最精彩的角色是青帮头子唐永清。            
(4星)	 那时候好喜欢小胡子~没想到东邪西毒的原声是他写的~            
(4星)	 当年觉着陈勋奇跟老爸长得忒像。。            
(NA)	 当年觉得很经典啊～            
(5星)	 印象超级深刻的就是小黑，在给人跑出外面后，带着军队回来！！！那时候，觉得他超级帅！！！！            
(4星)	 童年美好的记忆...            
(4星)	 唯一的不解就是 为嘛后来林心如演的那个角色后面没交代了呢？            
(4星)	 还是有印象的 虽然记不清剧情了            
(NA)	 记得那个主题歌的～很有特色～主角像林子祥||原来还有林心如的啊，那时不认识，也没印象。记得有个叫小黑的，不错。总的来说这个电视蛮好看的！尽管我那时只爱看古装            
(4星)	 还是和刘江南在一起的时候            
(4星)	 、            
(4星)	 这个电视剧是我第一次在荧屏上看到心如（不知道之前在这个之前有没有拍过其他电视剧），任性、单纯、善良、敢作敢为的剧中人就是当时心如性格的写照，从那时候起就开始关注她。            
(4星)	 回忆啊回忆            
(3星)	 小学时候看的~当时超喜欢林心如演的那个中法混血女娃子~            
(NA)	 记不清了            
(NA)	 好久以前的片子啊，记不太清了            
(4星)	 当年我就是从这剧认识林心如的....不过我更爱陈孝萱.....而且我一直觉得刘锡明很可悲啊....每次喜欢上他的或他喜欢上的女人,最后都爱上了陈勋奇....            
(5星)	 小时候很喜欢的电视剧啊~~~~~~~~~            
(4星)	 看这部戏很迷刘锡明            
(1星)	 还是看到林某就想吐。。            
(3星)	 何非凡，怎样迷人的男人呵；陈孝萱也相当有魅力啊～            
(4星)	 小时候看的，那时候林心如好青涩啊            
(NA)	 在当时，一切都那么经典。华丽的舞曲，个性的人物，动人的故事。            
(NA)	 小时候觉得超级好看= =            
(4星)	 以前全家坐在电视机前一起看的            
(3星)	 记不得了            
(4星)	 很想知道是什么结局，这么多年了            
(NA)	 就知道那个时候好喜欢周海媚。。。原来里面还有林心如。。。            
(4星)	 经典。主题曲太深刻。陈孝萱！            
(4星)	 小时候家人一起在黄金档围着电视机的回忆~            
(5星)	 童年的回忆            
(3星)	 还记得当时刚上高一 和班里那个全区第二名的男生讨论此片 我说林心如到底喜欢谁呢 他很老成的答---两个都爱 我那时还不明白 怎么能都爱呢 还想半天 呵呵            
(4星)	 为毛我记得不是林心如而是贾静雯啊?记得我跟表姐一直一起跳探戈的[笑]            
(5星)	 小学印象中，这是一部特别好看的电视剧，觉得里面的林心如演混血很到位~            
(NA)	 那时候，因为还珠格格认识林心如。也因为林心如才看的这个片子，不过林心如在这部里面并没有太出彩的地方。            
(NA)	 乱世中的爱情            
(3星)	 那时觉得陈勋奇很帅呀。就是记得后面好象蛮悲惨的。            
(5星)	 这是我爱探戈的原因            
(5星)	 我的小时候~赞            
(4星)	 对主题曲和有着小虎牙的林心如印象深刻            
(4星)	 哈 记得很模糊的好看            
(NA)	 说话跟小灵仙儿一样            
(3星)	 算是刘锡明离开TVB后的佳作。            
(4星)	 当时年纪还小，都在看周海媚，没发现林心如            
(3星)	 依风卢            
(5星)	 小时候的回忆，理想主义的典范            
(5星)	 童年的记忆总是最美好            
(4星)	 陈孝萱美丽到破碎令人哀伤            
(4星)	 家里刚有电视那会看的，故事情节基本上忘干净了。只是记得里面有林心如，还有个小黑……            
(3星)	 我咋啥破电视剧都看过啊            
(4星)	 林心如那会还有小虎牙            
(5星)	 小时候的事            
(4星)	 那里面的林心如很pp，真的很pp            
(5星)	 十几年后，我仍清楚的记得其中很多细节，热血沸腾。            
(3星)	 那时候的陈孝萱美哟            
(5星)	 又是儿时记忆。            
(4星)	 看了这部电视剧很有跳探戈的冲动啊            
(4星)	 旧梦一曲上海滩，绝世风情的男人与绝代风华的女人。记得那时仍小，但那样的爱情却令我痴迷不已，任天翔、何非凡，还有一个叫做“周海媚”的女人            
(NA)	 周海媚很美 刘锡明很帅 那时的林心如很青涩            
(3星)	 前半部分还行            
(5星)	 这片经典的            
(NA)	 骨灰啊            
(4星)	 当时这剧太红，我弟还把名字改成了X非凡。。。            
(4星)	 那時候的劉錫明和林心如~~            
(4星)	 陈孝萱较出彩。             
