http://movie.douban.com/subject/2156723/	顺风妇产科 순풍 산부인과
(NA)	 非常好笑~当年的金素妍和宋慧乔还只是小角色。            
(5星)	None
(5星)	 多少经典的一部剧啊，问了长沙这边好多同学都说没看过，不要告诉我《顺风妇产科》只有福建人看过啊~~顺风顺风顺风~耶~            
(5星)	 哈哈哈哈哈哈哈哈哈哈            
(5星)	 我禁不住要笑内~            
(5星)	 爆笑啊            
(5星)	 顺风！顺风！现在还记得啊，真有意思！！！            
(5星)	 太棒了，很棒的幽默            
(5星)	   很好笑  童年的记忆  但为什么电脑上看总没端着碗筷在电视前看有FEEL            
(4星)	 突然想到了这部~L~            
(4星)	 貌似是初中看的了！笑死我了！！我还会唱主题曲~            
(NA)	 多年前的 ~哈哈            
(5星)	 太好看了啊。。！！当年百看不厌！！真是的！！！我一点都不像美达好吧！！！            
(4星)	 两个小朋友很可爱，若不是遇见子美达的照片，我都忘记自己看过这部了。            
(NA)	 想起来了我小时候一直看的            
(NA)	 好老啊 搞笑！            
(4星)	 真他娘的好看            
(4星)	 最搞笑的是 那个美达的爸爸              
(4星)	 老牌韩国情景喜剧            
(5星)	 不知道是当年笑点低还是怎样，总之就是笑死了            
(4星)	 看过的第一部韩国情景喜剧            
(5星)	 小乔在金素妍面前弱爆了            
(5星)	 喝可乐也要有沫沫            
(5星)	 最好看的韩剧！！！！            
(5星)	 无法超越的经典情景喜剧……            
(NA)	 靠 我想起了很多事            
(5星)	 赞。            
(5星)	 当年她们都还年轻，可是我爱她们从青葱岁月始起，一往而深。            
(5星)	 5 經典。            
(5星)	 小时候看过的            
(5星)	 宋慧乔 金素妍            
(5星)	 这真是一部很美好的情景喜剧,一家人其乐融融的,窝囊的姐夫和漂亮的二姐,武忠,小侄子...都太可爱了...现在看来都一点不俗.可惜那套盘找不到了....            
(5星)	 超爱的一部搞笑韩剧，学生时代电视台上放的，即使是配音版本也是超级的搞笑，后来还买了碟看。            
(3星)	 大学时看的。            
(5星)	 绝B是搞笑啊！！！            
(5星)	 满是回忆，很有意思            
(5星)	 韩国就拍个喜剧还不错 还得是情景喜剧            
(5星)	 当时笑崩了。。。            
(5星)	 小学的周末都是一边看这个一边做作业。。。            
(4星)	 虽然讨厌韩剧但是这个好好玩            
(3星)	 搞笑剧，不错            
(5星)	 我是白英奎教你学英语的白英奎~~~哈哈哈哈哈哈哈            
(3星)	 小清新的情景剧            
(5星)	 赞哦~有趣儿            
(4星)	 很有意思的韩国剧。            
(4星)	 当年南京有线台傍晚那个什么剧场放的，最有好感的棒子剧！            
(5星)	 最好看            
(3星)	 喜感            
(5星)	 小时候的独家记忆            
(4星)	 小学时候看的，好笑死了～            
(4星)	 经典 小时候的记忆            
(4星)	 可爱的吴素娟~            
(5星)	 简直就是小时候欢乐的源泉嘛！亲切无比            
(4星)	 = = 所以绝对不可以当产科大夫！            
(5星)	 小时候的回忆            
(4星)	 曾经看过，哈哈哈            
(5星)	 每次看都想笑            
(5星)	 顺风 顺风 耶!!            
(5星)	 无敌经典，美达是我见过的最讨厌的小孩……            
(NA)	None
(4星)	 最喜欢的韩剧之一~~~            
(4星)	 搞笑的呀，高三那会儿每天放学回家都会偷偷看一会            
(4星)	 这是我最喜欢的了！中文配音也不错，每次暑假电视若有播，必定会看的据！美达~ 意灿~             
(4星)	 小时候看的，好喜欢依灿和伍中啊。            
(3星)	 多给的一星完全是为了那个悲催的小正太。。            
(3星)	 不是我最喜欢的这种家庭情景喜剧            
(3星)	 初中那会看的吧            
(4星)	 童年的记忆．．．．确实有笑点            
(NA)	 咦灿和美达~~\(≧▽≦)/~            
(5星)	 怪霸的！            
(5星)	 哎呦喂 太精彩了 白美達            
(4星)	 看过的都知道。            
(5星)	 典型的韩国情景喜剧，那个叫美达的女孩和她老欺负的小男孩一对很有趣。还有金素妍，宋慧乔那时候胖胖的。            
(5星)	 哈哈哈            
(5星)	 情景喜剧的魅力。            
(5星)	 重温中，经典！            
(5星)	 超级搞笑            
(5星)	 尼玛啊，小时候拌饭吃的。            
(4星)	 好吧，在反韩前我还是蛮喜欢这部傻瓜片的            
(4星)	 lol            
(4星)	 很早看的一部韩国喜剧 每次再看都还是让我捧腹大笑            
(4星)	 还行吧。里面的幽默我不懂            
(5星)	 小时候边吃饭边看的            
(4星)	 这个我看过！哈哈            
(NA)	 好玩！            
(5星)	 欢乐 闹腾 让我笑到肚子疼            
(4星)	 好小的時候家裡人看也跟著。都忘得差不多了 不過搞笑的            
(5星)	 是继搞笑一家人后第二喜欢的            
(5星)	 # 百看不厌的经典韩国家庭情景喜剧.            
(5星)	 难得不庸俗的搞笑，人物都很有性格，立体，不平面            
(5星)	 小时候看的那会金素妍简直是我梦中情人！            
(NA)	 人生中的第一篇韩剧，还是最好看。。            
(5星)	 哈哈 美好的回忆            
(4星)	 经典~家庭剧            
(5星)	 我看的第一部韩国喜剧！大爱~            
(5星)	 搞笑！！！！！            
(5星)	 宋慧乔和金素妍就是那时候认识的，几年后她们走红了，我还很诧异：她们不早就红了么            
(5星)	 高三时候天天回家先看好再看书            
(4星)	 爸爸爱看的~            
(5星)	 五星韩剧            
(5星)	 小时候的回忆啊            
(5星)	 很欢乐            
(5星)	 现在看还是很好笑            
(5星)	 ！！！！            
(4星)	 = =。当年江苏卫视滚动播放。。于是我无意中看了一遍又一遍。但是还是笑了一遍又一遍啊!!&gt;&lt;            
(5星)	 记得有一集英奎吃汉堡吃到什么东西了然后快餐店赔了100个汉堡那集笑抽了。。五中永远被金灿雨父子欺负            
(5星)	 温馨又搞笑，傻傻的伍中            
(NA)	 侍宴应诏赋韵得前字            
(4星)	 永远响亮的顺风顺风顺风哟！            
(5星)	 已经遗忘了的电视剧，不过回想起来真的超级搞笑！            
(3星)	 很早时候电视上播的，笑死我当时            
(5星)	 小时候好爱好爱啊..            
(5星)	None
(5星)	 我妈的最爱好吗！！！            
(4星)	 其实这个才是韩剧鼻祖~~            
(5星)	 经典回忆            
(5星)	 很搞笑            
(NA)	 看的第一部韩剧，肥肥的乔妹哈哈            
(5星)	 最早接触的情景类喜剧！            
(5星)	 水壶啊，你为何哭泣？难道是因为屁股太烫？小学最爱看的韩式生活喜剧！            
(4星)	 那个年代的算是还不错，奇怪，以前我一直以为这部是日本的。            
(5星)	 这个实在太经典太搞笑了！！！            
(4星)	 想起那时候的宋慧乔就觉得好笑，哈哈~            
(5星)	 超爱            
(5星)	 儿时的最爱            
(5星)	 考高中那会每天放学回家的……动力            
(5星)	 很早以前看过的 算是第一次接触的韩剧吧 超搞笑的说            
(5星)	  这一家人都太搞笑了!            
(5星)	 小学时的最爱啊哈哈~            
(5星)	 只属于我们的儿时回忆！太开心的年代~            
(5星)	 乔妹很漂亮~我和老爸哈哈大笑~遭老妈在一旁鄙视~            
(5星)	 记得这部肥皂剧唯一的缺点就是在吃饭的时间播出...            
(NA)	 金素妍多美~~            
(NA)	 有趣            
(5星)	 美达美达。。。            
(5星)	 家的温馨和喜悦。一边流泪，一边笑。            
(4星)	 长且搞笑            
(4星)	 挺逗            
(5星)	 永远无法忘记的一部剧            
(4星)	 那两个小孩子最我看下去的动力。。。            
(4星)	 也算是童年回忆了吧            
(5星)	 特逗！！喜欢            
(5星)	 啊哈哈哈，可喜欢啦！还记得那俩孩子叫美达和意灿！            
(4星)	 本港台播的，陪了我们很长一段时间            
(5星)	 美达和意灿太可爱了~~            
(5星)	 这个是强推啊！！！美达和英灿！！！            
(5星)	 父子俩太贱了。欺负惨五中了！哈哈哈哈            
(4星)	 好看的，一家都是活宝，邻居也是！            
(5星)	 太好笑了            
(5星)	 你好·我是跟白英奎学英语的白英奎·            
(5星)	 很好看啊！！！里面两个小孩超可爱~            
(5星)	 乔妹子那会胖嘟嘟的。有一集美达问艺灿说长大了想干什么，艺灿说想当院长，美达就说那我长大了要当院长夫人，艺灿马上说那我不当院长了，结果遭到一顿爆打，太搞笑了            
(NA)	 怎麼會有美達這麼討人厭的小孩。            
(4星)	 发现我还是看过韩剧的。。            
(5星)	 真的是——太搞笑啦！！！！！            
(5星)	 极少数我不排斥的棒子剧，超级搞笑            
(5星)	 难以忘记的一部电视剧，陪伴我们福建小孩长大的~~~            
(NA)	 顺风在我心中的地位坚如磐石            
(4星)	 上学时候每天中午吃饭都看。。很搞笑呢~~好玩儿            
(5星)	 很经典的情景喜剧～            
(4星)	 这可是陪伴我度过童年的一部好剧之一啊            
(3星)	 宋慧乔好嫩芽            
(3星)	 就是搞笑啦~            
(5星)	 金素妍。。。            
(5星)	 张护士的双截棍耍得是有多威风啊！！！            
(5星)	 小时候每天必看哒            
(4星)	 什么也不需要说了╮(╯▽╰)╭。            
(5星)	 美达啊哈哈哈。            
(5星)	 是要笑死我了！            
(5星)	 吴院长是导演，真不简单，演员整容很强大啊，权五忠太帅了，就是不火啊。            
(5星)	 美达~~~意灿~~~~~            
(5星)	 多拍点这种片子啊！经典啊！            
(4星)	 哎哟我的妈            
(5星)	 回忆啊，当时整天晚上看            
(5星)	 小学时候看的，好多情节现在也忘不掉            
(5星)	 这个太逗了~宋慧乔还婴儿肥呢，好可爱            
(5星)	 太给力了！            
(5星)	 顺风顺风顺风yo~!!            
(4星)	 笑死过去            
(5星)	 好笑            
(NA)	 曾经觉得挺搞笑的.            
(5星)	 美达可爱死了            
(5星)	 最经典的韩国家庭喜剧！            
(4星)	 小时候看过，还是挺搞笑的            
(3星)	 有一阵子很喜欢金素妍            
(5星)	 八错            
(5星)	 哈哈哈哈哈            
(4星)	 很喜欢这部电视剧。            
(NA)	 这个很好笑啊            
(4星)	 不错，搞笑            
(3星)	 还行，没有high kick好看。            
(5星)	 太逗了！！！！！！！！！！            
(4星)	 很欢乐捏～            
(5星)	 太经典叻。。            
(5星)	 “美达，你脸黑~！”            
(5星)	 美达 依灿 表护士            
(5星)	 这是我喜欢的情景剧之一。            
(5星)	 以前初中时候看的，每次看都笑抽筋，是我看的最搞笑的电视剧！            
(5星)	 笑翻了！            
(4星)	 狠甩狠甩            
(3星)	 傻傻乐乐呵呵的一家，还有很多怀念的青春面孔            
(5星)	 哎呀~~~超好笑~~算是我第一部韩剧吧~~~都是妈妈导致的            
(5星)	 超级搞笑，看过这个，国产情景剧都是浮云了。            
(5星)	 啊呀想当年            
(5星)	 这个超搞笑的！小时候很喜欢看这个类@            
(5星)	 百看不厌。可惜结局很暧昧            
(5星)	 小时候的最爱~~            
(4星)	 N久前电视上看过～搞笑的来。。。。            
(NA)	 哈哈哈哈哈哈哈哈，就是这样~            
(5星)	 嘲片子            
(5星)	 宋慧乔就不说了，金素妍还真是神马都能演啊，喜剧的掌控能力也这么好！            
(4星)	 小时候看的时候，以为是日本的。。长大了之后猛然想起，原来里面有个宋慧乔            
(5星)	 这是我看过最精彩的情景喜剧和韩剧了，前面那个是之一，后面那个是没有之一            
(4星)	 很好笑~            
(5星)	 顺风顺风顺风，耶！！！            
