http://movie.douban.com/subject/2229479/	穿越时空的爱恋
(4星)	 小学时每天准时做电视机前等着看 还会记到流水账日机里...            
(3星)	 从此走上穿越路。            
(4星)	 我本来一心希望他们会在一起。。。            
(5星)	 张庭真是个天才            
(3星)	 其实我觉得配角演得很出彩 当年第一次接触的跟穿越有关的东西            
(5星)	 诶，瞅瞅人家这么多年前都玩过的穿越了            
(3星)	 徐峥.. T T (算了念在他还演过春光灿烂猪八戒呢.. - -)            
(1星)	 怎一个二字了得？？？？？？？？？            
(4星)	 张庭大美女            
(NA)	 一度看的感动极了            
(3星)	 张庭笑起来的酒窝很好看。            
(NA)	 貌似就是从这里第一次接触穿越这词儿。            
(4星)	 喜欢张庭，夸张却自然。这是以前很喜欢的一部剧，就算现在会觉得俗。            
(4星)	 其实我之前一直在想为什么江苏卫视总是放这个，原来是自销。。。            
(4星)	 还好吧，笑一笑，茄子~~            
(4星)	 我觉得还不错哈。。。            
(NA)	 应该是穿越时空的纠结。            
(4星)	 为什么！！我当年那么傻被这个迷倒            
(NA)	 无聊的时候看看 很好笑的            
(NA)	 偶像剧吗···很前卫！            
(3星)	 中考结束的那个暑假每天晚上必修的电视剧。这样穿越的历史着实有些趣味。03年。            
(3星)	 很莫名。。。我看不来穿越剧。。。            
(4星)	 那时候很喜欢看啊 觉得他们都特可爱            
(3星)	 穿越系，由此开始繁荣~            
(4星)	 国内最早的穿越电视剧？            
(4星)	 没有原因，初中生怎么那么爱看这个。现在的我非常不理解从前的我。            
(4星)	 穿越风之鼻祖。            
(4星)	 哈哈哈，还有这个，可真喜欢这姑娘~            
(NA)	 当时盼着它拍续集来着            
(4星)	 喜欢和张庭这样的女孩子交朋友。            
(4星)	 初中的时候为了看这不写作业            
(3星)	 年少回忆。            
(NA)	 哦 穿越            
(3星)	 猪哥哥 这回变成 朱哥哥 了            
(NA)	 动人之处            
(4星)	 穿越文的始祖片头片尾曲都不错~            
(5星)	 合家欢必备剧~张庭的各种可爱表情真是一绝呀。            
(2星)	 我看了 我竟然看完了 我竟然還記得 我……            
(4星)	 还不错的。就是徐峥的造型有点雷。还是喜欢李卫啦            
(NA)	 这个那时候 多好啊            
(2星)	 小丸子            
(4星)	 够糍。            
(4星)	 奇幻又有想像力            
(2星)	 我喜欢张庭的酒窝.            
(4星)	 真的喜欢张庭啊，可爱的酒窝            
(3星)	 穿越貌似那时候开始红起来的            
(3星)	 很雷！偶然看过 好险有张庭大美女 和可爱徐峥~            
(NA)	 从此关注建文帝去向的种种传说            
(3星)	 看了也不下两遍...第一次让我对明朝的野史有了了解的兴趣...片尾曲《太多》，曲是取自《殇》。            
(4星)	 很难想象当年已经三十出头的张庭装可爱起来其实特别可爱。            
(NA)	 因为喜欢男女主角的演员所以看，顺便因为这个电视剧喜欢上了烤鸭~            
(2星)	 看，只是因为徐峥，阡陌的书明显比席绢差很多            
(2星)	 有点作呕其实。            
(3星)	 实在是喜欢二皇子的戏份呐。            
(NA)	 很喜欢张庭～            
(3星)	 怎么我看过这么多烂片。            
(NA)	 很无聊，很无语             
(4星)	 穿越启蒙!            
(3星)	 最适合张庭的路数，她演这类角色的确熟门熟路，不过更让我感兴趣的还是燕王那一对            
(3星)	  电视剧            
(3星)	 其实我是多喜欢徐峥的 但好像别人不怎么愿意演喜剧 但也没办法呀            
(3星)	 不错的电视剧            
(NA)	 片尾曲蛮好听的            
(5星)	 搞笑加科幻            
(5星)	 很奇怪 很喜欢 当年的徐峥还是一脸清秀相            
(3星)	 穿越哦！哈哈            
(4星)	 前半部分比较搞笑，结局还是有惆怅呢            
(NA)	 难办放假可以追部剧。安徽卫视还是不错的。            
(5星)	 是启蒙我走进穿越时空的鼻祖！！！            
(5星)	 喜欢的不得来.哭的时候很凶猛笑的时候更凶猛.小玩子闹的笑话很多个暑假都在回味.还有二叔三叔.            
(NA)	 古灵精怪,呵呵            
(4星)	 aman当年很喜欢            
(NA)	 一般            
(2星)	 第一眼看就觉得很无聊。。不知道为什么那么多人喜欢。。 - -#            
(3星)	 張庭裝可愛還真上癮了            
(3星)	 穿越的題材不多            
(NA)	 天哪~~我当时是多么的喜欢张廷阿~~            
(3星)	 时空穿越。我喜欢的是最开始现代高科技的神偷小丸子。哈哈            
(NA)	 非常胡扯            
(4星)	 虽然服装比较简陋，但整体很满意的            
(5星)	 有些故事，你那么希望编剧是掌握了爆料即鲜为人知历史真相的人，他讲的真的就是真的，不管荒诞与否——比如这个。另外看过的所有关于建文帝下落的说法里，最想相信的是洪门致公D的那个，那个显得他有些许强势嗯            
(4星)	 我看的第一部穿越剧。张庭和徐峥，小玩子和朱允炆，一个可爱一个木讷，完全的互补。虽然剧情脱离历史，但是比起现在集中的清穿，从独特性和先进性上，完全的赢了！！！！            
(NA)	 我居然看过这个 忘了标标一下            
(NA)	 穿越剧！小时候看的！            
(4星)	 这貌似是我看过的第一步穿越剧嘿呀。            
(4星)	 還是很搞笑滴..烤鴨.哈哈..            
(3星)	 张庭笑得很可爱啊。当时就有穿越剧了，记得还蛮好看的。            
(4星)	 张庭真漂亮啊当年            
(5星)	 算是大陆穿越剧的鼻祖吧            
(3星)	 张庭么 大活宝一个呀            
(5星)	 麻痹永恒的经典！！！            
(3星)	 这也得是小学看的了。。。            
(5星)	 我一直以为它是宫廷穿越的鼻祖。            
(4星)	 穿越剧的鼻祖            
(4星)	 我爱张庭啊。。            
(5星)	 当时真的很喜欢很喜欢。女主角非常好看。现在的穿越剧，切。            
(3星)	 这个确实好看哇.            
(4星)	 最近穿越剧很火 想起很久很久以前看的这部 应该算国内穿越剧的始祖了吧。。。而如今也早已忘了这是个什么样的剧情、结局又是如何 但它却让我回想起记忆深处的那些假期时光。。。            
(4星)	 看到2002年首播，那估計我是十歲左右看的電視劇了，好吧，那位神仙姐姐笑起來很好看，有酒窩            
(4星)	 小时候看的,觉得挺搞笑的,那时候题材也很新颖嘛,这题材的电视剧不多            
(4星)	 张庭笑起来很可爱，对结局，对朱棣饶有兴趣～            
(3星)	 那时穿越正流行。。。            
(5星)	 必须五星呀            
(4星)	 穿越的鼻祖！            
(4星)	 当年可喜欢啦！！！真的很幽默XD            
(3星)	 看豆瓣一个帖子想起来这部剧，每次重播都看一眼            
(3星)	 后来才发现徐峥是演技派，但居然也演过这么多不靠谱的片儿            
(3星)	 童年记忆              
(5星)	 这么早的穿越剧，果断有爱的一米。            
(5星)	 我爱大明！！！我爱朱允炆！！！我爱徐铮！！！我爱张庭！！！全部戳中萌点准确无误！！！            
(NA)	 我小时候到底是看了有多少。            
(3星)	 我一直认为这是穿越的鼻祖``            
(4星)	 看第一遍时挺喜欢的            
(4星)	 就是喜欢古灵精怪的女孩子~~            
(4星)	 能改变的是命运，改变不了的是结局。            
(3星)	 张庭~~~            
(3星)	 徐峥也曾经偶像过            
(2星)	 神码乱七八糟的            
(NA)	 又一个童年回忆……            
(3星)	 张庭真美。            
(4星)	 肥肥的鸭子油吱吱，吃了一只想两只，还想吃            
(4星)	 朱元璋不够丑！            
(2星)	 好吧还真的可以更SB……            
(4星)	 唯一一部看完而且恋恋不舍的穿越剧             
(4星)	 穿越剧的鼻祖啊。            
(NA)	 张庭多可爱啊，小丸子啊，朱棣那段也很嗲，总之当年让我对明史产生了相当大兴趣……            
(3星)	 张庭很美啊～            
(NA)	 烦死张庭了。            
(NA)	 这个算是国产穿越剧的始祖了吧            
(4星)	 这大概是大陆最早的一部穿越剧了吧            
(4星)	 算是穿越剧鼻祖？            
(4星)	 比现在穿越的好多了             
(5星)	 内地第一部穿越剧，而且十分好看，从此以后难以超越了...            
(3星)	 貌似是最早的穿越剧（´Д`）            
(5星)	 我太爱这部穿越剧了，除了服饰以外，其它比宫锁心玉质量高多了。。最后的结局好囧好欢乐呀~~~~~            
(4星)	 比宫好一千倍            
(5星)	 当年最爱~            
(NA)	 穿越戏先驱。比起《宫锁心记》搞笑。            
(3星)	 张庭那段时间好红，还是个穿越剧，只记得有烤鸭什么            
(3星)	 这算不算是内地穿越第一戏了？            
(3星)	 可能是最早的穿越剧了吧。蛮好笑的。            
(4星)	 张庭好可爱            
(3星)	 =。=早期穿越！            
(4星)	 我一直在等续集呢~~            
(5星)	 童年啊！            
(5星)	 第一次看到穿越的戏，情节我很喜欢。感触最深的是张楚楚最后没有回到现实世界，离开了以前认识的人和环境，觉得怪可惜的。但是，现在觉得她应该不会觉得遗憾。另外想说的是经典就是经典，难以超越！            
(4星)	 当时觉得还是很好看的            
(3星)	 天雷系列，时代在变呢。            
(4星)	 穿越的鼻祖啊！            
(4星)	 原来那么早的时候就有穿越了~~~            
(3星)	 穿越剧的前辈。挺搞笑。只是结尾太仓促。            
(1星)	 想当年的太阳雨剧场 我擦            
(5星)	 现代人与古代社会的思想行为磨合，笑点很多，小玩子把现代的赌博、烤鸭、爵士舞带到明朝皇宫，结尾大胆，正好解释了历史疑点。小玩子和警察的选择是不同的，一个很浪漫，一个很搞怪。期待出一个续集，朱允炆的后现代生活。。。            
(NA)	 这估计是我知道穿越的第一个启蒙吧？            
(5星)	 朱允炆            
(3星)	 虎头蛇尾。。。            
(3星)	 其他人很喜欢，我很一般，张庭的搞笑就只有哈哈哈哈的大笑            
(3星)	 不喜欢徐峥 却又喜欢张庭             
(3星)	 穿越的鼻祖            
(2星)	 传说中的第一步穿越剧            
(NA)	 那时还真是喜欢张庭啊            
(2星)	 神马玩意儿            
(4星)	 穿越啊穿越。哈哈            
(NA)	 这是神马时候看的 = =            
(NA)	 绝对恶搞。朱允文，朱棣。很早的一部穿越剧啦。。            
(3星)	 张庭。徐峥a~~~            
(5星)	 第一部穿越剧            
(3星)	 难道一部戏4个主演都喜欢的            
(4星)	 我知道，你爹坐在门后~~~~~印象深刻的片尾曲            
(3星)	 穿越剧            
(3星)	 在杨幂那部清穿剧即将上映的时候，突然想起我很小的时候就看过穿越剧了……            
(4星)	 当年为那个结局抱憾……从此熟知明史            
(3星)	 穿越文很多，穿越片奇缺，喜欢张庭的酒窝。            
(4星)	 大陆穿越第一人            
(4星)	 当时很喜欢的说            
(4星)	 哈哈哈哈哈哈            
(4星)	 借问声我怎么居然还萌过徐峥啊啊啊啊啊啊……            
(NA)	 我不喜欢张庭笑成那样。。            
(NA)	 老妹硬是说好看，我死活不同意            
(3星)	 大概最早看的穿越剧了            
(4星)	 这个好喜欢啊好喜欢            
(4星)	 我很早前看过的第一部穿越电视剧哦，现在依然历历在目            
(3星)	 仙仙~小猴子~            
(4星)	 还是很搞笑的。            
(3星)	 哈哈 就是无聊赖看看的~8过现在的电视剧一部不如一部了 = =             
(4星)	 我觉得还不错看呀~~            
(4星)	 穿越啊            
(NA)	 从那时起我有了穿越的概念            
(3星)	 张庭真美              
(3星)	 非常无聊，不知道折腾个啥。            
(2星)	 从这里喜欢徐峥 讨厌张庭            
(4星)	 穿越            
(5星)	 童年岁月中的一个惊喜。。。            
(NA)	 其实我很喜欢看哎。。。去年回国还有看的！            
(5星)	 一个让我迷穿越的引子...            
(5星)	 当初还真的很爱这个穿越剧，哈~            
(4星)	 那个时候觉得真好呀！            
(3星)	 穿越剧。。。            
(3星)	 十全大补丸！！！            
(3星)	 时间回到零二年，编剧事实上是多么的前卫啊            
(3星)	 那个时候就好喜欢张庭啊            
(3星)	 再次发现一个6.6的。这部片唯一给人留下的印象是在初中历史课上变成了不同于楷体小字的野史补充。。。            
(4星)	 喜欢张庭            
(3星)	 话说张庭好久没出来演戏了呀            
(4星)	 早期穿越文的电视实践啊~脉络情节跟如今的穿越文的架构还挺接近的            
(3星)	 这个！            
(3星)	 这个只怕得算是穿越的老祖宗了……            
(3星)	 开启了跨越时空的先河            
(3星)	 穿越时空的鼻祖啊！            
(4星)	 很搞笑。知道了有个皇帝叫朱允炆，后来看史，真有这个皇帝，还真失踪了。            
(3星)	 中途很傻逼，就是题材比较萌            
(3星)	 啊啊啊其实满好看的= =            
(3星)	 朱允文还是那个猪哥哥            
(3星)	 = =小玩子            
(3星)	 豆瓣真强大....            
(4星)	 印象比较深的电视剧之一~            
(5星)	 经典啊            
(4星)	 这算穿越剧的先锋了吧。喜欢两个主演及主题歌。            
(3星)	 穿越嘛。            
(3星)	 年轻时我脑壳一定被牛踢过……            
(4星)	 曾经我很迷恋它的！对穿越这种神奇的事情比较好奇            
(2星)	 没劲。。。            
(4星)	 小时候爱看 很喜欢片尾曲 哈哈            
(5星)	 这个才是真正的最早的穿越吧  喜欢张庭            
(4星)	 不怎么现实！            
(3星)	 我记得还是看杂志上结束才开始看的吧            
(2星)	 2次。            
(4星)	 国内穿越的翘楚             
(NA)	 在韩放家弥补当初错过的&#34;穿越&#34;教育~            
(3星)	 这是燃起我雷穿越之心的剧……            
(4星)	 最早的穿越吧。。。            
(NA)	 傻了点            
(3星)	 某个无聊的暑假，从这里知道了朱棣和朱允炆            
(4星)	 仙仙。            
(NA)	 最早的穿越电视剧。            
(3星)	 南京的上空有亿万只鸭子的冤魂！            
(3星)	 华丽的童年回忆。。            
(NA)	 我当时就觉得真是粗制滥造啊，其实是很不客观的。我只是当时厌倦了假的故事。            
(5星)	 这个比宫锁心玉好看多了，讽刺搞笑又荒诞，那个宫就是俊男美女加一个雷雷雷！！            
(4星)	 穿越鼻祖！            
(3星)	 小学喜欢的电视剧.初中时候又看了一遍.最近又看了一遍.可能我看书较少，这是我看穿越书籍前的第一部女性穿越电视剧，            
(3星)	 很2            
(4星)	 那时候看好喜欢徐峥喔            
(NA)	 穿越            
(3星)	 MS是我看过的第一部穿越剧            
(4星)	 当年是偷偷看的来着            
(3星)	 我初中时也loli过哦耶耶耶耶耶耶耶            
(3星)	 这是我第一次接触穿越这么个新鲜玩意儿，虽然挺雷的……            
(3星)	 主题歌不错，后来被无数泡沫剧引用            
(3星)	 怎么不是穿到清朝？            
(4星)	 喜欢搞笑不要言情。。。            
(5星)	 我非常喜欢的一部电视剧            
(4星)	 张庭很可爱的。            
(5星)	 我的穿越祖师爷~ 第一次完整接触穿越概念~ 可歌可泣的第一次啊！！！            
(NA)	 为啥好好一部小说给拍成个大雷片= =            
(4星)	 人生中遇到的第一次穿越。当时很喜欢的说，现在也还是喜欢，即使会觉得怂~            
(5星)	 我觉得我对朱棣的第一印象 就是来自于这部片子...            
(3星)	 也是个打发时间的好片子~            
(NA)	 没看完            
(NA)	 時空旅行方面編得還可以            
(3星)	 穿越那~            
(3星)	 穿越啊！穿越！~            
(3星)	 小仙女~~~小仙女~~~            
(3星)	 张庭你笑得也太灿烂了吧~~~~            
(5星)	 朱棣朱棣~~            
(4星)	 不错...            
(3星)	 穿越了。。！            
(3星)	 第一个搬上银幕的穿越片吧。。。虽然很狗血！            
(4星)	 我居然非常想打五星诶！结局实在是让我飙泪= =！            
(3星)	 那时候多喜欢张庭            
(NA)	 不错            
(5星)	 让大爷我开心的剧都是好剧。            
(3星)	 哈哈，小丸子            
(3星)	 我妈边看边说瞎扯。。            
(4星)	 这个可以看            
(4星)	 哎呀 那时候天天追着看啊 觉得张庭长得特别完美 怎么看也没有长得不好的地方  而且特别喜欢徐峥其时            
(NA)	 我爸喜欢这个疯癫女            
(4星)	 看完忽然对明史有了兴趣~~            
(1星)	 什么东西嘛...            
(5星)	 很喜欢这个故事和憨厚的朱允文            
(4星)	 以前老喜歡的~            
(4星)	 很搞笑            
(3星)	 穿越时空这桥段，还算吸引人，所以给三颗星！            
(5星)	 蛮好看~~~很神奇            
(5星)	 演几遍看几遍            
(4星)	 其实最喜欢里面那个圆脸猪头的二皇子了，呵呵            
(3星)	 还记得有个玻璃杯装眼泪。。            
(5星)	 特喜欢看            
(4星)	 名字差了点~            
(5星)	 最早喜欢上的穿越啊~            
(3星)	 最喜欢的朝代 哈哈            
(1星)	 不喜欢            
(3星)	 穿越，女主比较无厘头蹦蹦跳，不过还是很有意思的            
(3星)	 是在小饭馆看的第一集，烤肉和砂锅。            
(NA)	 真可爱。这么好的男生哪里找。            
(NA)	 ==            
(3星)	 挺高兴            
(4星)	 歌很好听 剧情也很好看            
(NA)	 穿越启蒙            
(4星)	 對歷史的認識蠻有趣~~~            
(4星)	 不错            
(3星)	 挺恶搞历史的一部片子~冲着张庭去看的。。            
(NA)	 穿越题材的始祖            
(2星)	 。。。            
(3星)	 寻秦之后，穿越电视剧的继承者啊，有远见。。。            
(NA)	 浪漫的奇幻            
(4星)	 穿越剧的实在不多            
(4星)	 那年夏天的记忆啊            
(5星)	 蛮好笑的  张庭这类角色演的很不错呢            
(3星)	 还是挺喜欢            
(4星)	 当年超迷啊...            
(4星)	 这个芊芊很好玩，外号就叫小玩子，那个傻乎乎的朱元璋爷爷也很有趣，很好看的一部电视剧。            
(3星)	 大学时候看过的，明朝也可以这么搞笑？            
(3星)	 片尾曲。。好听            
(4星)	 喜欢张庭            
(4星)	 我觉得这部真应该拍个续集~虽然年代是略久远了点            
(NA)	 当年还挺喜欢 徐峥那个牙啊……            
(5星)	 第一次穿越 喜欢。            
(2星)	 完全不想看完的电视剧。。。            
(NA)	 非常无聊的电视剧            
(5星)	 大概是穿越的鼻祖            
(3星)	 乱七八糟            
(3星)	 还好啦            
(NA)	 为数不多的穿越剧，从娱乐的角度，拍的还是成功的。            
(NA)	 其实很好看            
(5星)	 陪伴我度过跆拳道馆的炎热夏天。。。那年吃了好多烤鸭。。。            
(3星)	 张庭很漂亮。。            
(3星)	 烤鸭            
(4星)	 其实我很爱它的~            
(2星)	 没有看结局呀，不过不喜欢张庭，所以不是很喜欢            
(2星)	 穿越！！            
(NA)	 徐峥挺会演的。            
(3星)	 “穿越”的鼻祖啊！            
(2星)	 做作，而且很扯            
(1星)	 肥皂剧            
(4星)	 第一代穿越            
(NA)	 第一次看“穿越”            
(4星)	 那个时候喜欢的张庭和徐铮.            
(NA)	 在穿越文还没流行前的穿越电视剧～            
(NA)	 还不懂事那会挺喜欢看的            
(3星)	 张庭真的是美女！            
(4星)	 内地最早的穿越剧了吧            
(3星)	 和台湾某女作家的小说一个名字....穿越类连续剧....最有印象的是里面做烤鸭的部分...            
(NA)	 大结局太无聊，如果能有续集就好            
(5星)	 俺最早接触的穿越啊！            
(4星)	 挺好玩的            
(5星)	 哎哟 我对这剧有情结            
(NA)	 看徐峥和张庭玩。            
(NA)	 多经典的一电视剧啊，多少经典前端啊            
(3星)	 张庭！            
(1星)	 烂就一个字            
(4星)	 从现在起我随你上下古今，海角天涯            
(4星)	 回忆            
(2星)	 乱七八糟啊~            
(NA)	 无厘头捏。。张庭挺漂亮的            
(4星)	 没有三角恋，没有乱七八糟的恋，这是~~~多么CJ的一个故事呀~~~            
(4星)	 那时候的张庭好漂亮            
(NA)	 曾经一度很喜欢这个电视剧            
(4星)	 史书上可没有说过朱棣长这么帅。。。。            
(4星)	 芊芊!            
(3星)	 小温馨            
(5星)	None
(3星)	 记得我当时还蛮要看的呢。            
(NA)	 这才是穿越剧的鼻祖！！            
(4星)	 最早的穿越剧之一吧，张庭好可爱~            
(3星)	 补遗            
(4星)	 看的第一部穿越剧啊~~~            
(5星)	 现在看来还是挺经典的！！比现在的好多犯傻的剧好            
(5星)	 最爱的穿越剧没有之一            
(4星)	 穿越时空鼻祖+小时候印象还不错            
(3星)	 穿越剧的先驱。            
(NA)	 叔当年也是个萌正太啊            
(5星)	 张庭。            
(NA)	 我擦小时候真是没事干            
(5星)	 回不去的童年啊 那时候天天把着电视 看允文和仙仙            
(4星)	 那时候多可爱啊~~            
(3星)	 某童鞋的最爱......            
(4星)	 这才是穿越剧呢~多好玩~            
(3星)	 好像是最早的穿越剧。。。            
(4星)	 这算是穿越第一剧吧？！            
(5星)	 越古老的穿越剧越出彩~            
(4星)	 当初好喜欢的            
(4星)	 老了老了            
(3星)	 这是穿越剧的经典 有没有！            
(3星)	 内地穿越剧的鼻祖。            
(5星)	 穿越入门            
(NA)	 真正的第一部我看的穿越剧            
(4星)	 中国首部穿越剧               
(5星)	 最早的穿越剧啊！！！            
(5星)	 比步步惊心好的不知多少            
(4星)	 = =            
(5星)	 一个爱笑的张庭，直接满分。            
(5星)	 那时候看还是觉得很好看很好看的            
(5星)	 因为我好喜欢徐峥。            
(2星)	 徐铮那个造型......            
(5星)	 很早的穿越所以觉得特好看            
(3星)	 第一部看的穿越剧            
(3星)	 只看过一部穿越剧，就是这部，那时候还没有“穿越剧”这个词，我很喜欢徐铮和张庭演的角色            
(4星)	  穿越鼻祖啊~            
(3星)	 以前的了，作补充。            
(4星)	 人生中第一部穿越剧            
(5星)	 重温穿越剧，我还是最爱这部！            
(5星)	 当年的徐铮还不是怪蜀黍……            
(NA)	 当时好迷恋....            
(4星)	 哈。鸭子代表我的心            
(4星)	 当时觉得穿越剧还不错的            
(NA)	 这个是看过N多遍了 暑假啊            
(NA)	 徐铮是个好演员            
(3星)	 当时我特别特别想吃那里面的烤鸭子            
(5星)	 那时候大爱。            
(4星)	 所有穿越剧里最喜欢这部。            
(5星)	 看过的第一部穿越剧。            
(5星)	 根儿            
(4星)	 很搞笑的剧啊。女猪脚很漂亮~很喜欢。            
(4星)	 第一部穿越剧            
(5星)	 经典的穿越呀！            
(4星)	 经典 不用多说             
(5星)	 穿越剧鼻祖啊有木有！！张庭各种漂亮可爱啊！！！            
(NA)	None
(5星)	 重温穿越鼻祖！！竟然分这么低！！！！！！当年超级爱看！！！！！！！！            
(4星)	 穿越剧的鼻祖？            
(4星)	 就觉得张庭特像我闺蜜，那里面的性格也是。            
(5星)	 小时候最喜欢的穿越剧             
(4星)	 回忆            
(3星)	 看的第一部穿越剧            
(4星)	 穿越剧中也是比较待见的            
(4星)	 应该是我印象中第一部穿越剧^ ^            
(NA)	 哈哈哈 高三的时候。。。历史老师还和我们讨论过这部电视剧。。。            
(5星)	 相当之喜欢的电视剧，到现在也不清楚片头片尾曲是男还是女的唱的……            
(1星)	None
(4星)	 当年还是挺喜欢的,古灵精怪的仙仙郡主~            
(3星)	 俺看过的最早的穿越啊ORZ            
(4星)	 人生第一部接触的穿越戏！当年好爱啊            
(3星)	 穿越剧鼻祖。            
(4星)	 一直觉得张庭很萌啊 特别是大酒窝            
(3星)	 这才是穿越剧的鼻祖~            
(4星)	 喜欢徐铮            
(3星)	 看的第一部穿越剧，虽然现在还不知道结局到底是什么            
(5星)	 只是这一部才是标标准准的穿越剧。。现在的都算宫廷剧了。            
(3星)	 江苏卫视好像    以前是各种重播啊 重播了十几遍才看到了结局            
(4星)	 第一次知道穿越            
