http://movie.douban.com/subject/5965670/	潜行狙击
(4星)	 TVB最近出的全是些翻旧账的垃圾剧。真心看不下去的时候，还好出了个潜行。真心还算今年来不错的港剧了。只是这个结局雷的，为啥laughing嫂一定要死了？瘸子是不是没死，然后和laughing在监狱里共享晚年什么的咩？子珊MM岂不是很孤单。。。            
(4星)	 如果在天地男儿和创世纪的时代，这实在算不上出彩的戏剧，但如今TVB有这样的作品已经难得可贵，我不觉得徐子珊哪里不好，甚至很喜欢她的角色，比起大是大非挂嘴上的女警，可可和跛CO的虐恋迷人的多，最后的半集真相也让人释怀，戏中的跛CO真像极天蝎男。挺期待电影版续集Laughing和吴镇宇的对戏。            
(5星)	 请叫我crying            
(4星)	 TVB今年质量比较高的一部。            
(4星)	 第30集如同换了个编剧，鸡肋啊鸡肋，如同陈法拉这个角色！我觉得辣姜这个变节卧底才是潜行狙击里最值得探讨的人物，黑同白，不是每个人都可以分得清的。我不太喜欢剧中主打的两段情，倒是对巩sir和岚姨的中年爱情故事很有兴趣，当然最后他们才是整部戏的大赢家啦            
(4星)	 追完了，結局也太虐了吧親……            
(4星)	 结局虐死了，你妹的Jodie死了啊！我看她掉下去的时候想正常剧情肯定不会死的啊，Laughing还终身监禁啊！！你妹啊！！看的好虐心啊！！！            
(5星)	 里程碑            
(2星)	 比韩剧还狗血。            
(NA)	 欧阳靖很适合做演员。。。。            
(4星)	 大爱laughing哥呀~ 嚣张的很有型   我也要折纸了~             
(4星)	 舊年睇巾幗梟雄個陣，有人話：嫁人當嫁黎耀祥；今日如果有人再話：嫁人當嫁梁笑棠嘅話我怕系冇人夠膽說呢句話。Karen死咗，Jodie亦都死咗，睇來Laughing哥身上真系有一種克死女友的無限法力。當然冇好過巾幗梟雄，仲有幾多漏洞添，結局又太虐，但整體睇嚟都算得。梁笑棠啊梁笑棠，真系打捂死嘅甴曱。            
(5星)	 我表示，我并不讨厌徐子珊。其实真的蛮好看的，想了想，还是可以给个五星。            
(5星)	 烂尾了，结局没必要那样，大团圆不是挺好。。。            
(5星)	 非常不满意结局，太过遗憾！            
(4星)	 Laughing哥续写传奇的咯~            
(5星)	 TVB侦查片真是越来越有档次了             
(NA)	 看到十三集就看不下去了 剧情要不要那么老套啊......            
(NA)	 索爱存在感太强了这部戏            
(5星)	 今年最好看的港剧，目前没有之一。            
(4星)	 结尾泄劲了，第一部自发追的TVB剧吧，laughing哥你可以的！            
(4星)	 不知道有没有续集了            
(5星)	 对这种题材没有抵抗力~            
(4星)	 结局尼玛为嘛要这么苦情？？？            
(NA)	 炸弹放在微波炉里叮一下就不会炸 FML 笑死我了！            
(4星)	 编剧再用点心写第二部啦            
(NA)	 评论的亮点都是徐子珊……            
(NA)	 结尾太牵强了，应该是为下一部作铺垫。            
(4星)	 总算跟完了，没想到结局这么扯            
(3星)	 结局太烂。就TVB的剧老是烂尾是怎样啊！！            
(5星)	 = = 肯定会拍续集~！！            
(3星)	 心脏长在右边。。。。            
(4星)	 前面非常好，到Laughing又开始卧底之后故事就狗血了，结局更是让人无语，大量抄袭《知法犯法》《卧虎》《无间道》等同类题材的段子和人物设定也是一个败笔。不过即便如此，本片仍然是值得一看的港剧佳作，皆因Laughing的人物个性太过鲜明，再加上本剧里的跛co同样魅力四射。期待电影版。            
(4星)	 咩意思啊又..个结局            
(5星)	 laughing和michael搅基才是正经事﹁_﹁            
(4星)	 我坚决不看续集！！！！            
(5星)	 laughing重出江湖啦！！            
(4星)	 我都想问...我叼..到最后监狱互望一眼 就播广告!!我顶啊!姐点            
(4星)	 拉风哥返来！！！我D好挂住你wor！你仲记唔记得大明湖畔嘅程若芯同埋karen、wendy？            
(4星)	 湿了            
(5星)	 好唔舍得啊！！！！！！！！！！！！！！！！！！！小瘸子和laughing gor！！！！！            
(3星)	 虎头蛇尾咯 演技好浮夸 蜡青最赞            
(5星)	 谢天华不就是健美版的欧阳震华么……这部电视剧又让我看完之后产生依依不舍的感觉了。            
(3星)	 结局太tm坑爹了！！！！            
(5星)	 5个星星都是给黄宗泽的！！！            
(4星)	 几近4.5            
(4星)	 除开小时候或者随便零碎看的几部港剧 和电视里来回放的译制版 终于是脚踏实地好好追一部TVB 粤语真的好有味 继续下第二季            
(NA)	 laughing上义丰，探基友，乐同游～            
(4星)	 徐子珊不愧于ｔｖｂ第一丑            
(3星)	 哦。。。。            
(4星)	 等了很久才听到“最重要的是开心”            
(5星)	 结局太悲惨            
(4星)	 7.9/10 对陈法拉好感上升            
(4星)	None
(3星)	 结局极其气人，极其虐心            
(3星)	 坏就坏在你非要拍30集。追得 我好辛苦呀。你要是拍15集肯定很棒！里面那些感情线真的很鸡肋啊。            
(5星)	 黄宗泽越发有味道了，可是这部戏里后期把他的形象给毁了。谢天华一直走这个路线也不是法子，鱼跃在花见里的那个形象又不深入人心，想起学警狙击里的陈键锋和吴卓羲还有三哥，tvb一直都不吝啬死人，所以能死的都死了，一点都不照顾观众情绪。徐子珊一如既往的难看，却也的确很努力。            
(4星)	 结局好赞！            
(4星)	 香港弹丸之地，为什么Laughing却能卧底N次？是黑社会消息太闭塞，还是黑老大很傻很天真？谢天华42岁前都在跑龙套，渺无前途中突然峰回路转，直上云霄；刘松仁二十多岁走红，如今62岁，而巩Sir那标志性的微笑，依然醉人——Laughing哥很励志，巩Sir是传奇。            
(3星)	 吃饼干的巩sir，o(*≧▽≦)ツ            
(4星)	 这是史上最坑爹的结尾好么？只用半集就把前面29集半的美好全坑了~编剧你脑子进水了咩？            
(4星)	 世间什么爱叫纯洁            
(4星)	 还是喜欢黄宗泽和徐子珊那条线，刘松仁和岚姐那条感情线也很出彩。对正方两个主无感。没有传说中那么好看，但至少没那么沉闷，重燃了我至少就对tvb耳濡目染的N多回忆。            
(3星)	 前面还满好看的　可是编剧怎么越来越坑爹呢！！！            
(5星)	 很久没来部这么过瘾的港剧了...            
(4星)	 蛮不错的。laughing哥完胜的主要原因是发现和发型跟我好像啊！            
(NA)	 30集硬是生生拖了40多分钟啊好坑爹            
(5星)	 久违的Laughing哥。。。。            
(4星)	 坑爹的结局啊啊啊啊啊啊  啊 啊            
(4星)	 电影版的会有人看么。            
(5星)	 结局无力吐槽啊。。            
(4星)	 蠻喜歡徐子珊的（抠鼻），不過好像演壞人更帶感？黃宗澤の突破！說實話最後幾集不怎麼好看。            
(4星)	 …………(对结局表示无声地抗议)            
(3星)	 专看黄宗泽。            
(4星)	 点解是这样的结局啊~我觉得一切停在30集前半段就好了。哼 看你们怎么圆下去。laughing sir快点拯救地球吧！            
(5星)	 TVB终于回归往日的水准了,从剧情到人物设置都很棒啊！但是陈法拉的表演还是那么鸡肋，徐子珊的颜还是接受不了，全靠几个爷们撑着啊~~~            
(3星)	 用了葉天成就以為可以拍類型片嗎。。不厭其煩用相貌相似和雙胞胎做橋段，還講一些過時冷笑話，還大丹（《怒火街頭》）狗頭（《跟蹤》），out晒拉            
(5星)	 yes sir!thank you sir!goodbye sir!|||被这句话萌到了            
(5星)	 今年tvb最好看，没有之一，等的太辛苦了。Bosco扮相很惊艳，徐子珊也越来越顺眼了，陈法拉挑不起来这个角色啊，太弱了，换个人肯定更好，还有欧阳靖很出彩。            
(5星)	 Laughing哥我真系好中意黎嘎！！            
(4星)	 什么烂结局啊，妈了个逼的。狱中那黑衣人什么情况？还有续集？            
(NA)	 laughing不做古惑仔就演不下去了... 最无法原谅就是编剧居然把陈法拉写死了。。。电影版还要继续忍受徐香肠嘴。。。受不鸟！！！            
(4星)	 这是部绝对的男人戏，女人的气场明显都镇不住，即使有前黑社会大嫂袁君岚，最终也不过沦为龙套。Laughing与义封一干人的对手戏都拿捏得很到位，黄宗泽的跛CO的隐忍、狠毒，与谢天华的表现不遑相让，完全撑起了这部戏。TVB人才凋零后，这两位或许能为TVB的东山再起留些悬念，“杨立青”者前途无量。            
(NA)	 Laughing哥回归了！！！            
(5星)	 这神马结局啊 接受唔到！！！            
(4星)	 laughing不错啊。结局太烂！            
(4星)	 终于看完了。悲催，结局居然和看过的无数香港警匪连续剧一样，感情戏都是男女主人公就快要功德圆满幸福地生活在一起了，结果在美好刚开始就缺正式圆满的时候，其中一个不幸……太坑爹了，这样的结局都可以？            
(4星)	 虐死了……            
(3星)	 剧本不错演员到位，很多年没看港片这一部大热的时候凑热闹看的。我心中的经典依旧是妙手仁心啊！！            
(4星)	 點解唔系姚可可死要Madam jo死！乜鬼結局！            
(4星)	 这个世界有两种男人不能碰，一种是混黑社会的，还有一种是警察            
(5星)	 好好看！跛co跟laughing都很有爱啊！徐子珊跟黄宗泽气质蛮配的这种虐恋模式最中意了！看哭了还尼玛！OAO！陈法拉长发漂亮，那个鲈鱼头，没有存在感，跟laughing没有爱心火花。。比起法证什么的好看多了。。不过结尾还是TVB式的烂~            
(4星)	 真要仔细推敲，还是有很多硬伤。不过总的来说，还是今年TVB不可多得的好剧！            
(4星)	 啊啊啊啊啊太帅了！！！特别是戴帽子抽烟的时候T T            
(5星)	 ｌａｕｇｈｉｎｇ帅啊　宗泽更帅啊．．．不要中毒太深！！！　            
(4星)	 事实证明jodie的面相不适宜和laughing在一起，两个都被克死了            
(5星)	 不只黑白，还有其他颜色……            
(NA)	 tvb的戏看到倒数第二集就可以了。            
(3星)	 终于看完了...结局还好了 可以接受            
(5星)	 我好喜欢Madam Jo啊~            
(5星)	 虽然结局烂尾但是还是好爱啊啊啊啊啊！！！！laughing sir好型！            
(5星)	 终于没有林峰杨怡佘诗曼这帮大长脸！！！几好睇！！            
(5星)	 我好期待它出第二季！            
(4星)	 最後好人壞人都沒好結果就對了            
(4星)	 没想到的结局 哎            
(4星)	 laughing太有型了~            
(4星)	 我觉得会有第二季，神马监狱卧底神马的━┳━　━┳━             
(4星)	 黄宗泽劲靓仔！！            
(4星)	 结局到底怎么回事啊！co到底死没死啊！片尾最后监狱里出现的那个人到底是谁啊！到底拍不拍续集啊！什么时候上映啊！            
(4星)	 Laughing哥和跛Co都好有型诶~每集都很精彩，欲罢不能。            
(5星)	 剧情很紧凑，虽然中间有一段煽情的，但是也都是为后文作铺垫，有点美剧的风范，不错，很喜欢。            
(4星)	 这片子之所以吸引人 就在于它仿佛让观众进入了游戏的观看模式 可以看清双方的一举一动 却无法告知对方 而观众又会自然而然地好奇接下来双方的战斗会何去何从 这种洞悉一切却掌握不了结局的纠结感觉就仿佛鱼钩上的鱼饵吊足了观众胃口。            
(3星)	 剧情越到后面越坑爹啊，整部剧除了几个主角，其他的年轻人实在是演技好假，那几个喽喽古惑仔真是……什么烂演技，跑龙套也应该做个好演员嘛            
(4星)	 每次标记看过tvb都被说成好丢脸没内涵 难道要看日剧才能zhuangbility么 总比某些人看过新还珠还不敢标记过勇敢 哼            
(5星)	 结局真是不好，桑感TOT            
(4星)	 谢天华保养得不错啊            
(NA)	 从26集徐子珊心脏长右边开始就狗血了！！爆登帅爆了！！！基佬那段笑死了            
(4星)	 Bosco你一定会演电影续集的吧的吧的吧            
(5星)	 据说第二季要拍成越狱狙击？？？            
(3星)	 无间间道道道            
(3星)	 挺好看的，除了结尾狗血点            
(4星)	 好久没有看港剧了，看完了觉得不错。            
(NA)	 laughing 好基友阿            
(4星)	 结局太乱来！            
(4星)	 laughing哥是挺好的，陈法拉有什么好？黄宗泽不错。阿蒙很像贾静雯啊。我更喜欢蜡青！            
(2星)	 一个月前陪七七看的前几集，一个月后看了最后两集。我只能说：弱智儿童欢乐多~ps：这港剧，和《Laughing Gor之变节》有神马关系吗？            
(5星)	 结局太不好了呀！！！！！！！！我要抓狂了！！！！！            
(5星)	 拉风sir！！！！！            
(5星)	 我喜欢痞子攻……扶额            
(4星)	 谢天华居然是67年的！是化妆师牛叉，还是保养得好？            
(5星)	 太赞了            
(2星)	 港人似乎离不开黑社会古惑仔臥底警察之类的题材，还有勾心斗角争家产的也很受观众欢迎嘛。             
(4星)	 瘸都瘸的这么帅。            
(5星)	 剧终，似乎谁都没死吧。电影版的续集，梁笑棠会牺牲吧。            
(4星)	 最后5分钟有转机            
(NA)	 第30集的存在好多余            
(3星)	 好好的一部剧，被几个不重要的演员给毁了。最恶心的就是巩sir的儿子了，演技就像一坨屎，然后当我发现他长得很像某个人的时候，我就觉得他的演技和长相一样。            
(5星)	 TAT 结局好悲伤……            
(4星)	 结局看的我好吐血........              
(4星)	 这是个毛结局啊！            
(4星)	 两天看完！！黄宗泽算是几年拍的片儿最帅的一次了。laughing哥还是laughing哥，比学警狙击里还牛逼。TVB最讨厌的两个女人既然是两女猪，去死吧！！扣分。            
(4星)	 徐子珊的部分全部是直接忽略的。。。            
(4星)	 想要谢天华那种身材。            
(5星)	 结局怂了点，其他都很赞~            
(5星)	 啊！！！！这结局一点都不好，laughing竟然没有和madam jo在一起            
(NA)	 还能接着拍。。。            
(4星)	 期待续集            
(5星)	 摆明要拍续集            
(5星)	 就是这两个女猪脚不行啊            
(5星)	 我真的是来看黄宗泽的。别的就不多说了。            
(5星)	 这算是什么结局啊砸！请重拍结局啊好么！            
(NA)	 结局坑爹啊             
(3星)	 一地狗血            
(4星)	 好看。不过这结尾时为续集准备的吧？继续看接档的《法证先锋3》。            
(5星)	 我收回当时评价《怒火街头》是今年最好看的港剧这句话 &gt;&lt; 这剧真是甩今年其他港剧好几条街了，可是编剧是不是见不得别人好哇？吖BO好帅啊啊啊，谢天华尼玛怎么能保养得这么好哟!!!!!!!!! 徐子珊敢不敢再丑一点哇 -____-            
(5星)	 从学警狙击  laughing哥之变节 再到 潜行狙击  。我只想说 学警狙击 你错了 ，laughing哥 必须永不死。            
(3星)	 庄监制您的神展开- -……看剧的收获是一个爆灯╰(*°▽°*)╯            
(4星)	 不错！节奏很快，很好看。为了欧阳靖，我加多一颗星！！！太可爱了！这部剧的女主太弱了！男主和男配都超级给力啊！黄宗泽要火！            
(5星)	 laughing！你杀了Co哥！谁和你同居！            
(5星)	 才看了一集，但是也要给5星，实在太喜欢Laughing哥的大嘴和坏坏的笑了！期待期待！            
(5星)	 从学警雄风 学警出更 学警狙击再到专门以laughing为主线的潜行狙击，已然成为一种情结            
(5星)	 奔着黄波去的 带着爆登回来了            
(4星)	 TVB一貫的爛尾。不過過程還是不錯看啦。明顯又有下一部。            
(3星)	 TVB烂尾真是大趋势啊~最大的败笔就是国际贩毒组织装逼会。Z最后孝哥你又出现了=。=b 。。。敬请期待TVB年度巨制Laughing之终极卧底《越狱狙击》。            
(4星)	 算是善始善终的收了尾，可惜是悲剧收场。laughing一世人游走在黑白边界，看着心爱的女人为自己而死，怕也是没有生存欲望了。跛co对Prais的爱深沉执著，即使他做了那么多坏事，还是无法让人恨起来。剧情还是有很多漏洞，为着两对不能终成眷属的有情人，加一颗星。            
(4星)	 谢天华演技真的很好            
(3星)	 结局有点狗血            
(3星)	 没看过的就不要看了，最后女主死了，男主坐了牢。破TVB总是来这套，当年烈火雄心2里最后让王喜死掉我就很不爽了。            
(4星)	 挺爱烈哥，哈哈。虽然谢天华，黄宗泽真是帅啊....结尾真实瞎爆了。            
(4星)	 前面都不错，剧情扣人心弦，最后一集天雷滚滚            
(2星)	 我看了一部ktv，没脸见人了            
(5星)	 现在才看这部剧，laughing型到！            
(4星)	 黄宗泽这次的表演有点失望。徐子珊跟他这对的爱情缱绻，碧落黄泉，此生不渝，就是这辈子只认定你一个。在卧底生涯面前普通人都是小儿科。。。。 立青挺好的。对于卧底欺骗女人感情这方面，觉得不是人。 《小明上广州》这首歌红了            
(4星)	 19弃，不错的剧，只是对这种剧情已经无爱。            
(4星)	 很细密 很生猛 结尾马虎了一点            
(4星)	 为什么心脏又在右边，我长在左边都有点羞愧了。。。。这个系列还会继续么            
(5星)	 laughing哥            
(5星)	 脑残编剧去死去死，香港好多心脏异于常人的            
(5星)	 结局不要这样啊~~~郁闷~~ 黄宗泽还是太迷人了啊受不了~~古惑仔的爱情啊            
(NA)	 追完后一阵空虚             
(5星)	 我好中意黄宗泽。。。            
(2星)	 没看完。。。坡BO其实演得不错，但是整部片子太暗沉，受不了。。拉风哥看久了腻歪            
(5星)	 演技都好靓啊~!!            
(5星)	 谢谢TVB陪我。            
(5星)	 徐子珊敢不敢长的更丑一点啊！！！！            
(4星)	 为毛买单周死了啊,怎么一个个都是卧底!!!laughing sir你会laugh到最后么            
(3星)	 为嘛tvb都是精彩开头烂结尾            
(4星)	 地道TVB重现。            
(5星)	 我知道你的心脏异于常人 长在右边。。。编剧你去死吧啊啊啊~            
(5星)	 好看~            
(5星)	 Laughing Sir            
(4星)	 最后一集只看前十分钟那它就是一个好结局            
(4星)	 還行~~            
(5星)	 谢天华好帅好帅！            
(2星)	 应该改名叫 全都是卧底            
(NA)	 很难完整看完一部电视剧,期待最后的起死回生续集。            
(3星)	 TVB永远都是这样的。。。。。            
(5星)	 结局哭死我了            
(5星)	 喜欢黄宗泽O(∩_∩)O            
(4星)	 最后那个背影是不是瘸子？？ 瘸子到底死没死？            
(4星)	 结局有点雷人。。。心脏长右边。。。果然是拍戏啊。。。你是不是用脚趾挖鼻屎啊。。。            
(3星)	 越看越烂 三星半吧。。。徐子珊简直是个没表情的僵尸嘛            
(4星)	 2011.11.01 烂尾。            
(4星)	 陈法拉好美~~徐子珊可以忽略- -laughing哥~~~~~其实爆登好苦逼的  哈哈哈哈哈  结局有点狗血~            
(5星)	 还是很好看滴 除了徐子珊长得实在是 ╮(╯▽╰)╭            
(NA)	 我从楼梯上摔下来的那一刻，嘴里还咆哮着：laughing哥，救我!!!!&#39;!!!            
(3星)	 谢天华古惑仔从小扮到老~徐子珊长的好粗犷~陈法拉正靓女来的。以上。            
(5星)	 大爱警匪片+粤语！            
(5星)	 oh! Bosco!             
(3星)	 作为一个要对社会负责的电视台，拍带着主旋律的片子也就是这水准了。ps.第一次那么仔细看谢天华，原来laughing哥是双眼皮。。。            
(5星)	 看片只为学粤语 挺好玩儿的            
(4星)	 大破灭结局结局减一星   不烂尾难道会死吗！！！            
(4星)	 竟然每天都在追。。挺下饭的。            
(4星)	 前半部分还满有劲的,各种勾心斗角各种心怀鬼胎,港片拍这种最在行了!但到后面还是有些狗血掉.MC Jin是最大亮点,有他我总要笑惨.徐子珊那张脸,长得太不招人喜欢了,她只是为了跟人亲嘴和XXOO而存在的吧?!最后的结局,是有续集的意思么?!            
(4星)	 太烂尾了吧…………………………妈的一看就知道姚巴黎心脏长右边！不爱laughing爱跛Co！            
(5星)	 据说俺长得像Co哥，其实我还是想做laughing哥            
(4星)	 为左徐子珊扣一星！            
(3星)	 虽然看完了但是觉得剧情还是一般般...是太久没看TVB的缘故么- - 谢天华倒是不错            
(4星)	 保留一颗星，因为，主角们实在是太残破了。            
(NA)	 好想念蒙悠悠的madam啊陈法拉最好看就是她美人计接近李雨阳的时候嘛~~其实这是我头一次觉得黄宗泽还不错。结局太坑爹了，没理由江美仪都活过来了把madam给摔没了吧！            
(5星)	 真的拍得太好了，香港的电影和电视剧一向都宣扬善恶终有报，黑社会必须铲除，正义必将得到伸张，也宣扬人性本善，再罪孽深重的人也有柔情的一面。            
(3星)	 看了好几天            
(5星)	 除了不喜欢徐子珊 她怎能配上黄宗泽。            
(4星)	 拉菲哥和瘸子在一起吧            
(3星)	 凑合吧。            
(5星)	 前面都很棒，但最后一集怎么了？Jodie死得太牵强了            
(4星)	 港剧港剧            
(4星)	 徐子珊你够了，放开他的嘴。            
(3星)	 节奏很好。谢天华就是天生贱样，巩sir宝刀不老。徐子珊是胶皮做的么            
(3星)	 槽点太多            
(3星)	 喜欢Madam JO，不喜欢这个结局            
(3星)	 1 黄宗泽顶着一头慕容云海的头发。。。2 谢天华是长脸版的欧阳震华啊~~~~ 3 肯定有续集啊 最后一幕那个人不会平白出来的 4 JO死不了吧死不了吧。。。。。            
(5星)	 我擦｡这结局真是很让人很费解！就不能好点吗！！！我就知道姚大状的心脏长在右边，子弹打不死，沉海是浮云（摊手…）            
(4星)	 其他人的结局都可以接受 主角的死有点牵强 是不是因为女主接下来没档期了 还有那个以太会也扯了点 我竟然萌的是爆登和立青2个人在谈gay的问题= =            
(4星)	 女演员是唯一的败笔啊~            
(3星)	 就第一集有点意思。。            
(4星)	 我怎么就这么讨厌徐子珊！            
(4星)	 三星半，前十几集还不错。其实在TVB的历年作品中也只能算中等，只不过近年TVB太糟糕，相比之下剧本细致一些就出挑了，这就叫矮子之中充高个儿哟。            
(4星)	 除了鞏SIR、madam和岚姨            
(3星)	 挖鼻屎。。3星是给大制作的。。。剧本很白痴            
(5星)	 太好看了！！！！！            
(4星)	 水准蛮好。尤其是结局。            
(4星)	 三个通宵，30集。首先说一句，结局真的很坑爹。29集不是刚好大结局么？为什么还要来个第30集，把JO摔死？死的也很诡异，之前那么多次比这更严重的都三番五次的大难不死了，说到底我们都得听导演的，导演让死，不管死不死得了都是要死的。最后一幕明显是为了拍续集或电影版做铺垫，技术太不高明了。            
(4星)	 很少有部戏能一追到尾            
(4星)	 只要能让我耐心看完的剧，我都给四星了= =。其中一星给黄宗泽和徐子珊。我好喜欢他们恨来恨去亲来亲去滚来滚去啊哈哈哈            
(4星)	 终于看完了！            
(4星)	 为什么不是大团圆结局？！为什么？！为什么？！！！            
(4星)	 烂尾片······狗血到最后只有一对老的成了-_-#            
(4星)	 结局是有一打的版本吗？只要laughing和madam jo不死都好说！            
(4星)	 扯淡结局！！！！！该死的不死不该死的乱死！！！！！！徐子珊丑得跟男人一样TVB你瞎啊！！！！！！！！！我爱欧阳靖！！！！！！！            
(4星)	 全港卧底。            
(4星)	 潦草+有些牵强的结尾坏了整部的精彩,只不过依然瑕不掩瑜.很久未追过港剧,少时曾经精彩记忆似乎都很难被唤回了吧            
(5星)	 完全就是Laughing的独角戏！我爱黄宗泽我爱立青！            
(NA)	 陈法拉甩徐子珊一万条大街啊            
(NA)	 形式上已经在向美剧学习，但是骨子里还是散发着TVB剧的味道。            
(3星)	 TVB男演员就是要装逼装的到位            
(4星)	 TVB近年难得一见的佳作，各种较量与争斗，精彩好看，男主都很出彩，女主有些失色。            
(4星)	 被Co哥这样的男人爱过，怎样都无悔了啊！！！嗷 我居然忍着徐子珊看完了全集- -            
(4星)	 8错。            
(4星)	 徐子3太丑了..            
(5星)	 我爱Madam Jo啊！！！            
(4星)	 国语对白很用心哦，编剧值四星，剪辑有些破坏整体效果，很多跑龙套可圈可点，但是重要配角却撑不起场面。故事真是没话说，从大天二到laughing哥，谢天华有点hold不住啊，黄宗泽偶爱你！！！            
(3星)	 没有想象中那么好看 可能卧底题材什么的看多了我。为什么那么多人讨厌徐子珊 我觉得不错啊 还有辣姜演的不错 额~            
(5星)	 也算是TVB这几年拍得很不错的了            
(5星)	 瘸子帅呆了            
(5星)	 看完了 这个结局。。真的是。。            
(4星)	 你妹啊！！！！！！！！！怎么能让madam死啊！！！！！！！！！！！去你奶奶的啊！！！！！！！老子连续两天一口气看完的啊！！！！！！！！！！            
(5星)	 斑马人生            
(5星)	 做人最重要的是开心            
(3星)	 因为坑爹的结尾只给三星~            
(4星)	 杜子藤死了起来看剧啊但是看完后我连心脏都疼了啊!!! 我不能容忍徐子珊长的那么令人难受啊!!!4星全给我爱的黄宗泽啊!!!还有什么叫炸弹放进微波炉叮一下就不会爆炸!!!!!什么叫老婆你的心脏易于常人长在右边!!!你妹啊!!!坑爹呢这是!!!我脚的CO哥应该别死,然后和laughing一起在监狱里安享晚年啊!!!            
(4星)	 徐子珊妳不要老嘟嘴！！！！！！！！！！            
(3星)	 徐子珊太丑了            
(4星)	 laughing哥真是屌爆了，不过有些bug忍不了啊。            
(4星)	 我不喜欢结局啊但是&gt;  &lt;!!!我喜欢BOSCO的嘴角=  V  =            
(5星)	 赞！            
(4星)	 laughing哥太有型            
(4星)	 不想看下去了            
(4星)	 巩sir总算和岚姐在一起了。            
(4星)	 黄宗泽小胡子很帅，然后没了            
(5星)	 如果你不是那么的较真，这部剧真的很棒。            
(3星)	 我肿么没觉得那么好看= =            
(3星)	 结局烂死了            
(5星)	 话说好久没看TVB，没失望。            
(4星)	 徐子珊好煩呀            
(4星)	 你妹的结局。            
(3星)	 蜡青发现爆登是Gay那里好搞笑……            
(4星)	 眼中无黑白 只有帅气与否&gt;v&lt;            
(NA)	 跛co和可可            
(4星)	 今年tvb最好看的剧集，多给编剧出点粮还是有好处的            
(3星)	 什么烂结局            
(5星)	 结局还有悬念啊！坐等电影版啊！！            
(4星)	 最后一集好煽情啊！            
(5星)	 啊！！！！终于看完了！！！！好桑心！！！！            
(NA)	 最后好多瓜老衬~            
