http://movie.douban.com/subject/3873960/	我的青春谁做主
(3星)	 我那个时候喜欢米莱            
(1星)	 编剧大人惊现豆瓣某差评中严肃反驳 速速去围观            
(2星)	 尽扯淡……            
(NA)	 内有百合。            
(4星)	 赵宝刚的剧都属于那种看上去很现实，但不能和现实相比的。。。            
(4星)	 结局太美好了点吧。。            
(NA)	 讓人起雞皮疙瘩的臺詞            
(4星)	 句句都是讽刺 句句都是劝慰 句句都是你我他            
(3星)	 2009.12            
(3星)	 小样太招人喜欢。            
(5星)	 不错不错....            
(3星)	 中国的电视剧总是到一半 就没什么看头了            
(4星)	 本來以為醫生和教師最神仙。。看了一圈兒姥姥才是活神仙。。。            
(NA)	 被姐妹逼著看的...            
(4星)	 台词很酷！比奋斗好睇！            
(3星)	 剧情有点儿狗血，喜欢里头的对白，挺逗~ 还有青楚的衣服，挺漂亮~            
(1星)	 受不了            
(3星)	 别都出口成章，画虎不成反类犬。            
(4星)	 俺年轻那会儿，挺想自己做主的；现在岁数大了，感觉父母给做主也没错。呵呵~~~            
(2星)	 我为我浪费了三部日剧的时间看这个而感到作孽啊作孽            
(2星)	 比奋斗真实，但成为一种模式，一个枷锁，很刻意，很遗憾。            
(2星)	 谁能告诉我这破片到底是谁拍出来、给谁看的啊            
(3星)	 赵琳真恶心，起马有四十了，还去演他妈的青春美少女，老子要吐了。王珞丹的假发太假了！            
(4星)	 都很好，就是不现实            
(4星)	 青春原来是这么的残酷~~~~~~~~~~~~~~~~~~~~~~~~~~~@！！！            
(4星)	 台词太专业不具生活化            
(3星)	 陆陆续续看了点或许不全            
(5星)	 因为王珞丹  而认识了钱小样儿            
(3星)	 看到一半。。。没坚持住。。。            
(4星)	 国产剧还是很靠谱的            
(4星)	 當初看奮斗的時候就已經被迷得一塌糊涂 現在看這部被譽為奮斗2的片子 更是一發不可收拾 真不錯 只是有幾家的父母能夠做到如此豁達呢？ 錢小樣 妳真是可愛得沒話說的姑娘 愛死妳了 要好好像妳學習學習 做一個真實的女子...            
(1星)	 能再假点吗？？？            
(2星)	 矫情，哪有这样生活的啊？！            
(3星)	 喜欢的人物是雷蕾。给三星因为有陆毅。            
(3星)	 虽然很讨厌陆毅，但还是坚持看完了……            
(NA)	 居然看完了。。。            
(3星)	 什麽破玩意阿，还这麽多集，            
(5星)	 小样，不错！我就疑惑怎么会有高齐这样的呢？            
(4星)	 台词不错            
(3星)	 還是喜歡奮鬥            
(NA)	 东方卫视太强了，一天放好多集。看来高齐真火了。            
(4星)	 2009            
(4星)	 北京            
(4星)	 我的青春我做主            
(4星)	 看完最喜欢的角色是女4号雷蕾，性格可塑性很强。 三位女主角性格都太格式化了，有点虚。。。里面内姥姥怎么总是一副最高领导人的样儿啊，不作性。。。  看完了还挺感动，主要觉得都跟雷锋似的，真和谐，太和谐了            
(4星)	 挺好看的，不过看到24集就没有激情继续追了。喜欢方宇小样真实的小人物，22集开始对高齐印象转好， 欣赏雷蕾的才智和潇洒，周晋和青楚让人羡慕但是没有什么动心的感觉，佩服姥姥，向往温馨热闹闹的家庭，尤其是小样这一家。            
(5星)	 让我哭了很多次的            
(NA)	 开明的老人家最难得            
(4星)	 反正我是推荐我妈看            
(3星)	 就是用来看的。。。让你纠结的。。。让你觉得自己活得不爽的。。。            
(4星)	 一開始覺得挺好,但是後來感覺還是脫離現實            
(3星)	 世俗真美好,我也爱看连续剧了            
(4星)	 钱小样我爱你！！            
(5星)	 又一部振奋人心的作品。            
(NA)	 初看觉得台词有些做作,不过也有看头.            
(4星)	 轻松 舒服 好玩。。            
(2星)	 烂片。            
(NA)	 20090510 00：00结束了最后一集            
(5星)	 啊，，，，，，钱小样。。我心里最美的女孩！            
(2星)	 我妈看过（而且看得津津乐道），我不爱看，情节太荒诞了，和《奋斗》一样，这么说肯定会得罪人的，但是，这是真的……            
(4星)	 喜欢小样            
(4星)	 又见赵宝刚。            
(4星)	 火了一年半载。我真是不喜欢王络丹。。。            
(3星)	 比奋斗好看些，但是我真讨厌陆毅，看见就烦~!            
(5星)	 喜欢小样儿 方宇 高齐~我的青春我做主！            
(5星)	 于是我开始反思青春            
(4星)	 喜欢朱雨辰、白百何（蕾蕾）            
(NA)	 亲情忒感人~            
(4星)	 台词不错。            
(3星)	 妈妈发信息让我看             
(3星)	 我喜欢雷蕾。            
(5星)	 人生最重要的两件事：认清自己、爱家人            
(4星)	 某人媽媽的強烈推薦。我看著看著還蠻好看的。姥姥的臺詞很有愛！            
(3星)	 就是太说教，太物质了。            
(NA)	 假点~~            
(4星)	 比奋斗好看。张铎～            
(4星)	 我喜欢雷蕾和杨尔，还有姥姥。            
(3星)	 双子女+魔羯男，水瓶女+双鱼男            
(2星)	 受不了            
(3星)	 老子为它好歹写了5000字了。。。没理由不看。。。            
(5星)	 我弃了 忘了当时怎么评的五星了 忙的永远都赶不上大家主流的步伐。- -            
(4星)	 看完了，还可以            
(3星)	 救贖自己吧。孩子。（比奮鬥好看些~）            
(4星)	 好吧，我承认，我就是最喜欢高齐，喜欢这个编剧YY出来的非现实人物。谁规定不青春了就不能YY了呢？            
(4星)	 我们喜欢的是正经里带一点儿不正经，但这一点儿不正经又不能耽误正经。安稳里带点不安分，但这点不安分又不能耽误安稳的。            
(4星)	 身为《奋斗》的姊妹篇不免被人拿来比较 可以说赵宝刚此次的作品较之上一部写实了许多 虽然仍充斥着一毕业就拿到高薪的强干女律师以及帅气多金的超级金领 但是追逐梦想的霹雳和不让人省心的钱小样还是让我们或多或少地看到了社会真实的一面 另外台词依旧充满了京味 听起来琅琅上口十分惬意 四星。            
(NA)	 夜班的调味品            
(4星)	  英雄所见略同            
(4星)	 只因那日798中遇到王璐丹 她对我说“谢谢”            
(4星)	 走　找米去            
(4星)	 比「奮鬥」真實。越往後越喜歡高齊。            
(4星)	 还不错            
(2星)	 就装吧            
(4星)	 真喜欢钱小样和方宇这一对！            
(5星)	 多好的高齐啊~ 就高齐靠谱~            
(5星)	 比《奋斗》强多了！            
(4星)	 我好喜欢钱小样             
(5星)	 虽然男的不帅女的不美但是剧情太棒了。演的也不错。            
(NA)	 教育意义很强吗。。            
(5星)	 霹雳和小样儿长得太像了 影响我的视力！            
(5星)	 有关青春 些许爱情            
(4星)	 怎么和奋斗比啊。我的妈            
(3星)	 看完了...嘛嘛嘚奧迪的植入噁心了點兒            
(4星)	 打给小样er的。            
(3星)	 有点扯~卢布说看完之后想去农村支教；我想说，每个女孩都会爱上高齐……            
(5星)	 我快疯了看完这片儿            
(4星)	 一星给鼓励国产电视剧的创作。            
(5星)	 奋斗2            
(NA)	 拍的还不如奋斗呢            
(3星)	 这是个神话故事。三星给那首主题曲。            
(5星)	 我真心喜欢看.........            
(4星)	 里面的几个妈是我妈的综合体，几个女儿是我的综合体~还有就是医生那个角色的设置！！真的太TM符合剧情了！！哪哪儿都能用得着的现实生活中可能存在么！！            
(2星)	 烂。。。            
(4星)	 这里面还有白百何呢？            
(NA)	 我们的青春都是党做主好吗            
(4星)	 好剧知时节，当春乃发生。            
(2星)	 还成。            
(4星)	 喜欢蕾蕾            
(4星)	 赵宝刚一贯的贫得有理系列            
(1星)	 作你妈逼主            
(2星)	 老子很讨厌那个叫赵子琪的女人            
(4星)	 奋斗式生活流            
(5星)	 我喜欢方宇高齐雷蕾小样！            
(5星)	 好看！            
(3星)	 富二代的青春不怕犯错            
(5星)	 钱小样和方宇的爱情最朴实也最感人~赵青楚和周晋的爱情最令人向往~高齐这男的超凡脱俗，可惜和片中的女主角们有缘无份，好歹最后也算配成对儿了~囧~~~不过这部剧最好玩的还是三个女儿和三个妈的游击战~两代人的磕磕碰碰很生动很形象~~最后，很喜欢剧中的那首插曲《只为了你》~~            
(NA)	 李霹雳是不是《一个陌生女人的来信》里那个小姑娘？            
(5星)	 我的青春不靠谱            
(4星)	 真对不起各位，我只看了小样的戏份… 多水灵一姑娘啊~            
(4星)	 方宇不是丑儿，他是武生。。。李霹雳最萌，周晋赵青楚那段选择性无视。。。            
(4星)	 杨家真的克男？来一个出事一个            
(4星)	 在家才能那样轻松。。            
(1星)	 我饭都咽不下去了 他妈的 陆毅你那头比我们学二炒桂林米粉还油            
(5星)	 有点作！            
(2星)	 陆毅都那么大岁数了 这片子真假 演员演得太假            
(3星)	 雷蕾高奇真是绝配！            
(NA)	 在被逼着对这部电视剧不停的提问只要想睡就会受到毛绒鳄鱼和活力狗子的攻击的情况下度过了三个小时我也算看过了吧。。。。            
(4星)	 王珞丹张铎不错不错            
(4星)	 靠谱。            
(3星)	 小样儿爸就是我爸啊            
(4星)	 有群家人，有群朋友，有个爱人，真好            
(NA)	 喜欢 高齐            
(5星)	 台词挺有趣~            
(NA)	 捧红的王珞丹            
(4星)	 《奋斗》姐妹篇。但是比奋斗沉重得多。钱小样=米莱，赵青楚=夏琳，李霹雳=杨晓芸。看完就这感觉。当然，就外表而言。            
(3星)	 而我。是个合体。            
(NA)	 终于看完了~            
(4星)	 09            
(3星)	 对于我来说，王珞丹在《奋斗》结束的那一刻终结。            
(4星)	 不错噢。很熟悉的感觉，每个人都可以找到自己的影子。最喜欢高齐了。            
(NA)	 有点无聊，有点虚伪。可又有点现实。            
(3星)	 不现实            
(3星)	 2009.10            
(4星)	 我喜欢高齐            
(4星)	 喜欢霹雳and霹雳她妈            
(4星)	 我看着这电视剧，怎么觉得自己没亲人没朋友没爱情没理想似地……            
(NA)	 青春、叛逆、彷徨、挫折！我无法释怀的青春，载着我的爱情随秋风飘零！人生真是一个巨大的讽刺，爱的时候哪怕是分割两地，心依然甜蜜；分手以后，只能把爱深埋，但是仍会每个夜晚隐隐作痛！            
(2星)	 台词            
(3星)	 看不下去，插曲有的还可以            
(5星)	 连着熬夜一晚上，看完了。记得最深的一句话就是如果连爱都没有了，还有什么能扛得住消磨。挺喜欢蕾蕾的。            
(5星)	 我觉得很不错。很多人说它不现实啊什么的，但是像这样的年纪就要多点鼓励，多点憧憬，多点理想。。。如果二十岁的年华都看透了社会，活着还有什么意义。            
(4星)	 高齐高齐            
(NA)	 .内什么..奋斗2?            
(3星)	 俺稀饭高齐            
(3星)	 太不现实，想做青楚你得有个法学界泰斗的姥姥给你指点撑腰，想住loft你得有个米莱这么有钱的老爸给你赞助，这个世界，金钱才是最现实最有说服力的东西            
(4星)	 非常喜欢高齐，非常不喜欢方宇。            
(3星)	 断断续续的看过。。没啥意思。            
(4星)	 还是挺现实的 赵宝刚的电视剧第一集是不是总要死人            
(3星)	 开始还行，但是到后面是越来越不靠谱，青春剧嘛~~            
(4星)	 蚂蚁的幸福            
(4星)	 反正比奋斗好看一百倍，就是比石康写得好            
(NA)	 抻了两个月 终于看完了            
(5星)	 挺喜欢这个电视剧。            
(5星)	 小样~            
(4星)	 台词很棒，演员很靓，剧情稍微有点狗血            
(1星)	 垃圾~            
(2星)	 莫名其妙着  大家说话的口气调调都和王络丹一个样了            
(4星)	 一向挺讨厌看连续剧特别是中国内地连续剧的我也终于下水了，真的很不错，虽然不是十全十美，但已经打动了我，激励了我，最看好最喜欢的就是钱小样和方宇~            
(4星)	 小样呀，从第一集你极Q的名儿让我一口蒙牛喷出来的那刻开始，我就知道你不是一般妞            
(3星)	 还可以，但总还是喜欢把钱小样叫米来而已。看来是永远无法超越奋斗了            
(4星)	 令人深省            
(NA)	 好吧 我真看过            
(5星)	 片头很酷，我喜欢             
(3星)	 小样很脑残！            
(4星)	 我总是在想，究竟是贫穷但相爱的日子好，还是富裕但平淡的日子好            
(4星)	 青春嘛，做什么都没有错。            
(3星)	 无聊            
(3星)	 不对胃口            
(5星)	 相当的有范~            
(3星)	 没有奋斗好玩~~            
(3星)	 结局不行，小样怎能不跟方宇同志呢？            
(3星)	 还是觉得高齐好。            
(3星)	 我就是喜欢赵青楚这种女人。但是演得好差呀。可惜了。不喜欢钱小样。嗯。喜欢高齐。            
(3星)	 杨尔            
(4星)	 结局太完满。理想主义了点。            
(3星)	 有了奋斗垫底，我觉得这片子还不错，至少不那么矫情，值得回味的词不少，虽然bug也不少。另，劝父母离婚再婚、两年退学、百忧解、山吧…这些东西都挺敲到我的。再另，能有那样的姥姥和爸爸，她们可真幸福。            
(4星)	 特喜欢钱小样这样的姑娘            
(3星)	 高齐不是人            
(4星)	 比奋斗更有可看性。            
(4星)	 小样儿小样儿~  北京北京~            
(4星)	 至少有触动我的那一瞬。            
(4星)	 比&#34;奋斗&#34;要实在得多...陆毅同学在剧中的形象比当年&#34;永不瞑目&#34;中那个执着于姐弟恋的大学生形象要顺眼得多...&#34;高齐&#34;是个理智的男人.            
(4星)	 比奋斗好很多的说            
(5星)	 就喜欢这样的剧情，看过这部剧更喜欢北京了。。            
(4星)	 我喜欢高奇            
(5星)	 我真的喜欢……            
(3星)	 好吧，我很闲~            
(3星)	 和奋斗不能比。。王络丹老可爱的，不爱米莱我爱她            
(4星)	 她们说，绝不做违背自己意愿的事。            
(4星)	 理想化            
(5星)	 超经典的台词天天看 潜移默化被熏陶评委请亮分。。。我的未来不是梦            
(NA)	 大型奥迪广告剧            
(4星)	 有些台词真的很有意思            
(5星)	 我爱王珞丹！看着真奋劲儿。            
(3星)	 滿眼的奧迪...            
(1星)	 傻逼奋斗片            
(5星)	 看过的最喜欢的国产现代剧~            
(3星)	 雷剧            
(3星)	 看了13集。            
(4星)	 喜欢钱小样，喜欢方宇，胜过米莱和华子。更真实了，拍摄地点更加熟识。。            
(NA)	 我的青春我做主...适时出现的一部剧...我们也是同样的三姐妹..78 79 81。。只不过我们是亲姐妹...呵呵            
(NA)	 不靠谱...            
(4星)	 迷糊中。            
(3星)	 又一部YY大片            
(5星)	 治好了我的影视倦怠症，看得我意犹未尽，大团圆结局让我很满足，台词写得太好了，小样儿和方宇太相配了，高齐太完美了。            
(5星)	 爱情 理想主义 对白            
(5星)	 几天连续熬夜，好看好看            
(NA)	 为什么会如此的不真实？？？！            
(3星)	 很假            
(3星)	 前边还可以，有几句台词蛮好的            
(NA)	 方宇。            
(NA)	 在老妈的建议下，看了，依然没意思            
(4星)	 王珞丹            
(4星)	 好吧，我是把剧情描述看完了。。。            
(NA)	 好吧。。我喜欢雷蕾。。但是却越变越青楚            
(3星)	 小样！！！青楚~~~            
(3星)	 高考前闲的没事干看的            
(4星)	 赵宝刚总能把电视剧拍的闷文艺！！            
(4星)	 看完啦~明天去实习！是不是在自己做主？            
(4星)	 比奋斗更现实            
(3星)	 喜欢赵青楚，也喜欢周晋。钱小样不怎么样。            
(4星)	 进步了            
(4星)	 青春，也许就是拿来犯错的~~~有些时候，我们需要把错误坚持到底            
(4星)	 喜欢 小样儿和方宇             
(3星)	 这就一成人童话啊            
(1星)	 垃圾            
(3星)	 没有奋斗好看            
(3星)	 雷蕾和高齐才是亮点，也算上钱进来。            
(3星)	 他说我像青楚,窃喜...            
(3星)	 我是喜欢青楚的。            
(5星)	 引发思考。为我的观点提供说服性的语句            
(4星)	 我就讨厌陆毅 我就讨厌赵琳。 要是不是这两人演，我一定看得更开心。            
(5星)	 和Q看的第一步电视剧也            
(3星)	 给我个高奇！！！            
(5星)	 看了这个我也在思考自我实现与世俗价值到底哪个于我来说更重要~~还是喜欢小样~~那么努力的活着！            
(3星)	 一帮倒霉孩子            
(5星)	 留下一个完美的男人独自一人            
(NA)	 图一乐            
(4星)	 喜欢高齐和雷蕾这对~            
(4星)	 还不错。方宇是个好男人，高齐是个好同志。            
(3星)	 一般般，没啥特别的感觉            
(3星)	 比奋斗好看多了            
(3星)	 和奋斗一样假             
(3星)	 这总是有点疲惫。            
(4星)	 虽然有些不靠谱  还行            
(3星)	 http://marketing.tudou.com/semir/qingchun/            
(5星)	 热血~~~            
(4星)	 剧情节奏快~~这我喜欢            
(4星)	 典型的中国式青春！            
(3星)	 看在语言幽默的份上            
(4星)	 还是不错的，喜欢傻乐呵的小样儿和方宇，还有巨有范儿的姥姥和雷蕾~            
(3星)	 沒有太多的爆點。有菲林的角色不多。臺詞不錯。            
(3星)	 大陆电视剧的通病，剧情啊，我承认我是冲着王络丹去的            
(3星)	 说是奋斗的姐妹篇，可相差还是很远典型的韩剧路线，一群女人            
(4星)	 王珞丹酷毙了。。            
(NA)	 咱俩都是属蚂蚁的 虽说渺小但是懂得知足，不贪，别人一碗饭不饱 咱俩有个米粒就能乐半年...            
(4星)	 喜欢里面的台词和演员说话的语速，与我太搭了            
(3星)	 我喜欢姥姥这人 我痛恨婚姻            
(4星)	 爱死姥姥了~            
(4星)	 有点假。。但还是不错的~            
(4星)	 虽然刻意，仍然感动            
(4星)	 高奇是吧            
(3星)	 算是比较贴近生活的电视剧            
(4星)	 “达则兼济天下”没钱不行 还是欣赏个人奋斗型-青楚、周瑾、高齐 家长都如姥姥天下的孩子就真正幸福了            
(4星)	 喜欢小样            
(NA)	 断断续续看了            
(5星)	 太喜欢青楚了！            
(4星)	 为嘛就钱小样和方宇最苦逼啊，所有倒霉事儿全摊他俩头上了。钱小样，我最受不了你哭。方宇，你才是新好男人呢，我看比高齐靠谱。            
(3星)	 挺让人崩溃的。            
(NA)	 我觉得没有奋斗好看 这个排的有点罗嗦...            
(5星)	 看到方宇，让我很心动很心动，不过我不会选择跟他一起生活……            
(5星)	 挺实在的，也催人奋进~~内地的偶像剧这样就够了。。“陪你一起看雷阵雨”那类还是不大适合。。能把人雷死。。            
(3星)	 恩~夸张点~但受教育了~            
(NA)	 超喜欢！！            
(4星)	 和奋斗一样的澎湃            
(4星)	 姥姥~姥姥~            
(5星)	 不得不说，赵宝刚的包装还是很成功的，编剧不错……            
(NA)	 可算看完了            
(5星)	 1.朋友重要，是一辈子的事儿。2.关键时刻还是要听家长的，前瞻性很重要。3.成长是要付出代价的。            
(5星)	 在网上追着看完这部剧，很喜欢剧里的台词，真实而且值得回味。成长的路上都有各自要追逐的东西，没有办法预知结果，但过程是重要的，追逐的同时，一路成长。            
(5星)	 挺好看的~虽然觉得戏剧性，但是戏剧真是来源生活。            
(1星)	 人设假，剧情假，台词假，演得假，总而言之太假了            
(5星)	 我们这一代人的青春就是这样，既要实现自我，又受到各方面的限制。个人与社会，个人与家庭，个人与理想，个人与责任。。。生活就是艰难的，可是我们只要坚持下去，我们的青春、我们的生活照样灿烂！            
(4星)	 小样可爱            
(4星)	 什么时候我也遇到个高齐这样的，一生无憾。            
(3星)	 有点儿假有点儿不靠谱            
(4星)	 一水的奥迪。。            
(4星)	 居然还不错，三个大妈是亮点！虽然雷点也不少。            
(3星)	 没有穿POLO衫的佟大为，这电视剧老舒服了。            
(NA)	 喜欢里面那些利索精辟的话语            
(3星)	 喜欢朱雨晨这男人。            
(4星)	 恶补似的看完了。            
(5星)	 爱情和物质·你要哪个？            
(5星)	   呗耐~            
(4星)	 高齐出现了 可是没有出现方宇            
(4星)	 好玩            
(3星)	 台词很经典~            
(5星)	 但...不管怎么样..电视剧就是电视剧...            
(3星)	 牵强的贫嘴台词，没有新意的演员表情,挥不去的&lt;奋斗&gt;的影子。STONE先生的话说，太庸俗。看了三集，碟就扔那儿了，打发时间的时候可以用。但，给三颗星，嗯，想来，再庸俗也有点诚意吧。            
(5星)	 个人觉得比《奋斗》好。虽然很多人都说奋斗比青春好。但我依然坚持            
(4星)	 看完好失落........            
(4星)	 美其名曰 与医院有关的日子            
(4星)	 词好，人也养眼。道道也比较前卫            
(4星)	 很不错。我喜欢~            
(NA)	 看了几集就不想看 因为知道结局不美满            
(4星)	 看完，依旧迷茫……            
(3星)	 我的青春还不够放肆.........            
(3星)	 台词撑场面            
(5星)	 真的很好看~            
(4星)	 ★★★☆            
(NA)	 仅纪念我热爱的北京            
(4星)	 Hui回去就看            
(5星)	 头一次又哭又笑的国产片            
(3星)	 越看越觉得有点扯~            
(4星)	 80后青春必看            
(4星)	 赞！            
(4星)	 超爱王络丹            
(5星)	 钱小样，我决定跟你穿情侣装            
(4星)	 原来王珞丹就是米莱，我太后知后觉了！老娘最喜欢高齐,要嫁就要嫁高齐这种人!            
(NA)	 渐行渐远            
(3星)	 高仿啊。            
(4星)	 必须要说我的姥姥-闫老师的范儿跟“姥姥”的确很像~我想我姥姥了，很想很想，不过快能见到了~happy~另外想说，现在年轻演员演电视剧还真是驾轻就熟啊，很放松、很生活，不错不错~总之是一部还比较难得的电视剧！            
(4星)	 命运悲惨不代表就是贴近现实，但总的来说，台词还是蛮经典+精彩            
(2星)	 看到结局我彻底明白了，这又是一配对儿电视剧，最后所有人都有主了。。。            
(5星)	 太爱高齐了！            
(4星)	 很多经验式台词，对顿悟蛮有用。            
(4星)	 剪掉一颗星 是因为霹雳被林园演的让我无法忍受            
(5星)	 有些桥段还是把我看哭。主要是小样和方宇的爱情。记得其中一句台词，你知道做蚂蚁的好处是什么吗。胃口小。不贪婪。            
(3星)	 看完之後 最喜歡高齊這個角色 神一般的男人.            
(4星)	 依然喜欢王珞丹。不管是米来还是小样。都让我感动。但是我要做青楚那样的女人~~            
(5星)	 比奋斗更现实            
(4星)	 从母女关系的角度来看 还不错            
(3星)	 挺让人崩溃的。。            
(4星)	 其实这种片子，明白它想说啥就行了，没必要在细节上较真~            
(4星)	 还是很理想，条件都很好，只能看看想象下咯！            
(4星)	 成长的代价。成长的烦恼和阻挠。            
(4星)	 就和《奋斗》差不了多少，里边的台词真的是很搞~~~我们的生活就应该自己做主，父母只能给建议，不能插手，那才是对的            
(3星)	 小样儿啊小样儿            
(4星)	 後面沒前面看的那麼認真。。。喜歡高齊。哈。。臺詞很不錯。。。喜歡小樣跟方宇式的愛情,縱然充斥着好多現實的原因.三星八            
(NA)	 7个女人一台戏            
(5星)	 感同身受。面对才能解决问题。勇气。承担。            
(4星)	 剧情好，演技不对头~            
(4星)	 啊啊啊，小样儿和方宇            
(3星)	 我们要吹响把握自己命运的时代号角！            
(1星)	 这一分打给漂亮的衣服和布景。            
(3星)	 编剧啊编剧            
(4星)	 我的青春我做主！            
(4星)	 从某些人身上看到自己的影子，也看到别人的影子，更重要的是，我看到了生活，看到了现实。            
(5星)	 我每天吃的有限，穿的有限，用的也可以有限，但快乐必须无限。            
(NA)	 钱小样。            
(5星)	 好片~            
(NA)	 好吧，我就看了其中一些而已。剧情好过奋斗。台词好，让人乐就够了。            
(4星)	 我很像小样吗？            
(3星)	 最爱朱雨辰~            
(5星)	 我的青春我没作主            
(3星)	 20090423，厦门，编剧换了，感觉侃大山的实力不及《奋斗》多也！钱小样，钱            
(4星)	 青春就是作            
(NA)	 唔 个人觉得 还算不错吧            
