http://movie.douban.com/subject/2156748/	雪山飞狐
(4星)	 其实小时候看，觉得苗若兰最漂亮啊~眼睛其大无比。            
(5星)	 大雪。大雪。紫衣。紫衣。            
(5星)	 自此以后，我就喜欢上雪山。            
(4星)	 雪中情,童年梦!            
(4星)	 哈哈。胡一刀的儿子胡斐            
(3星)	 好听的主题曲让人印象更深            
(5星)	 因为本人是金庸老先生的迷,所以,对于其书改编的电视剧也是同样喜爱.特别是早期,小时候看这部&lt;雪山飞狐&gt;的时候,也是几乎是家家都是在同一时间调到同一频道.定时就会响起那首凤飞飞的&lt;追梦&gt;还有正学友的&lt;情网&gt;...太值得追忆了.            
(4星)	 长大了看了书才知道，原来袁紫衣应该比程灵素长得漂亮。。。电视剧严重误导。。。            
(3星)	 让青春吹动了你的长发            
(4星)	 看我看一眼吧莫让红颜守空枕            
(5星)	 这是其他版本无法比拟的经典，各方面。。。            
(3星)	 来吧,古装!            
(5星)	 主题曲很经典~            
(4星)	 好喜欢程灵素啊，太可爱了！            
(NA)	 眼前总是白茫茫            
(NA)	 12年            
(NA)	 说起凤飞飞我眼前立刻浮现滚着演员表的片尾曲画面            
(5星)	 　　让青春吹动了你的长发让它牵引你的梦 　　不知不觉这尘世的历史已记取了你的笑容             
(5星)	  雪山飞狐             
(5星)	 当年感动好久...            
(NA)	 财经频道在放。小时候很喜欢看。            
(NA)	 小时候看的，记得看到最后一集的时候实在是困得不行了想睡觉，睡前还跟我妈说开演一定要喊我起来哦，结果错过了大结局，一直都没有补回来。            
(4星)	 追梦人            
(4星)	 童年的记忆，强大的演员阵容，耳边还能回想起那首熟悉的主题曲            
(5星)	 好像没有完整看完。记得雪中情和程灵素。            
(NA)	 &lt;追梦人&gt;高胜美            
(4星)	 非常喜欢孟飞的胡一刀。            
(4星)	 同学说其父去台湾在饭店看见邻座的孟飞，《追梦人》，龚慈恩。            
(3星)	 小时候看的 好看            
(5星)	 雪山情，追梦人，程灵素            
(3星)	 当时很喜欢片头曲。            
(NA)	 程灵素            
(5星)	 这个也是经典 可是不知道为什么 在儿时的记忆中 有点惊悚 他们的装扮和那首主题曲            
(NA)	 她的眼睛漆黑明亮，可惜不是属于灵素。            
(NA)	 雪中情，雪中行。            
(3星)	 追梦人            
(5星)	 雪中情，雪中情，雪中我独行。。。我就是喜欢程灵素。            
(4星)	 &#39;程灵素&#39;从此永远留在脑海里。            
(NA)	 主题曲，真是很美            
(4星)	 程灵素童鞋就是个悲剧啊            
(3星)	 雪中情            
(5星)	 主题曲现在都朗朗上口阿            
(NA)	 我            
(4星)	 雪中情            
(3星)	 究竟要汇聚多少英雄豪情，才能把梦追寻            
(4星)	 程灵素程灵素程灵素！            
(4星)	 主题曲不错。            
(4星)	 小时候一度迷的不行            
(5星)	 话说我三岁的时候发烧去医院吊瓶，凌晨回到家还不忘看录下来的雪山飞狐来着，就是介一版            
(4星)	 金庸笔下的男主 都不喜欢 女主也是男性视角的女神角色 同不喜欢  只喜欢女配程灵素            
(5星)	 那时我就不明白了，维萨全天下的人都喜欢苗若兰，我tmd就喜欢白灵素呢            
(NA)	 2010-11-27            
(5星)	 袁紫衣            
(4星)	 那首歌。。。我第一次知道有个词叫宿命。。。我不相邪。。可是我爱这个词。。我爱。            
(NA)	 寒风萧萧 飞雪飘零            
(4星)	 总是有雪 感觉挺冷的            
(3星)	 那时候喜欢龚慈恩和追梦人~~            
(4星)	 这是我最喜欢的版本的《雪山飞狐》没有之一！            
(4星)	 那时候好像在上初中。。。            
(4星)	 寒风潇潇飞雪飘零            
(5星)	 三颗星给剧本身，+一颗给童年，+一颗给《追梦人》            
(3星)	 记得那冰天雪地中的一袭紫衣            
(4星)	 想念10岁时在宾馆的三个床上跳来跳去扮大侠的日子            
(4星)	 印象里苗若兰很漂亮~            
(NA)	 这部算是经典了吧            
(NA)	 好吧，我只记得片尾曲            
(5星)	 金庸十二钗,独爱程灵素              
(5星)	 多少人童年的回忆啊...我还记得那会儿我们家住肖村的小平房...我和爸妈一起每晚看这个..用那个牡丹的电视机...看到感动的时候..我还躲被窝里哭去..被我妈笑话....几年前我又重新在电视上看到了这剧...又看了一遍...还是喜欢...那个片尾曲...追梦人...我永远都忘不了            
(5星)	 好爱龚慈恩！！！            
(4星)	 某人还是年轻时比较帅啊……某人中毒那集当时看得偶那叫一个伤心 =_=            
(4星)	 2010.06.01            
(4星)	 小时候着迷的电视剧。            
(4星)	 主题曲印象好深啊            
(NA)	 小学四年级看的片子，当年MS挺轰动。  灵素为了胡斐命都舍弃，胡却只等到出家为尼的紫衣赠与的梳子，末了末了却和大侠苗人凤的闺女若兰。。。  喔唷，感情真是乱。。。            
(NA)	 雪中情 雪中情            
(4星)	 小时候超喜欢的电视剧，里面的演员、造型都深入人心，尤其是片头和片尾的两首歌实在很好听。            
(4星)	 对追梦人那首片尾曲，实在是刻骨铭心。            
(NA)	 一曲《追梦人》传唱至今            
(3星)	 记得老爸和儿子都是一个人演的，觉得老爸的时候还帅点儿时的记忆            
(5星)	 孟飞是我心目中永远的大侠。龚慈恩也是经典。            
(4星)	 什么都不记得了，只记得小时候很着迷。            
(5星)	 小时候的最爱。完美的印象。            
(5星)	 雪中情唱响在那漫天飞雪中            
(4星)	 这部比较经典~喜欢龚慈恩的程灵素~            
(4星)	 和妈妈去夜市地毯买ost回来一起学片尾曲哈哈。            
(4星)	 歌好听！男的帅气，女的清丽！            
(5星)	 忘得差不多了。但是只记得小时候很喜欢看。            
(4星)	 追梦人真好听~            
(4星)	 景那是相当好，音乐也不错！            
(4星)	 2岁？3岁？反正就是这个时候看的 到现在居然还记得里面的歌……            
(5星)	 孟飞那个帅啊!!            
(NA)	 歌曲很赞            
(4星)	 还不错的说            
(5星)	 第一次聽追夢人            
(4星)	 记不太清了~~            
(NA)	 情节忘差不多了            
(4星)	 如果不是台湾版的，我更喜欢。            
(4星)	 那时候多小啊，直接的那首追梦人            
(5星)	 太经典了。好怀念。大二时还专门BT了。            
(4星)	 为了 两首歌多一颗星~            
(5星)	 貌似小时候特别喜欢 片尾曲好听            
(5星)	 伍宇娟最美的作品！            
(5星)	 童年回忆，难以忘怀的程灵素~            
(4星)	 主题曲            
(3星)	 完全没印象了。只记得一起看的时候，爸爸妈妈都在旁边。我还很小。            
(3星)	 袁紫衣太丑了····            
(3星)	 好小的时候看过            
(4星)	 小时候看过的。            
(4星)	 儿时记忆            
(5星)	 饭点。。。主题曲超好            
(4星)	 觉得女二比女一漂亮多了。            
(5星)	 经典的是雪            
(4星)	 小学时代。            
(4星)	 当年大爱，主题曲很好听            
(3星)	 程灵素            
(5星)	 啥都不说~经典！            
(5星)	 就冲着“寒风萧萧，飞雪飘零……”还有冰雪儿~~~打五星也是对的            
(NA)	 两首主题歌经典，我一听就像回到过去！那时青涩的童年            
(3星)	 挺小的时候了。            
(4星)	 当年幼小的我执着地以为胡斐和程姑娘才是一对            
(4星)	 《追梦人》            
(3星)	 只记得我喜欢过。但印象很飘渺~            
(3星)	 雪中情            
(3星)	 经典的插曲            
(4星)	 小时候看过的 喜欢里面的歌 不过里面的灵素太漂亮了啊            
(3星)	 奇怪，再看觉得妆好吓人            
(4星)	 小时候超喜欢看的~            
(3星)	 都不记得了            
(4星)	 程灵素和胡夫人张的一模一样的原因是：胡斐在追求他所认为的人生至爱的同时却失去了上天派给她的另一半····            
(4星)	 片尾曲都是童年回忆            
(4星)	 当年很喜欢龚慈恩啊            
(4星)	 片尾是夢中人，記住它的主要原因，再就是一直記得程靈素比袁紫衣漂亮。。。            
(4星)	 童年            
(3星)	 书里就不喜欢袁紫衣，电视里同样不喜欢！            
(NA)	 忘了几岁，那天中午阳光灿烂，我一个人在那溜达，看着蓝天白云，大院的一个工厂办公室门口忽然就传出了91版雪山飞狐的主题曲《追梦人》，是纯音乐，很悠扬，很好听，我就化在那了~~后来还有一个大叔走出来晃了一下，看着我笑了笑，也不知道是不是他放的~~            
(4星)	 对紫色嘴唇印象很深，还有大毛袄，哈哈            
(2星)	 关于这部剧我永远记得的只有雪中情的调子还有每个人都穿的很多。            
(4星)	 片尾曲是枚经典,也还比较忠于原著,当时的王璐瑶扮演的苗若男,很惊艳...可惜徐老半娘之后在出镜天龙八部,竟然暴乳了...            
(4星)	 很怀念~~~~            
(4星)	 灵素姐姐太伟大。            
(NA)	 放雪山飞狐的那个夏天，想起来都是轻飘飘的            
(3星)	 印象很深的连续剧            
(5星)	 台湾最好的金庸片，没有之一。            
(4星)	 那首歌比较好听，梦中人            
(NA)	 这个胡斐印象最深，我觉得是最好的。原来紫衣是伍宇娟扮演的么，以前还真是不知道呢。台湾的武侠片觉得这个大概是最好的了吧，比较契合原著的意思，因为原著的武侠气就不是很重。            
(4星)	 小时候超爱。现在估计不会喜欢了。            
(4星)	 怨念，编剧去死去死。            
(4星)	 龚慈恩！！！            
(NA)	 童年            
(NA)	 主题歌            
(4星)	 1991            
(5星)	 欧真素稀饭龚慈恩和孟飞和伍宇娟阿...还有辣个长路漫漫，踏歌而行，回头看星星～～～            
(4星)	 袁紫衣            
(5星)	 程灵素            
(3星)	 很小的时候看的...喜欢的...            
(NA)	 就记得龚慈恩了。。            
(NA)	 又一个情节            
(4星)	 雪中情，雪中情...            
(NA)	 其实基本不记得了……除了《追梦人》。。。不过小时候觉得那个胡斐真是帅！            
(4星)	 儿时记忆             
(3星)	 有一个小时候的经典啊            
(5星)	 这版是我最喜欢的！            
(NA)	 這還有誰說自己不記得呢。。。            
(4星)	 那啥...里面有个美眉好漂亮            
(4星)	 龚慈恩极美            
(5星)	 就记得男猪脚挺帅的~~就记得好像天一直很冷~            
(4星)	 比较经典            
(4星)	 武打精彩而不花哨，朴实而不乏出彩，实为武侠的典范。            
(4星)	 孟飞的经典荧幕角色            
(NA)	 我小时候看的肯定是这个版本~            
(4星)	 歌更好听            
(5星)	 孟飞版的雪山飞狐，儿时的经典武侠剧。            
(5星)	 这部是小时候最爱，看了最少5遍            
(3星)	 不纯粹  大陆演员和台湾演员的风格放在一起就是觉着不对            
(4星)	 雪中情            
(4星)	 为什么不是程灵素？            
(4星)	 程灵素啊程灵素            
(NA)	 Childhood            
(4星)	 片尾曲叫 追梦人            
(NA)	 龚mm演程灵素不太像，但很美，胡斐做作的很，但那几首曲子太出色了            
(4星)	 程灵素最高～TAT            
(4星)	 雪中情~雪中情~            
(NA)	 雪山飞狐            
(NA)	 喜欢里面一插曲            
(3星)	 袁紫衣不够pp,程灵素过于pp            
(3星)	 黄律师的最爱            
(5星)	 好飞狐            
(5星)	 红色的北京 童年的记忆 忠孝礼义信廉耻 武侠初恋            
(NA)	 程灵素，我为你哭了多少次啊。情侣中胡一刀和冰雪儿才是我最爱。            
(5星)	 回忆7从前            
(4星)	 貌似早期的武侠片比现在翻拍的都要用心很多            
(3星)	 唉，忘光了            
(4星)	 关于小学的记忆~~            
(4星)	 记得当时所有人都在看一样，一开始全家坐在电视机前~最喜雪中情和追梦人            
(4星)	 龚慈恩龚慈恩——最美的程灵素。            
(4星)	 啊```介就素童年            
(4星)	 幼儿园时的记忆了。里面的歌曲都超级好听！~            
(4星)	 如果没错的话，它是第一部来大陆实地取景拍摄的台湾武侠剧            
(3星)	 讨厌男猪脚            
(4星)	 片尾曲超喜欢            
(NA)	 还有那首歌谣。。。。。。            
(NA)	 5岁搬家的时候看的，没有看完全，估计也没全部看懂。只记着龚慈恩雪白            
(4星)	 我最早关于影像的记忆。。            
(NA)	 Ancient memory, was the whole show shot in winter and north?!  Plenty gray color, plenty snow and middle-aged actors - good-looking but middle-aged nevertheless - playing young men and girls...memorable songs, of course, that&#39;s expected.             
(4星)	 喜欢胡斐            
(4星)	 胡一刀,人如其名.            
(4星)	 片头片尾都很好听!顺便要说,这片直接把雪山飞狐和飞狐外传给结合起来演了...            
(4星)	 唯一一部当时看了开头和结尾，对中间不怎么清楚的剧            
(4星)	 很小很小的时候看的，记得那时看了很感动。            
(NA)	 这里面的程灵素不错            
(NA)	 孟飞 龚慈恩            
(4星)	 那个BGM依然可以在脑海中浮现出来，真是经典啊。            
(5星)	 重新温习一遍小时候的记忆~            
(5星)	 景色很美            
(4星)	 为这绝版的程灵素&gt;&lt;            
(NA)	 记得程灵素很漂亮。            
(3星)	 雪中情。            
(4星)	 伴随着经典的主题曲响起，看着长白山皑皑白雪中行走的飞狐，心情就能激动起来            
(4星)	 夜深忽梦少年事            
(4星)	 居然今天又翻出来看。            
(NA)	 很小的时候看的，那时候家里还没有电视，去别人家看的，还是黑白的，现在已不确定看的是不是这版了            
(5星)	 悲情程灵素···导演应该也是很喜欢这个人物，演员和冰雪儿都是同一人            
(4星)	 程灵素完全不是金庸笔下干瘪的女子，龚慈恩着实让人心疼            
(5星)	 迷上了主题曲。这是让我对武侠产生兴趣的启蒙。不能再说更多了。            
(4星)	 难以忘记程灵素，也记住了《灵枢》、《素问》这两部医书            
(5星)	None
(5星)	 雪中情～雪中情～            
(NA)	 小时候觉得好美好眩啊            
(4星)	 油！春节期间重播了，年少时的偶像啊！！孟飞和龚慈恩。美！            
(4星)	 伍宇娟紫衣印象，苗若兰很可爱。            
(5星)	 经典是一如既往的冬日阳光            
(4星)	 很爱片头曲的            
(5星)	 突然想要再看一遍啊。            
(NA)	 當時覺得龔慈恩好漂亮啊~            
(3星)	 当时太小了，四五岁，根本记不住剧情，就记得白皑皑的雪山。可那两首歌我记得，都是经典。三星就给两首歌了。            
(5星)	 因为程灵素，因为追梦人，给五颗星。            
(NA)	 以前应该看过几遍吧。。最近有台又在播呢            
(4星)	 小时候舍不得看完的剧            
(4星)	 小时候自己觉得最牛掰的一句台词 你已经中了我的七星海棠 ~~~            
(5星)	 宝藏+美女的古装版好莱坞大片            
(NA)	 还记得大结局那天，为了看这个上课迟到了。贪婪的人都葬身宝藏洞。胡一刀、苗人凤....胡斐买了个梳子送紫衣，没想到她落发为尼出了....至今仍喜欢片尾曲《追梦人》            
(4星)	  我真的非常讨厌那个苗若兰。。。傻X一个            
(5星)	 哇            
(4星)	 只记得龚慈恩的脸了，永远的程灵素，好一朵空谷幽兰！主题曲是叫《追梦人》吧，小时候超喜欢的。            
(5星)	 有记忆的第一部电影，最重要的是这片时爸妈带我在录像店看的。            
(5星)	 雪中情！！雪中情--一刀            
(4星)	 小时候很爱程灵素，对胡斐深深怨念。或许果真是悲剧才能刻骨铭心。如今长大了才有些体会，我若为男儿，想必应该也不会爱上程灵素吧。            
(4星)	 人成梦中人，人非梦中人，一曲追梦人，可曾梦中人            
(4星)	 童年记忆中的大侠跟侠女            
(3星)	 内容我实在实在是记不清了。我只记得一个镜头是在雪山上一个人要掉下去了另外一个人拉着她。。。但是记得原声好听的            
(4星)	 估计两首主题曲会记一辈子，小时候觉得伍宇娟的袁紫衣好漂亮，对程灵素却完全无印象，好奇怪            
(5星)	 至今最好的版本。            
(5星)	 胡一刀！            
(5星)	 雪中情。            
(3星)	 小时看的，印象不是很深刻了，感觉还过得去            
(3星)	 当时家乡流行唱主题曲，因为本片            
(4星)	 最好的斐少爷..            
(5星)	 在本溪水洞拍的            
(NA)	 超老的片哦            
(5星)	 好听的追梦人和美丽的伍宇娟。            
(5星)	 日            
(NA)	 王璐瑶太腻了,龚慈恩对你多好你为什么不要讨厌讨厌讨厌!            
(4星)	 情节有点错乱啊。。            
(4星)	 经典不多说废话            
(NA)	 记忆最深是，程灵素            
(4星)	 音樂很懷念啊            
(4星)	 最喜欢的版本，主题曲和结尾曲也超好听            
(4星)	 忘了剧情，但是主题曲的旋律依然清晰            
(5星)	 王璐瑶的苗若兰~            
(NA)	 小时候真的很喜欢看啊            
(3星)	 小时候觉得那个片尾曲可好听了            
(4星)	 长白山实景拍摄，最爱是龚慈恩饰演的程灵素。            
(4星)	 雪中行   追梦人            
(4星)	 只为龚慈恩和主题歌而看，其它皆是垃圾            
(4星)	 寒风萧萧，飞雪飘零，长路漫漫，踏歌而行。            
(5星)	 让青春吹动了你的长发            
(4星)	 程灵素            
(4星)	 让青春吹动了你的长发              
(4星)	 田归农 造型可惜了了            
(4星)	 龚慈恩的程灵素太经典            
(5星)	 一直很讨厌胡斐，因为他不爱程灵素            
(4星)	 台湾武侠剧少有的厚重。            
(3星)	 只知道看过，其他不知道。            
(5星)	 喜欢程灵素和苗人凤，程度两者不分上下。南兰的演员实在看不过，配不上苗，更配不上田。            
(3星)	 小时候 福安康老婆叫什么来着..            
(4星)	 儿时的回忆，当时家长不让那么晚看，都是猫在被窝里偷偷看电视的            
(3星)	 剧情全忘光了，只记得个红花会还有主题曲            
(4星)	 喜欢程灵素            
(NA)	 没读过这一本原著，也记不清电视的情节，唯独还记得主题曲            
(4星)	 主题曲和插曲都还会唱            
(4星)	 好喜欢龚慈恩啊            
(5星)	 出生看的第一部电视剧～            
(NA)	 经典，情节不记得，只记得穿着毛茸茸衣服待在雪地里的女主，主题曲才是经典啊            
(5星)	 童年记忆永远是最美好的            
(3星)	 儿时的回忆。            
(3星)	 寒风啸啸，飞雪飘零，长路漫漫，踏歌而行。            
(3星)	 名字很熟。好犹豫。            
(4星)	 我心中永远的程灵素            
(5星)	 记得那篇雪山，森林，草甸。飞狐外传的书，让我读完甚为惆怅。            
(NA)	 一集半。            
(5星)	 永远的回忆            
(NA)	 主题歌：雪中情~雪中情~~            
(4星)	 雪中情。。追梦人，。喜欢。。            
(4星)	 大爱            
(3星)	 在我故乡龙潭山上拍的雪景。小时候还看过他们拍戏呢。            
(5星)	 台湾戏到大陆取实景 一下子格局就大了 比棚里的戏强多了 新白娘子传奇亦是            
(2星)	 不太喜欢这一部。            
(3星)	 记得追梦人 好像男主有部电影和西门大妈一起演的            
(4星)	 我最爱的金庸小说女性人物：程灵素~龚慈恩演得很好~            
(NA)	 追梦人            
(4星)	 大爱            
(4星)	 那个时候看的不错，长大后看书就不怎么喜欢看了。感觉比聂远那部好吧，反正记得小时候挺喜欢看的。            
(NA)	 追梦人            
(4星)	 武侠启蒙之剧，至今难忘雪山瀑布的镜头，主题曲经典。            
(4星)	 很小很小很小的时候看的，只记得音乐，别的都没印象。。            
(4星)	 曲子好听  对紫衣印象深刻呀            
(4星)	 龔慈恩 龔慈恩            
(NA)	 伍宇娟好美的            
(4星)	 只记得那首歌了，还有程灵素无比美丽的脸            
(3星)	 当年的袁紫衣 程灵素……            
(NA)	 那时候家里还没电视机，到亲戚家玩，半夜起来看。            
(NA)	 小学四年级的暑假            
(4星)	 二妹真的很美，程灵素我只认此家！            
(4星)	 我喜欢程灵素啊！！为毛胡斐就是喜欢袁紫衣啊！！！歌都好经典~~追梦人&amp;雪中情~~            
(4星)	 喜欢程灵素 ~            
(5星)	 三年级的时候，喜欢这样男主角，当然还有程灵素，那时候我是三年级            
(3星)	 这里面的女人除了胡夫人，其他的都搞不懂            
(4星)	 记忆长河里的一朵小浪花            
(3星)	 追梦人            
(5星)	 不错哦            
(5星)	 来豆瓣，看到好多小时候看过的留下美好印象的电视剧，不由的一阵兴奋。对这些带着童年回忆的电视剧，已经不晓得用什么语言去表达了。为何翻拍的总无法超越这些旧版的呢？            
(4星)	 这版比较经典            
(4星)	 前几天才补完，个人认为缩减为30集比较好，不过在那个年代能拍出这样经典的作品已经实属难得了，作为80后最经典的回忆之一，现在去听《追梦人》才明白其中的含义之深，泪流满面。北方寒冷美极的雪景，英雄美人可歌可泣的爱情，人性的真实和可怕，都借由这部电视剧展现出来。            
(5星)	 这是我最爱的电视剧之一了吧，经典之作，记得前两年电视上重播的时候，我还聚精会神的看呢。孟飞版的胡一刀大爱啊。。。            
(4星)	 印象模糊            
(4星)	 唯一看过的一版《雪山飞狐》，犹记得其中的曲子&#34;雪中情，雪中情...&#34;评分全部给童年回忆。。            
(5星)	 雪中情……雪中情            
(5星)	 恍如隔世。难以逾越的经典。            
(3星)	 主题曲            
(4星)	 爱死了这剧的歌《追梦人》，也爱程灵素。            
(NA)	 追梦人            
(NA)	 哈哈想起这才是我看的第一部和金庸有关的东西嘛，小时候和我娘一起看的……当然除了名字什么都不记得……还有歌好像很好听            
(NA)	 ！！！！！！！！！！！            
(4星)	 当年觉得袁紫衣好美啊，现在才发现童年的记忆果然是不可靠的啊～            
(5星)	 雪中情……雪中情……            
(NA)	 总觉得他们的服装好像蒙古族的人            
(5星)	 一听到那熟悉的“雪中情”就热血沸腾！            
(4星)	 主题曲太经典啦 好好听啊 俊男美女 童年的回忆            
(3星)	 这剧凑合，喜欢主题曲            
(5星)	 总会想起童年时的夏夜星空下，和外婆家村子里的乡亲看着这部白雪皑皑衣袂飘飘的剧~雪中情、追梦人的旋律犹在耳际            
(3星)	 总觉得看了冷            
(5星)	 龚慈恩啊~~~~~~~~~            
(4星)	  我當年看的就是這個版本~~~~ 孟飛當年還是很帥的~~  PS:片尾曲一直到現在還會哼呢~            
(5星)	 追梦人等，音乐很喜欢，演员也很喜欢            
(5星)	 灵素姑娘！            
(NA)	 追梦人            
(5星)	 孟飞---记得小时候有一段时间电视上播的电视剧都是他主演。还有那首主题曲寒风萧萧、瑞雪飘零，长路漫漫，把歌而行。歌名已经不记得了，但歌词还记得很清楚，这首歌几乎唱过了我半个童年。            
(4星)	 当青春吹动了你的长发，爱极了程灵素            
(4星)	 回忆啊            
(4星)	 有点经典            
(4星)	 印象中很經典的台劇            
(4星)	 这个版本是我最喜欢的。看的早记不清了，尤其是袁紫衣，我居然完全不记得有这个角色了，滴汗。片头片尾曲很好听。            
(4星)	 喜欢喜欢！            
(3星)	 刻录在童年记忆中的电视往事，主题歌都会唱的，多年以后剧情都记不清然而主题歌或插曲总是回荡在脑海里            
(5星)	 童年的记忆，20年过去，只剩下片头片尾曲，和程灵素素衣无瑕的身影，虽然龚版程灵素与原版有出入，但不可阻隔挡她成为我们这代人最认可的程灵素。            
(3星)	 貌似电视剧比原著好看            
(5星)	 好看，那个时候觉得胡斐太帅了，找男友想找那样的！            
