http://movie.douban.com/subject/3882759/	绯闻女孩  第三季 Gossip Girl Season 3
(NA)	 蛋疼            
(4星)	 grow up and became complicated and pathetic......            
(3星)	 严重审美疲劳爱咋咋的吧你们这群纠结的(￣_￣|||)             
(3星)	 这季最难看            
(3星)	 实在没得剧看了只有捡哈以前弃的            
(NA)	 我只为了睇C            
(2星)	 一塌糊涂            
(4星)	 &#34; Next time you forget you&#39;re Blair Waldorf, remember I&#39;m Chuck Bass, and I love you&#34;            
(3星)	 一季不如一季。纯当杂志看。            
(4星)	 越来越乱            
(5星)	 I‘m not chuck bass without u。            
(2星)	 如果不是为了blair，看xoxo又有什么意思。            
(5星)	 和旧番一起补~            
(3星)	 爱啊，太乱了吧。比上季好看点。s怎么老那么快！chuck越来越迷人了，怎么能中枪？！ladygaga客串是亮点            
(4星)	 看gossip girl已经成为一种习惯~            
(5星)	 看了就觉得纽约美了。。出去一逛又觉得太乱了。。。            
(5星)	 chuk ！！！！！！！！！！！！            
(4星)	 我是SN粉            
(3星)	 完全不记得之前发生了撒。。            
(5星)	 绕来绕去，就那几个人，太凌乱了            
(3星)	 只有chuck可以忍受。            
(NA)	 我真无聊            
(3星)	 当我开始喜欢Chuck的时候他领了便当，结果整个上东街最幸福的是Blair的女仆多罗塔，真是讽刺            
(4星)	 Little J你怎么还不去屎！！！？？？            
(4星)	 我知道滥俗可就是喜欢看..            
(2星)	 差強人意            
(3星)	 还不如砍了            
(4星)	 http://tv.sohu.com/20100518/n272194991.shtml            
(2星)	 冷艳C和穷人D来一炮就圆满了            
(3星)	 Dan一家人能保持自始至终的令人讨厌也真不容易            
(3星)	 翻来覆去 覆去翻来的折腾 已经没有新鲜感了            
(5星)	 VINCE说：只要是作为主角的异性，都是相互搞过的。            
(3星)	 我承认我拿它来打发时间            
(3星)	 越来越不喜欢S了，倒是B始终没变。不是为了c我就不看了。。            
(3星)	 最爱Chuck！            
(NA)	 真是乱来啊~~~我弃了~~            
(3星)	 哎越来越无聊，不过还是追着。。。因为我也很无聊            
(4星)	 虽然是个换妻的故事，但矛盾集中爆发的时候还是挺吸引人。            
(NA)	 什么狗剧情！！！            
(2星)	 第三季的剧情显然已经没有衣服好看了。。。。。剧中男女互睡以后还来那么一个狗血的结局，真是考验我的心脏。两星给chuck和Nate俩帅哥。            
(3星)	 编2剧, 你能不能不要那么2啊, 第四季记得正常点            
(3星)	 这一季太混            
(4星)	 可怜chuck。可怜小J            
(1星)	 一顆星還是給QUEEN S的            
(3星)	 睡来睡去的            
(3星)	 随便看看，学下英语和服装搭配            
(3星)	 和绯闻少女一起升入大学啊            
(3星)	 chuck中弹倒地 然后就这样告诉我结局了？？！！ 怎么都不相信的我还死死搜索【S03E23】 =  = 虽然剧情越来越扯 估计我还是会追S04 不能不承认 是非常好的口语练习剧啊             
(3星)	 虽然第三季里面有很多剧情很狗血，但是我只想看B&amp;C.所以应该还会继续追下去。不过C要是真的就这么死了，我就彻底放弃追了。还是比较喜欢b&amp;c,s&amp;n，这样的搭配。让d和小j滚回布鲁克林去。真的越来越讨厌这一家人了。。尤其是小j。真够贱的。难怪没人爱。最后2集蛮精彩的。            
(4星)	 希望c不要死            
(NA)	 fxxk大结局            
(4星)	 看到Chuck倒下，我害怕极了。            
(3星)	 天花乱坠            
(4星)	 如果Chuck有什么三长两短我要杀了编剧！！！！！！！！！！！！！！！！！！！！            
(4星)	 第三季完结             
(5星)	 我不要CHUCK BASS死！！我不要！！！！            
(5星)	 ORZ......            
(2星)	 机场送别真太假了。            
(3星)	 可怜的观众们啊，你们为何吐血！！？？            
(NA)	 看了开头就一定会看到结尾这种强迫症算是怎么回事儿？            
(3星)	 OMG.....狗血            
(3星)	 法克剧            
(3星)	 哎呦呦，哎呦呦。            
(4星)	 ！！！b的话真是经典```s跟n是神话``所以b&amp;c s&amp;n    9月见```ps   你们能不能好好过日子  至少让我看见 真爱            
(1星)	 整部剧的名字就不该叫Gossip Girl，应该叫I&#39;m sorry。副标题I&#39;m so sorry.            
(3星)	 太乱了 不过我爱哈哈哈哈            
(NA)	 挺喜欢b的 但s确实迷人            
(4星)	 哎。。。水准下降了呢。。。            
(3星)	 继续狗血            
(4星)	 啰里啰嗦。。。            
(5星)	 比前面二季好看多了主要是Chuck变好迷人喔            
(4星)	 追剧成了习惯，就不打算轻易放弃，虽然到第三部已经形同鸡肋。逐渐觉得其实没那么喜欢Blair的长相，S也许更经看，但唯一仍旧没有改变的是对Lily和Rufus的喜欢。另，Nate的长相仍旧中意。            
(4星)	 剧情比较狗血，背景无以复加的华丽            
(3星)	 越来越不喜欢里面的人物了.小贱女JENNY,小38V..还有花心DAN..            
(2星)	 一个两个都干上妇女了还少女呐？            
(3星)	 真不现实，不过还是迫不及待的看完了            
(3星)	 ML场景也太多了点吧 搞来搞去都在一个圈子里 有意思么            
(NA)	 20100528            
(3星)	 剧情在鬼扯              
(1星)	 How can we imagine a bright tomorrow if all the youth are shallow and dump like this?            
(NA)	 ...没劲            
(2星)	 顶！越来越垃圾！！！            
(5星)	 chuck bass死不了的！            
(4星)	 第四季出了我才发现原来我一直存着第三季的最后一集忘了看。。我说怎么连不上呢。。            
(5星)	 各种胡闹。。            
(3星)	 对不起前两季啊            
(4星)	 时尚~            
(3星)	 almost getting sick of it.....编剧除了继续数学里的各种组合外，又开始探索各种p及各种遇。。。。。            
(NA)	 编剧越来越2了            
(NA)	 追了几年，现在一点也没兴趣了            
(5星)	 快回归吧            
(3星)	 看C 看衣服            
(3星)	 有鸡肋的嫌疑了。。。            
(2星)	 弃了=  =            
(3星)	 變得怪怪的  有點像情景劇... 怪~~~~~~~~~~~~~ 比較愛melrose place~~~            
(3星)	 因为网络的关系···后面实在没有时间去下载来接着看···绯闻女孩到此也算结束了···大爱bass             
(5星)	 把编剧拖出去砍头半小时！！！太虐了！！！！！还我chuck！jenny你个bitch！枉我一直喜欢你！S越发惊艳，S&amp;B deserve each other            
(4星)	 我只喜欢S、但不讨厌别的、            
(4星)	 我似乎已经是Gossip Girl Season 的忠实粉丝。            
(3星)	 第三季回归后的几集比这季前几集的狗血剧情来说还是不错的~C&amp;B，N&amp;S的王子公主配才好看嘛，表乱来~看的只是B和C了，大爱渐渐长大成熟的B和虽然犯错但心不变的C。22集，雷，C如果都死了下一季还拍啥啊            
(4星)	 等不及了            
(2星)	 我本来还想捡起来看看 结果一集让我彻底的放弃了            
(3星)	 呀呀小J增好看。            
(3星)	 对友情亲情爱情的颠覆.欺骗,背叛,3P,婚外情,毒品.挑战人类道德的底线么?这根本就是一个男女主角轮番来的换妻俱乐部吧.            
(3星)	 不就是SNS网站上的红人滥交一模一样了么 不过档次好高 不LOW            
(4星)	 CB要是断了我死也不追了            
(4星)	 各种不满意：（            
(2星)	 剧情太烂放弃了            
(4星)	 无语的结局啊            
(3星)	 赶紧卡了吧            
(NA)	 继续群P    继续不靠谱            
(NA)	 下一季不會看了.- -            
(4星)	 是不是有免疫了，再混乱的剧情发展都不觉得惊叹了。不过最后一幅画面让我不得不关心B和C的发展。            
(4星)	 没有最扯只有更扯。同理，没有最gossip只有更gossip。第三季和我的大学时光一同走向完结。            
(NA)	 去死吧            
(3星)	 权当练口语            
(5星)	 Hilary重磅加入，Tyra客串，Heidi露面，ANTM的模特也露面，最后的最后Chuck竟然被杀了......            
(4星)	 小J 你丫就是个贱人            
(3星)	 两星给服装造型，1星给Leighton Meester.            
(NA)	 有多少人是冲着C&amp;B去的？            
(3星)	 不想看了            
(5星)	 额 其实还是挺好看滴~~            
(4星)	 这样就完了？            
(5星)	 期待第四季            
(NA)	 不追了            
(4星)	 就当我看完了吧...            
(5星)	 我的SN啊……怨念            
(4星)	 C的兔牙超超萌~            
(3星)	 彻底不明白什么是爱，什么是不爱            
(3星)	 结局太狗血，受不了了！！！！！！！！！！！            
(5星)	 伦理不分国界。            
(3星)	 我想就此打住了。。            
(2星)	 现在就当时装剧看了，弃之            
(3星)	 虽然是狗血的剧情，但华丽精致的服饰和鲜活可口的面庞，还有神马好挑剔呢～s3开篇3集还不赖～            
(3星)	 不跟了            
(4星)	 城市依旧火热，人人都很寂寞。            
(3星)	 唉~每次忍不住都要看。            
(4星)	 Give me a Chuck Bass.            
(4星)	 结局真让人揪心，chuck...最后一集B的态度超赞，恨死小J！！编剧你脑残吧            
(NA)	 LJ实在太贱了！！！BC啊～～～            
(3星)	 你们烦不烦啊,搞来搞去,你们烦不烦啊,搞来搞去,你们烦不烦啊,搞来搞去,你们烦不烦啊,搞来搞去,你们烦不烦啊,搞来搞去,你们烦不烦啊,搞来搞去,你们烦不烦啊,搞来搞去,你们烦不烦啊,搞来搞去.........            
(3星)	 我很是想知道的是C死了吗= =            
(4星)	 怎么能让B和C分开了呢。            
(2星)	 再也看不下去了，编剧你吃什么成脑残的？！            
(2星)	 0316            
(2星)	 太狗血了。本来第三季到了后期还不错的。结局太狗血了。下季不追了。无聊。            
(3星)	 终于完结了。其实我决定看到这一季的结尾，并没有这一季开始时候那么狗血。chuck真的会死么，最后那一幕好美。            
(4星)	 这部太狗血了！chuck真死了。？            
(3星)	 比较无聊，也很吃惊自己一直在看......            
(NA)	 剧情实在是没看头了，人物关系乱就算了。。连人物性格都乱了。。            
(NA)	 22现在美剧咋都喜欢给人整死了捏- -            
(3星)	 编剧依旧没有起色，好在花瓶依旧美丽。            
(NA)	 第3季所有角色大洗牌再重发顺位，情节夸张老套拖沓，为了衣服我忍了。第4季还能怎么掰啊~            
(4星)	 其实小J挺好的~            
(3星)	 虽然很垃圾还是一季一季看，算了，全当练听力            
(3星)	 7.4            
(3星)	 2009-09-10 在看。2009-10-22 S3E6很出彩。            
(3星)	 反反复复 累了            
(3星)	 奶子不灵光，剧情转太快。            
(3星)	 一群贱人吧。            
(4星)	 纸醉金迷。            
(3星)	 SD千万别复活 LJ,BIATCH!            
(NA)	 虐            
(4星)	 我很羡慕CB之间的爱情。即使他们发生了很多很多的不愉快，可是两个人还是深爱着彼此，并且走到了一起。这也许就是传说中灵魂的吸引。            
(5星)	 编剧你可以再乌龙一下。。。            
(4星)	 混乱的关系,WHO CARE。            
(5星)	 忍不住百感交集　也忍不住骂人　敢让C有个三长两短老子就不看了!            
(4星)	 Chuck你敢死，全球人类都不会放过这群编剧            
(3星)	 當時裝秀看的話就很不錯            
(4星)	 怎么能那么讨厌little J啊，太烦了~~~~            
(4星)	 就是看衣服包了            
(3星)	 剧情越来越扯了            
(4星)	 http://tv.sohu.com/s2010/gossipgirl/            
(3星)	 BC散了，这剧也算了~            
(3星)	 放弃。。。            
(NA)	 谁谁都要搞一下 就差乱伦了 想看看这编剧打算怎么编下去 ...            
(5星)	 让人忧伤的结局            
(4星)	 我怀念那年的lonely boy，凝望着他心中的女神说，S，我在你眼里只看到天真            
(NA)	 编剧越来越脑残~  C和B才是王道喂！            
(3星)	 我看不下去了。。。没完没了的感觉。。。            
(3星)	 一如既往的混乱。我的Chuck中枪了。哎哟。            
(3星)	 S3EP12弃。            
(2星)	 越来越装B，看完S3E13正式决定放弃            
(3星)	 看的不是脸，是衣裳            
(5星)	 5星的剧组。            
(3星)	 关系太混乱了。。。            
(3星)	 其实真的很狗血！！但是舍不得B&amp;C……尤其是小B~~~            
(3星)	 越来越没劲了（好像一直也不是很有劲），只能当连口语听力用。还是喜欢美语！            
(4星)	 结局真虐            
(NA)	 弃了            
(3星)	 NND这是什么狗血完季……Chuck ╭(╯3╰)╮            
(NA)	 消磨掉我所有耐心了            
(5星)	 各种哎            
(4星)	 莫名其妙稀里糊涂的就完了            
(3星)	 继续还是弃剧？最后一集纠结得我停顿下了好几次！凹~~~~            
(4星)	 编剧真是越来越扯了，CB是支撑我一直看完的动力阿，居然最后chuck还中枪了...o(╯□╰)o            
(NA)	 操蛋的剧，但我猜我八成还是会看下一季，这是怎样狗血的淫生~~~~            
(3星)	 看剧领悟了一句话，这世上还是什么是不能被原谅？            
(4星)	 终于完了（叹~            
(3星)	 编剧诚心要把BC虐死！            
(3星)	 对这部 真的有些done了 腻味死S 傻X至极            
(4星)	 等得真累            
(4星)	 换完一轮重头来过啦……请开始背背山啦……            
(NA)	 还能更狗血吗？            
(5星)	 c&amp;b 纠结的人儿呐            
(3星)	 烂尾剧……女王的范儿也抵挡不了编剧的脑残            
(4星)	 OH CHUCK CHUCK            
(4星)	 12集最后NS的粉红让我加了一颗星。不枉费我从S1就开始看好的            
(3星)	 不喜欢Blain和chuck的这季结局。            
(NA)	 我还是看了，尽管第一集断断续续看了四次而且还是忍住洒狗血的冲动才看完的尽管S前两集的确够傻冒的。不过第二集G出来以后貌似精彩点了。感叹的是，到最后，相守在一起的居然还是只有BC.SN一起吧！！！            
(NA)	 每次看完都爆粗口 结局多开放瓦~下一集我看看C死了没 死了老娘就不看了!            
(3星)	 弃了。            
(3星)	 poor b poor c            
(NA)	 see u @ s4~            
(5星)	 看到了第10集            
(NA)	 实在追不下去了。。            
(NA)	 可如果我们紧握过去不放，明天也许永远不会到来。            
(4星)	 到这一季我才真正第一次注意到Nate是个王子，所以事实证明，我只关注S和S的男人。最感动的部分也永远是友情。            
(NA)	 弃            
(3星)	 我放弃了= =            
(3星)	 第三季变鸡肋，让青春继续得瑟。            
(3星)	 编剧还能再蠢一点儿么←即使如此还是会追第四季的我真是闲得蛋疼 OTL            
(2星)	 我扛不住了 越来越没劲 而且lily也不出来了            
(2星)	 編劇真是狗血,只差DJ沒有搞在一起了.            
(4星)	 来来去去就是那么几件事，哎，没办法啊剧还是要追下去的，还是第一季的时候精彩啊，然而精彩变多了，也就不精彩了，只希望好的继续好下去，不好的丫的快给我消失……            
(4星)	 oh my dear Chuck.....wake up pls....oh my dear Blair...accept him pls...            
(NA)	 就算看过了……            
(NA)	 我为什么又手贱了。明明就不想追。啊所有人过了个暑假都变丑了。看到第六集還是第七集都不知道，不追了不追了。            
(2星)	 真是快看不下去了            
(3星)	 扯淡........我居然看完了            
(1星)	 我放弃了，这个剧除了美女帅哥和华服美食外，啥也不剩了。实在是看不下去了～            
(NA)	 21            
(4星)	 哦我靠。。。。。。。。。每季都要以这种样子结束么。。。            
(2星)	 弃！！！！！！！！！乱七八糟            
(3星)	 撑了那么久 弃            
(3星)	 Dun u dare let me know da name of GG S3 Writers...            
(3星)	 死吧编剧！            
(3星)	 讨厌胸大无脑的S            
(3星)	 都不知道看了什么            
(3星)	 blablabla...            
(2星)	 乱七八糟            
(4星)	 看不下去了，额，没劲。。。            
(3星)	 唉第一季我还被感动了的诶///            
(3星)	 拖拖拉拉地终于看完了…应该还会有S4吧，坚决不看了…编剧真的很缺啊，啊能搞出点新名堂？            
(4星)	 看来我还是最喜欢看B搞阴谋的时候。但是难道D和S又要在一起？好雷            
(3星)	 我越来越old了            
(2星)	 whatsoever            
(4星)	 每一季都好纠结！！            
(3星)	 一季比一季不好看            
(3星)	 你们就折腾吧。            
(5星)	 始终在纠结中前进。。。继续排列组合            
(NA)	 刺激冰封的春心。            
(NA)	 和SEASON 4 say goodbye            
(NA)	 爱死B了            
(1星)	 砍了砍了 不看了 主角一个个都变得畸形怪状 S什么玩意 C越来越正派 B越来越幼稚 D算了吧 早点结束早好 最后么让B和C在一起差不多就可以结束了 主角们发挥你们的余热去拍别的好片吧...GG SUCKS!            
(NA)	 编剧你可以，最后J居然睡了C！            
(5星)	 Chuck!Chuck!            
(4星)	 其实真不讨厌jenny。wait till September            
(4星)	 Dorota给女儿起的名字跟柳金的全名貌似一样啊。当一群人在一起太久，彼此之间纠缠的history就乱成一团了。Taylor越来越有范儿了。不过最后当Jenny失去所有人却仍尽力不要破坏BC和好机会的时候，还真是心疼她。上季结束很开心，这季很down(除了BS的双人巴黎浪漫游)。            
(4星)	 TILL DEATH TEAR US APART            
(4星)	 第三季后来就没追了= =只想看最后大结局            
(3星)	 如此狗血，为神马我还不弃。            
(2星)	 越拍越脑残~~            
(3星)	 没什么好说的，追习惯了            
(3星)	 没一个人是靠谱的，越看越像中国电视剧 老牛拉破车。            
(3星)	 10/05/18 一整季就最后两集能看 不过但看最后两集也没什么因为又重新排列组合了一下 所以之前的所有可视为废            
(3星)	 放弃的剧。我老了 跟不上年轻人的步伐。            
(4星)	 时好时坏            
(4星)	 等明年春季全面回归！            
(2星)	 弃了，时刻关注BD  = =            
(3星)	 如果Dan和S再在一起，B和C没有在一起，我就弃剧了。            
(NA)	 编剧肯定嗑药了，要不怎么会写出这么匪夷所思这么high的剧情~~            
(3星)	 完全是为了BC            
