http://movie.douban.com/subject/2371879/	鹤啸九天
(5星)	 略显粗糙了，不过真的很喜欢陈丽萍饰演的还珠，很可爱，声音也很适合！            
(4星)	 当时我读四年级。。我在纸坊读书，爸爸在那里盖房子。每天晚上我们一起看这个。。盖房子很伤脑筋，每次中途放广告，爸爸就跑到外面竹床上想问题，一听到开始了，马上跑进来。。爸爸那一阵头发掉得厉害            
(4星)	 不错。童年暑假天天看。            
(4星)	 小时候            
(3星)	 ‘我要 我要傲啸九天之外’--无疑主题曲是最易勾起回忆的。敢爱敢恨的人物一直是比较得我心。所以俺比较喜欢里面的‘还珠’。另外，我是在凤凰台看的吧？是吧？是吧！            
(4星)	 我一定看过，虽然我已经只记得片名了            
(4星)	 不喜欢潘玲玲......            
(3星)	 哈 好早以前看過的啊 懷念            
(4星)	 侠骨豪情，歌曲深藏记忆。。            
(5星)	 经典！            
