http://movie.douban.com/subject/2170937/	天地英豪
(4星)	 很怀念的一部电视剧。。。。            
(5星)	 只喜欢第一部~            
(3星)	 只记得几个主演男主角的名字都怪的可以，还都是四个字的            
(5星)	 应该是很小的时候看的了，那时候有很多杨丽菁的武侠剧，对元彪印象也很深刻，没想到还记得这么清楚XDD  回顾中～～            
(5星)	 哎，全民武侠风的时代啊            
(5星)	 1998年            
(5星)	 有史以来印象最深的一部武侠剧,竟然还与老蒋的偏好有关~~            
(4星)	 杨丽菁是小时候绝对的偶像~            
(5星)	 我靠，这个终于让我找着袅，我那时候狂爱杨丽菁，男主角元彪俺不喜欢。            
(3星)	 小时候超爱看，也因为这部剧一直对杨丽菁念念不忘。            
(4星)	 很好看。。。            
(5星)	 小时候看的时候超级超级超级喜欢！！！！            
(5星)	 小时候看的，很喜欢的，前不久还问啦同学记得剧的名字没，没想到今个无意间看到拉啊            
(4星)	 看完之后对第二部挺期待的，可惜又失望了            
(3星)	 儿时的回忆很模糊但很舒意            
(3星)	 小时候觉得好看得不得了。。            
(3星)	 我记得男主叫司徒            
(4星)	 小时候的经典 纠结与两个专情男的取舍 杨丽菁            
(5星)	 杨丽菁啊杨丽菁            
(NA)	 幼时的记忆，当时喜欢片头片尾曲~            
(4星)	 我终于看完了这部高三没看完的剧，经典的情敌二人组啊让人无比怀念            
(5星)	 童年记忆啥的最美好了！！            
(5星)	 小时候的大爱 ，跟爸爸一起看的            
(5星)	 闽南语插曲念念不忘            
(NA)	 童年的回忆，印象极深~            
(5星)	 小时候的最爱            
(4星)	 儿时回忆+1~   一直以为杨丽菁是陈惠琳 赵老大实在是威武 三爷玉树临风 美中不足是剧情有那么点呆。。            
(4星)	 小时候的大爱啊！！！司马无情、欧阳无敌~~第二部都换人了，就不怎么喜欢了~~            
(4星)	 无情三绝斩            
(NA)	 小学时看过            
(5星)	 终于找到了 小学时候的最爱 好看的死去活来            
(3星)	 小时候好喜欢            
(4星)	 一直以为还有后续的。。期待了真是久。。            
(5星)	 漫漫记忆qr            
(5星)	 小时候喜欢的要命             
(5星)	 小时候超爱杨丽菁的武侠剧~极其少见的以女性为主角的武侠剧，第一部里的司马和欧阳这对惺惺相惜的“情敌”也很可爱！可惜好像经费不太够的样子，好几个演员都中途辞演，结果换人之后味道就变了。第二部连女主都换成了天心，受不了= =            
(5星)	 经典剧,,我喜欢~~~欧阳无敌司马不平,,后来变成了司马无情,,喜欢他们的3角关系            
(5星)	 小学的大爱，印象深刻，但就是没有结局好像。            
(5星)	 印象深刻            
(5星)	 好看啊好看            
(5星)	 小时候看了好多遍，主题曲甚是勾人啊~            
(5星)	 当时觉得很牛的电视剧            
(5星)	 一个可爱的赵燕玲加上司马不平欧阳无敌，都蛮不错的            
(5星)	 惦记了七八年的片子了，结局到底是什么呢？            
(NA)	 记住了赵燕玲            
(4星)	 司马不平（无情），欧阳无敌……&gt;&lt;            
(NA)	 另类武侠            
(NA)	 大学寝室里一起看的，汗~            
(4星)	 天上白云飘荡,地上人儿马蹄忙...            
(4星)	 小时候看的电视剧，蛮怀念的            
(5星)	 为什么要换人啊~为什么要换人啊~为什么要换人啊~~~~~            
(5星)	 太爱司马不平，可惜换人了            
(5星)	 小时候很喜欢的一部电视，去年翻出来看，还是感觉很好看            
