http://movie.douban.com/subject/6129693/	我可能不会爱你 我可能不會愛你
(5星)	两位主演都很喜欢，自然亲切，看到林的咄咄逼人怎么那么感同身受，总之无论剧情或主角给人平实真切的感觉，会追下去。方头狮的故事还挺励志的，陈还是最适合这种角色~好看是好看，就是他妈的太虐了，两个人明明爱对方，就是不在一起。尤其是男主，无论他在做什么，只要你需要，第一时间抛下一切出现
(5星)	相信这两个主演~~~
(4星)	不装傻就谢天谢地
(NA)	五年修得一个王小贱，十年修得一个柯景腾，千年修得一个李大仁。。。。电视剧有多美满，生活就有多操蛋。现实里没有李大仁，都说要千年了嘛，甭做梦啦姑凉们。
(5星)	从头到尾就是陈柏霖的一场虐恋，看着看着就心伤，后面几集每集都飙泪（好在最后大结局把所有缺失的甜蜜全都补回来了）。怎么说呢，如果在现实中遇见这样的两个人，其实旁人会恨得要死，因为他们明明深爱着对方，却要不带心的去约会别人。所以，你们还是赶紧在一起吧，不要再祸害别人了。
(5星)	现实中经常会出现的版本：你以为他是你的李大仁，可你却不是他的程又青！
(3星)	袁湘琴已经有了少妇感，可张士豪回头笑的样子依旧是17岁。此剧可以一看。
(5星)	以前都是林依晨“带小生”，很难找到一个实力相当彼此钳制又不过分压低对方的男一号。陈柏霖绝B不是偶像剧男艺人。他真正是个演员，不在乎出境帅不帅，他只在乎他的演技真不真。他把一股天然的怡然自得的气质带进了这个剧。
(5星)	nic为毛木有和丁力威在一起！！！！！
(2星)	这种清新到死的东西我实在看不下去，也不懂评价为什么这么高
(5星)	我的智商和情商都得到了尊重！！所有的设定都戳中我的萌点 嗷嗷嗷~
(3星)	这东西只能看到第六集，接着便陷入了错过，误会，欲语还休，磨磨叽叽，爱你不爱你，想见你见不到的电视剧怪圈里。等着看最后一集扫个尾吧。
(5星)	“程又青，如果我看过你看过的世界，走过你走过的路，是不是就能更靠近你一点？”
(4星)	不要让你的女喷油有蓝颜 因为她蓝着蓝着你就绿了 不要让你的男喷油有红颜 因为他红着红着你俩就黄了
(4星)	林依晨表现很好，陈柏霖很普通，丁立威很恶，如果将它缩到十集，少一些狗血的剧情就可以打满分了。不过这部剧除了一些爱情的道理外也有很多值得学习的关于人生的道理。
(NA)	陈柏霖同学说你先把门打开的那一幕华华丽丽地戳中我的萌点阿
(5星)	本来已经好多年不看台剧，而这部剧起先最吸引我的原因也不过是因为陈柏霖以及豆瓣罕见的高分。结果追到倒数两集就开始飙泪，编剧把李大仁这个角色的设置得实在太过虐心，长大了的张世豪还是这么迷人温暖。整体四颗星，为了陈柏霖，加一颗。
(5星)	这是我二十年来看过的最好的一部偶像剧，没有之一。
(3星)	- - 为毛分数这么高？
(5星)	一口气看到第7集了。我生命中只出现过丁立威，却没有李大仁。好挫。
(5星)	我可能不会爱你，因为，拥有就是失去的开始
(5星)	依晨和维尼合作的真是很完美，突然觉得依晨和柏霖比小综更有爱呢！
(3星)	其实....完全没有戳到我的泪点，是我太奇怪了吗..........................................
(5星)	赞的是虐的过程。。结局非常不喜欢。。。
(3星)	看前五集就足够了，如果维持住前五集的感觉这就是偶像剧界的奇葩啊…往后面完全木有精髓了T_T
(3星)	看惯美剧的人追不起台剧
(3星)	那么多人说好看，我觉得很无聊是为什么？
(5星)	最后一集可以在不开心的时候重复看重复看重复看
(4星)	其实是三星半 中间一度觉得看不下去 幸好只有13集 BGM不喜欢 全剧最爱的是程又青她妈 演技最烂的是林依晨 长相和口条都没有说服力 丁立威形象牺牲太大没必要 就不能显出大仁哥的好啦  然后就是 大仁哥 你不值得拥有
(5星)	喜欢动情不煽情的剧情，喜欢自然的表演，喜欢音乐，喜欢漂亮的衣服和鞋子，喜欢小剧场，喜欢有个性的各色人物，在这个日韩剧乏力的秋天，台剧的新高峰来了。
(4星)	这种水准的偶像剧，台剧十年方熬出一部。让高帅富却眼睛总被屎糊住的男主、矮呆穷却总走狗屎运的女主、连名字都散发着炮灰气的女二、永远将深情当肉包子送给狗一样女主的男二……统统见鬼去！！
(5星)	青梅竹马啊！！！！！！哀家最萌这个设定了啊！！！！！！
(2星)	处处夸张的电脑P，这也叫生活？啥叫生活？就是工作吃喝拉撒睡但是你见哪个电视剧这么演？所以也就别打着生活化的名号装逼了。外边这种题材还一抓一大把呢。林依晨弯弯演员弯弯演技。
(5星)	谢谢你们，代我们，与自己[最好的朋友]结婚。
(4星)	啧啧，其实我比较喜欢丁立威
(5星)	开始觉得每一集都是部精妙的文艺小电影 和缓却又流畅的剧情走向和无数共鸣的台词 但当史上最招人讨厌男二登场 一切不可遏制地开始向偶像剧惯有的狗血迈进 好在结局不落俗套扳回一城 史上最佳台湾偶像剧 没有之一【这十来年陈柏霖除了张士豪再没有让人记住的角色了 现在李大仁这三个字应该成为新坐标了
(5星)	　”靠山山倒，靠人人跑，靠自己最好“ 这个很有道理
(4星)	这部剧最大的意义在于让很多程又青发现了身边的李大仁，只是不是每个李大仁都长得像陈柏霖……★★★★☆
(4星)	不知道有没有这样的人
(NA)	友邻说要给它打一万分。我慕名去看，结果咬牙挺完2集，结果发现狗血不要钱，随便撒啊。。张世豪还是那个张世豪，但是湘琴依然成为30岁倔强霸气侧漏的没看点的初老了。。忠犬VS女王也不是这么玩的吧。。
(5星)	前几集真心惊艳呐，但事实证明编剧还是撑不到最后。弯弯偶像剧也就这样了吧～“爱是天时地利的迷信”，说的的确是这个道理。
(5星)	《我可能不会爱你》，真的不是一部我们概念中的台湾偶像剧，它更像是一部被拉长了的文艺爱情电影，真的可以让我们一看再看。
(4星)	我才十七岁，看个偶像剧什么的。是可以被理解的吧。
(5星)	哇，各种好看，可以给八星嘛？。
(5星)	谢谢你，镜子先生。
(4星)	1/2李大仁 可否求一求
(4星)	还好，我没有遇到他，他不会对我说我可能不会爱你。你从来都不是我的李大仁，我更不是劳什子程又青。这世上根本没有去他妈的蓝颜知己，暧昧到最后输得总是最晚发现的那个人。30岁的班长和副班长，让我们看见17岁的张士豪和袁湘琴，还好，那年我们风风火火地爱过年轻过，原来，这比一切都重要。
(3星)	看金世杰就够了~
(4星)	陈柏霖好帅 and 最后几集稍微有点拖沓
(5星)	以为林依晨不会演戏，看后有改观。
(5星)	我可能不会爱你，因为，拥有就是失去的开始。
(4星)	真的是很烂的求婚诶，不过林依晨鼻子一酸飙泪的演出好自然，好感人。整部剧满理想化的。李大人这种男人更是少之又少吧。
(5星)	能轻易拥有一个李大仁，还不赖
(5星)	這部劇成功之處在於用了陳柏霖這個演技完全是電影級的演員！
(5星)	❤李大仁★★★★★
(4星)	是我可能不会爱你，而不是我不可能会爱你；我可能不会爱你，我可能是自欺欺人。
(3星)	可能是期望太大 有点失望 没有想象的那么好看 一般般 就是题材比较特殊。可能是陈柏霖老了 可能是我不喜欢李大仁温吞吞的性格 搞得我悸动不起来哇~
(4星)	是的我追下来了！而且还打算开看有林依晨的其他台剧……（25岁后的人生没有底线）
(5星)	我可能不会爱你。但是我也有可能会爱你不是吗。
(5星)	李大仁这个小孩真是好命！哭死我了！！！
(3星)	说实话 没那么好看 有什么好看的 不就是一般剧的套路
(4星)	剧本很好啦 前半部分都挺好的 只是后来林依晨哭的很干有点影响情绪的连接 陈柏霖演技非常自然 总的来说故事不错 只是 丁立威那个角色被设定的有点惨 为了「成全」男女主角的爱情 变成一个不仁不义的人 台剧近年来难得的佳作
(5星)	不是每一个女攻，都能碰到一款为她量身定做的男受  
(4星)	真正的狮子女是不会爱上李大仁的，大仁对狮女而言就像早已被驯服的猎物~失去了新鲜感，只有丁立威那种时而霸道时而撒娇的具备天蝎座属性的男人才会充满难以抗拒的诱惑，所谓高手过招，必有一伤！程又青你完了！
(5星)	竟然有不脑残的湾湾偶像剧 尼玛还透着小清新 赐我个李大仁吧 (ˇˍˇ） 
(5星)	当初说好的如果没在一起就差评！
(5星)	陈柏霖超帅有没有！好好看，超级想要李大仁！！
(4星)	就真的还可以看看啊 起码不矫情吧
(5星)	编剧最后一集突然把丁立威写成这样，弄得剧情突然无聊起来了，不过对白的精工洗濯、剧中剧的催人泪下、首尾的便签箴言都算得上是一部好剧了，这绝不是一部普通的偶像剧。
(4星)	等了13集终于在一起了 你们可以再让我等久点的
(5星)	看完《我可能不会爱你》真心的满足，虐了十二集在最后一集全部还回来了。太感谢编剧大人了，我决定重新相信爱情相信友情，相信所有学会如何去爱的力量。謝謝你们，程又青和李大仁。这是现实中最完美的感情。
(4星)	时长三个半月，终于看完了。最后一集，真是似曾相识……
(3星)	真是覺得１０集就能拍完的東西　拖太長了吧　　期間想揍李大仁Ｎ次　王陽明真的很帥～
(5星)	老娘这么大岁数还被一部暗恋修成正果的戏码搞得这么感动万分真是有够丢脸……说偶像剧是女生们的A片还真是无比正确。没有女生能抗拒得了这样的李大仁，但不是每个男生都愿意爱上这样的程又青。
(4星)	哎哟，姐居然哭了。
(3星)	对完美起疑，对不完美深信不疑。
(3星)	依旧有狗血，也还是一部童话。只不过这是部还不赖的童话，只不过我已经不能轻易地将自己带入。
(5星)	超级无敌好看！！
(4星)	这种感情超美好的，看完更加坚定了自己绝不将就的爱情观。P.S.初老症状我居然大部分都有T T
(5星)	这部戏要对我以后的爱无能负起重要的责任，因为李大仁太容易让别的爱人成为炮灰
(5星)	男生看了心里全是些小感慨小情绪，女生看了尼玛肯定满脑子都是李大仁
(4星)	陈柏霖很帅
(3星)	我不是程又青，那还是别让我碰到李大仁了。  
(3星)	真的，我仿佛就是那个长大了的袁湘琴，但不知道你是不是当初那个张士豪。
(4星)	啊呀陈柏霖完蛋了……就这样半红不红的状态……
(3星)	沒耐心...
(3星)	11集看到一半再也无法继续
(4星)	结局有点平淡了，开头总是最让人着迷
(4星)	结局好温馨……羡慕这样的幸福……
(4星)	大仁哥我爱你，大仁哥再见~
(3星)	所以请两个娃娃脸来演成熟知性的 偶像剧 是搞毛啊 林依晨在讲大道理感悟人生的时候 觉得有点做作 另 朋友就是炮友勇敢的上吧╭(′▽`)╭(′▽`)╯ 【为什么大家都给这么高分 搞得我都不好意思了 ( ﹁ ﹁ ) 
(5星)	你以为他是你的李大仁，可你却不是他的程又青。现实比电视剧残酷得多。
(NA)	剧情很fresh 演员很cute  Nic第一次自我介绍的时候我听成nake 果然越来越有邪恶老女人的fu (≖ ‿ ≖)✧  最后一集真是甜蜜的可耻啊！！！ 
(4星)	败犬女王之后就没看过台湾偶像剧了，这一部，想看。
(NA)	反复触发泪点，这货不是偶像剧，这货是小清新！
(4星)	我想说我弃剧了，越来越拖沓，走向十分无语。印象留在前几集吧，那就真的是很美好。虽然我身边没有李大仁。
(4星)	有些事情会不会在我们拥有的时候，就已经开始在失去了呢？
(4星)	是不错~呵呵~
(5星)	你现在懂了么，拥有不是结束的开始，那些怦然，永远都在。再见，李大仁。
(5星)	很真实，很自然，对白很有内涵，很喜欢……喜欢林依晨，喜欢陈柏霖……
(5星)	让我们看到自己30岁的模样，30岁的程又青理智却又感性，散发着淑女的魅力，却依旧在爱情的迷雾里，还好有个李大仁~~也许这是每个女孩心中的梦，也是梦里的痛，因为，我们知道，我们没有程又青幸运。
(4星)	陈柏霖好像没那么帅了，可是一笑起来那是很迷人，不过我还是弃剧了，不喜欢的女主角真的么办法
(4星)	还不错，有些情绪和小细节挺好的。只是想说，许多道理其实不需要那么多的台词一字一句的念出来。虐了12集，最后一集甜蜜的我想哭啊！PS：陈柏霖一演偶像剧就树立了弯弯偶像剧男主角的一个高度。
(4星)	陈柏霖好帅 = = 台剧控神马的
(5星)	让丁立威退出的戏码太做作了好吗又哭又笑最终话特喜欢程妈看她好几部戏了都特喜欢她柏霖子什么时候再来北京。。。。。
(4星)	难得偶像剧也有点深度
(3星)	不好意思无感
(5星)	17岁的我是什么样呢！看了第一集我一直问自己。   好久没看这么让人舒服的台剧了！感觉编剧很用心啊，内容很真实。监制好像是纽导演啊，片子应该不差，推荐，2大主角也演的很是生活，真心觉得不错！
(4星)	心情低落时看这种矫情的东西大概就能重拾对情感保留的期望吧，差不多快要到了梦回萦绕的午夜时刻。我其实不喜欢这场雨，凉透了！其实也该抱有感恩，每一次踏踏实实的死了一回。我应该仔细思量反省一下，为什么开始都那么妙曼，最后还是那么糟糕。我不是输给了时间、情感、外界、旁人，而是自己。
(4星)	听说每一个看完此剧的豆瓣妹子都会嚎一句：“嫁人当嫁李大仁！”看了这部剧，才知道多少人以友谊的名义爱着一个人。这种爱既温暖又憋屈。我想，好朋友之所以成不了恋人的原因，一是害怕这一切都是自己的一厢情愿，担心被拒绝；二是觉得说了以后就等于失去了一个朋友。总之爱情啊，要也不行不要也不行。
(2星)	我是有多无聊啊 跟着仓库的太太们看这种片子
(NA)	比一般台剧高出一个档次。前面很文艺，中间趋于烂俗肥皂剧，happy ending很动人。但是，我觉得，李大仁和程又青这两个如此暧昧的人就不要出来祸害人类了好吗？！喜欢Maggie and Nic。
(5星)	大仁哥 我可以给你打10颗星吗 TAT 
(4星)	其实到最后不觉得丁立威渣，反而觉得他蛮可怜，毕竟如果真是李大仁和程又青这样的存在，两个人自己玩就好了，不要带入第三方第四方最好。友情跨界这种事，虽然捅破窗户纸的过程很微妙很暧昧，但我还是喜欢友情跨界的情况，毕竟双方的深入了解远比刚认识的迷恋好的多。
(4星)	很难得，终于以前电影和电视剧里面永远是男二或者男三的＂好男人＂这一回终于当了男主角，还要是陈柏霖来演，几乎满足了很多女生的不切实际的幻想，但是剧情有点太拖沓了，而且我就在等又青在发现自己爱的是大仁的时候怎么跟丁立威分开的，没想到是这么狗血（其实那秘书一出现就有感只是没想真这来）
(3星)	越到后面越烂俗，矫情的让人恶心；有王阳明的地方就看了，出现李大仁那张包子脸的马上快进。
(4星)	能成为密友 大概总带着爱
(NA)	受不住
(4星)	意料之中的矫情，但是意料之外的真情，因为有过相似的经历，所以蛮有共鸣……但如我一样走过这段岁月的人还是想说，前半段李大仁是大傻子！！后半段程又青是大傻子！！！丁立威出现后剧情开始拖沓，片尾也拖沓，但是剧中人的琐碎幸福总是会给我这种观众以虚假的共情感……于是还好
(5星)	几年都不看台剧了，受不了王子公主的套路，这部朋友极力推荐，结果一看就看进去了，里面很多舞台剧的剧情表述方式非常喜欢。
(5星)	1.林依晨的声音终于恢复正常了，我真讨厌她在恶作剧之吻里的声音，特别贱。2.老天赐我一个陈柏霖...低调的...
(3星)	为什么会有这么高的分，为什么会有那么多人说好看。我觉得挺一般啊，可能是我对台湾偶像剧不感冒吧。。(￣▽￣&#34;) 
(NA)	看完感觉编剧把前12集不能亲的份都补到最后一集去了（够
(5星)	现在你懂了吗，拥有并不是失去的开始。陈柏霖和林依晨两人的演技真是入骨子里了。
(5星)	李 大 仁 ！！！大 仁 哥！！
(4星)	两年内唯一看的完整的一部国语电视剧。这部真的还算不让失望。张世豪和袁湘琴长到了30岁的故事。陈柏霖的气质果然太适合演李大仁这种烂好人，林依晨在这里面算是颠覆性挑战了下摆脱了袁湘琴的影子。不过台剧里的小女生说话实在是太嗲，每次说话我都要酥一身鸡皮疙瘩。(﹁&#34;﹁)
(4星)	这剧应该叫有备胎真好
(4星)	娘西皮的。。。终于看完了。。。。媳妇们我做到了。。。。
(4星)	我可能不会爱你其实是我很爱你，最后一集甜蜜死了~
(4星)	如果你不是陈又青 绝不要爱上李大仁
(5星)	至今最好的湾湾剧
(5星)	本来我准备给3星，剧情只能这个分数。&#34;初老症状&#34;的文还不错，加一颗。最后一集彻彻底底的感动我了，好吧！程又青李大仁，五星。
(4星)	一直有话聊其实什么也不能代表啊
(4星)	这个世界上根本就没有李大仁嘛 不过还好我也不会是程又青 ╮(￣▽￣&#34;)╭ 
(4星)	很久没有看台湾偶像剧了 依旧觉得林依晨很丑…因为这个名字所以才看 看着还不错，再继续看看 
(4星)	每个人的心中都有一颗小清新~
(5星)	還有續集
(5星)	终于看完了～陈柏霖好萌喔……
(5星)	李大仁实在是太贴心了
(4星)	都市里，每个人都在寻找着爱情、努力的为自己配对着最适合的另一半。总是跌跌撞撞的，才发现，原来那个人ˉ早就在身边、默默地守护着……　
(5星)	我爱李大仁！
(3星)	直接看了结局以后就不是很想看过程了。←【看台湾偶像剧的通病
(3星)	李大仁，你这温吞的性格真的很耗费时间馁，说句我爱你会死人吗？ （还是不太明白得分会这么高，也就是一言情剧吧。闷骚的感情大家都那么向往？）
(5星)	最后一集要不要那么甜蜜！
(5星)	我猜中了这结局，却没猜中这过程。电影结束，静静生活啊，世上并没有李大仁……
(5星)	谁不想有一个李大仁
(NA)	结局我总算满意了。 
(4星)	╮(￣▽￣&#34;)╭  一开始觉得挺好的 到第10集我实在看不下去了 一是替李大仁捉急二是实在不喜欢程又青的性格 看谁都不顺眼。。。而且那个丁立威烦得要死 看来 虐剧能接受虐过头的我就看不下去了。。。。
(5星)	塌嘛真够虐的
(5星)	精致 清新 我想说WW拍这类剧已经到神出鬼没的地步了，赞！林依晨和陈柏霖都演技帝了。
(3星)	就是偶像剧嘛╮(￣▽￣&#34;)╭林依晨年纪越来越大，要是演技再不长进......
(5星)	苍天！
(3星)	虐死人了，建议看了第一集直接看最后一集
(5星)	如果我看过你看过的世界，走过你走过的路，是不是就能更靠近你一点。
(5星)	有说不完的话，和永远在你身边的坚定。欸，李大仁，你笑起来眉眼皆动。
(5星)	赞啦 我这么没耐心的人，可以看下来，本身就是个奇迹，不过男二出现的也太晚了吧……
(5星)	小剧场的一场话剧··信····
(4星)	跌跌撞撞终于跟完了。很久不看偶像剧，特别是台湾的偶像剧。我可能不会爱你，给了我久违的感动。青梅竹马的故事有种莫名的亲切感，专情又怂的男主角让人既爱又恨。看来看去总像在看自己的故事，那些远去的青春，那些回不来的从前，既近又远，兜兜转转，一切难以触摸却像在眼前。用一部剧来为岁月祭奠
(5星)	结局好幸福啊
(5星)	年末的一缕阳光
(4星)	蛮好看的，一反台剧的NC风，林依晨居然都能演出了女王御姐的气质，人果然都是在不断成长的。。。
(5星)	有你，真好~~~被这句话感动到不行，看到大仁的羞涩的笑容，抵挡不住啊啊啊啊
(3星)	拖得一逼 台湾演员还是普遍不会演戏
(4星)	笑过 哭过 天也快亮了。//最后整个甜蜜得好像在伤口上撒糖哦，颗粒好粗，可是真的好sweet。
(5星)	爱情真是美
(5星)	在一起多么不容易 又能学到那么多东西/每个人都希望爱 但是为了爱又努力了多少呢 /中间有拖沓差点弃了=_,= /都说我不是程又青但是我想要一个李大仁 但是我是程又青 我没有李大仁 可能就要找丁立威过一辈子了吧 /拥有就是失去的开始 尽管这样 还是想要拥有
(5星)	全剧终时，我们微笑着找不到语言。剧中人圆满了，自己也仿佛走过一段旅程。
(5星)	台剧的标杆
(5星)	周末赶紧把这部剧追上，真心觉得好看。
(4星)	终于看完这个在我24岁生日那天首播的剧。再精明干练的女人在爱情里都会变成一个小女生。可是最后一集拍的太甜蜜了吧 我有点接受不了。。。。
(5星)	程又青和李大仁正走在通往幸福的路上。大結局看得無比爽！前面虐了十二集，最後全部還回來了！史上最爽的大結局
(4星)	一开始非常不错，配乐、镜头、细节处理的很好，后来变得拖沓
(5星)	又发现不是纯偶像剧，还挺励志~
(5星)	最后两集各种眼泪
(4星)	很多时候我们的身边并不缺少李大仁这样的知己，而我们也总有任性又骄纵到程又青这种程度的暗恋对象。但我们毕竟喜新厌旧的太快，抱怨时间不对，彼此不够了解。在经历了一段又一段自以为很对的恋情之后，我们吸取的都是从那些”好朋友“身上残留而来的习惯。是什么让我们不再新鲜，缺失比拥有历久弥坚。
(NA)	第一集真的巨好看，后来觉得真的巨拖，都是为了最后一集全力释放吗！！！！！
(5星)	当身边的女孩都在追这部剧，本不爱看电视剧的我看到陈柏霖的参演却也没有办法拒绝。我想有很多自认为是程又青的女生默默的期待一个像李大仁的闺蜜兼爱人。讨厌丁立威，永远不会爱丁立威一样自私小气烂桃花的男人。程又青善良、独立、理智、能干，虽然会偶尔在爱情中失落跌倒。最后伴着泪水看完。
(4星)	因為綠野說程又青像我，於是我去看了這個電視劇。確實不論是在面對職場還是感情，她都和我很像。用某的話說“工作心眼太多，戀愛心眼太實”，她有很多的，大概該說是“可憐的驕傲”罷。其實我有過試著去說服自己，看能不能接受我生活里的李大仁們，可是答案還是不行。但我想我的未來，可以都靠我自己。
(5星)	有时候觉得自己是那个程又青，然而已经过了遇到李大仁的年纪。
(4星)	好爱陈柏霖 &gt; &lt; 。。。 T U T
(5星)	啊哈哈哈哈哈哈哈哈！！！！！！！！！！
(4星)	最后那只汪酱是全剧最萌啊！
(5星)	像电影一样的偶像剧 喜欢！
(4星)	今天灰常不勤奋  看了个剧。。都看完了。。。。
(3星)	打个合格分，因为它虽然减少了偶像成分，但毕竟还是一部偶像台剧，这一点从那些夸张的配乐、繁复的人物关系、多余的旁白就可以看出来。当然，也可能因为干净利落、深刻经典、值得一看再看的《东爱》在先，我才那么挑剔，不过打五星的一定很多都没看过《东爱》吧。
(5星)	看完《我可能不会爱你》，终于搞清楚了自己对于电视剧的最高评价，就是，想看续集。第一次是《奋斗》，第二次是《裸婚时代》，这是第三次。
(3星)	陈柏霖，我真的不喜欢诶
(3星)	林依晨你打算满脸爬满你的法令纹的时候还扮演这种缺心眼角色么？不过这个也是进步了
(5星)	这真的是我看过的最好最好最好的台剧，陈柏霖这个咖我爱定了。
(NA)	满眼的kose雪肌精@-@
(5星)	9分
(4星)	很有诚意也很成熟的偶像剧 有脱离现实的部分 但贵在自省 15年里痴心不改守候一份感情 这样的事生活中不是没有 但实在罕有 看到程又青和李大仁修成正果 你会由衷地为他们高兴 幸福不是那么容易能得到的 而且还需要费心经营和保护 有爱就有失望 囚徒没有自由 单身的人儿们加油！
(4星)	我也有一位相似的最好的朋友。
(5星)	作为偶像剧，够NB的~
(5星)	当张士豪长大成为李大仁 袁湘琴长大成为程又青
(3星)	作为一个爱无能，看这部片子简直就是浪费时间了
(4星)	有所启发的好剧
(4星)	主题歌听了10多遍以后，感觉还不错，叫《翅膀》。晚上打开电视，看到这个女的拿着一包“苏菲”连摸带亲，上下其手，我才一拍大腿，恍然大悟：搜嘎斯内！翅膀是因为这！PS：林依晨很可爱，尤其是哭的时候
(5星)	麻烦你，请给我一个李大仁！
(5星)	依晨好漂亮。。好看。袁湘琴和张士豪都长大啦，真好～
(NA)	拖沓，细腻，单调，不乏泪点
(5星)	结局简直浪漫到爆。。。::&gt;_&lt;::。。
(5星)	我想我可能不会爱你
(5星)	拥有是失去的开始，不是惧怕，而是在尝过拥有的甜蜜滋味后不愿再失去。如果我从不曾得到，也不会念想至今，是的，我后悔了。
(4星)	程又青和李大仁所追求并最终实现的这种爱情也真是我羡慕和想要的，是朋友，但又不止是朋友
(4星)	哪有什麽多「最好的朋友」，程又青一直都在自欺欺人，李大仁又無敵磨嘰。看完這戲，再次認證了「結婚」這個東西，急不來也不能強求。要「愛」，要有說不完的話，要相處自然，才能歷久彌新。這出戲充滿共鳴的原因，或許就是因為它真的與現實非常接近，至少我感同身受了。
(4星)	看这部剧让我想起了一个人，不知道她现在在哪个城市？在干嘛？和他结婚了么？
(NA)	纪念我第一部没有跳太多的偶像剧...
(3星)	3集弃，如果换个女版李大仁或许会看下去﹁_﹁ 
(5星)	小剧场的戏感觉非常好！陈柏霖，你太TMD帅了，老子因为你变成花痴了！！！
(5星)	果然不凡。
(4星)	多少年没看台偶，这部真的超好看，台词很好，拍得也很好，怪不得陈柏霖同学要倒回去演偶像剧。最后想说，《那些年》真的很一般啊，不信看这部剧啊
(4星)	我可能不不会爱你。
(5星)	鉴于男主女主，以及狮子女，以及男主在现实肯定是个gay的一切条件，不可能不好~ 可是~~~直树呢！！！！！！李大仁你放开湘琴！！！！
(5星)	这算是我6年多以来完整看下来的第一部台剧了吧。结局有点仓促，梗也转得很狗血，不过，是一部好剧。
(5星)	很文艺的一部剧却有点不现实 虽然结果从第一集就能预料到 不过依旧看了下去. 陈又青还是在乎moment的 否则他不可能因为埋藏了15年的真相而动摇了自己. 这是部好剧 因为告诉你等待 是会有结果的. 同时这部剧却会带来最大的后遗症,就是让很多人觉得 原来男女之间 是真的没有纯粹的友情的.
(NA)	这部剧.....表个白都能纠结十来集~~果然是写给女人看的剧，看着都不耐烦了，这么那个李大仁这么龟毛，喜欢她这么久直接把她摁在墙上强吻不就得了
(5星)	我们和他们好像 他们和我们好像 所以.....嫁给我吧！
(5星)	李大仁&gt;Herny&gt;丁立威。才发现林依晨好漂亮。
(4星)	最好的朋友迈不出去的那一步是怕没有后路可退 
(5星)	在张士豪成长为李大仁这段岁月里 我也真的成为对完美起疑 对不完美深信不疑的人 
(4星)	普通朋友的朋友，QNMD的朋友！
(5星)	这是我看过的最好看的台剧，一半现实一半文艺，并且有大家都希望的美好结局。不好的是，它让所有女生都幻想着自己的李大仁。
(3星)	多少年没看过偶像剧了 哦呵呵
(4星)	高开低走的感觉。遇到这样的大仁哥就嫁了吧！
(5星)	小清新。柏林兄：“怎么办，我从来没跟好朋友上过床诶……”萌死了~
(5星)	剧终了 很不舍地将最后一集看完..「我可能不能爱你」这部电视剧好高质素 好久都没有看过这么好看这么喜欢的剧集 总觉得每一集都很电影般..有质感又触碰人心 总之我个人最想看的都在十三集里 可能一到十二集没亲的都在十三集里一次亲个够补回来 最后..好朋友和好朋友相爱了 很甜蜜很浪漫很温馨很圆满。
(4星)	用拍电影的方式去拍电视剧，事半功倍。
