http://movie.douban.com/subject/2249632/	隔世追凶
(4星)	 2004年的穿越型警匪科幻片            
(3星)	   TVB的港劇還是蠻黏人的，看了一下午，郭晉安真能演。            
(NA)	 我不能接受这个结局啊~~~竟然没有回到原先的轨道。不过，是啊，回不去的。            
(NA)	 为嘛电视里被改名叫父子同心。            
(4星)	 …觉得雷雷的时空穿越剧还不错 m主題曲            
(4星)	 清明休息在家看看，竟然相当不错            
(4星)	 看完这个有点喜欢郭了。。。            
(4星)	 陈慧珊在里面不好看            
(4星)	 不错啦 很久之前看的 看惯了郭晋安演傻子 演精明的警探感觉怪怪的 话说陈慧珊还是很有气质的~~            
(NA)	 喜欢郭晋安啊  安徽卫视播的时候叫父子同心            
(4星)	 就该面对自己的腿            
(3星)	 穿越啊……我SHI了！            
(3星)	 陈慧珊的头发像是烤焦了一样            
(4星)	 前面看得很有意思,改變高珊命運那裡開始 糾結得我 ..            
(4星)	 狗血大片！            
(4星)	 前半部分不错，后边就真的太扯了，因为破案的关键都是架空的所以案件本身没多少看头，重要的是隔世很有看点。            
(4星)	 哈哈..我喜歡穿越...            
(5星)	 第14集，时空转变了……我也崩溃了……不过总体来说，还是喜欢郭晋安和陈慧珊在这里的组合，也喜欢Morning Sir和他父亲之间的父子情，很感人！            
(4星)	 三星半~ 喜欢之情活泼开朗积极向上、富有想象力的高珊~ 前部分不错，后面可惜了。            
(4星)	 蝴蝶效应啊。            
(NA)	 看了几集...弃了.            
(5星)	 情节很好，人设也很好            
(4星)	 我曾爱过郭晋安。            
(4星)	 郭晋安和陈慧珊一对，怎么看都不像            
(NA)	 记得挺无聊的,整天在打那个电话......            
(3星)	 后面很扯...            
(4星)	 整体来说还是挺不错的，可惜编剧的智商不够，越到后面越乱，根本没有逻辑了。            
(3星)	 14集开始比较精彩 前面真是看得昏昏欲睡            
(4星)	 虽然我讨厌郭晋安            
(5星)	 印象深刻的港剧之一，今天看电视台放古灵精探想起来这部，比新剧好多了            
(3星)	 看了两集            
(NA)	 tvb版 黑洞频率            
(3星)	 结局看了很郁闷啊。            
(3星)	 还不错，看到最后，他爸爸当了和尚那儿我囧了            
(4星)	 看的我难受呜呜            
(4星)	 穿越，，，老港剧            
(NA)	 蛮喜欢他。            
(3星)	 17集以前的好..            
(4星)	 看完一部又少一部。            
(3星)	 后半段不行啊~~            
(4星)	 后面的编的不好            
(3星)	 Mini喜欢的穿越剧，话说其实有点吓人。大三看的            
(4星)	 有点小悬念            
(4星)	 這叫題材新穎~            
(4星)	 morning sir            
(4星)	 一直很喜欢陈慧珊的电视剧，郭晋安的演技也不错。            
(4星)	 很新鲜~~~            
(5星)	 特玄乎···结尾不好··            
(4星)	 我想看看18年前的自己有多傻-0-            
(4星)	 nicole变得奇怪morning sir            
(3星)	 前半部不错，后半部突然变成了蝴蝶效应式的剧情让人很莫名            
(5星)	 好看            
(5星)	 這個片子很有噱頭!            
(5星)	 剧情还是稍有创意，在TVB如此众多的经典探案剧集中，还是较有自我风格的。            
(5星)	 郭晋安同学的片子都还不错~~~~~            
(5星)	 出乎意外            
(3星)	 http://www.imdb.com/title/tt0799274/            
(4星)	 这部电视剧看了很多遍，剧情的发展实在出乎所料，特别是高珊能走路以后。            
(3星)	 很喜欢前半部，后半部让人有点无语            
(4星)	 接着电话抓犯人?            
(3星)	 又是虎頭蛇尾……Flora後面扮那個Nicole,哎~~            
(3星)	 TVB都是用来打发时间的。            
(NA)	 在杭州青旅看了几眼，回来抱着电脑看完了            
(5星)	 太爱这部了            
(5星)	 这部当年很喜欢            
(3星)	 父子情深            
(4星)	 很不错            
(4星)	 2005            
(3星)	 好多地方讲不通            
(NA)	 没看完，不是因为不好看。            
(4星)	 5月10日            
(4星)	 前半段很精彩，后半段不推荐            
(5星)	 除了刑侦，就是爱他了。就是喜欢穿越什么的。            
(3星)	 编剧太外星了……但是flora演得真是好啊，很外星很外星，看了你会很郁闷            
(3星)	 。。我可以当编剧了            
(3星)	 男女主角都一般靓，不过桥段还好了。            
(2星)	 后半部分的情节太傻了            
(5星)	 似乎忘了这么部经典的ＴＶＢ之做，超级感人，而且说服力强！ＳＯ强～ＳＯ佩服～            
(NA)	 还好。33在里面的造型真的有点。。。            
(5星)	 2004年首播的，还记得当时每晚都准时坐在电视机前收看，现在重播还是觉得非常好看，情节跌宕起伏，悬念感很强，主题曲也很好听^_^            
(3星)	 这不是电视版的《黑洞频率》？            
(4星)	 伟大的父爱            
(5星)	 在当时来说很新颖，一个人半夜看，还有点吓到            
(NA)	 HE            
(4星)	 這個算我看過很久的戲了 至今難忘這劇情 可以算個小經典吧  郭晉安演技不錯 也不差機會 爲什麽就是不溫不火呢            
(4星)	 玄乎的，理念翻拍自一部外国电影。            
(NA)	 下午在江苏综艺看到了，接档古灵精探B，又是郭晋安，还有陈慧珊，看发型看手机知道是老片，豆瓣一看是04年的了，TVB当年还真是奇思妙想啊~电视看到15，上PPS看了16，剧情貌似不错，没耐心重头完整看，还是忍不住看了分集介绍。            
(4星)	 看的就是千篇一律啊            
(4星)	 又是烂尾啊卧槽！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 又找到了小时候看TVB的感觉！            
(NA)	 一起暑期嘛~            
(5星)	 一切都停留在14集之前该有多好啊！后半段让人看的真的很纠结，结局也很牵强，但冲着这么多实力派演员还是打了五分。以前一直觉得陈慧珊总是以一副知性女性的形象示人，但这部戏后觉得她不愧为当年的四大之一，把高珊的那一团火点燃的淋漓尽致。            
(3星)	 隔世的救赎             
(5星)	 当年。。挺有意思的。。。            
(2星)	 真心没什么爱            
(3星)	 剧情精彩度：前半部不错，高珊改命运后直线下落            
(4星)	 聚精会神的在那看剧情介绍。。。那个时空错乱啊。。。看得我要崩溃了，果然是智商不够啊            
(3星)	 我想这一定是我初三买盗版碟看的那部电视剧。。。其实挺有映像的，因为那时候很喜欢这种关于时空的东西。。。当时的名字不叫现在的这个            
(3星)	 如果主角是郑嘉颖和周丽淇的话我会更喜欢的            
(4星)	None
(5星)	 TVB好多经典剧            
(4星)	 除了herman的催眠术有点扯之外。。。            
(3星)	 黑洞频率的翻版吧。。。不过这次历史改变的比较匪夷所思，女主角直接换了一种过去。结尾的对话也太禅了，什么轮回啊，什么注定啊，什么因果的。。。            
(3星)	 当时觉得梗还行            
(4星)	 我们都曾想过如果可以回到过去改变过去就好了 其实也许改变了反而没有不变好            
(4星)	 在7年前来说这个片子确实不错            
(4星)	 不错，小邓也挺有意思的            
(5星)	 这部真的看了好多遍了。。。蛮新颖的叙述方式~~~~好看            
(4星)	 还是很不错啊            
(NA)	 在电视上断断续续看的，立意不错可以一看            
(3星)	 前半段非常好，自从大河救了小时候的高珊之后，一切都变得如此狗血。            
(5星)	 纠结~喜欢前半部分，可是要是没有后半部分的转变，这片就又流入俗套了            
(3星)	 陈慧珊的发型丑到爆。            
(4星)	 类似与黑洞频率            
(5星)	 不知到为什么有邓健弘我就觉得好新鲜            
(3星)	 又是郭晋安的神奇刑侦剧，看完才知道原来自己把这部和谜情家族搞混了。            
(5星)	 歌还不错的            
(4星)	 N年以前看的 当时觉得很好看            
(3星)	 其实还行，当年我是一直追下来的。不过构思明显抄黑洞频率，而且相对应的篇幅长了，硬伤就多了。本想打7分，犹豫着打3星还是4星。不过觉得现在7.5的分比我预期高了，就打低的3星吧。            
(5星)	 喜欢陈慧珊 非常喜欢啊            
(4星)	 其实很好看的            
(3星)	 有点雷，但是父子蛮感人的            
(5星)	 好看！            
(4星)	 后面那截能不能不要了啊？            
(4星)	 喜欢港剧的理由。            
(4星)	 这故事情节还是蛮神奇的~~            
(4星)	 今天看到电视里在放，又重温了一遍。安仔那时候好年轻哦~~~            
(4星)	 蛮好看的，嗯嗯嗯！            
(4星)	 不知道为什么 我总是对结局不满意 但是也还OK 总算看完了            
(5星)	 郭靖安不错啦~ 喜欢男女主角的互动~~            
(NA)	 穿越你妹。。。。。。            
(4星)	 多米诺骨牌效应，牵一发，动摇的是整个现实。            
(3星)	 看到后面突然想到了乙一的《calling you》，不论是爱情还是亲情，就算明明知道结局是死也会义无反顾地照历史的剧本去做。            
(NA)	 很好看，親情線與感情線融合的恰到好處!            
(4星)	 蛮好看的，但是算不算穿越啊？            
(4星)	 陈慧珊算个选角上的败笔吧，看惯柔弱的她，怎么也同这样一个拿枪之类的女子联系在一起。            
(4星)	 如果小星星点评没上来..我还忘记我看过这部剧了..            
(4星)	 比蝴蝶效应早了好几年了吧            
(4星)	 暑假的时候看的很欢乐~~~            
(4星)	 题材挺好            
(3星)	 这。。。这。。。这前后有咩联系嘛！！山寨版蝴蝶效应            
(3星)	 老片啦，前面还不错，结局太雷了。枉费了我一直的期待。郭晋安怎么老演这些神神叨叨的片子。            
(5星)	 小时候看的.当时很喜欢看.当年的安仔也很年轻啊~~TVB以前巨多经典好片啊!!!            
(4星)	 以为能一直循环下去，没想到主角老爸最后出现了。            
(3星)	 有点小瘆人              
(3星)	 在天光改变了高珊的命运前都很好看……后面连吐槽都无力了……            
(3星)	 又穿越。            
(4星)	 很久以前看的-，=每次一看完就跑去睡觉。。。。。            
(4星)	 改变命运，必须接受另一场命运的考验。            
(3星)	 今夏又重温了一下，和弟弟一起看的。感觉还不错啦            
(5星)	 非常喜欢.主题曲很给力.            
(3星)	None
(5星)	 这部题材很新颖有木有，剧情当然更不用说了~赞的还有主题曲啊~            
(4星)	 还是前半段好看            
(4星)	 其实14集之后开始剧情不如人意！但是却不能称作不好！编剧给大家最重要的理念就是：想要改变！就一定会出现更不好的历史！蝴蝶效应的概念……            
(5星)	 以前的港剧就是有味道            
(3星)	 旅游中的谈笑。。。从惦记到烦躁。。。            
(4星)	 喜欢前面~没有后面变了那块会更好            
(3星)	 竟然有点迷郭晋安了，o(*￣▽￣*)ゞ            
(3星)	 还不错的说            
(4星)	 标签为嘛是纪录片？感觉隔世追凶的题材比较吸引人，用太多反而显得小家子气            
(NA)	 最后突然就《蝴蝶效应》了……            
(3星)	 看着看着就懒得看下去了 急着看完结局算事            
(4星)	 郭晋安原来也这么可爱帅气过。片头曲很好听            
(4星)	 好看            
(3星)	 当年觉得很好看很悬疑            
(5星)	 蛮推荐的一部片子，和一般的警匪片不是一个路子。用一半的时间来开始，又用一半的时间来颠覆。            
(5星)	 高珊，乐观如你。            
(4星)	 很新颖的题材，不过结尾又压不住了。            
(3星)	 后半段太烂了            
(3星)	 后面几集真是拍的太扯了，把原来的案情从不同的角度又重现了一遍，没耐心之下跳跃着看完            
(3星)	 前半部很新颖            
(3星)	 港剧总是能很好的运用一些元素,来制造港味很足的片子            
(4星)	 想起以前看过的美国电影,这部戏的这种两个时空人的对话还算是比较行的,只是命运改变后真的好挫了,最后居然是听僧人的话,随缘,命运靠自己改变,不怎么美满            
(2星)	 这警察太傻了！！！            
(4星)	 在家姐的本本上看的            
(4星)	 看完《隔世追凶》，更加觉得前世今生早已是冥冥注定好的。真的有因果，真的有轮回。每一个人都应按着自己原本的轨迹去好好生活，扭转历史，世界便会大乱。            
(3星)	 flora            
(4星)	 港剧都是破案的好。前面好，后面改变二十年前的历史后，太搞了。搅基神马的都粗现了「凹凸」            
(2星)	 后面太没意思了            
(2星)	 陈慧珊好能装嫩，她还是适合御姐风，本剧没什么大内容属于失败类作品            
(4星)	 与一般的TVB剧不同，本片从开始就笼罩着一层无法挥散的愁云，甚至连女主角都是身坐轮椅的“伤残人士”。同样是郭晋安，同样出演因误会而与老爸不合的儿子，古灵精探里的感觉就要轻松诙谐地多。而在本剧，那种压抑的性格，直到确定和高珊的恋情才有所缓和。看到最后一集时，我哭了，“HAUDLU”            
(4星)	 在线在哪里，为毛都删了啊            
(4星)	 morning sir是那种对感情迟钝的人，但是一旦爱上一个女孩就是永远、专一的。不过她变成怎样，始终不离不弃。。粉喜欢这类的人。。原来有事情还是顺其自然的好，一经强行改变后果可能更糟，令人不满。            
(4星)	 无聊到看港剧了，探案加穿越，挺刺激。            
(4星)	 很不错的破案片，题材很新颖。旅行的时候总是能注意到以前没注意到的好片，回到家从头看到尾，剧情很精彩，看来以后不能因为不喜欢某个演员就忽略他演的所有电视剧。            
(4星)	 为了陈慧珊后知后觉的看了这部电视剧，穿越的果然很有逻辑诶，看到最后竟然有点小流泪。如果能改变命运，我会希望做你身边的守护天使……            
(NA)	 前半段不错            
(4星)	 喜欢前半部            
(3星)	 果然阿珊变坏之后就不好看了！            
(3星)	 14集之后真的就完全不想看了。。            
(3星)	 又是TVB。因为一个电话而穿越，这种穿越也不同平常理解的那种穿越。整个剧情其实是把一个故事拆分成2个版本来演绎。虽然最后爱情都还是一样的收场，但最后我看到后面天光为了一个很坏的高珊还那样，有点不符合现实生活的情况。至于为一个女人和现女友、妈妈闹翻么？觉得还是有点过了。。。            
(3星)	 电视台最近的TVB都是郭晋安郭晋安郭晋安……110710@家            
(3星)	 结尾很温情            
(3星)	 神奇啊。。。            
(4星)	 总觉得是隔代追凶更贴切些，情节上有一定新意，实况侦探小说也蛮能引起人的兴趣，但是这部剧的吸引力不仅限于此：对秩序，缘分因果，偶然必然的探讨将整部剧提高一个层次引向了新的话题——我觉得那部旧电话是一种打破日常生活秩序常规秩序的特殊存在，有一定暗喻作用它的背后可以代表很多东西            
(3星)	 前面还不错 后面有点无厘头...            
(4星)	 男主角嫩得类，老娘心水他~~            
(4星)	 《黑洞频率》的中国改编版，没有电影那么直率的大团圆结局。真的挺怀念那部电影的，周末翻出来看看。            
(4星)	 好可怕的颠覆  好令人惋惜的转折  结局太好笑了 其实我觉得这个ending还不错 没评论说得这么差            
(5星)	 是我看过除了刑事侦缉档案III最好的破案电视剧！最大的看点是命运。很多的感慨。            
(5星)	 这也算是部时空穿越剧了 BENZ雄的表现比郭晋安好            
(5星)	 小天光 大何Sir            
(4星)	 我喜欢的呀。。。很好            
(4星)	 如果歷史真的可以改變            
(NA)	 为了编剧而编剧，电视剧确实是假的，但是这有点儿离谱了。            
(4星)	 隔世追凶！            
(3星)	 剧情有些狗血，阿珊的发型真失败。但是大河Sir真的好伟大啊！！            
(4星)	 居然迷上TVB的大傻剧了。。。剧情很蝴蝶效应有木有。。。            
(4星)	 姥爷爱看警匪片。            
(5星)	 非常有特点的穿越～～　前面破案已经很好看，高珊命运被改变了，又是一个高潮，真的很不错～～            
(3星)	 安徽卫视，前半段确实好看，变身之后so so，真佩服编剧，这也行            
(3星)	 高珊的角色的确不错的。            
(5星)	 编剧真是厉害 看了两遍了            
(3星)	 狗血呀            
(3星)	 安徽卫视在放，换台时看见谷峰先生，就停下了，演石修老年痴呆坐轮椅的父亲。书房电脑里是放了个开头的大决斗，一墙之隔，三十多年，这事儿真让人恍惚。            
(4星)	 剧情很狗血 但TVB就是这么吸引我阿o(╯□╰)o            
(5星)	 大爱剧情，大爱郭晋安，安仔，嘿嘿            
(4星)	 哈哈 蝴蝶效应啊 我也好想摸彩虹~            
(4星)	 夸张了！不过还行            
(5星)	 好看             
(3星)	 有创意, 可是最后的结局不够好, 最后几集逻辑很纠结. 喜欢上半部的情节设定，但flora残疾太不忍。命运改变后的下半段，所有人的20年都过得不幸福...也不喜欢。隔了那么久总算把这部flora的剧看完了！！            
(5星)	 多好看的。            
(3星)	 不喜欢里面的郭晋安            
(3星)	 看看卡司，郭晋安，陈慧珊……这都是儿时记忆呀。            
(4星)	 前半部还行 后半部不看了……            
(3星)	 穿越剧            
(4星)	 很就没有安安静静地守着电视每天两集地看一部剧了喜欢片尾曲            
(NA)	 哎，其实从历史改变的那一刻起，高珊这个人就可以说是已经死了。。。当然，还有高明，都根本没活过。。。            
(5星)	 比后来神探的好看            
(4星)	 ╭(╯^╰)╮要不要这么温馨啊。            
(4星)	 对郭晋安演的阿sir已经完全不能抗拒了~            
(4星)	 差点走宝 回想04年可能大家还沉浸在金枝欲孽的纠结中 完全没发现同时期还有这么部好剧 无论是构思 演员 放在今天的TVB剧里都不会逊色 缓解了一下我最近的剧荒            
(4星)	 郭晋安帅呆了.........准确来说这是部穿越剧。。。。            
(5星)	 执着于改变天命，可不是什么好主意            
(4星)	 有点意思            
(3星)	 隔世通话加改变命运。。。。最开始的阿珊性格很好~            
(3星)	 “触不到的父子”。。。            
(4星)	 后半段在剧情就太扯了。跳了3、4集去看最后一集，唯有最后一集才点了睛。没错，爱一个人不一定要天天在一起的，只要是心里有对方就够了            
(3星)	 最后一集爸爸的离开蛮感人饿，其他般般            
(4星)	 前半部分可以 后面十分失败            
(4星)	 推理的情节是不错的，情感方面从不打不相识到那一段丘比特之星的幻象让我们明白缘分的重要，爱的深刻。大何SIR的隔世爱情纠葛穿越两段时空，尽时空乱象心意纷杂，但爱依在哪怕尸骨还存。１４集之后的情节在案情上更扑朔迷离，情感线有些勉强特别是诗兄一段有些牵强。但总体还是可以的，            
(5星)	 颠覆            
(4星)	 蝴蝶效应么 做好你的选择。或许每个人现在的状况就是之前道路的最好选择            
(4星)	 後半段實在崩潰。看在那麼早就想到穿越的份上～            
(4星)	 通过一部老式移动手机“大哥大”穿越的刑侦剧，剧集前面剧情紧凑 、流畅    后面稍有拖沓，且偏离主题   总体来看，是部不可多得的悬疑剧                  
(5星)	 父子情真的好感动。            
(4星)	 初中看的哦~记得。超喜欢的当时。            
(3星)	 啦啦啦~            
(4星)	 前半部不错，后半部的剧情略显曲折复杂            
(5星)	 很好看啊！            
(NA)	 当知道真相的我眼泪牛下来~            
(4星)	 不错不错            
(3星)	 爸爸变 和尚了~            
(3星)	 一开始还不错，可改变了历史之后就有点扯了，剧情开始变得混乱。。。另，话说为啥tvb部引进大陆之后都改了剧名呢            
(3星)	 虽然有点新意，但是和经典的TVB推理剧还是有差距的，再说陈慧珊和郭晋安一点儿都不配            
(3星)	 复杂的逻辑穿越            
(3星)	 为了看看陈慧珊和许绍雄            
(4星)	 前面一半比较好看。            
(3星)	 虎头蛇尾            
(4星)	 陈慧珊难得演“奸角”，虽然只是很小的一part，我得瑟的要死！！！            
(1星)	 编剧太乱来了、演员也不对            
(NA)	 还真不知道说什么好……陈慧珊啊陈慧珊……            
(NA)	 电视剧频道在重播这片子，改了个名字叫父子同心，唉，真傻。。。            
(NA)	 时空交错。双重记忆。比穿越好看多了。            
(4星)	 可不可以再雷点 = = ！！！            
(3星)	 不喜欢陈慧珊..反感至极, 喜欢郭晋安            
(NA)	 原来喜欢一个人之后，以前不介意的就都介意了。            
(NA)	 现在电视剧频道下午联播啊 又名 父子同心啊            
(5星)	 案子很精彩，隔世追凶！太有创意了            
(4星)	 电视剧频道看看蛮好额            
(3星)	 歌好好听啊、。、剧情太诡异。            
(NA)	 在TBB蛮神奇的一部剧的。。一直看女主最后要怎么收科竟然是坐监= =。。前半部很有feel 后半部忽然爱上了= = 突兀吧。。还是不错的            
(3星)	 有个疑点大家都没发现么。关于证物传递问题            
(4星)	 烂尾。。。还是烂尾。。。不过案子不错            
(4星)	 悬疑+穿越+郭晋安+陈慧珊=好看！            
(3星)	 最出彩的是该剧的主题曲。            
(4星)	 那叫一个迷啊~            
(3星)	 《黑洞频率》的影子            
(4星)	 推理，科幻，爱情结合完美，喜欢郭靖安            
(4星)	 这次算是重温了。。            
(4星)	 我记得我当时看这个似乎是因为郭晋安长得像我暗恋的男生。。。囧=。=            
(4星)	 90年代末新世纪初的那批港剧的确都很经典            
(4星)	 总体不错            
(NA)	 不喜欢改变命运后的剧情。            
(2星)	 不好看……不知道讲的什么 没什么感觉 TVB失败的剧啊            
(5星)	 TVB编剧很不错            
(3星)	 看了剧透，没有在一起，哼，不看了            
(4星)	   题材我很喜欢~            
(4星)	 虽然噱头是隔世，但是逻辑还算合理……最后飞机场打摩斯密码那段，把我看哭了ORZ……            
(3星)	 有很多不严密的地方。。有待改进。。            
(NA)	 这部片子前半部很棒，后半部。。。。编剧你脑子短路了吧。            
(4星)	 个人觉得还是ok的。。。。挺好看的。。。。            
(4星)	 郭晋安不演傻子的时候还可以            
(4星)	 剧情还不错            
(4星)	 穿越剧，科幻片……            
(3星)	 现在看来有好多奇怪的漏洞……            
(5星)	 绝对好看            
(NA)	 偶然看到的电视剧，很不错            
(3星)	 比古灵精探搞得狠            
(5星)	 终于找着你啦！！！            
(3星)	 还行吧，还蛮有剧情的，过去改变将来，将来也会影响过去。不过之前看过《蝴蝶效应》了嘛，差不多的。假如04年看应该会觉得很灵吧~~            
(4星)	 陈慧珊这部里实在太难看了，角色不适合，演的倒是蛮好            
(4星)	 还不错，有段时间翻过了重看了一遍的            
(3星)	 对穿越剧来说，时间线索相当严谨～            
(4星)	 2004年的片子。。tvb还是过去的好看。不像现在的推理剧这么低级            
(5星)	 我觉得tvb最好的几部之一了            
(5星)	 不喜欢结局。别的还好。挺有想象力。            
(4星)	 剧情很特别            
(3星)	 忘了什么剧情，当时觉得挺好看！~！            
(4星)	 前面的案子比较吸引人，情节紧凑，节节相扣。后半段改变命运之后的就有点拖沓。最后5集快进看完的。            
(4星)	 隔這麼久再重溫，是很好看            
(5星)	 错综复杂            
(4星)	 邓健泓还很生涩，不过主题曲唱的很棒。故事情节有点虎头蛇尾，我想最崩溃的还是morning sir            
(4星)	 又看了一遍，好片啊            
(4星)	 之前不错。。后面就恶俗了。。。            
(4星)	 阿安            
(4星)	 当一切被改变            
(3星)	 看到十四集就好了。            
(5星)	 喜欢陈慧珊的各种形象            
(4星)	 父子亲情是最大看点，并且融入了科幻悬疑和浪漫爱情的元素。这大概是许绍雄最正经、也是戏份最重的一部剧集。陈慧珊发挥不错，前后两种反差较大的性格把握到位。郭晋安的角色也比近两年一堆傻乎乎的模式类型强。虽然难逃TVB虎头蛇尾的老毛病，但应该承认这还是一部好看的剧集。            
(4星)	 构思蛮好            
(3星)	 很久看的，剧情都忘得差不多了            
