http://movie.douban.com/subject/3060465/	一帘幽梦
(5星)	 刘德凯是完美的费云帆！！！！我记得那时候不爱看连续剧的外公都每天必守在电视机前看这部！！！！！！！！！！！！            
(4星)	 费云帆不存在 只有楚濂在祸害            
(4星)	 紫菱，不要走边边……            
(4星)	 我竟然没马克这个！！            
(4星)	 小学时候觉得费云帆就是理想对象，现在仍然觉得是！            
(NA)	 小学时候还能看一点琼瑶剧，不敢复习，否则必然会恶心到自己            
(5星)	 各种各样的喜欢            
(3星)	 就记得这群人爱的死去活来。。。            
(NA)	 其实我真的是琼瑶男……            
(1星)	 装苦逼抢姐夫的小三上位打击原配励志宝典系列代表作！            
(NA)	 哦这么多年过去了，我的费云帆在哪..            
(4星)	 算是琼瑶的代表作了            
(2星)	 比较喜欢绿萍            
(4星)	 被假腿吓死            
(5星)	 我很喜欢这部【羞愧            
(3星)	 剪辑很粗糙，故事很言情。费云帆这样的人本不存在            
(5星)	 经典不说了            
(5星)	 陪妈妈一起看，            
(4星)	 当年的陈德容啊陈德容。            
(3星)	 汪家的女人不能惹。            
(4星)	 这版本导致众多萝莉开始了对中年蜀黍无边际的向往。            
(NA)	 年少最爱啊            
(3星)	 纠结啊那个纠结            
(5星)	 有些地方拍的糙            
(4星)	 在我年轻的心灵上投下了阴影呢            
(4星)	 嫩的掐的出水的青春。            
(4星)	 对那个帘子和萧蔷的芭蕾舞印象深刻            
(3星)	 我的碟在倒数第二集卡壳了。。。我好恨呀            
(4星)	 一个绿一个紫            
(3星)	 还真是不太喜欢萧蔷            
(3星)	 当年在家被逼着看的电视剧            
(3星)	  琼瑶阿姨            
(3星)	 这个三星是和新版比较的结果            
(3星)	 我比较喜欢这个版本的            
(3星)	 比后来那个版本好太多了～            
(5星)	 我有一帘幽梦~            
(NA)	 小时候和妈妈一起煲过的电视...            
(4星)	 我当时觉得刘德凯很不错的            
(5星)	 我妈藏着掖着不让我看  少儿不宜            
(4星)	 还是这版好看。            
(3星)	 跟着老妈看的。小时候觉得萧墙可怕得要命。            
(3星)	 还是这个版本比较正            
(5星)	 喜欢            
(3星)	 当时某同学很迷刘德凯……            
(4星)	 比新版好            
(5星)	 那个时代的经典~            
(NA)	 我妈妈看~我跟着（别找借口！）            
(4星)	 每个少女心中都有个费云帆            
(5星)	 如果你知道何者是属于你的，你就不难找到你的所求了。            
(4星)	 最爱这个版本            
(4星)	 拍得好！完全受不了后来翻拍的傻痴痴的。            
(4星)	 当时觉得好梦幻哟。            
(NA)	 好吧，这个当年让我很感动。            
(5星)	 有《飘》的影子 虽然电视剧和琼瑶的原著有点差距 但是不失为一次成功的改编 大爱费云帆啊            
(4星)	 给我一个费云帆。            
(NA)	 还是喜欢这一版            
(3星)	 豆瓣果然是吮么都找得到。现在看来。原来从小就受到琼瑶老阿姨的熏陶。            
(4星)	 还是早前的琼阿姨剧好看~            
(4星)	 这个费云帆没法超越，太帅太man了            
(3星)	 马马虎虎            
(4星)	 很喜欢，一直觉得这个版本是经典            
(3星)	 我好同情绿萍啊~~~~从来没喜欢过那个小的            
(NA)	 豆瓣上真的是什么都有啊~~~            
(4星)	 当时的陈德容，我喜欢            
(4星)	 剧情当时很吸引读中学的我，觉得紫菱好幸福，能遇到一个费云帆这样的男人。。。。羡慕啊            
(4星)	 费云帆，一个里程碑啊~而看了新版，才发觉陈德容的紫菱确有一种纯洁天真不知世事之美。            
(3星)	 老妈很爱看　            
(5星)	 小时候            
(5星)	 费云帆啊，我的梦想男人。            
(4星)	 某位阿姨的经典电视剧，虽然很老旧，但起码比起某位阿姨的再次成名之作来说，这部剧情至少不算头壳坏掉之作。            
(4星)	 看了大陆新版才知道台版的有多可爱多好看            
(NA)	 不看新版            
(4星)	 重温旧梦。。。偶尔会想要琼瑶一下，那些故事便是寄托现实的梦。可以假装奋不顾身，全情投入。还是刘德凯的戏好~~想不到费云帆居然又是个白瑞德式的人物。寻寻觅觅啊。。。            
(4星)	 现在再看林瑞阳，简直无法相信，就是那个演一帘幽梦的人那。。。。。悲剧            
(4星)	 这也是我老娘当年的限制级名单。。。原因：穷要阿姨出品。。。这个还看过电影老版的，就甄珍阿姨演的那版，豆瓣瓣竟然没有我晕死。拍得和原著简直一模一样。就没见过这么忠实于原著的片片。。。            
(3星)	 我有一帘幽梦.            
(3星)	 讨厌陈！            
(3星)	 谁小时候没看过点琼瑶剧呢~以前还把片尾曲的歌词都记下来了呢~            
(4星)	 林瑞阳的大板牙象兔子，令人难生爱慕之情            
(NA)	 我有“一帘幽梦”（紫光居然没有一帘幽梦，土）            
(NA)	 这个苦啊            
(4星)	 老媽的偶像劉德凱，現在也老了！            
(3星)	 这种供小萝莉YY的电视剧真是……唉~~            
(5星)	 童年啊童年~            
(4星)	 看小说看得也很投入哈哈。是有大叔控么。            
(NA)	 【1996-03-25】            
(4星)	 我小时候竟然看完了！            
(3星)	 小时候对陈德容和刘德凯那么浪漫的爱情没有感觉，印象最深的就是短腿女人。            
(4星)	 琼瑶阿姨这本发挥得不错，演员也很敬业，反观新版简直就是下三滥，那个时候的陈德容怎么能这么漂亮真是惊死我了            
(4星)	 我有一帘幽梦。            
(3星)	 陈德容和萧蔷那时候真是如花似玉。            
(3星)	 小时候觉得萧蔷演的那个角色很可怕，那个女主角很可怜，现在才发觉我错了，绿萍才是最可怜的，而且我觉得琼瑶人品真的很有问题，自己是小三也就算了，还在自己的书中把小三美化到极致，把正妻描述的很可恨，什么爱情至上，亲情，友情什么的都是狗屁，，这种人在社会上才叫败类。。。            
(3星)	 小时候真你妹的感动            
(2星)	 感情观错乱            
(3星)	 刘德凯多帅啊多帅啊多帅啊            
(2星)	None
(5星)	 嘿嘿。反正刘德凯叔叔一直很爱。            
(5星)	 可怜我少年怀揣的找个比我大十岁男人的梦想            
(3星)	 琼瑶的道德观真的很有问题            
(3星)	 那时候怎么就这么喜欢费云帆            
(5星)	 一直被模仿，从未被超越~~费云帆真是完美的男人啊!            
(4星)	 刘德凯神马的就是偶像啊            
(4星)	 我哈刘德凯            
(3星)	 比翻拍版强多了            
(4星)	 琼式言情            
(4星)	 最初的大叔梦 异国风情 还有扭曲的绿萍，萧蔷在里面演得很好的刘德凯和林瑞阳 早期心心眼            
(NA)	 真的很经典            
(4星)	 我只喜欢刘德凯的费云帆，真是个让人爱的男人呀……            
(4星)	 我能说我小时候很喜欢吗            
(4星)	 现在看有点肉麻            
(4星)	 费云帆那。            
(5星)	 小时候超爱的            
(5星)	 小时候可爱看了            
(3星)	 绿萍：“我宁为灰烬，不为尘土！”            
(NA)	 费云帆是所有女人的梦吧 = =            
(2星)	 其实不喜欢琼瑶剧里老哭哭啼啼的            
(4星)	 还是好看的。            
(4星)	 当时看得时候只想抽死楚濂 爱费云帆~难道我有大叔控的潜在基因？            
(2星)	 我喜欢绿萍            
(4星)	 以那时候的标准来说 我觉得这部剧满足了我所有的幻想            
(1星)	 傻嗶            
(5星)	 子林赚了            
(NA)	 边做作业边骂小三...小时候我的觉悟就这么高!            
(4星)	 老男人的魅力            
(4星)	 我上小学的时候的电视呢            
(NA)	 小时候暑假在姑妈家放养的时候看的……姑妈家的电视机伴着我挨过了多少空虚寂寞的假期啊~当年的陈德容真的是白嫩嫩的，当年的楚濂真是怎么看都不觉得帅的……            
(NA)	 依旧尾随我妈            
(3星)	 矫情啊矫情            
(3星)	 小时候之记得一个女的被截了腿，一个超级好的男人，还有一大堆哭哭哭。长大了看看重放，觉得还是代表了一个时代和一部分人的心境。            
(1星)	 我就是讨厌琼瑶，讨厌堆满琼瑶小说的我家厕所！！！            
(5星)	 不管怎么说，至少在那个年代，还是经典。            
(NA)	 当时觉得林瑞阳和刘德凯都好帅的说            
(NA)	 小时候，一点印象而已。            
(3星)	 果然是什么年龄都会爱上费云帆            
(5星)	 我那时候迷到不行。知道现在还有费云帆情结……都怪这编造现实版童话的奶奶            
(5星)	 看一群白痴变态互搞 满过瘾的            
(4星)	 萧蔷萧蔷！            
(NA)	 为什么那个时候不觉得矫情？            
(4星)	 yy的典范。。。。凯叔叔很帅            
(4星)	 虽然场景没有新版豪华，但舒服许多。            
(4星)	 最近总看些不用脑的戏            
(4星)	 最近大女当嫁又见他，才知道“过尽千帆都不是”            
(NA)	 琼瑶剧啊！！            
(5星)	 么么 费叔叔~            
(4星)	 小时候没那么多说法，看的还是很上瘾的，现在看来是审美疲劳了            
(3星)	 我就想要那帘子。。。还有那一大柜子衣服。。。            
(NA)	 现在看看真矫情            
(4星)	 结局一直不知道~            
(3星)	 我爱的只是费云帆            
(5星)	 俩美人一大叔，星星眼&gt;&lt;林瑞阳一向都会被我忽视掉= =            
(4星)	 经典            
(NA)	 喜欢妹妹那个老男人            
(5星)	 反正我比较喜欢老版的            
(5星)	 我很喜欢诶，看了几遍！！！！            
(4星)	 刘德凯，费云帆            
(3星)	 张庭她男人。            
(5星)	 直到现在我都还希望，自己可以遇见费云帆···我可怜的大叔情节的开端啊！！            
(5星)	 初中看過一點之後,又找了書看.日記本里就開始出現費雲翔,後來又重看之後更是癡迷....            
(NA)	 小时候都觉得矫情。            
(4星)	 只为费云帆。。。            
(4星)	 音乐要不要那么好听啊            
(3星)	 义肢当宵夜哈哈            
(4星)	 小時候看 蕭薔的假腿擺餐盤 是少數曾讓我作惡夢的畫面            
(5星)	 小时候电视剧的记忆~ 喜欢陈德容~            
(4星)	 好喜欢这里面的陈德容的            
(4星)	 费云帆。            
(4星)	 喜欢楚云帆。。。海龟哦            
(5星)	 费叔叔，你不是人，是神！            
(4星)	 喜欢里面的巴黎~            
(5星)	 刚重温一遍。觉得最后一集拍的有点欠~~ 可能是个人对”费云凡“的感情，使我想要让两个人的重逢聚首更加的温馨，而不是站在冬天风大的长城上，两个人都快僵硬的说出”我爱你“而已。应该在一个更好的场景拍。            
(5星)	 看看那个时候的绿萍 经典了又经典 只是我一直都好爱两个版本的费云帆啊 哈哈哈哈哈哈哈 ~~~~~~            
(4星)	 还是更喜欢这一版的。那个时候的陈德蓉实在水灵。            
(3星)	 忘得差不多了            
(5星)	 永远的费云帆            
(5星)	 我很爱费云帆            
(5星)	 还是老版好啊，老版费云帆我的梦中情人啊~~            
(5星)	 当年看的时候，近乎痴迷四位主角！            
(5星)	 因为刘德凯，让初中二年级的我开始梦想嫁个老男人。躲在门缝后面看完，真是喜欢死了。            
(NA)	 想當年是多么希望能到法國那個莊園去看看啊！            
(3星)	 作孽啊            
(4星)	 琼瑶剧的小三都能得到真爱            
(3星)	 第一次被吓到的电视剧~~            
(4星)	 o(∩_∩)o...            
(3星)	 谁没看过！            
(NA)	 费云帆幽默浪漫家世又好，最欣赏就是他对紫菱的那份无怨无悔的爱而且诶很珍惜紫菱，她生气害怕孤单寂寞失落时身边总会有个人在陪伴他，这个人就是费云帆尤其是在法国那段日子真美，伴着晚霞谈笑风生漫步于从林中，感觉就像是喝了杯浓浓的奶茶很纯很香，但是云帆却比紫菱大了20岁也许在有钱，人可能都是不完美的不过他们还是找到了自己的真爱！            
(NA)	 这个！！！我想起，小时候一家人一起看它。。。。            
(4星)	 老版的比较好。            
(4星)	 本家...            
(4星)	 演员阵容无敌了            
(2星)	 特讨厌陈德容            
(4星)	 我喜欢这个故事，我也很喜欢费云帆，或者说，到现在依然很爱的男人。            
(4星)	 这版的费云帆相当经典。            
(5星)	 我喜欢费云帆。            
(5星)	 我一个晚上看了47集诶！！！！！我超越了自己啊……            
(4星)	 还是老版好看。。            
(3星)	 小时候好喜欢林瑞阳，现在看看那么拖泥带水的男人真讨厌！我只想看菱帆的浪漫部分，其它全掐掉。            
(4星)	 我真是太爱陈德容了 片子很经典 法国取景的戏都很精彩 见前妻那场的陈德容惊艳绝伦            
(NA)	 经典啊。            
(5星)	 只喜欢费云帆和紫菱            
(4星)	 估计那时奶奶小三尚未转正            
(4星)	 冲着刘德凯给的四颗星            
(3星)	 小时候也喜欢这个版本的费云帆~~            
(4星)	 费云帆呀么费云帆            
(3星)	 真的有费云凡这样的男人吗            
(4星)	 其实剧情很烂俗，但是回忆是美好的，尤其是那悠悠的吉他和费云帆磁性的嗓音，让人回味。            
(4星)	 不要迷恋费云帆，费云帆只是个传说            
(5星)	 还是这部好~~~            
(2星)	 相当俗辣！            
(NA)	 小学二年级看得。对刘德凯和萧蔷印象很深            
(4星)	 当时的我喜欢紫菱，也喜欢绿萍哦            
(5星)	 小学看的吧.. 餐桌上的假肢 吓人 - -            
(NA)	 现在还是很喜欢            
(5星)	 很小就看过这个电视剧 ，一直怀念；现在又再一次重新看了，还是和原来的味道一样，真开心。            
(4星)	 超级喜欢...小时候就梦想嫁给费云帆那样的人...            
(4星)	 个人感觉比重拍的好多啦~~            
(3星)	 经典            
(3星)	 演得都好可怕            
(4星)	 嘿嘿,陈德荣也很漂亮!            
(4星)	 好看诶。            
(NA)	 一遍就够了……表再重拍了……            
(3星)	 1996            
(NA)	 陈德容的经典之一            
(NA)	 小学的时候吧，居然还有人把我对号入座了。。            
(5星)	 小学几年级            
(4星)	 全人物中我只喜欢费云帆一个人！            
(3星)	 很纠结的三个人。。印象中留下了那一帘 门帘~            
(NA)	 瓊瑤阿姨的經典啊。。。。            
(4星)	 喜欢费云帆            
(3星)	 我还是喜欢新版的            
(5星)	 觉得那时刘德凯演的特有男人味            
(4星)	 我是真喜歡劉德凱演的這個費雲帆，太有魅力了。要是我，別說十八歲，就是二十幾歲我也愿意嫁。真的有一種被寵溺被珍視的感覺。            
(1星)	 垃圾。。。陈庭威的赌王形象啊。。。全毁。。。            
(4星)	 唉都老了。            
(3星)	 老啊。            
(4星)	 为了刘德凯版的费云帆才给4颗            
(3星)	 不是很喜欢，但确实很穷摇            
(5星)	 刘德凯的演技真是高啊            
(3星)	 小时候，那个不喜欢绿萍啊            
(4星)	 比新版的好            
(NA)	 我要是告诉你们我喜欢看这个,你们会不会鄙视我...            
(NA)	 小时候我那个迷啊。刘德凯真帅，陈德容真美，真向往法国！现在那新一帘幽梦什么玩意儿！            
(3星)	 刘德凯，真姐的至爱呀~~            
(NA)	 看了新版才知道旧版多好！            
(NA)	 童年            
(4星)	 -0- 小3真可怕系列            
(3星)	 年轻时候看过很多琼瑶。。with my grandma            
(4星)	 小时候爱看。            
(2星)	 刘德凯饰演的费云帆形象深入女人心，方中信超越不了啊！            
(NA)	 陈德容年轻时还是美的            
(4星)	 a hahahah            
(5星)	 从那个时代来说，它应该五星推荐的。            
(4星)	 費雲帆真是好男人~！！！            
(4星)	 那时的法国比较浪漫            
(5星)	 我最喜欢的一部琼瑶剧，比新版的好看多了            
(NA)	 费云帆很不错            
(4星)	 还是老版的好。            
(3星)	 当时暴喜欢费云帆，比新拍的强多了            
(4星)	 小时候看的,现在仍然喜欢...            
(3星)	 现在最不喜欢这种台剧。。。            
(NA)	 费云帆。。。赞。。。            
(3星)	 琼瑶阿姨总是想象自己是里面那些哭哭啼啼脆弱要死脾气大大的美女            
(3星)	 刘德凯说法文的样子还是很不错的            
(NA)	 Ages ago. Might well be my last Qiong Yao&#39;s TV shows, and the only one I watched here. Not that I ever watched many before. Nor read many of her books by the average standard, even back when I was in junior high.             
(5星)	 那时候超级喜欢费云帆..            
(3星)	 一帘幽梦            
(NA)	 我滴法国情结～～            
(4星)	 想当初我竟然为了看这个饭都不吃……囧            
(3星)	 费云帆啊，梦中情人就是这个样子的，哈哈            
(4星)	 嗯,有必要论证下费云帆这样的男人存在的可能性...            
(5星)	 喜欢这个版本的费云帆            
(3星)	 比较符合原著，刘德凯很NICE，林瑞阳很猥琐            
(5星)	 太喜欢了，绝对经典            
(2星)	 楚廉太TM恶心了            
(3星)	 紫菱是多幸福一女人啊～～            
(NA)	 经典            
(3星)	 到哪里去找像费云帆这么好的男人？            
(4星)	 各种闪瞎眼            
(5星)	 小时候的爱情启蒙片啊            
(4星)	 当时的陈德容很美~            
(4星)	 也是小时候的回忆了 那时候不懂 爸妈还不让看。。。            
(4星)	 绿萍太美了T T费云帆简直完美！            
(NA)	 唯一喜欢的穷聊奶奶的作品，向往巴黎！            
(4星)	 陈德容当年好漂亮，刘德凯当年好帅            
(4星)	 伴着我长大的电视剧，断断续续不知看了多少遍。            
(5星)	 已经不止美人一去不复返，男人也是。            
(3星)	 姐妹花还没残的时候            
(3星)	 我忽然是那么那么的能理解紫菱对云帆的爱...            
(5星)	 少女的梦，青春里的歌            
(4星)	 小时候看完 我自己也造了一面星星珠帘 =]            
(5星)	 嫁人还嫁费云帆            
(3星)	 萧蔷V5            
(4星)	 经典的永远无法被超越。            
(3星)	 玛丽苏啊            
(4星)	 谁没看过。。大叔情节的罪魁，费云帆！            
(4星)	 费云帆。            
(5星)	 每个少女 都希望有个费云帆            
(3星)	None
(4星)	 两版一帘幽梦充分体现了言情剧一定要选对演员            
(4星)	 刘德凯的一颦一笑~~~            
(2星)	 矫情            
(3星)	 当时看台湾连续剧感觉好新鲜。            
(4星)	 若能相知又相逢  共此一帘幽梦。。。            
(4星)	 我妈喜欢，我忘了，没感觉了。            
(5星)	 那个芒果台盗版的一帘幽梦我就不说什么了            
(5星)	 最喜欢的琼瑶剧之一            
(5星)	 我有一帘幽梦，不知与谁能共            
(4星)	 啊            
(4星)	 第一次记住有个男演员叫刘德凯            
(5星)	 MS很多人不喜欢楚濂，但是在我看来，他并没有什么错。他欠绿萍一条腿，然后用一生的寂寞偿还了。至于费云帆，大概是女孩子心里最完美的男人了吧。而刘德凯的演绎甚至比原著更加鲜活，所以这大概也是一个无法超越的角色。            
(3星)	 想当年懵懂无知，沉浸在琼瑶奶奶“爱你爱的好心痛”的狗血爱情中无法自拔，看着紫菱跟花仙子一样一身一身的换衣服觉得那叫一个羡慕，成天做梦长大后要找个费云帆式的老公，后来长大之后清醒了，回头再看这剧，觉得虽然剧情狗血，台词矫情，但是换衣服的片段还是跟当年看着的感觉一样羡慕嫉妒恨            
(3星)	 這個版本的真的蠻好看 比那個好多了            
(4星)	 一个莫名其妙的故事。            
(3星)	 萧蔷是蛮好看的那时            
(4星)	 只记得有个场景，男主为女主弹吉他~~            
(NA)	 经典。            
(NA)	 这个 好小的时候了            
(5星)	 小时候看这个觉得陈德容真的是好漂亮好漂亮~            
(5星)	 所谓万人空巷吧~那时候觉得楚廉和云帆都后好帅~            
(NA)	 曾经为费云帆而着迷,呵呵            
(5星)	 经典的琼瑶剧，一想到一帘幽梦耳边就回响起那首歌~萧蔷的演技的确不错，在剧里不光光是花瓶了，但是一想到就很讨厌，最讨厌的是楚濂，一脚踏两船的变态男人。大爱费云帆，简直就是理想男人嘛！芒果台新拍的根本没法看！            
(NA)	 只把前面紫菱和在法国的日子选择性看了，其他的根本没办法入眼，典型的琼瑶式纠结，看的人心慌。十多年之后重新翻出来看，多了好多感触和默契。PS：里面的紫菱好美，演得也好好            
(4星)	 我们家也有姐妹俩啊，看的时候有些不自在            
(5星)	 喜欢死了，中毒死了            
(4星)	 为什么会翻出这个童年经典呢…萧蔷当年真美啊~不过她妈去砸小三的场子还是一直阴影中。。和林瑞阳一样阴影……            
(5星)	 经典呀，虽说萧蔷很美，但我还是更喜欢陈德容，好漂亮的说，和刘德凯在巴黎的那段时光太美好了，只是后面好虐呀，一直哭、一直哭，哭得陈德容眼睛都好肿了，老的好快。主题曲好听～            
(4星)	 那时候的陈德容真素漂亮，费云帆不就是个极品的叔么！当时看的时候就受不了里面绿萍和他妈妈那份撕心裂肺的戏份，琼瑶戏真的不素我的type啊！            
(4星)	 好看            
(2星)	 以前的话，一定打五分，陈德容的清澈大眼真的很迷人，可是现在，我知道她还是那个强姐夫的小三。再清纯洁白的外表也掩盖不了不纯粹自私自利没有道德观的内心。            
(4星)	 剧拍的很一般，但是我为了躲我妈，用被子蒙着电视机看的画面记忆犹新，好像是昨天·······            
(4星)	 算是童年记忆的一部分吧。            
(3星)	 老费...            
(3星)	 那时候就喜欢陈德容这样的小姑娘            
(4星)	 很经典            
(4星)	 我真心喜欢！            
(3星)	 特小时候看的，费云凡很亮点！！！            
(5星)	 当年女生全都想嫁费云帆！            
(5星)	 小时候就喜欢刘德凯型的男生            
(NA)	 每个女生心中都有个费云帆，有了费云帆，汪紫菱的一帘幽梦才能完美            
(3星)	 想了很久  还是决定只能得三星            
(5星)	 看哭了···            
(4星)	 还是比较喜欢这个版本啊            
(3星)	 怎么能那么纠结呢。。。            
(3星)	 琼瑶剧中比较好的一部。            
(5星)	 费云帆一出场 我就骂紫菱：你干嘛要爱那个兔仔牙 跟他多好呀。事实证明我是预言家。            
(3星)	 我比较喜欢这个版本的            
(4星)	 还是老版好            
(4星)	 比较经典的版本。每个人都演得不错。            
(3星)	 初中。只是觉得刘德凯很帅= =            
(5星)	 费云帆和瑞德巴特勒，是我理想中的两个男人            
(2星)	 就是单纯地不喜欢这一种。            
(NA)	 从此剧开始讨厌陈德容，我特为萧蔷演的角色愤愤不平            
(4星)	 喜欢看第47集            
(5星)	 婴儿时的经典啊            
(4星)	 当时很喜欢萧蔷。当年还是琼瑶的天下。            
(4星)	 琼瑶剧真害人，世上哪有费云帆！            
(4星)	 印象最深的是紫菱的帘子            
(3星)	 费云帆大叔或许曾经还是梦中情人。            
(5星)	 小时候的最爱            
(5星)	 小时候除了争论绿萍漂亮还是紫菱漂亮，就是花痴费云帆大叔怎么会这么帅。。。            
(3星)	 索性结局不赖。            
(5星)	 经典经典经典，爱死了费云帆！            
(4星)	 现在还能回想起萧蔷的那带着波浪的长发.........            
(2星)	 但是似乎也比新拍的那部强            
(NA)	 几个主角都很蛋疼= =特别林瑞阳！            
(4星)	 幼儿园时候全家一起看的好么亲。            
(4星)	 港台！            
(3星)	 故事虽部喜欢，但费云帆的魅力无法抵挡            
(5星)	 如爱情般，不复记忆，依旧美好            
(4星)	 费云帆~~只能是刘德凯~~~            
(4星)	 ……小学            
(5星)	 那时候最喜欢的是刘德凯            
(4星)	 刘德凯演得可深情了            
(4星)	 主题曲很赞~ 演员选得不错~            
(4星)	 只记得当时灰常灰常的不喜欢绿萍。。。            
(4星)	 小时候觉得断腿后的绿萍好可恶，现在才知道最无辜的就是她了            
(4星)	 最喜欢的琼瑶的故事。萝莉爱大叔，这是必然。            
(5星)	 冷峻、优雅的费云帆，绝对模仿了飘，还有范柳原也是。            
(4星)	 永远的记忆啊~~~            
(4星)	 其实没什么印象了。另外想说，世上本无费云帆。             
(2星)	 果然是很早很糟的台湾剧            
(NA)	 陪我妈看的 那时候5岁吧            
(4星)	 还是过去的好看~            
(5星)	 其实我喜欢绿琴，和一切被主角抢尽风头的受伤男女配角。            
(4星)	 小时候看的，当时很激动。……一见费云帆就petrify了！！这个剧情这么像gone with the wind。            
(NA)	 一点都不喜欢 但是总能总能恩出现在我的视野 我是有多爱看电视            
(3星)	 唉，当时是真不爱看啊，不喜欢萧蔷，林瑞阳。。。。            
(5星)	 刘德凯演绝了~~            
(5星)	 喜欢他潇洒坚毅而又温柔多情的身影和脸型，每一条成形和无形的线条，喜欢他透彻犀利聪敏深情的眼睛；喜欢他好听的音色和无声的心语，喜欢他的凝视、微笑、大笑、沉默、甚至发怒、和疯狂，喜欢他喜怒哀乐每一种感情表情和心灵色彩的迸发和融汇--- 从小就爱上的男人---费云帆            
(4星)	   劉德凱演得真的很有魅力~~~~~~            
(NA)	 看了接近一年啊 我真有耐心            
(3星)	 这个版本的楚濂好激动  有点吓人  萧蔷拿出来的假肢  我到现在都记得- -            
(4星)	 费 云 帆            
(5星)	 我觉得我会永远爱费云帆            
(NA)	 同学的弟弟说这是一部由三个兔牙合演的电视剧......            
(4星)	 当时没觉得好看。现在想想却想找来看看。。            
(4星)	 今天有同学课上推荐又见一帘幽梦,完全受不了,现在女的都长一个样啊,丑4了,老版的除了台词肉麻演员都看着不错啊            
(3星)	 起码这版本还有个刘德凯能看，比重拍版好多了。            
(NA)	 小时候已经对狗血有了认知            
(NA)	 我有一帘幽梦，茫茫人海谁共            
(3星)	 哈哈哈 好好笑的            
(3星)	 绝对是代沟！那妆容，那表演方式。            
(5星)	 童年回忆            
(5星)	 大学四年唯一一部宿舍人一起看的一部电视剧·大一军训的时候，晚上躺在床上看的，舒服啊~·            
(NA)	 记忆不清了            
(5星)	 爱上刘德凯，喜欢上的费云帆，就因为此剧            
(4星)	 陪妈妈看的片儿~            
(5星)	 最是当年那一汪深情            
(5星)	 曾经 老妈的最爱 珍藏的琼瑶剧            
(2星)	 当时没觉得什么，现在要再看，我肯定会被琼瑶式的演绎雷翻            
(5星)	 原版的好看,起码法国的开始那段 我真的很喜欢            
(5星)	 也是经典！            
(3星)	 永远的费云帆！            
(4星)	 小时候看的            
(5星)	 萧蔷是美女            
(4星)	 刘德凯很帅有木有            
