http://movie.douban.com/subject/1786833/	情定大饭店 호텔리어
(4星)	 有一段时间真是对做酒店这一行羡慕啊            
(NA)	 电视抢不过妈妈，只好看之7            
(4星)	 为几大主角看的            
(NA)	 好些年前，我那么的迷恋裴勇俊...            
(3星)	 我记得裴勇俊把一女的关住了。            
(4星)	 很一般             
(NA)	 裴勇俊真高            
(3星)	 又见小时候~            
(5星)	 经典吧            
(3星)	 裴勇俊一下子成了老妈的最爱，虽然我一直觉得眼镜男虚伪~比如我……            
(3星)	 原来我上初中时是钟爱裴这一型温柔的男主角            
(4星)	 嘿嘿，还是比较喜欢宋允儿            
(5星)	 很喜欢的韩剧比那些感人的都喜欢 不落俗套 那个喜欢宋慧乔的男孩子真帅            
(NA)	 因为这电视剧爱上裴勇俊            
(3星)	 换个发型也不错            
(NA)	 裴勇俊那一个帅啊            
(2星)	 居然有人拿申东贤来和小政相提并论 怒！那个虽然其貌不扬但是成熟稳健的总经理看起来顺眼的多了 后来他成了金南珠的老公 这什么缘分啊...            
(NA)	 06年的暑假~~冲着裴勇俊看的~~乔妹很美美~~            
(4星)	 因为裴GG在里面好有型            
(4星)	 其实我没看完。。完全是去看裴勇俊的            
(5星)	 我真的很喜欢宋允儿~~忍不住哭~            
(3星)	 宋慧乔...            
(4星)	 那时我是韩剧迷            
(5星)	 我喜欢宋允儿            
(4星)	 裴勇俊有好帅？看情定大饭店就知了            
(5星)	 恩~            
(5星)	 很喜欢哒            
(4星)	 有乔妹            
(2星)	 演员我不喜欢。            
(4星)	 喜欢裴~~            
(4星)	 從這兒開始喜歡裴大叔            
(3星)	 跟着姥姥看的，可是不记得讲什么了。。。。我记得女主角不是蔡琳么？？            
(4星)	 还是跟老妈一起看的。主题曲片尾曲插曲都很好听。            
(2星)	 无功无过吧，人不喜欢            
(NA)	 老妈爱看            
(4星)	 看过才知道原来酒店工作压力这么大            
(4星)	 哈~ 喜欢·            
(4星)	 喜欢这部剧里的裴勇俊~~            
(4星)	 想知道那个董事长的儿子是谁演的             
(5星)	 一波三折的爱情，好听的主题曲~`            
(NA)	 最爱宋允儿            
(NA)	 现在的我对韩剧完全失去兴趣...            
(4星)	 玉麟哥弥补了我的童年缺憾            
(NA)	 恩。。。            
(5星)	 因为第二男主角的工作裤和我爹的那条一样            
(NA)	 还可以            
(4星)	 那时候是被裴勇俊唬住了。             
(5星)	  裴勇俊在里面老灵咯            
(5星)	 我走了好远的路，好不容易两手空空，来到你的面前。            
(3星)	 不喜欢那里面裴勇俊的造型，真难看。            
(3星)	 看了一些            
(4星)	 最近又跟着电视在看，和前次的感受有所不同～～            
(5星)	 那张照片，两眼想望。            
(5星)	 情定大饭店让我HC了太久了．            
(NA)	 喜欢宋允儿这型的，身材削瘦高挑，不是传统的精致美女但很舒服。            
(NA)	 【2001-04-04】            
(4星)	 此剧当年看过N遍，甚至一度萌生了以后要念酒店管理的念头。            
(5星)	 裴勇俊..            
(4星)	 擦，当年迷得死去活来啊，恨不得去读酒店管理啊。。。-_-|||            
(3星)	 那时候就喜欢裴大叔了            
(3星)	 应妞的推荐。感觉自己的心态和十年前比起来真是完全不同了。            
(5星)	 初中还是看了很多韩剧的 这部至今还挺喜欢            
(4星)	 虽然不是我的口味，但是台词还是很温暖的，俩男主角应该算韩国娘炮中的男子汉了吧，其中一个赶脚很像某罗汉，义正言辞的样子。            
(4星)	 可惜相遇太晚。我不會留著的，不是因為不好看。畫質很一般，空間太少。很高興認識了一個很好的核電站，他是真的有些不一樣。長得足夠乾淨，身高剛剛好，比例剛剛好，有大手掌，有韓劇里最好看的擁抱，習慣說話前三秒以上的沉默，挺好聽的聲音，堅定的眼神。以上，足夠讓我記住他。            
(4星)	 只看过裴勇俊这一部作品，不仅仅是花瓶，演技比想象中好很多。宋慧乔这个角色是她塑造的众多角色中唯一待见的吧。            
(3星)	 觉着裴勇俊总滥用深情 当第三者什么的            
(5星)	 金承佑            
(5星)	 超喜欢小裴的            
(4星)	 裴勇俊这个男人啊T.T            
(5星)	 我的裴哥哥            
(4星)	 看见10前的裴勇俊就走不动道儿啊！            
(3星)	 看过的韩剧。            
(3星)	 喜欢御姐还有男配            
(NA)	 前面几集仔细看了 后面扫了一遍 裴勇俊真是帅！宋慧乔真美！            
(5星)	 哎呀呀我的最爱            
(3星)	 节奏算快了。            
(4星)	 这个结局又是纠结~~和当年看的感觉有点不一样诶~            
(3星)	 友邻表Pi我~            
(4星)	 ……曾经觉得裴勇俊太帅了……差点想学酒店管理= =|||（青涩时光啊……）            
(4星)	 三星给电视剧。加一星给东贤。            
(NA)	 一切都是那么简单            
(5星)	 裴大人老演完美型男人。那个时候的宋慧乔还是小胖妞儿            
(3星)	 某个炎热而平淡的夏天，那时以为我永远长不大。            
(5星)	 最爱的韩剧，没有之一。            
(NA)	 我妈的最爱哟            
(5星)	 裴勇俊迷死人了~            
(NA)	 妈妈喜欢            
(3星)	 还凑合的，比起夸张无聊的和超级苦情的戏            
(5星)	 哈哈            
(NA)	 越到后面越没劲。有种烂尾的感觉            
(4星)	 超爱宋允儿            
(4星)	 今儿个翻上瘾了~这部节奏比较快啊~没特别拖沓~            
(4星)	 Become a professional hotelier            
(4星)	 挺好的            
(2星)	 肥肥的，那时            
(3星)	 其实不是我喜欢的类型            
(3星)	 挺好，的风景            
(3星)	 那时候觉得裴勇俊简直帅到无敌了。果然我从小就喜欢眼镜男。            
(5星)	 完整看了两遍多了，太棒了，节奏也比较合适，没有像大多数韩剧那样磨叽，超级喜欢申东贤这个角色，实在是太帅了！            
(4星)	 为数不多的男一号和女一号没在一起剧            
(4星)	 我就是觉得宋允儿制服就是比宋慧乔好看！            
(5星)	 只爱允儿            
(3星)	 乔MM            
(5星)	 在我娘的带领下。确实是好剧。            
(5星)	 宋允儿---不错的            
(5星)	 哇 慧乔魅力无法挡！            
(4星)	 从这部电视剧开始认识宋允儿            
(5星)	 觉得宋允儿蛮好看的~~~其实挺浪漫的一部戏~~~            
(4星)	 想当年...那个合伙人大叔很像个谁啊            
(NA)	 super lan            
(3星)	 以前觉得不错~            
(5星)	 第一次了解了什么是专业~professional！            
(NA)	 某个炎热而平淡的夏天，那时以为我永远长不大            
(2星)	 又一部我不认同的电视剧            
(5星)	 看了NNNNNNN遍不厌倦            
(4星)	 为了职业道路。。。            
(3星)	 没什么很大感觉~            
(3星)	 大三的时候，狂粉裴勇俊呀~~~            
(4星)	 冲着裴勇俊看的结果喜欢上了宋允儿~~真的很有实力的女演员～            
(3星)	 我也就在这里，才觉得裴勇俊有点气场。            
(4星)	 能做徐臻茵就好罗。            
(5星)	 喜欢申东贤还喜欢主题曲，超好听！            
(5星)	 裴勇俊的奶油气质不能说没撼到我，这片里他的角色里的强势跟奶油形成了强对比，强势的奶油＋摘了眼镜的小眼睛，呵呵~            
(5星)	 My Favourite            
(NA)	 這個也是很喜歡的一部            
(4星)	 那个时期少有的“不死人”韩剧·哈哈哈哈            
(5星)	 我最爱的..韩剧            
(3星)	 无聊的很            
(3星)	 重温~~~裴勇俊真帅~~~            
(4星)	 着实喜欢宋慧乔            
(4星)	 好看~            
(3星)	 好老阿~~~~            
(NA)	 超级喜欢的电视剧            
(4星)	  裴勇俊 情定大饭店 宋慧乔 宋允儿             
(5星)	 就是因为它 才喜欢裴勇俊的            
(3星)	 那个老男人挺烦的            
(NA)	 总是带给偶悸动。。。。。无论看了多少遍。。。。。。。。            
(4星)	 那个时期的韩剧比较吸引我·            
(3星)	 情定大饭店            
(3星)	 这个好像是大一的夏天看的了，已经没有第一次看韩剧的纯真心情，于是没有感动和想象，只是消磨！            
(5星)	 比较喜欢另外那个男的，忘了叫什么的那个哈。/            
(4星)	 喜欢上裴勇俊            
(NA)	 不错            
(3星)	 看完后挺喜欢宋允儿的.            
(5星)	 感情戏有点乱，不过不失为一个好片，视角写在大饭店，至少对我来说很新颖的题材~            
(NA)	 看过好几遍            
(4星)	 因为副店长说好看，所以决定投身服务行业的我才看的。还可以吧            
(4星)	 泰俊            
(3星)	 裴勇俊之二            
(4星)	 难得情节不错，四个主角都可以飚戏的韩剧 ：P            
(NA)	 妈妈爱看            
(3星)	 饭店情节            
(3星)	 裴勇俊还是很帅的            
(3星)	 http://www.imdb.com/title/tt0431528/            
(3星)	 裴勇俊很帅，只是条件太简陋。            
(5星)	 那是个要多人灵魂的男人..            
(4星)	 在那时不算俗套的韩剧。很相信缘分的            
(4星)	 当年看得很happy - -             
(4星)	 这个好像是我看的第一部韩剧了，和某人一起看的，虽然完全记不起情节，不过还是有些怀念。            
(5星)	 小裴在这个剧里的造型最好            
(5星)	 我很负责任的说，这是改变我一生的韩剧。。。            
(3星)	 男主角不咋滴，断断续续看过一些            
(4星)	 哟系，裴叔叔咧~~~            
(5星)	 臻茵的美丽~~~！！            
(NA)	 A很多年来一直喜欢B,结局却是选择了后来闯入的更有钱更风流倜傥的C...This is Love.            
(5星)	 裴勇俊真是好男人啊~~            
(NA)	 超帅的裴勇俊            
(3星)	 就是喜欢宋慧乔！            
(4星)	 难忘            
(4星)	 很含蓄            
(4星)	 其实一般吧。            
(4星)	 很好看的一出戏            
(4星)	 申东贤太伟大了~~            
(4星)	 宋允儿~~            
(3星)	 不好意思，我真的不喜欢裴君！            
(4星)	 这个女的有点恐怖            
(NA)	 只想说情定中的裴勇俊帅到极致。            
(4星)	 老妈因为它喜欢裴桑            
(NA)	 感人，错综复杂。            
(5星)	 那时还是我家“老公”的裴勇俊，地球人都知道俺稀罕他~~            
(NA)	 hehehehehehe            
(5星)	 裴勇俊 @@            
(3星)	 情定大饭店            
(4星)	 记得裴勇俊那句台词：“只要我一按下我的power键……”貌似这句吧，一直记得……            
(NA)	 看完后 没什么感觉            
(4星)	 对裴勇俊没什么感觉，喜欢金承佑和宋允儿一起的感觉啊            
(4星)	 浓妆时代的韩剧            
(NA)	 酒店的事，也是商场和情场的缠绵。            
(NA)	 通过这部电视剧才认识裴勇俊。            
(NA)	 一般般，不是很好看的~~            
(5星)	 en 2003            
(3星)	 喜欢的好几个韩国演员都在里面~            
(4星)	 似 乎 记 得 里 面 某 个 男 的 很 不 错 ？ ~            
(4星)	 不过是我的话我会选经理.            
(3星)	 还好还好，我都快忘了情节。            
(NA)	 喜欢直接的男人            
(4星)	 看完之后，我跟妈妈说，我想在大饭店工作，她只是笑笑。。。            
(4星)	 因为这部剧喜欢的韩剧            
(NA)	 闲来无聊，再看一遍……            
(3星)	 中央八套，电视剧频道—妈妈的最爱            
(NA)	 富家公子与酒店小服务员的爱情            
(3星)	 没什么印象了,不过之后的乔妹可是大红大紫了.            
(NA)	 当年是裴迷的时候很喜欢            
(5星)	  天哪 彻底对裴勇俊着迷了            
(NA)	 没意思            
(NA)	 因为裴勇俊，所以看了            
(3星)	 ...            
(4星)	 很喜欢该剧的故事，也喜欢宋允儿的表演。            
(3星)	 有的男人天生适合戴眼镜            
(3星)	 现在俺也学酒店了~~呵呵            
(3星)	 宋允儿还好。。            
(5星)	 由此，爱上裴勇俊            
(4星)	 花痴剧～            
(2星)	 not good            
(NA)	 怎么说好呢，不错，暂时想不到别的形容词            
(4星)	 真的十分好看  呵呵   裴在里面演的男人正是我喜欢的. 很喜欢的类型   我大学也是因为看这部剧才报酒店管理专业的...            
(4星)	 宋允儿            
(4星)	 还是很不错的            
(NA)	 我喜欢的东贤            
(4星)	 宋很漂亮            
(3星)	 太墨迹了            
(3星)	 模糊的而坚持的爱！            
(4星)	 经典作品，你不知道我看电视剧后，还捧着本书在初中的被窝里看得欢乐又荡漾吧？那个年代不可错过的作品之之一，现在的爱情戏好难超越了。            
(NA)	 曾经为他很疯狂            
(3星)	 喜欢宋惠乔，不喜欢裴勇俊            
(3星)	 有点遗憾 因为不喜欢 裴勇俊             
(4星)	 裴一般。还是另外的痴男和痴女更感人            
(5星)	 其实两个男人都很不错啦!            
(3星)	 “徐臻茵，如果你坚持一直不肯过来，那我走过去吧。”            
(5星)	 饭店背景，也是这样，有点憧憬到饭店里去工作。            
(5星)	 前年还重看了一遍，老公也说好看，很多经典的场面在脑海里一一浮现。            
(NA)	 三年前看海岩版的大饭店，摄像很赞。上周才看这部11年前的电视剧还是拍的电视剧，仍然觉得很赞。徐经理的角色很讨喜，宋允儿表演得很到位。之后八卦了一下，发现这姑娘已经结婚生子后没有新作。突然间，我似乎明白了努力的意义是什么~            
(3星)	 裴帅哥已经变成裴大妈了            
(4星)	 也算经典之一。            
(3星)	 忘了演的是什么了            
(5星)	 当年裴勇俊可是我的偶像啊！！！所以他的所有剧我都喜欢，男人就得像这样~~            
(2星)	 可以看胖的乔妹            
(4星)	 好帅啊            
(5星)	 我把天上所有的星星都摘下来给这部剧！！            
(NA)	 蛮好看的 裴勇俊！！            
(5星)	 剧情好弱智好少女好狗血，但是！！裴勇俊那时候真帅！！超级喜欢申东贤啊~            
(5星)	 从这部开始狂爱裴勇俊，可惜他后来越来越娘            
(5星)	 当年啊当年，被裴勇俊迷得七荤八素的            
(5星)	 很感动，有很多经典的片段。            
(2星)	 以前高二的时候我姐拖着我看的，那时候她迷死了裴勇俊，我也觉得剧情很吸引人，后来想了一下，男主是2B么…            
(3星)	 就是不感冒裴大妈。            
(4星)	 闻名不如见面，除掉电视剧固有的拖沓情节，出彩的地方在于四个主角之间的关系。            
(NA)	 裴勇俊~~~            
(3星)	 咋记成元彬了            
(5星)	 爱啊，比冬季恋歌更喜欢~~            
(4星)	 小时候和姐姐租碟看            
(3星)	 在翻老片子..            
(3星)	 很久 很久之前 看的            
(NA)	 现在看来这片子的确没有配角啊，都是响当当的大红人啊            
(NA)	 又找出一部看过的            
(3星)	 喜欢徐臻茵   喜欢云熙            
(5星)	 当时多喜欢，现在多怀念            
(3星)	 不怎么喜欢裴啊             
(5星)	 经典中的经典。就算你觉得我俗，可还是我的最爱。            
(3星)	 看了台版的  韩版的  还差 日版的。。。。你妹的 居然没有猜到结局。。。失误            
(4星)	 小时候看的电视剧总是会特别好看            
(5星)	 最喜欢的韩剧            
(5星)	 第一部看的韩剧，心中的经典            
(5星)	 经典啊经典。宋允儿好喜欢`徐臻茵小姐。。            
(5星)	 ～            
(3星)	 没觉得好看            
(3星)	 单纯喜欢勇俊SAMA行不行...            
(4星)	 没有车祸，没有绝症，没有灰姑娘女主与恶毒女二号，节奏也不算缓慢，基本是一部难得经典的韩剧。记忆中是喜欢东臻的，重看却觉得泰臻满是遗憾。            
(5星)	None
(NA)	 2007. 8.14~2007. 8.22             
(4星)	 以前在电视上看的，宋慧乔胖胖的时候~~            
(NA)	 裴叔叔裴叔叔～！！我初中就喜欢大叔了。。。            
(5星)	 必须五星！！！最爱的裴勇俊！！！还有婴儿肥的乔妹！一直蛮喜欢的宋允儿。            
(5星)	 感谢凤凰台感谢俺爸，我看了3，4遍，激情不减啊！小时候好迷裴勇俊啊，太有男人魅力的申东贤了！！！！            
(4星)	 最完美的男人。            
(3星)	 有点失望。。。            
(5星)	 挚爱，东贤是我的挚爱，喜欢他和徐臻英在一起，一生一世            
(4星)	 当时她还胖胖的。片子淡淡的，不过很温馨。            
(5星)	 至今都印象深刻的韩剧            
(4星)	 冲着裴勇俊去的，喜欢宋允儿            
(4星)	 剧情很一般，人物塑造的也不好。            
(5星)	 和妈妈一起看的韩剧之一，一致认同申东贤和徐臻茵啊！看到韩泰俊那对儿就觉得讨厌。            
(NA)	 喜欢宋允儿不做作的表演，喜欢裴勇俊深邃的眼神            
(4星)	 以前还不觉得老套的剧情            
(3星)	 电视上看过点，还不错吧，很多明星的，裴勇俊还是一贯的温文尔雅。            
(4星)	 唯一一部喜欢裴勇俊的剧。曾经的经典            
(3星)	 这个感觉爱情戏不是很多。            
(5星)	None
(4星)	 被新版片花刺激到了，有些角色是很难复制的！因为不喜欢戴眼镜的男人差点错过了这部戏，看了之后迷上申东贤这个男人！            
(NA)	 奥，这个其实没看完呢当时，感觉什么也超越不了姜俊尚李民亨这个角色定位了。            
(3星)	 金承佑用演技证明了即使是偶像剧，颜未必是最重要的。            
(3星)	 初中中午回家的时候看电视播过..还挺好看的            
(4星)	 又是我妈看了若干遍买片的。。。            
(5星)	 裴勇俊和宋允儿，表现不错。            
(5星)	 裴天王真是帅啊……            
(5星)	 申东贤让人迷醉~~~            
(5星)	 早前的乔妹的很羞涩！            
(5星)	 韩剧启蒙教程之一            
(5星)	 最爱的大叔裴勇俊。            
(5星)	 裴勇俊气质出众~大爱宋允儿~            
(5星)	 最好看的韩剧吧            
(NA)	 可惜没怎么看，应该还不错的。            
(NA)	 至爱            
(4星)	 蓝宝石客房= =|            
(4星)	 君子淑女之恋。申东贤是浪漫的理想，韩泰俊是现实的可贵。宋允儿略施粉黛，顾盼生辉，肉肉的宋慧乔嫩的好新鲜~时光流转，怀念从前。            
(NA)	 允儿好美~~            
(5星)	 幾歲時看的呢，那時迷裴勇俊到不行~~~            
(4星)	 还不错吧~            
(5星)	 最爱韩剧之一。。。            
(4星)	 以情动人             
(5星)	 觉得裴勇俊太有魅力了，喜欢里面美好的爱情            
(3星)	 前面好看，后面不好看。宋慧乔真是像天使一样美丽；裴勇俊摘下眼镜真是丑~            
(4星)	 我最喜欢这个的裴勇俊            
(4星)	 当时很迷金承佑啊            
(5星)	 最爱的韩剧 没有之一            
(5星)	 当年就为了看眼允儿啊。。。            
(4星)	 好喜欢宋允儿啊            
(NA)	 裴勇俊的确是亮点~~帅毙了            
(NA)	 群星璀璨            
(4星)	 女主是华丽丽的劈腿女，男二对所有人狼心狗肺，只对女主掏心掏肺，多招人爱啊。ps裴勇俊当年身材竟然很有料            
(4星)	 不錯 我還去過呢            
(3星)	 喜欢金大叔            
(5星)	 裴勇俊的魅力多看几遍也不厌。            
(NA)	 好吧好吧不得不承认裴勇俊带个眼镜的样子很迷人            
(5星)	 当年超级喜欢             
(5星)	 绝对韩剧，宋允儿很可爱            
(5星)	 曾经，为了裴勇俊，狠狠的心动过            
(4星)	 这鬼戏是怎么回事            
(5星)	 高中就最爱的一部剧，第三遍看了，最让我羡慕的是臻茵和泰俊超越一切的友情，特别舒服的感觉。还有容齐对云熙的不离不弃和赴汤蹈火，虽然都是没有缘分在一起，但却有着这样情分的朋友真的是太难的了~这部剧的情节紧凑，不落俗套，是韩剧中的不朽之作。人物的表现和刻画十分到位，任何一个角色，哪怕            
(5星)	 神剧            
(4星)	 = =！！女主角是宋允儿好不好！ 宋慧乔只是个酱油好不好！！            
(5星)	 我的最爱。            
(4星)	 大概就是这部片子使我当年诱骗我哥学了酒店管理。。            
(5星)	 申东贤啊申东贤！            
(4星)	 高中时看过很多遍，宋允儿被裴勇俊压在墙上强吻的那幕实在让人看的激动呀。。。难怪说每个女人都希望自己被男人强吻一次=，。=            
(5星)	 经典！            
(5星)	 至今让我念念不忘的一部韩剧~~就是觉得很吸引人~~            
(4星)	 节奏很快 在当年很难得            
(3星)	 喜欢乔妹的小哥很帅！            
(3星)	 裴勇俊还是比较帅的。            
(4星)	 当时大爱裴勇俊            
(5星)	 看了很多遍！！！            
(5星)	 跟我妈妈一起，爱上申东贤，进而爱上裴勇俊            
(5星)	 在同龄人中自己看韩剧算早的，什么星梦奇缘天桥风云小时候都看过。到现在，韩剧的风格已经和以前很不相同，但是情定大饭店，可以说是我看过的当中最让我心动的一部。曾经风靡整个亚洲的师奶杀手裴勇俊，多年后回顾他的作品，还是让人内心小鹿乱撞。            
(NA)	 有感啊！都十年前的片儿了！裴勇俊这个feel不错！            
(3星)	 太老了，没有看完，应该很行吧，据说是经典。            
(5星)	 强大卡司。主题曲更是非常经典。从这部剧开始喜欢宋允儿。            
(5星)	 每个人在看清了自己想要什么的时候最美了，这是当初看剧时的感觉            
(3星)	 冲乔妹去的            
(4星)	 韩剧必修课。            
(NA)	 印象最深刻，裴勇俊把门锁上，然后当着那么多同事的面，吻了宋允儿！还有就是很意外竟然还有宋慧乔！            
(NA)	 经典的电视剧，给人一种无限的回味和思考。原来这样的爱情如此美丽动人。            
(4星)	 那时候就有腹黑的男主了啊            
(NA)	 经典韩剧之一啊~~~我爱腹黑男！！            
(4星)	 当年的裴勇俊啊~宋慧乔啊~！            
(4星)	 哈哈，那時裴勇俊可是非常紅的啊，也算是經典韓劇吧，日本還翻拍過呢那啥，裴勇俊里面的角色多金而深情浪漫又憂郁，難怪女主角沒有抵擋得住，淪陷了可憐的男二就這樣失去了自己最愛的人，不過他也是自找的，誰叫他這么別扭不過最后男二和女主隔著玻璃，看著自己失去的愛，流下眼淚，那一幕真的還            
(5星)	 又一部看过5+的电视剧            
(4星)	 N年前看的 还因为某人张的像裴勇俊 喜欢过他             
(4星)	 裴勇俊相当有魅力。。            
(3星)	 貌似是看过，但是没什么印象了，为了裴勇俊分享的，这绝对是我超爱~~温暖的感觉让我现在想起来心都痒痒的，好像李俍也超爱来着，等有机会问问他~~            
(3星)	 很喜欢。年轻的裴勇俊~更年轻的宋慧乔~            
(3星)	 不喜欢裴勇俊            
(5星)	 老少皆宜的韩剧，我妈都很爱看。            
(4星)	 美好回忆·～～～～            
(5星)	 一丝丝的感动,逐渐在全身蔓延.            
(4星)	 喜欢宋允儿。            
(4星)	 300朵玫瑰的童话            
(4星)	 还是韩剧经典啊~            
(4星)	 经典            
(4星)	 老韩剧            
(5星)	 很遗憾，最近才看这部如此经典的电视剧；很庆幸，没有错够这样一部经典的韩剧。尤其喜欢里面的裴勇俊和宋允儿，真的演得太好了，当然金承佑的演技也是没话说，不过可能是角色本身的关系吧，强力推荐大家去看看，真的很好看~            
(4星)	     裴勇俊出奇地帅，冰冷的眼神能杀死人，温柔起来又仿佛可以把人融化。在泳池里、在电梯里的两场激情外露，实在令人动心。相比男一号那副温吞水的模样，他坏到骨子里，也深情到骨子里。            
(4星)	 一口气看完的韩剧。。            
(5星)	 最喜欢的韩剧中的一部。申东贤的鉴定、申东贤的那句“你不过来，我只好向你走去”，徐臻英一开始的犹豫，我喜欢happy ending ,这是一部感人的韩剧。很多人都喜欢裴勇俊的《冬季恋歌》，但我一直认为这部最经典。            
(5星)	 第一部韩剧，也是我心里的最经典韩剧。当时迅速喜欢上裴勇俊和宋允儿这配对，很可惜两人这么久以来就只合作过这一部了。裴勇俊最帅的时候也就是拍这部剧的时候了。清爽短发配上斯文气质，那种企业家型帅真的好吸引人。            
(4星)	 那个时候的裴勇俊好帅欧~            
(4星)	 多少年前的回忆啊……最近想不起结局了就重看了一遍= v =当年苏裴勇俊苏得找不着北啊，现在再看就觉得他的刘海真怪【滚。宋允儿美呆了好喜欢这种事业干练情感纯真的女人~~现在的韩剧是再也没有从前的味道了= =            
(5星)	 当年是多迷那个大叔和裴大叔啊            
(4星)	 很久远的剧集，但是曾经的我被这部剧集深深吸引，触动了深埋的少女之心，也开始关注了酒店行业，开始向往瑞士。            
(3星)	 很老的片子 了            
(5星)	 这部戏让我无法自拔的爱上了裴勇俊和宋允儿  乔妹毫无存在感了              
(5星)	 泰俊和臻茵注定不会在一起的。他们都把自己隐藏的太好，以至于对方都找不到自己那颗真正的心。申东贤的爱：执着、主动、温柔、霸道、进攻，坚持不懈，所向披靡，不达目的经不罢休！终于将臻茵“抢”到手！一个值得爱的精品男人！只有美丽的臻茵小姐，头发扎上也是美，放下也是美，打架也是美，掉进            
(4星)	 这个竟然只有7.4？            
(4星)	 很爱裴勇俊的时候看的，里面的裴勇俊也许是所有女人心目中的理想男人了吧。。。不过长大了再看却喜欢上男二了。。。当时他隔着玻璃窗望着不明所以然的女一回想当初眼角的泪如此难以忘却。。。世界上最遥远的距离便只是这一面玻璃墙而已。。。            
(NA)	 某人借我的盘，晚上躲在被窝里看完的            
(NA)	 小女生的心思            
(4星)	 初中的回忆            
(4星)	 01年还是02年看过的片子了。当时真的是很迷裴勇俊大叔啊~~~~            
(NA)	 当时一直希望裴勇俊会和宋慧乔演的那角色在一起。            
(4星)	 那时候裴勇俊还没有整容至衰，那时候宋慧乔还有婴儿肥            
(5星)	 裴勇俊 俺爱…短发的你            
(4星)	 喜欢            
(5星)	 很多小孩受其影响选择了酒店管理专业 当时的我也纠结了番            
(5星)	 当时超喜欢呀~~~华克山庄！            
(5星)	 超赞！裴大叔的范让贞英无力抵抗！发型好帅！            
(3星)	 我记得我当时比较喜欢允儿            
(5星)	 非常喜欢剧中的裴勇俊，无论做什么总是沉着冷静，有条不乱，有出色的决定能力，同时在爱情方面也绝不落后，“是我的，一定要得到”，霸气十足，很有男人气概！！            
(3星)	 谁年轻时没看过韩剧，没被骗眼泪            
(5星)	 还是以前的韩剧好看啊            
(5星)	 向往东贤和臻茵的爱情。            
(5星)	 众星云集，我还真爱用这个词，没办法，乔妹那时候还是个配角            
(5星)	 宋允儿~宋允儿~            
(NA)	 被裴勇俊秒杀再秒杀，可知我死相有多惨不忍睹。裴的杀手锏是“慢动作眨眼”！他会很有气质很认真地慢而有力地眨一个眼，有没有有没有？允儿真的不要梳那种发型太悲剧了我泪你明明挺好看的呀～  年轻的时候看口水为申东贤这样的男人而流，老了后看想说我选泰俊。申对徐的将来有浪漫无靠谱，我真的老了            
(5星)	 唯一一部用碟片看完全的，要给个高分 ~！            
(5星)	 2002. 记住了东贤的冷静、自信、对爱情的执著，尤其是他的微笑都让我迷恋这个帅帅的男人——裴勇俊。             
