http://movie.douban.com/subject/5349354/	旋风管家
(2星)	 2星给胡宇崴。。。。其余的都好傻。            
(NA)	 如果不是胡宇崴我一集都看不下去……            
(2星)	None
(NA)	 可不可以不要拍的这么夸张啊。。。            
(5星)	 难得宇崴演男一，一定力挺            
(3星)	 看了前三集， 就木有看下去。            
(2星)	 毁了..            
(3星)	 胡宇崴和朴信惠都很萌 其他没有了            
(NA)	 中断，不好看            
(3星)	 看不下去了！            
(1星)	 可惜了朴信惠            
(5星)	 看了第一集，就感觉很搞笑，很好看！继续追……            
(1星)	 动画版都觉得很弱智，冲着朴MM追了3集。实在是追不下去了。            
(4星)	 比我想象的好            
(2星)	 漫画改编永远有硬伤，就是落入华而不实的浮夸风~            
(1星)	 李毓芬完全抢了饼脸韩国妹的风头，宅男女神就应该搞个主角拍拍嘛，养眼。胡宇崴太可爱，配李毓芬还不错。            
(NA)	 好夸张，一集弃            
(3星)	 太多牵强，无法引人入胜，冲着朴信惠和胡宇崴看的，不知是否期望太高？            
(2星)	 看了第一集  其实这部叫是不是叫旋风管家  还是叫旋风女仆菲佣什么的无说为已经很反感台湾拍找这种偶像剧  别人演戏是尽量真实  台湾的偶像剧  确实尽量让你知道我是在演戏让别人知道自己是3流的演员  台湾啥事能认认真真的做电视            
(5星)	 画面很好看啊，而且胡宇崴太可爱啦，真的很像小飒            
(NA)	 我就是为了看朴信惠的呀！不要这样好吗！亲！果断弃！            
(3星)	 对不起啦信惠 胡宇崴，这可怕白痴的剧情我实在是撑不下去了啊！            
(1星)	 oh~为了李毓芬看的 可是真的看不下去 额。。。            
(2星)	 纯粹是冲着胡宇崴去看的。其它的拒绝发表评论。果然，韩国人出演台湾偶像剧就是很奇怪。最后，我可以说这是部烂片吗。= =            
(1星)	 台湾人和棒子女一起演绎负债管家的后宫史？求求你饶了我吧！            
(2星)	 过了看弯弯剧的年纪哇。            
(2星)	 黄小俊~~~~你太不自爱了~~~            
(1星)	 宇崴~            
