http://movie.douban.com/subject/2982064/	风云
(2星)	 何润东和赵文卓的大鼻孔，陶红真是让人绝望！            
(5星)	 神剧            
(5星)	 童年的记忆呀  一刀劈刀了江湾里  这是邻居大叔说的            
(2星)	 好奇怪，后来看看，这么无聊的电视剧……初中也能看疯了我们            
(2星)	 这是那段时间 萧十一郎播完的接档剧，我就觉得还蛮难看的，尤其是跟萧十一郎比真是差多了。            
(4星)	 从这部开始觉得何润东帅。赵文卓也不错。            
(3星)	 那还是中学时吧 片尾曲耳熟能详            
(2星)	 口水剧，适合全家唠嗑时看            
(4星)	 马荣成，比较欣赏。就是电视剧演的有点过了，漫画还是拍成动画片的格式比较好。            
(NA)	 高中时的电视剧            
(3星)	 没印象~            
(4星)	 经典。            
(5星)	 我爱死了            
(3星)	 这个楚楚太惊悚            
(1星)	 穿的都是什么破烂            
(5星)	 好看···            
(4星)	 第一部不错~其实有空该看小说，小说想象力非常惊人            
(1星)	 特傻，都上都顶着奇奇怪怪的东西            
(NA)	 第二梦的红色胎记 楚楚的柔弱            
(2星)	 非常差占用这当年大多的黄金档            
(4星)	 三分归元气。回想一下 造型其实挺不错。而且挺腐~            
(3星)	 当时Peter那个壮得吓死人= =            
(2星)	 除了蒋勤勤，剩下的人都让我想把胃里的东西翻出来。            
(NA)	 倚楼听风雨，淡看江湖路            
(2星)	 现在看来真是囧囧有神。            
(3星)	 44            
(3星)	 我竟然还挺喜欢看            
(3星)	 第一部还可以的其实...            
(4星)	 其实这个小时候少看一集都很难过的啊！            
(NA)	 xx            
(2星)	 讨厌看风云。            
(3星)	 好吧，里面有个比两个女主漂亮不少的女配！            
(4星)	 腐剧            
(3星)	 额。。。曾经一度很红的电视剧。            
(3星)	 小时候爱看            
(NA)	 哈哈哈。三声笑足以了之            
(3星)	 虽然觉得有些台词现在听起来很恶  不过高中看的时候灰常喜欢这部电视剧            
(2星)	 我对电视剧一向感到无奈            
(3星)	 懒得说了            
(5星)	 还记得那个年代的疯狂            
(4星)	 邢岷山。。。小晨同学。。。            
(3星)	 剧情有点累，不过当时真的蛮喜欢的。            
(3星)	 哇哈哈 当时很喜欢蒋勤勤和赵文卓~            
(4星)	 雄霸这个演员是千叶真一吧，我觉得挺好的。虽然还是不太喜欢何润东和赵文卓。            
(4星)	 还不错啊，当时看，是太超前了            
(3星)	 好久之前的记忆了            
(4星)	 初中时候很喜欢看的            
(4星)	 我喜欢聂风             
(5星)	 想当年我喜欢聂风。现在想想要疯...            
(3星)	 进城后的事我反胃            
(1星)	 原来你们是摇滚的前辈，失敬失敬            
(3星)	 成也风云败也风云。            
(NA)	 蓝色方便面时代的何润东。            
(3星)	 当年全班同学一起看...            
(3星)	 喜欢云这一对。            
(NA)	 nazigaxi ...            
(3星)	 孔慈。            
(3星)	 那个时候还是多火的一部电视剧。            
(3星)	 一群流氓在群架            
(4星)	 哇 聂风            
(4星)	 不错...            
(4星)	 喜欢风和梦的感情。            
(5星)	 金麟岂是池中物,一遇风云即化龙。                                                              九霄龙吟惊天变,风云际会浅水游。             
(3星)	 3.1            
(5星)	 皮蛋何演的步惊云太有型了~            
(2星)	 哎。。风还是不错的，蒋勤勤还是不错的，云看了想吐。。陶红一声“云大哥”直接把我雷焦            
(3星)	 没电影好看            
(3星)	 疯特的电视版            
(3星)	 不太適合看這種片子            
(3星)	 有点遥远的回忆了。            
(3星)	 小学的时候觉得蛮神奇...蒋勤勤很美很美&gt; &lt;哈哈还有初中老6班的经典~龙脉到手！美人神机妙算=v=            
(3星)	 曾经都追得很乐呵啊。            
(5星)	 啥也不用说了            
(NA)	 ==            
(1星)	 ...            
(3星)	 更喜欢何润东了            
(2星)	 那个赵文卓！！！就冲着他连星星都不想给了……相较之下，何润东和王喜还有吴君如都是可以忍受的……            
(2星)	 耽误了我的学习            
(3星)	 虫儿飞！            
(3星)	 如此的祸水——风；这样的冷俊——云。            
(NA)	 当时很火            
(3星)	 剧情和特效那实在是太差了，不过主演很好，2.5星            
(2星)	 离谱。            
(2星)	 补漏            
(2星)	 感觉诡异            
(5星)	 我想说~演聂风同母异父的那个弟弟~是著名主持人李晨。。            
(4星)	 当时超喜欢风云。            
(4星)	 喜欢步惊云呢            
(3星)	 嘎好看....的..漫画...            
(3星)	 喜欢赵文卓            
(3星)	 我喜欢陶红~~            
(5星)	 蒋勤勤演的第二梦很漂亮~            
(4星)	 风和第二梦，以前觉得这个结局真不完美            
(2星)	 之前我觉得电影版还可以，看过这个我觉得电影版太好看了。光是造型就完全分出档次了，赵文卓把风给毁了。他们抢的居然是吴辰君？！然后BOSS找的是同一个人来演，橘生淮南则为橘啊。            
(NA)	 真的是~            
(3星)	 消遣啊消遣            
(2星)	 方便面头挂面头            
(5星)	 很爱那时的何润东/步惊云            
(NA)	 重播好多次= =&#34;大概當初是為了趙文卓而看            
(3星)	 离漫画差的远了            
(4星)	 何润东很帅！            
(4星)	 儿时的经典            
(2星)	 其实孔慈还好，楚楚最囧；2个男主除了4个鼻孔没别的好说的了            
(4星)	 脑残也比北爱好看啊亲。。            
(3星)	 还不错，第二梦～好仙女啊！            
(NA)	 还蛮喜欢看这个的            
(NA)	 真的是看了一遍又一遍啊。。。。。。            
(3星)	 今天上天涯看到有人把电视剧的帖子，想起来还看过这个            
(NA)	 片尾曲太好听了            
(2星)	 好像拍了很多~            
(NA)	 雄霸尼玛是泥轰人！？            
(NA)	 扮相实在是= =            
(5星)	 我心中的风云哈~            
(3星)	 我特别想吐槽何润东的方便面头~            
(1星)	 谁给我解释一下步惊云肿么打扮成内样？是来搞笑的吗 = =            
(NA)	 当时很火啊  高中还有人老谈论这个            
(3星)	 当时真心觉得挺好看的....囧...            
(NA)	 看過一點點            
(3星)	 电视随便看看，怀念电影            
(2星)	 把电影日他了。            
(4星)	 金鳞岂是池中物，一遇风云便化龙。美好的年少回忆。            
(4星)	 咸蛋超人何润东的泡面头和赵文卓的鼻孔，不顶不是中国人            
(4星)	 那个时候很红啊，也很要看，反正就是蛮好看的            
(1星)	 我竟然也看完了            
(3星)	 当年真无聊啊……            
(4星)	 考。。。小时候看到何润东这泡面般的头发我就惊的一哆嗦！！还有。。看到聂风会脸红红~(*/ω＼*)。。。好吧我奏是爱温柔的风一般的男纸~~            
(3星)	 浪费了原作            
(2星)	 何润东的发型其实是造型师处理过度了吧……            
(4星)	 好            
(4星)	 美好的记忆==泡面头的步惊云==赵大侠的聂风==美丽的蒋勤勤            
(5星)	 我只是纯粹很喜欢罢了。不可掇如月。风云情义相许生死相交。小时候喜欢风，长大了更喜欢云。            
(2星)	 比较劣质            
(4星)	 萤火虫那段很感人            
(4星)	 高中时代很喜欢的电视剧~~            
(3星)	 童年回忆，童年回忆            
(4星)	 小时候 很喜欢啊             
(2星)	 演得还行            
(NA)	 小時候的記憶啊。。             
(4星)	 完美的童年记忆啊。。。            
(4星)	 画面什么的真心很棒的，十分惊艳啊。            
(4星)	 当时看的时候真的不错啊！服装很赞！            
(5星)	 从来没有一个电视剧的出现，能让我们校几乎全年级的同学在升国旗的时候集体讨论            
(4星)	 当年看，竟不觉得有何不妥            
(4星)	 国产让我最深刻的            
(3星)	 好多大鼻孔            
(3星)	 依旧武侠            
(5星)	 这就是我的童年啊……            
(5星)	 风。            
(NA)	 这个…= =！            
(NA)	 还以为添加过了呢。            
(4星)	 第二梦很美            
(5星)	 风云！            
(4星)	 当时的技术来说相当不错 而且漫画也热销中 基本也按照剧情来写            
(3星)	 一直对武侠风格的不感冒。            
(NA)	 不要对我说永远永远 永远不是我要的明天 金鳞本是池中物 一遇风云便化龙            
(3星)	None
(4星)	 为了女人们打四星，好歹是追过的剧。蒋勤勤美极了，吐槽下第二梦脸上那个心形的疤，有眼睛的人都不会说有梦是丑女啊，简直美死了有木有╮(╯▽╰)╭。江祖平的幽若也很可爱很漂亮。剧中的歌也都很好听。            
(4星)	 这部比较好            
(5星)	 电视台炮轰的厉害啊。。。看的特别爽= =当它广告的时候 也不怕。。。            
(4星)	 冲着蒋勤勤去看的。。            
(3星)	 当时真的好喜欢            
(5星)	 作为小说漫画游戏都看过的人，我感觉这部剧拍的还是比较尊重原著了。            
(3星)	 高二,宣城教育台,周末回家必看到11点.            
(3星)	 少年时代的经典             
(3星)	 我当年稀罕秦霜呢~怎么地！            
(3星)	 當時好喜歡癡情的雲和楚楚。看到楚楚被強暴了我的心都碎了。雖然後來他們兩人在一起了，但感覺也不同了。            
(4星)	 哇 经典！！！！！！！！！！！！！！！！！！            
(5星)	 偶是追着看。。当时觉着这剧完全玄幻啊            
(4星)	 现在再看或许不怎么样了，但至少当时觉得很好看。其实想起来还是觉得ZWZ很苏，不过何润东的头毛真的不忍直视= =            
(2星)	 囧死了，但当时真的追着看诶            
(NA)	 爱死了            
(3星)	 貌似是老妹的第一部电影？            
(4星)	 那时候晚上每日追看啊！！楚楚长成这样步惊云你好样的！！            
(NA)	 小时候觉得很好看，长大就不这么觉得了            
(4星)	 小时候超喜欢看的            
(5星)	 小时候在电视上看到就必看            
(4星)	 小学还自己打扮过像楚楚的造型…………囧死。            
(5星)	 小学时代的最爱, 赵文卓是我意淫中的荧幕初恋,哈哈哈            
(4星)	 第二梦，多好听的名字啊            
(4星)	 最近看完漫画风云二，又回过头去看当年（应该是中学时候）的电视剧风云，觉得依然很赞啊~各种特效和人设，大爱幽若江祖平，还有聂风赵文卓！那些主题曲也真心不错~~            
(3星)	 小学时很迷            
(5星)	 乐山大佛啊            
(3星)	 我终于知道我小时候都干嘛了            
(4星)	 哎哟那个想当年啊～            
(3星)	 就觉得蒋勤勤美。            
(4星)	 小时候就喜欢看这个            
(3星)	 啊 第二夢美死了            
(3星)	 何润东的发型。。。            
(3星)	 每一部风云都是一部基友片...            
(5星)	 年少时迷得不行不行的啊，蒋勤勤演的第二梦死的那段看一遍哭一遍啊，今天重温了下，发现台词肉麻的直追琼瑶阿姨啊，当年还感动得偶眼泪鼻涕的            
(1星)	 怎么能把何润东赵文卓放一部片子里！            
(5星)	 喜欢风。。不解释。。            
(4星)	None
(NA)	 我觉得这样数下去真是数不完的······蒋勤勤很美。            
(4星)	 第一遍看，觉得怎么这剧那么红啊。第二遍看，觉得这剧好像我看过？第三遍看，迷赵文卓。            
(5星)	 小时候除了玩就是看电视。            
(2星)	 实在忍不住说这句话，丑人多做怪。            
(3星)	 受不了那個嗲音的楚楚            
(4星)	 哈哈那时我开始追电视了。            
(4星)	 我当时是冲着赵文卓去的。            
(4星)	 小时候很喜欢看。            
(2星)	 大学夜里聊当年看风云，大家都睡不着了......            
(3星)	 peter帅气依旧~~只是该片not my piece of cake~            
(3星)	 从这个时候就不能理解何润东的长相。            
(NA)	 小学的时候超爱看的- -            
(NA)	 第二梦 小学初中 一直是我梦想中最美最美的            
(NA)	 其实这部片子蛮恶俗的。            
(3星)	 赵文卓扮相不咋地。            
(5星)	 经典            
(4星)	 童年啊！！！！！！！小时候拿个床单披身上扮步惊云啊！！！！！！！            
(5星)	 爸爸买了碟子来看，那年觉得这是最现代的古装剧。            
(NA)	 人家小时候就是喜欢步惊云那拽得要死的样子嘛            
(5星)	 小时候狂追的一部剧！很经典！            
(4星)	 经典之作，小时候看的经典            
(4星)	 我懵懂的小学回忆            
(NA)	 沒人沒看過吧。。。            
(3星)	 看的时候觉得还可以，后来看原著漫画就觉得改编有点拙劣了。            
(4星)	 那个大boss的女儿长的好好看哦 另外一定要吐槽一下那把绝世好剑。。            
(3星)	 第二梦。            
(4星)	 孔慈不好看啊，就不能换个人演            
(NA)	 驚雲！！！！！！！！            
(5星)	 你爱过我,就已足够.            
(4星)	 给曾经的记忆，当我还小的时候，喜欢得不得了的电视剧。            
(3星)	 说不上喜欢谁，有段时间觉得断浪和幽若挺配的~            
(5星)	 第二梦！太美了！            
(4星)	 从开始就不喜欢演孔慈的那姑娘。            
(5星)	 第二梦实在是美极了很喜欢梁静茹唱的主题曲            
(NA)	 ！！！！！            
(4星)	 虽然何润东的造型很雷，但就是喜欢呀，不过他和陶红对戏感觉很不搭，像和老姐姐对戏一样。            
(NA)	 那个失望啊。。电影里的两大帅哥变成了这样。。。            
(3星)	 比电影版差很多            
(4星)	 难得让我从头到尾啊！            
(5星)	 那时候喜欢死聂风了。。。            
(3星)	 开始觉得很精彩后来就··磨磨唧唧            
(NA)	 聂风 ··   那时候对步惊云的发型 简直是吐槽无力！！            
(4星)	 经典记忆            
(3星)	 陶红的配音啊……我崩溃了……            
(4星)	 小时候看的超带劲            
(3星)	None
(4星)	 当时就是喜欢蒋勤勤啊~            
(3星)	 你对我说永远永远永远，永远不是我要的明天~    另外一首歌：hei girl 真爱你了，有你就无求了   也好听            
(4星)	 当初那是爱得不得了啊。            
(3星)	 其实两大男主还是可以的 千叶爷爷也真心和雄霸天人合一了            
(3星)	 曾经的记忆啊，大爱酷酷的步惊云啊有木有            
(4星)	 里面的人死的时候我都要很难受            
(4星)	 剧情拍摄在我看来都还不错。            
(3星)	 挺雷，但挺好看的            
(4星)	 小时候觉得特帅气            
(3星)	 第二梦真是太美了 唯一的亮点。。。            
(4星)	 好爱蒋勤勤演的第二梦。            
(2星)	 冲着片尾曲给亮星~中国娃娃爆搞笑~            
(5星)	 为了我童年的美好回忆，五星……里面女主都很美，除了悲剧的孔慈……            
(3星)	 蒋勤勤~            
(5星)	 今天下午上管理学的时候 突然脑海里 都是 这个歌 别对我说永远永远  永远不是我要的明天 当时觉得蒋勤勤美死了 各种好看 我超爱段浪的 还有火麒麟 聂风成魔什么的 不记得了 好像是第二部了 以前的电视剧怎么都那么好看的啦            
(3星)	 02年的巨作            
(NA)	 小时候迷得不得了。            
(NA)	 那时候我爸看什么我看什么            
(3星)	 小学时候挺喜欢看的 楚楚很美 吴辰君脸很长            
(NA)	 他那个手能怎么来着            
(NA)	 有的东西还是要mark一下的。。。            
(5星)	 里面有我好多喜欢的人            
(NA)	 多年前的安徽卫视 假日剧场 一天播7集。。。            
(4星)	 小时候啊~~            
(4星)	 当年我还迷得不行。。现在。。。好吧。。。            
(4星)	 小学的回忆啊……！！！            
(NA)	 当年就好何润东这一口            
(4星)	 大爱无名            
(2星)	 泡面头，超人服装，恐怖特效……果断瞎狗眼。            
(3星)	 爱情和武侠从来分不开            
(3星)	 小时候看的时候真的很想 聂风和雄霸女儿在一起。。。&gt;&lt;            
(4星)	 当时迷得昏天黑地，现在看看真心囧，我想如果是当年看完来豆娘打分，大概十颗星都觉得不够吧            
(5星)	 金麟岂是池中物，一遇风云便化龙。我是云师兄。            
(NA)	 现在看看好累哦！            
(4星)	 迷恋步惊云~            
(4星)	 金麟岂是池中物，一遇风云遍化龙            
(4星)	 那是有点迷呀            
(NA)	 挺好看的不是吗？我一再劝服自己喜欢聂风，可我到现在还是喜欢步惊云            
(3星)	 这部剧好可怕...            
(3星)	 啊哈哈，初中午饭时候吐槽的对象，应该是我有意识以来最早的雷片，每天晚上边看边嘲笑，我妈觉得我疯了……看在带来无数欢乐的份上给分            
(5星)	 难道不经典吗？至少7.5分。            
(5星)	 这是我小时候最美好的回忆。            
(4星)	 爱蒋勤勤演的第二梦            
(4星)	 陶红的声音…            
(3星)	 蒋勤勤啊~            
(3星)	 还是蛮喜欢蒋勤勤的。            
(NA)	 太难忘了……            
(4星)	 蒋勤勤非常惊艳。            
(3星)	 你对我说永远永远永远，永远不是我要的明天……小学的回忆            
(3星)	 好歹也是当年猛看了一阵的剧……            
(4星)	 那时候觉得何润东帅啊，聂风总是带一个假头套。。喜欢孔慈啊，美丽啊            
(4星)	 当时迷聂风啊～            
(4星)	 风啊，云啊，勤勤啊，都好好看            
(3星)	 童年的回忆啊啊啊。            
(3星)	 何润东的发型很雷好不好            
(5星)	 当年的大爱啊            
(3星)	 蒋勤勤。。。            
(3星)	 我真的觉得那时的何润东不帅，头发跟方便面似的…梦的破相根本就不是破相嘛，一个桃心型的朱砂痣╮(╯_╰)╭            
(NA)	 小时候看过很多遍的片子。里面XX的女人被XXX强X了。。我记得最清楚…            
(1星)	 尼玛那头发能再泡面一点！            
(3星)	 奇幻，喜欢赵文卓            
(4星)	 算是偶像剧吧            
(3星)	 头发烫得跟什么似的。。。            
(NA)	 额。。            
(3星)	 以前还挺喜欢赵文卓的说            
(2星)	 风云版本好多。。。            
(NA)	 当时迷死了好吗            
(3星)	 里面那个楚楚是我最吃不消的人- -            
(4星)	 为嘛分这么低……            
(4星)	 千叶真一气场强大            
(3星)	 金麟岂是池中物，一遇风云便化龙            
(NA)	 雷到你死的电视剧，风，云，蓝头发，哈哈哈            
(5星)	 我迷这故事和步惊云！！！！！！！！            
(5星)	 必须5星，至今念念不忘。            
(4星)	 小时候好爱第二梦            
(NA)	 《真爱你的云》。            
(NA)	 小时候好喜欢赵文卓的哟            
(5星)	 ！！！！！！！！！！！！            
(4星)	 那时候特喜欢赵文卓和蒋勤勤            
(4星)	 OH.当时蒋勤勤真是...无与伦比。            
(3星)	 有蒋勤勤            
(5星)	 现在才发现 梦比楚楚好看多了~            
(3星)	 步惊云 聂风 才是一对真爱好么！可见我小时候就很腐！！喜欢第二梦 还有那个大小姐 尼玛楚楚是不是太傻逼了点 其他姑娘吐槽无力了            
(3星)	 那个双胞胎            
(3星)	 一直不喜欢·~~不晓得是为神马~~难道是何润东鼻孔太大？            
(5星)	 哇。。。当时最喜欢的！！喜欢步惊云            
(5星)	 小时候看的那叫一个痴迷！            
(4星)	 这分怎么那么低？            
(3星)	 这个剧啊真是拖沓啊，一拍好几部，烂都烂死了。。那时候非典，每天关在家里，没得看，不然我绝对不会看得囧。、、、            
(2星)	 外焦里嫩            
(4星)	 我记得当年我跟六子特别爱看这个！一集不落的。。。            
(5星)	 OMG~云~~~~我当时觉得何润东超帅~ 现在看看 他这头发啊  只有他能驾驭~            
(4星)	 永远的经典！！！            
(4星)	 也是很久以前看的，但觉得很棒。一直记得聂凤的温柔，保护那个女子。哎呀，我是那个女生多好            
(NA)	 惊为仙人的第二梦啊。            
(2星)	 = =            
(3星)	 当年看，竟不觉得有何不妥。            
(4星)	 趙文卓&amp;蔣勤勤也算是當年的經典螢幕情侶了            
(NA)	 想當年/水灵仙女兒美shi了❤/某人敢更香餑餑一點嗎？倒貼你的妹子數量一個手數不過來啊喂原作是武俠不是言情！！！            
(NA)	 那首歌  真爱你的云             
(4星)	 当时好红啊。            
(3星)	 1.因此喜欢上赵文卓和何润东；2.这个楚楚眼睛太大了，感觉很假，不喜欢；3.前半部分还正常，后头越来越莫名，完全和电影没关系了；4.勤勤真漂亮，不管是明月还是第二梦；5.个日本男人演技真好；            
(3星)	 我是来看泡面头的！            
(3星)	 魔幻剧吧，剧情很狗血，赵文卓依旧很帅……            
(3星)	 反正看着看着就想换台            
(4星)	 风无形、云无相            
(NA)	 看来看的时候我才10岁……            
(4星)	 电影的节奏好。电视剧有点拖。。。            
(3星)	 我就记得我看过了，就记得何润东的波斯头了。。。            
(4星)	 印象最深的是“步大哥~~~”我喜欢断浪。总是喜欢配角。            
(NA)	 第二梦的名字很好听…            
(2星)	 = =            
(3星)	 贱循环的一个例子。。当时觉得步惊云超帅有没有            
(4星)	 一星给主题曲            
(NA)	 小时候心中膜拜的经典啊            
(3星)	 小学看的吧，现在想想够雷 够大陆的 但是当时其实挺乐在其中的。。。。其实那时国产土不土，洋不洋的，到还有些怀念，毕竟算是伴随了一段刚刚懵懂的记忆，而现在潮的我实在不能适应。。。。            
(4星)	 其实拍得还挺尊重原著的= =            
(5星)	 当年超级喜欢            
(4星)	 以前可迷了            
(NA)	 最喜欢楚楚，顺带着喜欢了何润东= =            
(4星)	 好喜欢啊            
(4星)	 小时候最喜欢了            
(NA)	 你对我说永远永远永远，永远是太昂贵的誓言            
(5星)	 十分好看            
(3星)	 武侠连续剧（不是超级系吗魂淡）            
(5星)	 最爱第二梦！            
(NA)	 真是经典啊            
(3星)	 呵呵呵            
(4星)	 那时就觉得很赞            
(3星)	 小时候疯狂追过，讨厌第二梦，喜欢猪皇，还有个大美女专傍大款叫什么来着？            
(3星)	 初中男生女生都很迷的一部戏。            
(4星)	 多一颗星给我的童年，最早看的就是这个版本，当时好喜欢里面的第二梦            
(3星)	 三颗星都给步惊云啊......想当年何润东那个帅啊.....擦口水....            
(4星)	 这是一经典。            
(5星)	 国产电视剧巅峰！！！！            
(4星)	 断浪幽若我更爱            
(4星)	 我记得小时候挺喜欢看的 而且超级喜欢步惊云，而且觉得蒋勤勤简直美翻了 ==+ 另外，真爱你的云，现在听也觉得还不错...            
(3星)	 杨恭如真是美貌啊            
(3星)	 孔慈怎么长这样……我要哭了~            
(4星)	 最让人惊艳的，是蒋勤勤那回眸的一笑。            
(3星)	 第二梦 第二梦 第二梦 小时候真的有疯狂迷恋蒋勤勤的倾向            
(2星)	 拍烂了 太没劲 几个版本我都分不清= =            
(4星)	 功夫了得            
(5星)	 对那个时期来讲，制作很精良            
(3星)	 额。。。            
(4星)	 真个真不错。            
(3星)	 有点奇怪            
(4星)	 小时候很喜欢的！            
(4星)	 很小的时候就一直都看不厌的一部剧！ 喜欢里面的主角，都很帅很美，尤其是蒋勤勤~~ 剧情也还蛮跌宕起伏的~　支持，有时间还想再回顾一下！            
(3星)	None
(4星)	 一直没看全 看的稀里糊涂的 不过 也很怀念            
(3星)	 伴随我一起长大的武侠经典。            
(3星)	 对哦 0.0 这个电视剧我也看过 记得特效还是挺华丽的            
(3星)	 。            
(4星)	 这都是当年的回忆，蒋勤勤就是仙女啊            
(3星)	 不管与原作还是电影相比都有若云泥，幸得有蒋勤勤多添一星            
(4星)	 还算过得去。            
(2星)	 受不了那发型            
