http://movie.douban.com/subject/2157191/	笑看风云
(5星)	 永远不会忘            
(4星)	 主题曲到现在都还没忘记            
(4星)	 唏嘘不已的爱情。。            
(5星)	 到现在我还会唱这个的主题曲            
(4星)	 说实话好多年以前看的，剧情已经完全不记得了。只记得郑伊健那时候真是红得发紫，只要有他在，什么剧你都看的下去。            
(3星)	 谈何容易            
(3星)	 就记得郑少秋了~            
(4星)	 一直在找這張盤。。。            
(4星)	 不知道为啥 那里面喜欢郭蔼明胜过陈松伶            
(4星)	 香帅的rp为什么就不能跟他演的人一样呢            
(4星)	 很喜欢黄天。唉，原来黄天戴的是假发            
(4星)	 林贞烈 oh 林贞烈            
(4星)	 觉得港剧里还是满经典的            
(5星)	 最动人者 芬姨            
(NA)	 jing dian!!            
(5星)	 郑少秋和郭蔼明是亮点~郭晋安的演技一直都那么好            
(NA)	 初中时候的剧了，当时风靡啊~~~伊面当时多年轻啊！因为这部剧我还买了第一盘伊面的卡带呢。。。            
(3星)	 比天地男儿差远了            
(4星)	 应该是大学时代看的吧。那时候一直想，为什么贞烈一定要死呢？到现在还是不喜欢郭蔼明。。。            
(4星)	 超爱那首歌啊            
(5星)	 经典的港剧            
(5星)	 一笑风云过。            
(4星)	 经典            
(NA)	 郭蔼明又一次第三者            
(3星)	 就是不喜欢反角 郭晋安             
(5星)	 那时候古天乐还是白的！            
(4星)	 好看的港剧            
(3星)	 对黄蕾一见钟情。从此讨厌陈松龄。            
(4星)	 我喜欢黄蕾胜过贞烈 这样的女子我感同身受            
(NA)	 都是这十几张脸。。我也分不清了。。。            
(5星)	 包文龙与林贞烈的爱情            
(5星)	 没有大团圆            
(5星)	 這部的女演員偶最喜歡的還是娥姐            
(4星)	 喜欢贞烈            
(NA)	 古巨基和他妹妹睡的上下铺很不可思议            
(1星)	 秋官。            
(4星)	 林贞烈惨死            
(5星)	 经典剧.内容继续淡忘.但我知道有秋官.            
(4星)	 很早以前的片子了             
(NA)	 看了好几遍..比较经典的...            
(5星)	 喜欢松松演的角色，不喜欢郭蔼明演的富家小姐！            
(5星)	 每回看都动痛            
(5星)	 早年间的记忆 爱看            
(4星)	 不记得            
(3星)	 陈松龄一颗 郑少秋一颗 商天蛾一颗             
(NA)	 【1994】            
(4星)	 我的包文龙啊！！我少女时代理想中的男淫~~~~            
(5星)	 小时候陪妈妈一起看的，小时候觉得真的好好看            
(NA)	 从这部剧开始不喜欢郭蔼明，她演什么角色我都觉得那个角色讨厌囧            
(5星)	 情节还记得很清楚！甚至主题曲随口都能哼出来！！！            
(4星)	 那时候觉得郑伊健和陈松林很配的。            
(4星)	 主题曲真好听，当时讨厌死黄蕾了            
(5星)	 放假看看童话挺不错的，哪个男人不喜欢郭蔼明？            
(5星)	 应该是小时候的最爱吧~             
(NA)	 当时觉得陈松伶好好看            
(5星)	 看了部分评论，才发现，原来包文龙对我影响是有那么大。            
(5星)	 。。原谅我才想起来我看过            
(4星)	 重新又看了一次，好看，经典，包文龙绝对是个完美男人。和陈松龄也很搭             
(4星)	 只记得陈松伶挂掉了，我好好桑心…            
(5星)	 印象太深刻了            
(3星)	 还是伊面跟松松~            
(4星)	 除了郑伊健坐在屋顶扔纸飞机 还有那首《笑看风云》其它一概记不清了            
(NA)	 一直不怎么待见郑伊健啊。。。            
(5星)	 当时是有多爱郑伊健和陈松伶啊            
(5星)	 笑看风云乱，包文龙林贞烈            
(4星)	 林贞烈            
(NA)	 谁伴我闯荡 蜡笔小新 大卫鲍伊 air supply            
(5星)	 哇 好懷舊啊 主題曲深刻            
(NA)	 当年恨透郭晋安了！            
(5星)	 郭晋安演坏人增是坏到骨子里……回头想想，贞烈当年的发型偶中意得不得了~原来是跟中山美穗学DI  OVO 至于蕾蕾……我虽然喜欢郭蔼明，但对这个角色就是爱不起来 == 贞烈死的那集偶都哭死了！谁说爱情里不能有同情哒！            
(4星)	 和【大時代】一樣有代表性。            
(4星)	 最有感觉是陈松伶的角色，一个缺乏家庭温暖，为了生存不断说大话的小女人，最后在以为自己能得到幸福的时候死去。当郑伊健看到垂死的她，想将戒指带到已经被烧焦的手指上，却因为手指烧得红肿，怎么也无法戴上。这段超级煽情。            
(3星)	 比较杯具的是，这里面的角色除了黄天我都不大欢喜 - -            
(3星)	 我印象很深的一个片段，应该在开头几集里面：还是郑少秋的老板角色，这次他左手伤了包着绷带，右手捏着一快批萨，笑得很藐视一切，在那指点江山 —— 酷呆了。            
(5星)	 主题曲最好听            
(3星)	 喜欢黄蕾            
(4星)	 港剧又一完胜的点，每每看到总能回旋主题曲。            
(5星)	 21岁林贞烈遇到包文龙，吾舍得吹熄。。。这是讲什么的来着？我满眼只剩下陈松伶            
(NA)	 不喜欢陈松伶。            
(4星)	 年少时很爱看滴一部港片。。。            
(NA)	 2010-11-11 记不清了            
(4星)	 其实我亦记忆模糊            
(5星)	 要看一百遍            
(4星)	 陈松伶死的时候哭的稀里哗啦            
(4星)	 wow,这个剧的片头曲我现在还记得            
(5星)	 我要重新看一遍            
(4星)	 经典            
(4星)	 完全投入感情 至今印象深刻            
(NA)	 郑伊健+陈松伶            
(5星)	 超爱这部~            
(5星)	 我跟我妈不知道看了多少遍了            
(NA)	 剩下的记忆是同名主题曲~小时候自己的歌词本上抄过            
(NA)	 包文龙            
(4星)	 包文龙 林贞烈            
(4星)	 那个主题曲啊~~大金毛啊~~还有稚嫩的古巨基            
(NA)	 经典            
(5星)	 童年美好的回忆            
(5星)	 喜欢陈松伶和他的大狗            
(4星)	 人浮浮，水流流，往事一去不回头，劝君更上一层楼            
(4星)	 觉得那时候郑伊健好帅啊！！            
(4星)	 文龙和贞烈            
(NA)	 貌似是看的第一部港剧。            
(4星)	 林贞烈是真的美好.那个时代是属于松松的!,张延年轻的时候真漂亮啊,虽然现在也好看!            
(5星)	 对于港剧，最深的记忆。            
(5星)	 那个时候迷死陈松伶            
(5星)	 你敢说当主题曲响起时,你没有热泪盈眶吗?!            
(4星)	 竟然有耐心看十五年前的老港剧了,很动人,远胜现在的港剧... 那时候,伊面和松松真的绝配!&#34;包文龙就是那个看穿了你的小孩子心思，然后坚持不懈的把糖给你的人.而林贞烈呢，是那个别别扭扭但最后还是乖乖接过糖的小孩.每个人都愿意做这样一个小孩，如果有人坚持不懈的把糖给我.&#34;            
(NA)	 又看了一遍就是这样            
(5星)	 恩 那一去不返的小时候。            
(5星)	 喜欢陈松龄            
(4星)	 松松说，要相信爱，爱敌以及沦落人            
(5星)	 说起来，还真是喜欢这一部剧集～            
(5星)	 我爱郭蔼明            
(NA)	 又一部总是忘记看过的电视剧            
(4星)	 古巨基那时候好青涩            
(5星)	 我还记得贞烈记得那狗狗呢             
(4星)	 林贞烈啊  林贞烈            
(4星)	 经典之八/ 我爱伊人人人人            
(NA)	 那时候跟着爸妈看般配的哥哥姐姐，现在浩南哥也早已放下西瓜刀了。            
(4星)	 曾谨昌，周星驰挺爱用他的            
(5星)	 先不看了，看不下去。。。            
(NA)	 松松+伊面            
(NA)	 爱陈松伶到不行，也想买哪种袖子超长的高领毛衣。            
(3星)	 那主题曲深入人心。谁没有一些得不到的梦~            
(4星)	 活得开心 心不记恨            
(4星)	 小的时候就看了这些勾心斗角的人们啊            
(5星)	 经典之作！            
(5星)	 小时候=。=            
(NA)	 333            
(4星)	 高三。。。。            
(4星)	 小时候的记忆。            
(NA)	 主题曲印象很深。还有铁打的陈松伶&amp;郑伊健。            
(4星)	 早就看过，忘记变tag.太喜欢这部剧了，以至于每一个细节：主题曲、伊面、松松，很多、很深……            
(5星)	 算是我最爱的港剧吧，看了起码四五遍。因为该片喜欢伊面好久好久啊。            
(3星)	 太早了也太老了            
(5星)	 已成记忆的一部分了。            
(4星)	 至今仍很喜欢那首歌            
(5星)	 好喜欢陈松伶的角色。包文龙真痴情            
(4星)	 我二姐曾经疯狂喜欢郑少秋            
(4星)	 很喜欢               
(4星)	 好久前看的，不记得剧情了都            
(5星)	 实在对我来说太重要的一部片子            
(3星)	 记忆有些模糊了..            
(5星)	 小学阶段的黄金记忆。            
(4星)	 那时觉得港剧很牛X~            
(5星)	 大爱郑伊健和陈松龄还有狗狗真真,结局那个叫悲阿55            
(4星)	 那個結局對於當時的我來說是萬萬不能接受的。            
(3星)	 那个时候挺喜欢郑伊健的            
(4星)	 林贞烈啊！！！            
(4星)	 无意间温习了一次片头。当初多热爱，以为逐渐淡忘了，又似乎有一些东西，始终还在。            
(3星)	 只记得内个短发女主的大狗。。            
(5星)	 陈松伶的死应该让很多观众流泪了吧 看惯郭晋安演的傻子再来看这部剧觉得他还是很帅滴            
(NA)	 陈松龄牵着她的金毛，永远在脑海中的画面。            
(4星)	 当年追看的电视剧啊。            
(5星)	 陈松龄演的角色最后死的好惨啊            
(4星)	 对陈松伶和郑伊健的戏份印象深刻。。还有好像主题歌很好听 古巨基还很青涩的时候            
(3星)	 那时超爱这主题曲            
(5星)	 至今最愛的TVB，見證了自己的青蔥歲月。從此大愛郭藹明。。。 諸位，還會記得那個拷臺的號碼所代表的含義嗎？333，我記得，一直一直都會記得！            
(4星)	 很小的时候和老爸一起看            
(4星)	 经典剧集 ，还记得当年全班追看的盛况。            
(NA)	 看了又看            
(3星)	 好看的...很经典...            
(5星)	 疯狂赛车冲回家看的电视剧。。。烛光下的生日。那句台词我现在都记得.&gt;在21岁时，我认识了你。更爱郭蔼明和伊面一起。。。            
(5星)	 favor            
(NA)	 最喜欢郑伊健和最讨厌郭霭明的岁月            
(4星)	 歌儿很好听，看到情节都忘了，伊面和贞烈            
(4星)	 老的剧集都很好看啊~            
(4星)	 即使已经记不清剧情，但主题曲想起，仍能遥想好久            
(5星)	 港片呀港片            
(5星)	 又是部经典之作            
(5星)	 很喜欢片尾曲            
(4星)	 那时候喜欢陈松龄            
(4星)	 当年因为这部片子，超级喜欢郑伊健~            
(4星)	 那个时候很喜欢陈松伶。            
(5星)	 大概十年前看的．香港现在再也拍不出这种片子了！            
(4星)	 那个时候郑伊健红了一把啊！            
(4星)	 40            
(NA)	 温暖落泪            
(4星)	 最爱黄蕾            
(5星)	 喜欢郑少秋            
(5星)	 好象是在山东台看的，很久以前~            
(5星)	 少年回忆            
(4星)	 记得林贞烈和她的狗贞贞，文龙在满身纱布包着的贞烈的手上套上戒指，真的很感动            
(3星)	 喜欢郑少秋唱的主题歌            
(5星)	 狂多明星，太赞勒            
(5星)	 林贞烈与包文龙            
(5星)	 郑少秋还是很帅的            
(3星)	 记住了郭蔼明            
(4星)	 笑看风云            
(NA)	 剧情印象很稀薄了。。。            
(4星)	 喜欢陈松龄~            
(5星)	 那时狂爱郑伊健啊            
(4星)	 那是港剧辉煌期~            
(5星)	 大爱啊大爱。。。            
(4星)	 当时刚上初一，还不能欣赏陈松伶那种美。            
(4星)	 经典            
(NA)	 小时候很爱看啊            
(5星)	 强推，只是不喜欢最后的结局。            
(4星)	 为什么以前觉得郑伊健这么帅类，想不通            
(NA)	 经典之作，每放必看            
(5星)	 记得那时年纪小~            
(3星)	 看过一点点            
(4星)	 那时喜欢陈松伶比郭蔼明多一点            
(4星)	 谁OOXX过 刻骨铭心事~~~            
(NA)	 郭蔼明            
(4星)	 很清新的港剧            
(5星)	 启示多多            
(4星)	 啊```介就素童年            
(3星)	 我还记得那只牧羊犬            
(5星)	 人生无希望，难得有心人。            
(4星)	 Ekin 还有那时不爱现在比较喜欢的郭晋安            
(4星)	 黄天。包文龙。林贞烈。            
(4星)	 我是怎么会喜欢郭蔼明这种没身材又没脸蛋的女人的？我也被知性美敲了头了……            
(NA)	 当年这部剧有多火？当年郑伊健有多红？唉。            
(5星)	 郑伊健塑造的形象中钟爱包文龙！！！            
(3星)	 最记得系首主题曲！秋官唱得真好听！            
(5星)	 很小时看的，应该是刚接触港剧。            
(5星)	 1995            
(5星)	 还是老片子经典            
(3星)	 群星汇集            
(4星)	 非常经典,片头片尾曲也都很好听            
(NA)	 好多年没看着这么经典的电视剧了            
(NA)	 TVB            
(5星)	 包文龙＋林贞烈            
(4星)	 喜欢珍妮和她的狗.            
(3星)	 陈松伶真好看            
(5星)	 至爱            
(5星)	 真的很喜欢！            
(4星)	 啥也别说了，就是经典~            
(4星)	 当年我是怎么迷郑伊健的啊~~~            
(5星)	 很帅的黄天            
(5星)	 超喜欢,超好看            
(5星)	 林贞烈啊林贞烈..            
(4星)	 我最记得的三个人是：郑少秋，郭蔼明，郭晋安。            
(NA)	 看过两遍            
(4星)	 贞烈...........T_T            
(5星)	 似乎是我最早喜欢的港剧。            
(5星)	 我最喜欢的一部香港电视剧~            
(5星)	 TVB电视剧启蒙            
(4星)	 那时候开始不喜欢郭晋安。。。            
(4星)	 那时候很喜欢陈松伶            
(4星)	 还记得小时候妈妈让我先去洗澡，这样就不用错过一丁点儿电视剧了~~            
(5星)	 也是要用湿抹布给电视降温的时候，这么说也是暑假~~            
(4星)	 面面老帅了，嫩啊            
(5星)	 那个时候的郭晋安怎么也不红，明明演技出众，却被总是淹没，现在好了终于熬出头了。坚持才会胜利。            
(4星)	 当时为EKIN去看的            
(5星)	 现在还记得大概的剧情呢！还有片头曲好好听~            
(3星)	 还很稚嫩            
(NA)	 陈松龄和郑伊健的情侣档，可是为什么结尾要安排她死啊！！！那首歌挺好听的。            
(4星)	 有一个人叫包文龙。。            
(4星)	 除了我不喜欢第一女主角之外，其他的我都可以忍受            
(5星)	 喜欢林贞烈            
(4星)	 只记得黄天和包文龙了            
(NA)	 记得里边郑伊健有条很大的狗吧？            
(5星)	 哈哈哈哈，我好喜欢啊            
(4星)	 主题曲很熟悉            
(3星)	 谁会有一些，刻骨铭心事。            
(4星)	 笑看风云            
(5星)	 经典            
(4星)	 那时觉得陈松伶和郑伊健特配。            
(5星)	 大爱包文龙~            
(3星)	 在文化匮乏的年代，让人印象深刻，爱的稀里哗啦。如今重温，更多的是寻找记忆，因为记忆是美好的，不想忘记，这时的剧情即使薄弱，也无关紧要。            
(4星)	None
(4星)	 港剧十大恶人之一郭晋安演的这个角色，只记得还是坏的            
(3星)	 大爱主题歌！秋官的黄天和华哥的萧峰一样，完全是全剧的精神领袖，有他出场就觉得心安。郭蔼明这次又是爱而不得，哎~但也不用把林贞烈写死来制造机会吧！哭~            
(NA)	 回头再看这个全他妈的回忆            
(5星)	 最喜欢的港剧。            
(5星)	 林贞烈，林珍珍，人浮浮水流流，往事一去不回头，劝君努力更上一层楼，那个有笑脸的狗罐头，那跳蚤市场上，他为他摆摊的甜美回忆，她死在他们婚礼的那一天，曾经的TVB，那样的好看            
(5星)	 经典剧集            
(4星)	 当年我看这片子哭的一塌糊涂。当年我真的觉得郑伊健很帅。            
(4星)	 笑看风云过，然我怀念的不止是包文龙、林贞烈，还有郑少秋的歌。            
(5星)	 我爱贞烈 我爱文龙~ 我爱小时候看这片子时的心情            
(5星)	 好羡慕包文龙一家  贞烈不死的话 绝对的模范家庭啊            
(5星)	 包文龙            
(5星)	 最喜欢的TVB剧            
(NA)	 敢问当年谁没看过吗？            
(4星)	 经典的家族商战，郑少秋演唱的主题曲极其好听。            
(5星)	 经典!            
(NA)	 陈松伶            
(NA)	 不评价            
(4星)	 郑少秋我最熟的一部！            
(4星)	 最爱林贞烈            
(5星)	 绝对经典，秋官的时装剧收官之作            
(5星)	 主题曲深入人心            
(5星)	 包文龙是世上最完美的男人了吧，如果真的存在的话            
(4星)	 小时候和闺蜜起争执 她爱郑伊健与郭蔼明 我爱郑伊健与陈松伶 谁能料到10多年后沧海桑田已转变 人面不知何处呢？            
(4星)	 蛮好看的！~            
(5星)	 经典            
(5星)	 启蒙港剧，永远记得小学暑假那年，片头曲再次响起的时候，依旧是泪流满面~            
(5星)	 我的港片启蒙，彻底爱上郑伊健            
(5星)	 这是完全的虐我CP啊啊啊啊啊啊啊啊啊啊            
(3星)	 啊，当年郭晋安还面嫩，且亦没有双眼皮，不得不说郭晋安今日的江湖地位也是辛苦得来的挖            
(NA)	 当年很爱这一对            
(3星)	 最后为什么就死了            
(4星)	 直至消失天与地 ...  包文龙 林贞烈~            
(4星)	 少年时代的片子，怀旧下。。。            
(5星)	 心中永远的TVB经典！            
(5星)	 主题曲            
(4星)	 林贞烈！！！            
(5星)	 不厌            
(5星)	 印象很深的林贞烈~~~            
(5星)	 包文龙 林贞烈            
(5星)	 我最喜欢的tvb剧。。。            
(4星)	 一笑风云过            
(5星)	 无法超越的经典            
(4星)	 主題曲一響起 OMG！！！            
(4星)	 伊面那个时候真心意气风发啊~~            
(5星)	 第一次看到郭晋安 觉得好像张国荣啊  喜欢郭蔼明             
(NA)	 突然想起曾经看过那么好看的电视剧，感叹时代进步了，电视剧水平并没有            
(4星)	 不能忘记那个葬身火海的林贞烈，那时的郑伊健，古巨基还默默无闻            
(5星)	 這裡有多少復古情節啊            
(5星)	 众众众众星云集。。。。。            
(4星)	 挺喜欢林贞烈的 虽然我一直不喜欢陈松伶            
(5星)	 郑伊健啊郑伊健，小学时的最爱            
(4星)	 刘青云和郭蔼明，那是经典啊            
(4星)	 长发的伊面            
(NA)	 尽管当时年纪还小也很受这部电视剧的启发            
(3星)	 很久很久以前的港剧了。。。            
(NA)	 记不得了，唯一主题歌《笑看风云》很有味道。            
(5星)	 应该是看过的最好的港剧了            
(3星)	 只记得中天集团这个名字，和那个毁容的女孩            
(5星)	 是这部片，令我想起95年。            
(4星)	 陈松龄因为挂了所以盖了剧里几乎所有大腕的风头。            
(4星)	 郭蔼明最好看的一部片子            
(4星)	 弹X是不是也看了此剧的郑伊健            
(NA)	 某个年少无知的暑假 守着电视看 很过瘾地看 不过瘾地等            
(5星)	 当年看得痴迷，至今KTV还会点主题曲，思忖着是不是找时间补完一下……            
(NA)	 不太记得剧情了 呵呵            
(4星)	 最近又看了一遍，很经典。喜欢陈松伶。            
(5星)	 陈松伶的林贞烈简直是青少年时代的梦中情人丫 基仔当时还是小土鳖呢 演他女朋友的叫张延            
(5星)	 当初那个痴迷            
(5星)	 同样推荐。心灵洗涤，做个好人方能成功。            
(4星)	 秋官还有型。            
(5星)	 很经典·            
(NA)	 记得曾经问过一个人，贞烈这么好，怎么就让她死了呢？朋友说，那她不死你让黄蕾怎么办啊？。。。。。。好吧，我承认，这两人我都爱，她们性格中都有我想有的而没有的。            
(5星)	 经典            
(4星)	 电视也喜欢。歌也喜欢            
(NA)	 郑少秋3大经典            
(NA)	 觉得最可惜的是陈松伶的死。哭的好惨            
(3星)	 松松的作品            
(4星)	 今天忽然想起了这部电视剧，情节都不是很记得了，只是隐约记得结尾的地方有幕为一只包满纱布的手带戒指的情节，似乎是某天早上晨跑，一个小学同学说，她每次看到那里都会哭，搜了一下才想起来一点，包文龙和林贞烈            
(5星)	 经典到底是经典，我喜欢            
(4星)	 絕對迷郭晉安和郭藹明            
(5星)	 【42 308 333】为什么要让贞烈死掉呢？哎。。            
(NA)	 小时候只喜欢看古装、武侠，而武侠也是古装。于是，对同学们都说好看的这部时装剧，便只是有些印象。。。            
(5星)	 男人就是这样            
(5星)	 再看一遍，仍然很喜欢贞烈，包括她的苏牧。松松的角色一直讨喜啊，不论是贞烈还是天地男儿的蓉蓉都是最爱，黄蕾绝对是郭蔼明演的所有角色中最ANTI没有之一。            
(4星)	 郑伊健和陈松伶是TVB最经典荧幕情侣之一。故事不错，喜欢郭蔼明，不过当时对张延的清纯蛮惊艳的。陈松伶在最后死去让人很伤感。            
(4星)	 童年记忆            
(5星)	 片头曲好听，今天忽然忽然很想看。2011-9-13            
(NA)	 童年的经典            
(4星)	 我的妈呀！太经典了！            
(4星)	 这时候的郑伊健和陈松伶多般配啊            
(5星)	 为神马我还想看一次。  在我的印象中是经典港剧，当然还有萱萱的几部，都没有这个吸引我。 上次看啊又有些些体悟，古巨基啊郭蔼明啊====都都恰到好处。            
(4星)	 超恨郭晋安！演得TTM好了！！！            
(5星)	 好看呢！郑伊健演的哈~            
(NA)	 点解我甘都有印象？！            
(4星)	 陳琳琳的最愛啊！            
(5星)	 片头曲超好听            
(5星)	 最爱的一部港剧，喜欢主题曲...            
(3星)	 不太记得了，倒是那时郑伊健和陈松伶的情侣档让我还有点印象！（PS：古巨基还在这里面演过一个小配角！）            
(5星)	 谁没有一些刻骨铭心事 谁能预计后果            
(1星)	 看过的            
(4星)	 世界上每个人总希望自己能有呼风唤雨、叱咤风云之权能，但利之所在，却是忘义之先兆!       小时候，老姐和王湘要看《笑看风云》，我吵着看《新白娘子传奇》，百看不厌。现在，重看经典。       温馨和谐的包赞记一家，总是很热闹，包妈妈温柔善良，贤惠宽容，小龙这点最像她。            
(5星)	 好喜欢林贞烈和包文龙            
(5星)	 里面有郑伊健咩？我都忘记了            
(5星)	 若我再做林貞烈，世上已無包文龍。            
(5星)	 龙贞恋。            
(4星)	 很爱松松的发型            
(4星)	 那时候陈松伶多火啊            
(5星)	 看这部就是为了看郭蔼明，光芒四射            
(5星)	 经典啊。            
(4星)	 至今记得朗清            
(3星)	 主题曲很经典，剧情忘了            
(4星)	 郑少秋已经过了黄金时代了。            
(5星)	 好剧。            
(3星)	 没觉得好看            
(4星)	 经典，看了n遍了，片头曲都会唱了            
(3星)	 商战我不入戏，只是对包文龙的一往情深，不由感动，黄蕾说文龙和贞烈之间是同情，我当时信以为真，但是其实两个人怎么可能仅仅因为同情在一起？            
(5星)	 不说啥了。            
(5星)	 相当好看，90年代的典范力作            
(4星)	 其实郭晋安也能演帅气十足的坏人的！            
(3星)	 股市...狗狗...            
(3星)	 陈松林死的那一幕，骗取了我多少眼泪啊。            
(5星)	 初中时  蛮喜欢看的            
(5星)	 锺意郭蔼明~点解男主角都不喜欢人家。。。            
(4星)	 陈松伶。            
(4星)	 97年的经典回忆            
(3星)	 喜欢跟妈妈一起看，最开始还是蛮励志的感觉……还是郭蔼明漂亮啊，不懂男主的选择……            
(5星)	 最爱港剧，不解释！            
(NA)	 小时候的记忆，，            
(5星)	 郑少秋!!!            
(4星)	 安仔的奸角永远是最强眼的。            
(4星)	 看了好多遍，印象最深的是序幕中快节奏的生活。其实，我始终觉得郭晋安演反面很灵。            
(5星)	 333            
(NA)	 经典            
(4星)	 当时记得真的好好看…曾经好喜欢陈松伶            
(5星)	 小时候就是这部电视剧让我知道萨克斯，用萨克斯吹的主题曲特别好听            
(4星)	 喜欢黄蕾……            
(5星)	 小时候最爱的电视剧。。。            
(NA)	 秋官仍是最迷人的话说我怎么一直都不怎么待见郑某人呢，难道我小小年纪即有女性直觉能辨清人贱与否？            
(NA)	 郭晋安演坏人其实蛮好的            
(5星)	 岁月无声，谁能笑看风云。            
(4星)	 经典剧            
(4星)	 黄天的原型是荣xx吗，朗清在第一集对他的描述。。            
(4星)	 还记得陈松伶太惨了……            
