http://movie.douban.com/subject/2377277/	神探狄仁杰2 神探狄仁杰（第二部）
(4星)	 推理部分可无视，更像武侠片。最后的江州案尚可。            
(4星)	 狄胖大展神威            
(3星)	 套用網友所言，騙不到的狄仁傑，打不死的李元芳，還有陰謀中的陰謀，元兇會和盤托出深恐騙不到的狄仁傑會不懂，得閒出來扮裝的如燕，尚算有趣，美中不足是節奏頗慢，到揭破迷局後還要畫公仔畫出腸，有點無聊。            
(5星)	 好剧，逢播必看！            
(3星)	 很早以前就看过了..            
(4星)	 是个好剧，不过我觉得有些恐怖            
(5星)	 看过好看的，没看过这么好看的！            
(3星)	 额。。狄仁杰的徒弟是个傻子吧。。            
(3星)	 继续,后面的不错。            
(4星)	 我喜欢吕中。            
(4星)	 其实很雷的片子 不过我们还是一边批判 一边津津有味的看完了            
(4星)	 色调比第一部足了,前两个案子中多了两场感人的情感戏,让人感动了一把...不过这么多集中,台词重复率高的不行.            
(5星)	 和老大一起在宿舍看的，哈哈，想念和你一起看电视的日子~            
(4星)	 因为纯属无聊，先看了狄3，然后才下大决心看了1-2.以前放时嫌画面太过阴暗人物不够艳丽，所以每次都看几分钟就表看了。这次实在没东西好看，看了也还成，虽然有几集看不懂，不明所以。            
(4星)	 剧情最复杂的一部，蛮好看的。            
(NA)	 女神昕言            
(4星)	 大人真乃神人也！            
(4星)	 第二部退步了一些，也许因为看出套路了            
(4星)	 还是这部最好。            
(5星)	 不错哦~            
(4星)	 这作者会想 有意思 喜欢思考的感觉            
(5星)	 依然值得推崇  比起1来说 弱了一些            
(4星)	 画面一个灰            
(5星)	 李元芳，你是真汉子。            
(5星)	 相当棒的古装悬疑剧！            
(4星)	 前面两部还是不错的 可能是我比较耐心地去看吧            
(4星)	 不错啊            
(5星)	 好看~~~！！！！！！！！！！！！！！            
(4星)	 第二部也真的可以            
(5星)	 M一下。唯一让我连看4部而不中断的连续剧            
(NA)	 大人真乃神人也……噗……不过很喜欢李元芳啊~~~~~            
(4星)	 冲子健兄            
(NA)	 神探狄仁杰，2！            
(5星)	 演員超一流，編劇超一流，導演超一流。            
(4星)	 妹子出没就不好玩了=。=            
(3星)	 支持我看下去的是……如燕……            
(5星)	 岂止是看过...            
(4星)	 有点拖沓 有点神话            
(5星)	 依然經典如舊...            
(NA)	 骗不倒的狄仁杰，杀不死的李元芳            
(4星)	 色调明亮了，人物夸张了，蛇灵一案扯淡了，紫衣洋葱造型坑爹了。不过冲着李乖乖和血色江州我也要打4星。            
(3星)	 20111120            
(4星)	 水准之作            
(3星)	 好好一部电视剧弄这么长。            
(4星)	 個人覺得這部是這系列拍得最好的            
(4星)	 可以的，虽然没1好，但还是不错的            
(4星)	 挺不错的，适合消遣。            
(4星)	 开始哆嗦了，不过也是不错的一部片            
(4星)	 国产剧中的佳作~神探狄仁杰系列中的精彩一部~            
(4星)	 第一部往往是无法超越的，不过这一部比起后面的还是好看多了            
(5星)	 最喜欢的国产剧之一            
(4星)	 三星半            
(5星)	 第二部最好看            
(5星)	 以前看了不知道多少遍了，真的很好看。            
(4星)	 我妈妈那个爱呀。            
(5星)	 很喜欢看，看了一遍又一遍~            
(4星)	 元芳！            
(5星)	 虽然老狄被塑造的太神乎其神了，但其分析推理的思维还是值得学习的            
(4星)	 故事情节还不错，就是跟第一部比有点拖沓，李元芳越来越神了。。。夸张。。。            
(4星)	 可以再紧凑一点            
(5星)	 狄胖仔化身气质帝 李元芳永远打不死             
(4星)	 好聪明。            
(5星)	 蛇灵精品！！！            
(NA)	 这几部虽然有点啰嗦 但是值得看 慢慢的体会逻辑思维吧，，，            
(4星)	 显儿在这儿吧？            
(3星)	 想到日剧古田任三郎，侦探们都爱把事情说给罪犯听，好让自作聪明的罪犯自投罗网。            
(4星)	 想当年上课偷偷看            
(5星)	 继续爱元芳            
(4星)	 陪看。。            
(5星)	 很好看~当时还买了书回家看~            
(5星)	 还是力荐吧， 这种好剧不多。            
(5星)	 好看！            
(4星)	 李元芳又没死。又没死。又没死。            
(5星)	 我最喜欢第二部            
(5星)	 最喜欢这种破案什么的了。古装也很有意思。            
(NA)	 胖胖的一头老狐狸，北京人艺的演技派梁冠华版的狄仁杰；深入人心、立体且细腻构造的情节、人物令人佩服，推荐休闲时最佳“伴侣”~~嘿嘿            
(4星)	 剧情有点拖沓，有些推理太明显，还在那里纠结半天，急人。            
(5星)	 跟前一部差不多，剧情越来越无间道了。            
(5星)	 神            
(4星)	 满中国特色的，舞美也很精致            
(3星)	 第三个故事好些~~            
(4星)	 对这类题材还是偏爱呀            
(4星)	 悬疑继续，蛇灵案一开始真是吓得要死            
(4星)	 打发了大把的时间，却又不曾后悔            
(3星)	 蛇灵案挺精彩，太悬疑了，我都知道假狄春和苏显儿的身份，最后还是觉得相当诡异，谁也猜不到结局            
(3星)	 还可以吧，剧情稍显拖沓，蛇灵案子不错。            
(3星)	 “學生不明白”：怎麼就拖拖拉拉那麼長時間呢？還好有個美女~            
(5星)	 狄仁杰偶像没的说            
(3星)	 我们任何事都不能落在其他民族之后，为了回应西方的福尔摩斯和日本的柯南，展现民族高深的智慧，于是狄仁杰以一种全新的姿态出现在荧屏之上。            
(3星)	 居然敢给李元芳加感情戏 编剧吃屎了吧 不知道中国妇女观众多啊            
(4星)	 蛇灵部分设计得很诡秘。            
(5星)	 最喜欢的一部            
(4星)	 老钱原来是那个护卫，太WS了。 胖仔简直是气质帝            
(4星)	 不错 不错 有时间再看一遍            
(4星)	 狄国老！元芳！！！            
(3星)	 好好一部电视剧弄这么长。            
(5星)	 跟第一部一样好看。            
(3星)	 当时觉得李元芳实在太彪悍了，那功夫怎能如此出神入化。            
(5星)	 这部最好看，蛇灵。            
(NA)	 妈咪            
(NA)	 胖子很可爱，元芳美！【喂】            
(5星)	 虽然我始终坚持第一部是经典，但是第二步也不错看。            
(4星)	 导演您是有多省演员啊。。。张大爷这集死在了这个村里下集换个村子就变成了李大爷。。。            
(3星)	 最后一个案子不错。            
(3星)	 我讨厌莫名其妙的邪教组织忒坑爹了……我讨厌易容术忒坑爹了……            
(5星)	 洗翻死啦！！！如燕！元芳！狄胖胖！            
(NA)	 拽！            
(4星)	 狄仁杰的胜利，应该是常识的胜利吧、            
(5星)	 很好，就是李元芳太bug了            
(4星)	 正看上瘾呢，中規中矩的一部            
(5星)	 第二部是整个神探狄仁杰系列中最好看的一部。            
(4星)	 剧情依然很啰嗦            
(5星)	 我觉得比刘德华神马的狄仁杰好看多了去了去~            
(4星)	 神神叨叨            
(4星)	 就是节奏太慢了            
(4星)	 挺不错的            
(3星)	 神探——神剧——相当神！不过没关系，我还是很喜爱看到狄大人的胖脸。不爽的是李元芳开始有感情戏了......其实李元芳是我的，你们谁也表和我抢！            
(NA)	 所谓断案就是，主谋都在你身边            
(4星)	 大人真乃神人也            
(4星)	 狄胖胖依然骗不了，李将军开外挂变成无解模式            
(5星)	 蛇灵有木有。            
(3星)	 一直很忠实            
(3星)	 太罗嗦了。            
(5星)	 情节虽有点悬乎，但还是挺曲折的，值得一看。            
(2星)	 可以做反面教材了。还有那个捉襟见肘的“石国”            
(3星)	 场景山寨+1            
(3星)	 看了第一个故事，不好看，弃！            
(4星)	 我只想说，梁冠华的样子真可爱~~            
(4星)	 蛇灵            
(3星)	 “我已经很生气了，你最好不要再激怒我”//“不可说，不可说呀，呵呵呵呵”            
(3星)	 幽州案完了就算了  蛇灵案不好看！            
(4星)	 情节设计的不错~            
(3星)	 其实应该就看过一部 哪部忘了            
(5星)	 真是奇哉怪也！            
(2星)	 在家里其他三人的带领下看完了。还真不好看。            
(5星)	 第二部应该是三部里面最经典了一部了，不是一般的喜欢            
(5星)	 2006年12月            
(5星)	 跟着我姥姥看的，觉得还蛮有意思嗲！            
(5星)	 十分不错，当断则断，从不拖泥带水。            
(5星)	 蛇灵一案，出神入化            
(5星)	 女主角真漂亮            
(4星)	 哦，元芳...            
(5星)	 继续疯狂的萌狄大叔。。。我的喜好果然是比较奇怪的            
(5星)	 如燕啊...............!!!!            
(3星)	 我的哥呀，竟然把碟买回来看            
(3星)	 人皮面具这个道具竟然变得越来越神奇了……没看完，不打算再看了            
(3星)	 比第一部差……            
(NA)	 三部都看了，但是水平逐渐降低啊            
(4星)	 梁冠华演得很不错，他让狄仁杰我在心目中定格了，就像王刚永远是我心目中的和珅            
(4星)	 不如第一部            
(5星)	 第二部案件比第一部更好            
(NA)	 李云芳你最牛了！            
(NA)	 大陆很少拍出这么好的电视 尤其难得的是第二部还是很好看 但是第三部就不如前两部了  第一部和第二部 力挺            
(4星)	 狄仁杰&amp;李元芳&amp;如燕            
(4星)	 挺好            
(3星)	 导演不咋地，演员很卖力，编剧白费力。            
(3星)	 看完第一部，追着看第二部。            
(4星)	 断案如神，扣人心弦            
(4星)	 比第三部好看。            
(5星)	 喜欢            
(4星)	 编剧还是很牛逼 虽然看到后来都会猜到发生什么            
(5星)	 最喜欢元芳如燕            
(3星)	 笑死.....著名古装搞笑            
(5星)	 狄胖            
(4星)	 不如前作            
(5星)	 简直是无可挑剔！有空也看看吧。            
(5星)	 没有第一步引人入胜，但是也不错。            
(3星)	 元芳。如燕。            
(4星)	 很好，比第一部稍微拖沓点            
(3星)	 喜欢那穿插其中的一点点的含蓄的温暖。            
(NA)	 聪明绝顶，惯用断案手法，推理，真是神探            
(3星)	 有些地方很假，但情节还是很有吸引力的~~~            
(4星)	 好看            
(4星)	 还可以。。。            
(4星)	 好看,就是最后破案的情节太雷同,最后结局永远都是狄仁杰现场解说            
(3星)	 kill time 参考国产烂片大背景……别太苛求较喜欢梁冠华            
(3星)	 相比第一部，越发臃肿的不只是梁冠华的身材，整个剧情也变得冗杂起来，剧情发展前台布景总是透着一股假气            
(4星)	 元芳同学在每一部里都有一段露水姻缘，但最后一定会回到狄胖胖身边。    囧            
(4星)	 大人，你也太神了吧……            
(3星)	 当时看的觉得一般，画面一般，剧情拖沓，可就是想一集一集的看下去……            
(4星)	 还行            
(3星)	 没有那个谁，就完美了。。。            
(NA)	 特技成分有些多了            
(3星)	 胖子是万能的~            
(4星)	 聪明的人我都喜欢！精彩的影剧。            
(3星)	 服饰一流的考究- -            
(3星)	 情节还行，但是里面的台词实在是烂得不一般，现代化的语言和古语夹杂在一起，又用了一堆现代推理小说里常用语言，怎么听怎么让人喷饭~             
(4星)	 精彩            
(3星)	 蛇灵 哈哈。对不起我们都把这当搞笑片了            
(NA)	 尽管推理不是很严密，但看起来还是挺过瘾的！            
(3星)	 真的很啰嗦 还兜着圈子说话 但是案子都十分精彩            
(4星)	 虽然推理有诸多纰漏但是国内片子已属上乘            
(NA)	 哈哈 看过看过 看的是他给我买的碟，三也看过。哈哈            
(3星)	 老高的原著被改成这样了……他老人家死不瞑目啊            
(4星)	 高考前的睡前大餐 哈哈 七人同守在信号差劲的二十几寸大电视前，何等幸福            
(3星)	 听说是从人家国外片中取得营养，但是我看的还行            
(3星)	 李元芳很帅!            
(5星)	 和1一样好看，李元芳越发的帅气了~            
(3星)	 还是一比较好一点            
(3星)	 旁观来的            
(4星)	 骗不倒的狄仁杰、打不死的李元芳。不过就是喜欢看他们的骗不倒打不死，呵呵。            
(3星)	 有重复的嫌疑            
(4星)	 第二部的第一个案子还是满吊人胃口的……            
(4星)	 喜欢如燕却不知道好在哪里~开始陶醉于梁冠华笃笃定定、说书一样的破案时的声音            
(4星)	 我发现但凡我爸爸想看的片子都是和推理、公正、正义有关系的。。。嗯，是的，深深受我的影响嘛~            
(NA)	 真的有百看不厌的感觉^-^            
(NA)	 也是爸妈爱看，我就跟着看了            
(3星)	 简直就是在背台词了，但还是会去看他们背台词            
(5星)	 支持蛇灵!支持李元芳!            
(5星)	 很好看~~这个系列都很好看            
(NA)	 好看            
(NA)	 娱乐还行~~            
(NA)	 这个电视剧很有爱。。。李元芳和狄如燕。。万岁。。            
(NA)	 很喜欢的推理片            
(4星)	 看起来很爽            
(4星)	 同上。稍弱。            
(3星)	 曾泰的存在就是为了捧臭脚的。一个漂亮的19岁的女人的清白之身，我在第二部最后一个故事中知道了这些。锦娘长得的确不错！            
(4星)	 虽然较第一部稍嫌拖沓，不过如燕的加入着实添色不少~~            
(3星)	 有点像古龙小说。            
(5星)	 经典            
(5星)	 绝对经典            
(4星)	 演的好。            
