http://movie.douban.com/subject/5908504/	我的如意狼君
(3星)	 狗血的结局啊。。。。被主题曲毒害。。。。。。。。            
(4星)	 结局坑爹。            
(3星)	 没有爱的恨不是恨，没有恨的爱也不是爱。            
(4星)	 消磨时间还不错            
(3星)	 结局真心受不了了。。。。。            
(4星)	 结局，我笑了，这是导演非要男主死吧！！！！想不通~            
(3星)	 追了20.5集，大结局看到黄浩然被捅了一刀后有医院不去大白天在空无一人的街上缓慢蠕动着爬去见牛奶糖的时候突然觉得好没瘾，然后就没看了。。。还有黄浩然童鞋的双眼皮真是惊人，嗯！~            
(5星)	 今天看完結局了  其實一直心裡有個暗示  告訴自己 不會是happy ending 真的好久沒看這種類型的TVB了 總之 TVB式的感動 會一直留底  永遠都不會變 黃浩然真的演得很好 還有周麗淇 一直覺得她是除了唐寧之外的 港女代表。2012第一部TVB算是開了一個不錯的頭！！！            
(4星)	 近几年来挺不错的剧。陈秀珠演技非常好。            
(4星)	 多好的剧毁在结局上。。。不懂他为什么不去医院。            
(3星)	 本来还可以多一颗星的，就是结局太2了。            
(4星)	 除了结局比较无语之外，还是不错的···            
(5星)	 牛奶糖说，其实天已经对我们很好了。            
(NA)	 结局毁了……            
(4星)	 个结局。。            
(4星)	 和韩剧≪坏男人≫如出一辙，不仅是剧情，连名字都一样那么。。。。            
(4星)	 复仇的故事好看，虽然狗了个血的，基督山伯爵，红与黑，坏男人！还有美剧revenge            
(3星)	 第一次觉得黄浩然长得帅。。            
(4星)	 比想象中好看很多。。            
(NA)	 本想说在这个剧慌的时代终于久旱逢甘霖了，但最后一集简直是狗屎啊对得住我通宵肿着眼睛熬完麼！还有，点解TVB总要搞这些难以启齿的剧名！！            
(4星)	 结局能不能不那么虐啊，期待他俩继续的情侣档，小女孩真可爱！~            
(3星)	 这编剧太2逼了…插你一刀试试！！！卧槽居然不第一时间去医院反而要爬回家…智商哭了…            
(4星)	 看前20集都很喜欢啊，本来看到剧名就被雷到不想看，但看了两集发现这部剧虽然低调演员无亮点但剧情还是比较给力~~可是结局，结局，结局！！！太狗血了吧，中了一刀，有那么点力气爬到船上自生自灭，不能早点爬到医院有点求生意志啊！！活生生的被编剧搞成了悲剧啊，果断剪掉一颗星...            
(NA)	 为了配合2012的到来。。男猪最后只能登船了            
(5星)	 太虐心了。            
(4星)	 多么脑残弱智的一部剧集，我居然追到情难自禁，黄浩然周丽淇的演技是如此稀巴烂，我居然觉得她们挺顺眼。            
(4星)	 演员无雷区。女主没啥看点，黄浩然演技一向不错眼神很出彩，姚子羚跟徐子珊胡定欣类似，演心机女比演纯良少女顺眼很多。复仇神马的虽俗套也能吸引人看下去，再曲折点少点煽情就更好了。结局虽是打破了别管中弹跳崖只要不见尸几年以后一定活着的定式，但还不如嘱咐原医生然后咽气再被弄上船合情理些            
(2星)	 典型的师奶爱情小品，剧情狗血，结局讨厌。消磨时间不错。神奇的是豆瓣竟然有7.7分            
(4星)	 黄浩然是流了多少眼泪啊，不过演技不错，难得。故事拍到后来有点拖沓，要死不死的。高家大小姐那段有点牵强，依她的性格应该不会做这样的事情。            
(4星)	 太他媽的狗血了！！！！編劇是吃屎的啊！！！            
(4星)	 港版坏男人。            
(4星)	 其实我最喜欢三小姐，至少自私的很真实。            
(4星)	 剧情跟韩剧《坏男人》差不多，原来都是改编基督山伯爵，好故事果然经久不衰。黄浩然是我一直中意的男演员，周丽淇也很讨人喜，除了片名和结尾，一切都很好！            
(3星)	 好好的一部复仇+浪漫爱情戏就毁在了狗血+脑残的结局上！            
(4星)	 结尾是神马意思，让姚子羚捅刀给黄浩然，而黄浩然不争气的瓜了            
(4星)	 十字绣电视剧11.。。。。。前面不错，后面剧情是不是太扯了？            
(4星)	 尔乔超级美啊            
(4星)	 很久没看到这么好看的tvb了...感情戏很动人勾心斗角也看的很爽            
(4星)	 每次听黄浩然喊周丽淇 都像在叫她除衫= =            
(3星)	 尼玛又是一个烂尾            
(4星)	None
(4星)	 停在 20集就刚刚好了~            
(NA)	 结局太狗血，有那功夫满街走，就么那功夫走去医院，治好了和你心上人长相厮守，讨厌这为了悲剧而悲剧的结尾。            
(NA)	 一路看来还蛮喜欢，但结局真的太坑爹太狗血了。。。            
(NA)	 过度煽情+烂尾。            
(4星)	None
(2星)	 剧中的坏人就该坏事做绝，怎么坏怎么来，十分违背常理，本来十八年后来复仇的腹黑男还挺让人有好感的，可是结局太烂，编剧又当观众白痴            
(4星)	 其实只有20集。            
(NA)	 窝在家里把这部煲完了。没做台庆剧有点可惜啊。最后1集半有点多余，but，TVB最近都烂尾。主题歌加1星，片名扣1星。            
(4星)	 当我觉得该结局却没等到结局的时候，我就知道这注定是个悲剧了...            
(4星)	 李浩同牛奶糖一起，我才相信爱情，所以我永远都不会看第21集。            
(3星)	 结局实在是无力吐槽！！！make no sense好嘛！！！！            
(4星)	 剧名傻了点，题材俗套但故事说得不错，比万凰之王之流强多了。高大小姐真美即便她干掉了男主。            
(3星)	 每个剧情都是男主角喜欢小时候的那个她。。。尼玛，长大后木有真感情！！那个董帼馨真的是杀人不眨眼 这种女人太可怕了。。。            
(4星)	 傷透的芯花睁不開，灰的天等你回來。（好久不見周丽淇。）             
(NA)	 前面還蠻好看的。到後面就覺得乏了，還有那個結局。。還有這個片名。。            
(4星)	 男猪脚竟然死了！！！            
(3星)	 那些很浪漫的爱情故事通常男主角都是要死掉的            
(3星)	 最近TVB流行在大团圆结局的后面再加一集，把美好的东西打烂烂.....            
(4星)	 此戏让我发掘了新欢罗一❤v❤主题曲居然请来张德兰出山，惊艳到了；姚子羚气质好好，其实这部戏选角都挺合适。想起昨晚童本善真的死掉了还是好桑心啊影响工作效率啊。。。。            
(3星)	 大结局男主角被捅伤不去医院而是自己跑去洒血街头这个戏码狗血得实在无力吐槽            
(4星)	 李添胜的作品总是很有保障，一般都会是中上水平，不愧是金牌编制啊！在江河日下的港剧中，添叔屹立不倒。一如小时候记忆里的港剧，很温情。善良总会战胜一切。            
(4星)	 不喜欢结尾            
(3星)	 结局真烂。。非要走悲情路线吗。。            
(NA)	 深刻的说明抓住一个男人要先抓住他的胃            
(NA)	 结局太讨厌了            
(3星)	 跟著我媽看了部師奶劇。。。            
(4星)	 其后若相见，可认出声线。            
(NA)	 结局太狗血！！            
(4星)	None
(3星)	 一句话形容：开头很赞，中旬拖沓，结尾狗血比起之前的铁马寻桥和义海豪情，这部相对逊色黄浩然的演技没有问题，可惜这个角色不够彻底女主角周丽淇除了第一集训伙计时有霍青桐的风范之外，其余的不是哭就是病，不是摔就是瘸，没有第一女主的深刻影响力，所以反而是第二女主令人惊艳姚子羚终于会            
(4星)	 最后不会很伤心但是很可惜。最后这算是登船了么。            
(3星)	 打破tvb一貫的完美結局，不完美的結局都幾好吖！            
(NA)	 大过年的看个剧结尾还是悲的！！！            
(5星)	 如果在20集就完结该多好啊，编剧非要弄个21集的那么伤人的结局。他们在6岁就分开了已经很惨了，十年又十年的等，就不能有个完美的结局吗，李浩不死就不行吗？死编剧。            
(3星)	 虽然还是没有耐性拖着看的，但黄浩然好帅姚子羚好美，喜欢这两只对手戏，虽然都是假的~~女主这款真的没兴趣每次都直接跳过她的戏份。0甘高尔乔更冇对过佟本善唔住瞬时泪奔啊！！！ending实在……            
(5星)	 无论是配乐还是剧情都很像恋爱养成游戏的悲线结局~狗血啊狗血！            
(4星)	 好爱niki和黄浩然的搭配很亮眼！但是你为嘛嘛是个悲剧啊，不用和《坏男人》像得那么彻底吧。。。            
(4星)	 很赞的电视剧，不看完就不想看书了啊！黄浩然演技太赞了，那个眼神，啧啧啧            
(NA)	 看着不烦，剧情不矫形            
(4星)	 结局真心太突兀了。。本来可以五星的。。。            
(3星)	 黄浩然笑起来好可爱 周丽淇和那个什么医生每次一对话我都跳过……各种乏味……            
(4星)	 一边做表一边快进着看完，不错的剧，最打动我的是那一句，你怎么知道，我的西装下面，也许是一个满身烂肉的怪物            
(4星)	 #我的如意狼君#来生许你个今生来世，恶补大结局，虽然一贯的TVB老套戏路，但是张德闲的主题曲简直是重磅催泪弹，唯有TVB香港人可以刻画出曾经那独有的民国爱情风味，最后一整集猜想男主最终是生是死时，导演最后给出了是无情的催泪。上一世的李浩推着牛奶糖跑，今生的佟本善要用一生去背徐鑫！下一世见            
(2星)	 什么结局嘛！！！竟然是悲剧，而且楠竹死得太不知所谓            
(4星)	 结局雷得要人命啊。            
(4星)	 是悲剧！！起了这么三俗的片名，竟然还吝啬给个烂俗的Happy Ending！！坑爹……            
(4星)	 又一部魂牵梦绕的 从黄浩然刚开始演电影我就很中意他了~大结局实在闹心!!!人生已经这么多挫折妥协了，电视剧还要悲情收尾让不让人活了!!            
(1星)	 你黑掉了天与地 就是逼我看这个俩木头人演的剧呗 好 我看完了             
(4星)	 请去勾引尔泰！！！！            
(5星)	 徐芯等不到佟本善，佟本善等不到牛奶糖，而原医生却等不到徐芯，可是冥冥之中佟本善却不知道牛奶糖就是徐芯。他们都以为等不到自己喜欢的人，明明在身旁，却是不知道。其实爱一个人很容易的，但是当你要放下一个人的时候却是很难。明知道有些爱是没有结果的，可是她还是会坚持。。。            
(4星)	 #看的#tvb年度最烂命名之下，居然有一颗不错看的心。没有《天与地》的日子，有这个也不错。除了最后的结局实在没什么必要，其他都挺好的。            
(5星)	 其实真系好D,之但系个结局真系超级无敌垃圾            
(5星)	 喜欢这种风格的！多好的一部剧！就是剧名太俗气了，差点以为是喜剧。。。            
(5星)	 小制作，都是二线演员，但是却成为本年度TVB最大的惊喜            
(4星)	 是TVB今年唯一好看的戲 但没想到結局直接毀了整個劇。这几天一直期待就為了这個烂结局嗎？演到最後演一分鐘还以为有什么奇跡會出現 怎麼知道21集簡直是多此一舉。定格在20集結尾就是啦 或許還能欣慰一些。所以說不管是電視劇或電影 結局都非常重要。你剧情再怎麼好 结尾应该更好。            
(4星)	 黄浩然穿着大衣的样子很有型啊！！！！腹黑男神马最萌了            
(4星)	 第一次看TVB的剧追的这么勤…            
(4星)	 追到14集，目前为止满意，因为有周丽淇和黄浩然~            
(5星)	 一直在追剧，很好看            
(4星)	 黄浩然不错哦~~            
(4星)	 结局怎么能这样，好生气！！！“李浩的智商都跟血一起流光了。”             
(5星)	 2011TVB完美收官之作！如果今生再见不到你，下一世见。            
(3星)	 靠啊。男主就这么死了？！            
(4星)	 没想到居然真心觉得不错 在日渐无趣的tvb 也算是独树一帜 毕竟面孔终于不再是那些看到吐的人了 周丽淇越看越顺眼 黄浩然也有了自己的feel 追下去            
(4星)	 黄浩然黄浩然黄浩然~            
(4星)	 男主某些角度真像张智霖            
(3星)	 和坏男人好像，换了个背景            
(NA)	 于是，没有奇迹呃？唉唉唉            
(4星)	 主演都很不错。。TVB已经没救了，不过NIKI真的很治愈，声音也很好听。。            
(5星)	 很喜欢这部片子！周丽淇，好清新~超喜欢~            
(5星)	 tvb给多些二线的演员啦，还给胡杏儿影后，潜规则咩。。。            
(4星)	 最受不了的各种错过。。什么时候，我们才会有心意相通的时刻，在我望着你的背影的时候你会恰好转过头来。            
(5星)	 黄浩然好帅~\(≧▽≦)/~啦啦啦            
(3星)	 看到后来真是鸡肋，食之无味弃之可惜。周丽淇到确实灵动得很，剧情用大脚指都能猜出怎么回事，人物刻画太过脸谱化。            
(4星)	 结局真是一颗老鼠药             
(4星)	 比天与地好看多了！！            
(5星)	 没办法，总是对民初剧莫名感怀。我果然被说中了，属于那个年代的人。。。5555            
(3星)	 niki演戏不行啊，虽然很漂亮            
(5星)	 喜欢主题曲            
(4星)	 尊心不想看最后一集了。。悲剧你妹！            
(3星)	 就算是添叔的剧也只能打三星，谁让跟天与地一起播呢，对比出了距离。腹黑贵妇和复仇渣男的故事挺好。但是，请问女猪脚跟剧情发展有半毛钱关系？每天不是苦瓜脸就是装纯情，演技差的没演看，删掉她也完全不影响整个故事那么她存在的意义到底是神马！            
(3星)	 结局撒狗血。。都算好看。            
(4星)	 本来只值三星，但是今年的剧质量普遍不高，暂时四星，看完再做决定。            
(4星)	 添叔，真是tvb的浪漫之王。赚眼泪什么的不要命。TT。。。            
(4星)	 喜欢。腹黑男。            
(3星)	 缩成10集再把牛奶糖换成高子乔大概会出奇制胜。感人点还是很多~只是其实要哪天哪部TVB剧有逻辑了大家是不是反会惊叹一番 = =            
(4星)	 大眼哥很能泡妞。。。            
(NA)	 剧情类似于 韩剧 坏男人 啊            
(3星)	 结局居然是下一世见……其实佟本善马上去医院的话，根本不会死啊。            
(5星)	 今年末tvb剧的惊喜，喜欢黄浩然，主题曲很好听            
(3星)	 结局又在搞屎啊，受伤了不去医院在大街上乱逛最终搞死了自己，晕倒。。。请问编剧是觉得这个时候男主在想什么啊？觉得必死所以干脆不治了？他怎么知道救不回呢，愚昧！            
(3星)	 无临到系悲剧收场            
(4星)	 结局大段的回忆和眼泪都被我快进了= =一切为了背书！            
(5星)	 艾...             
(4星)	 劇情很簡單            
(3星)	 2011-12，olinda。主题曲好好听，周丽淇越看越喜欢啊~~~我快变成男人了啊啊啊啊啊啊，超喜欢她这种感觉的女人 2012-1-3，完。结局。。。。太装了，降星            
(4星)	 李添胜+民国+周丽淇+黄浩然+一如既往的TVB狗血结尾            
(NA)	 还差2集。其实结局大概都猜出来了。看过坏男人的应该都知道。虽然剧情有抄袭，不过港人演得也有自己的风格。年代不同。觉得2个大小姐演得不错啊。            
(4星)	 结局多加一个俩人回眸含泪相视一笑的镜头不行咩？！！            
(3星)	 结局是败笔            
(4星)	 感觉好久没在tvb的剧里看到货真价实的美女主角了……            
(5星)	 佟本善的死是自己作出来的好伐            
(4星)	 nnd，还真死了~            
(4星)	 尼玛，本身就够虐的一部剧大结局还是悲剧收场！！！            
(2星)	 haishiruo 结局槽点很多笑点同样多            
(4星)	 下一世太虐了            
(3星)	 酱油餐，牛奶糖，海豚，我最烦的三个关键词。。。            
(4星)	 其实觉得挺好看的嘛！我喜欢那种上一集结尾后迫不及待看下一集的电视剧            
(4星)	 结局太狗血啦 总体还不错的~            
(4星)	 还不错，这个结局比这年来以往的港剧合理            
(3星)	 原医生要是不是那么闷真是我的理想型            
(4星)	 平生追的第二部TVB~            
(5星)	 没有宣传，却比哪部都好看，因为此剧，喜欢上黄浩然，熬了这么多年，也该出头了吧！~~~            
(4星)	 下一世见。            
(4星)	 胜在不牵强。            
(3星)	 三星半啦。李添胜监制一星，黄浩然一星。这个结局。。佟本善简直就是自己杀了自己嘛，理解无能。周丽淇没能在这部为她个人打造的剧集里面出彩实在可惜，演哭戏不到位，建议多看看周迅是怎么演戏的，不过，我还是蛮喜欢她的，没啥心机的姑娘。            
(3星)	 我其实喜欢尔乔。            
(4星)	 除了结局不喜欢。。。            
(3星)	 我靠之！干嘛要弄死本事哥啊！            
(4星)	 记得推荐时候说的是民初纯爱大戏啊！嘿嘿！            
(4星)	 虐恋50%，争产20%.，复仇20%，友情10%。最后是亮点，高尔乔突然给佟本善一刀，依然是“爱你就要虐死你”的言情口袋本路线。            
(5星)	 彻底改变了我对黄浩然的印象。陈秀珠气场强大            
(NA)	 这是TVB改革以来我看过最感动的一部。难得的悲剧。            
(4星)	 片子还可以，民国背景不是很喜欢。男主演技不错~眼泪汪汪的真是我见犹怜啊=w=牛奶糖神情木然不来赛-。-姚子羚不错！龚嘉欣pp吖！最后一集如果砍一半，到两个人给小侄女取名字结束的话就正好！            
(3星)	 九十年代水平            
(5星)	 年末惊喜之作~            
(4星)	 因为这部剧喜欢上姚子羚 感觉周丽淇这个角色根本就是多余的 完全可以不要出现 =_= 周丽淇也可以不用出现 整个演技不想去评价 唉...好好的一部剧 结尾很狗血 一如既往的TVB...不知不觉TVB从必须大团圆走到了必须残局结尾...            
(3星)	 要不要这么惨，TVB还是给我们大团圆吧~            
(4星)	 总之结局很神奇，看得我囧死了            
(3星)	 好不喜欢周丽淇啊~            
(4星)	 整体故事不错，结局不喜欢            
(5星)	 剧情虽然沿着自己设想的那样发展，可结局既然没看懂，男主角到底是死了还是不愿意回来？            
(2星)	 再不相信HH的推荐了            
(3星)	 结局让我非常费解。。。            
(5星)	 尽管结局不是尽如人意，但这样的悲剧真的更美，更能体现出这部片子的意义。不喜欢悲剧的我，唯一的一个例外。            
(3星)	 结局很脑残            
(4星)	 感觉两人的童年回忆最感人~另外,李添胜的剧我最中意啦,支持他!黄浩然的演技不错有木有~            
(4星)	 美男计 浩然肿么总是杯具            
(4星)	 大概是要表达虐恋情深，也确实让俺鼻涕眼泪一把。可是男主死得太故意了。我也知道出来混总是要还的，可也要给个合理的死法先，不然我以为男主是自己很想去SHI。头集乐观冷静的女主形象后面直接变林黛玉了，每一集都有哭戏啊。本来是冲着周丽淇看的啊。表示最爱小牛奶糖，很萌~            
(4星)	 结局有点拖拉了。演员都蛮可爱的，黄浩然那漂亮的双眼皮啊~~~~~~~            
(4星)	None
(3星)	 老戏骨们才是亮点            
(5星)	 配乐真心赞，但看完BLX还是渣一地扶都扶不起来啊(┳＿┳)... 一定要这么虐心咩！来个大团圆结局不是很好吗( &gt;﹏&lt;。)～呜呜呜......             
(5星)	 你永远看不到我眼里的温存。男女主人公的前世和今生，再无他人能进入的内心            
(3星)	 抄袭的《坏男人》，《坏男人》抄袭的《红与黑》            
