http://movie.douban.com/subject/5395263/	男人帮
(4星)	 曾哥是整了容來演AMY嘜·~~了叻個去哇~~~王珞丹依舊是個渣。。怎麼看怎麼不順眼啊            
(4星)	 不以风骚惊天下，但求文艺动世人            
(2星)	 看过十集了，我觉得男人智商没这么低！            
(1星)	 吐了            
(3星)	 我们已经不相信爱情了！            
(2星)	 是冲着黄磊来追这部剧的，被孙红雷的娘惊的不敢在看，吓人...酸不拉几的...            
(4星)	 三个人男人中俩我喜欢，所以我看了~奇怪的是为冇都这扮相，非带假眼睛挂围脖？片子还是挺有意思的~            
(3星)	 妈妈的评价是：为什么一群中年男人要在这里装嫩！！不能去演点正常的符合他们年纪的片子！！！            
(2星)	 “四”化孙红雷，“熟”版大时代。            
(2星)	None
(3星)	 如果不是黄老师撑着 半集弃之             
(4星)	 我舅舅竟然也在看= =            
(1星)	 实在看不下去了            
(4星)	 贫啊，无比的贫啊。。。            
(1星)	 一颗星星给黄磊，以后别跟他们一起演这种电视剧            
(5星)	 没有孙红雷就更好了。            
(4星)	 其实三星半            
(3星)	 道理不假，虽然笑点有些贫，台词有些生硬。P.s:王珞丹在里面太丑了！            
(2星)	 王珞丹在里头衣服和发型都太难看了，除了俞飞鸿，每个女人都很笨，结局也很雷。还有，顾小白作为一个男人，牙尖嘴利还犯贱，太村太土了。            
(3星)	 一开始觉得挺傻的，中间觉得还不错，最后还是觉得挺傻的            
(2星)	 装            
(2星)	 为了26集的俞飞鸿多给一星            
(2星)	 矫情。            
(4星)	 如果选对了那个人，不管我们分开多少次，都还是会再在一起的。            
(1星)	 可以给0颗星么？赵宝刚真是恶心至极，一群成天不干正事儿不工作的人，唧唧歪歪、婆婆妈妈、扭扭捏捏、蛋疼菊紧似的侃人生、谈未来、聊爱情。男人们娘炮，女人们以不劳而获为荣。            
(3星)	 觉得这部戏很恶俗很装——但话题性的确很大——此次京东结合此烂俗片的营销很好~~            
(4星)	 我们都不曾明白对方。            
(4星)	 滿目明顯的廣告啊~~~~~然後呢?各種網絡用語啊~~~然後呢?我很無語啦~~            
(1星)	 好傻的剧            
(NA)	 居然无聊到把 男人帮 看完了，结局弱的一逼。不过发现俞飞鸿真是太漂亮了，秒杀其他女演员....            
(2星)	 其实我就看了十集            
(4星)	 看看我家黄磊也就满足了            
(3星)	 不容易，尽管很多情节极端狗血，编剧的某些逻辑确实非常的恐怖......例如在光天化日之下潇潇居然能够被轮了大米，而且居然还从光天化日之下一直轮到了华灯初上......以我土鳖一样的思维实在想不明白到底是怎么回事......但是我还是要说，这部时装剧里基本上接近同时代的美剧日剧里吸引人的元素基本上都            
(3星)	 我真的好讨厌王珞丹。            
(4星)	 文艺青年电视剧，为什么那多人不喜欢王珞丹，我觉得挺好的啊            
(5星)	 对我的人生观，爱情观，价值观影响颇大啊，我要重新审视我的人生了！29集虐心！左永邦好帅！            
(2星)	 《男人帮》？屎片！鉴定完毕。            
(1星)	 做作娘炮傻逼            
(1星)	 看了几集，实在被恶心的不行。现实世界果真有个跟顾小白近似的男的，果断可以一脚踹下黄浦江了。拖沓、臃肿、陈旧、说教、生硬、无聊、意淫都已然到了一个阈值。对了赵导，可以考虑翻拍《大腕》！            
(2星)	 被恶心的不轻            
(NA)	 卖腐剧            
(1星)	 做作 恶            
(3星)	 3+ 为了米琪 这个人物太满足我等anego forever-to-be 的YY了= =  p.s. 我居然终于还把赵宝刚这个剧给看完了o(╯□╰)o  真理帝你青葱戕害er @杰罗姆            
(2星)	None
(2星)	 黄磊没事儿吧            
(2星)	 一部电视剧，居然如此2.第一2演员装2.第二，台词恶心过头，为了道理而道理。第三，这部戏的导演到底在干嘛啊？毁演员的演技么？ 第四，受不了场景的设置和整个剧本的构架。这部电视剧就是“假装自以为是的有噱头，实际上浪费时间和精力” 差评！！！！            
(NA)	 米琪长得有点像铃木保奈美后面的剧情也逐渐有点像赤名莉香=-=            
(3星)	 感情就是你捅我一刀我捅你一刀，来来回回，数数对方身上的伤口。精辟了            
(4星)	 黄磊啊真心喜欢，徐小宁啊罗书全！！            
(3星)	 二到一定境界了。。。。不过还是相当搞笑~~不管前28集拍的多么二~~~最后两集结局拍得真的不错！！！俩结局都喜欢~~~第一个够现实~~~~第二个够感人~~~~            
(5星)	 终于看完了~意犹未尽的感觉~最喜欢潇潇╭(╯3╰)╮            
(2星)	 很让人失望……女演员是败笔，台词是败笔，可惜了几个老男人……            
(3星)	 挺无趣的。            
(4星)	 蛮搞笑的。（但是很不喜欢王璐丹的面相。这个角色换个人就好了）            
(1星)	 看了半集！被恶心的要over了！烂！            
(4星)	 算是非常不错的都市剧。            
(2星)	 太过于话唠，令人有些厌烦。是否人越长大越显得拘谨，话说不上两句便撒谎，其实也许是对感情没有信心了，相反越年轻越真实，敢爱敢恨。唯一真实的小盆友，也就是1987年的王子文，据说她是王朔的女友。            
(3星)	 ……敢不敢不围围脖啊孙红雷……真的不好看啊那样= =              
(4星)	 满口京片子，跑上海滩拍干嘛？            
(3星)	 除了黄磊，其实我没有别的任何想法。真心讨厌王珞丹，又丑又黑又矫情。            
(2星)	 又是一大堆的大道理 看了两集不觉得好看            
(3星)	 到了后面 有点看不下去了            
(4星)	 哈哈哈哈哈哈哈哈太好笑了            
(5星)	 双结局感觉微妙，很不错的一部适合文青看的电视剧，语言犀利，人物纠结却不像韩剧的狗血，豆瓣用户的评分给低了的原因可能因为广告植入厉害，以及不待见王若丹，其实其余女演员都挺可爱的，我推荐看看，以上个人拙见。            
(3星)	 剧情挺一般的 演的很假 但挺逗的 结局我喜欢            
(4星)	 我喜欢第二个结局。            
(1星)	 能更作点吗            
(3星)	 就是把早烂大街的女性情感热线以男人视角再说遍，了无新意。并且因为男扮女装，而显得很娘炮！            
(2星)	 老赵越来越差了。            
(1星)	 二逼电视剧就是让人吐槽的。            
(4星)	 很多话都很经典            
(5星)	 我怎么觉得特好看啊！            
(3星)	 王珞丹真是老鼠屎            
(4星)	 群口相声+话剧是国产电视剧的新出路            
(NA)	 莫小闵怎么能磕碜成这样啊！            
(2星)	 我已经被片子的神逻辑打败了 彻底的            
(5星)	 每一集都是一个道理，不见得你懂不懂，只有经历过            
(5星)	 真是没有豆瓣上挑不出来的缺点的片子，就这帮装逼的，你现在去学拍电视剧，给你十年你也拍不出这样的剧来，拍的干净明了，没一点废戏，演员表现自然，不夸张却很幽默，大段的台词，完全自然地说出来，相当不错不错。            
(4星)	 就還滿有道理的。老男人談愛情。我就記得顧小白說的 好無聊啊好無聊啊好無聊啊            
(3星)	 丑逼退散！！            
(1星)	 尼玛，恶心死人。            
(2星)	 不看也罢            
(1星)	 自以为说了很有哲理的台词，其实是二到家了。            
(3星)	 刚开始看特别没意思，后来好多了。            
(3星)	 黄磊你让我失望了。明明没有逻辑+不现实的背景设计，却要讲N种现实的社会状况，怎么看怎么觉得奇怪。            
(5星)	None
(4星)	 国产电视剧里电视台还能放的算不错了            
(4星)	 台词挺搞。孙红雷，有时候真的很雷。            
(5星)	 好无聊啊~好无聊啊~好无聊啊~            
(3星)	 特事儿             
(1星)	 一上来就“我叫X小X，是个XXX”，去你妹的            
(2星)	 为什么里面的姑娘都跟二逼似的 = =//// 真喜欢黄磊啊~！            
(3星)	 起初都是基情孙片段吸引了我  看起这帮孙子各种推卸责任以后  想说艺术嘛源于现实  不负责任是通病 但文艺也请不要穿黑丝装去国外拍片好么~现在我也会了好无聊啊好无聊啊 真是切合现代的空虚台词 想想编剧也真不容易 ~两个结尾的创意真不错 加一星 个人喜欢第一个杯具结尾~PS 潇潇好无辜            
(3星)	 结局还是比较现实的。虽让妈妈不理解，但我觉得有的挺有道理的。            
(3星)	 挺2挺现实            
(5星)	 深深感觉近几年的现代题材是越拍越好的。里面将女人的特质详细分门别类，再一一攻破，可以当之无愧的做情感类影视作品的句点。台词非常经典，从中学会的不止是爱情，还有友情。不过最后几集有点急于结尾，略显刻意。            
(NA)	 你一贱我就笑            
(4星)	 即搗騰又現實……三星半。            
(5星)	 一场嬉笑怒骂 一袭刀光剑影 一阵血雨腥风  男人和女人啊  这是体无完肤的浪漫与现实            
(4星)	 原本想给5星。因为王珞丹，给4星。            
(5星)	 呃，其实我觉得挺不错的呢            
(3星)	 开始觉得结构太简单，人物神经质，台词说教意味又浓，后来发现，我还就好这一口= =            
(4星)	 可以一边看一边想自己可以的 真的可以的真真的哈            
(2星)	 即使每集都有一个主题，开篇都学《欲望都市》说小感言，设计一箩筐贫嘴儿台词，而故事发生地在上海台词却一筐京片子。看着孙红雷那张故意不动声色的2皮脸说一串串雷话还觉得自己特可爱真是恶心透了，开篇念白念得和死人一样的，以为这是《围城》的念白啊！王珞丹真是再时髦的衣服都会穿成城乡结合部！            
(5星)	 超级潜力股。            
(NA)	 比起当年的好想谈恋爱，独白混乱无逻辑且不到位。另外，世界上有比顾小白更恶心的男人么？            
(3星)	 不喜欢王珞丹，不喜欢结局and我想买阿千那件兔子服~            
(3星)	 2得搞笑！这就是风气。            
(2星)	 这种开始斗话茬子然后越发展越苦逼的戏码我看够了！！但是搅基搅的好欢乐了！！最后连戒指都带上了...            
(2星)	None
(4星)	 就是王珞丹太可怕了。。。            
(2星)	 看不下去了，十集弃            
(4星)	 植入广告能再多一点吗            
(4星)	None
(3星)	 好无聊啊，好无聊啊，好无聊啊，然后一起演戏。这个游戏我也想和朋友玩儿。            
(3星)	 顾小白真娘,罗书全真逗,左永邦真萌,莫小闵真丑,艾米真像曾哥,米琪真漂亮,阿千的衣服真好看            
(4星)	 三个男人一台戏。            
(4星)	 终于把《男人帮》看完了，从理性的角度来说，29集是个不错的选择，因为我们毕竟是活在这个现实的世界中；但是感性而言，还是30集，我们之所以热衷于这些情感剧，因为我们现实中往往体会不到，所以寄托在这些情感戏中。《男人帮》是部好电视剧，值得一看！            
(NA)	 2011年11月10日12点21分看完！绝对是好片            
(5星)	 更喜欢后一种结局，前一种结局看的我难受。            
(2星)	 默默唧唧腻腻歪歪婆婆妈妈奶奶能不抄别的电影的台词吗？抄也别抄个猜火车这么大众的行吗你以为全世界就你一个文艺青年吗            
(NA)	 这部戏里能出现几个MAN一点的男人吗。。。。。怎么都这么娘啊。。。            
(3星)	 男人帮就是种种穿帮，这剧本，莫非是顾小白写的。            
(2星)	 吃饭时看过几个场景，这是一部围巾制造商投资的电视剧。            
(3星)	 潇潇挺好看的            
(3星)	 人生喜怒哀乐四个选项，有人喜欢全选，有人一生只做了单选。如果愿意，你可以是普通青年，文艺青年，或者二逼青年，也可以三个都是，无法界定哪种人更快乐，只是至少有一点可以肯定，在痴男怨女组成的爱情世界里，你永远都不会成为那个很牛逼的青年！            
(3星)	 抛开那些人把我们上班的时间拿来泡妞喝咖啡互相吐槽装逼。很多话还是说到心里去了。成年人还勇敢谈爱真是一件玩命的事儿，都不是奢不奢侈。29集就是剧终，时光不能倒回，没有如果。过好当下吧。            
(4星)	 还是有点帮助的            
(5星)	 茶余饭后看还是很好的，基本上会把男女交往所有的片段拼起来了，有那么一点借鉴意义。            
(3星)	 这个世界除了男人就是女人            
(2星)	 太难看了，一堆蛋疼的独白还有广告植入，实在是受不了孙红雷那个样子            
(4星)	 挺打发时间的            
(3星)	 国产欲望都市男版。。。虽然觉得让孙红雷演这个角色怪怪的 但也不觉得难看。。。虽然山寨 但赵导的个人风格还是很浓烈的            
(2星)	 软性植入广告、攒语录、老男人卖萌什么的都算了，但是美术都死光了么？多换几个布景、衣服什么的会死啊？不光是我们的青春赵宝刚做主，我们的一切都是他做主。            
(4星)	 一段好的感情应该能让自己成为更好的人【俞飞鸿真是美爆了【王珞丹到底怎么回事啊，真讨厌            
(5星)	 至死方休            
(3星)	 我怎么觉着矫情呢            
(5星)	 孙红雷有点过了            
(3星)	 在无锡酒店里看了一点，怎么会有人有动力看下去o(╯□╰)o            
(1星)	 冲着黄磊看了几集，孙红雷把我恶心坏了。。黄磊怎么堕落到演这片。。            
(5星)	 莫小闵要是再白一点会很漂亮 不是很喜欢amy感觉是在利用书全 挺钦佩米琪的 小雪很丑从外表到性格 对杨晶晶同情多一点 潇潇很可爱一丫头 惊鸿仙子真的老了......            
(NA)	 爱是经营，是坚守，是持久忍耐。            
(3星)	 台词挺逗            
(2星)	 坚持了11集，坚持不下去了，什么玩意儿            
(3星)	 真的把观众当白痴吗！！！            
(4星)	 王珞丹怎么这么村的扮相。。。孙红雷挺好的             
(3星)	 其实我想评两星的。搞什么，男版的欲望都市么            
(4星)	 艾米好美！！我最喜欢她了 &gt;&lt;（这一部比《婚姻保卫战》好看~）孙红雷的境界又上升了……那些文艺范儿的台词听得我鸡皮疙瘩都起了 =_= 翻白眼的小白好可爱 囧 那啥，京东完胜 囧 相信我妈很快就会被我说服开始网购的……            
(NA)	 什么东西阿!            
(4星)	 看三个老男人在戏里卖萌,别有一番韵味.孙红雷的这个转型也算是一种突破了.这剧还让我更加的喜欢黄磊了~            
(4星)	 我觉得它有意义，比那些宫廷啊穿越啊公主少爷病什么的影视剧好得多的多。            
(NA)	 电视剧中小白的品位真不行.而且嫉妒自私.大男子主义.乱丢垃圾.间歇性情绪综合症~            
(4星)	 最后结局太shi了。。。            
(5星)	 我妈说潇潇的性格跟行为跟我特像 我囧            
(3星)	 我擦我也挺失望的 .. 　台词动作娘点作点也能忍　. .　关键深层内容让人不舒服啊　看着解闷玩的一东西处处透着沉重　真他妈让人恨啊　．．            
(3星)	 三观不正，把人都教坏了。            
(4星)	 还不错，虽然前面很啰嗦，但是后面感觉渐入佳境。讲了很多爱情的大道理，虽然都明白怎么回事，但你真碰上的时候照样会虾米。所以看看能学点经验，悟出些东西也不错。鼓励人相信爱、勇敢爱、怎样爱、更好的爱，“到最后我们依然相信那些美好的事情”。            
(4星)	 不是总有人问怎么追女孩子么？这片子看看还是有点可以借鉴的！            
(NA)	 中国男版的欲望都市，区别是，这是三个脑子坏掉的不正常的中青年男人            
(3星)	 这不是电视剧，这是一广告连续、持续加长片            
(4星)	 笑死我了！！！配乐不怎么样            
(NA)	 装男人            
(2星)	 那什么萧萧嚼口香糖张嘴……孙红雷裤子太丑……王珞丹居然也出演…… 看不下去好不好 这真是新电视剧？衣服那么老气……            
(2星)	 完全是冲着卡司去的，但是还是太做作了，看到20集就弃了            
(NA)	 天！王珞丹怎么能这么难测 看到她迎风跑起时额头暴露的样子真的很心酸啊！但是有几句台词还是蛮好笑的，比如黄磊问孙红雷你干嘛跑啊跑得比狗还快哈哈哈哈哈哈            
(4星)	 突然发现王洛丹演技太差了.......            
(3星)	 在家看了两眼。还行，不过——黄磊你别装嫩了孙红雷你装什么呢剩下那位大叔你过头了啊~            
(4星)	 顾小白爱的两个女人 在这剧里就是两个败笔 看到王丹璐就想到葛优。。。。真晕            
(2星)	 真是糟蹋了这么多好演员，真烂！！！            
(NA)	 看了三分之一后弃之~            
(3星)	 充斥大段对白不好看，老男人一堆扮什么宅男，就是黄磊还那么可爱＞＜            
(NA)	 我看到家的N次方的那个丫头出来了，我就不看了，她真是吵死了。            
(3星)	 有些作，三个四张的男人，一群粉红花瓶，试验式的理念先行的没由头的剧情            
(2星)	 演员的表演都比较弱。。但这种类型片的形式在国内是首次，值得再研究！            
(4星)	 还不错，每天晚上又有打发时间的事了            
(3星)	 我就挺喜欢王珞丹的啊~虽然这个角色和发型有点毁~~~~ORZ            
(4星)	 据说这个不错。            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈            
(4星)	 心情不好，也可以看电视剧宣泄，就是更新的慢了点            
(2星)	 赵宝刚越拍越烂了，请问这是个啥啊；黄老师，您还是专心话剧吧，以及初恋爱的事有谱没啊。            
(3星)	 哈哈 好看！            
(4星)	  这结局，怎么说呢，就这样吧            
(4星)	 虽然各种雷人矫情 但是某些观点很现实            
(2星)	 即使連配樂都在模仿好想好想談戀愛，也不能掩蓋本劇女演員的不招人待見、男演員假鏡框的娘、故事的做作無力，孫紅雷也救不了，一集一百萬扔水裡還能聽見個響呢，好像拍部劇出來不是為了讓人愛看而是專門給閒得蛋疼的人整理所謂“經典”臺詞語錄的，那你直接賣電子版劇本不是性價比更高。            
(4星)	 现实点儿吧            
(NA)	 最后两集真纠结            
(4星)	 不错看，点微妙。            
(5星)	 全是广告，什么什么牛奶，什么什么手机真经摔啊，和诺基有一拼。。。。。            
(3星)	 咳咳我喜欢黄磊啊            
(3星)	 孙红雷他不适合演这样的神经质            
(3星)	 2011.10.26-2011.10.30 看了20集实在看不下去了，絮絮叨叨地尽在卖弄台词。三星是鼓励一下新的拍摄模式。            
(2星)	 孙红雷让人根本看不进            
(3星)	 哈哈哈哈哈。没想到孙红雷一彪形大汉，那么骚包啊。笑死了。            
