http://movie.douban.com/subject/3732807/	双头犬 オルトロスの犬
(3星)	 兄弟爱            
(3星)	 虽说是重量级日剧，剧情马马虎虎，花瓶台柱演技太烂，节奏太慢，不够精致。            
(4星)	 这个结局让我巨无语。。这个，他俩既然活着为什么不能给一个痛快点的结局呢。每一个人的结局都模模糊糊的。怒ing~不过还是要说，我彻底拜倒给亮爷了。帅呆了。            
(3星)	 。。。这是命运！！            
(2星)	 看了8集 最后弃了 真不甘心 亮爷很帅            
(3星)	 喜欢亮爷~~~            
(NA)	 泷泽秀明怎么变丑了&gt;&lt;            
(2星)	 这个世界不需要神，扰乱世界的，是人的内心。。。。浪费了有新意的人设。            
(3星)	 看了第一二集。            
(4星)	 基情片            
(4星)	 纠结，仿佛猜到的结局            
(5星)	 &#34;我一直知道你爱我很深.&#34; - = 囧            
(5星)	 第一次想做只狗狗~龙崎你带受伤的人家回家好好治疗嘛T-T）好结局~~            
(4星)	 神剧，我居然沦陷于6爷.....            
(2星)	 这剧情也太次了            
(2星)	 NC            
(3星)	 节奏是挺慢的，不过超级养眼，当MV或者个人写真看吧，哈哈            
(3星)	 看在滝沢秀明的份上給三星，有點囧又有點想追~再S的亮爺在papa面前立馬就是個受啊！            
(NA)	 弃            
(5星)	 没了藏叔只有3星            
(4星)	 神最终会败给恶魔，还是败给自己？            
(5星)	 父慈子孝~兄友弟恭~天下大同~            
(4星)	 拿出了很大的命题，但没讨论好。......泷泽秀明果然很帅啊~  结局又腐又狗血，咩哈哈...            
(4星)	 太狗血了。。。不过我爱～～～            
(4星)	 剧情本身是很吸引人的，内心的挣扎很多，可惜没有看全，但最后集真的有点BL。            
(2星)	 结局真恶心..            
(3星)	 我必须承认我只是来看人的...剧情什么的...就算了吧            
(1星)	 弃之            
(4星)	 黑暗。真是有点死亡笔记的feel、。            
(5星)	 想看滝沢和水川滚床单+1我果然不是腐女...            
(3星)	 ちょっとつまらない。            
(4星)	 6爷被虐哟。。            
(3星)	 谁老是喜欢这个竖过来的两人脸都拉长拉变形的封面版本啊……我都投正常的两次了            
(2星)	 看不下了            
(4星)	 此剧甚腐，编剧很烂，为俩帅哥打四星            
(5星)	 最后一集的小盆友们让我内牛了            
(3星)	 于是我就彻底颜控了            
(2星)	 没人抱怨女主角的演技麽            
(NA)	 那销魂的下垂眼里闪闪发光的泪珠子，好喜欢看下垂眼哭啊!  真是身娇体弱易推倒 我也要推倒凉介小白兔!            
(5星)	 我的妈啊，太腐了！TAKKI太美丽，为他也要打五星！            
(2星)	 放弃            
(3星)	 三星半！~虽然看得很闷但还是比BB这种绿帽剧好多了喂..何况演员一个个都挺顺眼就是藏叔啊我还是不喜欢你腹黑&gt;&lt;            
(4星)	 为大头和亮仔+1星            
(4星)	 我为啥觉得他们穿的都这么多呢？日本忒凉爽？今天北京的大雨跟片头好像啊            
(4星)	 亮亮啊。。。。。。。。。。。。。。。。。。。。。。。            
(3星)	 泷泽老了。66越来越有爱。            
(5星)	 天啊！            
(4星)	 结局悲过了之后回甜，很适合我这种热爱大俗套幸福的观众            
(5星)	 锦户亮很帅 山田亚由美演了一个坏女人            
(4星)	 还能再狗血点么！嗝呵呵呵呵呵……            
(3星)	 木追完            
(4星)	 这剧越来越有爱，吼吼~            
(3星)	 2集弃。故弄玄虚。            
(4星)	 亮爷萌的很~~其实大头也是会演戏的……应该是个不错的故事 多拉马的表现差了点儿 最大的感受是每个人都在坚持自己觉得对的事情            
(3星)	 ★★★☆            
(3星)	 当小女孩叫泷泽“欧吉桑”的时候，我忽然有点心酸……原来泷泽是好人来着~故弄玄虚的剧。我不明白到最后我为什么有点感动，或者只是揪心。            
(3星)	 受不了，弃了~            
(5星)	 兄弟爱啊！你们能再腐一点么！            
(3星)	 撑不下去            
(4星)	 嗯剧情狗血 takki大爱。            
(4星)	 沒想像的那麼好看。╮(╯▽╰)╭            
(4星)	 养眼啊养眼啊~~翻滚~~整体气质大好！            
(4星)	 这样的配搭什么时候会再现？            
(4星)	 品相十足，奸情满点            
(3星)	 放弃了 看不下去~            
(4星)	 兄弟爱啊&gt; &lt; 内牛满面            
(3星)	 到第六集弃，头哥，我努力了。。。            
(4星)	 这结局……takki你是信曾哥吗!!!            
(5星)	 &lt;09话 完结&gt;  这狗血的大结局我竟然还看哭了= =好看，很好看，就是短了点儿。            
(NA)	 takki太美了            
(NA)	 昔日华丽美少年变身墨镜伍佰大叔..泪            
(3星)	 请不要每次手放下去都是慢动作。            
(NA)	 评论，都好腐。。看得比剧开心            
(4星)	 完全沉浸在黑亮的美色里了。。。不过真的蛮好看的嘛。。看到泷泽就像看到了我曾经的青春啊。。又想再看一遍魔女的条件了，我都看几遍了啊。。。唉。。            
(NA)	 偶像剧神马的很难办。。。。。            
(4星)	 看完百度介绍，只看最后一集，已经可以猜测出很多东西，然后有些感动，有些无奈，有些理解。            
(4星)	 虽然没什么太大的意思，但是很好看啊好看啊            
(4星)	 中间太用力 导致蛇尾了 其实可以把故事讲得更好的            
(3星)	 不喜欢剧情的设计。            
(3星)	 这么多年了，泷泽秀明同学还是正太一只啊^  ^            
(3星)	 头开的太大，结尾不免仓促了。日本的小孩才没有那么的单纯有爱呢。。。。            
(5星)	 好看            
(3星)	 泷泽最后捧狗的镜头很萌            
(4星)	 泷泽秀明原来年纪大了这么有型……我果然还是控年纪大的。。。。            
(4星)	 几个演员都蛮喜欢的。剧情也真是特别啊，编剧是怎么想出来的。            
(4星)	 光看人和设定也是值得的            
(5星)	 美丽            
(4星)	 腐女姐姐的心水之片            
(4星)	 故作悬疑，从头到尾的故作悬疑。是编剧SB还是当我们SB？不过捏，花痴剧的必读课，情节也不关心袅。            
(4星)	 泷泽秀明男人了            
(4星)	 主要为了看龙泽帅哥和水川姐姐            
(5星)	 一口气看完，那个樱花树下的男子长大啦~依然帅气~06：真正要守护一个人，是要让他变的更强，即使你不在身边，他也能一个人生存下去，这才是真正的守护。            
(3星)	 够狗血            
(3星)	 6爷为啥总是一脸小受样呢～～两个人对摸会有啥效果            
(4星)	 就是因为他！            
(3星)	 女主角太讨厌!看了一集就看不下去啦            
(4星)	 龙泽还是那么帅啊~~            
(5星)	 结局很感人            
(4星)	 纠结的剧情 浓重的煽情 帅帅的锅锅 大圆满的结局             
(3星)	 头哥你当欧吉桑了，你还是美丽依旧！            
(1星)	 受不了了 要不是两个猪脚 真的是看不下去囧  特别是结局  OH GOD            
(3星)	 九集的剧有六个编剧哦 难怪编得这么乱～对这部剧我有好多怨念啊 PAPA你老是拿小六子威胁佐佐木大叔 好坏哦～            
(4星)	 拍成电影会好看点~            
(3星)	 奔着亮酱去的。。抱着泷泽大头出来。。印象中的大花瓶彻底转型啊。。泷泽你太萌了不过此剧实在够虐够狗血。。我需要缓一缓，缓一缓            
(4星)	 腐的我小心肝颤啊颤            
(4星)	 披着反派大衣的泷泽君乃是悲情的孤胆英雄,凌厉而寂寞的眼神让人心痛..6爷的瘦小背影和无助表情实在很..受..其实就是部腐剧硬要塞入宏大复杂的世界观,虽编剧力不从心,仍虐到内伤..BUG多,佐佐木大叔衰得让人火大..小光长歪了很流氓..若以某P取代水川MM,估计就腐得永垂不朽了.            
(3星)	 腐剧一枚。            
(3星)	 想看 续。。八乙女光 当年还是小朋友。。            
(3星)	 龙泽秀明...成熟了..            
(3星)	 用两句台词总结剧情：TAKKI：如果是和他在一起的话，一定可以活下去。66：你爱得太深了，都是因为我。兄攻弟受 虐待调教 很好很好            
(NA)	 我为自己把这个片子看完了表示羞愧~            
(5星)	 大人们被蒙蔽了的双眼，小朋友的世界里永远闪亮            
(5星)	 就好这类型的剧，惨淡的夏季档里唯一的慰藉。越来越爱6爷了～            
(NA)	 未看完。。            
(3星)	 哥哥是双性恋.爱上女警官又放不下弟弟.最终兄弟殉情..测呢太符合逻辑了~            
(4星)	 个么最后这个结尾是怎么回事！            
(NA)	 看了一整天 总算圆满 ^_^            
(3星)	 水川姐姐都怪编剧让你成为一个无用的刑警姐姐~最后一集太仓促了吧~亮爷真是萌翻我了！！            
(1星)	 泷泽秀明演技一如既往的傻，配合上这智商超低的编剧，无敌了            
(3星)	 好吧，我承认是朋友推荐的腐片            
(4星)	 有死亡笔记的味道 结局狗血减一星            
(NA)	 滝沢的眼神~真的是华丽地CP只是片尾曲真的很难听            
(3星)	 期待拍电影版 编剧得换个            
(3星)	 我觉得剧中大头很帅成熟的魅力。部分用动画代替的剧情也着实很囧。            
(3星)	 6爷你居然受了.....泷泽你竟然攻了～哎呀呀～P.S.这一大桶狗血泼我头上算怎么回事！！你当除妖啊！P.S.S.麻美姐姐你这样BAGA是为哪般啊为哪般！！！            
(3星)	 拿什么拯救你，我的大表妹            
(4星)	 泷泽秀明强大的气场啊！！！很久没给这样电到了~            
(3星)	 哦 一般了            
(3星)	 剧情俗了            
(4星)	 虎头蛇尾的感觉            
(4星)	 完全给OST的分            
(4星)	 我觉得，龙崎可以治好自己，这个力量就不制衡了，我觉得还是应该他不能治好自己，然后凉介在这个世界上唯一不能杀死的就是龙崎，这样比较制衡嘛！！（PS：不知道龙崎会不会什么时候没有蓝了？？）            
(4星)	 纠结来纠结去。。还是为结局再+一颗星吧。。囧度加一嘛~            
(4星)	 在大人的世界里，我们争权夺利，但是孩子们却互相谦让            
(4星)	 就爱锦户亮            
(3星)	 实在没看下去...            
(3星)	 不为看剧情            
(3星)	 掐头去尾看了一下，结果两人居然是兄弟，最后没了超能力。            
(3星)	 J家的男人们……怎么这么让人爱不释手呢～            
(3星)	 看到龙古村还期待出现寒蝉鸣泣之时的那种情节呢激动了一阵发现光酱又掏水果刀麻美又报警头哥又救人的。但是话说那个水库下面的村看上去真的很寒蝉啊。如某楼所说，那个监狱也很沉默的羔羊啊，还有泷泽秀明完全不神啊，演的不像大神啊，神的感觉完全没有诶！完全没有腹黑大神的样子诶！            
(4星)	 大头越来越伍佰            
(3星)	 最后一集真是有笑点。            
(3星)	 小亮的演技~~赞哪！！            
(5星)	 这个剧可以说没有任何惊喜最后还把结尾搞成了大结局氛围营造得一直一直很紧张的感觉紧张的应该也只有水川了额唯一被感动到的是最后小孩子的谦让但是两个帅哥功不可没！            
(3星)	 看点太多……目不暇接……||过去半年之后回忆这部剧。咳咳。我当做没看过好了。这破结局。            
(3星)	 腐...            
(4星)	 恶魔与天使做了交易。但是孰是天使孰是恶魔。。            
(4星)	 此剧中，泷泽帅翻了。。。。            
(5星)	 TAKKI你这帅得惊天地泣鬼神的腹黑脸~~~            
(3星)	 第四集以後變得精彩些了 不過還是覺得其實可以拍的更好的 劇情還是有點弱...            
(NA)	 不是为了水川，才不要看这个剧捏            
(5星)	 新的CP，- -！我家小泷背负得太多了……TAT            
(3星)	 结局啊~怎么没有双双化鱼~~~            
(5星)	 看的我不知是喜是悲 你们兄弟俩爱的深沉            
(2星)	 漏洞多，题材特殊，情节单薄，想拍好可不容易啊            
(3星)	 不知所以的剧情。。。日剧真是越来越没有水平了。。。            
(5星)	 ~~~Takki &amp; 手撕鸡            
(3星)	 美丽的takki，6爷与小光！！哦活活活！！！！！！！！！            
(2星)	 ……我只想求佐佐木大叔剪辑版Orz            
(3星)	 一集之後放棄。            
(4星)	 结局狗血，慎入！            
(2星)	 为何我觉得此片奇囧无比。。            
(4星)	 不知道是不是因为锦同学生病的缘故，后面的剧情不行了。当泷泽秀明也变成了大叔....            
(3星)	 泷泽同学还是那么美啊            
(NA)	 没看完            
(4星)	 真应该叫双头腐犬啊 你们俩为什么不走到一起= =            
(NA)	 第一次看到男女主角都这么有爱的日剧……龙泽越来越man了，小身板还是一样清秀；小6在哪里都是一副睡不醒的样子，恩恩，有受的潜质，不过要是找个气质更纯洁的来演就更好了；水川是越来越有爱了，就喜欢这种有点傻大姐个性的女生，怎么让我想起了米仓姐姐            
(5星)	 追了正好两个月整的剧以九集剧终.看最后两集都哭了,今看最后一集显露哥俩情深那儿,眼泪真的是止不住地哗哗流啊,其实哥哥最爱的一直是弟弟,弟弟也一样.这结局我很喜欢,没办法,我就不爱看悲剧的.另,总体上来说,于我,OST好于剧情,很喜欢.以至于,现在只要一听到滝沢唱的主题曲就想哭            
(NA)	 我可怜的水川啊            
(4星)	 结局真让我郁结...我宁愿龙泽死了,也不想这样啊!            
(5星)	 TAkki~~我TM想死你了。。。。            
(4星)	 看的我毛骨悚然了媽呀有點兒詭異跟嚇人== 兩個萌點眾多的人!!!!!!!!!!!!!!!            
(NA)	 弃了。。所以不给分。。。            
(NA)	 一定要看的！            
(3星)	 演员都很爱可是剧情实在让人犯困。TAKKI太帅了=v=            
(3星)	 剧情太幼稚，且给个三星吧。            
(3星)	 泷泽君的强大气场啊！~            
(3星)	 因为老男人出来卖嫩给三星 *0* 无视剧情，弃之            
(2星)	 第一集微妙…不过泷泽真是帅呀！第二集，想弃了。第三集，看到泷泽说“我只负责治医保范围内的病”的时候，终于下定决心弃掉！可惜了泷泽同学的美颜哪~            
(3星)	 Takizawa终于出新剧了！！！Takki太可爱了~久违了。看到第三集乐，依然很精彩。            
(2星)	 腐剧一枚,单纯看j+3代男色&gt;&lt;            
(4星)	 在大人的社会里大家争权夺利  但是孩子们却互相谦让。为了将来 牺牲现在的自己            
(5星)	 龙泽PAPA和6爷的确在这个夏天为我们讲述了一个不着边际但却充满人味的故事...再丑陋再病态的社会依旧是存在真善美的...            
(3星)	 由于甲流 就烂尾了 pity~            
(5星)	 BL剧            
(4星)	 最后好腐好狗血。小孩的世界很美好。            
(3星)	 又是一部令人YY的剧= =            
(3星)	 09夏季追。弃之，情节发展太慢。虽然还挺喜欢锦户亮。            
(NA)	 神神秘秘 神神秘秘的 那个忍成修吾又打酱油 = =            
(3星)	 看到一半就不想看了。日剧老老实实的煽自己的情就好了，学美剧是学不来的。            
(4星)	 养眼啊养眼啊~~翻滚~~整体气质大好！            
(3星)	 勉强把故事说圆了，无力加上些小无聊的剧情            
(3星)	 泷泽秀明            
(4星)	 实在是有够狗血的，自私众人觉醒的过程都有点突兀，但是看在头哥和六爷的份上，纯看卡司也不亏了！            
(4星)	 又可以看见亮爷了~~            
(NA)	 2集            
(3星)	 真是狗血啊~~            
(4星)	 头哥好美丽洞洞好帅气洞洞你果然是关西艳情妇的二儿子=皿=            
(4星)	 就tm腹黑攻和弱气受，总长攻亮酱啊！            
(NA)	 你们的手 额。。。            
(5星)	 只是为了那两个男人            
(4星)	 又是一部J家片，，，看到“医疗保险范围内”我就笑了            
(3星)	 变相bl片啊。。。            
(3星)	 头哥您的角色真是又帅又惨啊= =||            
(NA)	 弃。。。            
(2星)	 养眼。。            
(4星)	 虽然雷点多  但我还是看完了  说明还是可以的            
(2星)	 没想象的好            
(4星)	 剧情一星大头两星66一星藏藏木大叔半星 大头66在一起吧~!!!(为何收视如此惨淡??)            
(4星)	 无视剧情 帅哥们还是很好看的(≧▽≦)            
(1星)	 我是真沒動力把你看完，片子在那我也懶的看……            
(3星)	 没有看点            
(4星)	 本着不腐的心态观剧 最后关头还是萌了 好萌啊= =。。。。orz            
(4星)	 最后一话看哭了=   =            
(5星)	 本季最爱！~            
(3星)	 看了一半弃了~~~            
(3星)	 开始好象噱头十足，结局也太一般了吧。            
(NA)	 takki !              
(3星)	 为了小亮，终于忍到最后了，苍天啊。            
(4星)	 结局我就猜是这样~            
(3星)	 什么狗血结局啊！虐又不敢虐！真烦！！！            
(4星)	 当腐片看就能给五星了~            
(3星)	 不是双双殉情是不是要庆幸下。。。。但仍然非常无语迷茫的结局            
(3星)	 好狗血=益=            
(3星)	 最后一集搞笑大发了            
(4星)	 Takki回归，一定要看！            
(3星)	 剧情很二，但有TAKKI和小亮就够了，TAKKI表现太棒了，小亮……还是后辈啊            
(3星)	 看了两集 弃之            
(5星)	 takki总算愿意在ドラマ里现身了~&#34;不利用别人,就会被别人所利用&#34; 有种&#34;黑与白&#34;的.....             
(3星)	 我就不晓得 我母上为毛喜欢看            
(4星)	 有美人撑场，要什么剧情。            
(NA)	 叔叔再见..我实在懒得看下去了..            
(3星)	 三星半            
(2星)	 一颗星给大头一颗星给亮！我还以为看见魔王式结局了咧，切~果然编剧已经囧无可囧            
(4星)	 我爱龙崎！！！双头腐犬啊啊啊啊看在这个cast的份上才给的四星            
(3星)	 弃            
(4星)	 3.5星=_____,=            
(4星)	 貪欲真可怕 人類的劣根性 此劇從第一集開始就腐了 女人基本可以無視 每次看到腹黑大頭調戲66我就特別歡樂=v= 每次聽到大頭說“よう、せんせい”就特別開心XD 到後來才發現原來這是個三角戀 佐佐木大叔也參合進來了… 66終於成功的由手撕雞時期的S轉型為M了XD 大頭的美顏啊（口水            
(4星)	 最后一集简直了=皿=            
(4星)	 006声音真好听的类            
(4星)	 结局恶俗了。要是结局是全灭我就给五颗星鸟。佐佐木叔演坏蛋真萌。还有HLL的兄弟爱也好萌啊！～            
(3星)	 烂尾啊。。。真遗憾            
(3星)	 09秋            
(NA)	 弃了……            
(2星)	 还是不行！这个卡司我再有爱也不行！头哥，小亮，辛苦了……恨那群囧编剧吧！            
(4星)	 08            
(4星)	 4+            
(3星)	 我竟然。。。看完了。。。            
(4星)	 泷泽秀明和锦户亮有几个镜头眉宇之间有点像...怪不得演兄弟呢~日剧就是级数少剧集紧凑这一点深受我爱~            
(3星)	 爲了龍崎和長谷部的那點曖昧我堅持看到了最後。。。            
(NA)	 想被咬~            
(3星)	 我记得后边太不行了…………            
(NA)	 好基            
(4星)	 泷泽秀明是年纪越大越帅啊            
(NA)	 稍微有一点忧郁的正邪交错最魅惑了。            
(4星)	 万物定律生死的次序不能被打破。泷泽秀明真的是唇红齿白从漫画里走出的人，锦门亮演什么都是一个脸看了好腻。            
(3星)	 说不上好看还是难看..反正我本来也只是去看颜，没对剧情报太大期望的..= =&#34;            
(5星)	 这个世界，可以只有帅哥，没有剧情。和谐的腐剧。佐佐木藏之介的角色反派得毫无理由啊。            
(5星)	 为了两枚帅哥~色女腐女必追剧目啊！我怎么可以到现在才看的？！抽死你丫的~~            
(4星)	 大好きな二人の男。＝v＝　でもやっぱり水川あさみに好きになれないなあー！            
(4星)	 剧情一般 能猜到 但是卡司阵容不错            
(5星)	 亮爷可以成为仲村亨的继承人,那双眼睛看了会让人眼流泪            
(NA)	 这部被我烂尾的剧看完后好荡漾啊~ o(*￣▽￣*)o             
(4星)	 过程还是缺劲儿            
(3星)	 其实这是基情戏吧。。            
(5星)	 刚刚看完。大结局前半段揪心后半段圆满！算是一个极好的结局了。就是兄弟两还是没能相遇，这样也好。各自有各自的生活。            
(4星)	 头哥和洞洞都好好看 &gt;///&lt;幸好最后是HE...TUT            
(4星)	 双男主大好XDDD            
(2星)	 如果没有锦户亮的迷离眼神和泷泽秀明的脸 我是说什么都不会看下去的～烂透了！            
(3星)	 看到第六集弃了……            
(4星)	 弃！            
(5星)	 冲着锦户亮去看的，看《月代头布丁》被他迷住了，可是在这部剧里越看越觉得他好像陈坤，咳咳，回归正题，这部剧很复杂，也很简单，却让你不由自主的去思考，什么是对的，什么是错的，什么是正义，什么是邪恶，看到的不一定是真实的，真是让人头痛，不过确实是部不错的剧。            
(NA)	 为了亮爷和水川才看的，可是最后发现主角是泷泽秀明的手...            
(4星)	 给男一号加星，六荤七素斯密达。剧情太烂烂得快死过去了。于是这部剧造成讨厌女一号。            
(3星)	 水川御姐啊~            
(4星)	 最美且最伤感的剧末镜头            
(4星)	 这纠结的剧情和给力的cast……只剩一句：J社你们这不就是公然麦麸嘛而且还是隔着一代的！！你让小翅膀情何以堪！！让远在关西的肉……不是，内博贵同学情何以堪！！你们够了！！！            
(4星)	 http://movie.douban.com/review/3835552/ 嗯，这个如果给4星，那要去把最后的朋友改成五星            
(4星)	 剧情果然是按我预想中的发展的。这是编剧太。。还是我。。【若不是为了美少年 】【天知道从美少年到美中年这个过渡环节把无数帅气无比的浪儿拍死在了沙滩上】            
(4星)	 太好看了！            
(4星)	 帅死了~            
(4星)	 泷泽秀明帅到破表~~剧情到后面就很扯= =            
(4星)	 澪はいつ生まれて，誰と、あなた今どこ？知りたいんもん。。。            
(NA)	 看了第一集and最后一集就可以光明正大的看过~真腐 最后两人摸来摸去当众调情 = = and 66真big啊 → →            
(3星)	 每次泷泽君称呼66SENSEI ，偶心里就偷偷笑一下下~            
(4星)	 从泷泽和小亮的几次对峙来总结：不管你的手怎么样，最重要的还是脑子呀！！            
(NA)	 一般般··            
(4星)	 takki还是卖相老好的            
(4星)	 又萌又腐~~~大头好攻！            
(3星)	 本当に守るやつがいるなら、そいつを強くすることだ。おまえなんかいなくっても、そいつは一人で生きていけるんだ。それが本当に守るってことだ。            
(4星)	 为神马要错过！为神马为神马！=。=不断地狗血和催泪后我暴走了。。。。            
(4星)	 EP09已经不是暧昧了……红果果的卖腐啊            
(5星)	 啊 好帅            
(3星)	 我可以深切地扶额么= =Takki请你长点肉回来吧            
(4星)	 一部无关于爱情，只关乎亲情的剧集。贪婪、自私、人性，这部电视剧还是反映了些东西。如果将9集变成11集，结局不至于这么狗血了吧            
(4星)	 结局有点无语的说。。。            
(3星)	 一开始以为是个神棍剧，看到最后才知道是腐剧啊腐剧！兄弟爱有木有！PS: 泷泽秀明残了...（泪            
(5星)	 帅哥两位.泷哥不错.            
(3星)	 2009            
(3星)	 大头……越看越觉得他难看了……            
(3星)	 狗血又麦麸            
(4星)	 为了美男~~什么烂剧情都可以忍受！            
(4星)	 开头很激动，中间很淡定，结局意料当中            
(4星)	 不满就在于那二百五的结局……            
(3星)	 也就剩下takki的颜了            
(5星)	 帅！            
(5星)	 泷泽秀明原来是白羊座啊~故事8错~只是我很讨厌里面的女警察。            
(5星)	 腐~~~~编剧大赞            
(4星)	 第一话和最后一话之间的观看相隔了将近一年            
(3星)	 不好看            
(4星)	 兄弟爱美啊            
(5星)	 没话说……好帅……            
(NA)	 變相的曖昧啊曖昧            
(4星)	 见鬼的为什么没有三星半，，，，好的小亮和烂尾让我不知所措            
(3星)	 幸亏只有十集，日本人就是这点有自知之明。            
(4星)	 作为颜控的我不能错过的剧。不过看完以后还是只有颜控方面的收获。            
(3星)	 总觉得有点虎头蛇尾。。。            
(4星)	 某6太瘦咯            
(4星)	 “你爱我那么深…”恩恩是的！这是赤果果的腐剧啊！            
(3星)	 这剧就是看takki耍帅，洞洞纠结            
(3星)	 其实还是奔着帅气的两只去的            
