http://movie.douban.com/subject/1899616/	与青春有关的日子
(4星)	 够贫            
(NA)	 血色浪漫II            
(NA)	 电视版的摇滚乐            
(4星)	 男一号是败笔，故事不错            
(4星)	 太长了~~            
(5星)	 还差最后几集看不下去了，攒着，过两年再看            
(NA)	 为啥处处都有佟大为！文青男?奋斗鬼?!            
(4星)	 今天，之所以区别于昨天，恰恰是因为昨天的感受依然在我们心中。            
(4星)	 这片儿来感            
(NA)	 忽忽            
(4星)	 那一天，我的心很痛            
(4星)	 忒贫了就贫瘠去了            
(5星)	 不如血色浪漫            
(NA)	 喜欢那个年代~            
(3星)	 在无休止滴臭贫中睡去            
(NA)	 理想主义是个啥妖孽？            
(5星)	 非常非常喜欢的电视剧。            
(NA)	 怀旧癖的最爱 大院孩子的最爱            
(5星)	 不看的人会郁闷地.看了的会更郁闷.            
(3星)	 无聊的sb            
(4星)	 俺还是喜欢卓越            
(NA)	 看了一半，看不下去了。            
(5星)	 一群混蛋            
(4星)	 讲述不同年代、不同背景下的故事，依然给人以感动，为那时候人与人之间的纯粹的感情着迷，为那时候恣肆挥洒的青春吸引，为那时候无法无天的恶作剧感同身受，为那时候酣畅淋漓的生活感动。也许的也许，自己只是想起了自己的青春在内心折射的模样，五彩斑斓，却也带着些许遗憾。            
(4星)	 青春总是这样，足够美好，又足够残酷。            
(3星)	 王朔笔下的男人都是混子女人都是货品，所有人嘴皮子耍得都那么遛可惜言语颠三倒四空无一物。这么大一北京几个军区大院就给代表了这不是忽悠全国人民呢么？或许能感受到一拨人的彷徨可是感受不到友谊或者爱，并且一听到“像毛主席保证”听到“从小一起偷幼儿园向日葵从楼上往过路人身上吐痰玩”我就蛋疼            
(5星)	 好几年前看过。那时候我18岁。却看懂了。也许是王小波的书籍看多之后的启发            
(3星)	 演员选的太丑而且不像 最牛逼的就是冯裤子，前半部分剧情还可以。            
(3星)	 越活越矫情            
(3星)	 冯裤子。。。            
(NA)	 温习第四遍。            
(3星)	 佟老师还是嫩点。没有那个味道三部曲越往后演员越不成梦开始，贻笑是无法超越的            
(4星)	 结尾有些草率了            
(5星)	 或許未來我也有這麽一個青春讓我緬懷一下.            
(5星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中            
(3星)	 太长了，看着烦            
(5星)	 这才是不现实！            
(NA)	 不怎么地。上当。            
(5星)	 正听着李逼翻唱听妈妈讲过去的故事，想到这片，演的好，台词贫，感慨万千，实属难得的国产精品。            
(5星)	 我们的青春岁月就是一条河 流着流着就成混汤儿了            
(NA)	 与青春有关的日子            
(4星)	 那些青春的痞子~            
(4星)	 这是与我无关的青春，这是极端做作的故事，但是不知道为什么，感动莫名。我最喜欢李白玲：俗气的美丽、自以为是的聪明，但她活得真实、活得用力。            
(4星)	 最爱的一部电视剧。            
(5星)	 我爱这部电视剧            
(NA)	 看了几集,凑合            
(4星)	 玩的就是心跳+橡皮人            
(NA)	 我妈的最爱 我发现我看的国产电视剧都是跟着我妈看的。。。            
(4星)	 水瓶男            
(NA)	 伟大            
(3星)	 玩兒的就是心跳!!!真想出生在那個年代            
(5星)	 最后一集泪奔了。 我们从没学会生活， 从没学会爱、与被爱。            
(5星)	 我看过的唯一牛X的电视            
(NA)	 电视剧终究还是比不上电影            
(NA)	 嘻嘻哈哈的日子            
(3星)	 我觉得就是一批大院出生的小混混的故事            
(4星)	 ！！！！！！！没说了            
(4星)	 2007年            
(3星)	 贫！            
(NA)	 谁要不会扯淡就看看这片子，觉得自己泡妞时嘴笨的同样如此。            
(5星)	 牛B            
(NA)	 片子中期有些邋遢，可是整体来说是部好片子有能力让你继续看下去，冯裤子是不就是冯小刚呢 这个问题让我想了很久还有就是羽凡在里面的放歌 怎么一直是伤感的感觉呢            
(5星)	 生命在于折腾            
(3星)	 扯淡            
(3星)	 前一半不错，后一半严重拖沓            
(5星)	 没住过军区大院的，可能就是看个热闹。新鲜有新鲜的好，但是对于我们这些有回忆的人来说，这样的片子实在是太珍贵了。            
(4星)	 第一次看给了5星。第二次很完整地看了一遍，给4星。当无数次听到“我们从小一起偷幼儿园的向日葵，从楼上往过路人身上吐痰玩”就觉得腻味了，直犯恶心。不过那讲述的还是动荡的青春，一帮朋友，那是最重要的。到底谁爱谁，那又有什么重要的呢，最后谁跟谁在一起了，没人知道。            
(5星)	 那是一段痛并快乐着的岁月。。。            
(NA)	 台词好玩.            
(4星)	 里面人个顶个的奇怪            
(4星)	 电视剧  文革            
(5星)	 开始很不适应部队大院的孩子用北京话耍贫，看到后来俺居然哭了。怀旧的色调，怀旧的音乐。感觉很好。语言尤其丰富，看完之后我会用北京话骂人了……            
(NA)	 终于看完了，那些美好的日子啊，一去不复返了！            
(3星)	 京味儿还行，背景有点儿假            
(NA)	 年轻            
(3星)	 无比激动的说......终于，看不下去了            
(5星)	 想看52集全部版本，没有剪掉的~            
(5星)	 三天两夜            
(3星)	 開始覺得挺逗 看到后面没心思了　好拖遝            
(3星)	 前面十几集好看，后面几十集拖沓            
(5星)	 2007-01，捣蛋，叉架，拍圈子，爱情，兄弟，参军。改革大潮，毛泽东思想，纷繁复杂的爱情，利益和情欲。王朔，叶京时代的生活。----别装！            
(3星)	 不看了，长。。。。。            
(NA)	 想起了那英的《梦一场》，歌词都已经很模糊了。长长的嘘了一口气...小武哥(北京):“更加生活化，更加人性化”；水水(北京)：“太tmd亲切了，这种感觉太好了”“电视剧参考书目：　《许爷》《橡皮人》《玩得就是心跳》《动物凶猛》……”            
(4星)	 前面比后面好看            
(4星)	 我其实很是接受不了那种时代会是像他们演的那般各种堕落不堪。。。            
(NA)	 70年代的gossip boy             
(4星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中            
(3星)	 其实顶多也就三星半吧。一个年代有一个年代的思想。对我来说，委实不能理解个中的想法。只觉得太贫。            
(5星)	 我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月，有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。我们敏感，我们偏执，我们顽固到底地故作坚强；我们轻易的伤害别人，也轻易的被别人所伤，我们追逐于颓废的快乐，陶醉于寂寞的美丽。            
(5星)	 我爱叶京导演！            
(2星)	 把王朔小说掰开了揉碎了往长里抻，你可知道有些东西经不起阐释            
(NA)	 用五十多集电视剧解释了什么叫“贵圈儿真乱”            
(4星)	 王朔冯小刚原型            
(5星)	 初中的时候 特喜欢 大概没完全看完             
(3星)	 算领教什么是北京痞子劲儿了，还有这北京姑娘都流行倒贴啊，好玩。            
(4星)	 这北京话儿说的太给力了，还有终于看完了，竟然很想再看一遍            
(5星)	 小矫情，很感动。            
(5星)	 上大学那会儿的室剧！可见有多牛逼~            
(5星)	 三十集以前都很精彩，后面就编得很不合理了。            
(4星)	 一段往事，多種版本。喜歡卓越，據說原型當年是個萬人迷。            
(NA)	 太美好了~北京            
(3星)	 一天到晚唧唧歪歪不知所云的电视剧，真想来场群P戏结尾            
(4星)	 我想推荐一下 无法跟血色浪漫比 但作为电视剧来说 还是稍稍能忍受            
(5星)	 卓越。李白玲。冯裤子。湿湿推荐的            
(5星)	 今儿被羽凡的《往事只能回味》煽了一把，就想起这剧来了，这是我最喜欢的大陆电视剧，没有之一。            
(5星)	 还好，是挺好~            
(3星)	 还是觉得有点乱。            
(3星)	 演绎李白铃的这个女人可圈可点            
(5星)	 我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月，有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。我们敏感，我们偏执，我们顽固到底地故作坚强；我们轻易的伤害别人，也轻易的被别人所伤，我们追逐于颓废的快乐，陶醉于寂寞的美丽，            
(4星)	 除了台词，还有文章让我印象至深            
(5星)	 挺搞            
(4星)	 一发不可收拾、、            
(5星)	 同样是靠台词取胜，李白玲相当出色，一度让我迷恋            
(4星)	 佟大为- -            
(NA)	 群闹掐架的青春            
(4星)	 唯一的好男人卓越死了            
(5星)	 ♥♥♥齐欢♥♥♥            
(5星)	 经典啊 卓越真棒 还有那个“我们来玩三明治啊”哈哈            
(3星)	 看了一些，个别还凑或吧。            
(NA)	 卑鄙是卑鄙者的通行证， 　　高尚是高尚者的墓志铭谢谢有这部戏，让我认识北岛            
(4星)	 从小一起偷幼儿园的向日葵，往过路人身上吐痰玩  这台词有点过滥了            
(4星)	 ★★★☆            
(5星)	 高尚是高尚者的墓志铭，卑鄙是卑鄙者的通行证            
(2星)	 烦得要死，终于看完了。            
(5星)	 中国往事            
(2星)	 因为有些人的本色演出，给两星            
(5星)	 每次看，我都会感怀我的青春。            
(5星)	 后面有点乱了 但是片里有很多喜欢的东西 可能是对那个时代的某些情怀            
(4星)	 就是特喜欢里面的独白。            
(5星)	 青春正离我越来越远了            
(NA)	 大合唱            
(5星)	 我妈爱看这片子            
(4星)	 1            
(5星)	 在生活面前我们都还是孩子。            
(5星)	 喜欢看描写这个年代的作品，就是感觉很好            
(5星)	 好看，谁看谁知道。            
(4星)	 佟大为这几年火的很啊            
(4星)	 结尾这么多人都不结婚。那好吧。            
(5星)	 我觉得里面最牛逼得人物是王匡林，丫太逗了！！            
(4星)	 那个时代的爱情，那个时代的叛逆。所有人，原来都是在等待最后的重逢。            
(4星)	 这是一帮什么样的人啊，一帮就会臭贫没什么真本事却还自以为是的无赖啊。难道60，70年代的人是这种精神面貌，寒~2.李白玲就是被男人逼疯的典型....她活这么累就是因为在乎男人的态度和看法最后迷失了3.总有一些人，就会臭贫，真正事上p用不顶，以语言冷暴力来寻求优越感，就好像他那张嘴的唯一用处就是帮他树敌的。            
(5星)	 玩的就是心跳..            
(5星)	 列宁同志不咳嗽了,他也不发烧了            
(NA)	 我只是很想哭            
(NA)	 上世纪80年代中期，作家方言从警察口中得知儿时的伙伴高洋离开人世的消息，追忆起他和儿时一群伙伴的成长往事。他们都是50年代末出生在北京某军队大院里的孩子，一起玩模拟打仗的游戏，一起在青春萌动中追女孩子…… 　　 　　70年代中期，他们先后参军离开了北京，有的上了大学，有的到广州下海经商，在广州又与以前的女友意外重逢，几个昔日好友又经历了一场剪不断理还乱的感情纠葛。最终，几个一起长大的朋友有的失踪了，有的去世了，有的历尽商海艰险后毅然决然回到北京……            
(5星)	 很好～   也是经典之作            
(NA)	 红色。            
(3星)	
(5星)	 以青春有关的日子            
(4星)	 月亮在白莲花般的云朵里穿行晚风吹来一阵阵快乐的歌声我们坐在高高的谷堆旁边听妈妈讲那过去的事情            
(5星)	 真乱呀。。。北鼻是北鼻者的同行证。            
(3星)	 与你们有关的日子。            
(3星)	 就怕流氓有文化            
(NA)	 今年最喜欢的电视剧，通宵连续干完。            
(3星)	 看到后面，觉得他们太贫，故事太拖沓。。。。但里面的当初，却是很有“设计感”            
(NA)	 目前为止,最爱的电视剧            
(5星)	 今年看过最真诚一部影视剧。            
(5星)	 生活之所以寂寞是因为找不到对手            
(5星)	 一定要看52集的            
(NA)	 扯得很            
(NA)	 与青春有关的日子 ……            
(3星)	 刚开始还不错，可是越往后看越墨迹。电视机和宝石那点破事墨迹了三、四十集，拍的跟无间道似的。再加上那几个人滚乱的无聊的男女关系，基本上就是本片的全部内容了。亮点是台词和那个年代。            
(5星)	 南下那段太拖沓，其他的都非常非常非常喜欢。            
(NA)	 看了又看，还要再看            
(NA)	 怀旧            
(5星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中            
(NA)	 一般一般，矫情            
(NA)	 这是我看过的最牛B的电视剧。            
(5星)	 可以看到地道的北京吹牛            
(5星)	 忒不一般了这电视剧            
(NA)	 一部不错的连续剧！！            
(4星)	 没见过这么贫的            
(3星)	 52集还是太长了点，有很多地方可以更紧凑。            
(NA)	 那个年代 比较真实的写照            
(4星)	 爸爸妈妈那一辈的故事 就是太过冗长 结尾很烂            
(NA)	 我喜欢看的电视剧之一            
(5星)	 很好            
(4星)	 串联了太多与王朔有关的记忆……            
(NA)	 太喜欢这个电视剧了 够北京够意思            
(5星)	 比最近瞎TM火热的《奋斗》好看千倍            
(4星)	 最喜欢茬琴那段，会弹吉他真是件美好的事            
(4星)	 回忆是种美好~~~青春是道明媚的忧伤            
(NA)	 喜欢            
(2星)	 除了美化那个时代的调调不讨我喜欢，台词演员都还行，整体太拖沓。            
(NA)	 京腔饶有趣味。。。            
(5星)	 比奋斗好看多了            
(3星)	 实在太长了            
(2星)	 前面还可以~后面乱七八糟            
(NA)	 段子　无目的            
(5星)	 不错！            
(5星)	 青春            
(5星)	 看            
(3星)	 乔乔好啊            
(4星)	 前半段很精彩，后面重复的话多，贫了．            
(5星)	 一口气看完了完整版的《与青春有关的日子》，那是一个生于50年代的人记录自己青春的故事，我却在他们的身上看到了自己的影子，完全不同的社会背景，完全不同的成长道路，同样年轻和热血澎湃的青春却如出一辙。人们都会有这样的一种潜意识吧：在别人的故事里寻找自己的角色~    并不是什么都不会留下，就像是我们一晃而逝的青春。我们还是会在每一个无人的起风天，追忆起那些无法抹杀的过往。难过的，喜悦的，悲伤的，无奈的，那些悠长而缓慢的日子……            
(NA)	 “从小就一块偷幼儿园的向日葵~~从楼上往过路人身上吐痰玩”太逗了，让人羡慕的青春！            
(4星)	 我喜欢。怀念北京            
(5星)	 总觉得佟大为有点赶超李亚鹏的意思。            
(4星)	 够潇洒够惨的            
(NA)	 感同身受a。            
(NA)	 我们小时候，偷幼儿园的向日葵，朝路人身上吐痰玩，美好的童年啊。。。            
(NA)	 原来佟大为也是个瓶子哦！哈哈哈...            
(3星)	 就是那过去的日子。            
(NA)	 很清楚，又好像什么都说不明白            
(3星)	 不能理解,那是真的么????            
(4星)	 真的似乎有那个年代的感觉~并且很有意思的对白            
(5星)	 相当强~~~绝对推荐~            
(5星)	 我们年少的岁月            
(4星)	 只可意会            
(5星)	 闪开 让我歌唱八零年代            
(3星)	 有时候经典，有时候垃圾            
(NA)	 青春 北京腔             
(NA)	 很高兴看到了这部剧 连带着看了贻笑大方 想看剧时候的自己 记得一直看到早上的那个晚上 那段时间妈妈还在住院 谁知道谁的生命里会发生什么 大人物小人物都一样 也许圣人可以预料自己的未来吧            
(5星)	 那个年代，成就了那些日子。            
(5星)	 这是纯粹的没有大人的青春            
(5星)	 最近很迷这个```顺带迷北京话```            
(NA)	 是该感怀的时候了            
(NA)	 那种青春懵懂时纯纯的爱            
(5星)	 前半段比较有意思。有种青春残酷的感觉，曾经的青涩和单纯也越来越少。            
(3星)	 片子让我印象深刻的是，北京人的贫嘴；高官子弟的混世；和充满象征意味的对白。片子从他们小时候到初混广州那段不失为精彩之作，比如拍圈子查架查歌搞录象带倒卖彩电等充满当时时代特征的片段。片子从倒卖石头开始转入败笔，在卓越为救童年伙伴而Ｓ这节，达到败笔巅峰，整一个假得如同电影学院招生考的哭戏命题。结尾也略显牵强，特别是那位酷似李白铃的女子，没必要的出场。不仅让我怀疑这整个后半部的编局是某个实习生，比起前半部来，太失败了。值得一提的是佟大为等演技不错，很好的捕捉了那个特殊时期人们扭曲的内心，至少是我以为的那样。            
(3星)	 前半紧凑，后半拖沓            
(4星)	 很坚定不移，岔晕了，翻了            
(4星)	 不曾枉费青春            
(5星)	 很有感觉的电视剧,好喜欢卓越            
(5星)	 青春的故事总是相似，你我区别的不过是挂搭的大时代幕布。            
(5星)	 我们年轻的时候，总是把对孤独的恐惧误以为是对婚姻的向往。             
(4星)	 冯裤子，就像冯小刚            
(4星)	 两部和在一起有些乱七八糟的            
(5星)	 贫            
(3星)	 90年代,我还是个小孩,但我也走过那个年代,因此也找到很多那个年代的地标. 2007.05.08 add            
(3星)	 偷幼儿园的向日葵            
(5星)	 极其的贫,前面狂乐,后面狂悲            
(5星)	 开始的一部分我反复的看了很多次，真喜欢那些黑白的镜头！            
(4星)	 剧本是脱胎于王朔的路子，一群孩子偷幼儿园向日葵这不就是方枪枪么；长大后他们就走进了《阳光灿烂的日子》，李白玲不就是米兰么；最后的最后，这波人分别成为了王朔、冯小刚、海岩、崔健。52集的超长篇幅向《美国往事》致敬了个遍，人物设置、走向，甚至可以翻动用来窥视“女神”的砖块与最后强暴女神            
(4星)	 天空在颤抖，仿佛空气在燃烧。是啊，暴风雨就要来了。            
(NA)	 查琴那两段，太棒了！喜欢前二十几集，太tm贫了。。。这些人都着了魔了！就像王朔动物凶猛写的一样，他们在现实生活中就只剩下随处发泄的精力、四处寻找刺激的欲望、自以为是的狂傲、随波逐流漂泊不定的心灵。            
(5星)	 四年前看这片时就觉得挺臭贫、挺乱七八糟的。前几天没事又看了几集，觉得这片真是挺欢乐的，尤其觉得冯裤子特别逗(据说是冯小刚原形)。            
(5星)	 音乐太喜欢了！            
(5星)	 虽然有些做作有些刻意，人物关系有些乱，可我还是没有办法不去喜欢那个年代，还有那个年代的人。最喜欢卓越，他正直，讲义气，重感情，偏偏是这样的好人，感情上被百珊玩弄，又被哥们儿高洋背叛，最后惨死街头。卓越死后有好一阵儿我都不想往下看了。冲着对八零年代的爱，必须五星。            
(5星)	 看了遍完整版的，爸妈出生在50年代末，在我这个年纪正改革开放。年过半百的长辈，或崛起或没落，如今偶尔见到，被叫出小时候的绰号，心里百般滋味，恍若隔世。与其说看他们那个时代的青春故事，倒不如说是我把自己置身于那个时代的末端，参与了我父母的青春。            
(4星)	 断断续续终于看完了52集，在没有利益纠纷的前半部分，还有王朔式幽默的影子，后半部分现实、残酷，不过也会让人落泪。那逝去的年代啊，我们永远无法体会。            
(5星)	 绝对好看            
(NA)	 我反正挺爱看的            
(5星)	 美好的童年～！            
(4星)	 我就說白百合眼熟來著            
(NA)	 这时候认识的文章和白雪             
(5星)	 那年闷在家里看完了这部剧，结尾哭的一塌糊涂。转眼这么多年，我还在荒废青春的尾巴。干！            
(4星)	 青春的岁月像条河流着流着就成浑汤了。            
(3星)	 比一差点，至于么一俩女的一群男的之间轮转            
(5星)	 永远都向往那个红色的激昂年代！            
(5星)	 臭贫的青春也可以很经典~音乐段段精彩！正在听。            
(5星)	 太能喷了。            
(3星)	 他們好貧啊。。。            
(NA)	 玩儿的就是心跳！            
(4星)	 又看一遍啊            
(5星)	 我们那时尽管年少无知，太容易把欲望当成爱，其实最爱你的那个人，只有在懂得责任的时候才会出现。我们有的时候真该感谢生活，它赐给了我们这么多的磨难，人总是在痛苦之后才懂得生活的意义。            
(5星)	 至今觉得最好的一部剧            
(5星)	 中间有一段无病呻吟的感情戏，车轱辘话套着说，那段肯定不是王朔写的……另外，插播不少小广告啊！橡皮人、动物凶猛什么的，哈哈哈            
(4星)	 当年连夜追的            
(NA)	 列宁同志已经不咳嗽了！！            
(3星)	 聒噪的叶京。有几段贫嘴调侃打岔的我火大了，直接快进看            
(NA)	    我们那时尽管年少无知。太容易把欲望当成爱，其实最爱你的那个人，只有在懂得责任的时候才会出现。我们有的时候真该感谢生活，它赐给了我们这么多的磨难，人总是在痛苦之后才懂得生活的意义。            
(5星)	 牛8！~挥霍的青春最终让我们擦干眼泪来看清，火焰般的激情燃烧了京城灰墙绿野的宁静            
(5星)	 唯一从头至尾看完的剧集。很文艺。            
(5星)	 还是喜欢卓远~            
(4星)	 有点冗长，废话略多            
(5星)	 好乱啊            
(5星)	 近5年内唯一看过还看了不止一遍的电视剧            
(NA)	 毁了我的作品之一            
(NA)	 “放你妈的狗臭屁”            
(5星)	 苦难            
(5星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中            
(4星)	 觉得里面的冯裤子就是冯小刚            
(5星)	 其实我在看开啦的创刊号，然后想起来的。人人爱卓越！！            
(2星)	 永远在追忆过去，说明现在实在是太不堪了.            
(4星)	 玩的就是心跳！            
(NA)	 什么是感动与真诚            
(3星)	 就他妈知道耍嘴皮子。无章。            
(NA)	 随你大小便去吧            
(2星)	 单为了看看50年代末60年代初官家部队子女怎么瞎搅和也可看看此剧，本人在葡萄牙到西班牙的公路上打发时间看的            
(5星)	 月亮在白莲花般的云朵里 穿行~~            
(4星)	 终于看完了。平时不爱看电视剧。这个3部分。去广州前那部分真美好啊。。。广州那段有点扯。回来更扯了。。有时候太贫。容易跑题。为了贫而贫。不过王匡林演的真不错。冯裤子太你妈像冯小刚了。里面长镜头骑自行车什么的用的不错，演员把握的也还行            
(5星)	 前面一直乐，后面10集太催泪了。疯狂的石头前传。            
(4星)	 那段我无法体验的光阴总给我特纯特痛的感觉            
(5星)	 听妈妈讲过去的故事            
(5星)	 青春小鸟就这样飞走了。            
(5星)	 这么活着 也不赖 可是 没赶上            
(5星)	 不锈钢碰见你们这帮臭铜烂铁也得啧啧的锈········哈哈····            
(4星)	 就是太长...            
(5星)	 很北京            
(3星)	 一帮臭不要脸的男女提前进入共产主义也必然地没有抵制住资本主义的糖衣炮弹娱乐半生嚓玷污了王朔小说原有的纯情假惺惺！            
(5星)	 牛逼的很!!!!!!!!!!!!!!!!            
(5星)	 52集，耐人寻味的故事。            
(5星)	 其实最喜欢听片头曲，那阵子老爸一看看一天            
(3星)	 我喜欢卓越，可他太不真实，所以只能写死，美好的都是在过去的，永远不会一直存在。            
(5星)	 很早之前就看了，很喜欢，说不出来的感觉，对那个年代有种特殊的感情，今天之所以区别于昨天，恰恰是因为昨天的感觉依然在心中。像是一部记录电影，里面的冯裤子就是现在的冯导吧。看到最后哭了。。。            
(4星)	 卓越的死预示着当年的纯真美好和青春理想的彻底毁灭，一切都是千帆过尽，一切都会物是人非。兄弟哥们的分崩离析众叛亲离一向是我的哭点，再也不想看这样的故事了。            
(5星)	 特喜欢这种电视剧，老北京            
(NA)	 大爱            
(4星)	 有点乱            
(5星)	 有段时间很迷，以致口语都儿话音。王朔那厮！            
(4星)	 这些日子离我其实很远，为什么却仿佛置身其间            
(5星)	 北京话纯，写实，真值得看啊，没有去歌颂什么，难得的好作品。            
(NA)	 2010-04-10~04-22看完了，有点失落，再没有这么好看的片子了。            
(5星)	 我愿意相信这些都是真事，因为他们包涵情感，任何一种。            
(2星)	 看不下去，真是垮掉的一代            
(4星)	 羽凡啊，我可爱你了。            
(4星)	 卓越 方言 李白玲            
(4星)	 早知如此 何必当初             
(4星)	 少一星给结局。            
(4星)	 我大概也算有点大院孩子的经历            
(3星)	 切            
(1星)	 臭狗屎！            
(NA)	 我得重新看去。张涵予跟哪儿呢。。。-0 -            
(NA)	 挺经典的~            
(4星)	 那是一段我不曾经历也无法经历更不能感同身受的青春记忆 ... 也许多年后再来回味 我会感动的泪流满面 ...            
(3星)	 前几集还行，后面就太拖沓了，里面的人物，特别是男的，流氓时间过长就显得性格雷同，而且腻味            
(5星)	 里面所有的歌我都会唱都是和他们学的            
(4星)	 属于我爸的年代。            
(4星)	 李白玲挺可惜的            
(4星)	 前头好看...后头就太散了...            
(5星)	 完整版比较好点吧。。            
(4星)	 我们不了解那个年代~            
(4星)	 我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月。            
(5星)	 挺有意思 看著玩            
(NA)	 方言大舞台，爽得你窜稀            
(2星)	 非常的不喜欢            
(4星)	 没看完。有时间继续。            
(NA)	 乱            
(NA)	 不知道为什么这部片我一直看一直看也没看完过，真奇怪            
(5星)	 挺逗~~那个年代            
(3星)	 他们确实太贫了。给3星吧。            
(4星)	 前半段比较好            
(5星)	 强烈推荐！            
(5星)	 和奋斗是前后脚看的，也是在没有上映前，借朋友的碟看的，虽然不是自己生活的那个年代的戏，不知道为什么，确非常喜欢看，喜欢剧中所有人的表演，太精彩了，让人有回到过去的感觉            
(4星)	 跟爸妈一起看的             
(5星)	 往事只能回味......我们的2008！            
(4星)	 没书好~~！            
(NA)	 瞄过            
(5星)	 就是太~~~~长了            
(5星)	 书电影都好            
(5星)	 让一代人集体怀旧。了不起的电视剧，也是我第一次完整的看一部电视剧。以后有时间了一定要买碟收藏！            
(5星)	 好看！好看！就是太乱了 尤其是感情线            
(NA)	 前十集            
(3星)	 有点乱            
(4星)	 那是一段如此自以为是而又狼狈不堪的青春岁月。            
(5星)	 卓越            
(3星)	 事情发生的我莫名其妙            
(5星)	 含泪大笑            
(5星)	 在我们生命的每一个联络…都会有一个被生活加工好了的故事…不管结局是福是祸…也不管它是美好还是悲伤…岁月的洗礼总能给我们就想淡淡的回忆…这也许就是生命值得延续的魅力…            
(5星)	 任何知青片儿再也无法超越            
(NA)	 对王朔热爱的泛滥品  不过没看完 书好看             
(NA)	 绕了一圈回到原点，只是青春不在。。            
(5星)	 月亮……在白莲花般的云朵里……穿行~            
(1星)	 完全是拼凑王朔的故事，每个人物都干巴巴的，估计导演拍的时候都没好好定义一下哪怕一个人物的性格，演员演的好像都是一个个精神分裂症的患者！            
(2星)	 一开始被对白吸引，后来让人看着心烦，最后终于在快进2的情况下看完了。            
(4星)	 那个年代的情感，很真实，很安全            
(4星)	 看过那个时代的青年吗?了解那个时代的生活吗?儿时,或者说青年时的荒唐,让我们能有所回忆惟独感觉欠缺的,是在回忆大家去广州倒卖电视机那段,有点拖沓,看着怪累的            
(NA)	 觉得很惨，，，            
(3星)	 贫            
(NA)	 很王朔...            
(4星)	 只推薦廣東之前 後面我受不了            
(4星)	 话很密，情很乱....            
(3星)	 空气在颤抖，仿佛天空在燃烧。是啊，暴风雨就要来了！            
