http://movie.douban.com/subject/2157150/	少年包青天2
(3星)	 那时候，陆毅与任泉也是一对好基友            
(2星)	 真不觉得有啥好看的。            
(4星)	 那时候范爷还没这么骚。。。            
(3星)	 没第一部好看            
(NA)	 各种泡面和冷气的夏天            
(4星)	 其实还是喜欢第一部的包黑炭            
(3星)	 感觉第二部复杂多了...            
(3星)	 我真的覺得，周杰和任泉在包青天裡面演戲是最好的。            
(3星)	 没第一部好看            
(3星)	 哎            
(2星)	 最讨厌的大陆男演员——陆毅。            
(4星)	 为了公孙策看下去的好伐~            
(5星)	 好看~~~~~~~            
(4星)	 如果没有第一部，这一部其实也算是还不错，只是跟第一部一比，这一部结构上就显得太松散了，同样是40集的时长，第一部只设计了7个，这一部一个部分又要分解成好几个案件，而且构思的很不精巧，大部分看到了开头观众就能猜到结尾了，只有金龙寺那个案件倒是有几分紧张感，也算是给人印象比较深刻的            
(4星)	 没有第一部好看了，还是喜欢啊            
(3星)	 不错啊。虽然不会再看了。            
(NA)	 还是任泉            
(NA)	 第二部就没有第一部好看了。            
(3星)	 各種基情            
(5星)	 当初觉得很经典,后来发现全是抄的.....这情何以堪啊            
(3星)	 小时候看过的电视剧13            
(3星)	 还是喜欢第一部。。。            
(3星)	 为了凸显和第一部的差距。。。            
(2星)	 看过一点，感觉还行            
(3星)	 暑假的无聊消遣~            
(4星)	 电视上经常重播，然后每次换台，发现没什么好看的了，就重看少包。            
(2星)	 比第一部差了好多            
(3星)	 香艳传奇            
(4星)	 当初还是很迷这个剧的哦，挺好的…            
(2星)	 还没第一部好看            
(2星)	 三部中最烂的一部            
(5星)	 怀念！            
(2星)	 这部一点都不好看！！！            
(4星)	 也还好~            
(3星)	 陆毅真是演什么毁什么。            
(4星)	 还可以吧            
(3星)	 任泉仿佛一直不太入戏，冰冰从始至终都更关注自己的造型，至于陆毅他还是适合走现代路线。            
(NA)	 曾阅，标记。            
(4星)	 不得不说包青天3部还是周鼻孔那部最好            
(2星)	 不喜欢陆毅版……            
(3星)	 该系列最差的一部。            
(5星)	 小时最爱            
(4星)	 推理 好看            
(5星)	 好看好看            
(3星)	 因为一所以二..            
(4星)	 和第一部比差一点，但是范冰冰的点缀太亮            
(2星)	 这一部的剧情很一般。            
(5星)	 CP数不胜数加上童年的回忆加上明叔！            
(3星)	 推理的味道快散去了...            
(4星)	 任泉啊，帅啊。            
(NA)	 这个很好看，虽然都说是抄袭柯南的故事情节，但是我们仍然看的津津有味！            
(3星)	 陆毅这个版本不及第一部。            
(4星)	 当时还只敢去我妹家看，太吓人了            
(3星)	 没第一部好看            
(3星)	 陆毅你好好洗把脸，乖。            
(3星)	 陆毅木有周杰演得好啊            
(5星)	 简直就是中国版本的柯南嘛~            
(2星)	 别扯了            
(2星)	 烂死了，精彩还是第一部            
(3星)	 包青天还是周杰看得顺眼            
(2星)	 和第一部没的比~            
(3星)	 就小蜻蜓身世那个案子挺吓人 印象挺深            
(4星)	 高中那几年反反复复的看，还记得东南卫视一到周末从早放到晚我就从早看到晚。任泉的公孙策好看！            
(2星)	 哕一个 对陆毅不表示            
(3星)	 赶脚没有第一部好，尔康也有闪光点的~            
(3星)	 少年时代的恐怖片            
(4星)	 以前每年电视台都会反复播的电视剧，它播几次我就看几次~~~当年的我真是毅力可嘉啊！            
(5星)	 我是看着你长大的。            
(3星)	 公孙策好帅啊好帅啊好帅啊，那时候的释小龙也还没长残啊，陆毅演的包拯明显没有周杰好啊~~还有剧情真是很多到现在都有点摸不着头脑            
(2星)	 陆毅………………………………………………            
(2星)	 陆毅版的包青天比起周杰版的包青天，少了很多灵气和幽默感，呆若木鸡。陆湘湘也不知是哪里找来的，完全配不上公孙策。            
(NA)	 那时候被吓坏了            
(NA)	 童年。。。。。            
(3星)	 其实在周杰、陆毅和邓超当中，我最喜欢的还是周杰。陆毅太奶，邓超太邪。只有周杰才是我心中包拯的形象，歇斯底里的认真。            
(5星)	 想起这部剧就想起我的少年时光啊~ 超级喜欢第二部~ 喜欢陆毅~            
(2星)	 换了主角完全比不上一了。            
(4星)	 好看的            
(3星)	 三部曲之二的尴尬，比第一部逊色些。三星半            
(2星)	 将抄袭进行到底！展昭好萌的!!!            
(2星)	 就记得有个梳扇子头的女的……其他真没记住……那扇子头还是抄林诗音的，不过改双刀了            
(NA)	 陆毅啊。。。            
(3星)	 其实还是不错的，１２３我都喜欢的其实。但客观点评价，只能给３.。。            
(3星)	 真是他妈恶心死陆毅了            
(NA)	 没有第一部好看 。。好吧我就是喜欢尔康- -            
(2星)	 续貂之作            
(3星)	 又瘾又洗            
(3星)	 不咋样，但那时宁愿看这个也不想写作业……            
(3星)	 还是尔康演得好..            
(3星)	 陆毅……我ORZ            
(NA)	 有的东西还是要mark一下的。。。            
(4星)	 陆毅的扮相确实比周杰好看多了            
(NA)	 沒的抄了就沒得看了吧。            
(5星)	 摩尔摩斯的推断。            
(3星)	 范爷这时候……            
(4星)	None
(3星)	 与其花心思千方百计对付别人，去算计别人，还不如多花些心思在自己喜欢的事情上，人生匆匆，我们所剩的时间，可不多呀            
(4星)	 没有第一部拍得好，明显。            
(NA)	 ...陆毅你...（汗）（汗）（囧）（囧）（囧）（囧）            
(3星)	 陆毅不来势            
(4星)	 陆毅比周杰帅但是没他有喜感。            
(3星)	 陆毅的包青天很失败！            
(NA)	 这是多少年前看的咯。。当时还是很喜欢的~            
(4星)	 当时看的时候觉得非常惊悚，看了都不敢睡觉，觉得范冰冰很漂亮。。。这部真的演的很好。。。            
(3星)	 没有第一部好。            
(4星)	 我觉得蛮好看的哇            
(4星)	 任泉老帅了            
(3星)	 更喜欢周杰的那个包青天……今天成了回忆日……            
(4星)	 比第一部好看点            
(3星)	 和周杰两个风格的。            
(4星)	 表示凡是小时候看的都给四星 我还学陆毅撅嘴..嘛 有时事情嘛不能言传~            
(5星)	 陆毅演的挺出色的~表示剧情安排也挺好的~            
(NA)	 好看            
(NA)	 小时候真好，还有时间看这个            
(3星)	 没第一部好看            
(1星)	 第一部的黑炭才正宗            
(5星)	 看的第一部侦探题材剧...小时候关上灯自己看觉得挺吓人...P.S:为什么换成陆毅了...            
(4星)	 主题曲很好听啊            
(5星)	 我最爱的陆毅版包拯            
(4星)	 小时候大爱            
(3星)	 我觉得周杰演的好。。。            
(NA)	 不好看            
(4星)	 周杰陆毅版本都比邓超版本的伪推理强~            
(4星)	 最近还在看            
(4星)	 印象深刻的就是FBB永远一高一低的眉毛            
(2星)	 你还能抄点别的吗，求你了不要抄名侦探柯南，大爷我看他很久了            
(4星)	 还是更喜欢尔康那版            
(5星)	 第二部比第一部多了些搞笑成分，也挺喜欢的            
(3星)	 陆毅比不上周杰            
(5星)	 比第一部好看多了            
(3星)	 陆毅演的挺好。。。 可是主演换了感觉就变了            
(4星)	 内地不错的推理片            
(3星)	 小和尚也恋爱了....太可怕了            
(3星)	 虽然不如第一部可还不错  三星            
(4星)	 虽没第一部好看，但也还不错~            
(3星)	None
(3星)	 不算太差            
(4星)	 还好            
(3星)	 释小龙！            
(NA)	 我竟然也看过！            
(3星)	 还是喜欢鼻孔康            
(4星)	 29集那里有句话说你的脸怎么那么黑，你是张飞吗？张飞是三国中着重描写的吧，在宋朝，尤其是足不出户的少妇，怎么会知道呢？            
(5星)	 真相只有一个~            
(3星)	 不习惯看续集 尤其还是换了主角的那种            
(3星)	 2就2了            
(4星)	 第一部感觉更好看。            
(4星)	 一点儿都不记得了。            
(5星)	 我就喜欢查案            
(4星)	 其实还好啦~~            
(3星)	 私以为没有一和三好看耶！小蜻蜓的身世莫名其妙的，也不喜欢三廉王。。            
(4星)	 戒色！！！！            
(5星)	 虽然换了主演 但是这部少有的推理国产电视剧对于小时候的我来说还是很好看的！！！            
(5星)	 少年时代的推理剧，喜欢看。            
(2星)	 shit            
(4星)	 纯属为了释小龙。            
(3星)	 因为不喜欢范冰冰，所以没看过            
(3星)	 陆毅可爱啊~~~但是装不像大侦探啊~~            
(NA)	 尔康 又见到你了尔康            
(4星)	 还可以吧。。。            
(5星)	 破案的都爱            
(4星)	 当年相当风靡呀。            
(3星)	 童年呀~！！            
(3星)	 它记录的是岁月            
(3星)	 奔着陆毅看的，比第一部养眼，但是剧情好像没有第一部好             
(4星)	 我还是比较喜欢尔康演的= =            
(3星)	None
(3星)	 有幾處劇情較拖沓            
(3星)	 陆毅没有那谁好，周杰，没有伦就是不火啊            
(3星)	 1 2年級的時候- -完全忘了是什麽劇情            
(4星)	 没第一部好 但也不错            
(3星)	 这部，不好看。            
(4星)	 一直都很喜欢任泉！            
(NA)	 周杰那版好看            
(NA)	 开封啊。            
(5星)	 我一直很喜欢啊啊啊            
(3星)	 - -            
(4星)	 展昭终于有感情戏了有没有！            
(4星)	 好看。            
(3星)	 嗯，跟第三部比起來，這一部還行            
(4星)	 我那时是陆毅和释小龙的粉丝。            
(2星)	 比第一部差远了            
(4星)	 陆毅版的看上去就怪怪的了。            
(4星)	 我觉得这部还挺好看的            
(3星)	 第二部开始就已经慢慢不行了。。。            
(3星)	 同上部            
(5星)	 比第一部喜欢。喜欢小蜻蜓~不过陆毅脸也太圆了……            
(3星)	 两星半            
(3星)	 没一好，不过还是挺不错 有些矫情了···            
(2星)	 陆毅真的不如周杰……没有了八贤王，也没看头了。            
(3星)	 这一部里面，陆毅演的包青天有点持才傲物了。            
(NA)	 如今我还是爱看 =   =            
(NA)	 觉得没有第一部好看。。。            
(NA)	 任泉就是天造的公孙策！陆毅应该算三个包拯里面最好的一个了...            
(5星)	 公孙策好帅！！            
(3星)	 对陆毅很无语~~无聊时看看还行            
(3星)	 真心讨厌范冰冰。。。。            
(5星)	 这就是我少年是的爱啊！！！            
(4星)	 很心水任泉的，呵呵，陆毅比周杰中看啊            
(4星)	 这片子看了晚上不敢睡觉.......            
(4星)	 陆毅是个大帅哥，这点无疑否认，但是这部不如第一部那是当然的，主演要比第一部好一点，情节的话我还是喜欢第一部            
(3星)	 任泉你怎么那么帅！            
(4星)	 陆毅的比周杰的帅            
(4星)	 所有主演都喜欢，，不过 释小龙已经成为一个大孩子了呀。。唉            
(3星)	 话说。。。我还是喜欢1            
(3星)	 每当电视上开始播放的时候，我就知道，暑假又来了。             
(4星)	 比第一部稍微逊色一点            
(2星)	 陆毅，又一装逼！任泉，一装傻？释小龙，一没大脑？剩下的不说了。。。            
(4星)	 理由同1.            
(3星)	 少年包青天的包拯总在换，女主总在换，公孙策偶尔换，唯一没有换的就是展昭            
(3星)	 没1好看            
(3星)	 小时候好喜欢公孙策。。。            
(3星)	 我把图片上那个人看成周杰了。。o(╯□╰)o陆毅的脸没有那么长的吧。。。不喜欢他，这部不是很好看。。周杰虽然人品不行，第一部演得还是很不错的。            
(3星)	 其实还蛮喜欢看的，虽然故事很白痴            
(3星)	 竟然看了这么多电视剧            
(3星)	 支持第一部撒            
(3星)	 第一部好看，选陆毅是个失误            
(2星)	 为神马要让陆毅演老包，为神马啊为神马啊这到底是为神马啊，有陆毅就算了，竟然还有FBB那个SB，我靠，我竟然还看完了，最该死的还是我自己            
(5星)	 没必要评价了。            
(3星)	 没有第一部精彩            
(3星)	 陆毅没有周杰演得好            
(3星)	 完全和第一部混淆...小时候嘛...            
(4星)	 比较有新意            
(3星)	 渣。            
(4星)	 白衣少年——任泉            
(4星)	 原来这么早。            
(4星)	 陆毅演得太傻了！！！            
(3星)	 远比不上第一部            
(4星)	 那时候好喜欢啊、            
(3星)	 推理啊破案。            
(4星)	 挺喜欢的。看了很很多集才发现包青天跟第一部不一样。            
(4星)	 当时很迷恋释小龙来着，，，            
(4星)	 没有第一部恐怖，但道具变先进了            
(4星)	 服装雷人            
(3星)	 剧情有些游离散乱，感觉远不如一了            
(3星)	 金田一柯南            
(4星)	 虽然是新一+金田一 不过看看还是挺好玩儿的            
(4星)	 什么小蜻蜓的，太扯            
(3星)	 中规中矩            
(3星)	 陆毅这版。。。一般。            
(1星)	 任泉还是很帅！            
(3星)	 只能說勉強還可以。            
(3星)	 没有一好看 简直差远了            
(4星)	 。            
(4星)	 被这片子吓个半死....            
(5星)	 我还是比较喜欢这种题材            
(3星)	 不好看            
(4星)	 w|||||            
(2星)	 不要换人啊！！！！            
(5星)	 公孙策啊公孙公子！！！！            
(5星)	 演员好            
(3星)	 比起第一部逊色好多            
(NA)	 鼻孔哥当年也帅气过啊……            
(3星)	 大鼻孔版地剧本比较优            
(3星)	 一直记得背景音乐很恐怖…范冰冰还真是什么都演过啊…            
(3星)	 实话说，这个还真是周杰演的好            
(3星)	 今天看同人看的我突然想翻出来回顾一下了            
(3星)	 还行。。记得讲佛像流眼泪的那一集 好吓人。。。            
(3星)	 一直很喜欢看少年包青天系列。            
(3星)	 打发时间            
(2星)	 看不下去            
(2星)	 这个包青天我就不想说什么了            
(2星)	 你还敢再山寨一点么= =            
(5星)	 没第一部好看，也没第一部恐怖。陆毅的颜还是很帅滴。。            
(3星)	 任泉的公孙策比较有魅力~~~            
(NA)	 我还是比较喜欢这个版本的包拯。            
(3星)	 初中在旁人追看流星花园的时候我忠实地每天守候着电视机看少包2，如今想来实在是不可思议。。。而且看过周杰的灵动滑稽版本的包青天便总觉得陆毅太过于方正端庄。。。            
(3星)	 对推理剧没抵抗力。            
(3星)	 由周杰换成了陆毅，没了李冰冰，多了范冰冰，包青天断案仍在继续。            
