http://movie.douban.com/subject/4914642/	回家的诱惑
(1星)	 一部具东南亚气质的狗血剧，处处可见人为设计的痕迹......            
(1星)	 断断续续无聊吃饭的时候看了几集，真是减肥良药，这辈子没看过这么烂得电视剧。            
(NA)	 我居然看了 （只是后面部分　．．）            
(1星)	 今天听朋友说这部剧是继《还珠格格》后多年来收视冠军，我善意的揣测这是从另外一个角度说明我朝人民的智商无下限，顺便坐实了我朝人民真是好容易洗脑和管教的人种。另，凌潇肃的本色出演，让我仿佛看到一个无脑儿演绎人生的辉煌。            
(NA)	 其实我觉得真挺好看的…………            
(1星)	 神马玩意儿 ~            
(3星)	 ……我竟然看了，还看完了            
(4星)	 旅途夜间消遣-。-            
(3星)	 大团圆结局，恶人最终可怜的下场。早知今日，何必当初呢。男主彻头彻尾是个悲剧……            
(1星)	 可以打负十分嘛？？脑残到可怕极至的剧情！！看完此剧智商下降100分！            
(2星)	 狗血……            
(3星)	 小三成了正房，就杯具了。            
(1星)	 随便看了一会。韩剧的feel，凌潇潇肌肉不错。李彩桦比凌霜华那会要有一丁点进步了。            
(1星)	 翻拍还拍这么狗血！            
(1星)	 山寨的一米，又土又烂，哎，            
(2星)	 只为了边看边骂            
(1星)	 真的只是坑爹的翻拍            
(2星)	 编剧是脑残            
(NA)	 像两个朱老师看齐            
(NA)	 迟帅小神龙俱乐部喊你回家吃饭            
(4星)	None
(1星)	 35集吧？            
(2星)	 悲剧- -我一看到潇XX那个民工样就想撞墙= =            
(1星)	 烂得人神共愤！连凌潇肃和秋瓷炫的结婚照都是直接拿潘粤明和董洁的照片P的！            
(2星)	 太纠结了啊啊啊            
(4星)	 剧情是狗血，不狗血怎么叫电视剧            
(3星)	 还好姚晨跟凌潇肃离了。            
(1星)	 毛概课上又看《高考1977》...那个阿三一出来我就说那不是品如哥哥嘛........            
(1星)	 姑且给一颗星吧；陪马麻看了几集；给出一句评论：女人何苦帮着男人为难女人            
(2星)	 看了最后一集，全体演员辛苦了。。。            
(1星)	 我也被迫看了。。。。            
(2星)	 我看下来咯 看下来咯 只为翻盖大苹果哦！            
(3星)	 看到20集觉得越来越扯。看的想屎。            
(1星)	 SB。。。            
(1星)	 盜版《妻子的誘惑》            
(3星)	 为毛觉得凌潇肃那么假呢，绝情起来的劲头儿真是本色出演~~~~            
(1星)	 我妈还买了全集............................TUT            
(1星)	 @北蔡之星 看这个绝对不是我的本意。            
(2星)	 记得要锁门！！！！！！！一切的一切都是因为你们根本不锁门！！！西奈！！！！            
(NA)	 那啥，系单位的小中老妇女们拖着看了好几集，单位大叔也好痴迷这个啊。            
(1星)	 我想看电视剧能傻差到什么程度，不错，此剧到达了！            
(1星)	 回家的时候电视在放，回学校了舍友在看，逛个街都各种“为所有爱执着的痛～为所有恨执着的伤～～无法原谅～～～”                 
(3星)	 那个真的高珊珊简直是个疯子。演技烂死了。            
(2星)	 芒果臺是山寨若手臺啊就            
(NA)	 凌潇潇 你好骚哦~            
(1星)	 你们谁喜欢看的咱们好聚好散吧            
(2星)	 男一号换一个吧！！！！！！看着你那恶心的脸我难受！！！            
(3星)	 虽然跳着看的，也看的很完整了。算是这几年国内都市剧的亮点之一了。总体还算不错。            
(NA)	 凌霄肃好怂蛋            
(1星)	 哈哈哈哈，心情不佳的时候看 ，觉得好欢乐啊~~~            
(1星)	 恶心，无趣。            
(2星)	 我就是想不通为嘛我爹妈我妹我妹夫我街坊邻居都奔走相告哭爹喊娘滴说好看            
(2星)	 陪妈妈看....幸好大姚和这个猥琐男OVER            
(NA)	 我终于也开始看狗血剧了            
(3星)	 比韩国的节奏快 但是品如的变身稍稍有点粗制滥造，但是对于喜欢看这种片子的我来说，还是不错的哈哈哈哈。结局实在是太让人无法言语了。有点惆怅。            
(2星)	 今天去打印东西和买饮料的时候发现他们都在看这个！果然这是商户们的最爱            
(1星)	 = =            
(3星)	 噗~            
(1星)	 我来就是为了给你一个超级差评，被导演和编剧折磨了5集之后，突然觉得《宫》真是一部诚意十足的上乘之作，于正真是个会讲故事的人。建议豆瓣设一个无星的选项，此剧一定独占鳌头。这个编剧不是自己脑子不好就是把观众都当成精神病院的病人。            
(NA)	 我妈喜欢 就算了吧            
(NA)	 二十几集还在受气,气死了.还不赶紧演报复的内容            
(3星)	 身边的孩子们都在看。            
(NA)	 漂娘~            
(3星)	 没看过原版 并且一直对老凌的小三儿事件持怀疑态度 为什么都不去挖挖女方呢~ 7年也没生个小孩儿 ...讲多了~            
(NA)	 哦，洗了澡很冷很懒，躺在床上滚来滚去，看回家的诱惑，也不错。            
(2星)	 真是气死人了！            
(1星)	 一集足矣 烂透了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊            
(NA)	 凌霄素本色出演,嗯            
(NA)	 期待妻子重生后的造型。和老妈一起看的，老妈居然说这个比韩国那个要好看。大家说连完了，然后就完了~~~            
(1星)	 衰！            
(2星)	 凌潇肃演技差！！！！！！！！！！！！！！！！！！！！            
(1星)	None
(4星)	None
(2星)	 我连这么墨迹的电视都看完了我在家呆的是有多无聊~~~~~~唯一的可取之处是女一号的配音没那么难听~            
(NA)	 狗血撒完一盆又一盆....实在太让人挠墙了...            
(3星)	 说实话，凌潇肃的演技还是不错的            
(4星)	 水瓶的女主真是善良执着单纯付出。天蝎女2阴暗自我不折手段 勾心斗角 第三者 自私 双子男主2面派 软弱 谎话 喜欢强势的女人 金牛姗姗 执着极端爱很强烈 和艺术工作有关 被宠             
(3星)	 熬了这么久，笑过恨过羡慕过感动过，这一切，通通都在昨晚过去了。算不上什么好片子，但既然开始了，就要把它结束。11.12.8晚。            
(3星)	 在老片场里终于看完了……            
(1星)	 妈霸占电视机看的，这片能再傻，再逻辑不清的片子            
(3星)	 真是好棋杀死猪啊~~~!为了这么一部山寨剧我居然抱着电脑看到凌晨4点!!!好吧,姐圆满了,看到红事白事一起混搭的结局了...死心睡觉去吧。            
(3星)	 富二代用跟我一样的山寨翻盖苹果哎～            
(3星)	 我竟然花了两个通宵看这部狗血剧，bs死自己，搞得现在还头痛欲裂            
(1星)	 sb导演为毛会选凌萧肃为一个大少爷，一张脸那点像，感觉把整个片子给毁了。。。。。。当然剧情也很无聊！            
(2星)	 凌潇肃本色演出            
(2星)	 妈妈爱看，就陪着看了···            
(NA)	 一颗星我也不想给。            
(4星)	 其实还不错，作为肥皂剧，值4星            
(1星)	 室友们看我听…听完了…狗血天雷大集合…            
(2星)	 凌萧肃内个贱样~            
(1星)	 我艸 居然有4.9分这么高            
(NA)	 这个也看过的= =            
(2星)	 我妈要看 我妈要看 我悲催啊~用我电脑看，我没电脑玩，今晚继续给她看，还要我点着播啊~！            
(1星)	 其实没看过，只是昨晚在外婆家看了两集，假的不行，赶脚模仿韩剧来的吧？连女主角都这么像韩国人。。            
(NA)	 - -我妈当初还很喜欢看！            
(1星)	 太爛了            
(NA)	 我要用我的身体，我的全部，去做令你后悔的事。仇恨，是种类似于某些中药材的东西，性寒、微苦，沉淀在人体中，散发着植物的清香。可是天长日久，却总是能催生一场又一场血肉横飞的爆炸。真善美，依然是爱的真谛。            
(NA)	 嘛玩意啊！            
(NA)	 我就喜欢你的没有下限。            
(2星)	 一个贱女人的苦逼自作自受            
(3星)	 大变身啊这是            
(1星)	 从头到尾插曲、氛围背景乐、主题曲都是同一个！不请个配乐的动动脑子！就一逼女的在那儿嚎！两个女主角蛮漂亮的，男主角怎么看怎么傻逼。故事狗血、价值观低俗，什么为了钱啊，为了家产啊，她是来害你的，我才是真心爱你的。            
(NA)	 我妈天天看，我跟着也就看完了            
(1星)	 超級復仇劇。看到後面覺得很搞笑 特別是凌某的心理臺詞每次都讓人想哭（憋著想揍他的情緒憋得哭）。            
(5星)	 默默无语两眼泪。。。            
(3星)	 越看越离谱。。。这么长 我居然看完了啊 我去！！            
(2星)	 真是典型的又臭又长 乱七八糟…………            
(5星)	 太棒了 解气            
(3星)	 就喜欢看复仇，打发时间            
(NA)	 特刚了            
(1星)	 有点法律常识行不行！！！！            
(2星)	 单位天天看,看的挺欢乐的            
(3星)	 前两天小假期去姑姑家陪她又看了一遍 - -            
(NA)	 无法打分  这年头国产剧已经没有下限了            
(NA)	 翻版            
(3星)	 男女一号没韩剧的漂亮，但其他角色都比韩剧的好看。另，做作女（妈妈）我太喜欢她的表演了，还能再做作一点吗？            
(2星)	 老妈在追火星电视台于是偶尔跟着瞟两眼。高仿棒子剧。剧情合理性逻辑性演员演技神马的就表追究了。如果把智商情商降低到同样水准的话还是蛮能获得道德批判优势因而乐在其中的   -。-            
(NA)	 竟然能拍60集！这三家人都是信球！！！            
(NA)	 山寨就不说，不知道老妈咋还就那么喜欢看呢都把结局告诉她了她还看，不知道这片子有哪是能看的            
(1星)	 中国学韩国拍狗血电视剧            
(NA)	 。。。            
(2星)	 一部粗制滥造的电视剧，狗血的剧情以及一堆疯子            
(3星)	 太过老套的剧情，这样的电视剧似乎让自己回到好些年前，却真实的反映着如今小三泛滥的年代，不过小三的有点过了，现实还没有那么严重吧？！要不能谁敢结婚啊！            
(NA)	 室友每天必看之苦逼狗血剧，隔着门都听到各种琼瑶式歇斯底里台词，我只想死只想死有木有！！！为毛这种东西也有这么多人看啊！！！没星没星，星你妹啊！！！            
(NA)	 咳咳，太假了太假了，神马都是浮云啊，漂浮物啊P.S.大结局的最后一个镜头，天上的俩人，你们好惊悚啊            
(3星)	 秋瓷炫是韩国的？是翻拍《妻子的诱惑》，我神马都不清楚。            
(NA)	 看我看的都是啥玩意儿。            
(1星)	 - -天使的诱惑拍的就不咋地，居然还学人家            
(3星)	 哈哈，很有喜感哒            
(2星)	 好狗血啊！            
(1星)	 这种2B片吃饭的时候看都倒胃口！没一个人脸是能看的啊卧槽！            
(4星)	 人  为什么要到临死的时候才明白那么多               
(2星)	 无聊            
(3星)	 有种中国韩剧的感觉，虽然我没看过什么韩剧。            
(4星)	 看这么山寨的电视剧也看哭了,四天看完70集啊...我牛不牛            
(3星)	 秋瓷炫蛮不错~            
(1星)	 我真不好意思给看过的标签啊            
(NA)	 没法打分啊⋯⋯扫过⋯⋯            
(2星)	 好笑好笑。妈妈看 于是我也必须看了。            
(2星)	 每一个人的脑子都是装饰品啊亲！            
(4星)	 美女养眼，主题曲好听，剧情连贯能做到这些就已经不错了给四星~            
(2星)	 廉价！            
(2星)	 凌潇肃本色出演。。。我勒个去            
(1星)	 ==            
(NA)	 李彩桦演技好烂 高珊珊可以去死了            
(3星)	 气得我没有看完            
(2星)	 很二，但不知不觉爱看来着。            
(2星)	 折腾来折腾去            
(1星)	 卧槽怎么会有如此SB的电视剧我勒个去。。。第一次有让我打零颗星的冲动有没有！            
(1星)	 集合了所有棒子剧精华的山寨狗血剧！！编剧太狠了！            
(3星)	 剧情很狗血。凌潇肃在戏内戏外都是个没根性的男人。            
(3星)	 肥皂剧就是肥皂剧            
(NA)	 多孽的，看完啥子病都好了。            
(NA)	 就是看过了，有啥好丢人的            
(NA)	 这么恶心的片我都看了            
(4星)	 我终于看完大结局啦……从此在天雷的剧也难不倒我了^_^)Y            
(5星)	 明明就是满分的剧！！！！！！！！肿么还有人打一星！！！！！！！血没品位！！！！！！！！！            
(2星)	 剧情抄袭原版韩剧也就算了，连主题曲也要抄袭，实在让人看不起。片子虽烂，但起码部分演员的演技值得褒奖。至于剧中的价值观和道德水准，实在有待商榷。            
(2星)	 比较狗血。。。            
(4星)	 我妈喜欢看，也跟着看了            
(1星)	 这么烂的剧！真想让我骂人！！！            
(1星)	 无表情凌霄肃            
(3星)	 芒果台实在是妇女之友，陪我娘把90%都看下来了，剧情虽然狗血还是挺跌宕的，每晚听着主题曲响起就像打了鸡血一样            
(3星)	 浪费了很多时间看这部垃圾电视剧，是我太寂寞了？            
(3星)	 真不知道自己为什么可以坚持看到最后。。。或许只是因为自己一个人生活的关系，每天按时按点的打开电视，听着电视里播放的女人为难女人的斗争，手里敲打着键盘，心里却早已心乱如麻。纠结是一种常态，纠结久了就是一种病态，像爱上一个人，无可救药的爱下去，直到死的那一刻。            
(3星)	 剧组您真扣儿~翻来覆去就那么几张照片，还都是P的！P的就算了，您P真实点儿成么！            
(NA)	 这剧情  。= =            
(3星)	 哈哈哈哈，好好笑的喜剧片！不过也算是中国模仿韩剧的一种进步吧。            
(NA)	 确实是有强迫症   这种烂剧   我居然能一集不漏的看完   我是来看笑话的我是来找雷劈的！            
(2星)	 剧中每个人性格的两面性太多，太假，倒像是好几部剧情拼成了这个故事            
(3星)	 股市的最后最感人            
(NA)	 看了开头和结尾，中间的就省略了吧～～～            
(1星)	 迟帅            
(NA)	 非常神的一部片儿。            
(2星)	 山寨中的战斗机            
(1星)	 我真的很好奇这部剧是怎么过4的。            
(1星)	 恶心            
(1星)	 无语            
(NA)	 陪我妈妈看            
(3星)	 尊是不想承认我看过啊，不过的确一波三折诶            
(2星)	 毫无赶脚...- -            
(3星)	 我才不信这种电视剧破了4。            
(3星)	 狗血剧情。没什么亮点。            
(2星)	 凌潇肃个老男人            
(NA)	 哇哈哈哈~~            
(2星)	 其实我觉得还阔以啊，满欢乐的，就是。。。为什么要找棒子女来演嘛，啧啧啧～～            
(2星)	 完全没投入看，就是在家开着电脑开着电视偶尔撇两眼，就知道剧情的烂剧。            
(5星)	 女人不管相不相信爱情，都可以看一下，相信的增加下抗体，不相信的人就当过梦一场``            
(NA)	 结尾真是奇葩。。。。            
(4星)	 我没看到结局 = =！            
(2星)	 就是看看迟帅而已。            
(2星)	 什么烂剧我都看过。done            
(2星)	 我都佩服我自己了，这尼玛什么脑残编剧什么面瘫主角拉扯出来的裹脚布啊！！！！！！！！！！！！！！！            
(2星)	 里面的小童星很萌很萌……            
(NA)	 莫名其妙            
(3星)	 囧囧更健康            
(NA)	 还是去重温棒子剧吧            
(2星)	 啥也不说了            
(3星)	 好吧，我承认，在宝儿家看这部剧的期间我很欢乐。。每天各种欢乐。。QQlive说，凌潇肃本色出演劈腿男。。囧。。哈哈哈~湖南台还说，幸福生活季。。宝儿每天都吐槽。。幸福在哪点。。哈哈~艾丽居然和洪世贤一起死喔。。坑爹。。迟帅看久了还是蛮不错的。。哪叫他叫迟帅勒。。orz。。。            
(2星)	 我看过我可耻            
(1星)	 就在现在，陪家人又看《回家的诱惑》。“为所有爱执着的痛，为所有恨执着的伤，无法原谅啊无法原谅……”再牛13的肖邦，也弹不出这么狗血的忧伤什么的……            
(1星)	 最后是西游记！！！（如果不是苏胖子每次到客厅打开这破电视，然后撒手不管，我何必看了个开头！！！又因为有强迫症，必须知道结尾，所以才看完了！！！！）            
(2星)	 各种烦……            
(3星)	 最后一个镜头我笑了。。。。其实情节还好啊。。。            
(4星)	 山寨娱乐电视剧            
(2星)	 累死我了 可算看完了            
(NA)	 这么狗血的剧我居然追完了 真佩服我自己      呕..凌潇肃那张脸真的不能看...            
(1星)	 凌霄肃你是个臭傻逼你知道吗？x你老mu            
(1星)	 真的很难看也，只能给差评。            
(NA)	 为了看高珊珊那个变态样~            
(1星)	 室友们看得那么欢快同处一室的我不得不对整个故事剧情了如指掌 OJZ            
(1星)	 唉！不知道为什么这部剧就这么热了，记得那年看《妻子的诱惑》每晚两集我可活活看了一百多集！今年芒果有弄了这部出来，很无奈，我压根没看，连主题曲都没变一下，无语的鄙视！芒果，你图什么......            
(2星)	 我竟然看完了，很廉价的山，让人觉着拍剧很容易。            
(3星)	 我承认我间接性围观了。它没有配音 是我能看的原因。客观的说 里面的一些配角演员 其实演的不错的 尤其是母亲父亲的演员 只是这剧大环境被芒果害了 导致烂评一堆 演员很无辜。            
(3星)	 看了两秒钟就知道讲啥了            
(NA)	 这尼玛为什么会有这么拽的故事？什么一波三折根本不够看，每集都有九曲十八弯好吗？还有演员们，这样的电视剧不要演得那么认真好吗？妈的60集每集都动真感情，我看剧的人都觉得累，偶尔假哭一次也是可以的吗~囧            
(1星)	 简直想为了这部片支持豆瓣星级百分制。不不不，万分制。不不不，百万分制。百万分是满分，我就愿意给它1分。            
(1星)	None
(2星)	 怎么这么长……其实也不至于那么差 主要还是凌潇肃出现的太是时候了            
(2星)	 竟然和我爸妈每天晚上十点档看完了啊混蛋TAT            
(2星)	 狗血剧情白痴编剧……            
(NA)	 我承认我很恶俗            
(NA)	 我也忍不住阿西吧了。。！！！各种不放过各种伤不起啊。。。坑爹啊。。。            
(2星)	 最近犯了严重的因为某人而看某剧的情况，所以发生了这个悲剧。....小神龙俱乐部啊，啊啊啊啊啊啊啊。            
(3星)	 贱女人集锦~~            
(1星)	 有没有没星的啊！全部抄袭啊！！！            
(1星)	 被老妈“绑架”着看的。。。。            
(NA)	 为所有爱执着的痛,为所有恨执着的伤。。。。            
(NA)	 哈哈~~凌某某本色了一把            
(1星)	 超级烂            
(NA)	 脑残指数五坨屎.凌萧肃你把在北方有佳人里的演技吃了么,中戏粗来的高33你师傅是马影帝么？            
(NA)	 自从看了一集 从此踏上不归路 终于要完了            
(3星)	 特二逼吧。。各种角色脑残居家斗小三必备            
(1星)	 恶心死人了            
(1星)	 其实我没看过，只是想评分╮(╯▽╰)╭            
(3星)	 结尾处真没想到。。            
(1星)	 凄凉，豆瓣上居然还有10%的5星！我更凄凉！老婆在一边看我在一边玩电脑，精神虐待。            
(1星)	 我不是故意看的             
(1星)	 这么点剧情能拍这么长，了不起！！冤冤相报何时了，哎，不提倡。。。            
(NA)	 课余生活的诱惑            
(1星)	 哈哈哈哈 我们边看边学 雷的很有喜感啊            
(1星)	 为什么里面的全部都是山寨手机？            
(1星)	 里面全是洪世贤的笑点。            
(3星)	 终于追完了 狗血啊 秋瓷炫还是蛮好的 李彩桦演技不错 凌霄肃本色出演            
(NA)	 狗屎啊            
(NA)	 高文彦。小神龙俱乐部叫你回家啊吃饭~            
(NA)	 大家都在看，就跟着看了几集，一家子变态，各个都性格扭曲。            
(4星)	 。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。            
(5星)	 你们那些给一颗星的怎么想的！光是凌萧肃的手机都值得5颗星了！            
(1星)	 垃圾中的典范，觉得这部电视剧好看的估计都是脑袋短路人士。            
(NA)	 = =            
(NA)	 好吧你们鄙视我吧，我现在真的在看这个。。。            
(NA)	 这东西能给我恶心死气死。。那我为什么要看。。操            
(1星)	 没办法陪媳妇看的 看得老子一肚子火 太差劲了            
(1星)	 垃圾中的垃圾            
(1星)	 笑S            
(1星)	 室友看- -  陪着看的。。            
(1星)	 虽然身边很多人说好看，但我依旧觉得很侮辱智商            
(1星)	 一定要颁个奖给编剧。            
(5星)	 让中年妇女再次怀春多国合作的长篇时尚肥皂剧！            
(2星)	 不得不说，凌潇肃真的给这部片子加分不少，本色出演了一个超级2B的男人，加1星~            
(1星)	 我真的看了一个足够狗血的烂片。。。            
(2星)	 旅游的时候同房的同事每晚都要锁定芒果台看这个，我无奈只好跟着看了。。。好囧啊。。。虽然我没看过韩版。。。            
(2星)	 肥皂剧中的泡沫，谢谢你伴我度过饭瘫时间~╮(╯▽╰)╭            
(3星)	 秋瓷炫短发很耐看，我看这部剧就是为了看她，迟帅和她一点不搭配，山寨剧就那样吧,结局真恶心///            
(1星)	 哈哈哈浮夸演技严重戳中笑点啊！！！！！！！            
(4星)	 挺好看的呀            
(1星)	 真是狗血！台词都一样！ 凌潇肃真是本色出演啊！ 三心二意的男人就是狗屎！            
(1星)	 大实话：已经很久没有为电影、电视剧打分了。即使再差质量的电影，我也觉得它会有辛苦程度。但是。知道吗？在和妈妈一起被迫观看的过程中。终于，忍不了了。内蒙古。呼和浩特。糟糕留念。            
(1星)	 我操你骂了隔壁的怎么会拍出那么无下限的片子            
(4星)	 最近在看。死而复生            
(3星)	 迷上了，真的迷上了。            
(1星)	 哼哼.哼哼..哼哼...            
(3星)	 虽然是抄袭韩剧的，但是女主角还是挺漂亮的，男主角演的太烂了            
(1星)	 小妈每晚守着看的电视，无奈看得二手剧，好吧，这就是为啥我不看国产剧。这就是为啥咱们国家的文化产业越来越没前途。            
(3星)	 确实是湖南台才能搞的剧            
(2星)	 我甘愿接受辱骂！            
(NA)	 翻得真彻底            
(3星)	 38 没看过韩国《妻子的诱惑》，这个还是跟着妈妈看的，妈妈觉得很好看，我没有对比性的觉得还行吧，挺打发时间，就是剧情太跳跃，演员表演太做作，凌潇潇戏里戏外一副德行。            
(2星)	 我是抱着看看郭芙蓉的前夫的念头来瞄一下的...    原来就是妻子的诱惑的山寨版... 靠..            
(NA)	 看完了哟            
(1星)	 超级大烂片啊!集合了大陆香港台湾韩国各地演员,却拍的跟个鬼一样!四不像.难看死了!根本没有细节.跟里面有个戏里戏外的大负心汉!            
(1星)	 烂片  你看就发现是山寨。 更恶心的是凌潇肃            
(1星)	 被迫看的，室友就盯着看，我没得选，主题曲都快听烂了。            
(2星)	 芒果……山寨制造机            
(1星)	 简直就是把韩国版的剧本主题歌神马的直接翻译了一遍啊            
(2星)	 虽然喜欢姚晨，但是总是喜欢不起来老潇            
(2星)	 偶尔看看肥皂剧有益身心健康            
(1星)	 以看此片为耻            
(1星)	 哈哈哈哈姐看的就是狗血剧里的复仇呀复仇~~              
(3星)	 我居然把它看完了。            
(NA)	 ……            
(1星)	 闹心的时候太多            
(3星)	 抄的水平还算是上来点            
(2星)	 芒果台的节目对于智商没有要求。            
(1星)	 导演简直就是一只韩国人养的大笨鹅 你爷爷的何必如此的如出一辙，去死。            
(3星)	 妈妈看就跟着看。。            
(1星)	 最近晚上回家在电视上看 就当娱乐嘛 而且 我觉得湖南台是故意的。。哈哈哈            
(NA)	 湖南台老放这种有大量穿帮镜头的电视剧，这是要我们找茬是吧            
(1星)	 他妈的我没看过抄的这么彻底的改编剧！！！即使是山寨版！！！！即使是芒果台！！！！你他妈是节约了多少编剧成本！！敢不敢剧名都不要改？？我说男主怎么这么挫，原来就是那个离了婚的鞋拔子            
(1星)	 小学生一上午课可以意淫出来100集剧情的SB电视剧            
(2星)	 狗血啊狗血啊狗血啊            
(1星)	 抄袭力作！！！！！！            
(2星)	 这狗血天雷剧终于在品如诱惑世贤回洪家报仇和高珊珊恢复记忆回来的双重雷击下，弃了。。。            
(2星)	 总算看完了。。。。。。。。。。            
(2星)	 我怎么这么不待见凌潇肃啊            
(3星)	 哈哈 好狗血^^            
(1星)	 山寨的韩剧吧 还韩国巨星…… 韩剧里经常龙套的嘛 太山寨了 有没有负分啊？            
(3星)	 哎呀我的妈呀。。要不是凌同志昨晚那微博我还真不会看这个片子，所以说呢，他还真是达到了提高收视的目的，我是中招了，呵呵。。跳着看的，艾丽也太恶心了吧，真是费尽心机，吐死。。            
(1星)	 没见过一个第三者能这么厚颜无耻的            
(3星)	 真的60集吗？......            
(1星)	 湖南台快完了            
(NA)	 看得真累心，复杂。没想开的人儿，想开点慢慢就好了。该咋过就咋过。            
(1星)	 擦，有时间看芒果山寨，哥还不如把一百多集《妻子的诱惑》重看一遍！            
(NA)	 很喜欢秋瓷炫里面的造型。            
(1星)	 我日什么烂玩意儿啊            
(2星)	 完全为整变形的脸而看            
(1星)	 就算不因为离婚事件，但看凌的演技也看出来了确实不咋地嘛~~马桶台太不要脸了，很么流星~~什么还猪~~到处山寨！！            
(2星)	 2010            
