http://movie.douban.com/subject/2148367/	恰同学少年
(3星)	 只怪他在湖南卫视放 还行还行            
(4星)	 红色革命偶像剧            
(5星)	 毛爷爷年轻时太帅了  喜欢这个故事。            
(4星)	 主流中，还算不错的            
(3星)	 =   =！！            
(5星)	 青春总是会过去的            
(4星)	 让我充满力量的            
(5星)	 有必要好好體會這部戲            
(5星)	 当年是为了声音去看的，每一个都是王子的声音。然而后来被这些人物感动了。少年的热血在这个时候跟国家的兴亡紧紧地联系在一起，那些用沸腾的生命换来的友情，那些用喷薄的才情换来的理想，那些我们羡慕不来的澎湃时代和潇洒过往。            
(5星)	 浑身是胆！！            
(4星)	 红色偶像剧            
(NA)	 很好看            
(5星)	 吕阿龙~             
(4星)	 励志故事很棒！            
(5星)	 “衡山西，岳麓东，城南讲学峙其中。人可铸，金可熔，丽泽绍高风。多才自昔夸熊封，男儿努力蔚为万夫雄！”             
(4星)	 励志片的翘楚            
(4星)	 红日初升，其道大光。河出伏流，一泻汪洋。            
(4星)	 湖南的又一力作，依然是颇具现实意义，群戏精彩，角色鲜明            
(5星)	 问苍茫大地，谁主沉浮？            
(5星)	 近几年看过的最经典的国产剧之一。            
(5星)	 第一次落泪，看这样的电视剧到最后人物历史介绍的时候，觉得自己很渺小。他们之间的感情，才是让人回味无穷的。            
(NA)	 去年看了一遍，前两天重温了一遍            
(5星)	 so nice~`            
(NA)	 不错。。            
(5星)	 这部片曾是我关于完美大学生活的全部想象，可惜。。。唉            
(3星)	 偶像剧            
(3星)	 记得可是有个朋友在里边什么角色嘿嘿            
(4星)	 你以为你是淑女革命者就一定会爱上你吗？诶。            
(1星)	 看到好多人崇拜恶魔，顿时感觉有钱了之后一定要移民，逃开这个充斥着无数傻逼的社会，饥荒中饿死的人们啊，收了那些给五星的！            
(3星)	 当年被这剧激得很热血，还特地买了书来看。            
(4星)	 对湖南台的标准而言不错了。偶像剧            
(4星)	 只要不把毛列主义带进去还算是好剧嘛。            
(4星)	 本朝太祖少年时。。。            
(5星)	 当年感动得不知道该怎么形容了，谷智鑫是真魅力啊，天生的军骨啊。            
(5星)	 国产剧前10之一！正能量。他告诉你，没有钱也可以上学，性格张扬依然有伯乐慧眼识珠，坏老师也能被打动，邪不能亦正，苦到头就是甜，青春永远无敌，小怪物永远好打，不谈恋爱却能让爱永恒。一个字，nice！            
(2星)	 主旋律偶像剧            
(5星)	 看得有点晚了...回国就买毛主席像章去！！            
(5星)	 憶往昔崢嶸歲月稠。初中時候老師推薦的，當時以為又是什麽洗腦片，可看過後體會到了青春年少的震撼力。润之也曾年輕過。            
(4星)	 很早前看的，不知道为什么现在很多人对于只要出现毛这个人的一切事物就会极力诋毁 抵触。跟他们相背者就称为五毛。平心而论，毛的青年时代的境界和所处的那种氛围，不应该让我们心向往之么？至于之后的事情，大可再去论。            
(4星)	 在我这种一集电视剧都看不下去的年纪还能把这部此题材的的电视剧基本看完，可见剧集本身还是很吸引人的。切入点很新颖，算是开了先河。当时特别喜欢钱枫的萧子升，没想到几年后他在天天成了谐星= =            
(4星)	 年轻的时候还是蛮好的            
(5星)	 以毛泽东等人为主角的校园青春偶像励志剧~~比其它校园青春偶像励志剧拍的好太多了呀！！也比成均馆绯闻要写实多了呀~~~            
(4星)	 這一部我個人認為還不錯......但是過於理想化了...            
(4星)	 怎么说，几年前看的时候感觉不错，但现在又觉得有点儿YY的痕迹= =            
(5星)	 高三的记忆            
(5星)	 红色偶像剧。清新，朝气勃勃，气象好。难得07年还能找到这么明朗的演员。虽然人物处理上有点理想化，不过又有什么关系呢。建议中小学老师和学生都看一看。            
(2星)	 想当年，强迫我们看还要写观后感。。。            
(5星)	 剧内的萧子升真是人如其名的有feel，剧外的钱枫就是俗不可耐。            
(5星)	 2010年又看了次，还是觉得不错。            
(NA)	 我会相信这就是青年的毛泽东            
(4星)	 后来才发觉，自己被意识形态了            
(4星)	 大陆目前最牛B的励志偶像剧。牛B的不是剧，是剧中的主角们。            
(2星)	 又一个思想觉悟超高的电视，假。            
(4星)	 里面有个人太坏了            
(5星)	 诶...居然没标记 = =            
(5星)	 很正面的电视剧。            
(NA)	 毛总攻X各种受            
(5星)	 这剧哪里雷了，如此激情洋溢，励志向上，好吧，刘俊卿是很雷，为了对比这个角色被塑造得无敌可恨可怜            
(5星)	 别说它太虚假或是太说教，作为年轻人，有的时候也要热血一些~励志一下~相信着在20世纪初，真的会有一群年轻人，他们闭上眼，就是中国的明天，并为此而奋斗一生~            
(NA)	 理想中的青春年少生活：与一群志同道合者，为理想，为信念拼搏。喜欢这种富有的生活方式.......            
(5星)	 喜欢里面的调调~~橘子洲头和喜雨亭都好漂亮~~一个动荡的时代，大学生被推向风口浪尖，却正可以义不容辞去触摸去引领时代的变革~~            
(4星)	 我好喜欢萧子升啊~~~            
(4星)	 最后一集毛泽东第一战，明白为何他是伟人了            
(NA)	          那样积极的灵魂，充满生命力，在无涯的荒野里找到绿洲般的欣喜，他乡重遇故知。            
(NA)	 傻逼电视剧，就是TMD一个拍马屁的东西，臭不要脸的            
(4星)	 今晚被铁血小丸子骗了，阴险狡诈的她整晚强迫我们看这部国产革命（偶像剧），润之哥竟然那么帅，从第一集到二十六集飞速地过，算是看完，反正我是不会特地去看。            
(3星)	 那时和我妈竟然追着看！            
(5星)	 突然想再看一遍             
(5星)	 与天奋斗，其乐无穷，与地奋斗，其乐无穷，与人奋斗，其乐无穷。            
(4星)	 这部偶像剧挺不错的            
(4星)	 萧子升甚佳。。。            
(4星)	 革命青春偶像励志片~            
(4星)	 有瑕疵，但不失为当前国产剧中的优秀之作            
(5星)	 我喜欢谷同学，很面善。。。            
(1星)	 垃圾中的垃圾！            
(4星)	 看得那个心潮澎湃呀！~            
(4星)	 令人意气风发的青春主旋律篇……尤其是《少年中国说》那一个场景很赞！:-D            
(5星)	 少年智则国智，少年富则国富，少年强则国强，少年独立则国独立，少年自由则国自由，少年进步则国进步，少年胜于欧洲则国胜于欧洲，少年雄于地球则国雄于地球。            
(5星)	 很诗意            
(5星)	 蔡和森            
(5星)	 太祖在学校里面已经预习过了日后所需要的所有知识，例如反抗权威（驱逐校长）和军事指挥（最后打仗那段，那些溃兵不过是太祖军事生涯的第一个祭品）            
(5星)	 光鲜亮丽            
(4星)	 青春偶像剧            
(NA)	 这个这个……很好很好            
(4星)	 2007年6月。毕业前的一个月。            
(3星)	 被逼无奈            
(3星)	 稍微看了点            
(5星)	 石三牙子~            
(5星)	 励志片没法过时            
(4星)	 看的我热血沸腾 励志的好片子            
(4星)	 衡山西，岳麓东……男儿努力蔚为万夫雄            
(NA)	 钱枫= =            
(3星)	 可以换成F4...            
(5星)	 当虚构故事看~很喜欢！萧子升啊啊啊~            
(4星)	 毛主席正长那样该多好            
(5星)	 徐亮同学的蔡和森            
(5星)	 这个真的是励志剧            
(4星)	 。。。            
(3星)	 看的时候没跟历史人物挂上钩 其实还是不错的            
(5星)	 他们的生活            
(5星)	 我的偶像            
(NA)	 励志极了            
(5星)	 爱死了~我想嫁给蔡和森。。，呼呼~            
(2星)	 我所见过的最拿腔拿调的革命            
(5星)	 结尾看得很过瘾            
(5星)	 激荡。蔓延。若我的青春时光，能有这样的老师，能有这样的同学，会是如何？            
(NA)	 很青春很励志            
(5星)	 喜欢这样的电视剧            
(4星)	 当年我老喜欢了            
(5星)	 看得我热血沸腾`````            
(NA)	 老婆说好看。            
(5星)	 好片~            
(5星)	 自信人生二百年，会当水击三千里!修学储能，先博后渊.非常棒的一部励志片，宜再看！            
(5星)	 主席和他华丽的后宫4星，配音加1星            
(5星)	 上大学以来，唯一一部从头看到尾的电视剧，真的很精彩。            
(5星)	 大学情怀~~~赞~~~超级喜欢            
(5星)	 很喜欢的 很喜欢            
(5星)	 喜欢萧子升            
(4星)	 长沙啊 主席啊            
(5星)	 拍摄考究精致，中国电视剧不都是粗制滥造            
(5星)	 美            
(4星)	 恰同学少年，风华正茂；书生意气，挥斥方遒。            
(4星)	 思咏真是气质御姐，可惜润之哥是萝莉控            
(5星)	 不一样的角度。            
(NA)	 恰同学少年            
(5星)	 意气风发的好片            
(5星)	 问苍茫大地，谁主沉浮~~~            
(5星)	 此乃我中国少年，巍巍乎！高山仰止。            
(4星)	 看了很想努力学习            
(NA)	 这才是中国偶像剧！            
(5星)	 飞扬的青春，不灭的志向。            
(NA)	 励志片啊，好朋友推荐我必看的～～～            
(4星)	 很好看.很单纯的.            
(NA)	 一天半看完。            
(3星)	 偶然在看，感觉不错的一部大陆电视剧            
(NA)	 暂时电视            
(5星)	 又让我想到了理想中的大学            
(5星)	 青春            
(5星)	 这可是使我思考了很多的片子            
(3星)	 还好            
(4星)	 看了两集觉得相当不错            
(5星)	 那时代的年轻人的状态真好            
(5星)	 非常非常喜欢，虽然看的断断续续            
(4星)	 去年暑假看            
(5星)	 激昂的青春            
(5星)	 好多年来最让我激动的一部电视剧            
(5星)	 激昂、向上、历史感和责任意识            
(NA)	 非常推荐的电视剧！            
(4星)	 了解伟人另一面演员们演的还是挺不错的            
(NA)	 这套电视剧不错            
(5星)	 是表现青少年毛泽东最出色的一部作品，不俗，激动人心~美哉，我中国少年，与天不老；壮哉，我少年中国，与国无疆~~~~            
(NA)	 我喜欢蔡和森            
(5星)	 敬爱的毛主席            
(5星)	 很能感染人的一部片子，看完了不禁感叹：瞧人家那青春燃烧得~ 还有就是，谷智鑫好帅呀！            
(NA)	 那些个有志少年。            
(5星)	 当代的老师能有片中十分之一的态度与责任，何愁中华不复兴            
(NA)	 没想到我也会看这样的片子吧，生活所迫啊            
(5星)	 太喜欢了~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(5星)	 向毛主席致敬            
(5星)	 很有激情            
(5星)	 日角龙颜霸气显  三湘四水尽欢颜            
(4星)	None
(4星)	 那时的钱枫真叫人眼前一亮啊啊啊啊            
(1星)	 毛片。            
(3星)	 羡慕向警予和蔡和森的革命爱情            
(4星)	 主席帅爆了好吗            
(3星)	 不喜欢这种戏说            
(5星)	 当教师的做成这样真是当到家了。            
(3星)	 忆往昔峥嵘岁月稠。            
(4星)	 突然看到了。以前停课看的。还是蛮像偶像剧的。哈哈哈            
(3星)	 我怎么看着那个谷智鑫总觉得他跟李民浩长得像呢。。。            
(5星)	 第二天考试，前一天晚上还偷摸看它大结局。。。            
(4星)	 大一，第一个励志剧，甚至第一个完整电视剧，一个追梦的开始。            
(2星)	 看这部剧的时候以为是毛泽东最真的历史。现在看来，错了。            
(5星)	 我喜欢向警予~~~            
(3星)	 芒果台造的标签 路过剧中一师范            
(5星)	 高三时看的，很喜欢~拍的很特别            
(5星)	 时代不同了，我们的使命又是什么？这是我从高中开始就经常思考的问题，可惜到现在也没有结论。说不定等到我们的下一代都来到这个世界上的时候，我还没想明白。什么样的时代需要英雄？什么样的社会需要变革？最终的大同是共产主义还是什么？还是说，到不了那个文明程度人类就已灭亡？            
(3星)	 统计一下看过的电视剧。            
(NA)	 毛泽东活了 拍这种体裁的尝试值得鼓励 拍的也不错。            
(3星)	 伟人们的青春偶像片~钱枫演的萧子升真帅~            
(4星)	 就只是马克一下            
(4星)	 我挺喜欢看的诶。。            
(4星)	 某人之前强烈推荐的            
(4星)	 挺励志的，而且没有传统的说教，不错。            
(3星)	None
(4星)	 真是谁都有过年轻的时候啊            
(5星)	 虽然人物的相似度不是很足，但是故事足够吸引人            
(4星)	 让我亢奋了好久 结果天天向上看到钱疯我就疯了。。。。而且还有人拍起了还珠格格            
(4星)	 不错啊            
(5星)	 这哪里是红色剧！！！这就是偶像剧啊！！！！！！！！！！！！！虽然很假==但真的很向往那种生活！！！            
(4星)	 很不错            
(1星)	 高级黑            
(NA)	 毛领袖年少时！最大的感触是，曾经的中国大地上，青年的热血与好学，有点羡慕嫉妒恨。和平时代，是幸也是不幸！            
(5星)	 积极向上，理想，革命，信仰，青春            
(5星)	 寻找生活的意义和激情            
(4星)	 What I learned from this play is that the diligent of Mao Zedong, he is really a hard-working person. Every time when I saw him reading books in the midnight in this play, I found myself so lazy to absorb knowledge.            
(5星)	 借伟人的故事讲中国的教育问题            
(4星)	 没法偏爱这类题材。但是确实还不错。            
(5星)	 励志，喜欢，强推            
(4星)	 很适合青少年观看~            
(5星)	 还是不错的，男主有点范儿~            
(4星)	 有些故事的结局一开始就写下了            
(5星)	 矮油，这可不能忘呢            
(5星)	 我爸戏说，如果还有湖南一师一定送我那里去读书。            
(5星)	 萧子升~            
(5星)	 熱血沸騰的一代~~~ 音樂很好聽！~            
(5星)	 恰同学少年 风华正茂            
(2星)	 意气风发少年时..            
(4星)	 以伟人为背景的言情剧而已。。。            
(4星)	 演毛泽东的演员眼睛很亮，我现在都记得            
(NA)	 23集  2007            
(3星)	 钱枫挺好看的哈。。。。。。            
(5星)	 意气风发，激扬文字            
(5星)	 毛泽东蔡和森这两兄弟，向警予蔡和森这一对，真的是惊天地泣鬼神了~~            
(NA)	 尼玛看得我想去考一师范了！！！            
(4星)	 校园……青春……偶像剧……            
(5星)	 真心励志又美好啊~应了那首诗，恰同学少年，风华正茂。基本没有神马说教痕迹，能直接打动人心。            
(5星)	 不管怎么说，至少，电视剧中塑造的这个形象是完美的。每一次，激动一次，永远的励志。            
(NA)	 可惜演的是毛泽东            
(5星)	 太热血了！！！            
(3星)	 一般，对人物心里表现缺乏，只是个理想化学生的故事            
(5星)	 问苍茫大地，谁主沉浮            
(4星)	 看这个的时候觉得毛润之好帅。。。。            
(4星)	 最后一集很给力  握手那一段            
(4星)	 反正看完了            
(5星)	 毛爷爷的在我心中终于不再是指点天下的形象了~            
(4星)	 恰同学少年，风华正茂，书生意气，挥斥方遒。            
(4星)	 看过两三遍，真心不错，谷智鑫演的也很好            
(5星)	 很励志！            
(3星)	 讲毛泽东，与母亲同看            
(5星)	 最喜欢这部电视剧了！！！每次有电视台放都要看~~            
(3星)	 我把它当励志电视剧了。千万别当真，然后以为你在学校就可以这么干了            
(4星)	 大二看的 好剧            
(5星)	 红色偶像剧啊            
(5星)	 高三看滴 是唯一一部我妈妈允许我看的电视。。嘻嘻            
(5星)	 记得是没有完整看完。但是很好看。关于历史。也很励志。因为这部剧爱上很多年轻人。毛泽东，钱佳慧，萧子升，等等等等。很值得看的一部剧。            
(5星)	 高考那几天晚上还在追……            
(5星)	 真正的学生。            
(4星)	 不错——看了下面的评论我震惊了……建议大家也去看看            
(5星)	 问苍茫大地，谁主沉浮！            
(5星)	None
(5星)	 这种题材拍成这样 不错了            
(5星)	 名和利，莫问候，书并剑，到心头。               
(5星)	 上高中时好多台播这部片子，没怎么看过。国庆在湖南玩的那几天，参观了橘子洲、湖南一师、毛泽东故居，立刻萌发了看这部片子的想法。每天一集。今天看完了。毛泽东，果然是一代伟人！带给我的是思考。我们青年人尤其是青年学生必须有一腔热血，树立远大理想，不断充实自己~            
(2星)	 不喜欢演毛某人的电视剧 。。            
(5星)	 超级好看！            
(5星)	 激励人心，受益良多！毛泽东的成就不仅来自于个人的奋斗和个性，也来自于千千万万和他一样具有强烈爱国之心，救国之切并且信仰坚定的中国青年。            
(4星)	 青春励志剧还不错。            
(5星)	 适合推荐给中学生及大学新生看。。。绝对鼓舞士气。。。            
(4星)	 不雷 不错            
(NA)	 恰同学少年，风华正茂；书生意气，挥斥方遒。            
(4星)	 激励过一段时间，虽然并非完全真实，但那个时代的有个性的青年依然是我曾所向往的。            
(4星)	 我是把这当成是一部偶像剧来看的            
(5星)	 看完这电视剧，你会明白为什么共产党会夺得这个天下。2012年1月11日第三次看完            
(5星)	 励志！哲理            
(4星)	 很喜欢，就像阳光和空气清新剂……            
(3星)	 一般吧，我觉得演员的演技还不够，但是青春的张扬表现得很到位。            
(3星)	 貌似就看过第一集            
(5星)	 恰同学少年，意气风发~            
(5星)	 红日初升，其道大光；河出伏流，一泻汪洋；潜龙腾渊，鳞爪飞扬；乳虎啸谷，百兽震惶；鹰隼试翼，风尘翕张；奇花初胎，矞矞皇皇；干将发硎，有作其芒；天戴其苍，地履其黄；纵有千古，横有八荒，前途似海，来日方长。美哉,我少年中国，与天不老；壮哉,我中国少年，与国无疆！            
(5星)	 初中时的美好回忆，哈哈哈哈哈哈哈哈。真的不错！越看越好看！            
(4星)	 剧集不错，可惜没看完。我总是看不完电视剧。            
(4星)	 好喜欢谷智鑫啊！！！！！！            
(5星)	 当年看的我眉飞色舞意气风发            
(5星)	 善恶消长，是非刚柔，兴衰成败，皆能略窥一隅，幕幕命运感。            
(5星)	 毛泽东里拍得最好的            
(4星)	 少年强则中国强            
(3星)	 喜欢萧子升，后来一查到他是无政府主义者更喜欢了            
(5星)	 非常励志，先看书再看的电视，演员选得好，剧情吸引人            
(5星)	 拍得挺不错的~            
(5星)	 励志剧中的巅峰之作            
(4星)	 哎哟。初一的时候看的。喜欢上了毛爷爷。杨开慧长的好像小花……            
(NA)	 看得热血沸腾，那个年代的激情，那个年代的青春年少。            
(5星)	 很爱这部片，看了好几遍。            
(5星)	 喜欢            
(3星)	 不怎么好看            
(5星)	 还记得当初是在凌晨时看的，每天都是偷偷摸摸的看呢。            
(5星)	 归入传记历史片有点奇怪吧。。。            
(3星)	 其实没有特别大的抱怨 剧情也不错 就是男主角不好看            
(NA)	 难怪人家能成为开国领袖，大浪淘沙，终显本色！            
(5星)	 绝对励志！不过当然，戏终归是戏，不要对号入座。戏是真的，人是不是不重要~            
(1星)	None
(5星)	 我唯一一部看的且看完的红色剧            
(5星)	 曾经的大爱，还买了本书来看= =            
(5星)	 少年之中国，中国之少年。            
(4星)	 青春红色剧的开端。            
(4星)	 最记得少年中国说。            
(5星)	 青春一晃而过，热血梦萦多回。            
(3星)	 看完有种XX的感觉。。。            
(4星)	 那一段时间我们语文老师每一节课都要给我们将大概剧情啊！            
(5星)	 我们家1、2、3（请参照入学排名）你们太帅了，怎么就那么帅呢。里面女孩子的打扮儿也好看，同时喜爱那个生病死得冤的清秀小同学加之小王子，刘俊卿之流的忽略...            
(4星)	 不一样的红色电视剧。            
(NA)	 当年那个不错的男二or男三，现在成了熊吉肖剑。无语哽咽            
(4星)	 毛爷爷年轻的时光也是一部偶像剧啊            
(5星)	 绝对五颗星！！高二时候的最爱！！！陶斯咏真是个好姑娘！！            
(5星)	 高三的记忆，确实好看，没有那股酸腐味            
(5星)	 蔡和森啊~~            
(5星)	 非常好! 人物形象个个活灵活现. 除了毛润之外, 蔡和森,向警予更是让人喜欢呢.            
(4星)	 当年看的热血澎湃啊！            
(5星)	 还特地去买了剧本书！妈妈表示很喜欢            
(5星)	 举得像原版再现            
(5星)	 少年中国说。            
(4星)	 抛开历史和其红色意义，此为一部偶像剧            
(NA)	 拍的不要太好看哦……乱热血的……            
(5星)	 今天终于看完了，心里的触动还是蛮大的。            
(5星)	 不得不承认我喜欢他们那个年代的人---大家那么理直气壮的在谈论理想，谈论崇高，谈论奉献。难道是因为那个年代贫穷的没有物质可以让他们追求，所以只能进行精神追求？如果是这样，那他们生活在了最好的时代。人总还是需要追求点什么吧？我们这代人又都在追求什么呢？            
(5星)	 一部挺对我胃口的历史青春剧，喜欢的原因在不像一般讲毛泽东的电视剧那样无聊            
(5星)	None
(4星)	 很喜欢的电视剧，从头看到尾的，很有味道            
(5星)	 红色经典            
(NA)	 真励志            
(5星)	 照顾到现实状况嘛，历史不好考证。那个气氛还是感染了我。            
(4星)	 6年级看的了，当时挺打动我的。            
(5星)	 真是非常好看，六年级的暑假。            
(5星)	 问苍茫大地，谁主沉浮            
(4星)	 原以为自己会特不能接受非特型演员扮演伟人，看了这部片才觉得，演得好不需要长得像~清早朗诵少年中国论那段，还是小小的励志了一把~            
(NA)	 当年看的我激情澎湃啊，一度觉得毛主席很帅……果然是青春偶像剧啊            
(5星)	 很好，很励志，很青春，很热血            
(2星)	 那个年代，那样单纯的理想。            
(5星)	 俊玮说毛泽东现实生活中真的就是这个样子，相信电视中描述的情况，自己比他差远了。--相信。让我觉得：毛泽东的成功真是活该战争开始之前胜负已定~~~~~~~~~~~~~~~陶斯咏，我爱你！！！            
(4星)	 很励志的电视剧，曾经还为了这部电视剧背下了那段少年智则国智那节篇章。太有激情了。            
(3星)	None
(5星)	 高三的时候 每集必看吖 下了晚自习快快骑车回家就为了看它            
(5星)	 都大三结束了，看得我是心潮澎湃，那个年代的青年真是激进有思想，英气勃发，朝气蓬勃这四个字形容最好不过了！            
(5星)	 主席的精神震撼，很值得我们这些还在读书的人学习。这部片，真的很激励人。看完心中很有股干劲，现在的中国也存在着很多问题。贪官污吏，很多行业的潜规则，……中国的今日之责任也还是在我少年。各位努力吧，希望我们这一代能改善下这不公平的现状。            
(NA)	 11月9日10日看的            
(3星)	 chairman年轻时的那些事儿            
(4星)	 高考结束后看的   = = 当时是很澎湃的想去奋斗   虽然现在也是但方向不同了             
(NA)	 问苍茫大地，谁与沉浮            
(5星)	 平凡到不凡到卓越到伟大！            
(5星)	 偶像剧就得这么拍，偶像就该这个样儿，喜欢蔡和森、向警予，还有萧子升。。。王子鹏也很不错。。。            
(5星)	 我喜欢。            
(4星)	 钱枫那个大头，当年是个多么干净，眼神清澈的大男孩啊~~~~~现在是残了。。。            
(5星)	 很好看！！            
(5星)	 不知道为什么看了一遍又一遍又一遍            
(NA)	 杨昌济真是好老师，他的目标就是想培养出一棵参天大树            
(4星)	 偶像剧，的确欢乐            
(5星)	 红色经典 教育经典             
(5星)	 当年很爱啊 还买了书。。。            
(5星)	 真正看下去的话，会对现在的生活有进一步的反思，并陷入一种格外积极的想要努力想要做一翻大事的状态中去。            
(5星)	 跟第一次看的感觉完全不同            
(5星)	 还专门看了那本砖头一样的书            
(5星)	 励志剧拍得如此清新多么难得            
(NA)	 我好喜欢那时候的自己            
(2星)	 很傻很天真的感觉........把太祖塑造成神了......            
(5星)	 谁没有年轻过            
(5星)	 激动人心！！！            
(5星)	 真心喜欢向蔡同盟啊。哎！            
(4星)	 天穹高高鸿雁飞            
(4星)	 当时我还一直以太祖为偶像来着            
(4星)	 还不错的电视剧！我们也是一样的风华正茂，怎么能失败？？？？？？            
(5星)	 风华正茂书生意气，办什么样的教育，该如何办？做什么样的学生，该怎么学？看完此片，你会有感触的            
(5星)	 意气风发少年时 这部电视剧很励志             
(5星)	 非常喜欢，少年当如是。            
(5星)	 极品！！！！！！！！！！！！            
(5星)	 大爱大爱大爱呀！！！！！！            
(NA)	 风华正茂 书生意气 挥斥方遒            
(4星)	 开创了伟人剧往偶像剧发展的先河。挺萌的。但后人总能把这种稍微好一些的趋势发展得变味。            
(5星)	 那是的学校真好，主席也很烈害            
(5星)	 热血满满啊，当郁闷时可以看看，那样的才是年轻人            
(4星)	 昨天天天向上做到这期，我才突然想起，我第一部完完整整看完的中国的电视剧啊……            
(5星)	 在鲜红遍野的时代，想起这部剧，恰同学少年，叹江山多娇。            
(4星)	 真喜欢这个毛润之，什么叫书生意气，什么叫英姿勃发，这就是。            
(5星)	 咱们学校拍的 怎么说环境 就得打个最高分            
(4星)	 讲一师范的 我必须推荐啊 哈哈 不过在红色青春剧中 这个确实还算可以的~            
(5星)	 那一年我十七岁，他们也十七岁，激情和梦想的年纪。            
(4星)	 和爸妈一起看的片儿。润之哥哥年轻时候和很给力。            
(5星)	 问苍茫大地，谁主沉浮？            
(2星)	 呵呵 呵呵 呵呵 呵呵 呵呵呵 呵呵呵呵            
(4星)	 爸爸要我看的。。。            
(NA)	 还挺好看的            
(NA)	 高中看了这部剧因此萌发从政的念头，以人大作为高考目标，落榜，后也渐渐忘记            
(5星)	 每次看都热血沸腾的东东            
(NA)	 这是陪奶奶看的最后一部电视剧了。            
(5星)	 不管与历史相差多少，至少，它曾经，并且将永远，激励我前进！            
(4星)	 太祖是怎样炼成的。。。但就片子来讲，还是挺值得看看的            
(5星)	 书写的毛泽东年轻时的故事，很激励人心，青春是首博弈的诗，不要害怕失败，没人一开始就会遇见自己会成功，只要你不要轻言放弃，也可以像毛爷爷一样受人爱戴！            
(3星)	 把近代史拍这样挺好玩的            
(NA)	 大三还大四，嘉定....            
(4星)	  这个比较深刻。            
(4星)	 随着此类题材影片的日益增多，我才发现这部是多么的好看！！！！            
(5星)	 无限向往这种氛围和身边的人！            
(4星)	 喜欢    这是一段历史的过往            
(NA)	 其实吧，谷智鑫很牛逼的，为啥不红呢            
(3星)	 我实在喜欢萧子升，然后就在湖南卫视看到癫癫的钱峰。。。            
(5星)	 不敢做梦的人就没有圆梦的机会！其实毛泽东的少年可以说是狂妄，自大，不知天高地厚！这只是以我们现在的眼观来看待，但是他朝着他的梦想去了！            
(5星)	 浪漫主义作品。            
(4星)	 谷同学是难得靠演技吃饭的年轻人，另一部我是特种兵里，表现也很不俗。            
(5星)	 数风流人物，还看今朝~            
(1星)	 腦殘片             
(3星)	 感受感受            
(4星)	 哈哈~ 高一暑假补课语文老师愣是花一整个暑假让我们看完的。最感动的是毛爷爷和萧子升去远行的那段。太向往那个年代的年轻人了！            
(4星)	 挺好的一部电视剧            
(5星)	 红色励志还偶像            
