http://movie.douban.com/subject/3198015/	绯闻女孩  第二季 Gossip Girl Season 2
(3星)	 最后几集的群戏还不差~            
(3星)	 就不想往下追了            
(4星)	 B &amp; C~~~            
(4星)	 愈来愈喜欢布莱尔了，好可爱。            
(1星)	 看一集恶心半天            
(3星)	 心系恰克与布莱尔。最感动恰克的那句：I love you too            
(3星)	 Serena和Dan太烦人了，倒是Blair和Chuck的感情线比较有看头            
(4星)	 第二十四集太感人了TAT            
(4星)	 C。            
(3星)	 乱又无营养            
(4星)	 jenny的戏终于多了。。。唯一萌AARON却只是打酱油            
(2星)	 高中流行。            
(5星)	 为了结局            
(3星)	 我一直觉得s2，s的这个海豹太漂亮了~            
(3星)	 B和C是最配的~            
(5星)	 混乱的家庭关系最后也能温暖人心            
(2星)	 很能瞎编，除了dan和小j是兄妹，dan和blair实在三观不同，其他的都互相睡过，那回头草，窝边草就那么好吃啊            
(NA)	 CB王道，其他自动忽略              
(4星)	 开始滥交和初变态            
(4星)	 Let the past be the past.            
(4星)	 没看skins之前我应该会给五星~            
(3星)	 看了一点，没啥感觉。看得人大概是来看衣服的吧，剧情也就是写给高中生的。            
(2星)	 awful。。。好乱。。。            
(1星)	 没懂            
(NA)	 Bass-hole,恰屁眼。这是这季听到的最好笑的台词了            
(NA)	 看到S2我突然觉得Nate其实长得也不是很帅……完全是发型加分            
(1星)	 随便上床，同学老师之间的淫乱事件            
(4星)	 越来越不好看。。            
(4星)	 我喜欢的片子             
(2星)	 我真的受不了了！我是为了培养英语口感看的……真是个错误的选择！！！S2乱到一个境界了(-┏)……旧情复燃？！没有什么不可能啊！！能给我留下印象的镜头不多耶……            
(4星)	 这一季的C还是那个C，N还是那个N。好吧，无论他们如何排列组合，只要NSBC的友情不变，也就好了。            
(4星)	 还是纠结。            
(3星)	 第二季一开始就无语了，换妻俱乐部麽。无法想象这是一群高中生。没第一季看着起劲，只反复出现两个词----荒唐，淫乱。最后gossip girl总结的每个人很准确。不过还是喜欢S，永远的Queen。C也大爱，想不到如此痴情，那迷离的眼神简直迷死人了。            
(3星)	 纯粹看服装和华丽的场所，剧情忽略~ ps.还是喜欢Blair的性格~            
(5星)	 尽管他们把身边儿能搞的全都变着法儿交叉着搞上床了，我还是得大呼一声chuck你真他妈的性感            
(5星)	 所有的剧情演技效果都不重要，只要看里面华丽的衣服就已经心满意足了！            
(4星)	 惊讶于他们的成熟。。。高中果然是美好又多事儿的年代            
(4星)	 1.这一季也太高潮迭起了吧 看的我好累 2.这一季D表现的太糟糕了 尤其是和女教师那一段 3.大爱S和B             
(4星)	 S骨子里是善良包容的，所以虽然是queen S，还是会觉得剧中的她一直在被欺负（很期待仔细看看过去的serena）。而B ，绝对是能用睚眦必报形容的报复主义者，陷入冤冤相报的怪圈里是必然。            
(3星)	 这封面不对吧，怎么流传这么广这是玩尽杀绝的封面一3级片，我看过，特没劲            
(4星)	 XOXO            
(4星)	 性感            
(3星)	 HAPPY ENDING啊，还有戏么？            
(NA)	 期待第三季丫~~~            
(NA)	 dear Queen B , u r so cute smart independence . and i dont like S .            
(3星)	 ==            
(NA)	 我竟然看完了 快进的也算            
(4星)	 服装比剧情好。            
(NA)	 chuck那声音 那眼神            
(3星)	 脑残了几个月的编剧在最后一集恢复正常了。。。            
(4星)	 B&amp;C片子里唯一感人的爱情            
(NA)	 狗血剧情。。            
(3星)	 这季也太乱了，把我喜欢的NATE变成了一个滥交的大SB...            
(4星)	 终于看完了！            
(3星)	 nate，你不能仗着自己长得好就把有名字的女主们统统爱一遍吧…还转一圈回去了？！            
(3星)	 Dorota成为最可爱的人.            
(3星)	 复杂的男女关系 囧            
(3星)	 Chuck让人着迷。一只偶尔忧郁的魔鬼。            
(3星)	 在这季里LILY最值得学习，关系又进一步复杂，用来练听力。最后听到C说ILOVEYOU真不容易。            
(5星)	 BC在一起了哈哈`` 希望第三季不要再纠结了            
(3星)	 为颠覆而颠覆的复杂百搭关系...            
(3星)	 you know you love me ,xoxo很娱乐            
(3星)	 完全混乱了后来。。。不过还是挺美的            
(4星)	 捱过了中间乱七八糟的剧情,最后几集还是可以看,何况Lily还是那么美。            
(3星)	 受不了了 编剧脑残            
(4星)	 无聊的剧情 但却一直吸引我            
(3星)	 22            
(3星)	 09.05.27.24集居然么看到了口红森林里的JOE~老爸太有范了。还有Stephanie~真是奇妙，这一季断断续续终于折腾完了            
(NA)	 跨度好大...隔了好久，终于看完了第二季后面几集            
(5星)	 太悬了，关系超级复杂，绝对无法想象！勾心斗角，女人最爱！快出第3季！！            
(4星)	 终于结局了            
(3星)	 看第一季的时候貌似还么那么红。纳闷为什么突然那么多人捧drpped            
(NA)	 愛得坦蕩蕩  其實老早就看完            
(4星)	 比起第一季的肤浅，第二季似乎触及更深的感情            
(3星)	 弃了，不追了。所有女的都跟Nate搞过了，没戏了            
(5星)	 整体六颗星，复杂纠结的很过瘾。只是最后2集太糟糕了。            
(5星)	 That&#39;s what it is.            
(4星)	 第三季不想看了            
(3星)	 看完第二季第18集            
(4星)	 越来越喜欢jenny            
(3星)	 越来越不靠谱            
(3星)	 BC终于在一起了........            
(4星)	 说不看还是看~哎~好吧~虐虐地B终于和C一齐啦~            
(4星)	 因为CB在一起给四星            
(3星)	 因为Chuck Bass,给五星            
(4星)	 鄙视我吧我还是喜欢看这个            
(4星)	 继续好看            
(5星)	 it&#39;s way to awsome!!!I like it sooooo much            
(3星)	 其实我早就跟不下去了。。。            
(3星)	 前半段差得差点弃剧 编剧都去吃屎了吧~后几集还行            
(3星)	 兜兜轉轉,你終于都可以結局了            
(NA)	 恋爱关系混乱的不行            
(4星)	 25 完结            
(3星)	 第二季几乎又重新看了一次，都记不清当初追到第几集了……另外，此剧，吸引我的地方除了美语和衣服，基本上就是几个主角在乱搞……唉，希望美编们再努力些，第三季不要太多的爱情剧了，就算有，也让他们爱的时间长些吧……哦，对了，此剧也让我对侧滑的手机大爱~            
(4星)	 CHUCK BASSSSS！哈哈哈哈=_=||            
(5星)	 陪我走过整个高三，一起毕业了T^T不管中间多么狗血,结局总是完满动人的            
(3星)	 音乐没有上季好听,服装更f了,故事还是那么弱            
(4星)	 因為B&amp;C終於扭回到一塊叻，所以我給4星。要不然就是一大坨屎！            
(2星)	 第二季烂的不行。。趁早歇息吧。。            
(4星)	 conspiracy...            
(3星)	 看不下去了耶。后面全是跳過去的。            
(4星)	 一如既往的狗血            
(5星)	 最后C终于对B说出了I love you! 继续期待第三季。            
(NA)	 好腻            
(3星)	 不跟了。。。。。            
(4星)	 最后两集很好看~            
(5星)	 超爱di~~~o my！            
(NA)	 从第一季第一集开始追哒。            
(4星)	 第一部追的美剧终于结束了 这种剧还是攒着一起看比较过瘾~~            
(3星)	 没看完 实在不想看了 第二部追了很久终究放弃的片子            
(3星)	 拍到了第二季，都高中毕业了，怎么还不结束，关键是第二季的后半部分很烂            
(NA)	 弃了。            
(5星)	 喜欢BC哇            
(4星)	 四星只因B&amp;C            
(2星)	 06 扔            
(2星)	 无聊透顶了，所以看            
(4星)	 Great ending！            
(4星)	 情侣关系实在搞..不过男的女的都继续好看到不行..！            
(4星)	 爱情来得快去得也快，只有朋友是永远的。竟然是圆满大结局！？第一次从头追到尾的美剧，告别这一季仿佛告别的我青春。挥别高中时代，日子还是继续，八卦依然不止。            
(4星)	 结局很不错的说~            
(5星)	 最爱Gossip Girl！            
(4星)	 甜甜蜜蜜B&amp;C~good.            
(4星)	 期待season 3。            
(3星)	 如果第三季没有Nate。。那我要考虑考虑是否继续看。。            
(2星)	 welcome to the sex zoo！            
(3星)	 感情还是要好好经营。受不了他们的作风。            
(2星)	 第二季弃=。=            
(2星)	 看看Chuck 看完完了            
(3星)	 配乐好            
(3星)	 這是在用排列組合來計算人際關係            
(4星)	 好纠结的爱情，一个问题就可以分手，又可以莫名其妙的和好            
(NA)	 更乱            
(NA)	 真心疯了            
(4星)	 - 开始狗血了            
(4星)	 这剧当然不只看情感。没什么乱不乱的，我觉得主线情感倒比我想象的更清晰合理。只要主干稳，当然枝繁叶茂才好看嘛！            
(4星)	 20天阅毕!            
(3星)	 吸引我把这个看下去的竟然是坏坏的chuck bass……主要目的只是一直在等他跟blair说出那3 words,8 letters~其它的剧情可以忽略了。。。            
(4星)	 忘了什么时候放弃帅帅的N喜欢C了他的声音越来越迷人啦。i am chuck bass!            
(5星)	 For C &amp; B            
(NA)	 究竟是多么无聊的寒假，我把这个也看完了            
(5星)	 结局太好了！Chuck is so sweet！            
(3星)	 越来越扯。            
(3星)	 呃。。。。。。。。。有点想踹编剧。            
(4星)	 各种混乱，B和C居然是最靠谱的一对            
(1星)	 欣赏无能的烂片            
(4星)	 道德底线什么的都是浮云。想就此打住不看了呢差克都说爱了我还求什么呢。比1强吧有没有            
(5星)	 看完它没花多久，只是看了看豆瓣的记录发现看第一季已经是大一时候的事情了。            
(4星)	 因为第24集，尤其是prom theme那段，加两颗星~             
(4星)	 所有人的BF/GF换过一轮，唯有B&amp;C的纠结永恒。B的俏丽，C的漫不经心，衣香鬓影，纸醉金迷，还有越来越有型的小jenny，为了这些，继续追下去……            
(NA)	 里面每个人都搞过的剧            
(NA)	 没看完 恶心的妈妈抱着恶心在哭 因为恶心死了            
(5星)	 没什么原因就是喜欢，喜欢的不得了。            
(4星)	 我知道滥俗可就是喜欢看..            
(3星)	 第二季，滥交开始了……            
(4星)	 下了血本儿的一季啊，衣服太好看了，感情戏也确实更有说服力了。挺不错的，比第一季强很多            
(3星)	 看完第一季的时候看第二季第一集觉得不想看下去，然后等到过了几个月，现在再看又忘了前面的剧情，只是依旧喜欢C类型的男子。S显得更老了。当看完以后发现其实第二季我是全部看过了的。            
(3星)	 还有想看下去的欲望            
(4星)	 后半段比较有悬念一点            
(4星)	 http://tv.sohu.com/20100305/n270614968.shtml            
(4星)	 这一季的不好看啊。            
(4星)	 第二季结局太美气了，本身第二季让我大所失望的，因为剧情太乱来了，没想到结局可以让我这么开心呀！Chuck你敢不敢不那么迷人。。！            
(3星)	 还是没有坚持下去...            
(3星)	 时尚            
(3星)	 第二季相比第一季来说，水平有所下降。但是~~哎。没办法。还是很喜欢看啊。继续追吧。最喜欢b&amp;c。希望他们能走下去。            
(3星)	 忒滥情了吧！GG你还能再继续滥下去吗？！            
(3星)	 这个海报~            
(3星)	 情感纠结程度和他妈的韩剧差不多。不过有意思多了            
(3星)	 Dan 跟S的分分合合我好腻啊怎么D第一季里给的都是假象咩?我现在倒越来越爱Chunk了啊,虽然他好做作            
(2星)	 这一季开始群P了            
(5星)	 chuck chuck chuck!            
(4星)	 blair和chuck真是越来越有爱了！            
(NA)	 基本上群交片            
(4星)	 青春靓丽 乱七八糟 依旧喜欢。            
(3星)	 我日太纠结了!我受不了了!            
(NA)	 般般            
(3星)	 真不现实，不过还是迫不及待的看完了            
(3星)	 ╮(╯_╰)╭            
(2星)	 追到一半的时候弃了            
(4星)	 最后的B&amp;C太美了            
(4星)	 nasty, indeed.            
(3星)	 乱套～             
(NA)	 越来越没意思            
(3星)	 这个练听力想到好            
(NA)	 继续排列组合。            
(3星)	 插入歌相当不错.这季开始喜欢Chuck...            
(NA)	 哪能阿么有和老倪一起看噶high了            
(5星)	 各种养眼.            
(NA)	 换来换去。不要看            
(3星)	 dan是个贱人            
(NA)	 真他妈无聊            
(3星)	 糜烂，继续糜烂。。。            
(5星)	 25集的反转剧。转来转去转成麻花了。            
(5星)	 Chuck Bass 永远的C&amp;B            
(4星)	 chunk 在第二季里 真迷人~~~            
(NA)	 有点乱 但是爱看S和C 张力关系            
(NA)	 twisted plot...            
(3星)	 一堆美国中学生，没事儿闲着，还是CHUCK BASS最吸引啊            
(3星)	 这一季喜欢blair和chuck这对了。到后面越来越乏味。倒是想着现实中的四对情侣，除了SD，和剧里完全不同，有些趣味。            
(5星)	 最近很爱            
(3星)	 继续BC            
(3星)	 奢靡+sex+尔虞我诈，现实生活经历的还不够多吗？！何必在休息放松的时候还找来这样的片子看。单词简单，语速不快，练听力不错，学习日常对话不错。但不是我喜欢的类型，看了3集之后得出的结论，暂时不打算继续看了            
(NA)	 简直是乱七八糟，说来说去还是一群人在乱搞。乏味。            
(NA)	 这一季彻底渣化。弃之。            
(4星)	 C&amp;B,看到你们在一起就流泪了            
(NA)	 太他妈狗血了这……想象力惊人！！！            
(4星)	 我都三季混着看的囧            
(2星)	 不知道是花了一晚上把最后几集看了够悲剧还是我本身就是一个冷笑话。。。不过还真是我看过最差劲的美剧了            
(2星)	 终于高中毕业了            
(4星)	 chuck!chuck!chuck!被女人套住的chuck不行了，所以第三季……垃圾！（结果你忍完前两季都是因为chuck吗）            
(4星)	 最后几集才比较好看..我终于看完了...            
(4星)	 爱c~~~！            
(4星)	 I love u too.It&#39;s the point.            
(2星)	 青春片还是要给青春期的小孩儿看            
(NA)	 停在13。。。。弃了            
(4星)	 真正的王子和公主最后要幸福地生活在一起。            
(NA)	 chuck~~~我爱你~~~            
(NA)	 喜欢Ｃ和Ｂ在一起的戏，他俩好配，一定要在一起啊～～            
(NA)	 有剧情的时尚杂志            
(3星)	 中断了好久才看完。到后来其实就为了看C和B到一起了            
(4星)	 剧情起伏太快,不现实.            
(3星)	 人物关系排列组合            
(5星)	 ^3^ my beloved Queen B &amp; Chuck!!!!!            
(2星)	 太乱。            
(4星)	 20集~25~~~ 很不错~~很抓人~            
(2星)	 就这么几个人  搞出来花来了...OMG            
(5星)	 我怎么觉得第2季比第1季好多了...第1季完全就是一帮高中生乱搞...第2季每个人都真实了...BART的死,敲诈,为进入YALE的种种竞争等等等等都给这个剧大大加分了            
(5星)	 第24集實在太好，成長中的人應該看一看。            
(4星)	 看衣服            
(4星)	 挺让我感动的。            
(4星)	 继续喜欢LILY。            
(3星)	 各种乱搞。。。            
(4星)	 原来我爱坏男孩~！            
(2星)	 真是狗尾巴！            
(4星)	 B和C都在一起了...果然电视剧都会有个happy ending...even if it is temporary...            
(5星)	 Chuck&amp;Blair.            
(3星)	 一群变态的变态人生            
(5星)	 love the ending,G is back,thankx god,又有好戏看了.            
(3星)	 只是因为S            
(3星)	 那个scott好帅= = 虽然只是看了那么几眼还有，觉得dan的老爸真的很有男人味，很帅，摇滚明星嘛 我果然控玩摇滚的大叔-V-            
(4星)	 oh,chuck            
(4星)	 想看第三季……            
(4星)	
(5星)	 太好看了.............            
(NA)	 还是看了呀            
(5星)	 期待第三季~~            
(4星)	 封面的S真迷人（？）~            
(3星)	 兜兜转转，兜兜转转，腐烂的恶之花。            
(4星)	 很难想象，我居然还会看此类剧的第二季，人格魅力啊，人格魅力。MARRISA的混乱破碎使我放弃了OC第一季后的所有剧集。（我看的伤心）GG里的演员看的我很爽很爽。无论是婆婆嘴DAN，文艺男ARON，王子样NATE，小BITCH BLAIR，女愤青LJ，颓废男CHUCK，完美女SERENA。还有我们的大美女LILY。哦，这些人真有意思。光看就觉得爽。最爱BLAIR。太长了，应该和第一季一样的集数就好，后面有点扯有点拖有点囧。            
(5星)	 大爱B&amp;c            
(3星)	 越来越混乱……汗……            
(4星)	 刚看到11集····            
(5星)	  我爱这编剧。够纠结。            
(5星)	 又完季了。越发觉得Chuck有魅力起来。才知道little J是正宗的90后。。            
(4星)	 很希望看到的结局出现了 所以还是很满意的            
(3星)	 据说会出到6季，但不打算追下去。作为消遣调味剂还好，果然日剧才是我的爱。            
(4星)	 chuck~            
(3星)	 看到无知觉。            
(3星)	 还是挺好玩的            
(NA)	 C&amp;B太般配            
(NA)	 Jenny的那双腿啊！！！            
(3星)	 越来越狗血了            
(3星)	 越来越缓慢            
(NA)	 c！            
(NA)	 i love u to o            
(4星)	 bc终于在一起了，喜欢他们最终纯纯的爱。像最后轻柔的旋律一样            
(5星)	 我就知道从一开始喜欢chuck的选择就没有错！！            
(4星)	 OH~B&amp;C...(心)其实俺觉得拍个两季差不多了~            
(2星)	 天哪，这结局恶心得            
(4星)	 总有一些话引起我的强烈共鸣            
(3星)	 I am Chuck Bass!            
(3星)	 还能怎么扯            
(5星)	 不管怎样，也是一周一周追过来的            
(3星)	 养眼            
(3星)	 排列组合得交配=_,=            
(NA)	 好电视剧，很青春，可以学习穿衣时尚，不错！            
(3星)	 第二部已经感觉很拖沓，Gorgina成了结尾最令人期待的部分，没想到那麽潦草。下一季还要不要追呢，考虑下吧。。。            
(1星)	 垃圾 乐瑟 乐瑟 垃圾            
(2星)	 剧情太JB牵强老！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 最喜欢倒数第二集。A touch of the 80&#39;s.            
(3星)	 越看越乱。。。            
(NA)	 那么多人喜欢看是喜欢看什么呢，这种快餐式的偶像剧，最起码不是我的菜。            
(5星)	 第2季完。            
(4星)	 祝贺B&amp;C            
(4星)	 八卦是对生活最基本的热爱~~            
(4星)	 貌似情节越来越纠结了，总是反复反复            
(4星)	 终于完了，如此之扯我还如此之想看，等着第3季啦            
(4星)	 混乱的我完全追不下去了            
(NA)	 高中生的生活，实在是范围太窄了，哪怕是在上东区，难怪剧情这样反复和无聊。            
(2星)	 无聊人士看得无聊电视剧~我竟然也看完了第二季~~然后竟然觉得要是有第三季也会接着看下去~~PMG            
(4星)	 个人觉得第二部有些让人失望。疯狂的导演和编剧。            
(4星)	 继续喜欢chuck。还有blair。            
(3星)	 先是愤怒，再是无奈..编剧很强大！！快点让blair和dan搞上好了~            
(4星)	 看到后来差点吐了            
(NA)	 Chuck            
(3星)	 编剧是脑残            
(4星)	 Serena            
(3星)	 看不下去            
(5星)	 可能再也不会有一部让我在考试集合的一周一周里追的剧了。纪念。            
(4星)	 只为看CB            
(5星)	 无限期追            
(NA)	 Sex Lie Rumor Girl Vogue            
(4星)	 我少了点激情追了...            
(NA)	 期待 season3            
(3星)	 这种类型的拍到最后都无聊了            
(3星)	 青春是真诚地胡搞着的唯一而充分理由            
(4星)	 推荐前2季啦~~             
(5星)	 Loving you is never the end!Blair &amp; Chuck!            
(3星)	 为了bc看的            
(5星)	 漂亮            
(4星)	 原来爱情可以这么复杂            
(NA)	 又开始罢工？18集还不出？            
(3星)	 2B编剧 智商不够用了吧 反正不是乱伦就是烟雾弹。。。            
(5星)	 just like another world            
(2星)	 富家儿子千金们的手段很幼稚~            
(3星)	 越来越狗血- -|||            
(3星)	 乱            
(4星)	 最后，C说出了那三个单词，这就够了。            
(5星)	 终于在一起了啊……            
(3星)	 一群人的乱交...            
(4星)	 结局很好。            
(4星)	 年度最有爱Finale            
(3星)	 xoxo gossip girl            
(4星)	 C和B终于在一起了，Happy Ending。            
(4星)	 前二十几集注水的厉害，到了最后两集突然变好看起来了，大约要为第三季博噱头罢。            
(4星)	 其实还差2集没看完            
(4星)	 这季完了也不用再看了。。            
(5星)	 虽然狗血到不行,但毕竟追了这么久~            
(2星)	 讨厌：dan  rufus V nate            
(NA)	 最后穿着绿色风衣的B有了赫本的味道；B&amp;C NY街头的拥吻也有了Tiffany的影子 2009.05.20            
(4星)	 不管你们说什么，我就是要给4颗星            
(4星)	 越扯越精彩！MD            
(4星)	 天~我喜欢最后3分钟！            
(5星)	 越来越纠结了            
(4星)	 终于看完了 Queen J啊~~~            
(4星)	 等待中。            
(3星)	 这剧这季太淫乱。            
(3星)	 就是喜欢Chuck Bass~            
(3星)	 我晕，啥关系都想得出来            
(3星)	 越来越纠结            
(3星)	 我不追GG了。爱怎怎的。编剧你死了得了。            
(4星)	 我都烦死J了            
(NA)	 B和C终于在一起了。。            
(4星)	 剧情敢不敢再埃克斯哦埃克斯哦一点……为了S我忍……            
(4星)	 XOXO             
(NA)	 ...            
(4星)	 2008 美剧             
(2星)	 不看啦……介排列组合的烂片            
(3星)	 欠债补上了~ 偶最稀饭的是G啊啊啊            
(4星)	 这个剧情简直就是完全out of control，除了B和C之外全部不知所云。P.S.基本所有出场人物，不论上东区还是布鲁克林的相互之间都上过床了。            
(5星)	 改成五星。给我亲爱的B&amp;C。            
(3星)	 这一季看到16集已经不想再往下看了 一个又一个的大包袱编的太刻意了 没有起伏节奏 因为一直都在甩包袱.....            
(5星)	 Ｘ．Ｏ．Ｘ．Ｏ．親親抱抱            
(3星)	 当这几个人又开始胡乱排列组合以后，从4星变为3星了            
(4星)	 lily!!!!~(伴随大结局而来的，是旷日持久的剧集荒）            
(3星)	 我居然开始追GG了。。。居然追完了它~            
(5星)	 总是在季末有悬念。chuck!乖乖            
(4星)	 。。            
(4星)	 更新的慢死了还停播急死了！            
(4星)	 最终还是B和C在一起。又要等到秋天了。            
(3星)	 其实..无聊的时候看看这。。真的还满解闷的...            
(2星)	 Nastia&#39;s in the newest episode!            
(5星)	 我喜欢chuck            
(3星)	 扯淡也好看            
(4星)	 青春版SATC，我很反叛的喜欢与众不同的人物，例如chuck,例如little jean            
(3星)	 结尾小感动。            
(4星)	 B&amp;C happy ending~Lily marrry Rufes makes me sick~the bitch G is back...            
(5星)	 爱在心底口难开。。            
(5星)	 finally~            
(4星)	 终于看完了，其实我们班追这个的还有点多嘛。            
(4星)	 到此結束，此片88            
(NA)	 各种排列组合            
(NA)	 有点看不下去的感觉··            
(4星)	 I LOVE B, SHE&#39;S ALWAYS MY QUEEN~            
(NA)	 wait for s03            
(4星)	 喜欢sarana。太漂亮了            
(4星)	 B和C怎麼如此糾結？            
(4星)	 最后几集拯救了这一季的剧情啊~~~~~~~~~~~BC！！！！！！            
(5星)	 想当年高中怎么就没有这么疯狂的时候呢            
(4星)	 第二季终于over了，已经混乱到超出想象了            
(3星)	 没第一季好了            
(4星)	 Chuck and Blair are made to each other!!            
(3星)	 编剧是在挑战数学组合方式的极限么。。。。            
(4星)	 bc终于能说出i love you 那么一切都无所谓了            
(3星)	 不想看了            
(5星)	 C和B终于在一起了!所以最后一秒改成五星~            
(3星)	 25            
(5星)	 super。            
(5星)	 里面的男男女女几乎要搭的都搭遍了．            
(3星)	 硬凑            
(2星)	 终于不忍心看了==            
(5星)	 我给五星完全是因为B&amp;C。            
(5星)	 喜欢D            
(3星)	 纯属练听力 终于结束了            
(2星)	 well happy ending ,.b&amp;C back together. then , apart again? boring..  time to give up!             
(4星)	 美国上流社会贵族学校的生活            
(3星)	 N滚了一季床单...            
(NA)	 据说还有第三季。。。姐姐我真不想追下去看了。。。            
(4星)	 结尾不错~还是有帅到            
(4星)	 美剧的走向都很乱，这部片子的语言不错。另外，衣服实在很漂亮。我看《GG》的最大原因是他们说话的态度，以及漫天的时尚元素            
(5星)	 Gossip Girl:How to be a bitch,a queen and a dictator.                   
(4星)	 爱上了欧美风            
(2星)	 S2真是无聊            
(3星)	 突发奇想峰回路转狗血情节。还好有美人。            
(5星)	 BC终于在一起，GG就这么完结好了。            
(3星)	 看到第九集坚持不下去了。。。            
(NA)	 S你就是我心目中的女王T。T            
(3星)	 都什么乱七八糟的关系，不看了。            
(4星)	 happy ending.            
(5星)	 等更新ing~黄花菜都凉了！            
(5星)	 一如既往喜欢Dan。            
(5星)	 美国时间每周一晚上播            
(3星)	 季终总是令人期待            
(5星)	 X.O.X.O Gossip Girlblaire 终于和chuck好了。。。            
(4星)	 little j，冲呀；200905，B和C还真是让人纠结的一对儿，S和D跟他们各自的父母一样，兜兜绕绕还是在一块儿            
(3星)	 越來越喜歡B            
