http://movie.douban.com/subject/3087439/	一脚定江山
(3星)	 我居然连这个也看过。。。豆蔻年华啊。。。            
(NA)	 小时候看的古装足球剧！！我记得宋徽宗特帅~~            
(5星)	 简直是爱死李宗翰了~            
(3星)	 6/10            
(3星)	 哈哈。            
(3星)	 至少那时候让我第一次知道了蹴鞠            
(3星)	 曾经觉得李宗翰蛮好玩的，这部里面任泉和李冰冰没有少年包青天里舒服            
(3星)	   当年好像很喜欢            
(3星)	 我还是蛮喜欢里面的李宗翰的            
(4星)	 记忆啊记忆            
(NA)	 小時候就喜歡看這些..內時候還特希望他倆在一塊兒~= =            
(4星)	 当时觉得可好看了            
(1星)	 懒得说了            
(3星)	 当时可喜欢李冰冰和任泉了            
(3星)	 那时候的李冰冰，圆圆的脸，还没经整形的五官~            
(NA)	 原来我小时候看过这么多这么多无聊肥皂剧…            
(3星)	 那么久远的电视剧，我都快忘记了。。。            
(3星)	 那时候任泉还红着~            
(2星)	 演员长的不错，故事衣服差了点儿            
(3星)	 还真是很出道            
(4星)	 不错...            
(4星)	 那个李冰冰一去不复返了。            
(4星)	 我就觉得任泉和李冰冰倍儿般配            
(4星)	 哇哇哇哇 那时候可喜欢这个剧了 还因为这个花痴了很久李宗翰和任泉 不过这里面演师师那个女演员可真丑。。            
(4星)	 这个我记得啊&gt;&lt;            
(NA)	 貌似是很久以前的事情了……            
(5星)	 好好看！！！            
(NA)	 那年李冰冰很热            
(3星)	 搞笑            
(NA)	 想来当时年纪小 什么烂片都看过啊~            
(NA)	 那会儿因为喜欢李宗翰,所以也喜欢这部电视剧!!!            
(3星)	 感觉还有点笑点的，不是很值得看            
(NA)	 初中            
(5星)	 初中时的            
(3星)	 Parts..            
(5星)	 初中看的 好怀念呐 那时候最喜欢看的            
(4星)	 美术高考期间看到了这部片。            
(4星)	 只记得李宗翰的搞笑~            
(3星)	 感觉小时候看了2遍...            
(2星)	 好像看过...            
(NA)	 tears，我的童年            
(NA)	 好久以前看的，讲蹴鞠。            
(2星)	 多无聊得剧阿            
(NA)	 也~            
(4星)	 当年的任泉李冰冰            
(4星)	 当时是多么的喜欢啊~~~            
(NA)	 谁小时候没看过几部很二的电视剧然后还觉得好看呢            
(4星)	 童年回忆不是            
(4星)	 哈哈。好古老的电视剧            
(4星)	 小时候看过            
(3星)	 金哥金哥有活力！！金哥金哥有魅力！！！金哥金哥有脚气            
(5星)	 还不错啦！            
(2星)	 那个时候还要到了任泉的签名 -.-            
(5星)	 他们真年轻。            
(3星)	 当时非常迷恋！            
(3星)	None
(NA)	 蹴鞠，哈哈            
(4星)	 任泉真是帅啊            
(5星)	 大陆偶像剧啊，根据我那时的品味爱好，这东西还真看了不止一遍            
(NA)	 任泉和李冰冰很搭~            
(4星)	 有足球的电影，我喜欢！还是一脚定江山的这种现在称为热血的类型！            
(3星)	 我到现在还对每集出现的外国人会谈感到疑惑。。。            
(4星)	 可以啊            
(4星)	 我还记得呢 那会儿任泉特帅            
(5星)	 哈哈 小时候很喜欢 还会唱主题曲            
(NA)	 嗷麦噶，我想起来小学的时候看过这个的！！！            
(3星)	 国足拯救世界（喂！）            
(5星)	 哈哈 这三个 都觉得不错            
(2星)	 童年            
(5星)	 当年好喜欢这个啊！一票喜欢的演员！            
(3星)	 这个我看过，真的真的，蛮喜欢李冰冰跟任泉配的。            
(3星)	 蹴鞠就从这里学的            
(3星)	 小学时候看的，当时看的还屁颠屁颠的            
(2星)	 真是。。。            
(3星)	 我记得有个李师师            
(3星)	 臭脚国足、那段时间总是用拍很多电视剧来鼓励自己国人。            
(3星)	 童年记忆 主题很特别啊            
(NA)	 哦 貌似就是这个里面认识了李师师            
(2星)	 那时候，冰冰还木有尖下巴            
(4星)	 我还记得呢 那会儿任泉特帅            
(5星)	 从头看到尾！！！当时喜欢到爆！！！！            
(3星)	 小时候的记忆！~~ 复生 张俊 还有 蹴鞠~~ 原来10年前就见过宗翰了哦。。LOL 演的真是不错！！            
(4星)	 我天真地以为他会跟李冰冰在一起...            
(4星)	 任泉嗷~~~~~~~~~            
(3星)	 高俅太混蛋了！            
(4星)	 很小的时候看的这部戏的了，大概是小学吧，当时很喜欢李宗翰的这个角色。            
(2星)	 囧啊            
(3星)	 那个时候的任泉啊。。。            
(NA)	 那年，单纯的迷恋头绑红发带，腰系红腰带的美男任泉很多年。            
(5星)	 啊啊~~小时候觉得某人很帅呢&gt;&lt;            
(NA)	 小时候蛮迷任泉的 诶            
(4星)	 当时好喜欢张俊啊，哈哈。。。。            
(3星)	 蹴鞠的故事            
(5星)	 看到了不一样的宗翰，喜欢他的阳光幽默甚至是放荡不羁。还是比较喜欢看古装戏吧，很巧的是发生在北宋末年，尽管本故事纯属虚构，不过经过几位演员的演绎仍然精彩。            
(3星)	 还挺好看的。。            
(4星)	 哎呀我记得那个时候任泉可红可红了。            
(3星)	 哦，天哪，曾经的李冰冰            
(4星)	 当时觉的很好看，但我知道一定不能再看一遍            
(3星)	 好像看过            
(4星)	 李冰冰啊。。。。李冰冰。。。。            
(NA)	 从此以后，我就知道，原来足球就是猪尿泡。。。。。             
(3星)	 蹴鞠。。。是吧。。            
(3星)	 踢球的牛逼们            
(3星)	 也就记得任泉            
(4星)	 矮油~ ~ 那时候看了都是天使惹的祸 好喜欢任泉的 李宗翰也不错~            
(5星)	 一年級的記憶啊木哈哈哈            
(4星)	 那时候正好看完《都是月亮惹的祸》，很喜欢任泉。            
(NA)	 当年还挺爱看的- -            
(2星)	None
(2星)	 看在介绍了蹴鞠的份上...            
(3星)	 小时候啊小时候            
(3星)	 果然好基友~~            
(NA)	 当年是傻逼电视剧            
(NA)	 。。。。。。            
(5星)	 那时候喜欢任泉捏。            
(3星)	 我很小的时候看过的电视剧，然后女主角成一线了，男主角去开川菜馆子了            
(4星)	 挺不错的，那些招式，想再看真人版足球小将一样~~~            
(2星)	 让我们彼此手牵手，为一个理想奋斗            
(4星)	 矮油 童年回忆啊 稀饭！            
(NA)	 发生在宋朝，所以挺特别的            
(3星)	 看过一集~            
(NA)	 噗~            
(4星)	 当时觉得 任泉你怎么可以这么帅            
(3星)	 那时候觉得任泉可帅了， 哈哈            
(4星)	 哈哈 以前经常偷偷看电视··就为追这个···            
(4星)	 我挺喜欢的 现在很难有兴趣有耐心去看完一部电视剧了            
(3星)	 那时候还挺喜欢冰冰姐的。。。。            
(3星)	 张俊，柳复生。雷~！            
(NA)	 帅哥            
(4星)	 小时候觉得任泉也太帅了吧            
(5星)	 非常非常久以前看的剧了……            
(3星)	 李冰冰当时拍了好多这样的剧，清爽活泼            
(3星)	 知道了 什么叫 蹴鞠            
(3星)	 小时候看过的一部电视剧            
(2星)	 李冰冰。。。            
(4星)	 青葱。            
(5星)	 小时候蛮喜欢看的，任泉淡定，李宗翰可爱，哈哈            
(NA)	 小时候小时候小时候。任泉那时很红哦。李冰冰还木整容哦。            
(3星)	 當時任泉李冰冰的緋聞滿世界瘋傳 如今李冰冰穩坐四旦雙冰第一梯隊 任泉卻已漸漸消失於大眾視線裏             
(4星)	 我当年很喜欢任泉的啊            
(3星)	 任泉啊……            
(4星)	 小时候迷啊！            
(4星)	 小时候的最爱啊，任泉什么的= =。            
(5星)	 啥都不说啦。。。全是回忆啊。。            
(NA)	 1年級的時候看的。- -            
(4星)	 帅气的李宗翰。。            
(4星)	 初中的时候还追着看呢 内时候李冰冰任泉好青葱啊             
(4星)	 我记得很久很久很久以前很爱看这个的。。。            
(3星)	 好吧我是来怀念雷剧的            
(NA)	 小时候的最爱！、。            
(4星)	 古人的风雅总是尽善尽美，蹴鞠——多雅致一词儿。  以及这部小学看的剧真的挺热血~            
(5星)	 我那个时候特别喜欢看。            
(3星)	 小时候看的电视剧。。看的津津有味。。            
(4星)	 =      =&#39;            
(4星)	 好看……            
(4星)	 为了梦想而努力的励志片            
(3星)	 小学吃早饭固定节目啊啊啊            
(4星)	 要生个蹴鞠队            
(5星)	 当年是一心一意希望月娥和复生在一起，男二完全不在眼里。可惜任泉GG这么多年你还是没火起来，天然儒雅清秀的少年才子的外貌就这样被浪费了……本来是绝好的公孙策或周瑜呀。            
(3星)	 mark            
(2星)	 不好看            
(3星)	 呵呵呵            
(3星)	 当时还蛮喜欢的            
(3星)	 蹴鞠。            
(NA)	 這個片子好老了啊             
(4星)	 只知道是蛮经典的，从小就要看电视剧            
(3星)	 现在看李冰冰真山寨。            
(5星)	 嘿嘿，蛮喜欢的其实            
(NA)	 。。。。。。。。            
(3星)	 当时真的觉得还蛮好看的。            
(4星)	 哈哈哈哈~~~还记得伐？蹴鞠啊~~            
(3星)	 介也可以找到？！…            
(5星)	 當時看最後一集時那個大快人心啊~~~全班歡呼了都==            
(NA)	 不记得了 第一次知道足球叫蹴鞠……            
(5星)	 喜欢足球的我 觉得这个蹴鞠的好好看。            
(3星)	 今天看到高俅想到的            
(4星)	 那时候和“八年抗战就要开始了”冲了，于是选择了后者，觉得前者肯定还是会有机会看到的，结果就再也没在我看电视的时候播过。我们祖宗留下来的宝贝。            
(4星)	 那时候很迷，任泉在里面很帅。            
(3星)	 福建台播的啦            
(3星)	 男一像孙耀威，不然我是不会看滴            
(3星)	 没什么印象了~~            
(3星)	 捏……            
(3星)	 那时候时间真多            
(4星)	 虽然我现在已经忘了戏里谁跟谁是一对儿了！！！但也曾经是到点儿就在电视机前巴巴儿等过的电视剧！            
(3星)	 任泉终于男一号了，不容易啊......            
(4星)	 以前好喜欢            
(3星)	 。。。唉。。小时候都残害自己了我。。            
(5星)	 多么美好的初恋。- -            
(4星)	 好经典的一部～            
(4星)	 我成为球迷，它大概有点功劳。            
(3星)	 任泉+李冰冰 我都喜欢            
(3星)	 还不都是为了任泉和李冰冰            
(NA)	 小时候觉得挺有意思的            
(4星)	 当年各种喜欢            
(NA)	 李冰冰和任泉气场还蛮合的。            
(5星)	 我要给满分。那时候就是爱看这类片片，一天一集，躲奶奶家看嘻嘻            
(3星)	 依稀有点印象剧情全忘了 小时候的事儿了            
(3星)	 我当年到底看过多少囧剧啊。。。|||当年萌这里面的任泉和李宗翰。。。            
(1星)	 足球？            
(NA)	 要不是豆瓣荐我都忘了这部电视了            
(3星)	 以前很喜欢的说~            
(3星)	 蹴鞠啊~！！            
(3星)	 曾经喜欢看,囧。            
(3星)	 喜欢死任泉了啦            
(3星)	 貌似小时候很爱看。。。            
(5星)	 李宗翰，李冰冰，任泉。让人amazing的阵容！            
(5星)	 2000的时候我还在读小学六年级，当时看了这部电视觉得李冰冰跟任泉真当是金童玉女啊            
(4星)	 李冰冰、任泉、李宗翰还有那个高俅，印象深刻啊。            
(3星)	 那时候很喜欢任泉            
(3星)	 蹴鞠啊。            
(3星)	 哈哈，好老的片子。不过对于电视剧来说，很一般。            
(NA)	 李冰冰和任泉的青涩时期啊~            
(4星)	 喜欢任泉算很夸张吗 当年和我一起YY任泉的表妹现在去喜欢黄晓明了呢 哼=v=            
(3星)	 这一对老搭档哇 。            
(5星)	 童年的回忆啊。曾经和L聊起剧情来，那个下午真的好开心。            
(4星)	 小学~小学啊~回忆总是美~            
(4星)	 念在我还记着它，给个四星            
(3星)	  小时候写作业的时候一直想看的             
(4星)	 好喜欢的任泉~~❤            
(4星)	 神奇的蹴鞠            
(3星)	 看电视正播的《徽娘宛心》，总觉得这男女猪脚应该有什么关系，原来在这里。李宗翰以前在这里喜欢李冰冰过。记忆，就是不管好坏，不知道会在某个时候蹦出来。            
(3星)	 当时的颜！！            
(4星)	 我一直觉得他俩蛮配的，眉清目秀。            
(2星)	 中国足球啊~            
(3星)	 踢的是个球            
(3星)	 阅..            
(4星)	 小时候蛮有感觉的            
(3星)	 小时候的记忆            
(4星)	 很喜欢            
(4星)	 那时多青涩的人儿啊            
(5星)	 这个！            
(3星)	 原来已经那么久了            
(5星)	 傻傻的就是喜欢.......            
(4星)	 好玩儿...            
(3星)	 看到友邻推荐猛然间想起来曾经。。。曾经我貌似也看过这个            
(3星)	 当年觉得还挺好看的            
(2星)	 当年纯粹为了任泉小盆友去看的……            
(NA)	 3.5            
(2星)	 李冰冰挣扎一线之前清清秀秀的模样多好            
(NA)	 任泉不愧是古装小生啊，美型啊美型            
(3星)	 那会儿看这个觉得挺逗的 蹴鞠            
(NA)	 看过但是.....全忘了            
(4星)	 当年看的时候特别迷，现在再看，发现原来剧情中已经透露出现今中国足球的一系列问题，假球，黑哨，高层问题，等等。虽然是9年前的电视剧，但现在看，也许演员表现还略显稚气、不足，但是仍不失为一本好的电视            
(5星)	 喜欢就是喜欢。            
(4星)	 当时我觉得这俩人真配啊!!!!            
(4星)	 曾经美好的记忆            
(4星)	 小时候啊 ~小时候            
(3星)	 要是咱中国足球有这水平……            
(3星)	 凑合吧。以前挺喜欢。            
(4星)	 喜欢            
(3星)	 午夜时分东南卫视看得！            
(3星)	 任泉真的拍过很多还不错的电视剧 为什么还没上位啊            
(3星)	 当时只觉得任泉挺帅的，其他的貌似没啥印象啊！~            
(NA)	 美好的回忆~            
(3星)	 古装偶像剧            
(3星)	 蹴鞠。            
(3星)	 蹴鞠=足球~            
(NA)	 小时候都爱看这种片子吧            
(3星)	 好像是7年级吧， 那时候还跟张雨爽弹这主题曲来着。。。现在想想真2。。            
(3星)	 小时候还挺喜欢的            
(3星)	 李宗翰，从此片爱上你~~~            
(1星)	 李真地是突变了 我说气质            
(3星)	 那时候任泉真的很红。。            
(3星)	 。。。。。            
(2星)	 想当年任泉挺红，李冰冰刚出来，时光啊时光……            
(2星)	 看过一点            
(3星)	 张俊。。我还记得一个主角的名字。。。恩。。。小意思一点吧            
(3星)	 好久以前看的。。。            
(3星)	 没什么印象了~            
(5星)	 当年是真痴迷！            
(3星)	 现在看来还是有点雷的            
(3星)	 红了三个主角。            
(4星)	 当年很迷呢。            
(NA)	 Orz我看过……男女主都是我蛮喜欢的人……            
(NA)	 小时候很喜欢的一部电视剧。            
(3星)	 = =.....我都不敢点看过了....            
(2星)	 剧情很神奇            
(3星)	 那时的李冰冰比现在吸引我            
(NA)	 那时对任泉的八字开印象深刻！！！            
(3星)	 迷过任泉，不过现在果然已经老了。。            
(4星)	 那会迷的任泉啊 哗哗的            
(3星)	 那是的李冰冰~好~！            
(3星)	 当初很爱看滴~            
(3星)	 jstv?            
(5星)	 就是喜欢李冰冰。喜欢任泉。            
(3星)	 那会还年轻。            
(4星)	 小时候觉得很好看，这不重要，因为大部分都不记得了。但是只要一和周围人说起来，很少有没看过的，大家都能聊的特开心，所以看在这份上，给四星。            
(5星)	 看了很多遍的，喜欢柳复生            
(4星)	 当年很喜欢            
(3星)	 难寻李师师。            
(4星)	 直到刚才我还以为那男配角是孙耀威演的，原来那人叫李宗翰。汗！！！            
(3星)	 小时候蛮爱看的诶。。。            
(NA)	 老早就喜欢李冰冰了．            
(1星)	 蹴鞠            
(NA)	 中国足球能这么牛就好了            
(3星)	 蹴鞠。。。            
(4星)	 當年好喜歡            
(3星)	 一直觉得任泉挺帅的            
(4星)	 当年一大欢乐剧哇哈哈哈XD！            
(3星)	 李宗翰真是帅啊            
(5星)	 那时候超迷任泉和李冰冰。            
(NA)	 其实我很爱任泉哥哥。            
(3星)	 那个时候李冰冰拍过很多好看的电视剧            
(NA)	 诶那个时候很喜欢任泉的 - -            
(3星)	 明星啊~            
(4星)	 哇~李冰冰跟任泉多男才女貌啊~            
(4星)	 当时这种题材的电视剧也算是凤毛麟角了啊……            
(4星)	 单纯喜欢这一对主演拍档……            
(3星)	 曾经心目中的金童玉女～            
(2星)	 猪sui泡            
(4星)	 咳 早期的国产古装青春偶像剧，其实人物很不错            
(NA)	 突然我在想 我都看过些什么啊             
(NA)	 aiai            
