http://movie.douban.com/subject/3003419/	壹号皇庭I
(5星)	 开头曲特别忧伤特别好听，那个法庭的泰美斯雕像真经典            
(4星)	 太喜欢了，就是看了这个，青春时对律师的崇拜感油然而生。            
(5星)	 郑秀文好胖！            
(5星)	 绝对的经典！！！！！            
(5星)	 1-5都是经典。绝无冷场。            
(NA)	 tvb有很多职业剧，不仅让人对这个职业有了很深的了解，还会让你很想从事这个职业            
(4星)	 陶大宇当年多帅呀。胖子找到了自己的路线，嘴贱。            
(4星)	 黄老邪年轻的时候，很憨，锺意江承宙，极有眼光。            
(3星)	 这个时候看那个年代的片子，还是觉得情节上稍显粗糙了点            
(5星)	 法政题材的经典            
(5星)	 印象无比深刻的tvb电视剧，我想很难有能再超越的了            
(3星)	 呵呵~美丽的职业和一群好朋友，很好！            
(5星)	 第一次看这个片子的时候，觉得那种中产的小资生活真是令人羡慕。也算是TVB的经典之作了。            
(4星)	 最大的感触就是，如果那个年代有监视器的话，很多的官司就不打了……            
(5星)	 我看这部戏时~或许还看不懂...            
(NA)	 我多希望我以后也是这个故事。。。            
(NA)	 相当没印象            
(5星)	 经典~            
(4星)	 很喜欢~            
(5星)	 经典            
(4星)	 经典            
(4星)	 现在想想小时候看港剧的时光真幸福~~            
(5星)	 那时候梦想戴发套来的            
(3星)	 小学时看的             
(5星)	 I~V            
(5星)	 电视剧启蒙者啊~也是职业生涯冥冥中的起点            
(NA)	 小时候这个律师形象对我影响太大了`            
(NA)	 8.3分!            
(5星)	 喜欢这群男人在一起            
(4星)	 現在學法律了,才覺得跟他們演的真是兩回事...            
(4星)	 居然还有sammi            
(NA)	 好看            
(5星)	 很不错的片子~现在想回顾一下！            
(5星)	 从这部戏开始喜欢amy            
(4星)	 我很喜欢看律师,警察之类的港剧.当年我也狂喜欢宣萱,可惜近来少有她的作品.            
(5星)	 最喜欢的居然是主题音乐。            
(5星)	 法庭的经典，律师的经典开始了。            
(NA)	 1-5。。正在重温中。。。。            
(NA)	 陈秀雯=.=息影了            
(4星)	 搞            
(4星)	 很早的剧了，依旧精彩～            
(4星)	 总之是皇庭系列的都看啦~TVB就是老剧很不错喔~            
(4星)	 BOBBY成名之作！            
(5星)	 怀念那时的TVB剧            
(5星)	 初高中时期的两部经典啊，还有刑事侦辑档案，导致我对白领有了不切实际的幻想……            
(5星)	 经典。。。            
(4星)	 喜欢里面的说话方式，轻松、幽默。            
(5星)	 我们可能更熟悉它的另一个名字《壹号法庭》，我最早接触的港剧时装剧。集中了我们日后所知道的很多大牌。            
(4星)	 看港剧最疯狂的时段            
