http://movie.douban.com/subject/3901388/	我爱我家
(5星)	 無法逾越的經典            
(5星)	 有多少星打多少星            
(5星)	 其中的爷爷我超级喜欢 可惜过世了。。。            
(5星)	 永远看不腻~            
(4星)	 国产情景剧的鼻祖            
(5星)	 中国最好的情景喜剧.            
(5星)	 最初的就是最好的。            
(4星)	 这个是怎么添加的呢?            
(NA)	 我试试这个淫性化的新功能            
(5星)	 百看不厌，一生最爱，永远怀念！            
(5星)	 如果可以我都打六星了 这个随便看几遍都笑得死去活来&gt;&lt;            
(NA)	 文兴宇那沙哑的嗓音真销魂            
(5星)	 童年。            
(4星)	 适合全家一起看~            
(5星)	 太好看了！！！！！            
(5星)	 满分满分满分！！            
(NA)	 这些人是有多爱北京才会拍出这样真实的电视剧。            
(5星)	 九年义务教育得普及这个~            
(NA)	 今天再看一次            
(5星)	 我喜欢宋丹丹和关凌！还有小保姆！            
(5星)	 百看不厌 京片子速成学习教材 还是最喜欢梁天            
(5星)	  喜欢这个 尤其是老爷子，当时每天中午回家看            
(5星)	 第一部情景喜剧么。哈哈            
(3星)	 一部分            
(5星)	 什么是情景喜剧？            
(5星)	 Kevin学爷爷的口头禅“内个”很像！            
(5星)	 不需要            
(5星)	 这部太经典了 现在还能在电视上看到 不过小姑娘已经木那么可爱了 老爷子也撒手去了 物是人非啊            
(3星)	 我高二时专门跑回家看这剧==！            
(5星)	 任何時候看都可以笑抽筋            
(NA)	 解闷的片子            
(5星)	 shock在于豆瓣终于摸清楚我的口味了~            
(4星)	 大陆第一出情景喜剧 当年大江南北应该都追看             
(4星)	 太长 所以良莠不齐了            
(5星)	 这辈子最最最喜欢的一部电视剧。经典中的经典            
(4星)	 80年代还有没看过的？            
(NA)	 一个时代的代表            
(5星)	 niu!            
(5星)	 前无古人后无来者            
(4星)	 喜欢。            
(5星)	 国内情景喜剧的鼻祖            
(5星)	 逢演必看！哈哈~            
(5星)	 无可取代，我爱他们家。            
(4星)	 还是觉得它是国内最好的一部情景喜剧            
(5星)	 中国喜剧难以逾越的高峰            
(5星)	 刚刚回忆了一遍  大结局看完后竟然有一种落寞的感觉。。            
(3星)	 关凌不错，哈哈。            
(5星)	 回不去了.            
(5星)	 比什么都好看~            
(5星)	 重新再看还是很好看啊！！！！！开头音乐一响起来的时候眼泪差点掉下来。            
(NA)	 我最喜欢梁天那张小痞子脸了            
(5星)	 最喜欢的情景喜剧。。。没有之一。。            
(5星)	 最爱            
(5星)	 太怀念了！            
(5星)	 一级棒            
(5星)	 经典~！            
(NA)	 最耐            
(4星)	 童年的回忆            
(5星)	 打分仅就前四十集而言。            
(5星)	 圓圓~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(4星)	 国产情景喜剧的先驱者之一~            
(4星)	 挺喜欢滴~如今小的已经长大了，年轻的已经变老了，老的已经驾鹤去了~            
(5星)	 O(∩_∩)O哈哈哈哈~            
(3星)	 左            
(4星)	 那啥 传说中的一代经典 情景喜剧鼻祖             
(4星)	 全家老小 沒一個不愛看的！            
(5星)	 那时候就等着它开播！！！            
(4星)	 高度至今无人能及啊            
(NA)	 我还记得这个碟片还是他送我的            
(5星)	 巨逗            
(5星)	 绝对的经典，最可笑的电视剧～～            
(NA)	 百看不厌啊~            
(4星)	 中国版《成长的烦恼》            
(NA)	 也太他妈逗了吧            
(5星)	 每次重播都要看。10多年了。            
(5星)	 最好的国产喜剧电视剧，现在看都没有过时            
(5星)	 只要是重播我就看，只要是看，我就开心            
(4星)	 国内情景剧鼻祖，但我太喜欢成长的烦恼了，为此对于此剧很难有强烈的感情            
(5星)	 从小看着长大            
(5星)	 .            
(5星)	 第一部也是最经典的一部            
(5星)	 文老爷子……            
(4星)	 这个多经典啊 ，有人没看过吗？            
(5星)	 电视剧就应该这样，，让老百姓娱乐娱乐在吃完晚饭后            
(5星)	 最好的情景喜剧            
(5星)	 看了好多好多遍，其实做情景喜剧国人是有优势的。            
(5星)	 怎一个“经典”了得。            
(4星)	 非常非常喜欢文兴宇            
(5星)	 真的超级好笑，经典            
(5星)	 我发现，我真的很喜欢看情景剧            
(5星)	 绝了            
(5星)	 小时候很喜欢看            
(5星)	 经典中的经典            
(5星)	 什么时候再看都不腻……            
(5星)	 非常生活化，把小市民的生活表现得一览无余，喜欢            
(5星)	 学地道北京话的好材料，片尾曲很好听            
(4星)	 老爷子已经走了。。            
(5星)	 情景喜剧的经典，可谓登峰造极，再也没有谁能与之相比了。            
(4星)	 挺逗趣的            
(5星)	 中国情景喜剧的开山之作            
(4星)	 KUSO额            
(4星)	 年代感了            
(5星)	 最喜欢的情景喜剧。虽然套路一遍一遍重复            
(5星)	 怎么看怎么爱看            
(5星)	 看过N遍了 经典啊！！！            
(5星)	 小时候特别喜欢看。            
(5星)	 我爱我家            
(5星)	 无法超越            
(5星)	 这才是尖儿！我有正版VCD套装全集。。            
(5星)	 大爱            
(5星)	 国产最优喜剧系列剧。梁左无敌！            
(5星)	 终于看完了120集            
(5星)	 超欢乐！！属于中国人的笑点，经历过上个世纪的人都会明白。真想念小时候。            
(5星)	 二混子你害得我想吃饺子了            
(5星)	 再看一遍都不嫌烦！            
(5星)	 童年回忆阿！            
(5星)	 情景剧            
(5星)	 我爱童年记忆的京片子            
(5星)	 英达            
(5星)	 内心的平安那才是永远            
(5星)	 居然也没标....            
(5星)	 文兴宇。            
(3星)	 那一张张大碗年轻时的脸。            
(5星)	 看你千遍也不厌倦。            
(NA)	 看的最多的情景喜剧            
(5星)	 神作，梁左实在是没话说            
(5星)	 没有字幕很苦恼……            
(5星)	 国内最好看的情景喜剧！            
(5星)	 经典            
(5星)	 我想给10星！！！！！            
(4星)	 除了爷爷讲话的声音不喜欢以外，其他的都挺好～            
(1星)	 特别不喜欢这部剧，扯淡玩意儿。            
(5星)	 真好看            
(5星)	 情景喜剧的最高目标也就是能看得人又哭又笑            
(5星)	 哈哈哈哈哈哈            
(5星)	 我的珍藏。            
(5星)	 反复看过3遍，看一次笑一次            
(4星)	 我想回到那个时代去            
(5星)	 伴隨小學中學 還有現在....            
(4星)	 里程碑             
(5星)	 那天电视上载播 我又笑死了            
(5星)	 可能有王朔的关系这部真的是国产情景剧无法超越的鼻祖            
(NA)	 哈哈哈哈哈            
(5星)	 看到现在的关凌。。。            
(5星)	 现在天天看！ 原来陈凯歌和冯小刚底下坐着那段花絮现在才播。。。冯小刚那阵瘦成那样！            
(3星)	 屁股没有头好            
(5星)	 我算听明白了，从始至终梁左就是在拿”共产党式的语言“开刷呢。            
(5星)	 又重温了一遍，太对胃口了。            
(NA)	 看不腻！            
(5星)	 主题曲很温情            
(5星)	 我永远永远不会忘记的情景喜剧。决定去买一套收藏            
(5星)	 儿时的回忆            
(4星)	 问苍茫大地谁主沉浮，姆们姆们姆们！哈哈哈            
(5星)	 歌也很好听啊!            
(5星)	 还住在报社大院儿里的小时候，定时定点儿跟爸妈在电视前等着看。电视关静音都不影响因为全院儿挨家挨户都在看，声音听的倍儿清楚。只能被模仿无法被超越的中国最好的情景喜剧，各种台词和段子到现在还在和老友们念叨着~            
(5星)	 从小到大最喜欢的电视剧第二名。            
(4星)	 至今为止，国内最有质量的情景喜剧            
(4星)	 文爷爷太有爱了            
(5星)	 永远的经典            
(NA)	 就爱看文兴宇老爷子            
(5星)	 看了无数遍，最喜欢梁天儿，哈哈～            
(5星)	 太经典了            
(5星)	 唉，怎么再也拍不出来这样的情景喜剧呢            
(5星)	 第一次看情景剧，觉得很新鲜。            
(5星)	 我看过最好的家庭情景喜剧            
(5星)	 无论是国内还是国外，我觉得没有哪个情景喜剧的水平能超过这部……            
(5星)	 爺爺~~~            
(5星)	 小时候太爱看了。哈哈哈            
(4星)	 哈哈。            
(5星)	 百看不厌百看不厌~~！            
(5星)	 温暖            
(5星)	 看的时候特想吃他家饭桌上的豆浆油条！！            
(4星)	 电视台重放的时候看过几集。。蛮好玩的            
(NA)	 首开中国情景喜剧先河            
(5星)	 太经典了.太牛逼了!!            
(5星)	 现在看还是会笑抽筋。季春生！！            
(5星)	 百看不厌            
(3星)	 小时候小时候            
(5星)	 我给了五星，虽然记忆模糊，很多情景不太记得，但当时确实带给我很多欢笑            
(5星)	 妈妈先喜欢 后来也成为我心中永恒的经典             
(5星)	 一直被模仿，从未被超越            
(2星)	 小时候就觉得好难看啊            
(5星)	 为什么没有六颗星            
(NA)	 每年一次雷打不动            
(5星)	 大陸經典情景喜劇啊            
(5星)	 高级幽默            
(3星)	 北方一块的情景喜剧倒不太看的。            
(5星)	 某段时间焦虑症，看它过来的            
(4星)	 老头乐。。。            
(5星)	 梁天·关凌 宋丹丹-文兴宇 杨立新 张永强·蔡明 牛莉 赵明明 沈畅 李眉            
(4星)	 小时候似乎很多人看            
(5星)	 中国式情景喜剧的开始            
(5星)	 100遍            
(5星)	 大爱，我家还有碟……            
(5星)	 每天看两集，生活多美好！            
(5星)	 小时候可烦那个爷爷 觉得怎么这么叨叨 现在却特别思念。。唉            
(5星)	 真TMD好看~看了无数遍，笑了无数遍~！            
(5星)	 大陆的家庭情景喜剧巅峰。相比下。家有儿女之流简直是。。。            
(NA)	 室内            
(5星)	 这是80后的童年必看啊！~            
(5星)	 再也不会有这么经典的情景喜剧了            
(5星)	 有爱，有爱            
(5星)	 喜欢老爷子~            
(5星)	 小时候看的，也许没看全……但真的很好……            
(5星)	 我爱的九十年代,我们看了又看            
(5星)	 我个人认为是最经典的室内情景剧，尤其是第一部            
(5星)	 百看不厌的片子            
(5星)	 电视上又播了~~~            
(5星)	 最经典的情景剧~            
(4星)	 好笑            
(5星)	 爱死这剧了            
(4星)	 永远的回忆             
(5星)	 中国大陆最好的情景喜剧，没有之一。            
(NA)	 还是喜欢家有儿女里面的宋丹丹大妈            
(4星)	 都是它重播的影子            
(5星)	 90年代。            
(5星)	 我想给它十星！经典中的经典！            
(4星)	 经典            
(4星)	 人物好鲜明。            
(5星)	 好看            
(5星)	 不解释            
(3星)	 没完整看过，但是还是觉得一般            
(5星)	 超级喜欢的情景喜剧之一，贴近生活，笑声中很有感触。支持国产情景喜剧！            
(5星)	 绝对牛逼。            
(3星)	 中国大陆            
(NA)	 童年            
(5星)	 多希望可以一直拍下去啊            
(4星)	 小时候喜欢抱着电视不放 这部我爱我家给我的家带来了很多欢笑            
(5星)	 当时觉得他们生活相当好            
(5星)	 好看！            
(4星)	 关凌这大傻丫头，那会儿看着挺机灵的啊            
(NA)	 百看不厌            
(NA)	 嘟嘟牌儿方便面。            
(4星)	 [昔日所看] 看了无数集也继续爱看……            
(4星)	 原来从小到大我看了这么多电视剧．            
(NA)	 很逗。            
(4星)	 早看过了，看过好几遍了。。。            
(5星)	 开始一个接一个死亡了。。。笑声犹在            
(5星)	 最好看的情景喜剧啊..            
(NA)	 喜欢喜欢~~~            
(4星)	 经典            
(3星)	 120集情景喜剧《我爱我家》透过90年代北京一个六口之家以及他们的邻里，亲朋各色人等构成的社会横断面，展示了一幅当今改革大潮中大千世界绚丽斑斓的生活画卷………             
(5星)	 最喜欢的情景喜剧            
(5星)	 永远的治愈与最爱            
(NA)	 国内情景喜剧里程碑            
(5星)	 小时候最爱看了。。            
(5星)	 情景喜剧            
(5星)	 必须看！            
(5星)	 这一家子人的性格特点塑造得异常鲜明，实属国内情景喜剧的标杆。            
(NA)	 英达的第一部···            
(5星)	 体会到了不少十多年前体会不到的妙处。思想上最具颠覆性的电视剧之一。            
(4星)	 童年的记忆            
(5星)	 啥也不说了, 梁天,你丫咋转幕后了呢?!            
(5星)	 第一步，也是最好的一部！            
(NA)	 这个二叔的小眼睛，永远忘不了~~            
(5星)	 这部情景喜剧,就影响更深了.还很喜欢里面那个圆圆呢.圆圆的爷爷,就更有意思了.老革命,老同志.哈哈...想想就有意思.            
(3星)	 一般般            
(NA)	 里面很多台词体现了编剧的博学与睿智，喜欢。。。            
(5星)	 百看不厌!总有笑点!            
(4星)	 有点忘了。            
(5星)	 有谁看过不笑么            
(5星)	 非常好~~太喜欢文爷爷鸟~~            
(5星)	 “啊！哪個哪個……”“小同志……”            
(NA)	 我家的录象机时代            
(NA)	 超级经典的情景戏剧！！            
(4星)	 作为当年的作品，怎么也比现在的某些强            
(5星)	 百看不厌http://6.cn/profile/playlist.php?p=165671            
(4星)	 不错不错            
(NA)	 就这个一部特经典的            
(5星)	 喜欢            
(NA)	 经典啊，经典            
(5星)	 沉痛悼念付明老人            
(5星)	 很那个爱            
(4星)	 文老爷走好            
(5星)	 我也爱我家            
(5星)	 老傅走了，纪念一下。            
(5星)	 情景喜剧扛鼎之作哇，至少我是这么想的！            
(5星)	 OK 所有人都不正常            
(5星)	 圆圆全家人每个人我都喜欢，有时候还会拿MP3听里面的段子，我真的觉得这是到目前为止我看过的最好的情景喜剧，哪怕美剧英语都没它让我觉得开心。            
(4星)	 文大爷的腔调            
(5星)	 我的“圣经”            
(4星)	 我居然是听的广播……TAT            
(NA)	 我不爱我家            
(4星)	 晚饭的时候朋友说了个这里面的段子然后无聊的从第一集开始看。宋丹丹年轻的时候也是真嫩啊。            
(NA)	 这里有葛大爷出镜吗            
(5星)	 我看过的最好的室内情景喜剧，没有之一。            
(5星)	 早有《我爱我家》，今有《家有儿女》，大陆的情景喜剧就靠这两块牌子撑着了。            
(5星)	 北方人民的幽默感。我看这个长大的永远永远都忘不了。            
(NA)	 回忆里的经典，最喜欢伴着主题曲出现的全家福画面。            
(3星)	 我都忘完了…… 只记得老是有很假的笑声……            
(5星)	 我好喜欢文兴宇。。。。。            
(5星)	 和《编辑部的故事》一样，属于典型的北京耍贫嘴一族。平常耍耍贫嘴还好，要是工作上也这样，真要了亲命了            
(5星)	 当年。。。            
(4星)	 一直最爱的            
(5星)	 绝壁的经典啊！！            
(5星)	 童年的回忆            
(4星)	 小时候的回忆            
(5星)	 国产情景喜剧巅峰            
(4星)	 从此我们有了情景喜剧。经典！            
(5星)	 小的时候觉得拍的特别特别好！！！            
(5星)	 每首歌都非常好听。中国第一部情景喜剧。此后个人认为再无法超越。快10年了依然经典            
(5星)	 绝对的情景喜剧扛鼎之作            
(5星)	 很喜欢那个时候的人和事，还有片尾曲。            
(5星)	 最有代入感的一部情景剧。            
(5星)	 永不可替代的NO.1            
(5星)	 最爱的大陆电视剧！            
(5星)	 开山鼻祖            
(5星)	 经典！            
(5星)	 喜欢死了            
(5星)	 中国老百姓民间智慧的集大成作品            
(5星)	 这是斗嘴耍贫的巅峰，前无古人，后无来者            
(5星)	 哈哈哈哈            
(5星)	 家。            
(5星)	 经典作品！            
(5星)	 每次换台遇到了就会停下。。。            
(5星)	 美好的回忆            
(5星)	 90年代尽在此剧            
(4星)	 深刻懷念文興宇爺爺TATTATTATTATTAT            
(NA)	 路不平我来铲 礼不平 我来管            
(5星)	 又看了一遍！又乐得半死！            
(5星)	 中国情景喜剧的里程碑 从编剧到演员再到音乐堪称一流  以一个小家庭的故事反映了大社会的各个层面 很怀念那个面的满街跑 一月几百块工资的时代            
(5星)	 从小看到大都不觉得腻歪，最爱是——和平女士！！！            
(5星)	None
(5星)	 回头一看才发现这部剧集当真不老实啊！审查是怎么通过的嘛            
(5星)	 这是我心里经典的经典。            
(5星)	 光阴的眼中，你我只是一段插曲。。还有打2星的，我擦尼妹，你有童年吗，你有审美吗？看雷阵雨去吧你            
(5星)	 永远无法被超越的国产情景喜剧。            
(5星)	 至今為止 國內任何情景喜劇都無法超越的 梁左的離開 不論這今後的喜劇作品 還是相聲段子 都不在好笑 瘦瘦的梁天是這部最好笑的人物 下半部少了他的出鏡 可笑點也不多了            
(4星)	 Someone you never know            
(5星)	 最近高清怀旧频道周末开始重播，真的怀旧了一把~~~现在看来还是激动呢            
(5星)	 重播了哟喂~            
(NA)	 又是一个大童年~~            
(4星)	 爷爷好玩~            
(4星)	 国产经典            
(5星)	 巨喜欢爷爷！！！！            
(5星)	 笑中带泪。百看不厌！            
(5星)	 爱是一个长久的诺言 平淡的故事要用一生讲完             
(5星)	 虽然内容充满了当时的时代烙印，但艺术上依然是经典！            
(5星)	 超级好笑！！！！！！！！！！！！！            
(5星)	 梁左，文兴宇，，太强了！            
(5星)	 看过的第一部 也是最经典的 情景喜剧。            
(NA)	 看过，木看全            
(4星)	 记忆            
(5星)	 看过最好的情景喜剧            
(4星)	 经典。，            
(NA)	 老爷子走了吗？            
(4星)	 小时候我真的很喜欢看这个             
(NA)	 出生年代早了点            
(4星)	 真觉得挺好玩儿的，现在演我还老看呢~~            
(5星)	 绝对经典，不解释            
(4星)	 还想再看一遍            
(NA)	 这            
(5星)	 你说中国还能不能出这么好的一部情景喜剧？            
(5星)	 晚饭时如果能一家人追这部剧，要比追什么毛岸英幸福多少倍阿            
(5星)	 爱            
(5星)	 天天想看 夜夜想看 日日想看 月月想看 ；看了若干个月刚刚看完了 完完整整的 每天吃饭的时候都不自觉地看两集 希望这意味着闲散生活的结束 挺不舍            
(5星)	 对于观众、演员、编导、中国室内情景喜剧来说，都是难以逾越的经典。            
(5星)	 介才是不折不扣的豆瓣五星电视剧            
(5星)	 真的是启蒙之作！我记得某个夏夜我躺在奶奶家的凉席上，因为留鼻血塞着鼻子，还时不时挣扎起来看一眼。关凌那时候多可爱啊！还有沈畅的小保姆~~哎呀剧中所有人都好经典！            
(5星)	 真是小时候一打开电视就有            
(5星)	 那时候觉得北京真是个好地方！家庭老幸福了！            
(5星)	 还用说么            
(5星)	 永远的经典。主题歌都好感动。            
(5星)	 呵呵，算是最早的情景喜剧吧，挺好看的，片尾曲也好听。            
(5星)	 有这部片子在，国内的那些爱责怪 &#34;环境&#34; 的电视工作者都可以去死了吧。            
(5星)	 说是我最喜欢的剧集也不为过啊！！            
(5星)	 正好做稿子用到...            
(5星)	 文兴宇辞世，关凌已长大成人……            
(5星)	 当年确实很好笑            
(5星)	 之后内地所有情景喜剧的包袱，都可以在这部找到原型。            
(NA)	 2010-11-27            
(5星)	 再见，小时候、、、、            
(4星)	 一想到这学期都要混在这个剧上            
(5星)	 我百看不厌。。。            
(5星)	 伴着片头曲 内心的感触也慢慢涌现            
(5星)	 前面四十集好极了，后面的没劲。前面是在北京工艺学院拍的，后面搬到北广去拍，就变得没劲了            
(5星)	 有一段时间，吃饭必须看这个            
(5星)	 和平说：“大爷！大爷！我叫您呢！”            
(5星)	 永远无法被超越的东西。。            
(5星)	 每集我都能背下来。。。            
(5星)	 北京式的幽默，不朽的经典啊~            
(3星)	 老大爷年纪这么大还拍片真难为你了 祝你在某个地方一切愉快            
(5星)	 最棒的            
(5星)	 经典 什么时候看都乐 小时候的记忆            
(5星)	 小学、初中、高中、大学，一直看反复看，还是好看。            
(4星)	 补充            
(5星)	 国产sitcom的巅峰了吧            
(5星)	 或许15年前，又或许没有，当每天守着河北卫视看着这一家子逗咳嗽，怎一个爱字了得。            
(5星)	 不知道怎么突然哼起主题曲= =好怀念            
(NA)	 多老的片子了            
(3星)	 那时候看就不觉有多好笑，是年纪太小？            
(5星)	 啥也不说了，嗷嗷的好看            
(5星)	 爸爸down的…            
(5星)	 我高中和大学同学居然就没人看过！人生太不完整了他们！            
(4星)	 特别欢乐的一家人。            
(5星)	 虽然热烈而盲目的初恋在冷静的回忆中失去了光艳，我还是充满深情把你想念，直到我们向人间道一声最后的“晚安”。那永不停息、默默流去的岁月，会带来你我都无法预测的一天，那时我们一起采摘花朵的童年时代——再回首已是百年以前。            
(4星)	 看的时候才4,5岁...居然记得...            
(5星)	 现在看依然大笑连连            
(5星)	 突然想起来有一集圆圆哭着喊着要见张国荣(我肯定骂过没眼光或类似的话==) 那时候貌似他还活着            
(NA)	 貌似没看全呢，一直没受，国内情景剧鼻祖            
(5星)	 我对英达的这些经典可以熟背，我敦华的哲学史到目前为止看了三遍，我爱我家之类的片子已经不止三遍了            
(NA)	 我可爱这个了！！！！！！！~~~~~~~~            
(5星)	 爷爷已经走啦……            
(5星)	 最近又疯狂的喜欢上了，这里面藏着很多很多各方各面的大腕啊。。。都那么有分量，以前没发现，现在觉得这真是情景喜剧的巅峰            
(4星)	 当年的经典            
(5星)	 哈哈 太他妈逗了            
(5星)	 和老太太在里面太有范儿了：路不平有人铲，事儿不平有人管，问苍茫大地谁主沉浮，姆们姆们姆们~            
(5星)	 超好笑～～～～            
(5星)	 最喜欢的！            
(5星)	 初中看，最好的一部情景喜剧            
(5星)	 经典~~~~~~~从小有放有看             
(5星)	 好经典~~怀念~~~            
(4星)	 有些地方还真有讽刺的范儿呢，呵呵，厉害，结尾的歌词也很经典            
(5星)	 一直被模仿,从未被超越            
(5星)	 中国第一个情景喜剧，看过无数遍。            
(5星)	 无法超越的情景喜剧~            
(5星)	 太喜欢了！没有能超越的！！！我爱文兴宇 我爱宋丹丹 ！！！            
(4星)	 都是有一出没一出看的，文兴宇那老头儿挺逗的。            
(5星)	 真是童年的回忆了。            
(5星)	 最爱看的家庭情景剧~            
(5星)	 無法超越。            
(4星)	 我当年就喜欢看，我妈老烦老烦这个了。尤其那个老爷子一说话她就受不了            
(5星)	 温馨、快乐、搞笑、讽刺，五味杂陈，最后留给我们的是深深的感动            
(4星)	 哈哈，也听不容易的。。。。内地室内喜剧鼻祖            
(5星)	 梁左一去，无人消解崇高            
(5星)	 小的时候暑假就是看这个看过来的，笑得颠来倒去，笑得花枝乱颤，笑得面部痉挛………………超级喜欢……            
(5星)	 遥远的记忆。。。            
(4星)	 京片子速成學習教材            
(5星)	 Best of the best.            
(4星)	 开山之作呵            
(NA)	 最爱片尾曲，爱是一句无声的诺言            
(4星)	 又見電視再播= =            
(4星)	 小时候我不知道你们干啥呢。其实你们和英达几人一样，是一群靠嘴就能活着的人。            
(5星)	 这几天电视上又再播，看了这么多遍还是很搞笑，经典~            
(5星)	 我下载了音频！！！             
(5星)	 小时候的经典啊~~~            
(5星)	 无法表达我有多爱它            
(4星)	 永远的 我爱我家            
(2星)	 北京人的劣性            
(3星)	 我妈对文老爷子的声音深恶痛绝，凡是有他说话的时候都不想看            
(5星)	 最温馨。还记得和平阿姨的母亲说的那句“木门木门木门……”            
(5星)	 印象极深的一句话“辛辛苦苦30年，转眼回到解放前”~~~            
(5星)	 看了无数次，笑了无数次！            
(5星)	 最喜欢葛优出来那一集            
(4星)	 很温馨的电视剧            
(NA)	 问苍茫大地谁主沉浮！母们母们母们！            
(5星)	 国产情景剧最高峰!!!            
(5星)	 梁左先生太有才了            
(5星)	 每年都看            
(5星)	 大爱 最爱的情景喜剧            
(5星)	 閤家歡劇場等待您全家XDDD            
(5星)	 文老爷子是最大亮点            
(5星)	 半个月里每天晚上躺在床上玩着游戏机连听带瞄的重看完了，真的很欢乐，就是看完后心里有点空空的，意犹未尽。            
(3星)	 电视剧            
(5星)	 这是我的童年记忆之一。            
(5星)	 我，我喝香油！            
(3星)	 6/10            
(4星)	 喜欢文兴宇爷爷。            
(5星)	 人生第一部 没有它就没有童年了            
(5星)	 跟《编辑部的故事》一样具有里程碑意义的中国情景喜剧，一切聒噪都恰到好处。            
(5星)	 比家有儿女好看多了，虽然有拷贝嫌疑但是...不比成长的烦恼差嘛...关凌当时多可爱一孩子啊...            
(5星)	 和老友记一样百看不厌呢            
(5星)	 后来的情景喜剧再也没有这么有笑点了            
(5星)	 温馨温情            
(3星)	 有一个长大的童星。            
(5星)	 老爷子走好 呜呜呜            
(4星)	 小时候还会跟着呵呵的            
(5星)	 非常好看，很温馨的喜剧。            
(5星)	 我爱家长里短的题材            
(5星)	 经典！瑕不掩瑜的语言狂欢，向现代相声的最后一次冲刺。            
(NA)	 经典呢   那时候的电视给人的亲切感现在找不到了            
(5星)	 重温经典~            
(5星)	 突然很怀念            
(4星)	 当时算很不错的情景剧，以后再也没有能超越他的            
(5星)	 太经典了！！！超级喜欢            
(5星)	 09了，世纪之交，又开始怀旧了……小时候对它并没太大的爱，长大后却觉得这片子看几遍都不烦            
(5星)	 不要再说我长得像圆圆了...怒            
(5星)	 依然是至今最喜欢的情景剧            
(5星)	 这也算得童年经典不是            
(4星)	 1、2还是很不错的。            
(5星)	 不管看多少遍都笑得肚子疼            
(2星)	 我一向对情景喜剧无爱。。。            
(5星)	 没法超越的经典，失眠了就看            
(NA)	 上学的时候，每天中午边吃饭边看。。            
(5星)	 童年记忆            
(5星)	 大爱            
(5星)	 中国最好的情景喜剧，一直都是。            
(5星)	 看过这么多情景喜剧 还是觉得 我爱我家 最好看            
(5星)	 中国电视剧史上最牛逼的情景喜剧！！！            
(3星)	 哈哈            
(3星)	 小时候挺喜欢的~~            
(5星)	 经典            
(4星)	 仍然是中国最好的情景喜剧，没有之一            
(5星)	 太美好了            
(5星)	 开创国产情节喜剧的时代            
(5星)	 永遠的經典啊。。百看不厭。。前無古人後無來者，無人能超越它。            
(5星)	 大陆情景喜剧的开山之作，现在看仍不失其魅力。            
(3星)	 曾经一个暑假都在看，好傻啊！            
(5星)	 我都能演了！            
(3星)	 好看            
(5星)	 文爷爷走了哎.我挺想他的，有时候.            
(5星)	 中国室内喜剧的巅峰之作。            
(5星)	 百看不厌！！            
(5星)	 老爷爷走好            
(5星)	 我当年台词都倒背如流啊！这绝对是难以超越的经典！            
(5星)	 不顾老妈阻拦地逢看必笑抽            
(5星)	 大爱            
(5星)	 以后再也没有这么好的情景剧了            
(4星)	 家常小菜，咸淡正好            
(5星)	 笑声在记忆里回响            
(5星)	 情景喜剧不可逾越的高峰~            
(NA)	 我喜欢的文老爷子            
(NA)	 这一家是一个时代的经典            
(5星)	 还有神马好评价的吗！神作！            
(4星)	 中国式的幽默，笑破肚皮            
