http://movie.douban.com/subject/2076923/	花木兰
(5星)	 当时无比喜欢李亮啊~哈哈~            
(3星)	 袁咏仪的花木兰很搞笑呃。            
(3星)	 擦！我小时候都干什么了！又一个没看完的！！！            
(4星)	 小学三年级…            
(3星)	 没人觉得剧中袁咏仪应该和焦恩俊在一起么 =_=            
(NA)	 诶……            
(3星)	 赵文卓的鼻子……诶哟 碍眼            
(5星)	 靓靓~我爱你！【老天搞不定，命运我自己摆平】不说改编得如何，至少里面每个角色都很深刻它就成功了，我甚至所有角色都记得。特别是孙兴的苏吉利太太太搞笑了。            
(4星)	 因为孙兴多加颗星。成亲后的人间烟火慢慢落了俗套。            
(NA)	 那时候就觉得赵文卓好帅！！！现在也好喜欢袁咏仪的            
(3星)	 曾经有几个暑假，它是我的消遣。            
(NA)	 某个暑假            
(4星)	 还不错哦~            
(4星)	 在赵晓琦家看得            
(NA)	 花木兰童鞋很英气逼人。现在袁咏仪生完孩子就不出来了吗？孙兴演得非常十三。。。            
(1星)	 什么时候才能停止粗制滥造？？？？            
(NA)	 片尾曲很好听            
(4星)	 好久的回忆了啊……            
(4星)	 很喜欢            
(NA)	 喜欢片尾曲            
(5星)	 最喜欢的花木兰，我最想成为的人生~            
(4星)	 主题曲是哪个谁唱的吧            
(NA)	 其实李将军是个gay 他错把木兰当成爱人了嘛 呕～～～～            
(4星)	 童年。几乎所有台都在放靓靓。            
(3星)	 木兰之恋            
(NA)	 我最喜欢袁咏仪什么的了。好喜欢那个结尾曲。            
(4星)	 有人说,离家太远就会忘记故乡杀人太多就会忘记自己.在战场上死去,生命像雨水落入大地,毫无痕迹.如果那时候你爱上了一个人,希望会从泥土中重新绽放,热烈的拥抱生命.......             
(4星)	 从动画片到电影，从电影到电视剧。悲情也好，喜剧也罢，花木兰总是经典。            
(NA)	 袁咏仪不错不错            
(NA)	 若不是苏吉利我怎么记得住英吉利海峡            
(5星)	 阿靓与孙兴，正。            
(4星)	 怀旧下            
(NA)	 小时候看这个的时候还是很精彩的~            
(3星)	 当年看这片的时候觉得赵文兴好帅啊            
(4星)	 这一版很欢乐嘿嘿嘿            
(3星)	 赵V演的很好呀。很内敛很有力的，不象网上听来的那么差，我烦的是剧情，有点太扯了。这样的历史体裁要插入感情戏是难了一些，想脱俗，结果改成这样，挺遗憾的。还有VITAS居然惊鸿一瞥，真可怜哈哈。            
(5星)	 很赞  有些神话的色彩 也很搞笑 我最喜欢了!!  配乐也不错            
(4星)	 为至今没有看到最后几集李亮揭穿那个spy而抱恨啊抱恨~~赵文卓帅呆了！！！            
(3星)	 袁咏仪很适合这个角色            
(4星)	 为了看这部还跟爹娘谈判来着，主题曲天下大乱很好听，从此萌上苏慧伦的声音，剧情稍微有点狗血。印象中这部剧的美术做得不错。            
(3星)	 记得歌不错            
(NA)	 有那么难看么？我觉得挺好            
(4星)	 于除主角以外的任何角色都挺喜欢的 特别印象深刻的是苏慧伦的片尾曲            
(NA)	 补：孙兴才是亮点！            
(NA)	 很喜欢啊.....完了完了刚刚忘了它了            
(4星)	 赵文卓。。真的很帅。。            
(3星)	 喜欢袁咏仪。            
(4星)	 袁咏仪英气            
(3星)	 = =哈哈哈哈哈哈哈            
(3星)	  不好看呢            
(5星)	 我很爱苏慧伦那首歌啊……            
(4星)	 ahaha  袁姐~~~            
(3星)	 记得和妈妈，黎家旺看的！！我爱你们            
(4星)	 喜欢片头片尾曲哈~            
(3星)	 高中时很爱看（呃，暴露年龄咯），喜欢赵文卓杏感的嘴唇……            
(4星)	 初中港剧的启蒙教育，不错的受教            
(2星)	 讨厌= =            
(NA)	 感觉好神的            
(NA)	 看过一半……            
(4星)	 看完大爱袁咏仪，但整剧婚后那半段实在败笔了一点~孙兴大亮，刘孜大碍（就是妨碍的碍）！！            
(3星)	 苏吉利到位。            
(3星)	 又臭又长            
(3星)	 闹            
(NA)	 好看啦~            
(4星)	 赵当时挺俊的            
(4星)	 那会我喜欢赵文卓的颜……            
(3星)	 貌似当时也看的很痴迷            
(4星)	 不错的。            
(4星)	 好久了哈~            
(4星)	 小时候觉得袁咏仪是那么漂亮，赵文卓是那么英俊，孙兴喜剧得那么悲剧            
(4星)	 原来这个也是……            
(3星)	 下部有点裹脚布            
(5星)	 忧伤的结尾，难释怀木兰看着爱人背影的眼神            
(3星)	 小时候还挺喜欢看的            
(5星)	 小时候看的,超喜欢啊啊啊~孙兴~~~赵文卓~~啊啦~            
(NA)	 很多年前看的电视剧，也忘记了情节。            
(5星)	 美好回忆 老天搞不定 命运我自己摆平            
(5星)	 我小时候的最爱啊            
(NA)	 记得当时一早起来看这部戏，只为了靓靓~~现在老了，要睡到下午才能起来了，新年愿望，重拾年幼的好习惯            
(4星)	 歌曲好听            
(NA)	 我小时候很爱看诶~            
(3星)	 喜欢的题材，参杂了一些小俗。            
(4星)	 记得是挺好看的            
(3星)	 赵薇太傻了            
(4星)	 无比喜欢~！            
(4星)	 回忆~回忆~            
(NA)	 电影还没看过 这部电视剧看过的 XXXXXXXD            
(4星)	 超愛孫興啊哈哈            
(4星)	 萌就好了嘛……            
(5星)	 爱这种大家风范的女人            
(3星)	 小时候的梦想之一是嫁给孙兴……            
(5星)	 我爱赵文卓            
(4星)	 现在回头看这部剧，刨去主角，演员阵容也强大到了一定程度。豆导在康熙回忆：出演是因为杨佩佩的邀请盛情难却，但没想到只是这样一个角色，屈中恒就坐在他对面笑。            
(4星)	 挺好看，反复看也看不厌            
(NA)	 我也有懦弱的时候挺好听。            
(NA)	 记得当年超级爱那首片尾曲            
(2星)	 够了            
(4星)	 觉得他俩在这部剧里超配的！！            
(2星)	 天不灵地不灵 天下大乱发神经            
(NA)	 经典 非常优秀 从军很好看  木兰是个好姑娘            
(NA)	 喜剧类型的。            
(3星)	 我很早看过这次暑假JS？还杀又在放，不过没有字幕很是不习惯            
(NA)	 电视里又在放唉～            
(4星)	 百看不厌。            
(NA)	 一直觉得赵文卓像个大猴子。            
(3星)	 我竟然看过……            
(4星)	 我不怕死 但是我怕痛            
(3星)	 只是比较喜欢里面的孙兴            
(NA)	 袁~！            
(3星)	 又是个童年回忆~~            
(NA)	 袁咏仪            
(5星)	 孙兴很可爱的 这样的男生多好哇            
(5星)	 有人知道片尾曲嗎？找了好多年了！            
(5星)	  就冲他们仨            
(3星)	 前阵子还回忆下            
(3星)	 为什么会记得...            
(2星)	 对这部剧完全不感冒，尤其是大冬天，穿得臃臃肿肿的，说话冒着气，不灵不灵啊            
(4星)	 还不错呢            
(5星)	 全家都很顶这个片子            
(5星)	 love best            
(3星)	 木兰代父从军的故事...            
(2星)	 一个K老的荤笑话说的是：木兰在战场上来例假，失血过多昏了过去...醒来后，将军泪眼汪汪地望着她说，JJ已经被敌人砍掉，但伤口终于缝合了... ...            
(3星)	 电视上断断续续地看过一些。            
(3星)	 喜欢            
(5星)	 女人的另一张脸，我太中意啦～            
(4星)	 真的是我小学时候唯一的精神支柱。。。            
(4星)	 中学时，晚上偷偷看，很有意思            
(5星)	 童年的回忆，真的是一部不错的片子，到现在还会觉得很好笑呢！超喜欢恶搞的孙星~            
(3星)	 袁咏仪永远可爱之极            
(4星)	 那时候看的是北京有线播的            
(4星)	 太搞笑了...董晓燕...            
(NA)	 当初闷在家也很喜欢看             
(5星)	 小時候的經典啊。超喜歡的劇，蘇慧倫的歌也好聽!!            
(NA)	 曾經覺得趙文卓很man，後來才知道他原來是梅艷芳的男友            
(3星)	 哈哈~小时候的我好无聊哈哈~            
(3星)	 还挺好笑的前面            
(NA)	 花木兰            
(4星)	 小时候很爱很爱            
(3星)	 看过            
(NA)	 我喜欢袁咏仪            
(1星)	 杨佩佩最SB            
(4星)	 那时觉得袁咏仪还飒爽！孙兴好有爱            
(4星)	 李亮有法海的影子。。。            
(3星)	 无聊时跟着阿姨看的            
(5星)	 喜欢里面的爱情和男主角            
(4星)	 um，那个片尾曲很好听。那个我很想变成木兰和将军在一起。当时看他们那个样子揪心啊~~            
(4星)	 讲不清楚 就是觉得很喜欢那个画面那个感觉 很独特的样子            
(NA)	 從小崇拜花木蘭~            
(5星)	 这个就很好看了~            
(3星)	 其实孙兴比较逗            
(4星)	 傻傻的~嘻嘻……            
(4星)	 挺搞笑的            
(4星)	 不错不错不错..            
(4星)	 很早以前看的了，还可以吧！主要记得孙兴他们的搞笑了。。。。            
(3星)	 路有冻死骨，朱门狗肉臭。。。记得这句台词。。            
(NA)	 最喜欢看的，就是李将军发现木兰原来是女儿家~~            
(2星)	 补遗            
(4星)	 俺只是觉得一部片子里既有赵文卓又有焦GG真是好晃眼啊            
(5星)	 对花木兰各种佩服！！！但是，很好其，她大姨妈神马的，怎么会不被发现呢？            
(4星)	 上部比下部好看，孙兴很搞            
(4星)	 比电影好看多了！！！！！            
(NA)	 看完这个之后我就觉得再没看过袁咏仪            
(5星)	 主要还是想看搞笑的段子            
(3星)	 小时候和外婆一起看的            
(3星)	 我一直觉得这是一部台湾的电视剧 所以我觉得卡司阵容很奇怪 怎么会有袁咏仪。。。            
(5星)	 生女当生花木兰！            
(4星)	 三星半四舍五入，要是像时光一样是十星评分制多好            
(4星)	 我只喜欢前半部的喜剧的说。。。            
(4星)	 那个时候的赵文卓和袁咏仪很年轻，很帅，很美。。。            
(NA)	 这个 里面好像有神仙            
(4星)	 演员合我胃口。            
(5星)	 真心喜欢袁咏仪版的花木兰，英气十足啊！话说那时候真是喜欢李亮，觉得男人就应该是这个样子的！孙兴绝对是亮点，太棒了！还有那个小妹妹，可爱~            
(4星)	 记得孙兴很搞笑            
(NA)	 哇 好古董 我居然看过            
(4星)	 天下大乱            
(3星)	 长的不得了            
(3星)	 没看完，呵呵。印象最深的是孙兴的JJ被袁咏仪看到，袁咏仪说看到了蛇= =            
(3星)	 电视剧~            
(3星)	 和梁山伯一样，他先爱上一个男人，又爱上一个伪娘，最后无奈接纳TA的女儿身，凄美的爱情故事。            
(4星)	 又找到一部美好的老片。可惜，苏吉利扮演者孙兴吸毒了。唉，物是人非、            
(4星)	 除了配音有点受不鸟，其他都很好。            
(NA)	 好看！！！！！！！！！！！！！            
(3星)	 囧            
(5星)	 造型真的狠生活啊，有真实感。活生生的花木兰。            
(4星)	 我心目中的花木兰不是这样的。。但小时候还是觉得好！看！            
(5星)	 原来看我过这么多电视剧——寒假播的，让我好喜欢袁咏仪啊！            
(4星)	 那时候好喜欢孙兴的，还有豆导，以及那个谁谁 有爱的角色太多。袁咏仪太适合这个角色~            
(4星)	 喜欢。。。。估计是杨佩佩弄出来的            
(2星)	 烂            
(4星)	 袁咏仪的花木兰真是深入人心            
(4星)	 当年很喜欢赵文卓演的李亮            
(5星)	 袁咏仪和赵文卓多般配啊 孙兴和那个小姑子也超级可爱            
(4星)	 孙兴好有爱            
(NA)	 嗷，小学时候看的！！！！            
(5星)	 只到过几集，是夜里很晚才放。但感觉很好。            
(3星)	 军旅！女扮男装！！兄弟变情人！赵文卓！袁俏俏！我这个激动啊！！！。守在电视前，就指着出点感情戏，电光交错、干柴烈火啥的，结果啥也没等着，哼！白瞎焦恩俊这个大配角了！            
(4星)	 以前的电视剧为什么这么好看呢            
(4星)	 “我叫花木澜，波澜壮阔的澜”小时候看到觉得花木兰真有才。。。            
(3星)	 就是不喜欢赵文卓！            
(5星)	 好像是初中时期看的  也算那时的大爱            
(5星)	 喜欢这样调调的古装~~~孙兴太逗了~~~            
(NA)	 童年            
(4星)	 孙兴那小兵演的很搞笑            
(NA)	 苏吉利            
(5星)	 袁咏仪的花木兰！！！            
(NA)	 初中时候            
(4星)	 当年有很长一段时间都受这种巾帼英雄精神的影响。。。。            
(3星)	 感觉孙兴特别搞笑！印象最深的就是他。            
(5星)	 袁咏仪的花木兰超级赞!!!            
(NA)	 依稀记得陈慧娴《飘雪》            
(3星)	 小时候满爱看的，前段时间无聊又翻出来看了一遍。哎。就花木兰你一娇羞我就很难受- -            
(NA)	 我记得这个是不是有花木兰为人妻后的家常里短？            
(NA)	 记得当时看的时候表哥就一直在说，嗯你们上了初中也要学木兰诗的。然后就记住了唧唧复唧唧            
(4星)	 当年那是相当~喜欢的            
(3星)	 孙兴好嘈~            
(3星)	 对主演的扮相有印象。            
(3星)	 童年啊            
(4星)	 对三位主角印象特别好            
(5星)	 哎买乐死了当时            
(2星)	 这戏莫名其妙            
(4星)	 又是小时候            
(4星)	 当年我多喜欢这些人！            
(NA)	 恩恩 偷看的时候被发现了            
(4星)	 木兰为女郎发展了多少曲折故事啊            
(4星)	 这是小时候我妈给我租的第一套碟！！            
(4星)	 好像里面孙兴很搞笑的 灶神？            
(5星)	 最好看最温馨的花木兰版本~~            
(4星)	 那时候觉得可女人味十足，突然又能很男人并肩上战场，好厉害的女人。            
(4星)	 唧唧复唧唧，木兰当户织……            
(4星)	 我只能说，袁咏仪是我心目中的女神。            
(5星)	 袁咏仪永远是我心里花木兰的不二人选！            
(3星)	 原来这部剧居然这么腐！我居然没看出来....袁咏仪赵文卓孙兴都各种美好！            
(3星)	 小學的時候還挺喜歡看??!!!!            
(3星)	 孙兴太抢戏了！            
(4星)	 我爱袁咏仪啊~~~            
(5星)	 小时候特别喜欢！            
(4星)	 小时候的最爱！            
(2星)	 断断续续的看几集            
(3星)	 对于孙兴的影响仅仅停留在这部剧中···            
(4星)	 我喜欢孙兴和屈中恒演的那两个 好可爱呀            
(NA)	 看的不完整            
(2星)	 磨叽磨叽磨叽！            
(NA)	 当年还很青涩的袁咏仪            
(5星)	 天啊..我都忘了我看过这部片...守着县电视台看了几遍...真是太经典了...里面的两个妈演的太好了...            
(4星)	 小时候除了玩就是看电视。            
(4星)	 都快没有印象了。            
(4星)	 小时候看过 呵呵 仅作怀旧了            
(4星)	 孙兴演得好..可惜在剧中好杯具            
(3星)	 当年就说这个花木兰怎么这么美啊，男女皆宜啊，原来是靓靓，赵文卓当年也是真酷啊，孙兴很有爱，现在的电视剧很少有这么经典的了            
(4星)	 好看的 尤其是苏吉利             
(3星)	 喜欢袁咏仪            
(4星)	 小时候很喜欢            
(NA)	 小学看过            
(4星)	 好像小时候和妈咪一起看的囧            
(5星)	 回忆满满啊！！！喜欢那个歌~~片尾还是片头也是来着？忘了。。            
(5星)	 那时年少各种剧~            
(4星)	 喜欢孙兴            
(3星)	 还好~            
(3星)	 有搞笑成分是亮点。            
(3星)	 看的时候觉得挺好看的 情节也不错 但是却不想再看一遍            
(4星)	 造型太作孽。            
(4星)	 很好看！            
(4星)	 好碰友，一辈子            
(5星)	 不错的一部电视剧！            
(3星)	 现在想来应该是有点雷的，但是当年觉得挺好看的            
(NA)	 =-=记得片头曲第一句，老天搞不定，然后什么天下大乱发神经。还有片尾曲，我心底里的世界却不一样 我也会徘徊也会失去方向 我不是你想得那么坚强。            
(4星)	 冬天拍的，人物都穿的很多很冷的感觉。虽从没完整的看过上部，但还是觉得比现在的戏有趣多了，这么长都百看不厌。动作戏也很有看点，苏吉利和伊人表妹，哈哈哈。            
(3星)	 赵文卓很帅            
(3星)	 隐约记得些。            
(3星)	 算是看这电视长大的吧 苏吉利最亮            
(4星)	 美好的记忆            
(5星)	 赵文卓大帅啊里面！！            
(3星)	 其实 剧情挺扯淡的……貌似神仙都出来了……            
(5星)	 焦恩俊~为了看着句话，半夜一个人乐的跟什么似得            
(4星)	 我爱苏吉利~~~            
(5星)	 挚爱电视剧.以前的电视剧真好看            
(4星)	 挺好看了，当年开足马力不屈不挠的追剧啊            
(3星)	 这个版本的花木兰还是留个我挺深的印象的。            
(4星)	 小时候的记忆深刻啊            
(5星)	 苏吉利真是太搞了            
(NA)	 我咋觉得那会我刚上初中捏……            
(3星)	 以前的电视剧真的特有意思 搞笑起来也不做作。            
(3星)	 袁咏仪，咳，真英俊。。            
(4星)	 哈哈，觉得赵文卓太帅了，孙兴在里面也超级搞啊            
(5星)	 我曾经很喜欢这部，当初是跟还珠2一起播出的，以至于到现在我也不知道还珠2讲了什么。            
(4星)	 当年觉得袁咏仪和赵文卓好配啊            
(4星)	 女扮男装什么的最萌了            
(5星)	 小时候偷开电视看的。。哈哈            
(3星)	 小时候那么喜欢，现在看却看不下去了，因为我开始喜欢于承恩将军……            
(4星)	 苏吉利！            
(5星)	 小时候超爱看。。。            
(NA)	 赵文卓神马的 李亮神马的             
(5星)	 年轻时很喜欢的            
(5星)	 李亮跟花木兰都是理想型！小时候好爱这部剧啊=口=            
(NA)	 - -原来这个也看过啊……            
(5星)	 泛滥的小学时光            
(2星)	 郁闷的剧            
(NA)	 小学五or六年级。            
(NA)	 哈哈哈！！小时候在外婆家看的啊啊 啊            
(NA)	 记得感觉很《倚天屠龙记》            
(4星)	 当年一直在跟啊            
(5星)	 从这开始喜欢袁咏仪的，虽然特别不靠谱            
(3星)	 其实最看不惯的就是里面没有美感的大棉袄...唉，谁让姐姐喜欢呢~            
(3星)	 哈哈~小时候觉得赵文卓蛮帅呢~            
(5星)	 记得是读初一那会儿看的，放暑假，每天都看到很晚，看完第二天就和好姐妹们聊剧情，那叫一个热闹啊!现在好怀恋啊！            
(3星)	 声音很难听            
(4星)	 总是扮男人的袁咏仪。真不喜欢这个添乱的女主。            
(2星)	 喜欢董晓燕……别的……都……唉……            
(4星)	 哈哈小时候很喜欢看            
(4星)	 赵文卓帅哆哆以及搞笑孙姓少年哇！            
(NA)	 孙兴是亮点~            
(5星)	 苏吉利太搞笑了            
(5星)	 很搞笑的一部片子 特别是小吉利 哈哈哈哈            
(3星)	 真扯。。。            
(4星)	 这片子重复看了几遍啊，那时候靓靓真美啊，对比这次新水浒。。。            
(4星)	 孙吉利啊 最大的亮点             
(4星)	 好看、好玩、怀旧。            
(3星)	 茅神            
(3星)	 小时候觉得袁咏仪美死了！！            
(3星)	 后来都仙了，记忆里感觉有点扯            
(5星)	 那个时候非常喜欢李志奇还不知道是李志希~~            
(4星)	 喜欢里面的音乐 喜欢 小吉利            
(5星)	 赵文卓绝世好男人&gt;&lt;孙兴很搞笑，灶神什么的，哈哈哈哈！！            
(5星)	None
(4星)	 好看呢            
(5星)	 袁咏仪太适合这个角色了            
(3星)	 小的时候很喜欢            
(4星)	 当年可是很喜欢这剧的呢。当年的配音也很不错，那时就很喜欢咏仪和赵文卓，或许也是影响了我们吧~ 一代巾帼英雄！            
(5星)	 谁在上面擀面啊！            
(3星)	 嘿            
