http://movie.douban.com/subject/2296675/	镜花缘传奇
(2星)	 小时候看谁都美的年纪尚觉得女主很丑，长大了更是如此。不知道是不是潜规则来的，其余随便哪个酱油仙子也比女主强百倍。今天无聊来回顾了11集，原本觉得普及历史部分做得很好，后来也变狗血了，风仙的女演员固然好点儿，但长相太凶，笑的时候也给人笑里藏刀的感觉。男主太矮，还画眼线，大脸怪。            
(5星)	 小时候很爱            
(5星)	 小时候超喜欢的！            
(4星)	 主题曲记得可清楚了···            
(5星)	 童年的回忆。突然看到桃子想到她像里面一个女主角，于是想起这部电视剧，小时候觉得很好看，也曾读过原著。很想回味一下            
(4星)	 俺特喜欢女二            
(3星)	 认识了汪明荃的片子。那时候很喜欢百花仙子。。。            
(3星)	 小时候            
(4星)	 怀念            
(NA)	 记得那个暑假 在奶奶家 三个小弟儿 爷爷奶奶 还有我， 晚上无事打发时间的就是这部电视剧 剧情不重要了   我想念的是那种温暖安心的感觉            
(3星)	 斜视林之洋            
(4星)	 一直记挂着的            
(4星)	 小时候特爱看            
(4星)	 看过一点，很不错。            
(4星)	 一部神话色彩很重的连续剧，但是很好看。            
(4星)	 最近重温了一下，还是蛮经典的就是女猪实在太丑……            
(4星)	 以前看得津津有味！            
(4星)	 哥小时候每天追着看！！怀念啊！！            
(4星)	 很小时候看的片子了 只记得小山一个这一个名字了            
(5星)	 小时候的记忆。那时觉得金童和百花仙子的爱情特别美好。也是从那个时候开始知道《镜花缘》，开始看这类的作品。            
(3星)	 感觉那会看就挺雷人的啊！~            
(NA)	 难怪当年我喜欢看   完全改成了一个爱情故事            
(5星)	 没错！我在看            
(3星)	 其实感觉是个非常好的题材。可惜里面的主演不好看。后面的内容都不想看了什么时候能重拍就好了            
(5星)	 原来正直90年出生的我小时候看过这么多这么经典的电视剧啊……            
(5星)	 小时候的回忆啊~  还有达叔~            
(3星)	 这部小时候多少爱看啊，片头还有漫画人物啊，那时候的电视剧啊。。。可惜男女主都没红的样子。。            
(4星)	 小学超风靡，那什么什么百花仙子            
(3星)	 香港人对于名著的改编我一直难以认同，真有那么多自己的想法就不要假借名著来拍，自己搞原创去。每每要用名著打招牌，却不尊重名著本身的发光点。            
(NA)	 当年因为看了，这个一个晚上把小说看完了。。            
(3星)	 汪明荃饰演的武则天还不错            
(4星)	 小山承志，我还会唱这个歌呢~            
(4星)	 记不出了            
(NA)	 记得前半部很好看，后半部好啰嗦            
(3星)	 对这部其实印象很深            
(5星)	 需要重温，刘以达超萌啊。            
(4星)	 这部电视剧勾起我小时候的会回忆，当时只记得好像明星很多，画面很美，音乐很好听。现在才发现那是一份心的触动，找不回来了。如诗如画，回味悠长。高质量啊......            
(NA)	 原来超喜欢看            
(4星)	 小时候看的，当时就觉得姜大卫好帅……，而且很喜欢镜花缘这么诡异的故事            
(5星)	 经典！仙女都漂亮极了！唐小山。。还记得有个透明的鲜果子~风仙真心美。            
(4星)	 当时觉得金童特帅......................................            
(5星)	 经典不解释！            
(5星)	 原来是这个题目，找的我好苦            
(4星)	 我又在看了。。- -。            
(4星)	 小时候看过   当时就向往            
(4星)	 那时候特喜欢  暑假就天天蹲家里看了··            
(4星)	 为什么长成那样也能演百花仙子，风仙明明比较漂亮清纯好不好？！记得主题曲很好听            
(5星)	 五颗星打给童年的回忆 今天突然想起来 嗯 当年的感觉还是一样的            
(3星)	 原来是港剧？怎么记忆中那么国产？            
(4星)	 突然翻到这个片子，当初看得真是那叫一个痴迷，后来再播被里面的人物造型雷得天翻地覆，但里面有尊啊            
(5星)	 真心喜欢风仙雨师这一对= =  虽然好虐啊  话说程金凤的名字是不是有 “金风玉露一相逢”的意思在里面呢            
(5星)	 太经典            
(4星)	 镜花缘多好啊干嘛不多拍几版，西游记三国有啥好翻拍的            
(3星)	 女主貌似是李司棋的女兒？；那個黃宇詩長得實在是 = = ；裏面有些造型現在看起來，雷了            
(5星)	 赞赞赞！！！ 后来问了好多人都没看过 就我和我姐看过   好伤心的~            
(4星)	 其实我很喜欢男女主角……            
(NA)	 太感动了 终于找到了~            
(4星)	 记得            
(5星)	 至今记得汪明荃的武则天 至于男主和女主么 不喜欢            
(4星)	 这剧原来这么多明星啊。。。当时还是从头看到尾的。。。现在就记得百花仙子和金童了，还有雷公电母了。。。那个风仙雨师啊……            
(3星)	 香港真的不适合拍中国神话剧 拍了也不适合给大陆的人看 实在是太脑残了            
(4星)	 矮油 这部片 太神奇了   尤其是哪个金童和什么花神   你们让美女帅哥情何以堪啊            
(5星)	 传说故事很好。            
(4星)	 白瞎那么强大的阵容呀！            
(5星)	 小时候的回忆啊=-=我最近又翻出来在看了            
(5星)	 都忘了哪些人长什么样了，好想再看一遍            
(4星)	 小时候好喜欢看~！            
(4星)	 与小时候看的相比,另有一番风味            
(4星)	None
(4星)	 哈哈，女皇是星星狐转世            
(3星)	 男女主角还可以再丑一点吗? 但是基本上故事和书比.没有太多违和感.            
(3星)	 有本小说叫镜花缘不知跟着片子有没有关系，因为我没看过那小说。小时的审美很怪，觉得小山比风仙漂亮，因为风仙是坏女人。、男猪没什么印象了，隐约的记得一个叫唐敖的人。            
(4星)	 金童终于没有和玉女在一起!!            
(3星)	 总觉得无语又怨念。。。            
(5星)	 好怀念的片子，喜欢小山，^_^不过里面的演员后面都没出现过了，不知道为什么尼            
(3星)	 童年啊童年~~谢谢湿胸呢！我又想起来看了起来~~捂脸！            
(4星)	 主题曲印象深刻！            
(3星)	 这我看过，肯定看过！            
(3星)	 当年太喜欢了，觉得那个胎记根本不影响她的美。            
(4星)	 那時候覺得小山那個美啊~~~~怎麼又這麼么美的姑娘啊~            
(3星)	 百花仙子美~            
(2星)	 看了个头 看了个尾，完全不知所云            
(5星)	 年幼时的我多么喜欢那一对歪嘴男主和大脸女主啊，我从小就是主角控~！            
(NA)	 童年美好回忆 ~            
(4星)	 里面悠扬的插曲现在还记得            
(5星)	 小时候可爱了            
(4星)	 不敢回头，怕幻灭。            
(4星)	 很久 很怀念            
(NA)	 讲的什么都忘了  只记得小时候做过一个关于这个的噩梦    虐！！            
(4星)	 上小学的我根本不知道里面竟然会有这么多大碗，汪明荃，曾志伟，姜大卫，刘以达，哪个不是传奇。可是，那时候的我只萌小山和金童。            
(5星)	 这个好看的一逼啊！！！            
(5星)	 好，当时很喜欢            
(3星)	 小时候还挺喜欢看的            
(3星)	 小时候超级迷恋            
(2星)	 童年            
(4星)	 哈~小时候觉得那么好看来着。。            
(2星)	 合拍片，不解释            
(NA)	 似乎还有个漫画版 现在看这个片真是明星云集            
(4星)	 追了很久才看到结局。            
(5星)	 97年的！！！！！            
(4星)	 小时候就是喜欢这种style- -            
(4星)	 很小的时候看觉得真是好看。还为此去看原本的《镜花缘》。现在看看，觉得画质好差，人也不咋的。时代在进步啊。。            
(4星)	 小时候只要是古装神话神马的都觉着好看。。。            
(NA)	 喔，其实我觉得还不错啦，尤其是刘以达太好玩啦啦            
(2星)	 我真没看懂。            
(3星)	 只有一点点印象了            
(3星)	 镜花缘.......            
(4星)	 女猪太丑            
(4星)	 我觉得挺好看的            
(4星)	 演员阵容真是强大啊 小时候看的~            
(3星)	 回头看，有点糙。            
(4星)	 十年过去了，看到百花仙子们最终坐化飞天，依旧是满眶热泪啊            
(4星)	 小时候觉得男猪脚特帅，现在真是不堪回首。。。。            
(3星)	 哈哈~            
(5星)	 小时候很爱看。不过记得播放这剧的电台不多。            
(4星)	 神乎神乎的电视剧，突然想起来小时候被迷地一愣一愣。            
(5星)	 想重看一遍呢~~~            
(NA)	 歌不错            
(4星)	 這個我看過啊~~~當時超喜歡的~~~~            
(3星)	 就记得有这么部片子了            
(4星)	 夏天凉席的记忆，当时神话剧中算打扮齐整了            
(4星)	 很久远的回忆了~书也特意看过~画面人物就包容了~应天机~缘也~业也~当年真的是忽悠到我了~以至今天想起大概地回顾一番~            
(4星)	 继续怀旧......原来有姜大卫啊我都不记得了            
(4星)	 小时候觉得特好玩            
(NA)	 只记得改编改得整个面目全非，不过比原作狗血很多，不错～            
(4星)	 嫌小山不够漂亮当时，但还是很喜欢这剧，坏女人很迷            
(4星)	 小学时候看的啊，啊啊啊啊            
(4星)	 虽然现在看，造型什么的都挺雷。还是怀念~~~小时候真的好感动好喜欢~~            
(5星)	 花非花 主题曲 好听啊~~~            
(5星)	 小時候很喜歡的一部劇            
(4星)	 好老好老好老，好像过了几个世纪了，那时候坐在几张麻将桌的夹缝里看……            
(4星)	 呃，改编的算是面目全非了但也不能说是太差其中让人十分郁闷的冗长的对话其实是一种理念的表现但是，确实有时候太冗长了男女主角都不错            
(5星)	 挺好看的，不过没想到居然是ATV的……我还以为是内地的呢……晕……            
(3星)	 当时还特想看原著 借到又失了兴趣..            
(3星)	 好像是看的第一本奇幻电视剧。            
(4星)	 某个暑假因为返校没看到结局，过了差不多十年在快播看完，只能说结局太俗了点，让我一直惦记啊，ATV最有印象的剧，内地取的景，还是很不错的            
(4星)	 小学时候看的~~~印象蛮深刻的~~~歌很喜欢的说~            
(4星)	 迷恋的只是当时的感觉啊。。。            
(3星)	 完全为了姜大卫            
(5星)	 小时候不知道有多喜欢            
(4星)	 现在回想起来好像是一集都不拉的看完了            
(NA)	 那首叫《花醉》的旋律别提有多好听了，现在看来歌词也很棒            
(4星)	 童子ntr蝙蝠哥，大妃子被淫娃荡妇ntr，小弟下克上哮天犬……好多属性！            
(4星)	 我的童年啊 这片子其实故事很有意思            
(4星)	     也许在现在看来，有些雷人，有些幼稚，但绝对是经典。百花仙子与金童从为情所困到看透情爱，这到底算是一种圆满，还是一种无奈呢？            
(3星)	 好喜欢主题曲，听来还会哭。            
(NA)	 小时候美好回忆  大爱啊~~~ 哈哈 不知道翻拍会是什么样子            
(4星)	 我只记得当年很喜欢            
(4星)	 小时候超级喜欢呀            
(3星)	 据说是有达叔的？            
(5星)	 小学时县里的电视台没把结局放完整，以为小山和金童没在一起哭得那个肝肠寸断，内心一直无法接受，后来云南台重播终于看到小山和金童手握手，那个开心呦。这是一部年少的我花了许多情感的电视剧呀            
(4星)	 小时候的美好回忆，现在受不了男女主角的甜言蜜语了。总的来说还是不错的一部剧~            
(NA)	 我超级喜欢的            
(5星)	 封神榜+西游记+动漫化人物=在搞笑中布道传佛的神话。忽略纯得无语的男女主角吧，看一堆大牌配角飙戏就够了。“似花非花，似梦非梦……因果皆是缘，何须曾约定……留下个真笑容。”            
(3星)	 我当然记得尊叔演百果大仙啦，可是这剧主要扯的是风仙金童花仙的事啊，看着郁闷。            
(5星)	 简直是我童年的梦。            
(3星)	 突然想看 竟一直看完 呵呵            
(3星)	 古老的回忆，女主一点也不好看，还是喜欢牡丹仙子和芍药仙子            
(5星)	 回忆呀~            
(4星)	 小时候很喜欢看、~            
(3星)	 只记得女主角没有女二漂亮            
(NA)	 又是一个分不清自己喜欢的是谁 自己给自己找了好几辈子麻烦的女人            
(NA)	 很小的时候看过            
(4星)	 为此，我买了《镜花缘》这本书！            
(NA)	 似梦，非梦~似花非花~还会唱呢            
(NA)	 花落花开遍遍红，唯有芳心载不动，却将纷扰风吹散，留下个真笑容。这恰好能回答金世遗和厉胜男，一切不过镜花水月，必有云散对吧...我还是觉得不值得            
(4星)	 美和认同            
(NA)	 除了名字和电视机前的伙伴们，其余全无印象~            
(4星)	 为姜大卫加到4星～            
(5星)	 好！好！好！            
(3星)	 就是记得有这么部姜大卫演的镜花缘，讲什么完全不记得            
(NA)	 怀念九阴真经的姜大卫            
(5星)	 我喜欢。            
(5星)	 其實已經記不得內容了但是童年最記掛的一部..大概因為沒有重播到濫..            
(3星)	 阿达很钟意~            
(5星)	 记忆中对这部剧的情节幻想的很美好 好不容易想起名字找到这部电视剧 一看就傻眼了 那个时候的演员啊选的还真是随便啊...            
(NA)	 那时放假每天窝在沙发看。。。            
(5星)	 那时侯爷爷和我都好喜欢看呐。            
(4星)	 小时候的回忆            
(2星)	 看过几集            
(5星)	 相信缘分            
(4星)	 其实有些地方还ok,众多重量级绿叶简直让人目不暇接,连配乐也不错,可惜啊,导演您是怎么选主角的啊/加一星,给汪氏女皇和姜氏百果,恩,还有婉儿和莫名的那一段情            
(NA)	 似梦非梦 似花非花            
