http://movie.douban.com/subject/2154868/	戏说乾隆 戲說乾隆
(4星)	 记得小时候这个总在演。。。            
(4星)	 我要是有郑少秋那么长的脖子就好了……            
(3星)	 为什么只记得赵雅芝了。            
(5星)	 童年记忆阿……            
(5星)	 全凭当年的感觉            
(4星)	 戏说的开山，从此古装戏剧也开始迎合大众的观赏口味，而不是正襟危坐搞严肃。当时的赵雅芝迷倒了一大批的观众，无论男女老少，她的美貌可以征服所有观众。经典的影视剧是可以经受岁月的考验的。            
(NA)	 山川载不动太多悲哀，岁月经不起太长的等待。            
(4星)	 据说那个时代这个很好看,反正我看了……            
(4星)	 还是美丽动人的赵阿姨            
(4星)	 额滴神啊~幼儿园的回忆~~            
(NA)	 还是小毛孩的时候            
(NA)	 白素贞的前世作品            
(5星)	 经典。只为。山川载不动太多悲哀。春花最爱向风中摇摆。            
(4星)	 把戏说演绎成一种风格，非他莫属~            
(4星)	 秋官娶雅芝嘛            
(4星)	 集集不落            
(5星)	 小时候最喜欢@            
(5星)	 现在我电脑里面还有全集..哈哈哈 太强大啦~            
(5星)	 性启蒙            
(4星)	 配音就那么几个人，真寒碜。曹先生是真正的先生。            
(5星)	 陈淮秀，沈芳，金无帧，三个女人，我最喜沈芳。            
(4星)	 赵雅芝怎么老被人调戏啊...            
(5星)	 童年的每个周末            
(4星)	 小屁孩看不懂，就知道乾隆这个老色鬼就爱乱搞，还专找赵雅芝这一类的，莫非他的初恋是赵雅芝？            
(NA)	 小學。            
(NA)	 问情            
(5星)	 我当年最爱看的电视剧之一啊~~~            
(5星)	 当年这样的爱情真是惹人艳羡。            
(3星)	 哈哈，当时觉得真好看            
(4星)	 主题曲朗朗上口。            
(4星)	 = =            
(3星)	 印象中挺少儿不宜的，哈哈~            
(NA)	 所谓童年...=w=            
(3星)	 这个也是赵雅芝呀.            
(NA)	 现在还记得那主题曲的调调~~~            
(4星)	 很花的乾隆            
(4星)	 郑少秋是儿时白马的梦想打碎于他抛弃了沈殿霞            
(5星)	 经典            
(4星)	 还是喜欢江淑娜的歌声            
(4星)	 小時候覺得趙雅芝真他媽是個仙女～            
(4星)	 山川载不动太多悲哀..岁月经不起太长的等待...继续            
(4星)	 很久以前            
(2星)	 小时候看得没印象            
(5星)	 经典中的经典 很喜欢那个时期的ZYZ和ZSQ            
(3星)	 童年回忆            
(NA)	 当然看过……少秋叔叔～            
(4星)	 反正片尾曲我还是会唱。            
(4星)	 啊呀 那会甭提多迷戏说乾隆了 赵雅芝演的三个女人分别叫什么秀,沈芳和什么真,恩,还是挺好看的!            
(4星)	 经典，尤其是第一部            
(4星)	 以前看过的            
(3星)	 喜欢贾六的配音，很娘的。            
(NA)	 还是老片子好看~~            
(4星)	 春喜。。。            
(NA)	 收着玩            
(5星)	 我記得最清楚的鏡頭居然是兩人抱著從山坡上滾下來。。。            
(4星)	 小学啊            
(4星)	 好吧，我看过我看过我都看过，真是漂亮女人啊            
(5星)	 最爱            
(NA)	 风流倜傥            
(4星)	 萝莉时的回忆TAT            
(4星)	 人生若只如初见            
(4星)	 记忆中看的第一部电视剧啊            
(5星)	 小时候差点就学着乾隆爷留一小辫骑一小马拿把剑微服私访去了            
(3星)	 有惠英红……一点印象都没了            
(4星)	 片头曲一出来就兴奋            
(5星)	 在现在看来这部片仍然难以超越            
(4星)	 有时间再找来看看。。。            
(4星)	 小学一年级看的，长大再看才发现台词还挺深奥，当年是怎么看懂的。。。            
(NA)	 我大一还在看 嗯哼            
(4星)	 其实不太记得内容了            
(4星)	 天大地大，何处是我家~~~  貌似不是这部电视剧的主题曲~~~            
(3星)	 童年。★★★☆            
(4星)	 爱到不能爱~聚到终须散~繁华过后成一梦啊~~            
(3星)	 映像最深的是郑少秋念诗：只恐双溪蚱蜢舟 载不动许多愁            
(4星)	 我只记得乾隆风流来风流去，都是跟赵雅芝阿姨……            
(5星)	 经典            
(NA)	 台词是经典，主演和配角都亮了，两个主演还真是有夫妻相，虽然没有在一起，但是心中有你。。歌也很好听。。最好的回忆。。            
(5星)	 这个怎么没人给重播啊            
(3星)	  让我算算 有15年前了吧 江淑娜好显眼的当时            
(5星)	 我当年迷死乾隆同志了！            
(4星)	 hahhaa             
(NA)	 中了江南苏杭的毒 加上白娘子也中过赵雅芝的毒            
(NA)	 又一个童年阿～            
(NA)	 小时候的记忆            
(4星)	 我真不记得有惠姐姐            
(5星)	 当时每集都追哟            
(5星)	 当年的偶像啊            
(5星)	 就这俩人能折腾出这么多集也不容易            
(3星)	 我是真的忘了怎么回事了。多少年了 &gt;.&lt;            
(3星)	 没啥印象了，不过肯定是看过。            
(4星)	 双鱼男+天蝎女            
(4星)	 片头曲太好听鸟。。至今念念不忘。。            
(4星)	 广告前那段记得很牢            
(NA)	 山川載不動太多悲哀，歲月禁不起太長的等待！            
(4星)	 牛！            
(4星)	 多年后，只对郑少秋还有印象。。。            
(NA)	 竟然挨着生活大爆炸- -            
(5星)	 小时候一直在想 为毛隔一段时间他俩就要装作不认识!!!!            
(4星)	 为什么我那时候喜欢春喜            
(4星)	 饿。。。。很搞笑的。            
(4星)	 很爱宝柱 很爱贾六 很爱小鱼儿 另外很长时间里我都以为 乾隆应该是长郑少秋这样的= =            
(5星)	 无法磨灭的经典纪念!            
(4星)	 怎么都不显老的赵雅芝姐姐啊。。。            
(4星)	 山川载不动太多悲哀，岁月禁不起太长的等待，春花最爱向风中摇摆，黄沙偏要将痴和怨掩埋，一世的聪明，情愿糊涂，一身的遭遇，向谁诉，繁华过后成一梦啊，海水永不干，天也望不穿            
(NA)	 曾经风流倜傥的郑少秋啊！记得此剧播放前的广告是少女时代一直用的“少女之春”广告。广告音乐一响起，就端坐在电视机前乖乖等着了。怀念那个纯真简单的年代。            
(NA)	 少秋人老珠黄咯            
(3星)	 年轻就是一切——给郑叔叔和赵阿姨            
(5星)	 咕~~(╯﹏╰)b我承认，男女主角我都迷恋过。            
(4星)	 春喜~            
(NA)	 江山载不动太多悲哀 岁月经不起太长的等待 我妈最爱，当年的郑少秋和赵雅芝            
(4星)	 省得下次再推荐给我            
(5星)	 赵雅芝美得来，经典，那时候超级喜欢乾隆            
(5星)	 豆瓣知我心            
(NA)	 爱到不能爱 聚到终须散 繁华过后成一梦啊 海水永不干 天也望不穿 红尘一笑和你共徘徊            
(4星)	 记得小时候很爱看            
(3星)	 经典~片头曲到现在还会唱呢            
(NA)	 扇船。。载不动太多被爱。。。            
(4星)	 为什么那个女人一会演她一会又演她= =            
(5星)	 小时候超爱！不过每一部都是赵雅芝演女主角····这···            
(4星)	 美丽的赵雅芝            
(3星)	 只剩下些许回忆            
(4星)	 很小很小的时候看过的            
(5星)	 经典啊～            
(5星)	 清宫戏的祖师爷，哈哈哈            
(4星)	 完全忘记内容了，但清楚记得小时候超喜欢看的            
(5星)	 那一个旋转向下的镜头和问情，我滴童年            
(NA)	 赵雅芝很美，歌很好听。            
(3星)	 基本上为日后张国立的微服私访系列奠定了调调            
(4星)	 我小时候的爱.            
(NA)	 好想再看一次~~~~            
(4星)	 小时候觉得郑少秋是天下最帅的男人，赵雅芝是最美丽的女人了。            
(5星)	 那是是追着看，还流传了好多儿歌，现在已经忘了。            
(4星)	 四爷真潇洒，原来皇帝可以这么演            
(5星)	 姥姥家的旧沙发            
(4星)	 四爷是我灰常灰常爱的男人~~            
(NA)	 赵雅芝，就是经典呀。            
(4星)	 此二人极登对。也未看全。            
(4星)	 如果有时间我会再看一次。那种山盟海誓 声嘶力竭的爱 是从那个时侯植入内心。至今仍会哼其中的插曲。            
(5星)	 经典            
(5星)	 万年美丽的白娘子哦            
(5星)	 昨天刚下了主题曲，怀念死了。赵雅芝和郑少秋，啊啊啊～            
(NA)	 小时候年年暑假播。            
(4星)	 当时觉得郑少秋好帅            
(3星)	 郑少秋最后一次耍帅？            
(5星)	 赵雅芝姐姐完全是小时候的女神！！！            
(3星)	  郑少秋vs赵雅芝             
(5星)	 看的时候还小学呢，迷得一塌糊涂            
(NA)	 貌似郑少秋那时候很帅。            
(5星)	 小时候的挚爱……            
(NA)	 赵雅芝扮演不同的角色，和郑少秋的乾隆皇帝发生绯闻！~            
(5星)	 稀饭那个春喜~~            
(5星)	 儿时记忆            
(4星)	 这个也是小时候看的。            
(4星)	 好想再看一遍……上一次看是在幼儿园的时候……            
(4星)	 又是部经典。            
(NA)	 test             
(4星)	 有点经典。主题曲更是经典。            
(5星)	 儿时最爱。“山川载不动太多悲哀，岁月经不起太长的等待……”            
(4星)	 郑少秋的经典 也放过太多次了            
(NA)	 记忆多么年纪小            
(2星)	 中国香港            
(5星)	 那是小时候的事情了，认为赵雅芝是世界上最美丽的女子，温婉，细腻，端庄，大方。            
(5星)	 小学一年级吧 在西马矿那边看过一些 在家看过一些            
(5星)	 爱！TAT            
(5星)	 哈哈 经典啊！            
(5星)	 小学的时候看的。那时大家都很年轻。            
(3星)	 又一个太深刻的回忆。            
(4星)	 还记得主题歌怎么唱呢            
(5星)	 是郑少秋让我知道风流倜傥这个词啥意思的。。            
(3星)	 小学时期的连续剧。            
(NA)	 难道你们真的没看过？            
(4星)	 恩。花心大萝卜外传            
(5星)	 半夜時常看            
(NA)	 无法超越的清剧            
(NA)	 老子的童年啊 怀念啊            
(NA)	 我小时候看时 好喜欢程淮秀的说            
(NA)	 米脂台啊~            
(5星)	 就爱赵雅芝！！！            
(5星)	 主题歌深入人心啊~~            
(3星)	 其实我喜欢上的第一个大叔应该是郑少秋演的乾隆。赵雅芝姐姐一如既往的美丽。演丫头的贾静雯，后来变成小李飞刀的小红，很有气质！！            
(4星)	 有两部不喜欢~            
(5星)	 当时，为了他俩倒下去，我还好奇来着            
(5星)	 以前鄉下還有很多傢墻上貼有這個畫。。。            
(4星)	 第二部超难看，赵雅芝还是有演技的~~咔咔            
(5星)	 时代的经典。            
(NA)	 以前超喜欢的.那时候觉得郑少秋那个帅啊            
(4星)	 经典啊！            
(3星)	 老片子了  那时我几岁啊            
(5星)	 程淮秀美丽到非常，帅气到非常，皇帝帅到非常，强到非常。那个年代的演员，他和她，应该是我心目中最帅和最美丽的代表了吧。所以，怎么可能不爱这部剧？！            
(3星)	 轰动一时的电视剧，可以看，歌很好听            
(3星)	 郑少秋的古装就是帅            
(4星)	 真好听的主题歌            
(5星)	 程淮秀一骑红尘策马而来，四爷的惊为天人，我也惊为天人。            
(NA)	 好久好久好久以前看过            
(3星)	 这家伙风流的            
(NA)	 郑少秋！赵雅芝！！            
(5星)	 《问情》现在听依然是经典            
(5星)	 能一而再三看的电视剧            
(3星)	 最近又看了遍            
(4星)	 郑少秋啊郑少秋~~嘿嘿 片头曲到现在都记得~            
(4星)	 和姐姐每次必学的动作！！            
(4星)	 这么说来郑少秋应该是我的第一个梦中情人            
(5星)	 无敌了！~            
(4星)	 郑少秋是我童年的(老)白马王子            
(4星)	 那年头，家家户户都传出来一样的片头音乐。            
(NA)	 风流倜傥的皇帝美丽多姿的女人            
(5星)	 绝对的经典！            
(4星)	 当年很好看……            
(4星)	 小学1年级 看的。当时很奇怪  一个女的演三个人            
(5星)	 与爸爸一起看            
(4星)	 那时觉得很好看啊            
(NA)	 太帅了            
(4星)	 又是，录像厅啊            
(4星)	 扇子大热！            
(4星)	 这部电视剧,记得以前是全家人吃完饭就一起围坐着看得.不过,就是年数太长,现在看了,就有点乏味.            
(NA)	 戏说乾隆            
(5星)	 这皇帝当年把我们迷得!            
(4星)	 曾经魂牵梦萦            
(NA)	 郑少秋...我最早的偶像...            
(5星)	 郑少秋演得好，眼睛瞪一瞪真有点皇帝的眼神！            
(3星)	 94年,好早的事.            
(4星)	 很小很小的时候躲在被子里跟妈妈一起看的~还不是很看得懂，但是心里知道很喜欢~            
(3星)	 印象中还行            
(5星)	 经典啊            
(5星)	 好看死了             
(NA)	 歌曲挺好的            
(3星)	 现在看觉得很无聊……赫赫            
(5星)	 小时候最爱看的连续剧，编剧，台词都比当今电视锯用心            
(5星)	 天也望不穿            
(NA)	 小时候            
(NA)	 帅气的秋官，美貌的芝姐。无敌的古装扮相二人组            
(3星)	 山川载不动太多悲哀            
(NA)	 小时候妈妈看时看了点儿。现在留在记忆里的只有那首名为问情的歌曲            
(NA)	 儿时偶像。天作之合。            
(4星)	 靠~~~~超怀念的            
(NA)	 小时候一直觉得奇怪为什么那几个女主角长得一个样~            
(3星)	 又是芝姐啊～            
(NA)	 那时候某频道雪山飞狐演完就播了这部，然后播的《戏说慈禧》            
(3星)	 第一部最好看。            
(4星)	 喜欢四爷，喜欢郑少秋，喜欢那份难得的潇洒！            
(4星)	 最喜欢的是主题曲：问情。当年为了看它，坐着睡着了。绝对的经典~~~爱到不能爱，聚到终须散，繁华过后成一梦啊，海水永不干，天也望不穿，红尘一笑和你共徘徊~~~~            
(5星)	 小时候觉得郑少秋好帅啊~~~~            
(4星)	 哈哈 窦宝是这个            
(4星)	 这个属于那种看过之后再也不想看第二遍的电视剧……            
(5星)	 歌儿好听            
(NA)	 原来素TVB地。。。            
(5星)	 那天在KTV，有朋友点了这部电视剧的主题曲。让我想起来很多小时候的梦中情人，那时候真是迷郑少秋和赵雅芝。金童玉女啊~~            
(4星)	 儿时的记忆            
(5星)	 太经典了，不需要再多说            
(5星)	 小时候哦            
(NA)	 3岁时看过。喜欢片段中的插曲            
(3星)	 小时候跟着爷爷奶奶看的            
(5星)	 时隔多年，四爷这个称呼，和赵雅芝的pl，和ED，仍然映像颇深。。。            
(4星)	 郑少秋那时候算是全民偶像吧？            
(5星)	 今天突然想到这部剧了。。。我要去重温。            
(4星)	 爱江山更爱美人            
(5星)	 小时候我妈的最爱＜（￣︶￣）＞            
(4星)	 当时太年轻，剧情没记住啥……只对主题曲印象深刻            
(3星)	 童年记忆  当年我好恶俗啊            
(4星)	 山川载不动太多悲~哀            
(5星)	 当年的秋官迷的我呀。            
(4星)	 那个秋官啊 那么丑的女的也稀罕~~            
(5星)	 我一听到前奏就从沙发上站起来的电视剧            
(4星)	 当时亲嘴的场面感觉相当震撼 牛逼 赵雅芝是心目中的大美人             
(4星)	 尼玛，要不要那么经典啊。            
(4星)	 看了看，发觉你们都不是很凶残啊            
(4星)	 怎么都忘记了……多好的电视剧……            
(5星)	 幼儿园的最爱            
(4星)	 四爷。            
(4星)	 江南盐帮有个程淮秀，滇西军前有个沈芳.....            
(5星)	 3岁开始每年放假轮番《新白》和《戏说》，看完还自导自演，能不早熟嘛我            
(4星)	 这个组合经典            
(NA)	 跟妈妈一起看来着            
(3星)	 前两天选修课的老师提到了这片子，想起来小时候特别爱看的说，现在看起来真够无聊的。            
(NA)	 那首歌还会唱呢            
(NA)	 小时候过家家孩子们最喜欢的模仿戏之一。。。            
(5星)	 小时候跟姥姥一起看的。。。555.。。            
(5星)	 经典。            
(4星)	 郑少秋真的是风流倜傥，玉树凌风啊那个时候。小时候真的觉得他们两个在一起就好了。男的潇洒女的美。            
(4星)	 唯一记得的只有蔡幸娟的主题歌了            
(4星)	 郑少秋当年多么英俊倜傥啊啊啊啊啊            
(NA)	 赵雅芝            
(4星)	 竟然是1991年            
(5星)	 连懒觉都不睡了就为看这个            
(NA)	 已经记不起来了            
(5星)	 秋官好帅！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 厄……            
(5星)	 红袖招！            
(4星)	 有赵雅芝，不需解释。我一直以为这是台剧，难道不是？......            
(4星)	 还是多不错啦。            
(4星)	 小时候看乾隆和程淮秀激吻要被爸妈捂脸的~            
(3星)	 小时候看的 ，忘了            
(4星)	 纳闷很多年，他是见一个爱一个，亏得长的帅些，亏得这姑娘们用一张脸。            
(4星)	 谁来要我拷给他……            
(3星)	 其实还挺傻逼的片子，赵雅芝做作的很，也不喜欢秋官，倒是贾六宝柱春喜我挺喜欢的~            
(5星)	 当年迷到死            
(5星)	 一人分饰N角，那时候赵雅芝真是漂亮啊            
(NA)	 当时好迷郑少秋            
(5星)	 那时候最崇拜乾隆甩扇子的那个动作            
(4星)	 剧情有点乱。。。就不能换个人演么 我这样看很吃力的啊            
(4星)	 觉得赵雅芝可以把谁都衬托的英俊无敌，哈哈            
(4星)	 两个人重复来重复去的爱情都让人神伤。            
(5星)	 我当时是有多喜欢他啊            
(NA)	 2010-11-11      凑数 1991            
(3星)	 据说我小时候很喜欢            
(4星)	 作为一名保镖   竟然比主子功夫还差            
(4星)	 儿童剧，记忆模糊焉            
(4星)	 完全忘记里面还有赵阿姨了。江淑娜这么些年哪里去了？            
(3星)	 没觉得郑少秋有多玉树临风            
(4星)	 江山载不动太多悲哀 岁月经不起太长的等待 以前很多老电视剧的歌曲的歌词写的还真是好            
(5星)	 小时候的东西，就这点好：现在的东西再怎么好，也是敌不过的。            
(4星)	 童年！            
(NA)	 当时想这个皇帝真是长得丑，为么司不叫黎明克演咧￥&amp;%#(原谅这年轻的孩子吧)            
(4星)	 小学。            
(3星)	 山川载不动太多悲哀。。。            
(4星)	 当时觉得郑少秋好帅啊！！            
(5星)	 秋官唉            
(4星)	 那时候觉得四爷很帅            
(4星)	 小时候好像挺喜欢的            
(4星)	 某次爸爸抢台不让我看，坐在床头大哭，三年级？            
(4星)	 除了香帅，秋官另一个深入人心的形象就是乾隆了            
(4星)	 赵姐姐叫一个美            
(4星)	 我小时候可喜欢看了。            
(5星)	 那时候觉得这俩就是绝配！            
(4星)	 好怀念= =            
(NA)	 江淑娜  记住 了            
(4星)	 山川载不动太多悲哀~            
(4星)	 音乐经典            
(4星)	 这是我记忆中熬夜看的第一部电视剧 - -。但也是俗套的一部不如一部            
(4星)	 靠这个过暑假            
(5星)	 幼小的我，好像懂得了什么叫爱到不能爱，聚到终须散，繁华过后成一梦            
(NA)	 哎呀，多帅的。            
(4星)	 就是经典！            
(4星)	 小时候的最爱            
(5星)	 这是TVB的戏啊`~真不知道啊...我记得几年前我还重新又看了一遍呢..就是超喜欢..觉得超棒超棒~~那会儿我才多大啊....            
(NA)	 對話的風格極特別，有小小韻律美。            
(4星)	 小时候锯觉得这个乾隆色，赵雅芝当年风华绝代啊。            
(4星)	 原来早前的TVB剧已经那么经典了。            
(5星)	 赵雅芝就是女神啊            
(NA)	 很小时候看的，情节都记不清了。            
(NA)	 小时候觉得郑少秋老帅了~~~            
(3星)	 看的不是很全~            
(4星)	 很小很小的时候看的            
(4星)	 当时迷的不行诶 还有内歌            
(4星)	 当时觉得那个帅啊。。汗。。            
(5星)	 也曾经大爱郑少秋风流潇洒，，            
(NA)	 滇西风云，对于云南的最初印象            
(NA)	 哇，小学时代，暑假的晚上，困得要死。应该不超过9点吧            
(5星)	 小时候看过，记得是新闻联播之后，每次听到片头音乐就立刻从被窝里爬出来模仿乾隆，哈哈、。、。            
(NA)	 继续怀旧…            
(3星)	 赵雅芝怎么看都很漂亮！            
(5星)	 记忆无关内容，只关乎那个年代。            
(3星)	 小时候还挺爱看这个的，赵雅芝美啊            
(5星)	 小时候就喜欢他一个人            
(5星)	 少秋叔  你还好吗            
(5星)	 昔日觉得最美的人和最帅的人..            
(3星)	 呃，小时候如此花痴的我从未迷过郑少秋……            
(NA)	 山川载不动太多悲哀，岁月经不起太长的等待。            
(NA)	 花痴郑少秋叔叔= =             
(5星)	 太太太TM经典了！！！            
(4星)	 戏说            
(NA)	 郑少秋。老了还真就不帅了。还是楚留香时代完美。            
(4星)	 敢问情在何方？多情乾隆，美女赵雅芝。            
(4星)	 那个年代的经典            
(5星)	 爱江山更爱美人            
(5星)	 那个小丫环叫什么春喜的，很搞笑。            
(4星)	 记忆链接洛阳            
(3星)	 秋官是帅呀！            
(5星)	 那个，我现在再看到，总是觉得犬夜叉上杉达也新一等等出现了……刘杰先生你也太忙了= =            
(NA)	 ……            
(5星)	 那么正经呢郑少秋            
(5星)	 两个主角我都爱            
(5星)	  赵雅芝 !!多么妩媚~            
(4星)	 迷恋过的人物            
(4星)	 当年的最爱，要在当年怎么也得打满分。赵雅芝，迷死了，真正的梦中情人啊。            
(NA)	 不记得讲的是什么了            
(NA)	 雅芝啊，雅芝，演技派演员，方可红的时间更长些            
(3星)	 我只记得每集赵雅芝都换个名字出来和乾隆乱搞……            
(3星)	 我现在怀疑 我小时候跟我妈一块看的时候 我才几岁~~            
(3星)	 那时候看着还行            
(4星)	 戏说乾隆的音乐都不错 《问情》            
(NA)	 美女            
(5星)	 nani？！ost竟然是日本的……            
(3星)	 第一次有了微服私访的概念：就是去民间调戏民女。            
(5星)	 爱到不能爱，聚到终需散。            
(5星)	 郑少秋太帅了，主题曲太好听了，我少年时代的流行乐啊。            
(5星)	 最爱听《问情》这首歌！            
(4星)	 假六···保住            
(3星)	 戏说当如此            
(5星)	 爱赵雅芝            
(4星)	 小时候            
(3星)	 当时觉得皇帝还真是风度翩翩了啊。            
(3星)	 其实也就第一部还行            
(3星)	 小时候疯狂迷恋赵雅芝。            
(3星)	 小时候都知道～那个叫做作！            
(5星)	 我小时候老喜欢唱这个歌……            
(5星)	 其实我都忘了讲的什么了，就记得小时候学皇帝玩儿扇子！哈哈！            
(4星)	 郑少秋那是真的帅~！            
(5星)	 童年童年！！！！            
(NA)	 经典            
(4星)	 小時後記得片尾曲不錯聽~            
(5星)	 曾经的经典            
(4星)	 依然是饭点。。。            
(4星)	 片头片尾不能好听成这样啊=v=             
(4星)	 实在是登对的一对儿            
(4星)	 这部电视剧曾经那么红，映像时，是我看的第一部戏说剧            
(4星)	 比起现在的电视剧，可以品的太多了...            
(5星)	 皇帝的风流史。。。看得我天花乱坠            
(3星)	 感情戏很夸张，当时很爱赵雅芝。            
(5星)	 好像再看一次啊            
(4星)	 记不住了            
(4星)	 小时候很神奇的想，乾隆怎么爱来爱去都是一个人呢~            
(NA)	 我忘了。。当时很喜欢？应该              
(4星)	 好古老啊            
(5星)	 那是脑海中抹不去的记忆……            
(5星)	 小时候一集不落            
(5星)	 皇上！            
(4星)	 如果每一部的女主角不同,我更喜欢看.            
(3星)	 歌不错            
(4星)	 这么古老且经典的剧怎能不标示出来？印象中，放学后看完西瑞，吃完晚饭就等着看戏说乾隆了。             
(4星)	 当年很好看            
(4星)	 我喜欢这主题曲。。。。。好想看呀            
(5星)	 想当年这个片子可是无人不看。第一部尤为经典。赵雅芝的美，郑少秋的帅，真是绝配！            
(5星)	 黄沙载不动太多悲哀 岁月经不起太长的等待...程怀秀?赵雅芝实在太经典了啊啊啊啊啊啊!            
(5星)	 三弟，来看！            
(5星)	 郑少秋和赵雅芝的组合，我喜欢！            
(5星)	 比这个还经典的，就只有秋帅了~            
(3星)	 江山载不动太多悲哀~~~            
(5星)	 经典的主题歌。            
(5星)	 我记得自己以前明明评价过了...            
(5星)	 春喜、宝柱、贾六。            
(4星)	 之后再也没有哪个乾隆能超越他了。            
(4星)	 无数次想重看的            
