http://movie.douban.com/subject/4826767/	家常菜
(1星)	 最后救援的一幕告诉我们：我党着力打造的橘皮衣救援队和疯狂的赛车里专业奔丧的黑衣人其实是TMD一拨人。。。一星给黄志忠            
(3星)	 这个连续剧太狗血了，一开始是洗具，然后越放越杯具，一窝白眼狼啊！可能这就是人性？穷疯了？            
(4星)	 文远这是章子怡附体了吧，长的真像            
(1星)	 为什么女主角这么早挂了……要不是左小青，我都不会看一眼……            
(4星)	 全是跟着老妈看的...            
(3星)	 一部拧巴的戏,好男人遇到白眼狼群，可惜了这些好演员了。宋春丽饰演的洪昌妈妈，泼辣而明事理，钢中带柔，进退有据，是亮点；何琳饰演的麦香，单纯而热辣，敢爱敢恨；梁丹妮饰演的二庆妈，市侩的邻居，小心眼坏心眼，成精了；黄志忠本人反倒是差口气，小遗憾。            
(NA)	 极品一家的故事            
(2星)	 一个被虐狂和一个极品一家的故事。附赠一个阳痿男的装腔作势史加中年妇女窥私狂范例教程。            
(NA)	 貌似剧情和当初看剧本的时候差距巨大。。。            
(4星)	 虽然后面有些剧情有点牵强，但不妨碍我重温那个时代人们正直纯洁的内心。            
(3星)	 这男人管的太多了吧- -            
(NA)	 看得我百感交集的。            
(4星)	 好男人            
(5星)	 刘洪昌这样的男人去哪里找？            
(NA)	 爱情靠拳头，亲情靠票子，工作靠耍赖，这电视宣传的什么啊这是，还绝世好男人？开什么国际玩笑。            
(3星)	 矮油，真想嫁给他            
(4星)	 看的我直想打人            
(4星)	 希巴～ 看这个太自虐了，编辑就是心理变态！好人就不能稍微有点好日子么，演员给5星，编剧太欠了！nnd            
(3星)	 终于在最后一集扭曲到了高潮，加一星给杨麦香。            
(4星)	 矿井遇难不忘回家过节----饺子+腊八蒜の魅力            
(1星)	 如果有可能我会把这个三观不正的傻逼编剧淹死在马桶里，当然，是猜火车里面的马桶！！！！！！！！！！！！！  为什么不能不给星！！！！！一分都不想给你们丫的！！！！！！！！！！！！！！！！！！！            
(2星)	 编剧脑子坏了。。。一家子不懂事。。            
(4星)	 真他妈的苦命            
(3星)	 文远也太像章子怡了吧！！！举手投足眉眼之间腔调拿捏我的天！！！            
(3星)	 作为垃圾电视剧来说还是可看的            
(NA)	 前缀是绝世好男人            
(4星)	 看得抓心挠肝的……这极品一家！！！            
(4星)	 雷锋            
(5星)	 足足四天时间一直与这部戏斗争。其间哭无数次，学会道理无数条，感慨人生无数遍！            
(4星)	 稍显做作，但故事很感人。恋爱，真好。            
(5星)	 应该会有我期待的老夫少妻吧，但看简介文惠死了，哎~~~~~这么好的剧活活被老妈剧透了！            
(4星)	 陪老太太看完的。。。            
(4星)	 后半部可真折磨人，本来还想买套DVD给爸妈看。。。            
(5星)	 唉。。。。悲剧。好好珍惜刘洪昌这样的男人，够爷们的。（7点档必看）            
(4星)	 很现实，别说在那个年代是这样的，现在还有很多情况依然是这样，演员演得都很棒。支持。            
(NA)	 良心            
(NA)	 片尾曲是拔根芦柴花，可惜不是江都话唱的            
(2星)	 本片又名《一个傻老爷们儿把圣母娶回家后的悲惨一生》，剧透个桥段，由于女神怕羞怕疼，结婚数月丈夫不摸不碰，只敢站窗口偷看媳妇洗头，被人错当流氓打。。。真乃国产神作，室友近来每日在屋里公放不说还想看完四十集，终于被母们呕血群众大力劝阻了            
(4星)	 黄志忠  就应该是那个姐夫  那个会少红烧大肠的好姐夫            
(NA)	 好吧我觉得很好看啊！室友们乃们老看没营养的韩剧！！我老了咩哈哈。            
(1星)	 尼玛编剧脑子里有屎吧！你们全家都是白眼狼！！这么狗血是怎么被光腚局通过的!!!!            
(NA)	 我日啊，在来回延安的车上跟一群堂客们一起看完了！！！            
(3星)	 在平凉刘敏家看的，哈哈            
(3星)	 家有好男儿            
(3星)	 豆瓣猜，我还真看过，之前和我妈一起看的每晚八点档。。。            
(3星)	 没看全，杨麦香和刘洪昌怎么样了            
(3星)	 一家白眼狼，看的也是个shi            
(3星)	 虐啊虐            
(4星)	 连我妈都会赞的绝世好男人            
(3星)	 可消除毕业论文及答辩的烦躁情绪。            
(NA)	 我跟我爹达成的共识，很简单的两点一、这男的脑子有shi二、童瑶长得真像章子怡啊            
(5星)	 人-生-啊！            
(2星)	 編的有點離譜。。。            
(NA)	 再牛逼的姐夫也伤不起二逼的小舅子和傻逼的小姨子。            
(NA)	 狗血            
(4星)	 寒假跟家人看的~~可爱的外公呢~            
(3星)	 越到后面越不好看了。。。            
(4星)	 在家断断续续地看的，布景真是太不精细了。左小青很美。            
(2星)	 怎么觉得这电视剧就是教育我们，做好人是没好下场的...            
(3星)	 卧槽后半部分!你是乱伦小说看多了吗!弟弟因为二姐被强奸杀人，顺道把大姐害死了；然后小姨子赖上守寡的大姐夫，刚在一起没几天，这小姨子又跟有钱的性无能跑了......最后窝囊的大姐夫为了救小舅子压在矿井下。。。。。麻痹你们这些编剧都是近亲结婚的产物吧！            
(NA)	 20110508虽然感动，只是早已不相信世界上还有这样的男人。一家好人和一家白眼狼的几十年。            
(5星)	 再狗血一点儿吧            
(3星)	 前半段还行，后边简直太胡扯了~~~~白痴编剧啊            
(4星)	 看得我泪奔 章子怡2号好渣= =            
(NA)	 陪媽咪看的...編劇要好好反省啊...這麼奇怪的人物，每一個都像發神經病一樣 除了姐夫訛人的時候好笑外 大多時候很越看越窩火 怎麼編的啊            
(4星)	 跟妈妈一起活动的结局就是。。。她在看的片子，基本上你也从头到尾看过了。。。结尾导演还弄了回互动，挺有意思的。黄志忠真的挺男人的~            
(NA)	 被看剧 陪妈妈看            
(3星)	 这电视剧 也就是黄志忠演的好            
(1星)	 假到死有没有            
(NA)	 想给四星的 就是这太理想化了            
(2星)	 还能拍得更拧巴么            
(4星)	 全家围着电视抹眼泪什么的....编剧过分了！！！！！！！！！！！！！！！！！！            
(2星)	 把一个最惨的男人展示给观众看            
(3星)	 大结局有点狗血啊            
(2星)	 我好讨厌这部戏！！！！            
(2星)	 一个受虐狂与一群白眼狼            
(3星)	 前面很好看，中间没空看，结局没法看。            
(4星)	 家庭伦理剧，小人物的悲欢离合。||这种好男人难找啊，比本拉登还难找~            
(4星)	 不错            
(3星)	 大爱黄志忠啊，这编剧真是毁了他了            
(3星)	 太tm折磨人的编剧了 前面演的真不错 后面越来越墨迹 这个人仗义到有点缺心眼了 这么墨迹的电视剧 我居然跟着电视溜下来了 我更狗血 有木有！！！！！！！！！！！！            
(3星)	 啧啧，什么叫人穷志短，一个电视剧敢不这么让人糟心么……学学TVB轻了个松点好么？！其实姐夫跟丈母娘最配了。。。            
(1星)	 一群世界上最狼心狗肺的白眼狼和一个不可能存在的白痴好心男人的故事ps：编剧的原型一定是厚墩子 因为再也找不到心理这么变态的编剧了            
(2星)	 这个故事是要告诉我们好人没好报坏人活千年么            
(3星)	 再牛逼的姐夫也伤不起二逼的小舅子和傻逼的小姨子。             
(4星)	 总有些债要欠一辈子            
(3星)	 开头还是戏 后面编剧忘带脑子了是吧            
(4星)	 简直这几年最好看电视剧,难得回家的日子,和爸妈每天饭后各种追着看,感触颇多            
(3星)	 一窝子白眼狼啊白眼狼            
(NA)	 有时候，人们之所以哭泣，并不是因为软弱，而是因为他们坚强了太久。            
(3星)	 刘洪昌这种所谓的好男人，死了都不值得同情，活该一辈子得不到幸福。            
(5星)	 无论演技如何编剧如何,我都懂了刘洪昌的伟大            
(3星)	 小章子怡            
(4星)	 看着真不舒服，那家都是些什么烂孩子呀            
(1星)	 海天酱油鸡！！！！！            
(4星)	 这个片子越往后看怎么越窝火呢，做好人做到那个份上，掏心掏肺的照顾亡妻的家人，可是那帮弟弟妹妹我真不知道怎么说，总是时不时做些个让人寒心的事情。            
(4星)	 刘洪昌这个2B，杨麦香怎么看上你了！            
(4星)	 跟着爸妈一起瞄了一点 妹妹张得真像章子怡            
(3星)	 小章子怡。            
(2星)	 编剧超变态！！心理肯定有问题！天底下所有的苦难都砸到了刘洪昌这个倒霉蛋身上！！剧情很悲催…… 为了悲催而悲催让人忍无可忍            
(3星)	 国产剧怎么都虎头蛇尾啊，编剧脑子就不能正常点？老何家除了个老妈，其他人都是没事找抽型。肥肠刘太假了，完美的虚假            
(2星)	 男猪脚有点帅 女猪脚有点美            
(3星)	 真是矮油，中国电视编剧一定要这样吗？            
(4星)	 不相信有这样的男人            
(4星)	 跟老妈一起看的，这么好的男人，绝对是虚拟的！！！这个世界上不可能有            
(3星)	 苦的来。。            
(4星)	 想当纯爷们的应该看看            
(NA)	 真你妈讽刺 黄志忠也离婚了 闹哪样            
(NA)	 看来十几集，感觉非常棒。有笑，也有泪；有幸福，有辛酸；很现实的爱情。            
(4星)	 刘洪昌杯具的一生~！！！！！！！！！            
(4星)	 童瑶演得还真不赖~ 何音，当年的琼瑶女郎，也抵不住光阴的小刀儿啊~~             
(5星)	 命运多舛            
(4星)	 拍的挺不错的这个电视剧  就是那何文达的自行车让我很别扭            
(4星)	 原来黄志忠（大老刘）和何音（俊玲）是夫妻啊，而且刚离婚……            
(4星)	 看到了文惠死了就再也看不下去了。。。分數全是給洪昌的、、、、文遠文濤文達都是些神馬人啊。。文惠怎麼做到的那麼傻。。。。。            
(3星)	 大姐夫真是超人一般啊，最难得是又轴又傻。后十集编剧是变着法子要写死他啊。一群喂不熟的白眼狼！！！            
(1星)	 一颗星 因为你——杨麦香！！            
(1星)	 总结：好人都死了            
(3星)	 本来片子不错的...但是觉得由于过远地脱离了生活..下降一星...等我看到有这个男的一半好的再来改评分....            
(3星)	 我妈就喜欢看这种变态电视剧。唉……            
(3星)	 左小青没死之前还很好看            
(NA)	 这剧情叫一个拧巴，太折腾了。。。看完就老十岁。。。            
(3星)	 到哪里找那么好的人？            
(2星)	 这狗血的剧情 还是要陪着老人一起看完            
(3星)	 现在怎么总是这种剧情急转直下的悲催电视剧。            
(3星)	 看这片子能把人活活气死，不是演的不好，而是编剧太2            
(2星)	 这是一部虎头蛇尾的电视剧，前后的品质如同坐过山车一般垂直下降，从20集之后的剧集都极其操蛋，牵强、突兀，完全脱离现实，物欲横流，后半部分完全多余，有画蛇添足之感，导致整体水准下降，沦为烂片。本片唯一的亮点是塑造了一位有情有义有胆识的完美男人，真汉子，这样的男人令人折服。            
(NA)	 闷骚女更要不得 一家子欠抽的            
(5星)	 喜欢一个人，就要不折不扣的去为她做事，行多于言; 爱一个人，就要去爱她的全部，勇于承担;看到了宽容，看了仗义，看到了情义，看到了真情。            
(4星)	 这样的男人 也未必太难找了吧。            
(NA)	 啊啊啊啊啊啊 过年了 家庭苦情剧就被迫看了            
(4星)	 跟我妈看的最后几集，一把鼻涕一把泪的。。哎 还不错            
(3星)	 演员好，可惜编剧是个神经质。看到文惠死就可以打住不看。            
(5星)	 经历了两天晚上至凌晨4点的“攻关”，终于看完了，写到这里，心里还是百感交集，融会不了一团文字，只好“单蹦”的写了：不及什么天王影后，但就是他们托起了这部电视剧。看着这些演员，——演员们的功底很深厚，宋春丽、何琳、冯雷、梁丹妮等人表演的非常好，这些演员有的虽然可能社会名气及收入            
(2星)	 太强烈的脸谱对比            
(5星)	 特感人的一部剧，其实文远在与姐夫恋爱的时候，是一个完美的姑娘~~~            
(3星)	 这男人好崇高啊...只不过遇到了相当极品的一家人...            
(3星)	 文远这样的NC怎么会活到最后？            
(4星)	 哈哈哈哈终于出现了居家好男人的典范了，但是后面老刘就有点fj和bt了……文慧就是个废，文远小时候欠扁，长大后还挺好，文达整一个怂人，文涛骨气和狠劲，何大妈明理了一辈辈儿，杨麦香才是个好女人。            
(3星)	 刘宏昌简直就是究极体的宇宙战士，这样的人只能在大陆产电视剧中被人仰望着。。。            
(5星)	 温暖，励志，正直            
(4星)	 再沒有人像劉洪昌一樣只求付出，也沒有人像文慧一樣漂亮得完美。            
(3星)	 我整天就和着我娘看电视剧了            
(4星)	 百态人生，众说纷纭！            
(4星)	 刘文达JB什么玩意儿 演的也残            
(3星)	 他妈的一家子白眼狼极品。刘洪昌自从娶了文慧就开始倒霉的一生。            
(4星)	 刘洪昌是个爷们。            
(4星)	 断断续续看的，很感人。。            
(5星)	 很好看。就是让人心疼的要命。得出一个真理，要格外重视儿女教育，不能养出一堆白眼狼。            
(4星)	 家常菜            
(4星)	 一个人用切实的行为为另一个人担当，其实，就是爱了            
(4星)	 就得嫁这种男人            
(3星)	 　演员不错,剧本太差,剧中的人物都太极品了;洪昌好的极品,文惠&#34;缺心眼&#34;&#34;傻&#34;的极品,运昌夫妇自私的极品. 　　我看文惠他妈不错,有人品也聪明,咋就交出这样的一群没脑袋,自私的孩子呢?文惠那做事情可绝对是没脑子呀. 　　看到15集,不看了.            
(3星)	 很家常哈哈            
(3星)	 不把男主整死就不罢休啊            
(3星)	 直接取名家庭剧好吗，此男主好得都超过我爹了。。。。。。间接赞美我爹╮(╯_╰)╭            
(4星)	 编剧的理想！真有这么好的男人？            
(NA)	 演员胜过故事本身。            
(NA)	 八十年代  家庭            
(1星)	 老妈看的时候，自己不幸沦为陪看。她心平气和，我百爪挠心。编剧是不是厌倦了各种狗血家庭伦理剧里的圣母形象，所以安排一个圣父？            
(5星)	 杨麦香...            
(5星)	 5颗星全是给左小青角色死前的部分...            
(5星)	 学学骨气，学学爷们            
(3星)	 到了第八集，我真看不下去了，全世界都跟刘洪昌和文惠有仇，文惠的弟弟妹妹就像天生杀人犯一样，也不知道是童年阴影还是怎么回事，有这号人麽世界上？            
(5星)	None
(3星)	 跟着我妈有一搭没一搭的看过。刘老师在课上大赞此剧，说想写个影评，但片子太长，同时大批《金陵十三钗》和《色戒》，说富有天资的文艺创作者，在恶俗民主的专制下灵魂不够坚定。看来刘师的口味是高大全的道德+英雄主义，当然相当理想主义。            
(3星)	 用娘亲大人的一句话。世界上哪来那么好的姐夫=-=            
(2星)	 如果这就是导演喜欢的“家常菜”，我只能说导演重口味，味觉天生没有，红绿色盲            
(3星)	 这一家子的白眼狼，贫穷留给他们的尽剩下耻辱了。那些一夜爆富的人，就想着翻身挣面子，却错把钱当脸面。缺教养真心补不回来，有钱也掩盖不了他们低贱的本质。            
(3星)	 说真的...我老娘看了这么多我都不知打哪个对哪个了...不过这部最假最河蟹....想起来就打冷战....            
(NA)	 老子就没看过这么苦逼加二逼的傻逼男主角 黄志忠 你就不该接这部戏。左小青应该感谢编导让她在戏开始一半就挂了。            
(NA)	 跟着我妈看的，还不错。            
(4星)	 这个挺好的            
(3星)	 文惠死后，这部电视剧就越演越扯。            
(4星)	 挺好看的~~            
(4星)	 傻b小姨子。            
(3星)	 男主角上辈子一定欠了女主家，很多，很多。。。。。。。            
(3星)	 好男人的悲催命运，除了哭还是哭            
(3星)	 白眼儿狼……            
(4星)	 久远时代的爱情，反而更让人动心            
(2星)	 我靠这种烂片我都看过！！！            
(1星)	 我是陪我妈和我婆看了多少妈妈剧啊~囧~            
(4星)	 喜欢文慧，喜欢刘洪昌，可是文慧一家太白眼狼了，要是能在19集文慧死了就大结局就好了，后面就没劲了，越看越来气            
(3星)	 我貌似就看过一点点            
(3星)	 基调与节奏不错 但结尾很草 现代电视剧的通病            
(4星)	 老一辈喜欢看，看了血液上涌，哪有这么好的男人            
(3星)	 看过点，没啥吸引力。            
(3星)	 要不是跟我妈一块儿看我其实看不下去。。看着童谣那张脸就想抽他。。爷们儿真难当啊。。            
(1星)	 前半像“活着”，后半不说了            
(5星)	 历史进程中的平名众生相； 一个人的遭遇到底有多惨！？ 大老刘是条汉子，而且教育小孩方面是把好手，值得学习。              
(3星)	 虐过头了真的。            
(4星)	 虎头蛇尾的电视剧。            
(5星)	 我想说的是，文慧并不爱刘洪昌，只是在利用他，而且死了还要利用他一辈子。（直到结婚还称呼为刘师傅，婚后还碰不得，文慧只是没有办法才跟大肠刘在一起，如果有更好的机会和条件，她不可能做这样的决定。）结论是，一个老实人爱上不该爱的美人，思想水平相差太多、没有共同语言，结局是遍体鳞伤，痛            
(NA)	 这道家常菜现在能有多少饭店能做出来！嗨...男人重情义，女人重感情......生活应该是这样的，淋漓尽致体现人的最根本点。            
(3星)	 黄志忠演的真不错，宋春丽演的也很到位。。。左小青也招人疼，但更多的时候是招人气。。。童瑶真是令人生厌，非常想抽她两个大嘴巴！还有那个二庆妈，怎么还不去死啊？！现实生活中像刘洪昌这样的男人根本不存在啊，真是个好男人！！！看到一半不想看了，拍的太惨了，现实本来沉重，不想再看了。。。。            
(2星)	 我也不想看啊，我老公要看啊啊啊            
(4星)	 现实就这么残酷。。。一老好人被折腾得这样了良心。。人活着不能没有良心、、、、一代比一代少了。。唉。。看下电视剧补补吧            
(NA)	 觉得编剧好厉害            
(2星)	 其实是从三星渐弱到1星，综合下来就两星吧。越写越弱，麻木与弱智总是相联。            
(5星)	 喜欢这片子最主要是因为文慧，她让我想起了某个可望不可即的人。外表和言行举止都那么像。            
(NA)	 “献给为尊严而活的中国人民”——有点怀念那个离现在不远的生活吧。            
(3星)	 这片子太波澜了.觉快好时,突然来个大浪把人拍的半死不活的.刘洪昌就是石头出身.永远打不烂            
(4星)	 支持国货。            
(4星)	 一窝捂不熟的白眼狼。            
(5星)	 这是近年来最好的一部国产电视连续剧，理由为：    1、全部看完后，发现同片采用记实手法            
(5星)	 虽然年代给人的感觉不是很真实，但是难以掩盖这是一部好电视剧的本质            
(2星)	 白眼狼的故事            
(4星)	 左小青死了之后我就觉得么意思了，，后半部分太现实了。。演员演的都不错，，觉得宋春丽演的尤其的好。。肥肠刘是个好男人啊。。。            
(4星)	 最后十集扣一星            
(3星)	 唉            
(3星)	 就是不用动脑子还会看的很开心，全是在家的回忆。            
(NA)	 一个个都那么悲催……            
(NA)	 72.            
(1星)	 失真             
(3星)	 喜欢黄志忠的演技             
(4星)	 尽管我对刘洪昌的许多做法并不赞同，但他对爱情的执着、对承诺的坚守，我还是深表赞赏！            
(4星)	 坚持原则，坚持真情，坚持责任 如果自己能再坚持自我发展和学习，跟上时代就更好了            
(4星)	 好男人呢。。。            
(4星)	 好好男人            
(4星)	 前段时间住院时百无聊赖看得，丧心病狂程度远远超过金庸的连城诀            
(2星)	 塑造好男人，大家都喜欢他……            
(5星)	 确实是建斌最懂大老刘了            
(3星)	 我表示，现实里是木有刘洪昌的！            
(4星)	 黄志忠超酷            
(5星)	 很赞，感觉自己也是这样的男人            
(3星)	 一窝白眼狼            
(NA)	 负心汉不配演这么好的爷们儿！            
(3星)	 大结局让人感动            
(4星)	 我真的很喜欢文惠，一直是我梦中情人的样子。像刘洪昌这样的人世上真的有？            
(4星)	 男人 责任            
(4星)	 绝世无敌好男人  赚眼泪啊啊啊            
(3星)	 看于南方电视台。            
(4星)	 欣赏男主角            
(5星)	 正如，很多人评价的，里面的男主人翁太好了，好得太假了。但是，我喜欢这种假，人间就应该有这种真情的，希望电视内外都存在。            
(4星)	 感觉演的太假了。  这么好的男人太绝世了！            
(4星)	 跟我想得不太一样，不过我还是看完了。。            
(5星)	 男人都该看看，学学人家刘洪昌怎么做爷们儿。女人就别看了，看完对老公一堆牢骚。            
(5星)	 刘洪昌你太傻了，跟杨麦香一样，这剧出了2个这样的情种，就注定了是个悲剧。 　这部戏从头讲到尾，都是讲的刘洪昌对文惠的爱情故事，虽然文惠死了，但他通过照顾文惠的家人来表达对文惠的爱，刘洪昌照顾着一家白眼狼，那是因为文惠爱他们，刘洪昌不回自个富足的家，而独守同文惠共同生活着的地方…            
(2星)	 看了19级，我竟然失眠了，躺在被窝里骂编剧。晚上做梦文慧没死和大刘把这群孩子拉扯大教育好。前19级，故事好，演员演的也好，20级后在没心情看了，只草草的看了文字介绍。            
(4星)	 编剧真能编啊，每个人物都有疯狂的时候。            
(NA)	 漫长的人生中，我们坚守的是什么？在这个过程中，毫无怀疑的坚守是一种充实的幸福。            
(NA)	 挺好看的 哈哈我现在怎么变中年人了 可是那个男的对他老婆真的太好了！            
(4星)	 看到吸血鬼了            
(5星)	 平凡人的悲欢离合，看的眼泪刷刷的。            
(5星)	 这真够爷们的。。。            
(5星)	 柴米油盐酱醋茶            
(NA)	 刘洪昌男人的有点过头了！童谣也太像章子怡了吧！不过她比N年前变了好多            
(3星)	 bug多，穿越多，唯一欣慰的是杨麦香还是配了刘洪昌，不然这白眼狼的戏真的太没劲。            
(NA)	 吃什么不如吃道家常菜，有什么不如有个好姐夫            
(1星)	 看着就叫人生气！！！            
(NA)	 先是很搞笑的，越往后越悲催。。。            
(4星)	 挺感人的~就是太坎坷了……            
(3星)	 演员演的还行，编剧不行呀，后面的剧情越来越没法看。            
(5星)	 绝世好男人             
(5星)	 家里这个片子像是在循环播放一样。。。每周回家都阔一看到            
(4星)	 左小青真漂亮啊            
(3星)	 二姨怎么那么喜欢这戏啊，不过我觉得那布景还不错！            
(4星)	 看的是有多心酸！！！讨厌何文远 何文达！！            
(4星)	
(5星)	 太感人了            
(4星)	 一般这种名字的电视剧我都不看，前面好看。就看前面。后面省略。。            
(2星)	 白眼狼 白眼狼 白眼狼！            
(3星)	 这部片子的名字叫做“一家子白眼狼”            
(3星)	 左小青以后就没劲了            
(3星)	 演啊演啊就演成了高大全            
(4星)	 2011.05.11  陪老婆一起看完的  悲情…… 老到已经不喜欢看悲剧 只喜欢看喜剧的地步了            
(1星)	 戏里戏外            
(3星)	 刘洪昌值五星            
(4星)	 好心酸..做好人难阿            
(NA)	 那个时代的爱情             
(3星)	 好男人！很感动的一部片子！            
(5星)	 伦家以后要找一个刘洪昌吗~~~            
(3星)	 刘洪昌就个大傻。            
(3星)	 太不可思议了，有这样的人吗？            
(NA)	 花了一个周末看完的，觉得很不错，一个男人做到这个份上真的不容易            
(1星)	 前面还能看，后面太脑残，什么编剧啊这是            
(NA)	 文惠好幸福啊            
(4星)	 这是怎么一个伟大的男人            
(2星)	 太闹了，悲剧基于一个家庭，结局收得不好            
(NA)	 只看前半部好了，后半部扯了点儿。            
(2星)	 看了两眼，吵吵闹闹，烦人            
(NA)	 哄我妈还行。男主角为毛非要生活在一群找抽的人身边呢？            
(2星)	 本来可以给四星，但是何家那群NC生生扣了两星。。。他妈和他姐不是都挺正常的么，那几个小的怎么这么挫？            
(3星)	 典型的中国电视剧，每次配乐出来都能恶心到我，不过，这角色确实是个好男人，不懂事的弟妹是不是可以归为贫穷的烙印实在伤他们太多？            
(5星)	 生活是什么样的，看过之后可知一二            
(5星)	 前面还行，后面就瞎编了！            
(3星)	 好喜欢左小青。其他的部分。。。太悲催了，不喜欢。            
(4星)	 刘洪昌这样的人真的存在吗？            
(3星)	 白眼狼还真是大陆剧中的特产            
(NA)	 最后好点不行啊  怎么╮(╯▽╰)╭            
(3星)	 这个世界上真的有这样的男的吗？            
(3星)	 有点偏离现实了！导演太想塑造一个好男人的典范了，有点过！不要脸的小姨子，白眼狼的小舅子！不要是电视剧就弄个好几十集吧！越往后看越没劲！            
(4星)	 看前十集就行            
(3星)	 虎头蛇尾，国产剧一贯的毛病。。。            
(2星)	 两颗星给左小青死之前的剧情。            
(5星)	 蛮难找的这个男人～            
(3星)	 开始感觉很百姓，后面感觉很那个年代，很单纯            
(4星)	 不错，能看            
(4星)	 肥肠刘，滥好人一个。还好自己有些能力，烧的一手好菜，能勉强养活到一头家；这种人以前乡下确实有见过，现在哪里都很难找了。关心他后面有没有娶杨麦香...            
(5星)	 绝世好男人啊！            
(4星)	 该苦的苦死，该好的好死→_→            
(4星)	 就奔着黄志忠看的            
(4星)	 很悲惨。没有这么好的男人我觉得            
(4星)	 绝世好男人就是这样！！            
(4星)	 一个普通人的坚持，对爱情的坚持，对亲情的坚持，对承诺的坚持，坚持到底，就是胜利．            
(3星)	 这片子，前十集五星，中间十集三星，后面一星，献给为尊严活着的中国人民太tm鬼扯了            
(3星)	 最后那个结局。。真假啊            
(NA)	 绝世好男人哇。。。            
(NA)	 跟着蹭电视看了几眼，觉得那个小姨子长的有点像不可说娘娘，很得瑟            
(NA)	 最打酱油的酱油，海天酱油            
(5星)	 我要是女人就追他            
(5星)	 挺感人的，很好的电视剧            
(2星)	 推荐前18集~~~~            
(3星)	 好人就该那么悲剧吗？            
(4星)	 偶像化的角色，依旧感人。            
(5星)	 前半部是搞笑片 后半部是苦瓜菜            
(5星)	 纯爷们！太感人了！            
(3星)	 女方全家有点臭不要脸，大厨就是传说中的老好人=傻逼，鉴定完毕            
(3星)	 苦逼又有担当的男猪脚的漫长狗脸岁月            
(NA)	 感触很深，的确现代人忙碌于生存，渐渐淡忘了感情，或者可以说渐渐去用金钱衡量了感情，认为使用金钱可以去交换感情。现代社会不乏认为金钱重于感情的人，所以真正有一个电视剧的小人物、一个平凡的人物，其实做着一件平凡的事情，却可以吸引观众的眼球，让观众感觉“这个男人真的是绝世好男人”。            
(NA)	 出门在外久了，才知道原来家中的菜最合自己的口味，一种味道的菜，吃上十几年或是几十年，自然也会腻厌。但是不得不承认，家常菜中的味道是永远忘不掉，并且一辈子中意的。是任何山珍海味都代替不了的，那味道中包含了太多的感情和故事。            
(4星)	 挺好的 就是这样的人也忒好了吧 让人不习惯            
(NA)	 很喜欢黄志忠演的这个角色！            
(NA)	 太悲情了。但是很接近生活。            
(3星)	 一窝狼崽子            
(5星)	 好感人！做人有原则，做事有张有弛            
(NA)	 一个应该被认同的男人，一个能够按照自己的方式活着的男人，一个默默地用行动去爱自己女人的男人，他做到了！信守承诺！担当责任！            
(3星)	 对男主么想法了。。。。            
(3星)	 剧情挺感人的，结尾很假！！            
(4星)	 有些情节比如刘洪昌用一顿饭换来文慧的干部编制，极不可信。            
(4星)	 刘洪昌呢 愚蠢的不坏人            
(NA)	 4            
(2星)	 开始还不错，自女主角过早死后，越演越离谱，越演越差            
(NA)	 很不错的电视剧，感人，出动，就是海报有点小欺骗，女的只出现了一半 ，后半段，都没见了!            
(4星)	 剧情有点不靠谱，世界上有这种姐夫么？            
