http://movie.douban.com/subject/1786755/	冬日恋歌 겨울연가
(4星)	 忽然想起这部片子。很悲。但悲得很美。崔智友，我太爱你了。            
(5星)	 第一个喜欢的人真是难以忘记吧，但过去了，不管是床前明月光还是心口朱砂痣，总之是过去了~            
(5星)	 看冬季恋歌的那些冬季们，还没有豆瓣的存在。今天记录在此，谨以纪念离我们远去的，亲爱的尚赫——请在天堂好好地快乐地生活。            
(NA)	 原来我从小到大看过那么多韩剧.. 陪我阿姨和我妈妈看的            
(5星)	 它让我对韩剧一发不可收拾            
(4星)	 裴勇俊笑起来很温暖。            
(3星)	 是高中时候看的吧~男主角不是我的型，女主角也不是很出彩，完全没有《美丽的日子》里面来的让我欢喜。我只能觉得整个剧还可以，虽然那时候貌似红遍亚洲。            
(5星)	 很悲伤很美好。            
(5星)	 高三时看的，当时从OST到里面的服装配色都是最爱            
(1星)	 有点令人发指            
(5星)	 美哇美哇            
(3星)	 简直是个咒怨！朴龙河太可怜了！            
(5星)	 这部电视让我知道很多. 当时大爱裴勇俊.            
(5星)	 人生中的第一部韓劇...            
(3星)	 裴勇俊太难看了            
(5星)	 韩剧中的经典 为数不多的看了又看的韩剧 虽然故事比较离奇 但是我还是相信 总是会有真爱的 大爱裴勇俊            
(4星)	 哎~~能不说它是经典么？            
(NA)	 看了兩集。            
(3星)	 人生中的第一部韩剧            
(NA)	 喜欢最开头高中的时候            
(4星)	 当年哭得稀里哗啦            
(1星)	 兄妹关系就算了，还硬要搞什么失忆。            
(4星)	 嗯，没咋看完            
(4星)	 初恋的feel好好            
(3星)	 long long ago            
(3星)	 始终没觉得裴勇俊好看呀！            
(5星)	 喜欢俊尚。只对维珍微笑。            
(4星)	 算了，还是给四星好了~~看在歌蛮好听的份上            
(3星)	 拖得太久-。-            
(3星)	 为了片尾曲！            
(NA)	 尚赫好苦哇~~~             
(3星)	 很多人的启蒙韩剧，初三还是初二的那年，怎么各位大妈都成了韩剧的忠实粉丝了            
(3星)	 那个时候很迷~从开始到现在~            
(NA)	 依然是年少的时候            
(4星)	 韩剧的演员表演都很细腻，就是剧本过于老套。            
(3星)	 实在不合我的口味啊……柔弱男。            
(4星)	 为什么那时侯觉得那么好看?!            
(4星)	 小时候不喜欢，现在很喜欢崔智友            
(5星)	 高中时和老爸奋起斗争才争取到            
(4星)	 原来我是那么早就迷上了韩剧 2002            
(3星)	 初中时候看得很纠结的。            
(5星)	 曾经的大爱啊~~            
(5星)	 虽然裴大叔稍不合理点，但是还是不错的啦            
(NA)	 那时我才小学五年级            
(3星)	 多看便也麻木了            
(NA)	 维珍……呕。。。。。。。。俊尚……呕。。。。。。。。我说为什么你还记得他们的名字啊啊啊啊！！！------------------北斗七星~~            
(4星)	 我也曾经被感动过            
(5星)	 记载着那不复返的高中回忆，所以还是给五星吧。            
(5星)	 第一部喜欢的韩剧            
(4星)	 难忘的青春岁月            
(5星)	 故事有点俗，但表现的非常细腻，很感人，哪里感人.....意会吧            
(3星)	 赶在那个时候 哈哈哈 怀念阿            
(4星)	 从此迷上了小裴，并一发不可收拾            
(4星)	 高中时代跟着老妈每晚吃饭时看的，还有流星花园，便是值得珍惜的记忆了，与戏的好坏已无关。。            
(5星)	 　那段青春年少的岁月            
(3星)	 一直没搞明白它为什么这么红            
(4星)	 当年很喜欢的~            
(4星)	 很美很美            
(3星)	 纯属随大流。            
(4星)	 高二高三之间那个补课的暑假——是我最令我迷惑的一段真空岁月            
(5星)	 第一次看时候才16、7岁，哭得那叫一个惨烈。。。现在就没感觉了~~这样得片子只能看一个，只能看一次，像种牛痘，一辈子一次就好！            
(5星)	 起码看的时候还是有被感动到            
(NA)	 比蓝色生死恋一要好看.得多!            
(NA)	 06年的暑假~~冲着裴勇俊和我的眼泪女王看的~~            
(5星)	 第一部爱的，也是最爱的一部韩剧，因此迷恋过裴GG很久。            
(4星)	 老妈爱看（抠鼻            
(4星)	 初中的精神食量哇!简直的了！            
(2星)	 诶            
(4星)	 眼镜帅哥的魅力实在是无法阻挡啊！            
(4星)	 温情路线            
(3星)	 一般般。。            
(5星)	 很经典            
(3星)	 悲情，还是可以滴。            
(3星)	 美则美矣，太假了            
(5星)	 不仅仅是念念不忘。            
(2星)	 觉得不如蓝色生死恋。因为演员年龄似乎要大一些。            
(1星)	 难看到我不想给星~~~主角看着就烦~            
(4星)	 经典            
(4星)	 维珍……呕。。。。。。。。俊尚……呕。。。。。。。。我说为什么你还记得他们的名字啊啊啊啊！！！            
(5星)	 经典            
(5星)	 久远的记忆。少年与少女，多年后相遇，依旧纠缠。            
(2星)	 两个面瘫人的爱情故事            
(4星)	 崔智友的知性白领的打扮，很优雅。            
(4星)	 明明朴龙河要帅些！            
(5星)	 我留过维珍的发型会有人信么            
(4星)	 据说很经典确实也不错演员主要是比较好看            
(5星)	 爱上裴勇俊             
(5星)	 看过这部剧,就更加喜欢雪了...很烂漫啊!!            
(5星)	 我讨厌韩剧但这部赚我好多眼泪啊            
(4星)	 很美好的爱情            
(NA)	 冬季恋歌            
(5星)	 这是我看的最接近完整的电视剧，但是居然  江俊尚与  维珍的身世还是不知道            
(NA)	 他很帅            
(4星)	 最初听说是蓝色生死恋的姊妹篇,很不屑.后来发觉,尹锡浩的四部曲不是通常大陆的续集那般狗尾续貂...剧情演员画面音乐都做的不错....再加一句,我爸我妈我姐我们全家都喜欢唯珍.......            
(NA)	 裴勇俊 和崔~~·初中~            
(4星)	 天知道当初我有多喜欢 超喜欢他们的感觉            
(3星)	 和妈妈一起看的韩剧。高二暑假。            
(5星)	 看来N次还是很感动            
(5星)	 和蓝色生死恋一样让人记忆深刻~            
(1星)	 就是不待见裴勇俊，从此韩剧江河日下            
(NA)	 遗失的感觉挺美的~            
(5星)	 喜欢音乐,喜欢裴勇俊...            
(5星)	 难道我老了...?            
(NA)	 我能看哭的 喜欢他们在学校里的故事            
(NA)	 喜欢雪的原因            
(3星)	 喜欢冬天            
(5星)	 我喜欢维珍。            
(4星)	 看的荡气差点断了肠            
(3星)	 没有蓝色生死恋好看            
(5星)	 好看，好看！背景音乐也好听！            
(4星)	 经典！最美的崔智友就在这里了。            
(4星)	 我果然还是个俗人            
(NA)	 即使高三假期补课也要看的电视剧            
(4星)	 导致我那段时间很迷裴勇俊...            
(NA)	 不得不说   陪我过的日子。            
(5星)	 我看的第一部韩剧啊..还是高二的时候了            
(NA)	 不是很想看，却看到结局的一部韩剧            
(3星)	 2011.03 重新看了N遍 执着是很可怕的 成为执着的傀儡 什么事情都不能够做。            
(NA)	 一部让我感觉流泪的电视剧~~~            
(4星)	 讨厌那个眼镜男....但还是推荐。。            
(4星)	 正好在冬天看的。遗憾是没看到结局            
(NA)	 唉。            
(5星)	 想起了最美的岁月……            
(NA)	 音乐是最好的。比较唯美细腻            
(NA)	 “其他星星都换了方位，北极星依然会在原地，当别人不了解你，不原谅你，甚至离开你，只要我守在原地，你就不会迷路”            
(5星)	 裴勇俊好纯情只是彼时            
(3星)	 女主角让我呕在你脸上好吗            
(2星)	 实在是,太太太太墨迹了            
(3星)	 开场很美，中间很拖，结尾很俗，我妈当时也被某师奶杀手迷倒了            
(5星)	 伤感、唯美、动人，美丽的济洲岛，温暖的裴勇俊，喜爱的韩剧            
(NA)	 崔智友!~             
(4星)	 那时候的裴勇俊的确很有味道~这部“催泪弹”的唯一功劳是：让我迷上了韩国的雪景。            
(NA)	 高三那年在舅妈的庇护下每天偷偷看完的韩剧，崔智友的皮肤针的好白，对于爱情的崇敬也确实过于庞大。            
(3星)	 喜欢韩剧的日子已经一去不复返了            
(3星)	 不再爱韩剧,从这部开始            
(5星)	 超级感动，几乎是边哭边看下来的            
(NA)	 搞不懂日本人为什么那么喜欢他？            
(NA)	 确实比蓝色生死恋更胜一筹，如春晓所说，是深层次的苦咧，那么多次就要在一起了，赚满了我的眼泪。            
(3星)	 那年夏天 如冬日温暖            
(4星)	 矫情            
(4星)	 韩剧老套路，男主角绝症+身世之谜            
(3星)	 音乐极美            
(4星)	 应该不必多说            
(5星)	 大雪纷扬的季节是爱的盛夏。            
(5星)	 看好几遍了```都不厌烦啊 好看呢            
(NA)	 超级喜欢！            
(NA)	 对真心相爱的两个人，对方的心才是彼此最好的房子。            
(NA)	 太冗长拖沓。另外觉得崔智友长得太苦情了，裴勇俊太肥了            
(5星)	 初中的时候最爱的            
(4星)	 小学看的韩剧，完全催泪。            
(5星)	 简直大爱大雪！            
(NA)	 【2002-01-14】            
(4星)	 啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈老好看了吧阿哈哈哈哈哈哈哈哈超愛女豬腳啊阿哈哈哈哈哈哈哈哈哈哈哈哈TAT            
(4星)	 催泪啊，我就不懂狗血剧情老是这么催泪            
(5星)	 看的第一步韩剧，感动的稀里哗啦            
(4星)	 当年和俺娘一起看的，憋泪            
(5星)	 美的像一幅画。            
(5星)	 转眼都快到拍片后的第10年了！再次通宵回味！            
(4星)	 我妈的最爱。。。            
(NA)	 高中时看的？看之前其实我觉得裴勇俊很恶心。。。看完就不会了。。            
(4星)	 结局烂尾了。。            
(4星)	 一度哭死...            
(4星)	 多年后，只记得裴勇俊美轮美奂的围巾了。            
(4星)	 初恋啊            
(3星)	 也是我不想再重温的狗血剧。            
(5星)	 啊~~~看一百遍也不腻！！            
(4星)	 没日没夜的哭啊            
(4星)	 我妈租碟子回来和我一起看的。            
(4星)	 豆瓣干嘛推荐这个给我？第一部韩剧啊，虽然我最后投入了美剧的怀抱            
(5星)	 第一部完整看完的韩剧            
(4星)	 大晚上豆瓣电台突然给我放了冬季恋歌的OST，初中那会谁没有看韩剧花痴的时候啊~~!!! 还是毛小孩的日子呐~      =.=现在看到裴师奶那个笑容会起鸡皮疙瘩的..   哈哈            
(2星)	 ★☆　有够无聊、老套！超级拖沓！！表演得太太太无力了。            
(3星)	 我不喜欢的结尾，初中时看的吧。。            
(3星)	 太长，太悲伤，太韩国的结局。            
(4星)	 上学时一进门就直接看到吃饭，现在想想其实剧情有点狗血。            
(5星)	 初中···            
(4星)	 高中啊~~~            
(5星)	 命运会把你带到我身边            
(4星)	 补看，那时的偶像剧好静好纯。节奏缓慢，悄悄流淌。喜欢《冬日恋歌》的应该都是情感细腻之人吧            
(5星)	 本人最花痴的时候看的。。。            
(4星)	 最感动的那年非典看的，看的时候就一直哭一直哭            
(NA)	 喜欢前半段 后面没怎么看            
(4星)	 那时候还小，会为了这样的故事哭到哽咽。            
(4星)	 因为说最近裴叔捐款了所以想起以前看过这剧……一直觉得女主角长得很日系= =另外我果然还是更喜欢冬天的情调啊            
(5星)	 都是小时候跟妈妈看的…… 虽然自己无感，但是绝对经典呀……            
(4星)	 初中看的            
(NA)	 好多围巾            
(4星)	 曾经和妈妈一起追过~            
(4星)	 如果崔智友再好看一点就好了。。。            
(4星)	 当时真的觉得很好看。。。但现在就记得那时很流行冬季恋歌里围巾的打发。。哈哈            
(4星)	 一直想再看一遍            
(NA)	 我忘了            
(3星)	 当年是围巾控。。。我竟然看过这么多韩剧。。囧            
(3星)	 当年赚了多少人的眼泪啊，我竟没看下去            
(5星)	 这种情结怕是此生挥之不去了。。。            
(5星)	 这是经典了            
(3星)	 不喜欢死亡~~~            
(5星)	 大学一年级那年冬天看的。那个干净的冬天。那些暖暖的记忆。极好的韩剧。            
(4星)	 先看盗版的对门对面，再看的这片子，还是冲着对门对面的吸引，太二了。            
(4星)	 还是很经典的            
(5星)	 我又看了一遍T T            
(4星)	 人美景美，编剧可就太渣了。。            
(5星)	 我就是很喜欢~~好吧，我太不成熟了            
(4星)	 。。记得这部剧是在被逼的情况下看完的。。            
(4星)	 这个也算年少时候的情结好了            
(4星)	 那时候的崔智友真漂亮。只可惜剧情很拖沓矫情。            
(3星)	 裴勇俊很火的一年            
(5星)	 有一年考试时看的            
(2星)	 一开始还不错，后来拖得受不了            
(4星)	 大学时的回忆。            
(3星)	 曾经看过一点点……            
(3星)	 男二已经没有自尊了。            
(3星)	 只有前三集可以看，后面的均可快进            
(NA)	 也是跟妈妈一起看的            
(3星)	 电视上看的            
(3星)	 还是会想起第一次见到的朴龙河...哎 T_T            
(3星)	 初中？            
(5星)	 看N多遍也不厌倦 算我的韩剧启蒙呢 怀念当时在房间里偷偷听声的日子            
(4星)	 哭得我哟。。            
(4星)	 除了慢和反反复复，这是我心中最唯美的剧            
(4星)	 就是因为又把这个拿出来看 把头发剪掉了            
(3星)	 哭湿了我夏天的一床被单啊 让你们不遵守交通规则都得死！！！！T^T            
(5星)	 好吧，我看过一遍又一遍，最后去买了碟。。            
(4星)	 早看过了一直没标记            
(4星)	 一直觉得是当时是这个电视剧看多了，才去了哈尔滨读书。对于相爱的人来说，彼此的心是最好的房子。            
(3星)	 景不错。喜欢他们俩在一起。            
(3星)	 有点无聊            
(NA)	 哭哭哭 就知道哭            
(3星)	 裴勇俊这个家伙，现在依然是夏天穿棉袄吗？            
(3星)	 又走了一位，唉            
(4星)	 依旧多年前的回忆            
(3星)	 当初妈妈很爱看来着            
(4星)	 很久以前看的了            
(2星)	 我怎么看了就一感觉。。。冗长。            
(5星)	 裴勇俊超帅的！            
(4星)	 记得主题歌很棒            
(NA)	 对这片子的印象比蓝色生死恋要深..第一次接触禁忌恋..            
(3星)	 初中时候看的              
(4星)	 裴勇俊             
(NA)	 不觉得经典……            
(4星)	 小学看的, 之后重复看过很多遍, 并且有了心得: 1. 得了脑瘤要去美国做手术才能保命, 不过可能会瞎. 2. 记忆是可以用催眠术删除的.            
(3星)	 我当时怎么也会喜欢这对老男人老女人内= =            
(5星)	 ！            
(4星)	 那一年代的电视，那一年代的明星。            
(5星)	 配乐很好...            
(5星)	 那片雪白总能让人伤感            
(4星)	 智友小姐的短发和衣服真是好看。            
(NA)	 崔智友，说不上喜欢，男主也不是很喜欢，竟然还看完了，呃~~            
(3星)	 经典归经典，但还是不喜欢这种调调            
(3星)	 这个……看完《蓝色生死恋》再看这部传说中的续集，怎么看怎么都觉得男女主角不好看。。。            
(3星)	 迷倒小女生无数            
(NA)	 好像看过？            
(5星)	 我也看过经典韩剧哦。            
(NA)	 啊！！美国！！加州！！桔色的大家每天守候的中文电视剧！！远拉近拉的所有长镜头！！            
(4星)	 童话故事，永远不会在现实生活中上演。            
(4星)	 补            
(NA)	 不喜欢            
(5星)	 first love , forever love            
(4星)	 不如蓝色生死恋，也还行            
(3星)	 崔大妈真的很能哭            
(NA)	 冬天是适合恋爱的季节么。佳慧曾经这么问过我。            
(NA)	 恕我直言，世界上最难看的韩剧和最讨厌的韩星了            
(3星)	 一会是妹妹一会又不是一会又是了。。。            
(5星)	 除了藍色生死戀，我第二喜歡的一部韓劇，喜歡崔智友，一直記得一句話，對方的心才是彼此的家            
(NA)	 妈妈喜欢            
(3星)	 小学！觉得这个世界快要充满悲伤了。            
(NA)	 俊俊T T            
(5星)	 开启我的韩剧之路            
(4星)	 剧情就算了。。看下人人儿。。。            
(3星)	 陪妈看的。。            
(4星)	 崔智友甚秀、甚美！            
(NA)	 不太喜欢裴勇俊            
(4星)	 哎。裴大婶啊。。。            
(4星)	 那段时间天天等到很晚看的，看到第二天上课都迟到了            
(4星)	 就是太纠结了。。。            
(4星)	 曾经的大爱~~~            
(5星)	 觉得最好的一部，没有之一。            
(NA)	 对大脸哥无感            
(5星)	 想当初上小学的时候真的是超迷裴勇俊！！！            
(5星)	 纪念忘不掉的人            
(3星)	 当年裴勇俊也是万人迷，嗯，好多年前的事了            
(5星)	 尽管看了n遍我还是没有看到最后的结局            
(4星)	 也只有在电视剧中才有            
(3星)	 妈妈说裴长的像我爹年轻的时候            
(3星)	 小裴居然演丑闻。            
(4星)	 我就不明白了，像我这一把年纪的人，为啥还能为这种完全不现实不真实不事实的纯爱剧再N次打动，并且深受其害呢？            
(NA)	 崔智友美在哪？不过我真的很喜欢冬天。            
(5星)	 我屈指可数的看的完整的电视剧哦，萌死了，当时。            
(3星)	 真不是一般的曲折····有一段近乎又臭又长忍无可忍不过各式各样的大衣和围巾还不错            
(4星)	 美            
(3星)	 围巾风尚。。。            
(4星)	 纯净的人物与情感~~            
(3星)	 我还是喜欢《情定大饭店》            
(4星)	 回忆，回忆，TMD，除了回忆，还是回忆。            
(4星)	 纯纯的感情，有点不切实际，感情真的经得住这么多的考验吗？            
(4星)	 -我在想 你可能没有真正爱过一个人吧 你不知道一个生活在你身边的人某天早上忽然消失的感觉 周围的一切都没有改变 只是你身边少了一个人 那种感觉像你这样的人会明白吗            
(4星)	 青春的回忆 -    -            
(5星)	 对于相爱的人来说，对方的心是最好的房子。            
(4星)	 看了一个不怎么好的版本。翻译真的好烂。            
(4星)	 额……当时多喜欢裴勇俊的，他好像是师奶杀手的哇            
(4星)	 还记得最开始听到冬日恋歌，听到裴勇俊的名字，是在萌芽上。当时还不屑一顾咧~没想到接下去一个月，这部剧以迅雷不及掩耳盗铃儿响叮当之势红遍大江南北。我也从裴叔叔身上找到了令人欣赏的干净气质。干净，也是整部剧的气质。好喜欢俊相的穿着，除此之外倒没有什么感想了……            
(NA)	 那时候认可的帅哥啊~            
(2星)	 所有狗血韩剧剧情的鼻祖之一啊- -            
(3星)	 没有对门对面好看=_______________,=            
(3星)	 实在看不下去，            
(4星)	 最伤神的一部 再不看此类剧            
(5星)	 迄今 裴勇俊高居不降的人气足以说明该剧的经典地位            
(5星)	 经典阿！            
(4星)	 那个地方的雪景很漂亮，另外确实有太多围巾了            
(4星)	 就是韩剧套路。。。            
(4星)	 配乐 我喜欢配乐            
(4星)	 曾经被感动过。。。。            
(4星)	 原声不错            
(4星)	 我看过的唯一韩片，开头很纯，后来有点拖，裴勇俊还是很帅的            
(4星)	 Orz我那时候咋会迷上裴大妈的。。。= = 原谅我那时年龄小吧            
(3星)	 太早啦，都忘了            
(3星)	 也是一半看不下去的……            
(4星)	 韩剧里比较喜欢的..            
(NA)	 那段接吻时发现~裴大叔的嘴好香肠啊= =            
(5星)	 我最爱的韩剧，不，应该说是我最爱的爱情。            
(3星)	 坚持着看完，差点没把气看断。。。好看是还不错，但节奏确实是。。。            
(3星)	 音乐 以及当时一起看剧的阿爸说 在争吵中表白是个不错的方式            
(NA)	 裴勇俊现在成了大叔了..            
(3星)	 于是，热了围巾男            
(5星)	 给裴勇俊5星            
(5星)	 捧红了崔智友裴勇俊            
(NA)	 从此爱上雪，崔智友的眼睛后面基本一直红着            
(5星)	 自此喜欢上他和她            
(3星)	 崔智友很有味道啊            
(5星)	 看完之后想去哈尔滨            
(4星)	 我最喜欢看的韩剧。            
(5星)	 裴勇俊没的说！~            
(5星)	 四季恋歌之——冬日篇            
(4星)	 失恋时候看的。。用看片子的机会可以明目张胆的哭。。爱情真的是会始终如一的坚持么。。。            
(5星)	 很久的记忆            
(NA)	 韩版的好看            
(5星)	 对爱情的守护。            
(4星)	 忘了你，但还是可以重新爱上你。            
(NA)	 悲伤的故事，圆满的结局！            
(4星)	 裴勇俊 崔智友。韩国人真懒啊！这两个主演哪一点像高中生了？居然开头几集也不肯另换演员。这部算是韩剧里我比较喜欢的了。其中的第二集，我现在还存在电脑里不舍得删去。             
(3星)	 怎么快到最后看着没劲了，很多人喜欢崔智友，纯是纯，但是感觉没骨头也没神经，一点也不鲜活。            
(4星)	 小学六年级的我 每天放学发疯地赶作业就是为了晚上能看裴勇俊             
(5星)	 要死要活            
(5星)	 我是多么喜欢高中时期的他们。            
(4星)	 少数几部至今未看完整的剧集,因为真是看一集哭一集,坚持不下去...            
(5星)	 以后一定要去江原道滑雪~            
(NA)	 不错的。            
(5星)	 给五星的理由，不必说````            
(4星)	 唯美的冬季，可惜经不起多看一次~            
(3星)	 让冬日飘扬的雪再浪漫些吧&gt;&lt; 不喜欢裴扣一星            
(3星)	 大三时候看的。            
(3星)	 经典韩剧之一，但不喜欢男主            
(NA)	 那时的裴勇俊还是很有杀伤力的~~~            
(3星)	 同事推荐说是可以流泪的唯美爱情片只是眼泪在那呢 唯美在那呢             
(4星)	 其实没看完 只看了前面几集 除了哭不记得还有其他什么感觉            
(4星)	 因为这个喜欢上的裴勇俊~现在看那些肌肉真是反感~            
(4星)	 小学看的,好怀念他们在白雪皑皑的公园里亲吻的模样            
(NA)	 那时候 喜欢这个。在蕾蕾姐姐家住的时候看了这个。 还记得同桌的男生叫我的名字 如果我没听见 ，他一定会说裴勇俊 张娜拉，然后我的注意力就被引过来了。哈            
(NA)	 高中时很迷韩剧，现在完全没兴趣            
(5星)	 算是最喜欢的一部韩剧！~            
(5星)	 初二,怀揣着坦荡不安的心情,在我妈的房间,边看边等着开完家长会的妈妈回来.            
(NA)	 最初。。。犹记得雪地里的那场戏            
(3星)	 看的时候很喜欢，在家，每日一集还是两集地等            
(3星)	 一樣是拖拉的韓劇風格。但其實我看這部劇是中間隔了好久好久然后再次看時卻沒了當年的那種懷念時過分美好的感覺。其實這部劇只要看前面再看結局就好了，實在太拖拉了！            
(4星)	 那是一个时代，必须记得那围巾和滑雪场            
(5星)	 百看不厌的经典~            
(5星)	 与豪杰并列classic~~            
(3星)	 第一部韩剧。还记得100块的押金。去租的碟子。            
(4星)	 音乐很好听！            
(3星)	 我真的不喜欢裴勇俊            
(4星)	 初中时候超级向往的爱情……冬季，雪，还有初恋。            
(4星)	 一段很美好的记忆。            
(5星)	 美……一个字！            
(4星)	 音乐不错~            
(4星)	 那时侯有很多人喜欢裴勇俊            
