http://movie.douban.com/subject/6026046/	雷普利小姐 미스 리플리
(3星)	 单纯冲着天哥哥看的啊            
(5星)	 waiting,till that kind of person appears.            
(2星)	 不知道抽了哪条筋来看这个，3集开始快进，8集想弃剧。各种玛丽苏。男主太圣母了，受不了。            
(5星)	 看到后来  老是哭~被感动~三个不同男人的爱~朴有天、李多海都爱！现在听到里面的歌曲，都会有想哭的冲动啊！            
(4星)	 虽然知道是脑残棒子剧，但是看到最后母女相认时眼泪就像关不住的水闸~            
(4星)	 朴有天太丑，结局开放。。其它还行            
(3星)	 李多海你是要有多坏！！！~~            
(4星)	 心机女成长记            
(3星)	 喜歡李多海，但真的看不下去            
(3星)	 结尾真煽情,虽然落入俗套了````韩国人的一贯套路``嘿            
(5星)	 灵魂的救赎，回归到真实。            
(3星)	 每次想弃，又舍不得弃。            
(4星)	 千万别撒谎            
(4星)	 女主的服装造型很赞！~            
(3星)	 看得我，有点无语啊～～不过现实中确实存在这样的人。这片子还是蛮现实的～～推荐～            
(4星)	 刚开始是不错的剧情 很吸引人  从总体看  是 揪心 (大概是这个词来形容吧)  很少有韩剧从头到尾给人的印象都...挺难受的.   心想后面会好一些  可是没有              
(4星)	 剧情给力，还有朴有天演...私心四星            
(3星)	 金胜佑让我想起大饭店中的经理角色 仿佛跨越时空从当年的大饭店里面走出来 工作严谨 一丝不苟 只是剧情后半段有点牵强             
(4星)	 蛮好看的。。颠覆了韩剧一向的套路            
(NA)	 有天不是男一么？为嘛前5集都没他什么事啊。。最关键的是尼玛李多海居然和金大叔滚床单了！！！这让人怎么看下去啊            
(3星)	 无法辨别孰真孰假。            
(4星)	 不错            
(4星)	 有点沉重 还有就是女主这个角色是在让人喜欢不起来            
(NA)	 人生总有许多无奈，该怪谁呢？到底谁对谁错？            
(3星)	 Mickey真是帅啊。其实我不太懂相敬如宾能有怎样的爱情。。。            
(2星)	 看了两集囧了            
(4星)	 李多海的脸太绷了，要命的是我居然看完了            
(3星)	 看了两集就看不太下去了..可能是被剧集简介影响..            
(4星)	 把偶然当成缘分。怎么想在一起也不可以的缘分。            
(3星)	 多海那张整畸形的脸呀~~~怨念            
(3星)	 剧情铺太开，结局有点hold不住呀            
(4星)	 李多海在这部电视剧中咋这么漂亮啊！受不了啊！            
(3星)	 男女一二角都非常有看头            
(4星)	 还可以              
(3星)	 多多是个好演员            
(NA)	 老套剧情　看不完了            
(4星)	 来这个世界就是走个因果轮回。            
(5星)	 主题真的太沉重了。。。。可是很好看，感动到            
(4星)	 揭露人性，到了第十二集是剧情发展的高潮部分。            
(3星)	 这个，那个，期望太高            
(NA)	 永远最爱多海。这部剧演员都演的不错，就是剧本一般。太遗憾了啊。            
(4星)	 好吧，这种结局，但是还是觉得不错。            
(3星)	 剧情编得让人太难受了，里面每个人都怪得让人不可思议!浪费了里面的好演员，想念成均馆绯闻里的朴有天!            
(3星)	 围观到脑残            
(2星)	 跟城市猎人没法比            
(4星)	 整个剧的基调都是沉重且让人心痛的，三个深爱着她的男人，一个破碎的的家庭造就了她的性格。不论怎么说，她终究还是那个渴望着爱和关怀的女孩，不论再怎么隐藏，都无法改变。。。            
(2星)	 然后我就不喜欢李多海了。            
(4星)	 韩国女人演坏女人，简直太上道儿了...            
(4星)	 当自己爱的人掉进了粪坑，要么把她拉上来，要么自己也和她一起跳进粪坑，这才是爱！大叔你好有见地啊！            
(3星)	 李多海美的不认得了,那个大叔,哎,还是弃了.            
(NA)	 欺骗 谎言 太可怕了 都没敢看下去            
(NA)	 他予的爱情，干净的像初夏的白蔷薇，真挚而纯洁， 谁都会为了爱情最初的模样目眩神迷，即使是千帆过尽，却又从未学会爱情的她。这样的爱情，存在于算计之外，让人身不由己…只要发自内心的爱着一个人，人生就还有救。于是，我在等待着，等待摘下面具的她去重新认识自己，去展开这段洁白令人艳羡的爱。            
(5星)	 有回味的电视剧            
(5星)	 成熟的李多海，性感美丽，满分！男主很帅，很配。剧情很好看，难得的好剧！            
(3星)	 女主让人爱不起来            
(3星)	 有仟偶吧是理想型啊！            
(2星)	 就是看有天而已.....            
(3星)	 前期过于完美的宣传。            
(2星)	 少有的被我和我妈同时弃之的剧...朴米以后接戏必须慎重啊!!!            
(3星)	 两小时看完，实在是太压抑了。            
(3星)	 我想骂死编剧导演。但是真心喜欢朴有天李多海。ost很棒很棒            
(4星)	 喜欢多多的人看看还是不错的~            
(5星)	 坚强真实地活着~~“有点像”            
(3星)	 有点小压抑~李多海没有以前好看了            
(2星)	 女大18变，老妈不认识女儿可以理解。女儿不认识老妈难以想象。编得太离谱了。            
(3星)	 很纠结的剧 最后也没看完            
(4星)	 你说不管我什么样子都会爱我，我摘下面具，看到了落荒而逃的你。            
(5星)	 这个也可以叫《坏女人》，它和《坏男人》遥相呼应            
(4星)	 还需诚实之爱            
(3星)	 用谎言堆砌起来的恋爱，看的人没有丝毫甜蜜，只觉得像吃到苍蝇那样令人作呕。是爱情还是欲望？两个男人知道真相后还能死心踏地爱她，编剧也太YY了吧。恶女做女主的片子让人难以消化            
(3星)	 为了李多海去看的，整个片真的只是看她，比my girl时候漂亮太多，也僵硬太多。李多海的身材真是让人流口水，那双腿美得不像话~~~            
(2星)	 谁说好看的   真是的e            
(4星)	 你相信一见钟情吗？            
(5星)	 题材不错,,尤其是第一季很文艺~ 可素我竟然不记得到底看完结局了没..记忆中朴有天那首边弹边唱的爱的人 很好听            
(3星)	 男主真丑啊。男二太好了。            
(3星)	 各种看不下去啊，多多怎么可以演坏成那样的女人啊，坏的各种理所当然啊理直气壮啊，想一拳打上去好么。。。            
(4星)	 我这一生，渴望被人收藏好，妥善安放，细心保存，免我惊，免我苦，免我四下流离，免我无枝可依。            
(4星)	None
(1星)	 打發劇終於看完了...結局很無奈莫名其妙就這樣沒了...總的說非常不好看            
(NA)	 李多海太恐怖了            
(5星)	 编剧写的很雷，如果换个编的完整一点，人物形象还是事情发展符合逻辑一点，肯定又是一部经典，可惜了四位主演了。。            
(4星)	None
(3星)	 又是为了朴有天...其实剧情有点松散...爱恨情仇的表现苍白...不过李多海虽然整容整得面部僵硬却意外得将这个可恨又可怜的雷普利小姐演得很到位...谎言终有被揭穿的那一天，面对一切归零的人生也需要很大的勇气，但或许那才是真正的开始，上帝赐予的苦尽甘来的机会。            
(3星)	 剧情不怎样，演员被动。            
(4星)	 非常纠结            
(5星)	 这星仅仅为了朴有天            
(3星)	 李多海瞪人的样子吓死我了，金承佑真的老了T  T，有天接错戏了，女二脸好熟脸好熟为什么脸好熟。。。            
(NA)	 李多海在里面太有心计了~~            
(3星)	 看不下去 看不下去            
(3星)	 怎么说呢~奔着多多和有天去看的片子~真个片子除了最后一集，就是压抑两字。最后一集的结尾还是可以接受的~有天的演技也是一集比一集要好~但是我想说现在的编剧都没什么逻辑，把观众当傻子，美丽这种那么没技巧的骗局也能搞得像瞒天大谎一样，真是瞎扯~            
(3星)	 立场问题很微妙啊...            
(3星)	 有天啊，你到底是有多爱女主~~~            
(NA)	 3话弃。从没见过被刻画得这么讨厌的女主。            
(3星)	 李多海整的木有感觉鸟            
(1星)	 剧情真是残的无敌了，女主角又十分造作，可惜了两个大帅哥            
(4星)	 许久不曾看韩剧的人因为这个女人的决心触动了我            
(2星)	 扯淡啊            
(5星)	 看的我郁闷至极，太揪心了            
(4星)	 这种复杂的感情真的不太喜欢，完全是冲着喜欢的演员去的            
(3星)	 谎，谁都会说，但活在谎言真是太可怕了            
(3星)	 一点都不好看。。。但是还是给不了二星的韩剧。起码。化妆还不错。            
(1星)	 我承认我就是个肤浅的人，完全没看出什么深意来...跳着看跟到第十集...有几个片段还行。OST还不错，大米那首最赞！各类剧都能接受，就是这调调实在是理解不来...据说后来弄来个莫名其妙的结尾，又没兴趣了...暂时先弃了吧= =PS：不知多海姐姐是否觉得闲着的自己很美...我觉得像鬼...            
(3星)	 朴有天好乖哦其实。。李多海那身材太安逸了啧啧啧。。            
(NA)	 看到第三集还是第四集的下集预告啊 我就没看了            
(3星)	 勉强能看得下去            
(4星)	 6集弃剧。。剧情实在是不讨喜。。白瞎了这么好的演员。。            
(4星)	 李多海，还是很漂亮，但是已经完全的没有灵气，像很多的女演员一样，美丽，漂亮，却失去了自己原有的个性，不同，金承佑，没得话说他总是能抓住你的心            
(3星)	 最后真心被编剧毁了            
(NA)	 只是奔着有天去的  剧情实在太狗血            
(2星)	 韩剧就是看看简介看看人囧。尼玛能有点营养么朴有天你就喜欢镁铝哼。            
(4星)	None
(3星)	 甜甜啊~ 真是&gt;&lt;            
(4星)	 李多海演技越发娴熟  题材很喜欢~            
(4星)	 看着中途都受不了了，纠结的不得不停下。            
(4星)	 为什么取了这个名字?            
(4星)	 我这一生，渴望被人收藏好，妥善安放，细心保存，免我惊，免我苦，免我四下流离，免我无枝可依。            
(5星)	 近年来少有的有深度的韩剧，同情理解女主角，音乐很好听            
(4星)	 前半段的女一号实在让人喜欢不起来。后半段编剧竭力表现女主角的悲惨身世，落入俗套的男女主角的上一代赋予的姻缘，女主角开始要弃恶扬善却也失去了该角色的魅力，我看到的只有李多海瞪着两只大眼睛满含泪水的故作无辜表情。幸好朴有天的角色在认识张美丽的真面目后表现出了他应有的态度，人物高大            
(2星)	 看了2周 弃了            
(NA)	 因为这部剧彻底喜欢上有天了~~~~            
(3星)	 弃。            
(3星)	 以打发无聊消遣为目的的盲目追剧太不明智了，特别是掺杂各种沉重主题的剧集。三个男人一台戏，全都是苦大仇深的主，女主角则把你想都不敢想的悲剧都揽在身上了，而每每看到她抽泣掉泪青筋暴突露出美丽的锁骨的时候，都忍不住念叨她的名字，张美丽。            
(5星)	 = = 蛮悲催啊 。 不喜欢女二号。            
(4星)	 李多海演技真的太好了！！！            
(3星)	 看完之后没那么爱多海姐了。。。唉，三个男人一个女人故事吧            
(3星)	 最值得提的是李多海的穿着和身材真的很赞~但是 是因为自身对大叔比较感冒吗？我反而觉得美丽应该爱的人是张，是张给了一无所有的她真心和真爱，他为她付出了那么多甚至对她说，只要你想要的我都能给你，不，是我都会给你。那一刻她就应该满足。到最后他还是用自己的方式去爱她成全她。反而难以理解她和            
(5星)	 真的很不错的剧            
(3星)	 纯粹看大米，剧情慢            
(5星)	   Wuli米爷            
(2星)	 不大接受女主是这么坏的人，两颗星只是给女主的衣服和整的和之前完全不像的李多海的身材，故事很艰涩            
(4星)	 给人折腾死。。            
(4星)	 李多海~怎么那么漂亮。。还有，男主角也太见死不救了点，口口声声地爱她，都在心脏里堆积了？？？            
(3星)	 我是为了有天偶吧才看的好么。。真的剧情什么的都不好看好么(┳＿┳)...             
(5星)	 有天哭得像个孩子。最后好像一切都回到了原点。希望他们能够重新在一起。因为，我是真的爱你。            
(5星)	 为了朴有天才看的，李多海在里面好漂亮的。            
(4星)	 李多海整容和减肥之后漂亮很多。            
(NA)	 情节很特别的一部剧~~~喜欢姜惠贞呦还有李多海、、、的造型~~~            
(4星)	 這女人真是在玩火啊，但實在玩的太有水準了，都有點看不懂她了。            
(3星)	 多海MM演的很努力，看得出来，俊男靓女的搭配也很吸引眼球，无奈韩剧的风格和剧情的简单已不再吸引我。            
(3星)	 有点纠结啊            
(1星)	 真心不喜欢这剧，剧情那么阴暗。            
(3星)	 还是有点虎头蛇尾，力度一下减弱很多后来，李多海有突破，脸和身材太完美了，朴有天演技进步很大。在韩国，伪造学历是要判刑的，这里呢？结局竟然都没能在一起，哭啊~~            
(NA)	 真要命啊=。=李多海再贱            
(4星)	 一开始搞得对别人认为她是靠色相的女人很敏感似的，后来还不是靠色相去诱惑人达到目的，张美丽你是要闹哪样！wuli有天的演技越来越好啦~还是熙珠好，傻傻的可爱死了~张美丽的无耻实在看不下去啦，裕贤啊你个恋母的怎么就对这么个女人一见钟情！不能因为身世可怜就纵容犯罪啊，无法赞同的女人！            
