http://movie.douban.com/subject/1790373/	我的女孩 마이걸
(4星)	 男女主还不错，男二和一干配角也还蛮可爱            
(NA)	 苦恋，俊基应该比功灿帅多了，哼            
(5星)	 李东旭好帅好帅.李俊基好帅好帅            
(4星)	 要万福哦~            
(4星)	 傻姐的模式很流行啊            
(5星)	 美丽的灰姑娘故事            
(NA)	 不小心跟着湖南台看了orz            
(NA)	 我超爱~~~~            
(2星)	 不知道为什么 就是不喜欢。  - -            
(NA)	 因为这部韩剧而认识了李俊基，喜欢他对爱情默默的承受的            
(3星)	 李多海在这部里面比较可爱            
(5星)	 李东旭····            
(2星)	 无论是故事还是拍摄都显幼稚的韩剧，只要挑几部有代表性的看就行了。            
(4星)	 最爱李多海~~            
(5星)	 好喜欢            
(NA)	 很帅…………表PIA我……            
(5星)	 李多海每次演贪钱的小丫头都好好笑。            
(4星)	 好吧,你可以鄙視我看漢劇,但我要說,我喜歡薛功燦這男人..            
(NA)	 哭死我            
(5星)	 我喜欢不叫人心碎的爱情            
(5星)	 音乐不错            
(4星)	 好看，非常好看            
(3星)	 汗。多海真漂亮啊            
(3星)	 女主角太做作            
(5星)	 剧情不错，结尾更好玩。但俊基的戏份好少，朴诗妍的脸一看就是整过的，好不舒服。            
(3星)	 李多海特做做了            
(4星)	 女主角很讓人喜歡。。。你會萬福的哦～～～深入人心啊。。。            
(4星)	 小并不代表不忧伤            
(1星)	 我从来没给过一星的.My Girl牛!            
(NA)	 男主角、口水中……            
(5星)	 我的爱情，不是谎言。            
(4星)	 妖精说,我笑起来像珠裕玲            
(5星)	 喜欢就是单纯的喜欢            
(3星)	 韩剧绝对是结构主义的系列产品            
(4星)	 湖南卫视。            
(NA)	 有些人说我很像她~~~            
(5星)	 很搞，也很煽情~~~            
(4星)	 。。。我知道它很俗套 但是只要想起那个总能用笑容隐藏眼泪的女孩 我就很难过。。。很难过啊            
(3星)	 我喜欢俊基才会去看的            
(4星)	 歌都还不错!            
(5星)	 我的女孩。            
(5星)	 劇情安排得很好            
(4星)	 第一遍看时超喜欢~之后后来觉得似乎不是很耐看~            
(NA)	 太帅了.....            
(4星)	 女的真会讲话            
(4星)	 4-            
(3星)	 因为男主角颇似一个人            
(3星)	 大二的暑假前看的.宿舍的人在看,我无聊也跟着看,尤其下班回到宿舍,累啊.相当适合消磨时间.            
(5星)	 bixa加油拉            
(3星)	 心疼小受受哦            
(NA)	 纯净饱满 纯爱深情            
(4星)	 为什么男猪让男配抢了风头            
(3星)	 多多还是可爱活泼点儿看的讨喜~~~            
(4星)	 very very funny            
(5星)	 打发时间。挺好的。            
(NA)	 ???            
(4星)	 07.01.22 af.@home pc EP01.            
(5星)	 可爱，搞笑~~            
(5星)	 可爱的故事            
(5星)	 很好看的韩剧。。。            
(5星)	 最后几集哭得很难过            
(3星)	 陪娘亲看的。。。            
(3星)	 悲剧的男一号，居然被男二号抢光了风头。            
(2星)	 男女猪脚丑的哎。。。。剧情也很扯 ==            
(3星)	 为啥母上大人那么喜欢李多海啊啊啊            
(1星)	 = =。            
(NA)	 从这里开始爱上李俊基~~            
(NA)	 高中陪着我妈才有电视看 什么都不挑的。。。还得跟她讨论剧情才行。。不然会被赶去做作业。。            
(4星)	 还差一颗星是为了申讨讨厌的编剧，居然把李俊基害的那么可怜~天理不容            
(3星)	 很娱乐 但还是有点拖啊             
(NA)	 真没见过这么土的韩剧女主角            
(NA)	 李多海挺可爱的            
(3星)	 没有人觉得朴诗妍长的很美？PS：薛功灿是我的型！            
(4星)	 白看不厌令人放松的片子。。            
(5星)	 我看过的最好看的韩剧            
(5星)	 最爱的也是唯一看完过的韩剧            
(4星)	 和小潔一起看的            
(3星)	 烦李多海            
(4星)	 重点。。结局。。春香和梦龙。。擦！！！！！！！！！！！！！！！！            
(4星)	 原来我从小到大看过那么多韩剧..这部我也挺喜欢            
(2星)	 剧情很烂，演员也烂。            
(NA)	 我无聊到一定地步了……            
(3星)	 看过的第二部韩剧。。。。其实根本不想看，只是想让自己当回白痴            
(4星)	 可是，李东旭真正的帅气，还是在中央8那个60集的连续剧里边儿，他媳妇儿叫珍娇还是恩娇来的，但是他的名字我都忘了……            
(4星)	 虽然看到后面就看不下去了。但是帅哥美女云集，剧情也算是不错的。            
(2星)	 俺不喜欢女主。            
(4星)	 该是你D就是你D            
(3星)	 女的演的太夸张了，不喜欢            
(3星)	 中考完看的,笑死了.            
(4星)	 电梯里的许愿 下雪天的生日 三温暖里的恶作剧 撒谎硬币 电梯里学放屁 辣椒辣的说成不辣的 坚持到最后            
(3星)	 难得看韩剧…            
(2星)	 讨厌棒子- -            
(4星)	 好久没看到这么有意思的韩剧了，真的推荐大家看看http://tv.sohu.com/s2009/wdnh/index.shtml 这个地址还不错 挺清楚滴~~            
(5星)	 笑死了哇！            
(5星)	 又看了一下，还是很喜欢~~            
(NA)	 就挑他们俩的对手戏看，止步12集            
(4星)	 觉得这是韩剧里最好看的了            
(4星)	 看此片的那一年，其实我很幸福！            
(NA)	 竟然看过这么多垃圾电影            
(4星)	 不是我的菜，大学时候在同学寝室里看的。            
(4星)	 三年後，覺得男主角實在很可愛，額···            
(5星)	 女主角很漂亮            
(3星)	 挺逗            
(5星)	 韩剧啊~~~好看的不行的韩剧~            
(4星)	 非常讨厌女主 非常喜欢男主            
(NA)	 啧啧 印象比较深的一部片子很干净比较喜欢            
(2星)	 受不了女主夸张甚至有点做作的表情演出。以及男主扑克牌一般表情幅度极小的假装深沉。应该中和一下。            
(3星)	 不过不失。。。老套╮(╯_╰)╭            
(5星)	 当你一个人在屋里偷偷通宵看完的            
(2星)	 boring ...            
(4星)	 李东旭在里面帅爆了.!!!            
(1星)	 看了第一集看不下去了。。。            
(3星)	 要不是看在JK的面子上根本不会去看这个片            
(4星)	 搞笑和感动。谎言却让人看出你的真心。            
(4星)	 每次政宇一出场，我就想冲进电视里对幼琳说：你就从了他吧！！            
(4星)	 * 爱情和吃辣椒一样 是无法掩饰到底的 * 棒子剧的典型，呃~觉得还是有点虎头蛇尾。难得有一次，我喜欢男二，也还算喜欢珠幼琳，她活得很真实、够清醒。            
(3星)	 long long ago            
(5星)	 曾经追得发狂的电视剧。看了几十遍了吧？感谢编剧给了个不错的结局。可爱的多海，帅气的东旭。            
(5星)	 高三时看的。            
(NA)	 let&#39;s boo this show            
(5星)	 史上无法超越的韩剧。。。。            
(4星)	 其实这个里面看看，还是男主比男二好看~            
(5星)	 我还是觉得李东旭很像我同学楞子            
(5星)	 高三暑假看的……            
(5星)	 看了好多遍，又哭又笑，很好很好            
(4星)	 不错啦            
(3星)	 不喜欢李多海色特细细的样子。。            
(3星)	 哈哈哈只看了头和尾，只是因为李准基   不得不承认太韩剧了，            
(4星)	 太纯洁了这爱情            
(4星)	 韩国制造。            
(3星)	 李东旭的侧脸是完美的            
(3星)	 那个男人 我喜欢            
(3星)	 全冲着俊基去的...            
(5星)	 清醒的活在童话世界里，纯属娱乐！            
(4星)	 正雨啊～不得不承认，李俊基很有腔调            
(4星)	 满好笑的……可是女猪的衣服也太乱搭了吧            
(4星)	 大一暑假看过的 男色加女色促使我看的            
(4星)	 李俊基真美            
(2星)	 一般            
(3星)	 本来是冲着李准基去的，结果还是倒下了，破啊~··            
(NA)	 李俊基            
(NA)	 青春剧，这种剧集除了爱情还是爱情！但是就是让人着迷！            
(5星)	 爱上jk的第一部...            
(NA)	 不知道为什么~看了不止一遍~            
(4星)	 第一次看李俊基的戏 喜欢正雨            
(NA)	 一般            
(4星)	 男主角不怎么样，暑假在家湖南卫视放的。音乐还不错，不过现在讨厌棒子，都删除了。            
(5星)	 我喜欢跟小屁孩讨论这个            
(5星)	 继承了《豪杰春香》的优点。            
(3星)	 当年疯狂            
(4星)	 音乐很多变，剧情也有点新意，总体不错            
(NA)	 杠杠的人 命就是好            
(NA)	 女主角很漂亮搞怪            
(1星)	 简直无厘头...            
(4星)	 还是很嘈的。李俊基帅。            
(4星)	 三天便看完了。有几处感人的地方让我落泪。            
(NA)	 极度讨厌女主角            
(3星)	 男二号您能更娘点儿吗            
(5星)	 难得看完的电视剧，还是通宵看的。。            
(5星)	 还蛮好看的            
(NA)	 衣服好看呐.            
(4星)	 呵呵。。很久了            
(NA)	 06年的暑假~~原谅我还是没有喜欢上李俊基~~            
(3星)	 轻松搞笑类^            
(5星)	 好看好看～～            
(3星)	
(4星)	 　只因为我也曾是说谎的男子。因为我的爱情世界，同样不是谎言。美丽的谎言，比我更重要！··我相信我爱的人是幸福的。  祈祷！            
(3星)	 看看李俊基吧！            
(5星)	 曾经追过~~呵呵~            
(5星)	 DVD            
(4星)	 爱情是给机会 培养的。。。歌曲实在是好听            
(3星)	 还行吧            
(NA)	 看不厌。            
(4星)	 李多海的大转变竟然如此可爱！            
(NA)	 喜欢珠裕琳的爱情观，爱的方式            
(4星)	 可怜的俊基。。            
(4星)	 当时看这个看得很开心^_^            
(NA)	 这个故事更离奇 主人公也更有魅力 永不厌倦            
(3星)	 李俊基很惊艳！！！尤其第一集的出场镜头~喷血~            
(1星)	 我X这部恶心的泡菜剧            
(4星)	 咱们中国有个《天上掉下个林妹妹》很类似。            
(4星)	 我喜歡有良好性格的人。。。呵呵，，這就是原因。。            
(1星)	 瞄过几眼，很讨厌·            
(5星)	 那个男主角很MAN 很帅！！！！            
(NA)	 。。            
(4星)	 女主角不满意 结果一直没看全            
(NA)	 喜欢女主的漂亮衣服~            
(2星)	 傻            
(5星)	 李多海的衣服超漂亮哦。            
(5星)	 你会得福的！            
(4星)	 多海妹。            
(3星)	 李俊基阿~~帅阿~~~            
(4星)	 AI my girl             
(NA)	 还行            
(5星)	 看的真的很开心，好可爱的女孩~            
(5星)	 功灿是我喜欢的型，ta的车更是            
(5星)	 我的最爱薛功灿            
(2星)	 演员我觉得都不好看。            
(3星)	 衣服好漂亮~            
(5星)	 非常喜欢看，非常喜欢珠裕玲            
(4星)	 会万福的噢~            
(4星)	 女主角是粗糙版的宋慧乔；男主角是粗糙版的元彬            
(5星)	 当时看还是挺有感觉的,,喜欢上了李俊基,可觉得男主丑了点!!呵            
(5星)	 好好生活，好好工作。值得推荐的一部轻喜剧。            
(2星)	 电视剧             
(5星)	 很好笑~            
(NA)	  我的女孩             
(4星)	 用谎言守护的爱情            
(NA)	 由这部戏，开始喜欢李俊基的            
(3星)	 俊基很好。            
(4星)	 不错看，喜欢李东旭的脸- -            
(4星)	 傻得可爱            
(5星)	 看了许多韩剧，竟然被这部剧感动到了……            
(NA)	 李东旭~~            
(4星)	 看过的韩剧不多，这个是一部。            
(3星)	 没看完            
(5星)	 还是我家男人...但后来我叛变支持男一女一配对鸟...咳...            
(3星)	 女主角演得好假~            
(4星)	 是一部《宫》和《浪漫满屋》的综合体            
(4星)	 李东旭真的太帅了,太帅了.功璨!!            
(4星)	 只有在电视里才能看到这么浪漫有趣的爱情。            
(5星)	 泡沫经典。。。            
(3星)	 不想动脑筋的时候看韩剧是一件惬意的事情，不明白的就是，看这种青春偶像剧，是谁的欲求不满啊？            
(NA)	 太好看了，唯一一部喜欢男一号的电视剧！            
(5星)	 又是灰姑娘的故事。            
(3星)	 我只是简单喜欢薛功灿。            
(5星)	 灰姑娘模式哦~            
(NA)	 男女感情，专注，深情。            
(4星)	 老豆说女主角和我不仅长的好像= = 连行为也像。。都老次饿。。            
(3星)	 巨搞笑...            
(5星)	 唯一一部很萌的韩剧.            
(5星)	 从没发现水晶球这么可爱，下雪就是我我生日！            
(5星)	 你永远的快乐让我永远快乐着~裕邻，baxia！            
(4星)	 俊基……            
(NA)	 狗屎运！            
(NA)	 看过。。。衣服好漂亮啊            
(5星)	 好帅的jun            
(4星)	 呵呵，东旭变成为有点古板的绅士，唉，看来我就是喜欢假正经的人            
(5星)	 还是和老妈一起看的，不错的剧            
(2星)	 只因JUNKI            
(4星)	 可爱女生 帅气王子            
(NA)	 看了一点看不下去            
(3星)	 由于知道是春香的续做才看，感觉还好，轻松搞笑，但是还是没有坚持看完，男主角都不是太喜欢            
(3星)	 很红，但没集集看下去。            
(4星)	 喜欢薛功灿 每套衣服都无与伦比            
(4星)	 有点过鬼马……不过当她最后忍着眼泪撒谎的时候很难过            
(5星)	 我的最爱            
(3星)	 算好的            
(5星)	 骗子的爱情不一定是骗人的，别骗自己就行~~            
(4星)	 其實還蠻吸引我看下去，無敵了，哈哈            
(3星)	 不错，如果集数除以2就更好了            
(4星)	 韩剧总是看的当下很感人，看过之后所有情节都忘了。。            
(3星)	 主角没一个喜欢的            
(5星)	 超赞的一部韩剧！            
(4星)	 可爱～            
(5星)	 让人感觉很轻松            
(NA)	 曾经觉得李东旭的侧面蛮帅            
(3星)	 为何我三年后才发现这部轻松诙谐的喜剧呢，薛功灿你的侧脸未免也太雕塑了吧。            
(5星)	 不错            
(NA)	 好傻啊 女猪脚是个疯子            
(3星)	 纠结的一部剧，不知道为什么有人说它轻松搞笑。不过最终落俗套的HE了。而我也因为这点，原谅了她的所有不好以及酷似刘晓庆的面庞。中文版韩语中字两个版本比起来，中文版翻译要强很多。就是受不了千篇一律的台湾腔。纠结。            
(3星)	 虎头蛇尾            
(4星)	 搞笑。            
(5星)	 最喜欢的一部韩剧~~~06年看滴~~~又回顾了一遍~~~~            
(5星)	 好喜欢里面的衣服            
(NA)	 我的爱情不是谎言……就像是现在，辣也说成不辣，喜欢也说成不喜欢，就这样坚持住……            
(3星)	 只为俊基            
(4星)	 服装很不错。。。。            
(4星)	 喜欢女主人公的善良            
(NA)	 过去疯狂迷恋韩剧的日子～李俊基帅啊             
(NA)	 。。。笑到半夜梦见笑            
(3星)	 当时喜欢            
(NA)	 很好笑 呵呵 又很温馨的电视            
(5星)	 我的路虎，我的薛功灿先生。            
(1星)	 有些台词相当不错的说,不经意的睿智。            
(4星)	 青春剧好看。。养眼。。            
(4星)	 可以让人沉醉的故事            
(3星)	 my girl 韩剧             
(5星)	 那个。。。            
(5星)	 哈哈哈   喜剧结尾            
(3星)	 不明白这么傻的片子为什么会红?但看的时候就是喜欢了~            
(5星)	 渐渐地喜欢~`            
(NA)	 很多人很喜欢这部片子。但我却觉得很一般。可能是对李多海不是太感冒。觉得李东旭在此的演技也稍显死板。特别是每次转身时的胳膊。            
(5星)	 第一步不是快进看的韩剧，勇敢的女主角，专心的男主角，只要相爱，就可以战胜一切的~~~韩剧里性格最好的男主角~~~            
(4星)	 搞笑到不行            
(NA)	 “放她走，不放她走；该放她走，不能放她走；可以放她走，不愿..放她走...... ”“因为我的眼里看不到你”；“我的爱情不是谎言”             
(NA)	 妹妹买了全集，跟风看一下，还不错            
(5星)	 李多海真可爱.            
(3星)	 搞笑            
(4星)	 恩李俊基太男人了            
(4星)	 难得让我看了觉得不错的韩剧            
(4星)	 我确定这不是偶像剧。            
(NA)	 原来爱情不能假装~            
(4星)	 很可爱            
(5星)	 一开始很搞笑，后来很伤感，结局很美好，典型的韩剧，因为这部剧喜欢上了李多海，也因为这部剧认识了李俊基，一个比女人还要漂亮的男人            
(4星)	 哈，不错。            
(NA)	 2006.5            
(4星)	 喜欢李俊基            
(4星)	 不是很悲我已经很满足了            
(5星)	 非常成功的一部韩剧，结尾有对经典韩国爱情故事绝症症候的小小反讽，很有意思。让你该笑就笑，该哭就哭的片子。适合最近身体不适的我观看，所以重看了遍。            
(NA)	 似乎不是很喜欢的            
(5星)	 超好看啊~~喜欢男一!歌曲也都很好听~~~~~~~~~            
(5星)	 会万福的呦~~            
(4星)	 韩剧只要主角讨巧，正部连续剧就是讨巧的。            
(2星)	 灰姑娘正传            
(5星)	 嘿嘿嘿 喜欢的            
(4星)	 好喜欢功灿和幼林哦~            
(NA)	 只记得一句话 您会万福的            
(NA)	 李东旭好帅！            
(4星)	 喜欢男主角东旭的长相和穿衣风格            
(NA)	 LEE JUN KI喜欢~            
(NA)	 BAXIA。亲爱的宁，加油。            
(5星)	 非常精彩. 某人甚至说能看到我的影子呢.... 失望的是,后来又说,由于演到教男主人公说慌的那部分联系到的..... 郁闷...            
(NA)	 大部分韩剧都是在线看的，跳着看的            
(NA)	 经过别人介绍看的，喜欢李俊基。            
(5星)	 超喜欢            
(5星)	 am ur girl            
(5星)	 今天终于一口气看完了。女主角虽然撒谎成性，但是好可爱，这点小缺点掩盖不了她天真善良的本性。男一号很帅，这不用说了。男二号李俊基虽然在《王的男人》里男扮女装，扮相惊艳，眼睛很媚，鼻子下巴很秀气，漂亮得让女人都嫉妒。但是他在这部剧里始终都很MAN。很像漫画里的人物。结尾处没想到《豪杰春香》里滴男女主角都出来了，一贯的斗嘴，搞笑。最终定格在他们幸福的笑脸处，可爱得一塌糊涂。因为这部韩剧，心情没有理由地变好了。我的爱情，不是谎言。            
(4星)	 推荐            
(3星)	 其实~只是为了俊基才看的            
(5星)	 果园摘桔子，橙色的小灯笼挂满枝头。            
(5星)	 美好的珠玉玲和骄傲的王子终于在一起```            
(4星)	 真的觉得他们两个很搭！这出戏看得很舒服．            
(4星)	 当年一伙人窝在曦哥寝室看还觉得挺好看的            
(3星)	 娱乐片，还不错。女主角李多海超赞！            
(5星)	 李东旭那个时候就是梦一样的男子啊！——你够了！！！！！！！            
(NA)	 【2005-12-14】            
(4星)	 忘记讲什么了 但却一直记得主角的名字            
(4星)	 啊哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我們正宇好傷心啊和哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈怎麼辦啊阿哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(NA)	 当年追这剧追得连饭都顾不上吃了。            
(3星)	None
(5星)	 这是我看过最逗的韩剧了            
(2星)	 还是觉得剧情太傻逼            
(3星)	 李多海原本也算长的有特色容易辨认了，现在也整残了，再加上演技烂。。完蛋            
(5星)	 我还是一个向往童话爱情的女孩儿，相信有王子与灰姑娘，或是王子与公主。            
(NA)	 六年级看的.我记得当时是为了看东旭兄?            
(4星)	 2005年的韩剧很欢乐...很少有这种感觉了             
(4星)	 当时好喜欢李准基            
(NA)	 男主的脸上，分明看到了LM的影子。            
(4星)	 如果李多海不整容该是个多讨喜的孩子            
(5星)	 李多海演的不错。长得也挺漂亮的。            
(3星)	 深深记得在这第一次看到李俊基，怀疑过他是女的= =            
(5星)	 很喜欢的，哈哈哈，以前觉得李俊基帅惨了，现在觉得男猪脚好耐看，剧情狗血的很搞笑。            
(4星)	None
(5星)	 喜欢李多海、、            
(4星)	 恩，还是我妈推荐的...            
(4星)	 至少那年追的时候还是觉得很好看的            
(3星)	 花痴李东旭才想看。剧情够傻，李多海够贰佰伍的。李东旭当年真是土的掉渣。特别是那件翻领外套……            
(2星)	 没看完            
(5星)	 第一部，也是唯一一部韩剧。            
(4星)	 李多海好可爱！！！！和爸妈一起看的韩剧~~            
(3星)	 那时候圆脸儿的李多海真讨喜啊，李俊基披着娘炮的外表下有一颗无私的爷们心            
(NA)	 你们说我是脑残么...            
(3星)	 看过几次，还记得多海特别可爱。            
(5星)	 女一号表情真丰富啊。。。            
(4星)	 输给了伟大的爱情~            
(4星)	 看到第九集，看不下去了            
(3星)	 韩剧一般都因为人去看的=____,= 人都是看多了就习惯了Orz            
(3星)	 就头两集最可爱。后面简直就是应该俊基和大叔配。            
(2星)	 受不了李多海            
(4星)	 越看到后来越傻，第一集多搞笑啊            
(3星)	 曾经大家都被韩剧迷惑过。            
(4星)	 是在看了《美男》、《九尾狐》等等之后才看的这部洪氏姐妹好几年前的作品。风格确实都差不多。洪氏姐妹的剧一贯的风格就是前面搞笑，后面虐心。普遍有些烂尾。总体还是挺招人喜欢的。让人看的挺欢乐，就够了。            
(5星)	 通宵看过的唯一韩剧了~            
(4星)	 当时真的觉得李东旭很完美 李多海演技不错            
(5星)	 要星星星星星星星星。S7有星星。摘摘摘。啊鲁包级，啊鲁包级。从成~            
(3星)	 看了好几遍啊亲            
(NA)	 每次都因为讨厌女主性格弃剧            
(4星)	 看这部片子得时候超爱李俊基。。。结果居然只是男二号－。－            
(5星)	 高一。那时候好多场景都可以背下来了···那时候很喜欢女主角的穿衣            
(2星)	 无感            
(5星)	 很有意思的韩剧！~~百看不厌~~~            
(NA)	 难得有心情看韩剧，也给骗的一阵笑一阵落泪的。哈哈……            
(3星)	 心目中应该不止三颗星。想起当时和你们一起看这部韩剧时，一边吃着盒饭，一边穿着睡衣，一边唏嘘不已。片尾曲很动听，有咏叹调的曲风。            
(3星)	 这是我觉得唯一还能看的韩剧之一……喜欢李准基的性格，那句“我去~怕我乱跑，护照被没收了……！！”时想到我自己……            
(5星)	 卧槽啊笑死老子啦！！！！！！！！！！！！！            
(4星)	 男主都很帅~女主也很可爱啊~谁能想到她还在别的剧里演坏女人啊~            
(4星)	 男一号很日系，男二号很韩风，女主角最近蛮惨。当年大学看的时候我更喜欢男二号，日后果然他比男一号更红=。=            
(5星)	 看韩剧就不要装逼装深沉，看韩剧就是图个轻松愉快，偶尔发发花痴，偶尔做做幼稚梦，没什么不好~            
(2星)	 我都忘了。只能记住男二忧郁的眼神。            
(4星)	 满可爱的呀            
(5星)	 电脑里唯一珍藏の电视剧~            
(3星)	 果真过了看偶像剧的年龄呢！灰姑娘的童话已经打动不了我了，不过我还是很喜欢韩剧的女主角：单纯、善良。            
(3星)	 NNU宿舍。。。            
(4星)	 看这部片子时就觉得李多海多好看哈。。为啥还要整类？            
(4星)	 我喜欢男主的黑框眼镜啊。。。。            
(3星)	 李俊基            
(3星)	 没印象了。。只有李多海傻得样子……            
(3星)	 李东海好漂亮            
(3星)	 喜欢李多海，一点也不做作，俊少比男主好看几倍，完全是花美男。 缺点是虎头蛇尾，不过还是还是热泪盈眶。            
(4星)	 难得喜欢            
(5星)	 我就选李东旭，就不选李俊基怎么啦怎么啦！！一个长得帅又温情又体贴又温柔又负责任的富二代，看韩剧多了对爱情会很不切实际的。            
(4星)	 当年            
(NA)	 哎，自己似乎老了，过了看偶像剧的年纪了。。。。            
(3星)	 就那么件破事儿翻来覆去的说，有意思咩？            
(3星)	 说实在的，李俊基真没我们许❤帅。            
(4星)	 历来傻呆的帅男主，都是给可爱又善良、聪明的女主准备的。            
(NA)	 我有个同学长得像薛功灿            
(4星)	 第二次看了，感觉还不错，只是后几集的剧情有些冗繁，看得有点着急了..但剧情很好，结尾的时候是什么意思呢？是和《豪杰春香》有关联吗？~            
(5星)	 少数喜欢的韩剧之一            
(3星)	 这姑娘运气真好            
(5星)	 原谅我，确实还不错 哇哈哈            
(5星)	 三李 支持！            
(NA)	 可爱 深情 滑稽 在不同的两个生活阶层互相沟通居然没有障碍 也许是爱情的力量 呵呵             
(4星)	 此部之后，再无可看的韩剧            
(3星)	 三星全给美丽的李准基。            
(3星)	 周幼玲有杂草杉菜的精神。            
(NA)	 哈哈~            
(5星)	 除了星梦奇缘之后 最喜欢的一部韩剧~            
(3星)	 唯一算是看过的韩剧 因为看过开头和结局了 女主角不是很漂亮 但表情变化很多很快 很容易就注意到她的可爱了            
(4星)	 撒谎的珠裕邻,很善良            
(3星)	 因为有人说苏丫儿长得像薛功灿我才看了。结果薛功灿帅多了。不过真的有点像。可爱哦~            
(4星)	 搞笑类            
(4星)	 绝对好看啦~男主角太帅啦！            
(5星)	 泡菜里居然还有让我前进不能的男人            
