http://movie.douban.com/subject/2399292/	非你不可
(3星)	 当时很喜欢林心如演的司嘉译，对杨雪演的那个女的恨之入骨。            
(5星)	 好多年前的这部戏。。还有那首《放120个心》            
(NA)	 我要是柯磊，就死心塌地爱司嘉仪那样的女孩。            
(NA)	 记不清是高中还是初中的回忆非你不可             
(2星)	 用七七四十九天，换来的，不过是一点呼吸的空气。            
(3星)	 喜欢司嘉译的敢爱敢恨。            
(5星)	 当年超爱的一部剧啊，一直纠结于柯磊到底和司嘉译是平行下去还是在一起了            
(2星)	 看过这部的时候 话说还是名正太 当时挺喜欢陈坤的            
(3星)	 某年教育台放的片子            
(5星)	 真的非你不可            
(3星)	 杨雪只有一套衣服吗？            
(3星)	 我爱你，可是我不敢说，我怕我说了之后就会立刻死去，我不怕死，但我怕我死了之后就米有人像我这样爱你。这段诗。我记得是这里的            
(5星)	 棱角            
(4星)	 司嘉译爱得大胆，认真又辛苦，所以才会如此动人吧。而结尾那潇洒的相遇又分别让整部戏彻头彻尾的疼到了底。另附歌词：我蹲在浴缸用水把自己浇醒 想变得和水一样无情又透明 我咬紧嘴唇喊不出声音 眼前湮雾沸腾 电话里妈妈要我快一点回家去 她比你更明白我所受的委曲 这样爱个人能有多疼 你都不闻不问 你要我放120个心 我才把自己交给你 当两人世界剩下一人的背影 我还抱着你等着你有多少意义 你要我放120个心 我才冲动的跟着你 当幸福天地变成漆黑森林 我走不出去 而你也不靠近 午夜的风声 好像你说我爱你 我捂住朵不想听。            
(3星)	 看得人纠结            
(5星)	 内地喜欢的最早的一部片子了            
(NA)	 六年级 中学 外婆家 小姨            
(4星)	 我喜欢的女生就是斯佳义那样的吧~            
(4星)	 非你不可            
(NA)	 因为这部剧，才对林心如有所改观（之前超讨厌那个紫薇），&amp;从此喜欢上了杨雪            
(4星)	 被打动的不止一两个场景            
(3星)	 杨雪很漂亮。。            
(NA)	 看過看過》。。            
(4星)	 还不错，我喜欢辛欣的片头曲            
(5星)	 爱是一个人的事么            
(3星)	 结局是神马啊...            
(4星)	 原来我之前看过~（汗~，又是渣男一枚~（司嘉译这个角色真是讨喜呀~，咩哈哈~这里面最漂亮的不是两个女主~            
(4星)	 特讨厌那个叫杨雪的演员。            
(3星)	 不喜欢女主。。。林心如好可爱            
(4星)	 突然想到这部电视剧，才发现是滕华涛拍的，顺便说一句我很讨厌杨雪，妥妥的            
(2星)	 介个电视剧对我最大滴影响就是让我知道了《掌声响起来》这首歌，还有片尾曲不错。            
(5星)	 为什么这么爱？冲着林心如演的司嘉译啊，发现真是适合青春时装剧- -             
(5星)	 都不记得剧情了~~~            
(NA)	 初中的时候很喜欢，记得片头曲是辛欣的《放一百二十个心》，前面还有一段话：我爱你，但是我不敢说，我怕我说了我就会死，我不是怕死，只是怕我死了以后再没有人像我一样爱你。现在想来，陈坤放着漂亮的林心如不爱，非得爱杨雪，很傻逼。            
(3星)	 我了个×，我居然看过这个            
(NA)	 小時候的記憶啊。。             
(3星)	 那个时候没觉得陈坤帅。。只是觉得女二很漂亮            
(2星)	 我曾经狠狠迷过陈坤一年的事情我会随便说吗！！            
(4星)	 大爱司嘉译            
(3星)	 大概是小学五年级暑假的消遣            
(4星)	None
(4星)	 这东西看得我都情窦初开了！            
(4星)	 “我爱你/可是我不敢说/我怕我说了/我就会死去/我不怕死/可是我怕我死了/就再也没有人像我这样爱你”            
(2星)	 我就记得杨雪总演坏女人            
(3星)	 一颗星给主题曲            
(3星)	 我也不明白那时候为什么执着要看这部剧 是因为那首歌？            
(4星)	 最近无聊 翻出来看 还是很喜欢司嘉译 我又活回去了            
(3星)	 那个年纪的我还没看懂的剧。            
(5星)	 配乐好好听。            
(4星)	 小時候很喜歡。。鬼知道為什麼            
(2星)	 看到评论着实心动了 不过听到林心如浓浓的港台腔我就着急 这片子如果放在现在他们演应该不错            
(4星)	 那时候其实特别不理解林心如的那个角色。            
(NA)	 看得我无限纠结的电视剧，活泼可爱有活力的司嘉译，就是死恋着有才华的年轻歌手柯磊……而柯磊呢，就是不爱她，就是只爱那个死样怪气的闷葫芦杨雪。实在是不喜欢杨雪，所以评论主观了，见谅见谅~            
(3星)	 记得以前教育台放的，还蛮好看的。            
(5星)	 那个时候的陈坤最帅了。苏严和柯磊在一起后，变得患得患失。而林心如一直是非你不可，但最后还是放弃了。他们会在一起么？得不到的，才是最好的么？            
(NA)	 当年让我感动到不行的电视剧 林心如真的不老诶~            
(4星)	 当时就是去看俩美女的            
(4星)	 以前看的时候挺喜欢苏严的            
(5星)	 简简单单的爱着司嘉译，爱着雨中捧着硬币时的笑容.....            
(5星)	 经典死了，林心如的角色我最爱施嘉译            
(NA)	 印象中这部非常纠结……            
(2星)	 当时好多台播……后来我觉得我比较喜欢那里那个妈，和那后爹            
(4星)	 那年喜欢司嘉译            
(NA)	 ！！！林心如在里面叫司嘉译  当年很喜欢这个名字            
(4星)	 歌曲是亮点。。            
(3星)	 当年看的时候觉得林心如好漂亮，好随性~~~            
(5星)	 好少人看过……            
(4星)	 陈坤在里面很像我初恋 所以难忘            
(NA)	 非典停课期间看的。            
(3星)	 挺揪心的片。            
(2星)	 陈坤为什么不选林心如啊啊啊            
(4星)	 内地不可多得拍的不NC的偶像剧，那时很讨厌苏严长相性格都不喜欢，现在想想其实她是个很好的女孩，林心如最可爱的一个角色在她身上我偶尔会看到莉香的影子，这个故事再一次的告诉了我千万不要往死里爱一个人            
(3星)	 没大看            
(4星)	 有个P痒了，找个男人。男人就想找点钱，精神压力又大，神经负担天天是满的，还要管P日不日。最后又疯了。找不找一样的。            
(3星)	 当时我就纳闷啊，陈坤为啥就是那么喜欢苏严啊。啊，这里面还有李晨，演了个疯子，呃，是神经有问题的人。            
(5星)	 当时是觉得很好看的~~现在忘记了。。。            
(4星)	 小学时看的 喜欢林心如和那时候的陈坤            
(4星)	 这都多年以前的了 看到这么青涩的陈坤和心如            
(4星)	 司嘉仪真的和米莱很像            
(5星)	 记得一直不喜欢林心如，从这部剧开始喜欢。            
(5星)	 看了N次的电视剧 有机会还是想看            
(5星)	 当时很想剪林心如的发型呢 不过好像没有看完            
(3星)	 凭什么就非你不可。            
(3星)	 我爱你，却不敢说。我怕说出来，我就会死去。            
(3星)	 就是不喜欢杨雪。            
(5星)	 他们有的不仅仅是偶遇，他们会在一起！！            
(3星)	 柯磊            
(5星)	 很喜欢的一部剧，非你不可。。。            
(5星)	 想当年，为了不落下一集剧集，我从外地跑了十几里地回到家没有耽误电视台的放映时间。。。            
(3星)	 挺喜欢-。-            
(3星)	 非常讨厌杨雪。            
(3星)	 当时想不通紫薇格格怎么能染发呢，还那么主动，不过杨雪真的是白雪公主的感觉            
(4星)	 很老的剧了 但是是印象中最美好的陈坤和林心如            
(3星)	 。            
(3星)	 看的第一部陈坤的剧。那时候他貌似还没红。            
(4星)	 欣赏司嘉译,苏严长相甜美,但性格太差.柯磊太贱.            
(2星)	 為什麽不要林心如！！！！            
(4星)	 当年的大爱啊！            
(3星)	 结局欠抽            
(4星)	 突然想起来。好剧。            
(3星)	 那时我还有颗时髦的心~~            
(2星)	 没一个待见的            
(3星)	 其实没怎么看            
(2星)	 记不清情节了，看过倒是真的            
(4星)	 我比较喜欢司嘉译。。            
(5星)	 我记得当时哭了... 司嘉译比米莱更好...            
(4星)	 最近好想再看这个            
(5星)	 2003年，五一，非典，高考，《非你不可》。            
(3星)	 很喜欢那时候的陈坤            
(4星)	 其实这是一部不错的电视剧，可惜生不逢时。司嘉译，你那么疼惜柯磊又有何用，他不爱你。            
(3星)	 爱是一个人的事，恋爱才是两个人的事。这么好的女孩子放在面前你不要，脑袋被门夹了你。。。            
(4星)	 大家当时都很青涩啊            
(1星)	 搞不懂            
(4星)	 其实很不错的爱情故事，我甚至深深为司嘉译心疼过。故事很简单，无非是她爱他，他不爱她，他爱着另一个她。可是，想司嘉译这样死心塌地不知回头的女孩还是少见，她那样爱他，已经到了只要他召唤她就会回头一样。林心如少有的不男主爱，可是却被观众爱！！            
(5星)	 因为这部片喜欢的林心如，剧情早已淡忘，唯一难忘的就是那句“爱是一个人的事，恋爱才是两个人的事”。。。改变一生的台词。。。那年预备班            
(2星)	 没看过结局            
(NA)	 真不知道谁是女一            
(4星)	 当年的这部剧 当年司嘉译说的那句爱是光 被爱是热 始终温暖着我的心            
(NA)	 纠结            
(5星)	 当年陈坤他妈死的时候我哭惨了            
(4星)	 这部挺好看的，不过不太火。            
(4星)	 我那时候觉得陈坤特帅啊            
(3星)	 国产偶像剧中比较不山寨的，记住了杨雪和丁志诚。            
(4星)	 关乎回忆，中学时代。            
(5星)	 非常爱司嘉译            
(5星)	 非常非常喜欢的一部。多年后拿出来再看。还是泪流满面。            
(5星)	 司嘉译，莉香一样的女孩。            
(4星)	 特别点在于，男主和女主最后都么有在一起。。咳咳。。我一直以为最好男主会“和谐”的发现最适合他和他的真爱是女主呢。。别的好像没什么了。。我比较喜欢柯磊的妈妈（临死前也要在舞台上唱掌声响起来。。）和那个老板。。呵呵。。年纪一大把了还耍小年轻的任性。。            
(5星)	 今天突然想起我在高中时期追看的一部电视剧，我觉得特别好，尤其记得戏里母亲对陈坤那无法言语的爱，“我成心让他讨厌我，我就是让他恨我，我得癌症死了他也能舒服一点，不用再为我这个让他烦的人感到悲伤。这样对他好。我将死之人的感受无所谓了。”大概是这个意思，加上了自己的话，我好像那个母亲。            
(NA)	 为什么就这么倔啊.,心如挺好的呀.            
(5星)	 多好看的电视剧啊~~~奋斗算啥？？？！！！            
(5星)	 对对对。也是小学时候的片。超想林心如跟陈坤在一起的。可是陈坤个死脑子偏不喜欢林心如。TT            
(4星)	 这部看的不知道有多纠结            
(3星)	 这个这个，好早哦            
(4星)	 支持内地偶像剧！            
(4星)	 印象中最深刻的是林心如饰演的女主在雨里陪男主打电话~            
(3星)	 那时候，我喜欢陈坤，喜欢司嘉译。林心如扔某件衣服的优美弧度一直记得。。            
(3星)	 这片是我喜欢的调调起码比台湾泡沫偶像剧强~            
(3星)	 话说那会儿好像初中，和外婆看的。            
(2星)	 没什么感觉            
(3星)	 我爱你  可我不敢说  我怕我说了  就会死掉  我不怕死 我只怕我死后没有一个人会如我一样爱你（就记住这个了）            
(3星)	None
(4星)	 三星都给前期大大咧咧的司嘉译，一星给和司嘉译在一起时的柯磊。得不到的时候爱的死去活来，到手了开始觉得之前的风景也不错。柯磊最后那集雨中内句“我爱的是苏岩”，让我觉得人真是贱。小时候看结局，认为他俩会在一起的，现在重看，觉得在一起也没什么好的。            
(3星)	 杨雪很瘦~~            
(3星)	 里面有简宁。。。。            
(3星)	 陈坤啊，你个妖孽            
(3星)	 汗 这我都看了            
(NA)	 我喜欢这部连续剧            
(4星)	 要我，我就喜欢林心如那种类型的            
(4星)	 住在一起 追到最后 我都欣赏 柯磊的大众 柯磊的司嘉仪 我的柯磊            
(3星)	 剧是失败的，人是成功的~~            
(4星)	 感觉林心如跟司嘉译挺像的吧            
(3星)	 印象挺深的            
(3星)	 最初是在这部剧里认识陈坤滴            
(4星)	 剧情都忘记了 =。=            
(NA)	 沒記錯的話應該是七年前看過。在宿舍下的網吧，一氣看完。人世的無奈，縱橫的顛沛。從這部通俗電視劇中看見了隱忍的堅持，和不可抗拒的命運安排。學會了珍惜善待身邊的人。            
(3星)	 当时真是希望柯磊能选司嘉译啊            
(4星)	 司嘉译的爱情观对我影响很大，所以我受了很多伤，哎            
(3星)	 初中就想看但一直没看的。09.10.12如若放在七八年前看感受肯定不会如此深刻。总觉得爱情真的是很玄乎的事情。相爱的人总是无法相守。单相思总是那么痛苦。面对对自己好的人无法拒绝却又不小心伤害着。人们的恋爱也不只有一次那么简单。有些人每次恋爱都像是在初恋。09.10.28.            
(4星)	 早期作品            
(2星)	 某一年的暑假...            
(3星)	 很悲哀的片子。。。爱得很美，也很苦。。。            
(5星)	 18岁看的，现在还没变            
(4星)	 爱是一个人的事            
(5星)	 爱是不是应该这么执着。执念太深……            
(NA)	 这个还是挺喜欢的，喜欢林心如，讨厌杨雪！            
(NA)	 因为司嘉义  相信执着  相信缘分  她给我的是最初的感动              
(1星)	 不好            
(NA)	 我爱你我不敢说我怕我说了我就会死去，我不能死我怕我死了就没有人像我一样爱你！            
(5星)	 嗯,其实本来不喜欢林心如的.但是这里的司嘉译我非常非常喜欢.一个人的爱情...            
(3星)	 看的这憋屈！！            
(5星)	 从这部电视剧开始成为陈坤的粉丝，那时我还上高中。很喜欢片尾吉他音乐，但网上找不到            
(NA)	 那时候的陈坤。。无语            
(4星)	 挺有看头，爱情这东西，上赶着不是买卖            
(3星)	 1星剧情，2星给林心如            
(5星)	 其实我很喜欢当时那个小护士            
