http://movie.douban.com/subject/5958582/	裸婚时代
(NA)	 暑假看了十集没看下去，不打分了            
(3星)	 柴米油盐生活琐事真的会把爱情磨光            
(4星)	 还是很喜欢文章的演技 各种催泪 个人感言 不喜欢童佳倩            
(3星)	 让人无奈的现实            
(4星)	 没结婚的时候 真的很好~~~~            
(NA)	None
(3星)	 现在现实题材的电视剧一般比电影强            
(3星)	 听豆友看个片花~~~~~~~~·            
(4星)	 老子终于把这三十集都看完了。NND原来是教育片啊！！！！交友不慎啊刘易阳，死扛然后孩子要生的晚上去赌车，乃真是一朵奇葩啊~~~女主佳倩更NB，看人家那对待工作的态度，真是响当当的官二代一枚！！！你主业其实是扮演玛丽苏吧~~男二当老板了咋还老穿得那么少男呢？四颗星给双方父母的卖力演出。            
(3星)	 到底和裸婚有个毛关系？            
(4星)	 姚笛真好看。            
(5星)	 看的我都是眼泪            
(4星)	 我妈说。。这不是鼓励人离婚么。。离婚了还那么多人追。。哈哈哈哈。。。            
(4星)	 我想知道童佳倩她娘说了些啥，让刘易阳放下傲娇的非死。            
(NA)	 臭傻逼 我特想给个-星！~            
(4星)	 一部对这个时代价值观的失败抗争史            
(4星)	 ‘女儿永远姓刘’            
(4星)	 中間一度看不下去了。最後堅持看完了。還是原配好啊。             
(3星)	 一点都不真实！就那么回事！刘易阳只是做了男人应该做的事儿！瞅瞅你们一个个把他捧得！至于么            
(4星)	 别让细节打败爱情            
(2星)	 以后谁也别让我看国产剧了。。。。。。。。            
(3星)	 为了电视剧而电视剧就没劲了            
(4星)	 看得我尼玛都不想结婚了！！虽然木有神马婚外情三角恋的纠结戏份，但我觉得这是部很真实的婚前教育片！！！！！憧憬向往婚姻的年轻人们都该看看！！！！！！！            
(4星)	 各种不配！            
(3星)	 What? !  I simply don&#39;t understand....            
(4星)	 刘易阳失业，童佳倩生孩子，困难都赶一块儿去了，这坎儿一过就好了，偏偏他们没过过去，离了。结果等这坎儿过了，两个人再复婚，以后的事儿，谁也说不准            
(4星)	 最后没复婚啊？哦 谁说复婚了的啊            
(3星)	 到底只是電視劇。。。。。。            
(3星)	 有点富贵的裸婚。刘易阳尊严太严，童佳倩产子如换人，杜毅爱得太快，童妈关爱太过，刘妈节俭太过，娇娇转变太过，崔彬土鳖太过。。。人手一苹果，笔记本，东南，高姿，mini。。。            
(3星)	 无感，十集弃。做人媳妇还是干练些好，嘛~太娇气其实也可以慢慢磨吧。            
(NA)	 细节大于整体的吃果果例子，好几场戏写的都不错，人物堆的也挺靠谱，故事不行。            
(4星)	 很不错的剧啊。。 同觉得刘易阳不爱童佳倩。             
(1星)	 囉囉唆唆，唠唠叨叨，唧唧歪歪。JP 的家庭个个都是 JP。            
(4星)	 喜欢文章和姚笛TAT，其实想给满星的TAT。            
(4星)	 我不是童佳倩，我应不应得一个刘易阳？            
(3星)	 每晚吃饭时看的            
(3星)	 文不对题            
(4星)	 细节打败爱情            
(3星)	 不現實呢親            
(4星)	 嫁给极品凤凰家庭害死娘家。教训深刻啊，结婚始终是两个家庭的事情，不能因为正常男生就小看了极品婆婆的威力，所谓的正常男生是能正常到哪里去？极品之处还是慢慢会出现的。            
(4星)	 反正我不结婚 我就看看            
(4星)	 细节打败爱情，没什么都不能没钱。靠文章撑起整部剧啊~其他线索太草率了也。            
(5星)	 赐我一个刘易阳吧！！！！！！            
(5星)	 我终于开始看了！！！我怎么那么喜欢文章那德行呢！！！！！！太爱他了啊啊啊！！！！！！！！！！！            
(4星)	 双方母亲太典型了            
(4星)	 咳~~这年代谁都不容易。            
(3星)	 看完美好的桥段，结局就算了吧。事儿逼事儿的女人太可怕了。            
(NA)	 凯莉阿姨演得也太用力了吧...            
(5星)	 细节改变爱情，当爷们儿就得能屈能伸            
(5星)	 对白真好，演员不评论，反正进入21世纪我的审美观已经很过气了            
(2星)	 果然跟蜗居是同一导演，总是讲现实的悲剧面，而且总是刻意地将不好的凑到一块儿，有点扯。明明是可以好好过的，非要没事找事，非要整得注定是这个结局似的。名字起得也太大了，太以偏概全了，敢情裸婚就这个德行这个下场？            
(3星)	 假            
(4星)	 细节打败爱情。            
(3星)	 真喜欢文章阿&gt;&lt;别的都太傻比了            
(NA)	 看刘易阳一家子人看得真特么糟心。            
(4星)	 开始比较有意思            
(3星)	 小贝的婚后生活？？？？  你等有空我写个长的            
(3星)	 比较是个不好的东西，要不给自己带来痛苦，要不给别人带来痛苦。            
(5星)	 好看！！            
(NA)	 准备开始看了！希望不是一部虐剧！            
(4星)	 童佳倩她娘真是个能说会道的公务员            
(3星)	 各种坑爹啊有木有······&gt;&lt;~~~~            
(NA)	 一声叹息            
(4星)	 妈的我居然还看哭了            
(5星)	 问自己：你敢裸婚么            
(1星)	 婚前搞掂该处理好的问题，婚后就有时间做该做的事。什么样的人经营出什么样的日子，跟裸不裸没多大关系。            
(4星)	 渴望那女的怎么那么匠气，那么做？            
(4星)	 电视剧有些情节真是忒假了，婚姻是过日子呐，最后他俩和好了，这感情肯定是变味了，所有在一起时间的长久并不是衡量感情的牢固，我觉得是两个人在一起生活的态度，人生观价值观，互相需要理解互相需要宽容啊            
(NA)	 昨晚上爸妈在看，瞥了一眼，姚笛的扮相是我的菜            
(4星)	 还是很喜欢这对闹腾的小夫妻            
(NA)	 弃。            
(5星)	 昨天终于又看完这部内地电视剧，整体来说叫我们看到了。婚姻不是简简单单的两个人的事情。还要牵涉到两个家庭。爱情着东西不能当面包吃。这剧告诉我们在我们拥有爱情的前提是你要保证有面包吃。没有面包的爱情都是扯淡。            
(4星)	 看过片花够了            
(4星)	 生活比电视剧难多了            
(3星)	 文章演技很好...仅此而已            
(5星)	 “片尾曲不是彭坦唱的吗！”。。。            
(2星)	 我妈在看，跟着看了几集，好无聊。。。            
(NA)	 爱情婚姻我没太多想法 感情的事就不相信任何经验 船到桥头自然直 但对于新生代和家庭的关系 collectivism的影响真叫人无法直视 反抗和依赖 挣扎和无奈 小情侣之间的关系 那跟青年一代和老一代的牵绊相比 给我的触动简直就太小了            
(5星)	 感动的是刘易阳那样热烈地爱一个人，连回过头来的瞬间都来不及，热腾腾的爱，谁不曾有过            
(3星)	 喜欢结局...            
(2星)	 你们电视剧里的人可真牛逼，爱疯可以发视频短信，你们都视频短信了，你们发个网站链接还用邮箱，你们连扣扣都不会用吗！你们甘肃牌照是松B（噗……），你们甘肃老乡是北京口音，你们贫困老区的孩子肌肤细腻成那样。你们富家女背地摊货包包，你们富二代飙车飚不过穷二代。我再赶时髦看脑残剧我就是狗！            
(3星)	 = =            
(4星)	 20集过后拖沓的剧情太多，不过结局我喜欢。细节打败爱情一点不错，珍惜身边人吧            
(NA)	 现在还有刘易阳那种男人吗！            
(3星)	 用什么来爱呢。            
(3星)	 从花钱打扮上我丁点儿没看出这俩哪儿穷了            
(5星)	 111112 1:11 --1119 4:24 home youku 一开始就送个iphone4，背不住啊~            
(3星)	 可怜天下年轻父母心~~。。另：江州是全世界的经济文化中心 哈哈哈。。            
(5星)	 两家的父母演技实在是史诗级...            
(4星)	 童佳倩.....            
(4星)	 看完裸婚时代有几点不满。首先，杜毅既然那么爱童，从小就认识为什么没去追求咧。2，不管穷富片中全用苹果。3，既然说是江州，为什么片中出现辣么多北京，甚至好多季节车牌都能看到京XX。。。还有若干，但是文章表白那段，八年了。。。。还是很感人。如果真的要裸婚，你能做到吗？？            
(3星)	 “细节打败爱情。童佳倩，打从咱俩恋爱开始，我就知道，我除了我爱你比你爱我多之外，我没有任何优势，现在我才知道，什么是失无可失。”            
(NA)	 “我特么怎么觉得刘易扬家的房子不是一般的大啊。”我也这么觉得。。。穿的大几千的羽绒服现在成了淘宝爆款，跟“疯卖3万件！羊绒牛角扣巴宝莉格子大衣”差不多一个性质。你说这是裸了还是没裸？            
(5星)	 没钱结婚毛，细节打败爱情。操他妈啊            
(4星)	 挺好的            
(NA)	 看过之后劲不想结婚了啊！！！！！！            
(4星)	 亦现实亦假。            
(3星)	 看得又哭又笑的，确实裸婚除了感情好别的都没有，刘易阳真是个好男人啊！！！看到后面都好着急啊~~            
(4星)	 几乎每个场景都会联想到自身正在经历的种种            
(3星)	 除了文章不受我待见以外，其他各方面都还不错。不过后10集的情节流于俗套了。还有，苹果是不是给这部电视剧好多钱，悲剧啊...况且都这年代了，还有人发彩信？难道不晓得有Whatsapp吗？            
(3星)	 上一次看国产剧还是《媳妇的美好时代》，比这个强多了！看完这个更觉得单身好了！而且文章真够烦的，叨叨叨叨叨就想给自己塑造成完美好男人！巨蟹男都这德行么？！真够了！            
(4星)	 看了一半.....3.5吧            
(NA)	 咋看着和之前几部差不多哦            
(3星)	 = =            
(5星)	 细节打败爱情 谁也逃不过            
(3星)	 除了爱什么都没有的婚姻是不现实不靠谱，即使有也是电视剧，真是中发生最后也逃不掉分手。            
(2星)	 姑娘们就记住一句话：骨子里自卑的男人可以爱可以谈，绝对不能嫁。他自卑，你做的好他难受，做的不好他挑刺，然后用一种自虐般得所谓爱套牢你。那是爱嘛？那是自私好不好？            
(4星)	 反正不那個啥 就看看。PS：這個婚 裸得真奢侈~~~~~~~            
(4星)	 细节打败爱情 p.s.佳倩她爸妈太有爱了             
(4星)	 好片            
(4星)	 折腾～            
(4星)	 看到最后只觉得烦。            
(NA)	 哎，家和万事兴。什么是旺夫啊？不就是家和吗。            
(3星)	 上班内容            
(2星)	 侮辱观众的智商。            
(3星)	 细节真的能打败爱情么。。。觉得拍的没有那么现实，很多脱线的地方            
(3星)	 贫贱夫妻百事哀，主题不错。【6】            
(4星)	 这部电视剧教会我们的是：裸婚不是现实，世俗才是现实。            
(3星)	 没有姚笛根本不会看，文章总仰着头眨眼睛好像在学孙红雷装作什么都不在乎其实最傻            
(1星)	 就是不喜欢            
(NA)	 我爸打电话问我说看裸婚时代没有，我说没看，我爸说我落伍了，赶紧看了一两集。不知道导演要阐述一个怎样的价值观。。。。。很怪异。。。演员都演得很假。。。。裸婚的人都知道真正裸婚的日子可不是电视里这样的。骗你妹呢            
(5星)	 我要是有个刘易阳，一定不做童佳倩，我会踏踏实实，安安分分的跟着他，相信他，像盲人被搀扶一样依赖他。            
(3星)	 就爱看这种电视剧，看别人傻逼特别容易心理平衡            
(4星)	 还真是满大街的刘易阳，凤毛麟角的童佳倩啊···这哪里是“裸婚时代”，这活脱脱“中国式离婚”嘛！细节打败爱情这倒是是个理儿，可算不得病根儿，对爱情的误解在于以为爱情是无所不能的，对爱情更大的误解则在于以为自己真的拥有爱情。物质的问题？不不不，比他俩和他俩身后家庭穷的人多了去了···            
(3星)	 看完片花我觉得整部戏已经看完了。。但还是花了3天。。。终于把它看完了。。            
(4星)	 除了结尾太扯了    其他都很真实    挺不错            
(4星)	 细节打败爱情~然后呢……            
(4星)	 体现社会问题的连续剧都会很受追捧            
(4星)	 一半陈娇娇，一半童佳倩            
(3星)	 细节打败很多感情，爱情首当其冲。            
(4星)	 贫贱夫妻百日哀            
(4星)	 细节打败爱情,这话有点俗.结婚就是个灾难.            
(3星)	 所以说，每部中国爱情故事里都有个打酱油的马文才？            
(5星)	 赐我一个刘易阳吧！            
(3星)	 最后一集直接减掉1星……            
(3星)	 离了婚，两人倒分别过得好了            
(4星)	 感人肺腑啊。透彻心扉类            
(5星)	 就看了第三集，这俩妈就成功地把我给气死了。            
(4星)	 这类电视剧从奋斗一路看过来，自己也从小屁孩儿成长到一快结婚的人了。好            
(4星)	 细节打败爱情            
(3星)	 亮点是童佳倩她妈，说起话来不带歇气的，一句到底，是这个演员内力与实力的见证！            
(1星)	 男穷女傻中年妇女真可怕 一家子拆迁钉子户一家子市井势利眼 没钱没房没车就算了 没溜儿没本事没志气才是最不能忍受的            
(NA)	 跟我老妈一块看的......文章真算得上是小可爱，要是内地真要找个像77一样的男演员，那真是非文章莫属了。            
(4星)	 童佳倩是个好女人，不过一点喜好实属应该，刘易阳是个好男人，但是死要面子是硬伤，八年感情还跟热恋期一样很假，八年感情一年婚姻就打败那这感情要打问号，前半看着挺感动，后面看了只有一个字，累。            
(4星)	 直接引起我的恐婚情绪            
(4星)	 我觉得要是一社会主义和一资本主义能在一起那就不会有一国两制了。            
(5星)	None
(3星)	 这电视剧拍的够矫情。转圈圈转了几十集。其实，生活远比剧情更狗血，电影还是太美好了。1，细节打败爱情。2，结婚，两家人的命。别指望婚后就可以解决婚前的所有问题，正因为婚前没有解决婚后才痛苦。3，物质的裸婚可以，但是精神上的裸婚不可行。4，苹果植入广告很成功。5，童佳倩她妈演的真好。            
(3星)	 当了妈就得变身碎嘴是为什么……            
(4星)	 看过的最苦逼、最纠结的连续剧了… 但至少贴近中国式生活，给4星~            
(3星)	 文章演得有点使劲哦！            
(4星)	 现实社会里得童佳倩很多~刘易阳太少！            
(3星)	 我觉得童佳倩如果跟杜毅结婚挺好的 说到底最后刘易阳能被童佳倩她妈妈接受除了关心家人还有是小孩爸爸的原因外 还有个很重要原因是他有公司有车有钱了            
(4星)	 两个人的性格和恋爱时的长期相处关系有很大缺陷就是悲剧的开始。婚后没有及时搬出去住这个原因只是催化剂。            
(NA)	 黄佳倩，别裸婚！            
(4星)	 贫贱夫妻百事哀            
(3星)	 有真感情的剧难看不到哪去。            
(3星)	 　　男猪脚死要面子活受罪 　　女猪脚浑身上下的公猪毛病 　　俩都不是省油灯，不知道自己有几两重介哪儿是标准果婚，还不如叫中国式结婚呢。            
(3星)	 挺吵得            
(NA)	 不顾节奏的一味戏剧冲突            
(4星)	 爱是给予自己的全部            
(5星)	 一礼拜看完 从不看国产剧的我 看的津津有味 很多感受啊。。。            
(3星)	 越来越烦人的戏。。服装道具品味糟，插入广告过多，两天看完。优点是某些剧情有时代感（围观者手机拍照、拆迁房赔偿款斗争）。            
(3星)	 跳着看完，最特喜欢里面的娇娇，机灵、漂亮、会争取、够坦率，撒娇的模样真迷人。童佳倩、刘易阳还有那个富二代女生也还成。大人们的喋喋不休基本快进。其实说爱情败给细节，更多是种借口，感情这种事，说穿了就是心理价值你觉得它值多少值不值这一回事。            
(NA)	 孙晓娆给了刘易阳KFC的优惠券之后，刘易阳就拿着去吃吉野家了。            
(NA)	 刘易阳不爱童佳倩             
(4星)	 挺现实的吧就算。看得我这两天静琢磨这点儿事儿了。。            
(4星)	 佳倩易得，易阳难寻。            
(4星)	  在国产剧里面相对算好的了，前部分比较现实，有一些同感，后面的拍得就有点像奋斗了，！华而不实！            
(4星)	 你猜。            
(NA)	 虽然剧情很狗血，有的现实，有的还是虚假，哪有没钱还过得这么奢侈的。总的来说演的都不错。            
(3星)	 前面不错，后面太随意了。其实爱情是抗争不过家庭的            
(3星)	 都疯了            
(4星)	 也只有童佳倩对感情的认真执着才配得上刘易阳的爱情眼泪。这是一部有点俗但是不太假的电视剧。有一句话我印象很深，佳倩，你对感情那么执着认真，一定会得到幸福。             
(NA)	 谈不上什么裸婚，不过现实催人成长，忽略一些bug，总得来说是个挺好的剧本。            
(4星)	 三星半            
(3星)	 其实我真的还挺想结婚的~            
(4星)	 个人觉得开放式的结尾有点刻意为之，因为很明显，杜毅跟童佳倩没结婚！            
(5星)	 这部电视连续剧就没出现过夏天！！！！！！！！！！！！！！！！            
(4星)	 一天十集看的我这个气啊！！！看完了我觉得我变庸俗了变现实了！！！有情饮水饱神马的再也不相信了！！！            
(3星)	 我们也这么走过，看的是情绪。            
(4星)	 细节打败爱情？失无所失。            
(4星)	 还是需要钱才能解决问题。            
(4星)	 真的不错，结局很好。            
(4星)	 真实            
(5星)	 不错的电视剧，喜欢凯利的表演，喜欢文章的犀利，喜欢姚笛的美丽。就是感觉文章的结巴有点装，结局很开放。            
(3星)	 千篇一律的脚色设置            
(5星)	 文章演技真好！！            
(4星)	 3+这部片子情感挺真实，人物最出彩的就是两家的妈。原来，爱情真的狗屁不是，结婚，你想好了么？细节打败了爱情            
(NA)	 慢            
(2星)	 有什么好看的 整个都弱到爆            
(3星)	 满剧都是minicooper刺激死我了。俩妈成天叨叨嘴叨叨死我了。            
(4星)	 反正我能接受裸婚。            
(5星)	 恩！            
(4星)	 文章俨然已是内地小生一哥了            
