http://movie.douban.com/subject/6534065/	女人的香气 여인의 향기
(5星)	 这部戏开始喜欢李东旭            
(3星)	 女主明知自己只有6个月的生命，像男主说的，既然没有未来，就不该靠近啊。这样的女主太自私了不是吗？女主被性骚扰也是一副逆来顺受的样子，太软弱的女主我一向不喜欢，xiluo。长得也不好看，从任何一个角度都能看到鼻孔有木有？这些都是剧情设置的问题，编剧不给力，不喜欢。            
(3星)	 三顺姐演过最差的一部了，实在是男主太弱，男2号太可爱了，快逆袭吧，干掉那个老是哭哭啼啼的怂货！            
(5星)	 结局满好……            
(5星)	 我疯了，我这几个月就只要想着他们才能入睡了，我要血红啊！！！            
(NA)	 三顺啊~            
(5星)	 李东旭好帅啊！！！虽然依然是演财阀2代 可是跟当年的My girl完全不同的风格诶！！！当年的三顺演技果然依旧了得啊~~~            
(5星)	 很多事情想了又都没有机会去做，是该好好考虑一下这个问题了。。。。李东旭更帅了！！更新完了。真的超好看！！！！！            
(5星)	 金善雅最高            
(5星)	 韩剧对感情的处理总是那么细腻，让人无法抗拒。但是又感觉离现实好远。            
(4星)	 三顺姐还是胖嘟嘟的可爱啊，俩人真般配~            
(5星)	 这是这个季度最值得看的韩剧了...            
(5星)	 第四集好评啊俊秀亲。            
(5星)	 喜欢金善雅..  演技很棒！李东旭也很帅。。。哈哈            
(4星)	 三顺的演技了得啊！！！            
(5星)	 又一部让人追着看的韩剧，观后轻松、期待更新！            
(5星)	 很喜欢。无论浪漫情节还是悲伤眼泪，都还蛮中我的要害的。就算没有在倒数的人生，是否也应该有个愿望的清单，去做想做的事，去完成从未提上日程的梦想。勇敢的去生活吧。            
(5星)	 大爱宣儿，希望不是悲剧~~            
(4星)	 这是我头一次坚持不懈的追韩剧！            
(5星)	 1) 髮型很重要 2) 髮型很重要 3) 髮型很重要            
(NA)	 13集 弃剧！！！李东旭你能少接点苦逼戏吗……天蝎座有内秀不是这样的……            
(NA)	 弃            
(3星)	 画面很唯美，节奏非常慢。            
(4星)	 第三集真的好浪漫好理想！想去冲绳(*_*)            
(5星)	 唯美的画面 宣儿高超的演技             
(4星)	 只能說是個沒死絕的結局....行吧...挺好            
(5星)	 哎呦！李东旭+金善雅！很激励人❤            
(4星)	 韩剧那些个硬伤就不提了。癌症这个题材在这个特殊时期对我来说真的太敏感了。ep08金阿姨闪着泪光说“我想恋爱”的时候真是觉得眼瞅着2012却没有爱可恋确实好苦逼。什么时候才能豁出去真心啊。／0904忽然不想追了。追下去也不过就是爱情的结局。            
(4星)	 傻女人            
(5星)	 如果你也是妍在，当你的生命只剩下几个月的时间，你会做什么？你会和你爱的人分开还是厮守？不管发生什么事情，都要坚强的活下去。不要只有在得绝症时才想起这一点。泡菜剧有时也会让人深思，不是所有的剧情都不现实，只是并没有发生在自己身上。            
(NA)	 除了李东旭是亮点意外……剧本真的是硬伤啊！！！            
(4星)	 继续补上list~还行，挺好看的            
(4星)	 配乐真的是不错呀~缓慢的很舒服            
(3星)	 只为看看三顺。            
(5星)	 李东旭本来不是我喜欢的型，也不是帅气的款，但是就是因为他偶然流露出的小幼稚、小任性、小无措，让我觉得他是配得上金善雅的男人！金善雅，大爱，无论是三顺、检察官还是香气，无论胖瘦，她的那种女人味太迷人了！            
(4星)	 女二悲剧了，她的戏份我全部快进了。。演员好本子也不错，虽然老套，但是励志的部分写得蛮完整的。李东旭演技进步了不是一星半点啊，要火。            
(5星)	 李东旭！！！！！！！！你果然是按着我的理想型长得！！！！！！！！！！！从你出道就一直是！！！！！！！！！！！！！！！            
(5星)	 探戈是亮点。永远的李东旭。            
(3星)	 金善雅变化真大            
(5星)	 被眼泪浸泡的休息日..            
(3星)	 “遗愿清单”+“灰姑娘”+“生死恋”，一锅烩了，俗套又俗套。女主角是真不漂亮，可爱的痕迹也不多见，身材还好，够苗条。唯一可看的是李东旭，性感健美，还纯真。            
(4星)	 编剧没把女主写死真不错            
(4星)	 虽然是烂俗的剧情，可是还是一边看一边哭。。。            
(4星)	 如果自己的了绝症，还剩下不多的时间，我会做什么呢？            
(4星)	 看到这部电影想到自己现在的生活，活在当下充满感激，另外男女主角都很喜欢，很舒服，尤其李东旭大爱撒            
(4星)	 经历了一次她的经历            
(5星)	 向乔布斯致敬 每一天都当作生命中最后一天去生活            
(5星)	 很温情，但是这次在无激情的戏码里，男主角还是露了无数次啊，可见导演之用心良苦啊。三顺都能瘦成这样，给我的是相当的励志啊。            
(4星)	 我看的不是电视剧，看的是颗催泪弹啊！            
(5星)	 李东旭为什么要那么帅！            
(3星)	 金善雅还是老了点啊，咆哮妈你能不能不咆哮了！！            
(5星)	 东旭偶吧太帅了！！！！！！！！！            
(5星)	 哎呀好感动             
(3星)	 虽然金三顺瘦了。。。但是实在太俗的故事。。。每个环节都预料到了。。。。弃。。。。            
(4星)	 有可心动之人            
(3星)	 tango音樂加分不少。            
(5星)	 184，78kg天蝎座B型血，皮肤皙白不胖不瘦有胸肌的男纸伤不起啊！！！！！！！！！！！！            
(5星)	 就当我以为女主挂掉哭得惨绝人寰的时候她居然又没死 突然不知所措 让人恨不得觉得她不如死了算~ anyway 很棒            
(5星)	 一部温馨感人的好剧！让人更懂得生命的意义，更珍惜活着的每一天！所有人都这样一直幸福下去吧！            
(5星)	 11集以前节奏、画面、情节都很不错，后5集就有点不如意了。这部电视剧感觉是为《金三顺》时期的那句名言“去做什么什么吧，就像没有什么什么一样”专门打造的。勇敢生活，人生苦短，珍惜眼前等等可以算是一种香气，但是认真对待周围人，让身边人因为有你而幸福，这才是女人最美的香气。            
(4星)	 三顺姐绝对是演技派。            
(5星)	 这部剧是在是太有爱了，一定要看哦！            
(5星)	 强推啊   宅女意淫的好片子！  和金三顺差不多 励志多一些！！！！！            
(4星)	 冲绳美景加一星，金雅善姐姐瘦成杆子加一星！！！还不励志么，亲。            
(5星)	 “如果在生命的尽头才遇见真爱，要怎么办？” 剧中某些情绪，让我想起07年到08年的自己。那二十个遗愿清单，又触动了多少被称作”大龄剩女“的心？            
(5星)	 偶然间从昨晚开始一口气看完……几位的演技尺度拿捏的都很到位，金善雅是个不折不扣的戏骨，虽为喜剧演员但总能在意想不到的时候向你投来催泪炸弹亦或是阐述了某个生活态度，值得一看！            
(5星)	 看一集哭一次            
(5星)	 很不错的片子，制作很精良            
(5星)	 李东旭退伍后的作品 还是那么的帅            
(5星)	 未来如何走下去，就看你的结局了。            
(4星)	 严基俊果然演的很好哇！！！太亮了~~            
(3星)	 金善雅也瘦成纸片了，只是我还是觉得三顺的一笑一颦好温暖，搭戏的不再是玄彬也觉得好奇怪。噶奇怪的编剧，上来就是个癌症，两集结束了男女猪脚都木有遇上。不够虐心，剧情也不够跌宕，但是丝毫不能阻止我半夜哭得眼都肿了，泪点低啊~            
(3星)	 绝对是一部可以快镜看的泡菜剧思密达~！            
(4星)	 金三顺长得像整容前的李多海，这部片子就是hello小姐。            
(4星)	 我操 这个言情剧太杀了…………            
(4星)	 好烂尾            
(4星)	 看到第九集看不下去了。其实妍在很自私不是吗？明明知道活不长了，还要把志旭拖下水。            
(4星)	 算是今年感觉还不错的韩剧，其中还有不少的好台词。而且真的不是悲剧，完全是个励志片。它告诉你，人生有千百种活法，看你选择了哪一种，然后该怎么过。三顺姐依然很不错，不过李东旭的表演还是那么生硬，气场还是那么弱，可惜了。            
(5星)	 矮油...出乎意料的好看喲~            
(5星)	 好看shi了 结局介么好 还以为会死             
(5星)	 第一季还真不怎么好看~后面越看越好看~            
(5星)	 李东旭一如既往的帅，不，应该说更帅了!看《城市猎人》没十几分钟就放弃了，可这个，看了十分钟就放不下，它有浮夸的部分，比如豪门，比如门第家境悬殊的爱情；可它也实在到不行，发生在你我身上的故事，比如剩女，比如面对生命的终结，总之，吸引到我了。久违的韩剧。。。            
(5星)	 很久没有看电视看到哭成这样了。。。。            
(5星)	 研在只是做了很多人一直想做却没有魄力去做的事情，仅此而已，却足以动人。            
(5星)	 金善雅就是金善雅，不看好的剧情，不看好的男主角，在她的带动下一切都是那么的顺其自然了。            
(3星)	 三顺也老掉了。。。桑心。。。节奏实在太慢，大概10集左右的时候就跳开不看了，直接看了最后一集，开放的结局也不错，虽然做足了迎接悲剧结局的心态。            
(5星)	 绝对是2011年最值得看的韩剧！            
(5星)	 三顺啊，pc最爱的演员啊            
(5星)	 薇莱的片子质量都很高！我要等全剧完结了一口气看个过瘾~~~            
(5星)	 用大妈的话，探戈的一段两人已经精神ml鸟~            
(5星)	 不留遗憾的活着.            
(5星)	 金三顺之后追的又一部韩剧，真的很好看。男女主、编剧等都很给力            
(5星)	 在更中！！好喜欢李东旭！！。。。然后我发现自己越来越花痴了。。            
(5星)	 什么都不说，哭了那么多张纸巾。。。            
(5星)	 哎 那几个支tango跳的啊 血管暴涨            
(5星)	 闺蜜看的比我还入戏，才看到前几集的时候就说看的难过死了。。。哎，这孩子到十几集的时候怎么看的下去呢，太虐了            
(5星)	 活在当下！！！！第一个还没看完就给5星的片子。。。善雅JJ的演技大赞！！！！            
(5星)	 太赞了            
(5星)	 为三个主演一人一星，真的很动人，导演镜头运用一分，我第一次因为镜头运用而喜欢一个剧，最后一星给细腻的情感，这注定是个悲剧的故事，因为他们的共同演绎让人看到甜蜜和希望            
(5星)	 麻痹 李东旭太帅了            
(3星)	 王子灰姑娘外壳包裹着的朴素人生励志剧 结尾一般般 没啥张力了            
(4星)	 李东旭果然是画报            
(4星)	 哪是喜剧啊，这么虐。。第一集就差点飙泪            
(5星)	 哎呀呀，看了第六集特别稀饭男二啊            
(5星)	 最好的相遇XD..            
(4星)	 金善雅是大亮点 必看好么 李东旭太帅了 最爱嘴型            
(5星)	 the best korean drama after 2004            
(5星)	 我喜欢的演员之新作，李东旭+金善雅=富二代+绝症剩女=爱情+励志。韩国男STAR当兵后，都是越来越有韵味，金桢勋、李东旭、金在元都如此，赵仁成更是广告接到手软。李东旭的腹肌哦(玄彬回来也会有吧)！我喜欢正装男！OST也赞！俊秀那首，尤其待见那句You are so beautiful!一、二集无力，第三集开始发力            
(2星)	 李东旭真的差玄彬太多了            
(5星)	 十六集看了十几天，金善雅演技了得啊，整天在哭。看完了就想好好生活珍惜现在了。结局册烂污了，还是前面赚眼泪。            
(5星)	 胖大姐+老女人都是我的心头爱~~~别死了~~~            
(5星)	 2011.08.01-09.18——V.G. 把每一天当生命中的最后一天，认真开心地过吧。            
(5星)	 当小李觉得委屈时，三顺姐姐还得照顾不知情的妈妈，知情却不知所措的闺蜜，知情却又爱她的医生同学。            
(4星)	 麻痹的，这么俗套的剧情还是让我哭了，草，才一集就哭。。。终于他妈的完结了            
(5星)	 个人赶脚女主的绝症最后可能是个误会。反正就是一部很狗血的剧，说不定女主的妈跟男猪的爸还有纠葛的。个么有帅偶吧再烂也可以看啊。。。T T            
(5星)	 男女主的气场都很强大~催人泪下的温暖剧~            
(5星)	 就着东旭哥那张脸，再烂的剧情也看得下去！            
(5星)	 啊。。。不知不觉就结局啦。。。            
(5星)	 三顺姐            
(5星)	 喜欢男女主            
(4星)	 最终集及时扼制住了烂尾的趋势，表扬编剧！还是觉得应该停在秩序为第20个意愿画上笑脸那里……不过那好象就是杯具了&gt;&lt;            
(4星)	 有点罗嗦。原本就该更多生活，而不全是工作，一旦生病，什么都来不及。            
(5星)	 结尾真美好。            
(5星)	 節奏似乎略異于傳統韓劇。一集末，善雅姐姐的演技大爆发！丨終於有一個編劇敢于走出苦逼悲情的怪圈。金善雅的演技爐火純青了！            
(5星)	 金善雅就是镇剧之宝            
(4星)	 烂尾了....前8集不错，后来又狗血又拖沓。。。            
(5星)	 如果生命只剩下六个月http://movie.douban.com/review/5036256/你会做什么            
(5星)	 基本不看韩剧~除非有喜欢的姑娘~ 金善雅是一个~ 开局不错啊~我不喜欢看浮夸的演技~ 金善雅演技刚刚好~ 第一集结尾居然也跟着哭了~继续follow~  还是五颗星吧            
(4星)	 脱离了不治之症凄凄惨惨的套路，里面的人都活的自然又真实。            
(4星)	 预料中的结果            
(5星)	 绝对完美！            
(5星)	 非常非常棒!!            
(5星)	 李东旭的肌肉与脸庞杀死我吧            
(5星)	 三顺尊的瘦了  咱们也可以的  尊的            
(NA)	 这种熟女和嫩男滴剧怎么能不看，尼玛还是高帅富~~~~~~            
(NA)	 那年看mygirl，喜欢李东旭，把他的照片贴在桌上，钱包里。他还是那么年轻，我都快老了。            
(4星)	 最喜欢研在在日本跟那个老外跳探戈时候的那一段···太感动了·····            
(3星)	 这部片的评分不算低，但是不是我的菜。不可否认的是，宣儿的演技始终精湛。            
(NA)	 就是三顺脸太老了...            
(NA)	 三顺真的老了，李东旭萌神一枚~            
(4星)	 treat every day as the last day in life            
(3星)	 还是喜欢金善雅的圆圆脸            
(4星)	 金宣儿真是好演技啊~看了一天终于看完了~            
(3星)	 好喜欢李东旭啊…………            
(5星)	 这五星打给金东旭，三顺妈妈怎么每次搭戏都是大帅哥呢。。。请允许我还有做梦发春的年纪，个男一就是标准梦中情人类型啊。。。就是剧情有点儿狗血。。。。            
(5星)	 李东旭还是那么正点~~~~~~~~~~~&gt;&lt; 李东旭五颗星！！！            
(4星)	None
(5星)	 励志剧，一开始觉得金善雅在这剧里真是瘦的一点都不好看了，但是剧情好啊，越是到后面越觉得一开始要的就是这个效果；而李东旭在这个剧里其实不太出众，但这一点也不影响他依然帅气。我只想说，这绝对是部很励志的好剧，偶尔也应该停下脚步看看周围的风景，不要因为生活的压力错过了真正在乎的事情。            
(3星)	 男主没有魅力，看韩剧以来第二部比较喜欢男二的剧，第一部是my girl。看来李东旭对我一点吸引力都没有。剧有点拖，唯一值得想起的是妍在第一次在银行取钱的时候对职员哭诉的那些话，确实，人何必委屈自己。至于其他，歌颂小三。。            
(4星)	 综合一下给四星              
(3星)	 从玄彬到车胜元再到李东旭，金善雅你艳福真不浅呐！            
(3星)	 患了绝症的女吊丝大战白富美，然后赢得高富帅的故事！            
(3星)	 男主还行，女主不可爱了，剧情俗套，给三颗星纯属心地善良。            
(5星)	 两颗星一颗给亲爱的宣儿，一颗给小鹿眼睛的东旭~❤ 其实整体剧情就像遗愿清单+一公升的眼泪 不过还算励志 宣儿选剧本还是不错的            
(3星)	 男二号更可爱!            
(3星)	 期望高了            
(2星)	 没看下去，金三顺太老了，男主也实在缺乏点气场。编剧虽然开场的镜头不错，但是很快落入俗套，受不了了，一集看完就弃了。            
(2星)	 真他妈难看，主角性格太弱了            
(NA)	 前面一直在哭啊哭的 受不了啊            
(4星)	 这位美男长到我心坎里去了=3=            
(NA)	 三顺真能哭            
(NA)	 三顺你命太好了吧！玄彬  车胜元  这回是李东旭！！！！            
(3星)	 看的时候很出戏...一直想着金善雅你到底怎么瘦的？男猪怎么这么帅啊？男猪你怎么突然就那么爱女猪了她大你七八岁啊？于是13集就弃了。我果然很难接受年龄跨度这么大的姐弟恋            
(5星)	 为了这个结局。给五颗星。            
(4星)	 济州岛的时候很搞笑= = 男主角是摩羯座么~~~            
(4星)	 好耐无睇D甘虐噶韩剧啦!减一粒星系因为剧情无乜创新，台词都5出彩，其他四星全部比演员噶，宣儿姐姐当然系厉害，李东旭都有戏啊，眼神同身材都令我惊喜啊!最后噶结局好励志！！！！            
(2星)	 两人完全不搭不搭不搭不搭不搭不搭不搭不搭不搭 男2才有爱好不好。。。。弃剧。            
(3星)	 请问这片子究竟好看在哪里？            
(3星)	 完全是冲着男主看完的。。。            
(3星)	 编剧越来越耍流氓啊。。。各种虐，金宣儿一如既往的好艳福。            
(3星)	 我迷恋的也就只有李东旭的锁骨而已。谁让韩剧的剧情永远是雷同的传递的价值观永远大错特错╮(￣▽￣)╭ 。            
(3星)	 2.9-2.14 三星有余四星不足~李东旭嘴唇好红，偶尔傻傻呆呆的，嘿~是老套的剧情，但有点小意思~~我喜欢那个老师~还有那个病友mm~~            
(4星)	 好吧，大哭，真催泪            
(3星)	 导演你真是好导演，每隔两集就让男主洗一次澡。还是喜欢欢乐三顺剧，苦情狗血剧接受无能。。。，三顺姐我可是为了你看的哦。            
(3星)	 眼泪吧嗒吧嗒掉……            
(3星)	 第一集就带姐飙泪了···            
(4星)	 男主好可怜TAT            
(3星)	 将灰姑娘与王子的童话故事进行到底，男主换成玄彬多好啊，东旭哥怎么看怎么像陈坤。女2那张苦逼脸太怨念了。蔡医生是萌货。每集1小时按国产电视来算就是24集，完全可以20集搞定，拖沓的要死，看到12集左右心里无限嘶吼快死吧快死吧。PS，不走纯爱会死咩？都尼玛30多岁的人了拉个手都脸红，            
(4星)	 这个结局挺好！            
(NA)	 诶，这种烂桥段我也能哭得死去活来的真是没救了            
(3星)	 唉，韩国人啥时候能把绝症治好呢？富二代，灰姑娘，父母早逝，心理阴影，绝症，巧遇，相爱，父辈反对和阻碍，第二女主的插手，爱与相守的矛盾，最后达成和解，典型的韩剧套路。看时候我在想，如果是一个普通人得了疾病，家里穷困，没遇到富二代，没有爱情相慰，该怎么过这漫漫的六个月呢？生活可难多了            
(4星)	 恩你俩真没来电啊 我还是爱玄彬！            
(2星)	 即使有李东旭我也撑不下去了，果断弃于第十集。done            
(3星)	 女主角说话的速度太慢了             
(4星)	 我花痴了            
(3星)	 好假            
(NA)	 ←_←完全是冲着男猪帅以及女猪是三顺看的  剧情……剧情还算新颖吧……比起哭哭啼啼或者“为了家族我要和XX联姻”的狗血情节这部已经开始转型            
(3星)	 哭哭哭！！尼玛就知道哭！！！！要不是看在李东旭和金善雅的份上我就打二星！！            
(3星)	 李东旭挺帅的！            
(4星)	 还好没死人。可以看血腥恐怖变态恶心，就是不能看这种的。所以没骗眼泪流走，很不错～            
(NA)	 好无聊才追的韩剧，结果更无聊。            
(3星)	 看了8集，跳到最后一集。三顺姐，你实在是太瘦了！            
(NA)	 好多时候都看哭了            
(3星)	 绝症，苦逼女，富二代，苦逼男配角，三角四角五角……骨子里的韩剧范儿，我竟然坚持看完了……话说，好久木看韩剧了。            
(4星)	 演员演技不错 歌不错 就是后来收尾太弱了            
(4星)	 本部长卖萌太可爱了！！            
(4星)	 除去韩剧惯有的“富二代”情节，还是蛮励志的。。。            
(3星)	 喜欢上男二不是一次两次了 (o&#39;.&#39;o)            
(4星)	 只是为了花痴男主。            
(4星)	 剧情还是这么老这么狗血，只是金善雅演技太好才给四星            
(NA)	 不知道是因为年纪过了还是怎么滴，追个韩剧，追着追着就没兴致了。。。。这算不算一件可悲的事？看它完结了，就去看了个结局。也不痛不痒的~~            
(3星)	 男主角还是很可爱，非常不习惯那么瘦的金三顺。太拖沓。最后却让我哭到死去活来。            
(3星)	 前面还好~后面又变很拖沓~            
(3星)	 讨厌病怏怏的!!!            
(1星)	 豆瓣评分是卡bug了么= =            
(4星)	 到後面就拖沓了，但是小學同學好善良啊TUT 然後男豬腳他爹的口音好好笑= =   但是能知道自己死的時間然後好好準備，真不錯啊。不想帶著遺憾死掉T_T            
(3星)	 前三集很好看，后面的都是快进看的。不喜欢这种女主角生命只剩半年的悲催剧。            
(1星)	 擦我一定是脑子抽筋了才会重新捡起这部剧并且追完了。尼玛这什么狗屁结局?!死没死倒是给个交代啊!金善雅你什么开始时候说话这么嗲了..好久没看这么糟糕的韩剧了，爽!            
(3星)	 三顺看着都快40了  ￣.￣　             
(1星)	 不好看。            
(4星)	 流了不少眼泪，开头和结尾都算是不错的。严基俊这部的角色设定太赞了！可惜又是个悲催的男二。。。            
(3星)	 后半程不给力 直接跳最后一集 结局不喜欢            
(4星)	 完全是冲着三顺才看下去的。。            
(3星)	 男主眼神呆滞，就一花瓶。            
(4星)	 好久没看韩剧了~~~~看到三顺姐，我又滚进来了~~~~~~            
(3星)	 末日恋情这么老套的故事，这么可爱的三顺姐，离开了这么久的李东旭，冷酷又柔情的严俊基，总有一点值得期待。ps开播初期编剧信誓旦旦地表示绝对不搞反转那一套，结果在中秋前一天的大结局里还是给出了一个模棱两可的伪大团圆结局，也是，在团圆的节前搞个天人永隔的结果，估计只有金奶奶有这个胆             
(3星)	 结局是坑爹的……害我输了我的泡凤爪！！！！            
(3星)	 小白兔的妈妈说男猪长得像她儿子            
(4星)	 又是癌症又是车祸的，不过退伍回来的李东旭还是一如既往的帅啊！            
(4星)	 冲着男一去看的，越来越嫩了，从myｇｉｒｌ就很喜欢他，但是始终无法喜欢女主，演什么都是那张三顺脸，虽然现在瘦了            
(4星)	 比起男一号 好像更喜欢男二号啊！            
(3星)	 三星半 对拥有小鹿版灵动眼神的男生最没有抵抗力了 故事非常老套 男主和医院的癌症小朋友非常的喜欢 10集弃 ps：什么时候才能出现一个能让我看完的韩剧嘛 TAT             
(4星)	 金善雅凭时娇憨时动情的演技占据心中最爱韩国女演员地位。不算太美可耐看的容貌总在某些角度的时候亦有惊艳的一刻。剧情老套真不是剧集失败的致命死因，拍摄手法、角度，布景，画面，配乐都可有效改善的。韩剧看的不多，但每次都觉得画面怎么那么美，选景怎么那么好！            
(4星)	 虽然剧情有些俗套，但结局让人意外。不错！            
