http://movie.douban.com/subject/1754882/	波士顿法律 第一季 Boston Legal (Season 1)
(3星)	 Denny Crane就是《My Dad Says》里面的男主角，戏路没多大差别。当肥皂剧看了。            
(3星)	 没兴趣接下去了。只看了1季            
(5星)	 唯一一部，从头到尾看完的美剧。最喜欢的一部。就这样结束了            
(5星)	 love Alan Shore            
(5星)	 Alan Shore.            
(2星)	 很烂            
(5星)	 爱死了！！！ 爱死了！！！我也爱波士顿啊想定居的城市像北京            
(4星)	 之所以标签如此多，是因为法律涉及面之广。我在代号为2004的经典美剧豆列收录了这个。形式很精彩也很搞笑，引人入胜。更何况其间的人性，正义和取巧等。            
(5星)	 S1.            
(4星)	 一点点            
(4星)	 老男人丹尼还真是真性情~~；Shirley还真是风华绝代~~;Alan还真是老辣～～            
(5星)	 绝对a+啊。华丽的BL以华丽的BL结尾了.            
(3星)	 优点：法律类美剧我都爱。缺点：人物极其不美型。            
(5星)	 Alan，世界第一帅！            
(5星)	 绝对值五星的律政剧，结案陈词是亮点            
(3星)	 为啥评分那么高，我一点也没觉得好看            
(4星)	 总算看完了。            
(4星)	  越看越觉得一般，都是些颠倒是非甚至很假的小案子。全凭一张嘴，黑白随你说了。            
(5星)	 William Shatner            
(NA)	 Denny很强大~~            
(5星)	 lori！schmidt！从108 santa 开始 太精彩了！            
(5星)	 叔控表示看得很有幸福感，面上两坨绯红神马的~            
(5星)	 精彩智商剧，看晚了。            
(NA)	 denny crane~hah            
(5星)	 不得不说…美剧的一季实在是太TM长了！            
(4星)	 100929 看了3季，里面所有的律师都喜欢，而且颠覆世界观：没有绝对的正义，取决于诠释的角度。            
(4星)	 这奏是四个活宝和一个女强人的故事。最后两男主竟然结婚了结婚了我靠！！下了第四季好像，每一集的案件都很有代表性.上学期正在学banking law，看完做题目都觉得信心倍增，法律就是扯嘴皮子，没有标准答案你说得有道理你就能拿分。当然，bankinglaw和comonlaw是有区别的            
(5星)	 唇枪舌剑的力量。过瘾死了！ danny太可爱了。时刻让我发笑。真希望没有被砍。一直看下去看下去看下去            
(5星)	 哈哈，没想到这么好玩。：P            
(5星)	 逻辑非常出色。            
(4星)	 其实我蛮喜欢Lori的。可到第二季居然转眼不见了。            
(5星)	 两个人最后结婚那段，看着有种心酸的浪漫            
(5星)	 James黑乖撒            
(5星)	 回味无穷            
(3星)	 3.5            
(5星)	 看过2-5季，这好象是最近我给出的第一个五星            
(NA)	 Season 1            
(5星)	 科普片。。。            
(NA)	 特别喜欢里面那个法官银丝小老头            
(5星)	 flamingo!!!            
(NA)	 10分钟后弃剧            
(5星)	 岂一个吐血推荐了得。。。血腥推荐！！！！！！！            
(4星)	 终于啃完了。            
(5星)	 最好看的美剧  思维过山车            
(5星)	 除了那个令我很不舒服的结尾~五星~力荐~            
(5星)	 绝妙!!!!            
(4星)	 第一季能给到4星，第二季得少个半星，第三季我没看完，看不下去了，顶多给个2星半，老拿那些个放荡的性事取消是不是也太低级，完全没新意。。。            
(1星)	 第一季是值得打5星的，之後每一季它丟掉一顆星，到第五季開播時，我只是想看看編劇的無恥到底能到什麽地步而已。            
(3星)	 我居然看完了S1             
(5星)	 从影像里窥视美国法            
(5星)	 Denny和Alan太可爱了~            
(5星)	 伟大的剧            
(5星)	 超经典，强烈推荐            
(NA)	 line！Alan！！            
(NA)	 还有什么说的。要了解美国政治不如看这个。            
(5星)	 ！！赞            
(NA)	 好剧好剧            
(5星)	 最爱的美剧            
(5星)	 allen的close做的很棒。            
(5星)	 原来不是想象的那样 而且大家都爱Denny 和Alan的私情            
(4星)	 好看是好看，就是我实在受不了alan那张脸！-_-! 所以就只看了第一季的前五六集            
(5星)	 GONE FISHIN&#39;            
(5星)	 the end..            
(5星)	 第一次真正追完的剧，会买盘珍藏，虽然我讨厌最后一季编剧硬塞来的政治观点，他们毁灭了alan的精神，但是才华仍然是醒目而不可磨灭的，爱他的每一段closing。            
(5星)	 这么好的美剧 以后没了            
(4星)	 不错的剧集，没时间追了            
(4星)	 带色的、偷天换日的、            
(NA)	 特别适合大段模仿的法律陈词，精彩演讲。Alan Shore! Real man! Real idol!            
(4星)	 brilliant，有时很可爱，有时又很深刻            
(5星)	 Shirley made a point in the end.            
(5星)	 太爱这部片了            
(4星)	 Danny Crane            
(4星)	 基本上还算紧凑，冷冷的小幽默们不是所有人都能接受的            
(4星)	 看到JAMES SPADER去演了新一季的THE OFFICE啊。几年前中断的剧，再饭醋来看看。基情律政剧始祖嘛 ~            
(NA)	 咬着牙看严重发福的斯派德叔叔show性感。            
(5星)	 刷新价值观。人生再出发。神作。            
(5星)	 对alan shore这种坏坏的又有点可爱没正经的男人呢没有抵抗力啊！ヾ(≧O≦)〃~            
(5星)	 剧荒真是可怕呀。弄得我只好开始看之前没看的剧了。            
(5星)	 经典中的经典！            
(5星)	 Absolutely Top 3!            
(5星)	 better than good.I love james spade.            
(5星)	 对法律界的失衡了解是致命的，辩证地思考以及如何故意又感人地说服他人真是十分需要学习的地方。当然还有，office romance？NO!            
(5星)	 最后一集编剧是真High了。。。            
(NA)	 基情四射            
(5星)	 真的很好看             
(5星)	 不能不说，ALAN在其中的表演实在是精湛...配角们也各有特点，通过这剧也长了知识，会考虑有时候继续看下去            
(NA)	 Alan好可爱~~~~~~~            
(5星)	 插曲带劲，情节紧凑，偶有幽默，是我钟爱的类型。            
(4星)	 开头就很火爆 节奏也流畅             
(5星)	 Alan Shooooooooooooooooooore!            
(5星)	 贱贱的alan shore和Denny crane~~恶搞二人组啊            
(4星)	 挺喜欢            
(5星)	 各种感人。。。。。各种荒诞            
(3星)	 不知道为什么，里面的角色我基本上都没啥好感，除了那位金发MM. 女律师内斗抢男人争风吃醋，男律师每一个养眼的，一个个发福身材走样还自以为魅力无限，alen最讨厌自以为是，高傲自大说话都TM仰着头，也不嫌累，说话的语气的方式我也巨反感恶心，除了法庭辩论值得一看，其他的感情戏垃圾。            
(5星)	 最喜欢的美剧，永远收藏。            
(4星)	 律師和醫生那個更有錢。同是打工皇帝，alan的年薪是30多，而GA里Derek是200萬。但明顯，做律師還是日日紅酒雪茄、衣著也光鮮得多。BL里的女角，除了Lori幾乎全是性感得要殺死人的人種，爲了襯托瀟灑的二人，這樣好像會讓他們更受矚目，但好明顯這就是男人片。當然案情還是很精彩            
(NA)	 笑死了啊            
(4星)	 jing说考GRE必看，此言不虚。            
(5星)	 太精彩了，喜欢男主角！            
(4星)	 Denny Crane             
(5星)	 Alan Shore!!!!            
(5星)	 Denny Crane！            
(2星)	 this is so stupid            
(5星)	 Alen 这样的男人。            
(5星)	 第一集是在去北京的动车上看的，旁边的一外国同学在做电脑作业+看新月，斜对面的一同学在做英语作业。。。好怀念啊好怀念！第一次一个人坐动车，看到电脑没电了听mp3，早上迷迷糊糊地醒来化妆看窗外的雪景。。。谁会料到后来发生的事情呢。。。            
(5星)	 靠，这剧根本不用说！！从头腐倒尾！！            
(5星)	 如果可以，你会嫁给ALAN SHORE嘛            
(NA)	 k support me            
(4星)	 Alan shore...爱的爱的            
(5星)	 讲话超快的男主角 帅到死            
(5星)	 i love alan shore            
(NA)	 Alan越看越舒服了。。Denny爷爷也黑乖~~            
(NA)	 大风天不出门。            
(5星)	 被第一集牧师那段话给震撼了！            
(5星)	 密度太大了，要多看几遍            
(5星)	 大胖小胖你们再拍点什么吧&gt;&lt;            
(5星)	 Alan!            
(5星)	 figo坚持几集呀，后面你就知道它的魅力了！            
(5星)	 一直在想，丹尼和艾伦的友谊，是不是真是电视剧里才有的，面对多种困难甚至利益抉择的时候，彼此的维护才是真正的朋友吧~            
(5星)	 真不错，不过不是所有的信息都可以完整地接收到，人物非常具有性格魅力。            
(3星)	 完全是腐剧....            
(5星)	 Denny Crane和Alan Shore!!!!!你说这俩没奸情我是死都不会信呐TAT            
(5星)	 当第一集开始播放时，那里有一种惊艳的感觉。            
(4星)	 Jerry的推荐下看的 主角们的口条和性格特点都很attractive~有空会想要把五季都看完            
(5星)	 少数的久不久还可以拿出来回味的电视剧James Spader个人魅力征服我！            
(4星)	 我害怕变老~            
(5星)	 诙谐又有深度。表演十分到位。            
(5星)	 我爱死DENNY和ALAN了！            
(NA)	 Alan Shore. @@            
(5星)	 喜欢！            
(5星)	 不给五星说不过去啊！            
(5星)	 denny crane &amp; alan shore！！！！！！痞子范儿~~~~~            
(3星)	 律师剧里的佼佼者。            
(5星)	 everyone like Alan Shore！！   最经典台词：Denny Crane。            
(5星)	 精神刺激            
(NA)	 S3-S5            
(5星)	 哎哟喂，Alan shore啊！            
(5星)	 Best way to be a hero is to be a human. 大爱BL！            
(5星)	 this is denny ,denny crane            
(NA)	 看过一部分·美国有真正的司法独立才有这样的片子，就像讲故事，即使夸张总还是讲的有底气            
(4星)	 美国            
(NA)	 alan shore            
(4星)	 一如既往的大叔控……发现此大叔的眼睛以下部分与我大爱的Big颇为神似。好~            
(5星)	 完全震撼鸟！            
(4星)	 看了几集还是不错的。语速相当快。看着有点小吃力。可惜在我关注的时候秋季美剧重新归来。所以就暂时抛在一边了。            
(4星)	 Should be called Boston Aged            
(5星)	 胖叔叔推荐            
(5星)	 最好的律师剧集！            
(5星)	 神作            
(3星)	 还没看到精彩之处..            
(3星)	 两个不正经的人，难得没惹一身祸            
(5星)	 Alan 酷毙了            
(4星)	 Denny Crane&amp; Alan Shore,2个聪明男人唇枪舌战的精彩戏码~            
(4星)	 耐心看下去发现居然还是很有趣的            
(5星)	 看到第四季了。不缺乏感人，也不缺乏幽默            
(5星)	 法律剧第一            
(5星)	 我就是疯，你行吗？            
(5星)	 第一季很精彩。            
(NA)	 终于买了            
(4星)	 追美剧累了。            
(4星)	 很有节奏感的美剧            
(5星)	 danny的眼神太可爱了            
(5星)	 Danny Crane，大爱！！            
(NA)	 我们一起欣赏，但我们各有各的口味。            
(5星)	 我只是很喜欢精英的调调...我爱看他们胡闹             
(4星)	 剧集质量起伏太大，个别集非常精彩，对了解美国社会很有裨益            
(5星)	 好吧，我承认有不少地方都让我感动到流泪。            
(5星)	 六颗星~            
(3星)	 第一季平平淡淡  第二季开始精彩            
(5星)	 咆哮加暴笑            
(3星)	 Shore本来挺有意思的，后来越拍越意识形态化……            
(5星)	 真像某人。。。。            
(5星)	 太让我开怀了！            
(5星)	 支持alan shore            
(NA)	 虽然介绍无比端正但它的本质其实就是它的首字母缩写所高度精简地概括出的：——B。L。            
(NA)	 不喜欢            
(5星)	 DENNY CRANE            
(5星)	 a really good lawyer is priceless            
(5星)	 Spader终于有时间去减减了……            
(NA)	 喜欢allan shore            
(5星)	 完了。我现在爱这部多过SHARK了            
(5星)	 第五季大减分            
(NA)	 实在是对律师剧冇兴趣，枉我认识了那么多未来的律师... ...            
(5星)	 cuckoo for cocoa puff. Denny Crane.            
(5星)	 my top 10.            
(5星)	 我家死胖子alan～～～            
(5星)	 彪悍。看完了，最后一集觉得身为中国人好荣幸，Shirley女王都怕成那样，啊哈哈            
(4星)	 Season1不错，season2差很多，还是个4stars吧。            
(5星)	 第一季人物鲜活，第二季案件出彩，第三季趋于温吞，第四季还需等待。。            
(4星)	 花开缤纷，多头推进。民事案件琐碎，小趣味。主要不喜欢胶片灰淡颜色与里面人物。            
(5星)	 两只NB的色胚十三点律师，啊哈哈。            
(5星)	 剧中的Denny Crane、Alan Shore以及与堪称其父年轻版的Donny Crane，让我多次想到《30 Rock》中的Jack和《Mad Men》中的Don Draper。这伙人太帅了，我再次发现我最爱的人物个性是自大狂（egomaniac）。             
(5星)	 Denny Crane~~~            
(5星)	 再次回顾！BL的第一季真是各种好啊！Denny Crane！            
(5星)	 dany crane !            
(5星)	 很多剧，看一次就不想再拿起来。。这部剧不是，看了，返回来。再看。            
(5星)	 笑死我了            
(5星)	 太NB了，看过最好的美剧之一，居然现在才挖到，感谢闾丘的推荐            
(4星)	 说是the practice的姐妹剧，我更喜欢the practice，BL牵扯太多律师之间的关系和办公室政治了，话说我看律政剧主要看的是法庭辩论            
(5星)	 看完第五和第四季，回头看第一季才发现alan的底色究竟有多正直。季末集的落空，也相当吻合这部剧的气场。            
(4星)	 好看~~ 2个男人的对手戏！            
(3星)	 原来是the practice的那班人            
(4星)	 GAY,SO GAY            
(4星)	 上学期去court observation的时候就觉得学法律多好～            
(3星)	 原来在美国当律师也是卑鄙肮脏不择手段的。。。。            
(5星)	 &#34;Denny Crane&#34;            
(5星)	 好多帅锅，帅蜀黍，帅爷爷，各种斗智、吐槽、JQ            
(5星)	 当年的腐不比今日的浪。专业有余，骚劲不足啊。            
(5星)	 texas有全美最多的死刑人数  alan shore第一个down             
(NA)	 两男猪是越看越有魅力的，但是忘记看到哪里了，就没看下去- -             
(5星)	 很精彩，同时也让我明白为什么棉花同学总是说这个行业里的人很难有幸福的家庭。            
(5星)	 就两字：好看~            
(4星)	 sally快走吧            
(5星)	 我最爱的Ally McBeal的编剧David E. Kelly出品，人物性格都刻画得非常突出啊            
(5星)	 第一季值得一看            
(NA)	 lori走了 我很失落 schmidt来了 算是弥补            
(4星)	 对法律剧开始着迷～s2走起～            
(5星)	 经常戳到我的说，不晓得为什么看着有点腐了。。            
(5星)	 Alan哥好迷人啊~~~~~//Alan哥和Denny叔是真正的好基友啊~~~            
(NA)	 大爱之一。            
(5星)	 第一季结尾真Shocking。Alan这样的男人才算是true man。大爱。            
(4星)	 游走            
(5星)	 庭辯真的相當精彩。做聰明人的首要條件是不要庸人自擾！            
(2星)	 久闻大名了，想看点正经的律师，结果居然看到这一堆无厘头，真是大失所望。里头的熟脸倒是不少。。。            
(2星)	 还是喜欢纯庭审，不喜欢太多的感情支线，里面的音乐也太蛋疼了，显得做作            
(5星)	 5星            
(5星)	 也算是一部喜欢的剧了。各种笑点分布均匀，讨喜。            
(NA)	 邪性的人不一定邪恶，这只是一直生存方式。反之，正义化身却可能一瞬间撕下面具到人性的另一面驰骋。            
(5星)	 爱自由的人应该都会喜欢看            
(5星)	 太棒了！！！！！！！            
(NA)	 ‘我们做的第一件事，就是让我们杀死所有的律师。’---《亨利六世》            
(5星)	 Boston Legal可谓是我看过的最棒的律政剧，其对我的影响可谓深远。一是一举固定了我整个人高中时还摇摆不定的政治观，二是形成了我在任何争议性话题上的英语写作风格。BL的Case都折射着时下讨论最为激烈的话题，而且其剧情的伸展铺开方式，也是优雅轻盈得令我乍舌。强烈推荐。            
(5星)	 I could be a good lawyer, or a even better judge, oh please, at least a juryman... in the United States, of course.            
(5星)	 看了五年，终于把第一季看完了。            
(5星)	 ALAN真是太有人格魅力了！！！少有的几乎所有主演都讨我喜欢的一部剧，强推！！----男人间的基情碰撞，片头大写的BL说明了一切。。。            
(5星)	 Alan Shore！！！            
(2星)	 看了几集看不下去啦，大概EXPECT是LAW结果搞得像SITCOM一样吧……= =            
(5星)	 男友逃婚都能索赔160万，我能弱弱表白么——我爱美国！！！            
(5星)	 danny crane、            
(5星)	 集集都有人生感悟啊~唉            
(3星)	 看了整整17集，只有在第10集的时候觉得这个剧值了。。我真的不喜欢Alan Shore（性格恶心，声音更甚），可能影响了对这剧的打分。只喜欢Denny还有Lori。。。第二季还有以后也不怎么打算看了，就好像推荐人给我说的那样，我只在去面试前随便挑一集来看。好吧！&gt;_&lt;            
(5星)	 最后一集好震撼            
(4星)	 对律师律政什么的，最感兴趣了。            
(5星)	 夭折的好剧            
(4星)	 Allan Shore.mia mia mia.            
(4星)	 是应该庆幸一开始没有选择这个行业还是说一个行业改变一个人有多少呢？            
(5星)	 動心忍性…            
(3星)	 not  my  dish~            
(3星)	 三星半。剧不差，但离经典还远了点。可能前几年美剧刚开始流行时候，选择还比较少，都比较新鲜，那个时期的剧就都成了经典。像我这种纯粹是填空档打发时间找旧剧来看的，就没太多的感觉，有的主角还相当腻歪。而且我选这剧纯粹也为了缅怀下Boston，可整体感觉十分不bean town。            
(5星)	 好久没有这么热心去看电视剧了~~            
(5星)	 神剧。。我土了            
(5星)	 大爱            
(5星)	 brilliant            
(4星)	 只看了第一季，耍宝型律政剧，和它的老大哥TP真的木法比，不在一个档次上。剧情概括说来就是……从前有个律师事务所，里面有一个老疯子和一个小疯子，外加几位男女芭比一起打官司。PS：最爱看Alan Shore身着奇装异服，以及老流氓Denny Crane耍流氓，哈哈哈。            
(5星)	 the best is yet to come            
(5星)	 My favoriteFemale: LoriMale:Alan&amp;Denny            
(NA)	 第一季本来很喜欢Lori和Shirley，但是编剧竟然让她们为认为神创论也是科学的人辩护，还胜诉了因为不肯在科学课上教神创论而被解雇的教师，马上没有好感了。。。            
(5星)	 alan shore...有些东西 证明我热血沸腾过            
(5星)	 老男人！            
(5星)	 伶牙俐齿啊哈哈哈哈哈//喜欢alan（如果我有儿子就这样吧啊哈哈）, lori// 这剧真是一个corrupting influence//最后一集为什么如此无奈。            
(4星)	 肿么又是没字幕的。。。那么就练听力吧。。。。。。            
(4星)	 法律无外乎人性的最好阐述            
(NA)	 看了几集。海龙推荐的。一同推荐的还有J出场的维多利亚的秘密……            
(5星)	 不错看！超喜欢lori！最后一集很沉重。            
(5星)	 Denny Crane~~~and Alan Shore~~~            
(4星)	 結婚了！他們最後居然結婚了！            
(NA)	 牙尖嘴利，只能看字幕了            
(5星)	 纵然知道法庭上的雄辩滔滔被夸张了，但那过程还是如此予人激动与思索。            
(5星)	 都看完了，perfectly好看。            
(5星)	 看美国的窗口            
(4星)	 S108逗死了 第一季惊艳            
(3星)	 BL            
(NA)	 Denny Crane 大爱........            
(5星)	 啥也别说了，看吧            
(5星)	 已经看过三遍了...            
(5星)	 all about friendship            
(3星)	 不知为何越看越提不起劲，不打算看第二季了，对主角也无好感            
(5星)	 又爱上法律剧了~            
(5星)	 Alan Shore.发现我是很爱有强烈个性的人。并希望如此。            
(NA)	 看过部分。男主角这个角色相当出彩            
(NA)	 波士顿法律 Boston Legal is my favorite TV show.            
(3星)	 额额额。。盗版DVD把电脑弄得跟发动机一样。。            
(3星)	 太老了 现在已经见怪不怪了            
(5星)	 我好想给这部剧打七星啊            
(5星)	 我心中的elite形象            
(5星)	 至爱～            
(5星)	 我的第一个正版DVD。贵啊！先英文字幕一遍再德语数遍！            
(5星)	 这是一部关于善良，友情，正义，爱情，生活，人生的巨作。这才是法律，这才是生活。            
(4星)	 Denny Crane..............            
(3星)	 神啊，赐我一部不腐的美剧吧。            
(4星)	 allan很Impressive. Danny也很雷。不过不是最喜欢的风格            
(5星)	 胖子也可以风流倜傥。            
(5星)	 神剧            
(5星)	 Wanna be Alan Shore ...            
(5星)	 看过的最好看的美剧!            
(5星)	 age of propaganda            
(5星)	 If one can fake sincerity, he can almost fake anything.            
(5星)	 诙谐轻松中探讨人性和法律~            
(4星)	 其实是挺好的片子            
(5星)	 BL! 精彩！            
(5星)	 We are flamingos！            
(NA)	 前面的还蛮喜欢，越往后面男女关系越混乱。。。哎            
(NA)	 明白对方话说出口的目的性在于什么，这是需要后天大量滴去训练的            
(5星)	 看了几遍了 还是狂赞            
(5星)	 so we have a blond in every season~?            
(3星)	 演得好做作            
(5星)	 精彩极了            
(5星)	 jian!            
(4星)	 继续第二季            
(5星)	 真的很帅~~            
(5星)	 有爱！            
(4星)	 生在x国，只能喷句擦啊！            
(3星)	 美国司法的堕落            
(5星)	 2只胖子嗲色特勒，1只老胖子，1只小胖子！            
(NA)	 又正经又俏皮，对了解美国政治和法制很有帮助，紧扣时政热点。语言很正式，不过因为中国学生学英语大都学大词，反而很适合我们看。            
(5星)	 相见恨晚。和美国的法治相比，说中国是丛林社会真是一点都不冤。            
(5星)	 impressive presentation for debate. Touching judge panel are about use a story to touching his heart.             
(5星)	 allan shore老是在我意想不到的电影中出现            
(5星)	 智慧与邪恶并举的老男人无法抗拒啊            
(5星)	 开阔            
(4星)	 第一集没分清楚谁是主角。忽然间发现Alan就是当年《性、谎言、录像带》中长发的忧郁男子，但该剧中锋芒毕露。人人都爱Alan shore！果然没错。喜欢danny和alan的凉台聚会。给黑寡妇辩护是我觉得最精彩的，黑人神父的法庭演讲令人印象深刻。            
(4星)	 i love Alan Shore and Denny             
(5星)	 人人都爱Alan Shore .这是我最喜欢的一部美剧！！！！            
(5星)	 超赞！Bravo！            
(5星)	 结局不河蟹            
(5星)	 Alan Shore.            
(5星)	 偉大!            
(NA)	 悬着的三集            
(5星)	 我超级喜欢Tara！            
(5星)	 DENNY CRANE!!!            
(5星)	 精彩的closing            
(5星)	 完美无可超越的律政剧。            
(3星)	 豆瓣评分高，试看了几集，不是我好的那口……            
(5星)	 大爱的Alan呀            
(5星)	 居然能耐心看完一季美剧。奇迹。            
(4星)	 色色的，坏坏的，美美的，一边流氓，一边高尚。            
(NA)	 好吧，我承认，我邪恶了            
(5星)	 我也将成这样的一枚老男。            
(4星)	 ALAN SHORE曾经也是个美男子啊            
(5星)	 五☆是给前三季的，但是自从Pual, Brad, Denise, Jeffery纷纷离开之后，也就乏善可陈了，I hate那个怪手Jerry，也实在是看不下去那个异装癖，每每看到他们两个就是想快进，这已经不是当初的那个Boston Legal, all right?            
(5星)	 有爱啊            
(4星)	 两个可爱的老男人。。            
(4星)	 每个人物都喜欢，除了Brad。            
(5星)	 The silence of majority sounds like the thunder roars. What&#39;ve done is done.             
(5星)	 活得就要潇洒。            
(5星)	 Denny Crane            
(5星)	 惊艳            
(5星)	 大爱 我的alan 什么时候再来            
(5星)	 Denny Crane            
(5星)	 最好的bromance，最好的dramedy，独特之处更在于：我被它掰右了~~~~            
(5星)	 James Spader！最好看的法律剧            
(5星)	 已出完，共五季|||  最后一集对中国人很抱偏见。。但是只是一部show而已，只是少有的直率些。值得再看一遍~~~            
(4星)	 欧美法系下，律师个个巧舌如簧，正是因为这样，个人的良知和道德显得如此重要。但是一气看多了会审美疲劳~            
(4星)	 剧集都这样，前面两季新鲜好看，看到后面都在重复自己。            
(5星)	 It is my life.            
(5星)	 反复看反复看            
(3星)	 我就不明白，我为什么喜欢不起来这片。。            
(5星)	 Boston Legal is an amazing TV series, friendship, men, american style, funny, meaningful            
(5星)	 Denny Crane!            
(5星)	 被Alan和Denny萌到了～～“总觉这世上，最强大的又最脆弱的，莫不过于自己的内心——强大之处，在于他使你无所畏惧，不在乎世俗，只要自己确定；脆弱之处，在于永远敌不过那一小块温柔，被触动的时候，无处可逃。”希望我们的内心，在经历了生活之后，会更强大和温柔。。。            
(5星)	 只有 五季 101集不能错过的神作            
(4星)	 面瘫蜀熟太有爱了。            
(5星)	 Denny Crane &amp; Alan Shore            
(5星)	 看完对个人的成长有帮助。。            
(5星)	 卓越的幽默感，感染力强的法庭辩论，鲜明的人物性格。            
(5星)	 Law, justice, humanity, friendship,love story            
(5星)	 like it so much~~Especially the cute hero~oh haha~            
(4星)	 你们太贱了= =            
(5星)	 公允地说四星半，因为WS爷爷和Lori加满╭(╯^╰)╮            
(5星)	 Danny CRANE~~~~~~~            
(5星)	 Alan让我想起某初中童鞋啊..            
(5星)	 Danny Crane!            
(5星)	 几个老流氓荒唐无耻随心所欲，偏偏能起了身系上西服扣子就开始吐出大段大段摄人心魄的句子，频率之快单词之多涉猎之广让人叹服看这个片子，就想所谓人格的力量，所谓信仰的重量，必当如是            
(4星)	 混乱得很有爱。            
(3星)	 我能把Boston Legal的缩写BL看成是另外一个BL...主人公太能扯了，佩服，学到很多presentation skills.            
(NA)	 Denny Crane U 2 must have XXX before...            
(5星)	 节奏很好，人物很好。第八集之后，这部剧可以称得上伟大了。            
(5星)	 等一口气再回顾            
(5星)	 太精彩            
(5星)	 虽然是一季不如一季            
(4星)	 会说话就去做律师吧。            
(5星)	 美国人的爱国宣传片            
(NA)	 搞笑，中国律师能想他们那样就好了            
(5星)	 Danny Crane！            
(5星)	 很爱并且可能一直都爱的美剧，没有之一            
(5星)	 夏大雷在此剧中充分发挥了雷人本色            
(4星)	 Alon你个芭乐~            
(5星)	 一个贱人和一个老年痴呆的故事。。。我觉得最好的两集一个是alan跟denny一起办案的那集和16集关于冷冻人体和媒体的案子            
(5星)	 经典律政剧！！！我手头仍留有剧本~            
(5星)	 法律法律……我的心头爱……入戏很深鸟~            
(5星)	 最后集alan精彩的closing，用尽的所有气力，却还是无法挽回。民主的美国还是有弊端。Denny Crane.            
(4星)	 发音很清楚 我主要是学英语用的            
(5星)	 天，我爱死Alan Shore了。            
(5星)	 最喜欢的美剧            
(5星)	 重温            
(5星)	 DANY CRANEALAN SHORE            
(5星)	 Alan！！！万般不舍的看完了。。            
(5星)	 可惜完结了            
(4星)	 denny crane            
(5星)	 刚看了开头几集，主演和每集的case都很有意思。            
(5星)	 为什么要在这个当口结束这一季。。。简直没法形容了。。。            
(5星)	 法律是一个复杂的问题，但或许首先得是一个输赢的问题。            
(5星)	 永远的Alan Shore            
(5星)	 去你的，黑白（第二季怎么就变成垃圾呢？）            
(NA)	 我的专业啊            
(5星)	 最爱BL，至爱Alan!            
(5星)	 对于实事政治很敏感，虽然说到c国都是贬义的形象，不过总体来说是一部比较中肯的美国政治锦集，就像阎秋戈薇说的，要了解美国社会，先看Constitutional Law            
(3星)	 后面就无力了。果然单元剧的问题就是容易审美疲劳。只能靠个人魅力了。            
(4星)	 很左翼，很娱乐。虽然讨厌那些很废很主义的左翼论调，不过反而是到后3季动不动一个个美国自己的社会伦理困境主题辩论满篇长篇大论对我更有吸引力，嗯，挺长见识的。            
(5星)	 我最爱的美剧，至今我依然虔诚地信仰它。            
(5星)	 Denny Crane ~ !            
(5星)	 这可以算我最爱的美剧了Denny Crane  Alan Shore            
(5星)	 现实+深刻            
(5星)	 传说能影响世界观人生观            
