http://movie.douban.com/subject/2214123/	青青河边草 青青河邊草
(NA)	 当年看的时候真的是雷打不动的守着电视台直到音乐响起“青青河边草，悠悠天不老”……当年看的时候简直比萝莉还要小，真的是一无所知的童年时代啊，连咆哮教主都没有摧毁我= =            
(NA)	 四岁，爸爸            
(3星)	 那时候马咆哮还没咆哮成教主            
(NA)	 姐还有它ost，厉害吧            
(4星)	 小时候还是觉得很好看的- -            
(3星)	 岳翎大呼小叫实在让人受不了            
(3星)	 记得看电视剧的时候，就总羡慕金铭，因为我也想演戏。。。哈哈哈            
(3星)	 那时候好喜欢涛哥啊。。。也很羡慕金铭。            
(5星)	 ！！！！！！！！！！！！！！！！！！！            
(3星)	 很早很早了            
(3星)	 儿童智商时期看的，也就忽悠小孩儿            
(5星)	 俺的童年…            
(3星)	 琼瑶阿姨的思维方式就是，根据姓名决定家世            
(5星)	 这实在太经典了!!!            
(3星)	 冲着歌打3星            
(4星)	 教主            
(NA)	 囧 小草被车撞了的那个镜头我还记得- -            
(NA)	 咆哮君…            
(4星)	 琼瑶剧啊！！            
(4星)	 哦哦~~~那个年代！            
(3星)	 同没有印象。。。            
(NA)	 有一些印象……            
(NA)	 金铭。            
(4星)	 那时的叶静多正太            
(5星)	 此主题曲 记忆深刻            
(1星)	 狂吐不止            
(3星)	 其实只看了一点。老妈比较喜欢那首同名的歌啊。。            
(4星)	 金铭            
(4星)	 小马哥还挺帅的，金铭也可爱。            
(4星)	 咆哮~~！~~            
(3星)	 哇 我妈超爱            
(5星)	 好吧我承认 我只记得我小时候经常唱青青河边草，啦啦啦啦啦 ~  潇洒走一回是这里面的嘛？也不记得了...  呵呵 ~                
(NA)	 小时候的记忆。            
(3星)	     印象不深，唯独记住了小草金铭。            
(3星)	 当年的金铭还真是个豆丁            
(NA)	 小时候看不懂            
(4星)	 教主的片子            
(4星)	 金铭真能哭啊！            
(4星)	 啊，琼瑶            
(4星)	 那歌AND……叶静~            
(3星)	 景涛兄            
(4星)	 那首歌的旋律还在萦绕            
(3星)	 剧情完全不记得了。只记得胜美阿姨那“青青河边草，悠悠天不老……”            
(4星)	 歌比电视记得更清楚            
(NA)	 影响中第一次看琼瑶的片子……真的很琼瑶            
(3星)	 不记得了            
(3星)	 主题曲到现在还总哼哼。。            
(3星)	 青青河边草。R级！            
(NA)	 小金铭！            
(2星)	 看的就是岳翎金铭大小两位美女，狂躁男主角闪一边去。            
(3星)	 其实  留下印象的只有那首歌了  剧情一点都不记得了            
(3星)	 几乎都不记得了            
(4星)	 o(∩_∩)o...            
(NA)	 那时金铭是我的偶像。。。            
(3星)	 好久远的记忆            
(4星)	 没什么印象了            
(NA)	 小时候，不知不觉中琼瑶也看了不少            
(4星)	 竟然是教主的作品哦            
(3星)	 琼瑶片看多了，情节都雷同。。            
(3星)	 oh马景涛！            
(3星)	 我童年最真挚的爱都献给金铭了~~ 还有不朽的琼瑶（主要是我妈爱看 ：P）            
(NA)	 狗血/激情/笑点            
(5星)	 青青河边草，悠悠天不老            
(4星)	 金铭阿～～            
(4星)	 印像最深的就是金铭～当时还蛮喜欢马景涛的            
(3星)	 都不记得内容了.不过歌还记得.            
(4星)	 歌曲很好听，当时没看懂，哈哈。喊着说话倒是有印象。            
(4星)	 小时候的最爱之一呀～            
(3星)	 对剧情完全没有印象了。            
(NA)	 青青河边草，悠悠天不老            
(3星)	 比较没有兴趣的一部琼瑶剧            
(3星)	 咳咳，当年琼瑶剧看得太多了……            
(NA)	 天，初识教主            
(5星)	 哎呀，当时的“小草”简直是超级偶像啊            
(4星)	 以前的经典啊！            
(4星)	 金铭是我小时候的梦中情人！            
(5星)	 印象最深的电视剧            
(4星)	 金铭好可爱~~            
(4星)	 我们这么大的 小时候没有没看过这个的            
(4星)	 马式发疯让人难以忍受....            
(3星)	 跟着奶奶看的。。。基本不记得内容了            
(3星)	 没有看全过            
(3星)	 其实情节我不记得了...只记得金铭...            
(3星)	 就是马景涛太疯狂了            
(3星)	 小时候很喜欢...一遍遍看...            
(3星)	 金铭和岳翎            
(4星)	 青青河边草！剧情都忘了呀！            
(4星)	 天呐。            
(NA)	 小时候妈妈跟别人说我的名字，总是说“就是那个&#39;青青河边草&#39;的&#39;青&#39;”，嘿嘿~~~            
(3星)	 小时候看的.都忘记说什么的了.            
(4星)	 金铭那个时候真是超可爱啊            
(4星)	 1992            
(4星)	 小草。。长的就是好呀~            
(NA)	 小金铭            
(3星)	 就是能喊            
(NA)	 听说这部电视剧捧红了金铭但本人不喜欢台湾拍的电视剧……            
(3星)	 忘记了都要            
(4星)	 金铭很可爱。            
(NA)	 都忘了当时为什么要看~~~~~无聊至极！            
(3星)	 青筋马景涛，神了那青筋            
(3星)	 一点童年的味道。            
(3星)	 看着长大- -            
(NA)	 经典一枚。            
(3星)	 好小的时候。            
(4星)	 小时过年看的，当时欲罢不能            
(NA)	 童年的记忆。我们一起长大。            
(NA)	 咆哮马            
(4星)	 小金铭            
(4星)	 主题歌不错            
(3星)	 青青河边草 悠悠忘不了            
(3星)	 里面的人都需要检查一下甲状腺……太亢奋了            
(4星)	 年轻时候看过很多琼瑶。。with my grandma            
(3星)	 印象模糊，但尤记得当时的金铭好好可爱啊            
(5星)	 记不清楚讲了萨自乐            
(5星)	 小时候超喜欢的一部电视剧，虽然是我很讨厌的琼瑶写的，但是还好，没那么矫情。另外，小时候的金铭是我见过的最最好看的小姑娘了            
(3星)	 看……看过            
(2星)	 雷人马景涛            
(NA)	 小草~~~            
(3星)	 很小很小的时候看的...            
(3星)	 当年的马景涛岳翎，可真是青春无敌啊            
(4星)	 小时候那个着迷啊            
(NA)	 琼瑶的代表作啊，到现在都还记得这首歌            
(NA)	 很多美女~~            
(NA)	 青.            
(3星)	 。            
(3星)	 老电影，过去能评5星，现在只能orz一下了~=.=            
(5星)	 呀ha 连书都看过，琼瑶的启蒙            
(4星)	 我竟然还有这部的原声录音带            
(NA)	 我妈非要说青青河边草里面的观音是范冰冰！            
(3星)	 金铭不错            
(3星)	 父母看的，凑活着看了些。            
(NA)	 马大哥的嘶吼。。印象深刻！            
(2星)	 虽然金铭很可爱            
(3星)	 记住了里面的那个小女孩，还有第一领略到了那种浓浓的港台腔。            
(4星)	 这部琼瑶剧以亲情见长，这也是它让我喜欢的重要原因。            
(3星)	 想必是看过            
(5星)	 不知道为什么会喜欢            
(5星)	 前阵子在新闻里看到了金铭，略微发福的一个成熟女子的形象与当初的小婉君格格不入。            
(3星)	 轻轻河边吵            
(3星)	 小金铭还是很可爱的。歌不错听            
(3星)	 ...            
(3星)	 这个我也看过，年代古老的琼瑶式经典            
(4星)	 都是跟我姐一起看的            
(3星)	 当年的红极一时            
(4星)	 偶的童年回忆。。真喜欢那会儿的小金铭啊。。            
(4星)	 刘雪华很适合演苦情剧..            
(NA)	 这个都看过            
(3星)	 老了，都看过......            
(NA)	 介个主题曲印象深刻。。。            
(2星)	 又吵又闹，演的啥记不得            
(3星)	 苦情戏            
(NA)	 对主题曲和那个小金铭有点印象            
(NA)	 咆哮！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 最丑的琼瑶剧女主角            
(3星)	 童年的回忆，不过我不大喜欢这个感觉的。            
(4星)	 不记得讲的啥了。。但主题曲实在是太深入人心- -            
(3星)	 我只记得儿时有盒磁带都是它的歌曲            
(NA)	 那时候喜欢金铭~            
(4星)	 金铭小时候真可爱啊==现在、、、、            
(NA)	 青青河边草~主题歌很深刻啊。            
(4星)	 全家人一起看的诶~小时候奶奶还会唱歌逗我=▽=当年的教主啊！            
(3星)	 小萝莉萌爆了            
(4星)	 虽然忘的差不多了，但还是觉得比现在的剧好看。            
(3星)	 印象不深 金铭太可爱了            
(NA)	 妈妈嘴里的经典            
(3星)	 当年我还买过磁带，囧            
(5星)	 青青~小草~            
(4星)	 剧情不记得了，我就记得好听的片尾曲和美丽的岳翎，还有小金铭了。。。            
(NA)	 琼瑶阿姨的东西，都是小时候看的            
(5星)	 小时候迷金铭迷得列。。。。。。= =            
(3星)	 只记得这句歌词 好像悲悲切切的            
(5星)	 马教主的咆哮形象伴我成长            
(3星)	 小学时代的电视主流~            
(3星)	 馬叫煮啊~            
(3星)	 歌映象深            
(4星)	 我为什么只记得那首歌了呢？            
(4星)	 这剧看人来的。            
(3星)	 这个。。。。。            
(3星)	 金铭小时候可爱的            
(3星)	 又见马景涛            
(4星)	 当时狂哭            
(4星)	 小草            
(3星)	 瓊瑤阿姨你好 瓊瑤阿姨再見            
(NA)	 可能算是最早看的琼瑶片了吧~            
(3星)	 太火了当年，连我都看了            
(NA)	 闹剧，有马景涛全闹！            
(3星)	 更没萌过马叫煮。            
(NA)	 这个剧原来有教主？啊完全不记得了。            
(4星)	 金铭！            
(3星)	 很小很小的时候看的，剧情、人物什么的都不记得了。但不知道为什么，最近总是不由自主地唱起主题曲的那句“青青河边草 悠悠天不老”。            
(4星)	 可能是最早看过的电视剧了            
(5星)	 大爱这首歌~~            
(NA)	 小时候经常跟着我妈坐电视前看轻摇剧，还有梅花烙，鬼丈夫等等，虽然根本看不懂= =            
(NA)	 只是因為喜歡那首歌……            
(3星)	 。。反正不是咱的菜= =            
(4星)	 我是一棵小小草啊，家在何处不知道啊！            
(4星)	 还蛮喜欢这部的，主题曲好听呀。            
(NA)	 哈哈，教主。            
(5星)	 我妈喜欢看~            
(2星)	 青青河边吵            
(4星)	 主题曲的旋律还记得很清楚！            
(3星)	 此片是讲一怀抱着救国救民理想的进步青年脚踏实地从身边的事情做起，挽救了一个落难妹子一个离家出走的小孤儿和丧失独子的家庭            
(3星)	 小时候和妈妈看的欢~            
(3星)	 就记得歌是怎么唱了剧情忘记            
(NA)	 这个是压箱宝。。。当时看都看不懂，就会主题曲。。。            
(4星)	 情窦初开时候的启蒙篇            
(3星)	 儿时陪妈妈看            
(5星)	 怀旧啊            
(3星)	 小草，记住她了            
(5星)	 真正的治愈系啊             
(4星)	 小金铭就是讨人喜欢。。            
(4星)	 金铭很可爱哦            
(NA)	 经典，美好的回忆，青青和小草的友情            
(3星)	 记得小孩很可爱            
(3星)	 小草小草，当年我的梦中情人啊            
(4星)	 难得不那么咆哮的温情剧            
(3星)	 咆哮的不仅仅是小马，大家都在咆哮~~~~            
(3星)	 印象不深，只记得主题曲了            
(4星)	 很小很小的时候就被骗了不少眼泪            
(3星)	 感觉很熟悉            
(5星)	 教主啊！！！！！！！！！！！！！！！            
(4星)	 琼瑶的闹剧啊 哭剧 金铭可爱            
(4星)	 哈哈 童年            
(5星)	 歌记住了，剧情没记住。            
(3星)	 情节不记得 主题曲还记得挺清楚的~            
(NA)	 这片也是我看了好几遍的，只要有地方台重播，我基本都会跟着看，看这些人一路上吵吵闹闹的，o(∩_∩)o...            
(4星)	 小马哥经典啊！            
(4星)	 咆哮教。            
(3星)	 琼瑶时代，同学们都在讨论的一部剧，只不过当时我家还没装有线，所以她们说到青青的时候，我只能脑补出《新白娘子传》里的小青。。。            
(NA)	 原来我从这么小就开始看琼瑶了            
(3星)	 琼瑶 咆哮帝 金铭            
(3星)	 忘了具体讲什么的，只记得超级经典的主题曲，台湾味儿很浓的电视剧，比现在的呕像剧好太多了            
(4星)	 那时的歌 那时电视 那个年代             
(5星)	 嚯！哈！岳翎、何晴都很美。教主就不评论了。            
(3星)	 小时候看过            
(3星)	 小金铭啊            
(4星)	 小时候的回忆            
(NA)	 怀着希望去等待吧。。            
(4星)	 徐志摩打扮的咆哮帝...            
(3星)	 教主+大家都会唱            
(3星)	 这是我妈喜欢的类型            
(3星)	 老片儿            
(3星)	 我以前好像都有在追琼瑶剧。热播的那些一般都看。            
(3星)	 咆哮，金铭，岳翎。            
(3星)	 咆哮帝经典之作            
(4星)	None
(4星)	 就记得金铭那漂亮的小姑娘了            
(NA)	 我妈很喜欢，有时还会念叨一下！            
(3星)	 看了一点，很雷            
(5星)	 金铭真是许多小孩心中的偶像啊~            
(4星)	 青青河边草~嘿！            
(3星)	 如果不是期中期末考应该不会看            
(3星)	 好小好小的时候看的。            
(NA)	 还是妈妈抱着我看的。。今天咋走怀旧路线了呢            
(NA)	 没看完，马景涛大叔的戏要不要看。            
(4星)	 哎呦 童年            
(4星)	 小时候爱看琼瑶剧，有点受不了自己。            
(4星)	 当年的岳翎好漂亮啊            
(3星)	 早期琼瑶的御用女主角最喜欢岳翎~~            
(5星)	 看了好几遍了 多亏湖南卫视哈哈            
(3星)	 青青好漂亮~~            
(5星)	 电视剧启蒙.            
(3星)	 只记得主题歌。青青河边草，悠悠天不老。            
(3星)	 其实那个时代的台湾剧还有点反抗精神！            
(4星)	None
(5星)	 好喜欢岳翎扮演的青青，至今记忆悠深            
(4星)	 最喜欢的琼瑶剧  为此还专门去了扬州拍摄地哦 哈哈            
(3星)	 只记得主题歌。青青河边草，悠悠天不老            
(5星)	 何晴真漂亮！！            
(NA)	 童年啊噗........            
(3星)	 咆哮教主马景涛的经典作品            
(NA)	 咆哮马的起源            
(NA)	 好喜欢岳翎 现在也是            
(NA)	 没怎么看明白，马景涛咋咋忽忽的，跟着家里的女人们看琼瑶。            
(3星)	 可爱的金铭，咆哮帝。。。            
(4星)	 都不记得剧情了，得是多小的时候看的啊            
(NA)	  當時瓊瑤劇也很流行啊，我看了很多，那首歌到現在還記得啊  PS:那時馬景濤還年輕            
(NA)	 矮油，真是讨厌有字幕的琼瑶剧啊～那时候不像现在，其他电视都没字幕，只有琼瑶剧有的～讨厌马教主啊～不讨人喜的样子。也讨厌青青啊～老妈他们好像挺喜欢小草的，我不记得了，好像也不是很喜欢。我就不太喜欢金铭            
(3星)	 小金铭            
(NA)	 得承认马景涛确有民国气质            
(NA)	 奶奶剧美人多            
(3星)	 金铭小时候真美，大了长残了。。            
(NA)	 教主！！你好帅！！            
(4星)	 青青河边草～悠悠天不老～            
(3星)	 青青河边草，两边出毛毛...            
(3星)	 卧槽 启蒙电视剧了吧 当年教主吼的我是一愣一愣的。            
(3星)	 青青河边草 . 悠悠天不老 .. 啦啦啦.   女主角不要太苦情哟.             
(3星)	 小时我一直以为男猪叫河边，谁让青青跟小草都对应有人了呢！            
(5星)	 童年回忆            
(NA)	 摳摳你鼻孔            
(5星)	 突然想起很小很小的时候关于这部电视的很多事，特别美好            
(4星)	 小时候超级爱看~            
(4星)	 记得是小时候看的 那时候很喜欢金铭            
(4星)	 童年的电视剧            
(5星)	 青青河边草，莽妹儿在洗澡。            
(3星)	 瓊瑤阿姨。。。            
(4星)	 当时真的很感人的            
(NA)	 呀，只记得片名了……            
(3星)	 好老好老啊！            
(4星)	 这个要有！            
(3星)	 记得还买了盘磁带            
(4星)	 悠悠天不老~            
(4星)	 第一次看台剧，第一次看琼瑶剧，第一次认识到台湾演员。这部剧不错，是琼瑶剧经典，当时还一直追看。小金铭很可爱，岳翎十分好看。            
(4星)	 挺喜欢青青的            
(4星)	 谁没看过啊。。。            
(4星)	 因为琼瑶，这些片子我都看全了，还不错。            
(4星)	 当初的童星如今不知飘零在何处了。。。总是记得那首主题曲的旋律，然后便浮现金玲无邪的笑脸，旁人反倒不太记得清了。。。            
(3星)	 教徒们！！！！！！！你们准备好了吗！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 何晴、何音，看完这剧我脚着姓何的女孩都特漂亮……            
(4星)	 琼瑶，不服不行，故事再煽情，情节再俗套，照样吸引了大批大批的琼瑶迷            
(3星)	 看过= =岳翎很美的，金铭很可爱            
(4星)	 小时候怎么觉得那么好看            
(3星)	 咋咋呼呼，所有的人都咋咋呼呼，这就是一部咋咋呼呼的电视剧。            
(4星)	 小草与青青            
(3星)	 喜欢小草~金铭长大没小时候可爱了。。            
(NA)	 教主我爱你！！！            
(3星)	 看这个片子，我说了第一句脏话——“神经病”！            
(3星)	 唉～只记得它的歌曲而已了。。。            
(4星)	 悠悠天不老            
(NA)	 青青河边草 永远不衰老            
(3星)	 金铭！            
(4星)	 小时候很喜欢的剧            
(4星)	 我记得有一幕是小草被车撞到了 教主带着众人在后面追着咆哮 你撞到孩子啦!!!  崩溃啊~~~~~~~            
(NA)	 原来…………琼瑶阿姨是我儿时的偶像………………            
(5星)	 1            
(5星)	 那小女孩太好看了            
(4星)	 这些经典 怎么可能没看过呢            
(2星)	 童年            
(2星)	 琼瑶，是高产量的言情小说家！            
(3星)	 婉君热。            
(2星)	 越大越讨厌琼瑶剧            
(4星)	 看完以后，买了金铭唱歌的，讲故事的两盘磁带。当时也不觉得马景涛有多恶心。            
(4星)	 青青河边草，悠悠天不老，野火烧不尽，风雨吹不倒……            
(2星)	 青青河边草。。。。            
(2星)	 喜欢那个小女孩。            
(NA)	 又是小时记忆            
(3星)	 媽呀，我的耳朵都要聾了。瓊瑶奶奶真牛X，集集都能有爆點。發現小時候看電視留下的記憶怎麼都是錯的，劇情似乎並不是我印象裏那樣發展的。新收獲就是怎麼所有人都愛小草，小馬哥摸她下巴親她臉頰怎麼看怎麼像在挑逗，太猥瑣了。            
(NA)	 剧情不记得了            
(NA)	 - -            
(4星)	 剧情忘得差不多了，还是好小好小的时候看过。  主题曲也很火。            
(4星)	 那时候金铭叶静多两小无猜            
(3星)	 又是瓊瑤的片片 裏面的歌現在還記得            
(4星)	 三颗星给何晴一颗给小金铭 华又琳完胜 男主角眼睛瞎了....            
(4星)	 说我小时候长的像小雨点 所以金铭的片我看过好多            
(5星)	 太经典了！            
(NA)	 小时候看的，但也忘得差不多了。不过还记得女主角手托腮的样子很漂亮，并被我很不成功的多次模仿过。            
(4星)	 姑爷喊我“环老师”就是源于何晴扮演的角色，正好叫“X老师”~~~囧            
(5星)	 当年 琼瑶阿姨还是姑娘的时候            
(4星)	 童年            
(4星)	 青青河边草，悠悠天不老。            
(NA)	 小草～            
(4星)	 好小的时候哦··            
(3星)	 那时候早上爬起来看重播＝＝            
(3星)	 记忆已经久远了。            
(3星)	 我喜欢喜欢小草的那个小男孩，叫啥米来着。            
(3星)	 久远久远记忆            
(5星)	 童年美好回忆啊！！最喜欢的小草~            
(3星)	 经典啊            
(4星)	 青青河边草 悠悠天不老~            
(4星)	 姐琼瑶迷            
(4星)	 青青河边草，嗨！            
(4星)	 那个年代的片子，经典。            
(3星)	 那个时候也就看这些电视剧唱这些歌吧             
(5星)	 貌似是个几部曲来着            
(3星)	 就记得主题歌很催泪            
