http://movie.douban.com/subject/3016210/	爱杀17 愛殺17
(4星)	虽是偶像剧，但很有特点，写得青春是如此残酷与真实。。。
(4星)	原创剧本且言之有物的黑色悬疑偶像剧，台剧中难得的佳作
(NA)	当初同学灰常喜欢……
(4星)	终于看见不白痴的偶像剧了。
(3星)	偶像剧里面还可以的 但我不喜欢张韶涵 
(4星)	又是暗黑网站，配乐很诡异，让人不免疑神疑鬼。张弛力度有差池，有点失去平衡
(3星)	我完全是冲着名字去看的 
(4星)	找张韶涵眼太准了
(5星)	唯一爱的偶像剧~
(4星)	那个时候一集一集的看啊~
(3星)	男猪用漂亮面孔分散了我对他生硬背台词的注意力。看了第一集和最后一集
(4星)	其实我非常喜欢。不过不能力推，因为有点点血腥＝ ＝
(4星)	题材比较新
(4星)	编剧挺好
(NA)	被提醒了XDD...这部台剧我是真觉得好看过的...
(4星)	这部片子让我发现，虽然都是演偶像剧，但确实分有演技和没演技两种的，张韶涵算是有演技那一拨儿的，不过公主小妹之类的，就不谈了。。。
(5星)	超爱~
(1星)	最近经常有这种没营养的东西 被我看两集就丢掉
(4星)	很好很叛逆
(5星)	居然挺好看
(5星)	为数不多 台湾好看的剧本
(3星)	突然想起看过的一部片
(NA)	谎言有多么可怕！！
(3星)	-.-演员有问题...
(3星)	算是阴暗偶像剧吧……里面的陆廷威就是《荷尔蒙》里的迪迪~
(4星)	尽管略显粗糙 还是台剧不可多得的清新之作 前半引人入胜 后期没gin住 拖沓掉了
(4星)	有点 甚人。呵
(4星)	青春的悲剧在童年写下
(4星)	出乎意料地好看。
(3星)	结尾很烂
(4星)	其实都还不错，这几个演员可惜了
(3星)	电视剧 
(4星)	作为偶像剧，有点意思。
(4星)	觉得很不错,画面干净,演得也还好.后来出现的男生很帅.
(NA)	不知道原来台湾偶像剧 有口味这么重的..
(3星)	听说有点小惊悚。
(4星)	还是狠喜欢滴。。。
(3星)	背叛，虚伪，自私都不是堕落的理由。只有一点，人性本就是邪恶的！背叛，虚伪，自私，堕落难道不是人类自己的行为吗？一切的任何因素都不是造成改变的理由！理由只有一个，性本恶！种种只是引子只是导火线。“向恶行善”也只是再次证明！
(4星)	有点点诡异
(5星)	差距阿差距，多灵光阿这个时候，后面那个什么公主小妹看得我哭的心都有了。。。什么情况
(5星)	最另类的台湾偶像剧.张韶涵演的让我凌晨三点睡觉.让我后怕的不行.主题歌很好听.
(5星)	青春偶像校园悬疑人性片，张韶涵在每剧开头的独白，声音非常的好听。
(4星)	人性...
(NA)	那些表面清纯的姑娘最装逼
(4星)	张韶涵演技还不错啊～～
(4星)	至今看过编剧最赞的台湾偶像剧
(4星)	很早之前看过的
(3星)	青春，到底是什麼？是尽情恣意挥洒自我的岁月？还是享受天真烂漫的游乐园....？无论如何，如果可以，我希望永远继续这样，永远不要长大，永远永远停留在我的十七岁
(3星)	陆廷威。
(4星)	确实有被张韶涵那张照片给吓到心颤！
(3星)	那时候我还蛮喜欢张韶涵。
(4星)	当时真觉得挺好看的
(NA)	【2006-02-19】
(4星)	张韶涵我当初多爱你.....
(4星)	十七岁的摸样
(5星)	宜静得鲜血 宜真的眼泪；
(4星)	喜欢这种题材啊 可是演员各种搓 那些喜欢翻拍的导演快还不如翻拍这个
(NA)	高中借的dvd
(4星)	台劇里難得一見的黑色題材，劇情也不拖沓，老戲骨沈時華演得出神入化，林家偉清秀又腹黑很是我的菜，因為他的死我一直暗暗責怪宜真實在太狠心了………  演林家偉的楊士萱後來傳出猥褻少女的新聞，我很鬱悶…
(5星)	极少数能够看下去的台剧。高中时着实是迷了一阵子！
(4星)	没把我当白痴- -。一路猜到底。
(4星)	阴暗的人心..张韶涵一个人演3个人，厉害了~
(5星)	很深刻,值得思考
(5星)	还蛮惊讶挺好看的。。。花了一天一夜看完之后给五星啊。。
(3星)	最后结局真的很诧异
(5星)	强推
(4星)	台剧里比较不错的一部
(4星)	各种谜团
(4星)	这种类型第一部
(4星)	我最讨厌双胞胎。。。。就是怕这种心理残缺
(3星)	算了，早就忘了是啥了。
(4星)	高考完
(5星)	这个真心好看的！这种剧的鼻祖啊，后来什么MIT啊死神少女啊什么的都是照这个路子来的
(4星)	终于看见一部台湾算拍的可以的黑色偶像剧了【青春不只有白色梔子花瓣，還有謊言和死亡 
(4星)	我承认喔有点北吓到可
(5星)	我的大一岁月。。
(3星)	给的张韶涵。
(4星)	绝对不是那种白痴偶像剧，推荐。
(4星)	个人对另类的题材特别偏好
(2星)	boring
(4星)	难般台湾出产了一部不那么狗血的。
(5星)	2006年2月，和某个人一起看了个开头却没有等到结尾。2010年10月，一个人分四天看完了它，黑暗悬疑人性成长，这样的题材拍成偶像剧基本也算是台湾偶像剧的一朵奇葩了，真的很吸引人，对凶手的猜测一直在转换，真相的揭露很漫长很纠结，但答案总是只有一个。最后这么大个事儿居然还有空亲亲
(5星)	来吧，偶像剧！
(4星)	算不错的~就是有点拖沓
(4星)	难得有深度的台湾偶像剧，就是很阴郁
(5星)	最好看的一部台剧.
(3星)	一点剧情不记得了。。
(4星)	旁白很好。张韶涵还是有点演技的。话说我还是不太满意这个结局的。一直以为死的不是宜静，而是宜真。
(5星)	就不明白为什么
(3星)	一集都没看完....也许以后可以捡起来看看
(4星)	当年最爱的台剧
(NA)	拍成一部电影的话应该不错.电视剧太拖沓了
(4星)	少有的偶像剧，剧本很不错，就是拍得有点拖沓。其实每个人里都住着一只怪物，只是有些人没发现，有些人体内的怪物会慢慢变大，而无法控制……不管结局怎么样，其实大家只是生活中的可怜虫罢了……
(NA)	非常绝望的剧集……
(4星)	难得不脑残的台湾偶像剧~仿日风~~
(4星)	大一那年的下半学期跟着看的台湾偶像剧~
(4星)	真的比预想中的要好看很多，比较不错的台剧。
(4星)	第一次知道原來藏在溫柔背後的才是最邪惡最可怕的黑暗。
(3星)	很特别的一部戏
(5星)	看过的最好的偶像剧。我擦，特别好
(5星)	晚了这么久才看到2006那一年17岁的自己。 
(4星)	很有教育意义，不过的确很黑色。
(2星)	看得人整个阴郁掉。
(4星)	这个不错 高中执着的追着看 很喜欢
(3星)	最近整理电脑，发现了以前关于这部剧的文字。有些阴暗的偶像剧，也许也是关于青春的迷茫。
(NA)	原来张韶涵还有演技
(3星)	黑色的張韶涵。
(NA)	看的时候觉得这种精神分裂还不错
(4星)	我们一块看的~
(5星)	是我看过最好的台湾偶像剧
(4星)	台湾的偶像剧，也就这本好看
(4星)	没想到台剧会有的黑暗。但是个特别的偶像剧。剧情重复的太多。
(5星)	很精彩嘿
(4星)	在芳家里看的，怀念那些日子。
(4星)	伪装天使的恶魔...
(4星)	導演氣氛掌握的不錯
(3星)	看到后面就没劲了。
(4星)	张韶涵挑战演技之作。恨和嫉妒是很可怕的东西。
(5星)	很好
(4星)	唯一值得推荐的台剧
(5星)	我当时觉得这部电视剧好惊悚哦。
(4星)	每集前面的獨白總是很好。兩個晚上看完的劇。陸廷威帥。
(4星)	悬而有效，引人入胜。
(5星)	难得有这种惊悚型的偶像剧
(4星)	高三
(5星)	17岁那年看的 偶像剧到这个深度~~ 难得
(4星)	这不是一部偶像剧。四颗星，一颗给小男生稚嫩又深情的眼睛。
(4星)	怪我没看全……有空再说
(4星)	另类的台偶~不错
(5星)	经典。操。太黑色了。这绝对超越一般台湾偶像剧的水准。
(NA)	拖沓。。看开头和结局旧够了
(5星)	很不一样的偶像剧！两面的张韶涵~
(2星)	挺无聊的故事～
(5星)	比较赞的台湾偶像剧
(5星)	很早出来的片子可惜并没有什么名气　但是偶然翻到因为无聊所以耐着性子看下去　很好看　真的　真相很多时候都是难以启齿的事情　
(5星)	很好看。
(5星)	初中看的那是很是被震撼啊（当时还做了许多摘抄呢=。=）。。。男猪也觉得各个很萌啊。。 
(4星)	阴暗。结局解释的部分安排的太长，不然会好些
(4星)	“如果，有人答应了你什么，只是出自一时的心情，或是一时的怜悯，不管他说得多么信誓旦旦，那都不算是承诺”
(4星)	算是看过的台湾偶像剧中喜欢的为数不多之一
(5星)	台湾难得的高质量电视剧啊
(4星)	天使的身体里住着一颗魔鬼的心，那样的17岁，伤痕累累
(5星)	张韶涵演技不错
(4星)	还不错~
(4星)	大四通霄看的一部戏，曾经觉得那么精彩，现在居然忘得差不多了...
(4星)	算是比较另类的了。可怜的杨士萱，怎么就沦落到猥亵少女的地步？
(4星)	涵演的不错 是部好剧
(NA)	可怜，一群可怜人！！！
(3星)	不错 
(4星)	也是租碟子看的。很悬疑的说。
(5星)	连字幕都喜欢
(4星)	难得台湾偶像剧拍得有点深度..
(4星)	难得一部我喜欢的台剧
(3星)	咳咳、略惊悚了点
(5星)	很绕弯子
(NA)	最爱最深度
(5星)	现代少年，不看到最后真不知道为什么~
(5星)	看到半夜三点
(4星)	连续剧
(3星)	传说中的黑色偶像剧
(NA)	比普通台湾偶像剧来得好看!
(3星)	结局尿急
(NA)	没看结局。。有点晕
(5星)	很特别
(4星)	剧情很好
(NA)	黑色偶像剧
(5星)	我在17岁时遇见了这部剧！
(5星)	終于有一部戲要動用我的腦袋。
(4星)	蛮扣人心弦的
(NA)	内涵啊技术含量
(4星)	奇怪的我先看了这部片的结局，放着前面没看也不晓得怎么办。
(5星)	特别的台湾偶像剧。描写黑暗心理。。。
(NA)	青春到底是什么……
(4星)	编剧除了结局有点弱掉之外，整体都很赞，至于演技～偶像剧....
(2星)	难看到死
(3星)	一个通宵看完... 感觉跟一般的台湾剧不太一样~ 挺好的~
(5星)	feeling
(5星)	黑色 悬疑..很不一样的一部台偶~喜欢!
(NA)	17岁仲夏，死亡
(3星)	双面伊人？谎言&amp;伪装。其实只是寂寞的17岁，需要人理解和呵护的17岁。
(5星)	太喜欢了!!!
(5星)	不一樣的偶像劇。但是看了會很影響情緒。
(NA)	不错的台剧
(3星)	还算可以吧，蛮喜欢每集的片头的！
(2星)	导演的意图好似很张狂，但是演员的实力很薄弱，所以导致这本东西很奇怪。。。
(3星)	大人的世界并不那么肮脏
(3星)	看它是因为喜欢张韶涵可真的没有什么意思诶
(5星)	永远的17岁
(5星)	黑色
(NA)	演技普遍生硬
(4星)	这算是最有内涵的台剧了
(4星)	初中的班主任介绍看的 一天看完 张韶涵在里面的表演很惊艳 发现一个陆廷威 但是他好像不太红~~个人觉得他其实挺帅的啊~~
(4星)	算是偶像剧里有点深度的了
(4星)	我记得好小的时候看的 - - 觉得很诡异啊
(4星)	记得菲推荐我看完后惊为天人
(5星)	不错的剧~~~悲情和残酷~~~喜欢那个双面的宜静
(4星)	这个风格的电视剧很新鲜
(4星)	那些年被台湾同胞秒了
(5星)	唯一最爱的一部台湾片
(4星)	这个印象中很赞
(5星)	迄今为止最喜欢的台剧之一，另一部是战神。原来湾湾也能把非言情偶像剧拍得那么出色。
(4星)	一星扣给张韶涵做作的演技。
(3星)	大学里面一群女生围在一起废寝忘食追的剧~
(4星)	好像都是初中的时候看的了 很不错!~
(5星)	韶涵演的最好的一部剧..初一的时候看得一愣一愣的- - 现在看来很中二但还是难得不错的偶像剧
(5星)	我最喜欢的台湾电视剧，没有之一
(3星)	有点莉莉周的感觉,不过没那高雅,适合我等俗人
(4星)	我看过诶
(5星)	很久以前的夏天，在寝室和朋友们看的入迷~细想，5年已过~
(NA)	一个人的心中，原来可以有很多很多的秘密。
(NA)	当年看觉得很日系暗黑少女漫的味儿，但是很买账
(NA)	……
(5星)	冲着张韶涵去的!!!紧追着看到13集.挺刺激!!!这部片还是能发人深省的.
(4星)	故事很特别，难得有需要一点脑子的台湾偶像剧
(5星)	当初看的时候就吓得半死 弄得连大结局都不敢看==
(4星)	黑色偶像剧。原来一模一样的容貌下面隐藏是两颗截然不同的心
(4星)	还蛮喜欢的一部片
(5星)	不错啦~
(4星)	很好看~~哎，台湾偶像剧怎么不俗的还是很少见的吧。。
(4星)	大学时候躲在寝室里看得心惊胆战。
(5星)	关于【秘密】有太多矫情诠释。而这部却。
(5星)	看爱杀17的时候刚好我也17岁··
(3星)	这个还不错~但是男主的颜接受不能，扣分
(4星)	虽然开头就猜到凶手，但难得我会想看下去，很久没有看完全集的电视剧了。
(NA)	成长的痛，残酷美着。
(4星)	悬疑还是挺不错的。抵不住的暗黑系诱惑
(4星)	全是用手机看完的，晚上看的，很有感觉，很有悬念~
(4星)	高中时超级迷恋的一部剧，迷雾重重，但真的还不错。
(5星)	大学时候很爱~~
(5星)	这是一部太牛逼的剧了，故事整的线索太严密了。导演编剧演员都狠精妙，超爱江丰宏！最近于抄抄新剧里一个单元全是抄的这个我才猛地想起这个剧了。假如于抄抄没抄这个在他那剧里也是很好的一段、。
(NA)	张韶涵 这里面演技不错呀 黑色偶像剧 
(4星)	唯一看完，没吐槽的青春电视剧。跟妈妈一起看的，还顺路教育了我。那时我也十六，还很喜欢张韶涵。
(4星)	06年就看过的电视剧。今天看到电视里在放台湾偶像剧时，想起了这部片子。算是比较有内涵有看点的台湾偶像剧。也是张韶涵演的最好的片子了。
(5星)	当时那个年纪看的，现在仍旧印象深刻。青春是只容易失控的野兽。
(4星)	分数可以打挺高的剧，悬疑不错，结局很伤感
(3星)	很久以前看的- -以至于忘了剧情。
(3星)	刚看，妹妹感觉很装纯诶= =打发时间用……===看完鸟，妹妹果然很装逼，剧情也有点雷，太拖了，短一点会更好。
(5星)	只有14集 同样阴暗系 喜欢喜欢~不过。。。啊咧 结局是什么来着 忘了忘了！！！！
(3星)	回忆。
(4星)	为数不多的另类偶像剧
(3星)	买碟了呢还
(NA)	张韶涵唯一一部好看的电视剧
(4星)	原来17是个纯真又阴郁的年纪 青春过后 明天的故事都是谁的呢
(3星)	黑色偶像剧
(4星)	难得一见的惊悚连续剧，我不喜欢拖拖拉拉的猜谜一般的感觉，于是我看了前三集，直接蹦到了11集看后三集，事实证明我没有做错，没错过什么精彩，哈哈~~~张韶涵真漂亮！
(3星)	你可曾真的走入我的心。
(NA)	当时很想知道凶手是谁。
(4星)	台湾偶像剧里面算是让人刮目相看的一部剧了，不NC，有新意有深度，往日剧靠拢了。张韶涵演的也很好。是很少会让人觉得不错的台剧了
(5星)	这种类型的偶像剧真的是少见,其实张一人分饰两角,还是很凸演技的
(5星)	你有没有过十七岁？你有没有过承诺?
(4星)	高一时看的
(4星)	17岁那年看的。真的过了好久了。
(4星)	有些地方比较扯，不过我很喜欢静的自述
(5星)	有点儿意思~
(5星)	剧情铺陈都很不错，小静的个人独白也很好。
(5星)	诡异的心理剧
(4星)	引人入胜的。。。
(4星)	这部剧很推荐！ 整体是个悬疑剧，知道最后才揭晓谜题。 我很喜欢它的方式，先讲一段耐人寻味的话，出标题，然后整集都是围绕这个标题来讲。 哈哈，最终boss是老妈！
(4星)	还蛮不同的台剧，还不错的。
(4星)	不知道为什么记忆犹新的一部剧。
(4星)	我真看过 还觉的很不错
(NA)	这个故事，如果是由日本来拍就好看了。
(5星)	青澀的詭異 那個年歲 停在那裡也好 好想回到了自殺的年月 青澀的愛是什麼佈滿了神秘與單純的付出 那是不是真正的愛已經不重要了 在最後一刻你還是沒忍住吧其實我更想知道為什麼窒息而死和墜樓身亡法醫為什麼分辨不出來
(4星)	N多年前看的，记得是还不错的
(4星)	这片不错哦。。。想看几年了。。。= =
(4星)	爱与残杀使原本美好的十七岁生命毫无预警地嘎然而止。超极有演技的电视剧
(5星)	很悬念
(4星)	一切在最后揭晓。编剧很厉害。真实得令人恐怖。
(5星)	曾经很喜欢 很喜欢的 呵呵  而且也很喜欢张韶涵
(5星)	我认为青年人都应该看看。治治病。
(4星)	推荐 不是电视剧有多好看 而是主题有够深刻 人活着完全是场修行 艰苦无比的修行 天使与恶魔在心里不停角逐 我记得12岁时占上风的恶魔 也清楚地知晓现在占上风的是什么 却不知下一秒会是谁来操控我的思想 乖宝宝一定认为我虚伪不可理喻甚至是疯子 这才是世界 一个用面具 谎言 残酷 自私 包裹的世界 我唯
(5星)	我唯一觉得赞的台剧。。
(3星)	至今还有阴影。
(3星)	这部电视剧让我知道了什么是援交,
(5星)	很少有的台湾悬疑剧。
(1星)	没感觉
(5星)	看第二遍了，超级好看！！
(4星)	有点假又有点扯 主题还是比较深刻的...
(3星)	好青涩的回忆 和602一起看的
(3星)	作为偶像剧来说，这个题材真的蛮新颖的，不光是情情爱爱，更多的是逼近真相的紧迫，如果只看一个开头，在看结尾会觉得很出人意料，但是一点一点的看下去的话，就觉得其实很顺理成章，不错哦~~~
(3星)	打破我生双胞胎的美好幻想。。。
(4星)	这个不错
(5星)	看完这个，很久没回过神来、、
(3星)	很扭曲的
(NA)	剧本还行的偶像剧
(3星)	总觉得这片子抄袭日剧 但是台湾人腔调又让我觉得很奇怪
(4星)	高中时买的第一部台剧  当时还觉得挺惊悚的 不断回放妹妹从楼上摔下来的惨像  还不错～
(4星)	初二看的了...
(4星)	当年觉得很屌！故事扑朔迷离，结局出人意料！有碟
(5星)	看得我前晚心神不宁的 好吧 虽然有些压抑 但是作为一部台剧来说 实在出色 悬念 迷雾重重 好看
(5星)	我的17岁
(3星)	情节发展的略微缓慢了。。。
(4星)	黑色偶像剧代表，一人分饰两角不错哦。
(1星)	很难看
(4星)	黑色偶像 因为禁播因而知名度不高 张韶涵的演技很赞
(4星)	張韶涵演得不錯 知道真相后是有些驚悚
(5星)	爱死宜真了。姐姐对妹妹的爱从来都不会少～我爱姐姐！
(3星)	阴暗。。。
(5星)	看的时候正好上初三，那时候经常听周杰伦的夜的第七章，感觉这歌蛮应景的；总而言之这部偶像剧是我唯一从头看完了的也是最难忘的，再看别的偶像剧都感觉是曾经沧海难为水了
(4星)	挺好看的一部推理片~~
(4星)	看完之后有阴影了......
(4星)	当年还是买碟子看的呢！
(4星)	嫉妒心有多可怕，在这里可以看出来
(3星)	这真的是偶像剧么...深夜十二点一个人看完的，当年觉得是多么恐怖啊。。。
(5星)	台剧里算蛮特别滴~
(5星)	当年看时很惊艳
(4星)	每集前静的日记独白 关于人性 善恶 各种情感背后隐藏的东西
(5星)	五星打给我高二的寒假
(5星)	比我想象的要好
(NA)	仅仅是因为婚外恋导致的结局太严重了吧，略显矫情了。
(NA)	不错，有气氛。
(4星)	唯一一部看完的台湾偶像剧，暗黑系就是比较洗翻（摊手）
(4星)	很好看！！看完引发深思 外表美好的静竟然... 很经典！！
(3星)	剧本概念很好、表达方式很烂、
(3星)	跟一众没有脑子的WW剧比起来，的确好了不少，想要走日本的暗黑题材，可惜走的不太彻底，拖沓的毛病倒是一点没变。
(5星)	确实强大
(5星)	难得的好偶像剧，张演得不错
(3星)	黑色偶像剧
(4星)	在当年来说比起其他的算有点意思吧
(4星)	台偶的另类
(5星)	很喜欢这种感觉，也从一方面反映了现实中的某些成长中人的心态
(4星)	很罪恶，很有看头，有种看侦探小说的感觉，最后的藏镜人~
(3星)	如果不是太不喜欢张韶涵打四星还是可以的╮(╯_╰)╭
(4星)	最有力量的果然还是真实。也许我们都要学着真实地面对自己，不论有多么得难。
(4星)	台湾偶像剧自我突破的一次。
(4星)	每人分饰两角！故事有深度，但电视剧有点拖沓，如果是电影，浓缩一下震撼力应该更大吧！
(4星)	其实有些模仿日式的残酷剧情~~但是张韶涵还是很美好的~~
(5星)	个人认为最好看的偶像剧，如果你对迷踪不感兴趣的话，可以直接去看最后一集。
(4星)	双胞胎中总有一个天使与一个恶魔。
(4星)	宜静的嘴巴，宜真的手指；宜静的长笛，宜真的CD；宜静的温柔，宜真的笑容；宜静的假发，宜真的镜子；宜静的嫉妒，宜真的愤怒；宜静的气喘，宜真的怕水；宜静的鲜血，宜真的眼泪；宜静的日记，我们的十七岁……
(4星)	更喜欢静
(4星)	很精彩。不落俗套的惊悚偶像剧~当年一个人晚上在家里看还会觉得怕怕的
(4星)	以前看的，赞！
(3星)	喜欢这种有悬念的,比纯情偶像剧强多了
(4星)	有点小惊悚。
(4星)	虽然是偶像剧稚嫩的演法，但却是一部难得的做到了环环相扣的悬疑剧，张韶涵的表演很赞，本片的编剧和剪辑更赞，强烈推荐。
(4星)	开始以为是恐怖片，虽然有点悬疑……但还好
(NA)	这部还挺有特点的
(3星)	还好吧...第二集就看出男主不是好人...额.....妈妈那里有点意外..其他倒是还好.
(5星)	和严，暑假去四川一起看的。
(NA)	还行。
(4星)	好看
(3星)	也就十几集，校园惊悚且反转迭起，真的没有那么幼稚，看看还是不错的
(4星)	不错
(5星)	黑色偶像剧，难得啊~~当年看的时候，是因为张韶涵，演的很好~~推荐啊~~
(4星)	编剧很不错  张韶涵我很喜欢
(4星)	恶寒
(5星)	ANG 这个很好看。
(5星)	裹着青春外皮的精彩悬疑剧。背叛、欺骗、扭曲，什么是心痛。
(4星)	介是在启示我不要生双胞胎咩
(4星)	好久好久以前啊
(5星)	amazing
(4星)	台剧巅峰
(5星)	在盛产狗血偶像剧的地方这样一部片还是很不错的。
(4星)	阴郁的题材，感觉摄影跟剪辑还可以更好一些。
(4星)	算是第一部比较黑色感的偶像剧吧。。。感觉很特别
(4星)	吐槽两点  ：  1.实在是太虚了 不生活不真实  2.能不能不用隐形的翅膀这首歌啊   啊 啊 啊啊 啊啊啊啊啊 啊啊
(NA)	黑色偶像剧，我比较偏爱的题材
(5星)	宜靜
(NA)	好看
(3星)	家庭情况复杂的张韶涵果然适合演腹黑的角色--宜静，又一个被不负责的父母毁掉的孩子，悲摧~
(5星)	小排演技大爆发有没有!!!!
(4星)	其实真的很喜欢姐妹的啊！还有水仙的感觉啊真好TVT CAT是女王受啊！
(5星)	很喜欢！！
(4星)	不一样的张韶涵
(5星)	意想不到
(5星)	高三时的最爱！！！！
(4星)	除了中间有点罗嗦，剧情什么的还是不错的
(NA)	当时看觉得不错！
(4星)	我喜欢这部电视剧
(4星)	很喜欢的校园暗黑题材。高一看的？
(4星)	很早以前看的。
(3星)	她想杀人的那天是她的生日。那法律效力是第二天归她入满18周岁？
(4星)	妹妹居然是坏人，台剧里算相当好看的
(4星)	已经忘记剧情了
(5星)	0.吞噬自己的蛇.
(3星)	其实挺烂的，但为了当时的氛围~
(4星)	比较好看的一部台剧了
(4星)	黑色偶像剧中比较好看的
(NA)	高中看的
(NA)	都太丑了
(5星)	很多人会因为这个名字望而却步的吧。我只能说 这比那些脑残偶像剧要好看不知几千几万倍了。永远有你意想不到的真相 这就是它最吸引我的地方。
(4星)	很阴沉的一部剧 最后剧中主人的现实生活命貌似也很坎坷 
(3星)	记得当时觉得很特别 但是结局不记得了 所以三星半
(4星)	是的小学毕业的时候看的这剧于是我走上了逼一样的银僧并且一去不复返浪里格朗啊~
(5星)	这绝对是我至今为止看到的最棒的一部偶像剧
(4星)	偶像剧里质量很高的一部
(5星)	涵涵演技一级棒！
(3星)	惊悚
(5星)	蛮好看滴！
(4星)	快进看完的...
(5星)	这可以算得上我最喜欢的偶像剧之一的了。
(NA)	高中时期看的。。。这么多年了，一直是最爱的偶像剧。。。青春，真的很不容易
(5星)	剧情很好 一层层揭露真相 让人很意外
(3星)	被完全剧透、还是被好奇心驱使着往下看、心理变态从来都不是我的菜！重申还是文静的女生最可拍、
(5星)	还好不是太长，讲故事的方法足以吸引我继续看下去
(5星)	爱韶涵~
(4星)	故事很诡异。就是有些情节。太假了。额。讨厌宜静死的时候那个血。像花一样散。有点纠结。
(4星)	有悬念
(4星)	有深度的黑色偶像剧
(3星)	至今唯一部专程下载来看的台湾剧，黑色的主题还行，就是太拖了。
(NA)	黑色偶像剧，演技不算好，算还是不错的
(5星)	台剧这个水平真的非常好看算
(5星)	在朋友死命推荐和百般无聊下看的、不喜欢台湾偶像剧、可是这部片子完全颠覆了台湾偶像剧、很喜欢每段之前的独白、青春不只有白色栀子花瓣、还有谎言和死亡。
(NA)	当年很喜欢
(3星)	比较有特色的弯弯剧
(5星)	台偶最爱的两部，都是黑色偶像剧，一部是战神一部是爱杀
(5星)	中学时代看的，张韶涵演得不错，不知道还以为真的双胞胎
(2星)	我依稀记得有北极熊
(4星)	比好多女主角在那里使劲地发嗲，男主角使劲地扮酷的台湾白痴偶像剧好多了。
(3星)	不喜欢张韶涵，整部剧弥漫着黑色的压抑
(4星)	张韶涵演得真好。 剧情让人压抑，有种欲哭无泪的感觉。但却真的不错
(3星)	我覺得我是看了這部片子之後變得陰暗起來的.
(4星)	大一看的 张韶涵的演技很不错 黑色偶像剧不那么狗血更有些看头。剧中貌似有个小正太让我萌了好几天。
(5星)	突然想再看一遍。。。
(4星)	这当时看的时候 觉得挺惊悚的额 也不是惊悚 就是怕怕的感觉  不过还是很好看的啦 推荐一个。
(4星)	这部里张韶涵的演技不错的！偶就喜欢这种带点小悬疑小惊悚的片子！哈哈哈~
(5星)	编剧真的是太有想象力了！！！
(5星)	蛮好的。。还是稍微拖了点
(5星)	初中叛逆时期看得那个心理扭曲啊，都想去援交，然后跳楼自杀散开一地血花死得很唯美（汗...，）剧情紧凑，看完一集就想看下一集，这是那时候的感想，不知道现在重看会有何感
(3星)	越看越觉得拖沓
(3星)	和妈妈一起看的，果然够复杂，里面的男生不错。
(5星)	这个时代一点都不单纯
