http://movie.douban.com/subject/2297165/	碧血青天杨家将
(5星)	 小时候总觉得焦恩俊和何家劲的展昭不够倜傥，只有甄志强的展昭才和想象中完全一致            
(4星)	 老片子了。            
(5星)	 小时候狂喜欢的连续剧啊！            
(5星)	 百看不厌的经典剧!            
(NA)	 只记得佘太君了 大拐棍。，。            
(NA)	 没印象了 就记得老太太了 呃            
(4星)	 童年的戏啊。。。。杨文广和小公主，展昭和庞妃。。太有爱了            
(NA)	 我的妈呀，那时被那展昭迷得。。。。            
(4星)	 那主题曲印象深刻            
(4星)	 小时候挺喜欢的。            
(5星)	 甄志强同学～～这片子就贯穿了我初中时代的记忆            
(4星)	 小时候的经典            
(3星)	 应该看过的            
(5星)	 杨随在历史上不好，但是电视好看            
(4星)	 这……这是第几部哇？            
(4星)	 展昭和庞妃，曾经最为唏嘘的一段爱情。            
(4星)	 很久很久以前流行看包青天的片子~            
(4星)	 甄志强版的展昭其实也很不错            
(4星)	 主题曲不错。。。            
(NA)	 怀念看杨家将的日子。。。            
(4星)	 只要有展昭我都爱!!            
(4星)	 7.8            
(NA)	 都是童年的记忆啊            
(3星)	 我当年一直怨念这里的穆桂英是个冬瓜脸。            
(5星)	 童年记忆什么的。            
(4星)	 看过最早版本的杨家将~片头曲很好听，故事很好看            
(NA)	 又挖到个童年记忆~！            
(4星)	 当年我是有多爱看！最萌杨文广和灵儿滴各种互动            
(5星)	 小时候 杨家是个传奇啊！            
(4星)	 男主没女主个子高。主题曲棒。展昭帅。            
(4星)	 喜欢灵儿：）            
(5星)	 这是哥当年在凤凰卫视看的啊！            
(4星)	 经典~            
(NA)	 姐那个时候被剧里的展昭迷的不行不行的啊|~            
(5星)	 当年非常认真地学片头曲的粤语发音~            
(4星)	 展昭&amp;龐妃            
(5星)	 小时候心里的经典。可惜了女主和男主一直没怎么红            
(4星)	 也是部经典得片啊 里面的庞妃和展昭居然。。。我一直是支持官配的 尽管我的支持是跟风滴。。。            
(5星)	 虽然剧情狗血 但是还是很猛昭昭和师妹啊            
(5星)	 一片冰心在玉壶            
(5星)	 看了好多遍，插曲《今生情不变》，主题曲《吼天喝月》让我念念不忘            
(5星)	 最喜欢的杨家将剧啊            
(4星)	 电视我没什么印象了，不过那个片头片尾曲是真好听~            
(3星)	 甄志强有史以来最帅的作品            
(5星)	 这片子我完全是为了展昭和庞妃的爱情去看的！！看的那叫一个纠结啊！！至今还记得冰洞疗伤那段 还有那首属于他两的《今生情不变》            
(4星)	 以前绝逼老喜欢看了，看到感动死！            
(5星)	 戏一般。 不过主题歌实在牛逼！            
(4星)	 确实经典            
(5星)	 最恨的就是编剧不让文广跟灵儿圆满！！！            
(4星)	 小时候看的电视 大多都记不清了            
(4星)	 杨排风耶律浩南 是不是这剧里的？哥只记得这！            
(4星)	 耶律浩南与杨排风，相忘于江湖会不会更幸福。            
(4星)	 杨宗源跟萧峰的遭遇太像了，连得知了真相之后在草地上狂奔的情结都严重雷同唉~~二人的装束，二人的身材，二人的小胡茬。。。呃。。我不冷静了。            
(3星)	 亚视罕有的好剧，初中时和父母每晚守在电视机前，一集不落。            
(4星)	 迷的是穆桂英            
(3星)	 小时候看到白头发的那女人就好害怕，但她女儿和那谁杨几弟的感情戏最爱了……            
(NA)	 标出来 标出来 不过剧情什么的已经完全没印象了            
(4星)	 展昭和庞妃，八错八错，小时候很喜欢~~~            
(4星)	 哦，我就觉得有这么一部~            
(4星)	 当年我真是爱死穆桂英了。。。。。。爱死了爱死了爱死了            
(3星)	 乱七八糟，出奇制胜。            
(4星)	 喜欢蔡晓仪的长相。            
(4星)	 自古英雄存忠义，不让虎狼任意行。            
(4星)	 小时候真迷过一段时间，一看女将们华丽丽的出现，我就莫名激动~~~            
(5星)	 我的童年啊。。            
(4星)	 女主角很有爱，男主角他爸也有            
(4星)	 包青天和杨家将的故事            
(5星)	 当时我分不清万绮雯和王艳娜            
(3星)	 印象不深            
(4星)	 当年ATV噶碧血青天系列好好睇，真系全台出动噶大制作            
(4星)	 主题曲真棒            
(3星)	 小学的时候看的。            
(4星)	 展昭和庞妃!            
(4星)	 好看好看。。打牌不少呢。。            
(4星)	 片头曲很神,剧情比较热血            
(4星)	 只觉得展昭跟贵妃的感情百转千回，一片冰心在玉壶，呼呼            
(4星)	 忘了谁了，当时巨迷恋。。            
(4星)	 记小年四年级第一首会唱的粤语歌            
(5星)	 炒冷饭……            
(4星)	 主题曲比较好听！            
(3星)	 就喜欢看灵儿那小俩口            
(5星)	 好看哪好看            
(NA)	 我喜欢展昭和庞妃的恋情哈哈哈。印象最深就是那句“一片冰心在玉壶”。            
(4星)	 忠肝义胆            
(4星)	 回忆啊            
(NA)	 这个我也看过耶            
(4星)	 爱展昭！            
(5星)	 很老的片子了，但却一直记忆犹新……            
(4星)	 包公真是很走红啊~~各剧串~~            
(5星)	 超经典。            
(4星)	 叶丽仪和叶振堂的主题曲相当有气势，喜欢            
(4星)	 只记得漂亮的人儿到处是... （呃，我的少年时代啊...）            
(4星)	 情节有些诡异，但到底气魄还在，并且略略煞到我了～            
(NA)	 老早以前看的了            
(4星)	 小时候爱死了这部片            
(4星)	 我就是觉得特好看~            
(5星)	 依稀还记得这片子的一些片段，展昭和厐妃之间的感情，台风的感情专注，等等等等。            
(4星)	 虽然整部剧思维有点儿混乱，但是值得看的地方还是很多的。甄志强的展昭是我最喜欢的一版，那种感情的踌躇拿捏地很好。            
(5星)	 爱死了当时            
(4星)	 当年的经典。            
(4星)	 搞不懂当初为什么这么喜欢这部片片            
(5星)	 可喜欢里面的铃儿了，还有蔡晓仪演的小碟，和那个不是何家劲演的展昭！            
(5星)	 虽然乱弹得很，但是歌好听剧好看，灵儿文广，展昭贵妃尤其惹眼            
(3星)	 带着明显京剧色彩的装束，喜欢甄猫，演出了展昭的情            
(5星)	 我印象最深的一部香港古装剧，喜欢片头曲，好有气势！！            
(NA)	 小时候百看不厌的片子就是《包青天》和《杨家将》了~现在二者合而为一了~爽~            
(5星)	 痴情猫儿            
(4星)	 经典，帅哥多            
(NA)	 应该看过。。。为什么我记不清楚了。。            
(3星)	 亚视的一部剧集            
(4星)	 展昭和庞妃 现在觉得也太搞了。小时候确实很迷恋            
(NA)	 童年的回忆～～里面的展昭大概是所有版本里最倒霉蛋的一个吧～～嘎嘎～～            
