http://movie.douban.com/subject/1761848/	夏娃的诱惑 이브의 모든것
(5星)	 初中那时候电视上到处播..天天和妹妹在家里看,哈哈            
(5星)	 哇 我记得主题曲好好听啊 =V=            
(NA)	 阿妈的最爱，张东健竟然成了我~~~            
(4星)	 完美男人典型之一。            
(3星)	 看的第一部韩剧，金素妍的演技还真是不错，虽然当时她才20出头，可惜光芒只闪耀在那个时刻。张东健很出彩，谦逊温和儒雅，是好男人的典范。喜欢蔡琳甜甜的微笑，很惬意。这是部经典，以后没有再看到更好的泡菜剧。            
(4星)	 金素妍很漂亮~  我怎么老喜欢坏女人呵            
(4星)	 善良的人会有好报的。            
(5星)	 剧情不错，可以说结局也很完美~            
(5星)	 张东健...是不是从那个时候开始喜欢你的..            
(4星)	 现在看来这个故事也不错。喜欢金素妍。            
(NA)	 知道不知道。            
(4星)	 那时我稚嫩            
(5星)	 迎美令我感到惋惜            
(3星)	 看这个片的时候 我还年轻。            
(5星)	 看了兩次這部電視劇，第二次或許真的看得懂了吧。。。            
(4星)	 最喜欢的一部韩剧            
(5星)	 经典的学长和善美，经典的张东健和蔡琳            
(3星)	 喜欢金素妍，很讨厌蔡琳            
(5星)	 不爱上他120分的难            
(3星)	 韩剧开山啊 那年在广东。翡翠or本港            
(4星)	 多门老滴韩剧啊。。。            
(5星)	 尹享哲这种男人真是极品啊            
(NA)	 看的第一部韩剧            
(3星)	 蔡琳当时还算可爱            
(4星)	 只看过两部韩剧——之二我真的鄙视韩剧            
(4星)	 我超级喜欢金素妍的那种眼神~~坏女人~哈哈~            
(NA)	 交给我已很多道理的电视剧~最爱~            
(3星)	 一般一般。            
(NA)	 不得不说 确实经典 当年金素妍才15岁是吧            
(4星)	 貌似是全家一起看的。            
(NA)	 爱上张东健            
(5星)	 这 这 这一切是多么的美好。            
(4星)	 因为喜欢张东健．．．            
(5星)	 是尹享哲,還是张东健呢,誰是誰都不重要了吧。            
(5星)	 真的很好～～～多年前的回忆            
(5星)	 我的启蒙韩剧之一，我向往的职业~~~            
(4星)	 故事的感觉很好            
(5星)	 好看好看            
(5星)	 算是一部经典            
(3星)	 其实我喜欢徐迎美            
(3星)	 cam的部分风景不错，就是少了点儿            
(3星)	 凤凰台播过,断断续续看完.俊男美女,养眼煞            
(NA)	 看到这个总会想起天桥风云。。。都很经典的韩剧            
(NA)	 最喜欢的韩剧            
(3星)	 金素妍！            
(5星)	 经典之最            
(5星)	 徐迎美&amp;佑振哥。。。            
(NA)	 奶奶的最爱呀            
(4星)	 其實我當時還是喜歡金素妍多些.....            
(NA)	 高中时候很喜欢的一部剧集            
(3星)	 哎哟，当年我还看过这片            
(5星)	 每个女孩的梦里，可能都曾有个尹理事。            
(NA)	 典型            
(5星)	 这几乎是张东健最美好的时光            
(5星)	 初中。凤凰台。            
(4星)	 那时候的棒子剧还是没那么脑残            
(NA)	 左手做的善事，不要让右手知道            
(NA)	 我靠！当年喜欢得死去活来的！最喜欢蔡琳嗲嗲地叫学长。。。#￥@#￥            
(5星)	 小时候，我觉得徐迎美自强，虽然手段狠毒，却很有种，真善美傻了吧唧，啥也做不好；如今，我依然觉得徐迎美值得同情，但是她实在太脆弱，那是发自心底的不堪一击，而真善美她有一颗正面坦荡的心，她对佑振的爱非常强大，那是真正的强大！！！PS:张东健那时候演技好差啊= =            
(4星)	 哎呀 好小的时候看过哦            
(5星)	 看的很纠结，不过蛮吸引人的，连自己也惊讶，这么多年了竟然才看到。            
(5星)	 惊艳的金素妍            
(3星)	 我的韩剧启蒙啊            
(5星)	 原来我从小到大看过那么多韩剧..            
(5星)	 此片是我最爱的韩剧啊。十年后来看依旧很经典。            
(5星)	 唯一一部百看不厌的.喜欢张东健            
(4星)	 超级喜欢看啊!!夏天的时候播的。暑假            
(4星)	 小时候和妈妈一起看的，那时候很喜欢            
(4星)	 也许由于是看的最早的韩剧，初一，印象中还不错。            
(5星)	 最后的大结局，是夜里，姥姥去世。            
(4星)	 卫视中文台            
(NA)	 那一声声“学长”=。=            
(3星)	 金素妍太嗲了！三颗星都给她！张东健有点发胖了，不过气质还是蛮好的。韩宰硕继续着悲惨的男配备胎命运。            
(5星)	 经典大爱            
(4星)	 You can&#39;t say            
(5星)	 2003            
(4星)	 小学的时候看过好几遍……            
(5星)	 第一部啊 第一部啊~            
(4星)	 看这剧迷了张东健和蔡琳...            
(5星)	 看过最多次的韩剧            
(5星)	 当年我还是小学生。不过这位先生依然是最好的恋人。            
(5星)	 第一部很认真看的韩剧。            
(NA)	 张东健真帅            
(5星)	 永远的经典            
(4星)	 这部韩剧是我自己第一次看的韩剧，记得是初中还是小学了，印象深刻，觉得怎么这个世界上总是好事多磨，兜兜转转这么纠结啊！金素妍的演出令我印象深刻，反倒是喜欢这个反角对一些了，虽然剧情里面觉得她很可恨。偶像剧永远摆脱不了灰姑娘的这个圈套……            
(4星)	 我这已然要老去的人儿啊，学生时代的回忆啊            
(3星)	 很傻很天真            
(3星)	 我认识了亦正亦邪的金素妍            
(5星)	 在看第五遍，不过是韩语的第一遍，在初三看这部剧的暑假，我从来没有想到过我会来到棒子国，可以看着韩文听懂所有的对话，我也没有想到，若我是迎美我居然遇到了我的佑振，我也没有想到若我是善美我居然遇到了我的尹亨哲。            
(4星)	 难得此剧，我喜爱的是男一。尹理事，你好！            
(5星)	 还有比这里面的张东健更温柔的情人么。每次看完这部戏都无比想恋爱。= =            
(5星)	 没有人比他更完美。            
(5星)	 同百看不厌            
(5星)	 all about eve 人生若只如初见            
(4星)	 金素妍超级美啊~~~            
(4星)	 学长啊……            
(5星)	 第一部韩剧。            
(4星)	 我觉得这里的张东健很迷人。            
(4星)	 看了两遍还不腻            
(4星)	 当时的当时啊~~~            
(5星)	 这是我看的第一部韩剧。            
(5星)	 不得承认那时的某人跟某人真的长的很像            
(4星)	 一部很经典的韩剧！            
(4星)	 张东健长得很完美。            
(NA)	 应该是我印象中我看过最早的韩剧了吧            
(4星)	 long long ago            
(4星)	 女主播。。恩            
(3星)	 最美的，不一定是最好的。            
(5星)	 我的卫视中文台记忆  我的第一部韩剧            
(5星)	 小时候看了好多好多遍。            
(3星)	 这个还好吧~算正常的片子，没有人得病也没有人特别的。            
(3星)	 主角都太抱歉            
(NA)	 小学？看的……            
(NA)	 经典还是要推荐的！            
(4星)	 最早的时候看的韩剧  后来超级喜欢张东健！！！            
(4星)	 电视不停的放还是有一定的道理的            
(NA)	 喜欢坏女人就是从这里开始的。。            
(NA)	 看了n次的经典            
(5星)	 尹享哲是永不下岗的梦中情人！            
(3星)	 仅次于蓝的第二部            
(4星)	 想当初啊            
(3星)	 里面演员除了韩宰硕，都是我喜欢的。。那个坏女人我也爱~~            
(4星)	 韩载硕偶的天。            
(5星)	 经典阿~~~~~~~~            
(5星)	 因为夏娃的诱惑所以爱上张东健            
(NA)	 最喜欢的韩剧之一            
(4星)	 曾经福建台晚饭6点相约。。             
(NA)	 蔡琳 张东健的代表作            
(NA)	 两个女主角 像我认识的两个女孩子            
(NA)	 小时候因为这部韩剧决定了现在的专业呢            
(3星)	 我一直以为这个是日剧。。。            
(5星)	 我看的第一部韩剧～～～当时真是欲罢不能啊            
(5星)	 记得这个应该是我看过第一部韩剧。在凤凰卫视看的。            
(NA)	 其实我比较喜欢金素妍             
(NA)	 06年的暑假，张东健和蔡琳好配~~            
(3星)	 因为太缺爱..所以            
(4星)	 东健哥·····你好帅            
(5星)	 是我最早看的一部韩剧。超级超级喜欢里面的金素妍。            
(4星)	 高一时是谁说我长得像那女主角来着...            
(4星)	 介个是经典！            
(4星)	 好吧，我还是喜欢徐迎美..            
(NA)	 完美双生双旦            
(5星)	 还是金素妍的脸让人过目不忘！            
(4星)	 好像还有个剧名的            
(5星)	 看过十遍            
(4星)	 蔡琳实在是太可爱了！让人忍不住爱上她！            
(4星)	 张大叔            
(NA)	 喜欢学长~~            
(4星)	 当年看的是中文配音版本，演几遍我看几遍            
(NA)	 最后发现现实还是徐迎美。。。            
(5星)	 很经典的韩剧，演员到故事都很经典            
(5星)	 老早的经典。            
(5星)	 曾经的啦~            
(4星)	 我喜欢迎美啊~~~~            
(4星)	 因为这部片更加喜欢张东健，不像当下的韩剧那么无聊。            
(3星)	 这个戏当时真是火，但是我依然不大喜欢            
(3星)	 喜欢张东健            
(5星)	 哭的最惨的一次…从此爱上韩剧            
(4星)	 难得待见一部韩国的电视剧，还是由于我智力尚未发育成熟            
(5星)	 当年真是太红了~~~而且难得不拖沓~            
(5星)	 第一部韩剧            
(NA)	 喜欢学长！喜欢这样一个男人！            
(3星)	 当年看的时候感觉真好啊～            
(4星)	 瓦靠，尹享哲学长这种男人哪里去找。            
(4星)	 s            
(NA)	 我最爱的韩剧            
(3星)	 金素妍好漂亮。            
(4星)	 起初的韩剧我还是看的            
(NA)	  夏娃的诱惑             
(5星)	 善美，享哲，迎美，佑振哥！太美妙了！尹理事早就成为了无数人的择偶希望！哈哈花痴ing            
(5星)	 晓哲那样的男人……            
(5星)	 那時候的張東健真是帥的無法言語啊。            
(4星)	 曾经把到凤凰卫视一集一集的守完。            
(4星)	 并不喜欢佑振  但是他死去的时候我异常的难过 我喜欢他妈妈            
(5星)	 经典            
(4星)	 遥想当年啊            
(NA)	 看过            
(4星)	 清一色的美女帅哥!            
(5星)	 原声带很好听 ：）            
(5星)	 比较经典的片子了            
(4星)	 温柔的张东健啊~~            
(NA)	 经典啊~~~断断续续看了3遍~多亏了凤凰卫视......            
(4星)	 东健哥～！帅啊！            
(NA)	 宿命啊~~            
(5星)	 让人对韩国的女人很畏惧（迎美的心计印象最深），主播的风采很“彪悍”，还有张东健的绅士和能把持住自己的泰然~            
(4星)	 好男人不是我所爱            
(NA)	 尹理事，太过完美的男人，只存在于童话和韩剧中。            
(5星)	 经典！东健哥哥啊，帅得没法说            
(4星)	 喜欢学长……            
(3星)	 哎……            
(NA)	 可以看无数遍背出来的有意思的片子            
(5星)	 好多年前 帅张东健,记住了蔡琳            
(5星)	 善美是童话的，迎美是现实的，至于某个男人...是不存在的~            
(3星)	 金素妍小姐还是挺符合俺审美观的。            
(5星)	 这才是我心里真正的韩剧经典。至今仍没有任何一部韩剧能取代它在我心中的地位。            
(3星)	 广州.妈妈.            
(NA)	 啊，赐我一个学长吧。            
(4星)	 徐英美太坏了            
(NA)	 喜欢的第一部韩剧。            
(NA)	 点头。。            
(4星)	 一部越看越好看的片子            
(NA)	 韩剧的最爱 即使现在已经不喜欢看韩剧 还是会怀念有善美和学长的日子            
(5星)	 可爱的蔡琳啊            
(5星)	 张东健 蔡琳             
(NA)	 我唯一爱看的韩国片            
(5星)	 最最爱和最最初            
(4星)	 夏娃的诱惑 张东健 蔡琳             
(5星)	 坏坏的女人~~有刺的玫瑰~~            
(NA)	 喜欢喜欢喜欢            
(5星)	 理想型至此出现            
(NA)	 经典，记忆            
(4星)	 那个时候,觉得学长是多完美的BF啊~~            
(NA)	 张东健的经典形象。那个学长笑起来让人觉得那样温暖。几乎集中了所有好男人的优点。蔡林在此之后演技难以突破。            
(5星)	 曾經的最愛啊！            
(4星)	 断断续续看的            
(3星)	 哎~偶像剧呗~            
(NA)	 相当经典..            
(5星)	 第一部喜欢的韩剧            
(4星)	 我和表姐远去的时光记忆...            
(5星)	 还好最后有个KISS张东健你永远是我心目中最帅的一根棒子            
(4星)	 因此喜欢张东键            
(NA)	 不错            
(4星)	 张东健，不爱他也难。            
(5星)	 很经典的剧            
(4星)	 韩剧简直是我的爱情启蒙片……            
(4星)	 人物名字翻译的有点儿傻。            
(NA)	 2001.5            
(5星)	 我的最爱啊！！！张东键！！！            
(4星)	 看过一点。            
(5星)	 好男人            
(3星)	 完美学长。            
(4星)	 迎美之美            
(5星)	 韩剧            
(4星)	 韩剧经典            
(NA)	 还记得为一个拥抱我哭得已经说不出话            
(5星)	 东健哥啊            
(NA)	 因为这个,去做了个和女主人人一样的发型...结果,超失败            
(3星)	 很好的职业            
(4星)	 喜欢张东健.虽然奶油头造型让我反胃.            
(NA)	 江西电视台播了n遍了            
(4星)	 全看徐迎美和佑政去了~为什么总是相互折磨的爱情更让我偏爱？            
(NA)	 这种男人只有故事里才有            
(5星)	 最喜欢的韩剧了            
(4星)	 金素妍很漂亮（似乎适合演坏女人），蔡琳很可爱（她在剧中的角色很讨喜）            
(4星)	 第一部韩剧            
(5星)	 在十五六岁的时候，我喜欢Malakhov, Schumacher和张东健。今天看到新闻张东健要结婚了。忍不住嘴角上扬地微笑着，心中无限祝福。记忆力最温柔体贴的享哲学长，骄傲深情的民亨，青春飞扬的小明。祝你幸福！            
(3星)	 喜欢迎美            
(5星)	 老片子,每个人的表现都很好            
(5星)	 弹钢琴、系脚链，很多美丽的瞬间。            
(5星)	 好看``恩 真的不错 张东健 啊            
(NA)	 宣扬真善美的韩剧，初二的时候看最后一集，泣不成声...            
(NA)	 有百看不厌的感觉。。善美的笑            
(5星)	 看过这部片子我就超级的喜欢金素妍，因为她的演技超级棒，而且也很美            
(NA)	 相遇是如此美丽 爱情的缘分是如此神奇             
(4星)	 对于肥皂剧而言，不错了            
(3星)	 一般            
(NA)	 ....工作中的斗争啊~~            
(4星)	 我完整看的第一部韩剧。反复看了四遍。            
(4星)	 张东健            
(4星)	 特别心疼迎美            
(4星)	 素素， 你太美了素素。            
(4星)	 怀念剧集            
(4星)	 很喜欢这部剧            
(4星)	 我就喜欢那个坏女人            
(5星)	 绝对精彩 大牛哥太帅气了 害伦家还害羞哦 ~(@^_^@)~里程碑式的韩剧。影响我很大。            
(4星)	 当初 很爱            
(NA)	 【2000-04-26】            
(5星)	 嗯  帅气的张东健和可爱的蔡琳            
(4星)	 小时候的经典嘛。            
(5星)	 你们想象不出一个2b小妞儿有多爱这部剧和那些主播们             
(5星)	 5分都给金素妍            
(4星)	 那会儿对韩剧还没那么反感  真的特别喜欢金素妍  太美太美了            
(4星)	 四星全是给尹理事的。PS：真善美和假恶丑也太脸谱化了，坏人真是各种嚣张，我靠，好人不用软弱来示好吧            
(3星)	 韩载锡第二回被车撞的片子....而且都是为了一个爱上张东健的女人...            
(5星)	 经典中的经典啊             
(3星)	 我爸带着我看的= =            
(4星)	 可惜看得太快了。女一和女二塑造得如此鲜明，虽然女二给人印象如此深刻，但女一的开朗和笑容也是招牌魅力所在。并不是完美的圣母，而是有小脾气，敢直言，却又憨态可掬、亲切可人的女性。            
(5星)	 冲着张东健必须看            
(NA)	 小学！特别火！            
(4星)	 金素妍是演坏女人演得最棒的韩国女演员，惊艳的五官，无可挑剔的眼神气场和气质。就算是现在，也没找到一个气场和把她比下去的韩国女演员。            
(5星)	 这部剧不知道看过多少遍了~~            
(5星)	 哎呀呀。坏女人怎么那么坏。好女人也不nc。男猪脚大众情人脸啊。那时候跟着姐姐看的。真心觉得不错。            
(4星)	 在迎美終於看到那卷錄影帶，在看到佑振已經傷透心卻還是難以自拔的愛迎美對迎美說不管發生什麽事 絕對不要恨自己 我希望你能多愛自己一點，當我看到迎美終於崩潰大哭的樣子，說實話我之前真沒想過看到這一場我居然會跟著哭出來………  我大愛徐迎美，金素妍的氣場秒殺蔡琳，作為女二能秒殺任何小白女主            
(4星)	 小学六年级啊。。。            
(5星)	 我喜欢的是迎美~~~            
(3星)	 喔唷！东健哥哥！            
(5星)	 唯一从头到尾看完的非搞笑韩剧            
(5星)	 我就觉得剧中名字起得太傻逼了，甄善美这名字一听就知道肯定是个天真无邪的小女孩            
(5星)	 金素妍啊真喜欢你            
(5星)	 从这部片开始喜欢张东健，怎么有这么好的男人呢。。。            
(4星)	 = =哎呦            
(5星)	 百看不厌的韩剧之一            
(4星)	 蔡琳  张东健经典之一……            
(5星)	 韩剧里的5星            
(5星)	 学长~            
(5星)	 小时候 真是 每个电视台都在放 好火~            
(4星)	 啧啧啧 全家一起齐聚饭桌看电视剧的时光啊            
(4星)	 当时蔡琳多可爱，虽然学长并不是我爱的张东健            
(5星)	 这貌似是我看的最早的一部韩剧..            
(4星)	 小时候看，喜欢善美，长大点后却更欣赏迎美这样的女生，但前提是不可以有主动的攻击性和坏心眼            
(5星)	 佑政哥。。。就是你让我有了完美情人的表情啊            
(5星)	   刚才帮爱酱找台本，又看了一遍剧情大纲，发现还是很好看啊~ ps：爱酱你居然婚了，O(∩_∩)O~            
(5星)	 小时候好喜欢这部的····韩载硕真的很催泪，张东健那时好帅~现在素帅大叔了~            
(5星)	 对于小时候的我冲击还是蛮大的，善美只是因为善良和天真而赢得一切？            
(4星)	 看了好几遍╮(￣▽￣&#34;)╭             
(4星)	 也是高中时期，老妈也喜欢看的~            
(5星)	 人生第二部完整的韩剧，而且还看了好几遍。就是从那时候开始控大叔的吧！！            
(NA)	 天天做梦有个学长。。还梦想去剑桥。。。还梦想当女主播。。。            
(4星)	 她真的美啊            
(5星)	 曾经太年轻。            
(5星)	 曾經讓我看了n遍都不厭倦的 片子！            
(5星)	 看了多少次，依然不能忘记。            
(3星)	 曾经那么喜欢 不知道看了多少遍阿            
(5星)	 绝对经典。我老妈的最爱。            
(3星)	 和姐姐一起萌夏琳的时候看的            
(4星)	 我也许不是那样强势也不是那样善良的女人。吉说所有韩剧都能在莎翁的剧本里找到原型。结尾总那么拖沓。男2果然张得一张悲情的脸，从天桥风云到夏娃的诱惑，同样的痴情，同样的结局。阴差阳错念了新闻系，不知道以后会否走上媒体行业。这年头谁还有新闻理想？            
(NA)	 万般回忆涌上心头            
(4星)	 爱上女主播            
(5星)	 初中同学一直叫看，但是还是中考完了才彻底迷上张东健            
(5星)	 尹理事太完美了！！！好想有这么一个男朋友            
(5星)	 男主角完美了            
(4星)	 不得不承认，是看过的最好看的韩剧            
(4星)	 人见人爱尹享哲            
(5星)	 真的很好看呀            
(NA)	 算是小时候了把柄怎么这么迷 现在搞不懂类            
(5星)	 特别特别喜欢            
(4星)	 金素妍很惊艳  其他都是陪衬            
(5星)	 初中时候的 好片子丫～             
(5星)	 我好喜欢这样短头发的蔡琳，笑容女王！！！            
(3星)	 剧情不吸引，但是伦敦学长啊！            
(4星)	 小时候的回忆啊！            
(5星)	 好吧，我又看了一遍。             
(4星)	 是童话也是寓言。            
(5星)	 今天的一切源于这部看似落俗的片子。“学长”情缘。            
(5星)	 突然好想看            
(5星)	 记得当年电视台播放到最后一集的时候，突然停电了，所以完满的大结局是在很久以后才看到。所有我爱的人都得到了幸福。真好！            
(NA)	 n年前看的韩剧阿..            
(NA)	 唯一钟爱的韩剧            
(4星)	 见惯了世间的复杂，偶尔单纯的爱恨也不错。            
(5星)	 喜欢            
(NA)	 经典啊~~~~~~~~~~            
(5星)	 徐迎美！！            
(NA)	 这个....究竟看没看过呀....不记得了            
(4星)	 金素妍演的那个绝对是天蝎座的，但是又好像我表姐。。            
(5星)	 当时看得入迷的韩剧呢。            
(5星)	 大爱张东健啊~~~~~~            
(4星)	 这是我初中时和爸妈一起看过的韩剧  那时候张东健真是大众情人啊  老少通吃了  那会韩剧已经是能有多虐就有多虐了             
(5星)	 挚爱            
(4星)	 当时看挺美好的，比现在的韩剧好的去了            
(4星)	 这还真不是SB韩剧            
(1星)	 伪科学            
(5星)	 金素妍 我奶奶说过 来我们家凳子都不给你坐-_______-            
(5星)	 最喜欢的韩剧            
(4星)	 张东健那时候帅翻了            
(3星)	 喜欢徐迎美，真是太美了            
(3星)	 以前卫视台播来着            
(4星)	 还是老点的韩剧好些。            
(5星)	 没啥子好多说的。小学时的最爱。            
(4星)	 善美~看的时候，迎美没气死我……            
(4星)	 从来没有喜欢过张东健，却是始终记得他对他的小公主深深的宠溺            
(5星)	 看得第一部韩剧~喜欢死了·            
(5星)	 当年好像喜欢过的一部韩剧            
(5星)	 金素妍的塑造性多过蔡妍。恩            
(3星)	 韩剧启蒙之一            
(5星)	 當年好像是追鳳凰臺的 那時一直覺得金素妍好美            
(5星)	 到现在还爱着张东健            
(5星)	 还是经典            
(NA)	 我喜欢张东健那头白发。。。            
(4星)	 个人意义            
(NA)	 这潜规则还不够潜啊            
(4星)	 还是张东健 不过不光喜欢真善美 还蛮喜欢金素妍的             
(4星)	 甄善美（真善美） VS 徐迎美（虛榮美）            
(5星)	 如果要说一部最喜欢的韩剧，我应该是会想到这部；其实我喜欢金素妍            
(NA)	 初一            
(5星)	 原来可以爱到这样。喜欢前辈（以希？）多点。演员很棒            
(5星)	 话说我五年级的时候还学那个女的把一边头发剪掉了＝＝            
(4星)	 我就喜欢金素妍饰演的这个邪恶的女人，，，，汗            
(5星)	 天啊~~！这可是最最最最最经典的梦境啊~！            
(5星)	 从此喜欢上金素妍！            
(5星)	 这个喜欢的            
(NA)	 初中看的第一部韓劇。            
(5星)	 那么那么爱...            
(5星)	 童话般的爱情怎能让人不心动？            
(5星)	 最治愈系的片子了~~又重溫了一下            
(4星)	 7or8年前看的？！            
(NA)	 真善美~~很奇怪的名字，记到现在            
(4星)	 觉得金素妍很漂亮，但还是喜欢蔡琳演的甄善美            
(5星)	 大爱            
(5星)	 一部还用浓重的笔墨讲述爱情的韩剧。最最爱韩剧！            
(5星)	 尹享哲的形象直接更改了一批女同志的择偶标准            
(5星)	 连我老妈都说张东健无敌帅= = 说自己要是年轻20岁保证倒追他，哈哈哈哈            
(3星)	 很久很久以前            
(5星)	 应该是我看得第一部韩剧。至今还总是对此剧念念不忘，却始终对其他韩剧不感冒~            
(5星)	 经典韩剧，张东健在里面帅得掉渣！金素妍演技真是无话可说！            
(5星)	 当年不知看了多少遍啊            
(4星)	 跟着电视台看的            
(5星)	 经典!经典!            
(5星)	 我看的 第一部 韩剧            
(5星)	 向前看齐.最是泪崩.            
(4星)	 觉得豆瓣海报不该用善美和学长这张。这始终是两个女人的故事。善美的幸运让人嫉妒，善美的善良让人喜欢。徐迎美，真的很坏很毒很敢。            
(NA)	 不喜欢            
(3星)	 就是为了看金素妍            
(4星)	 Once my favourite Korean soap com........            
(4星)	 张东健永远那么帅。金素妍不整也那么好看！！！            
(5星)	 小时候 很喜欢这部电视剧            
(4星)	 經典了~            
(5星)	 看过的第一部韩剧，永远的经典。“学长”这个词，因为这部剧，对我而言有种特别的吸引力。            
(5星)	 唯一完整看过的两部韩剧之一啊……            
(4星)	 多经典呀，我都不知道看过多少遍了，每次只要电视台一播就一定会看。很喜欢徐迎美，所以每次只要她的奸计得逞就会喝彩，而每次善美胜利就会一直骂骂咧咧，想象还真是小孩子啊。            
(5星)	 当年的东健啊！！            
(4星)	 反叛角色演的真好            
(5星)	 韩剧中的最经典！            
(4星)	 难得的一部韩剧~我看完了~            
(5星)	 即使过了这么多年再看，也依然不会觉得老气~~~~            
(NA)	 当时很火热的一部韩剧。            
(5星)	 张东健太帅了            
(5星)	 看的第一部韩剧，喜欢他们留学的片段。            
(4星)	 讨厌真善美，喜欢坏女人！            
(3星)	 多少年了 那时刚上初中吧 喜欢蔡琳            
(NA)	 小时候看地，那时候觉得东健哥哥不错            
(5星)	 最爱。            
(5星)	 我很喜欢的一部韩剧，当时看的时候觉得张东健真帅，不过现在就.....            
(NA)	 情节大多忘了，小的时候看的。            
(NA)	 。。。            
(4星)	 个人支持kim su yoon的演技，蔡琳太嫩了            
(5星)	 尹翔哲！！！！！！！！            
(4星)	 看这个片子的时候我是初中2年级            
(4星)	 东建哥哥～～～～            
(5星)	 东健哥哥的大奔头            
(NA)	 韩剧经典            
(4星)	 凤凰卫视中文台播完后的采访，韩剧是边播边拍的，结局让她失去记忆，一切焕然如新，很少的得到善终的恶毒的女二号            
(NA)	 张东健是每个女孩的梦中情人吧            
(5星)	 很喜欢            
(5星)	 那时的张东健好帅。。。韩剧启蒙从此时开始            
