http://movie.douban.com/subject/3114923/	白发魔女
(2星)	 你们是有多纠结，爱情真是令人发指            
(4星)	 一直觉得卓一航是个2……            
(5星)	 当时不吃不喝不写作业就被这个迷惑了            
(5星)	 爱上            
(3星)	 我确定看过这版。但是忘了剧情了，@Home            
(5星)	 啊。。居然是蒋勤勤            
(3星)	 很清秀的魔女            
(3星)	 蒋勤勤实在是美呢~~            
(5星)	 小时候的回忆。            
(5星)	 五星只爲蔣勤勤。            
(3星)	 当时就流行喜欢男二了么            
(2星)	 唉，，一般吧            
(3星)	 那段时间看过的无数中等可看却印象不深的电视剧之一。。。            
(4星)	 蒋勤勤、张智霖，我最喜欢的两个演员~            
(3星)	 戏烂人美。。。            
(4星)	 好像片尾曲居然是阿牛的爱我久久            
(NA)	 突然哼阿牛的爱我久久,才想起这部小学时的片子。刚刚做梦梦见小学童鞋,有些感慨            
(3星)	 不知道为啥 我不喜欢卓一航，优柔寡断，执迷不悟。但是，在当年，还是被蒋勤勤的美丽萌到了。            
(2星)	 表妹爱看 不过张智霖那张脸我实在看不下去 纯属对猪脚无爱所以没看完            
(4星)	 阿牛的歌呀~~！！            
(5星)	 卓一航            
(4星)	 不疯魔不成活~            
(3星)	 都不清楚是哪年看的了= =            
(3星)	 印象里小时候看的古装电视剧里的女的都是受伤之后变成什么什么魔。。。。还对那个男人又爱又恨。。。啊。。。            
(NA)	 以前我还挺爱看这剧的            
(4星)	 都快要忘了  小时候总看来着            
(2星)	 犹记得当年她还叫水灵。            
(3星)	 小时候看这部就很讨厌练霓裳。。。            
(3星)	 练霓裳和卓一航 不吃饭 不睡觉 就是越爱越打 越打越爱            
(3星)	 土豆？            
(NA)	 那时候的蒋勤勤真清丽            
(2星)	 还不都是为了看蒋勤勤            
(4星)	 除了结尾都满分            
(3星)	 当年可喜欢蒋勤勤了            
(3星)	 练霓裳            
(3星)	 整个剧就很虐啊。            
(3星)	 卓一航，你那大波浪卷，姐姐我承受不了            
(4星)	 小时候最最美好的回忆之一 那时觉得蒋勤勤的侠女造型多帅啊            
(3星)	 好多小学时代看的电视剧哦.            
(3星)	 这挺好            
(3星)	 何萼华好惨            
(3星)	 相当相当相当喜欢蒋勤勤！            
(NA)	 看的不多，结局不知道怎样的            
(3星)	 回忆            
(5星)	 小时候超爱看~            
(4星)	 好看！            
(4星)	 蒋勤勤张智霖美女帅锅            
(4星)	 多希望结局和原著是不一样的            
(4星)	 蒋勤勤很美很美            
(3星)	 好久远了。            
(3星)	 很经典的片子哦。蒋勤勤            
(4星)	 初一时候看的 都是回忆啊 每天中午都蹲在山东卫视前            
(4星)	 还记得看这部电视剧时候的痴狂。之后的很多年，好像都没有过了。            
(5星)	 很早很早的回忆了            
(4星)	 小时候觉得特别好看            
(5星)	 曾经好喜欢            
(5星)	 儿时迷得疯狂            
(3星)	 印象不深            
(3星)	 小时候真什么都看            
(5星)	 我对它没有什么深刻的感情，蒋小姐自己也不是很喜欢吧貌似- -            
(4星)	       说不清的情。说不清的爱。说不清的怨。说不清的恨其中的滋味 也只有他们自己知道。             
(3星)	 只有爱情~能让我一夜白头~            
(2星)	 没映象            
(NA)	 哦，这两个都喜欢~            
(4星)	 话说就算白发了，你也好梳梳头的呀。。。            
(3星)	 各种纠结            
(4星)	 忘不了你美丽的容颜，重温            
(4星)	 小时候看的，影评被别人说了，只记得张很帅，蒋很美。            
(4星)	 不是很喜欢张智霖在里面的感觉  而且觉得节奏有点慢            
(4星)	 练霓裳~~            
(4星)	 当年让我熬夜的剧啊··爱死张智霖了 蒋勤勤也很美            
(3星)	 多年后在电视上再次看到这个，觉得压力好大。            
(3星)	 我不爱卓一航，却爱练霓裳。            
(5星)	 小时候可喜欢卓一航了 帅气呀~            
(4星)	 又一次颠覆。。。电视剧很浪漫主义，原著很现实。不了解梁羽生的其他作品，但这部显示到家了。一个注定的悲剧，竟然整整悲苦了一部书。            
(4星)	 就记得 男人都是坏东西            
(3星)	 回味痴迷这个剧的无知童年            
(3星)	 当时觉得蒋勤勤很好看。张智霖的发型啊~毁了我对他的美好印象            
(2星)	 老是这个被劫，那个去救，救完了又被截，还有那紫红色的血啊            
(5星)	 代表一段回忆            
(4星)	 虽然始终没有看到结局~            
(NA)	 张智霖也有过泡面头呀，真是往事不堪回首            
(3星)	 雪山            
(3星)	 重温一遍还是蛮好的经历            
(3星)	 我就纳闷张智霖把头发梳成一把挺干净清爽又帅气的样子干嘛老让他披着            
(4星)	 不知道为何就是印象深刻。那首海浪。            
(4星)	 小学一年级看的！！！            
(3星)	 今天被蒋勤勤的一张剧照秒杀 所以开始看这个剧 没想到蒋勤勤还能演这样一个会武功的有点泼辣的角色  不过前几集最精彩啊 暧昧啊暧昧 后面就有点琼瑶了 蒋勤勤和张智霖就陷入感情纠葛中去了  蒋勤勤白头发也那么漂亮 不过有点认不出了 结局一集好像有点仓促哦 没想到这剧竟然是93年的             
(1星)	 人物造型难看就不说了，剧情又那么瞎。            
(4星)	 那头白色假发比较假，，其他挺好            
(3星)	 这部戏卡司真的太爱了。不过戏确实不怎么样。            
(3星)	 电视剧我还是看了不少滴  -_-|||            
(4星)	 张大仙，多么好看的泡面头~卓一航和练霓裳，永恒的经典！            
(4星)	 小时候看的。。总是觉得很好看的。。            
(5星)	 久远了啊。。。            
(4星)	 只记得三代白发了= =            
(4星)	 那时好喜欢蒋勤勤            
(3星)	 印象最深的是，蒋勤勤其中有一段，眼睛瞎了的人，却要在别人面前表现出眼睛没有瞎。。。            
(4星)	 我多么爱这里面的蒋勤勤啊！！！            
(4星)	 一朝青丝变白发，从此转做烂柯人。            
(5星)	 看的时候觉得蒋勤勤超漂亮            
(4星)	 蒋勤勤最开始飘出来的镜头 真美啊            
(3星)	 张智霖和蒋勤勤很配啊~~只是剧情不咋滴~            
(3星)	 现在看比较雷 = =            
(4星)	 我当时可喜欢蒋勤勤了！            
(4星)	 当时的电视剧至少帅哥真的帅 美女真的美啊            
(NA)	 那个图像差的，，，那个发型囧的，，，犹记得那个名叫土豆的孩子            
(5星)	 那时候多爱的呵~            
(3星)	 大爱~            
(2星)	 那时还好小~~            
(4星)	 当时第一次见水灵 惊为天人            
(3星)	 这是看张智霖演的第一部剧，当时真没觉得他帅，觉得霓裳还不如跟她师兄...            
(4星)	 忘记看的是哪个版本了。            
(5星)	 白发魔女——儿时的偶像啊啊啊啊啊            
(5星)	 为了慕容冲才看的            
(3星)	 勤勤的浓妆啊            
(3星)	 我记得小蝴蝶好可怜            
(3星)	 当年觉得 蒋勤勤在里面特好看            
(2星)	 集古装之所有虐桥段于一身             
(NA)	 喜欢^^            
(4星)	 主角是我喜欢的两个演员啊~~~蒋勤勤好看啊            
(4星)	 只是说演员。。。            
(5星)	 即使剧情很狗血，可是你真的很美！            
(3星)	 帅哥美女档，不过感觉有点不搭……很受不了张智霖的方便面发型。            
(NA)	 我以为蒋勤是台湾的            
(3星)	 那个啥，我觉得那个冲不冲和他娘应该有奸情.......情节很奇怪，翻拍的《神州侠侣》而不是白发魔女啊~~~            
(NA)	 很小的时候看过，剧情忘记了            
(1星)	 扮相太丑。            
(NA)	 好看            
(4星)	 俺滴神啊，蒋勤勤，你好美啊～            
(3星)	 这个和电影版的是没办法比的了            
(4星)	 其实主角很养眼的……            
