http://movie.douban.com/subject/2330220/	八大豪侠
(1星)	 明星倒是堆积的许多，可是剧情太慢，动作设计方面太差了，侠不像侠。可以总结成：明星一流，剧情普通，动作三流。看了几集，就没兴趣看下去了，转看《长剑相思》，好一些！            
(4星)	 挺好的            
(NA)	 陈冠希死好早            
(2星)	 ……            
(2星)	 还有希哥呢哈哈            
(4星)	 一颗是给冠希哥的            
(4星)	 还可以吧，不算很烂诶= =            
(3星)	 额，也不是很记得演了什么了，只记住了都有谁而已。            
(3星)	 看过的某雷片。。。不知道这一干打牌为什么会参合在里面。。。比如黄秋生。。。            
(4星)	 挺喜欢素问的（还是福建台，六点档）            
(3星)	 当时觉得超帅的`~            
(3星)	 被黄秋生雷得外焦里嫩            
(5星)	 八大能不好看么            
(2星)	 就开头能看            
(NA)	 以前怎么什么都看。            
(5星)	 带私心的哈哈            
(3星)	 陈冠希在里面很帅啊            
(5星)	 我是很喜欢看的            
(3星)	 是为乐爱迪生童鞋回追此剧 没想到 演乐不到8集就光荣挂乐 被迫还要看完剩下的40集 我谢谢你 王晶！            
(3星)	 虽然很乱，不过算可以看的武侠剧了            
(5星)	None
(2星)	 阵容太强大了            
(NA)	 除了扁素问全灭啊。。            
(3星)	 噗            
(3星)	 过程很搞笑 结局很悲惨            
(5星)	 没那么糟糕吧，还是不错的呀。王晶的悲剧式结局又出现了！@Home            
(3星)	 有爱迪生。可惜只有前面的7集            
(3星)	 谢家麟不在后也没看头了（我对范病病有着很深的怨念啊）            
(4星)	 很不错，很出乎意料，很显出王晶的鬼马            
(3星)	 比王晶的前几部连续剧强多了。            
(1星)	 太牌开头几集就死完了            
(3星)	 强大的准电影阵容。            
(4星)	 讨厌悲剧            
(5星)	 演员够多多多多啊！！！！！！扁素问 有气质 好想像她那样 随手就飞出银针帅             
(4星)	 一星给刘松仁、一星给陆毅、一星给黄秋生、最后一星给李冰冰            
(5星)	 不错            
(3星)	 谢家麒死了就没啥兴趣，只看了一点点            
(3星)	 为了看陈冠希……所以后面我没看……            
(3星)	 片子是还可以 不过最初只是为了看陈冠希的 谁知第二集就死了            
(NA)	 没的说 = =不过陈冠希丑是丑的            
(3星)	 跳着看范冰冰的部分顺便看了结局 囧            
(3星)	 其实还可以。。。剧本稍微差了点。。。            
(4星)	 就冲陈冠希去看的，死得那么早啊。            
(2星)	 相当粗糙            
(3星)	 在同寝室的古装剧达人的影响下，我相当于又看了一遍初中时候迷得要死的八大豪侠。。。。但是，为什么海报上面陈冠希是最中间最大头的一个，却死在了不到剧情1|5的地方。。。。            
(1星)	 有后悔药么？有后悔药么？丫儿的，我当年租碟看这个，还被骂            
(5星)	 陈冠希好帅啊，一出场就死了。            
(3星)	 王晶，你以后再不要找他拍这种戏了，唔该。            
(3星)	 看帅哥美女必备            
(3星)	 喜欢的演员都是打酱油的            
(NA)	 可惜陈冠希死得早……            
(2星)	 陈冠希古装也走花花型男。            
(2星)	 很无聊！            
(NA)	 陈冠希。。。。            
(3星)	 陈帅哥为啥总要死的很早？            
(2星)	 毫无剧情- -            
(5星)	 大爱，豪侠的豪，并非得大气磅礴的场景，而是眉宇间细节处的一笑恩仇，儿女情长，坦荡人生...            
(4星)	 中间搞笑，结局都死差不多了            
(3星)	 明星不少 情节太烂            
(3星)	 风一阵，素问，芊芊的三角关系印象最深。            
(3星)	 大腕挺多···            
(NA)	 死的真快            
(2星)	 第八集 陈冠希就死了 我是抱着他还能复活的态度看完了四十集            
(3星)	 完全沖著edison去            
(NA)	 程冠希            
(2星)	 不知道为什么看不下去了            
(2星)	 真的不行了，王晶我好讨厌你。            
(3星)	 我看是因为王晶和黄秋生~哈哈~其他人忽略~！            
(1星)	 这部电视剧有个神奇的魅力，就是无论平常演技多么好的演员，到这个片里就开始各种不会演，各种糊弄            
(2星)	 难怪那么难看，原来是王晶！！！我擦！！！            
(5星)	 我喜欢的调调 气氛..            
(NA)	 冠西哥是唯一的亮点...            
(2星)	 陈冠希啊陈冠希。            
(3星)	 本以为陈冠希是主角的，结果那么早就死了。            
(NA)	 雷剧……            
(3星)	 可惜后来都死得差不多了，董璇真得长得不错            
(4星)	 晓东&gt;_&lt;不错莫···            
(2星)	 也挺烂的            
(NA)	 王晶的电视剧。。。            
(3星)	 死光光呗            
(NA)	 很好很搞笑，不用动脑筋            
