http://movie.douban.com/subject/2157176/	放羊的星星
(2星)	老男人~~
(2星)	完全冲着林志颖那张脸消耗的整个暑假。
(3星)	真不好看
(3星)	零星
(5星)	偶像剧…我想说我还是很喜欢林志颖…小鱼儿…
(4星)	感觉有雷点有笑点，剧情繁复乱入，音乐紧凑，林志颖还是那么好看呀！和朋友一起看的，我一个人肯定看不下去…
(3星)	我真的是不喜欢对不上嘴形的配音。PS：林怎么一直那么嫩，不见老。
(1星)	完全受不鳥
(3星)	林志颖啊林志颖~~~
(3星)	林志颖怎么那么嫩
(4星)	其实是我母亲大人喜欢的类型
(4星)	还不错~
(4星)	虽然剧情很狗血很落俗，但是还是很有感触，哎
(NA)	挺感人的。噢~我喜欢。歌也好听
(5星)	^_^刘荷娜很pp
(NA)	被雷到颤抖
(5星)	鸟儿同学看嗨翻了的有迷死人小志百年不遇的偶像剧
(5星)	高二暑假看的~算是台剧里最喜欢的一部啦~
(3星)	又是一个灰姑娘。。奇迹总是发生在别人身上哈
(5星)	虽然是台湾“呕”像剧，虽然剧情秉承传统的“肥皂”，虽然人物性格失之粗线条和程式化，但因为难得见到这么提炼版的TX和SHY爱情故事，所以力荐。感冒者勿看。
(3星)	林志颖还真是永远的娃娃脸内~~~
(5星)	看的时候觉得超好的。台剧和韩剧的完美结合。
(3星)	纯属消遣。
(NA)	當時一直追這劇
(4星)	无数狗血桥段的经典配合，煽情煽到骨头里，很好很强大。
(4星)	一开始实在是有点那个什么，不过还是越看越起劲了哈
(4星)	小志永远噶年轻。
(3星)	不是我的菜，不过真的不难看。。。
(2星)	言情啊。。
(4星)	林志颖，万年娃娃脸
(3星)	喜欢洪晓玲 最终看不下去
(5星)	好看哟~虽然她们说林志颖都不老像老妖怪一样但是还是觉得好看！！
(4星)	放羊的星星 
(3星)	看一个老男人演偶像剧0 0
(4星)	一般般不知道为什么大家都很喜欢 不过很喜欢我们的纪念
(4星)	王子和灰姑娘的故事，历经波折，结局完满，永远是女人的迷梦，现实越是残酷，童话越要温暖。 献给拥有童话的人们。
(NA)	这个还是不错的哈哈  好像谁推荐看的
(3星)	主題曲相當好
(4星)	典型偶像剧。
(3星)	跟着电视看的 真不知道为什么要找个韩国人演 更没搞懂为什么收视率可以那么高
(3星)	林帅哥啊你的眼袋怎么这么大...立帅哥啊为什么我刚刚想看你的时候你就挂了呢....
(4星)	电视剧 
(4星)	很久没看台湾片了，没想到这部剧还能看看。林志颖还是如此的英气逼人~~剧中仲夏夜之星的牵绊看得很纠结也很感人... 让我很冲动的想买一条万宝龙的手链
(3星)	林志颖~~一点都没变 
(3星)	林志颖……
(2星)	看在林志颖那么老了还要装小年轻的份上 大家捧个场啊
(4星)	女主原来是韩国人啊，怪不得看上去表情和动作都跟《浪漫满屋》的宋慧娇有几分相似；小志还是一样帅～
(5星)	最近台湾偶像剧中唯一从头看到尾的
(3星)	没有想象中的烂
(4星)	林志颖好帅呀呀呀呀呀呀~^^
(4星)	偶像剧的美好在于，他让我们相信世界是很美好很美好的，哪怕那么一瞬间，也是很美好很美好的。
(NA)	时间是怎么过去的?
(5星)	情节太曲折~好感人~林志颖真帅~
(3星)	比起其他偶像剧,这部不至于恶俗,打发时间的好电视...
(NA)	提前看了结局
(5星)	确实感动了我。
(4星)	林志颖这男人太有才了！
(4星)	开头很搞笑，结局不错
(5星)	不知道是很久没看这类的了还是怎么的。看完后……小感动！
(5星)	觉得很好看，我就是摆脱不了林志颖情节，怎么样！
(4星)	不错的台剧~
(4星)	林志颖 ，不可思议的帅啊！
(4星)	精华剧精华剧TAT
(NA)	就那么回事儿，一个套路
(5星)	2008/4/1 ~ 05/13watch at tudou in office..hehe由於趕tender, 超快的看完後半部份。自18集以後非常好看，當然林志穎和立威廉這兩個大帥哥要記一功。
(NA)	印尼的回忆
(NA)	林志颖还真是不显老
(NA)	其实后面还不错五年后
(3星)	林志颖怎么就不会老呢..女主角那容整的..
(NA)	虽然是俗到俗不可耐的故事情节，我还是哭得一塌糊涂。很少看偶像剧，经不起感动。
(4星)	就是喜欢林志颖
(NA)	明明算喜剧,可看着看着总是能随着剧情伤感.小志老了,但依旧很帅.恩,音乐也很棒.
(5星)	现实越残酷，童话越要温暖
(NA)	很可爱的活宝.每个主角长得都不错啊,除了李威委琐一点,不过演技满好的拉.
(5星)	脱离一惯台剧的作风。。塑造了一个全新的形象~~
(NA)	看过一两集，觉得还不错
(3星)	竟然忘记了看过这个剧…偶像剧是拍给小女生看的好不好！！！= =我可是御姐！！！啊哈哈哈
(3星)	你眼里，我缺点太多了。多到你都看不见我喜欢你
(NA)	【2007-03-10】
(5星)	童年..
(3星)	本来是寒假用来打发时间的片子 情节依然很弱 好在林志颖养眼 歌也好听
(5星)	林志颖一直这么帅啊(*￣∇￣*)
(5星)	当时特喜欢刘荷娜、觉着她眼睛弯弯的特好看
(NA)	安徽卫视总播这剧
(NA)	林志颖还真是长了一张年轻的脸啊……
(NA)	林志颖老了
(4星)	记得当时看了好几遍
(4星)	当年真是迷了很久
(5星)	当年看了一遍又一遍，借冲冲的电脑看~
(4星)	在偶像剧里，这部绝对值得4星。女一女二都很美，男一男二都很帅。歌很好听。够了。
(3星)	好像至此之后再没看过台湾偶像剧了
(4星)	老片子也不错哦。
(5星)	当年超爱。
(5星)	暑假看的~一边做作业一边看还顺便挖西瓜吃(￣▽￣&#34;) 好怀念！
(5星)	我和显姐上晚自习为了看星星  单词课文都不背~~
(3星)	女主好假……
(4星)	林志颖美死了。。。
(NA)	完全是为了林志颖才会看的
(4星)	仲天麒让我喜欢上了林志颖
(4星)	女主前后形象差距也太大了- -
(3星)	要不是电视台播 我也不会看。。 林志颖的娃娃脸还是要赞一下～
(4星)	其实不错啊 不错
(3星)	我这种剧从来不看完的
(5星)	林志颖的娃娃脸真的很牛掰。
(5星)	我真的觉得很好看啊……我弟弟都看了……虽然女主角长得很凶恶，但是……真的很好看啊……我都跟着电视看了3遍了……
(3星)	后面的看不下去了。
(NA)	当年和室友一起一口气在她的台式电脑上看到半夜2点的弯弯狗血言情偶像剧……这种事情大概再也不会发生了，所以不管片子如何，还是无比怀念~
(3星)	台湾电视剧也真是米少看啊~
(4星)	当年沉迷其中
(NA)	对这的印象就是荽郭曾经非常非常的喜欢过= =...她现在估计忘了吧
(5星)	五年~~~
(3星)	喜欢林志颖可爱的小酒窝。
(4星)	最近电视台在播，重温觉得还是好看呀。。。小志，你真是千年不老！！！
(4星)	刘荷娜真美，我很喜欢夏之星的风格。小志……这样称呼林志颖好囧，不过他确实蛮好看的。
(5星)	林志颖太帅了！！这张脸怎么长不老的呢！
(3星)	快进着看完了。林志颖绝对亮点哦。我以前一直以为这片子叫放牛的星星= =
(1星)	这么烂的片子内地公关做得好就连累了我……
(NA)	林志颖又帅又可爱又温柔……
(4星)	以前看的，富家子和诈欺女的偶像剧，情节还行，有搞笑有狗血，最喜欢阿星的笑脸~
(3星)	可以拿来打发无聊时间
(4星)	那时候台湾的偶像剧还是占据我的生活大部分，林志颖怎么都不显老呢，几十年都是那张娃娃脸。
(3星)	为数不多的从头到尾看完的台湾偶像剧。
(3星)	最近用来杀时间的老片子。我很不争气的看的很心动。＝ ＝
(3星)	怎么台剧越看越多了……
(3星)	其实是大杂烩……
(3星)	很扯淡。。
(3星)	台劇都這樣，王子灰姑娘，誤會重重到最後破鏡重圓。
(NA)	啊啊啊 小志 小志 小志 永不老去的小旋风 啊啊啊  你是我坚持看完这部剧的唯一信念  
(2星)	真没觉得有多好看。
(2星)	好爛、、
(NA)	无聊打发时间就看那个安徽台没完没了的播，烦
(3星)	无感。。。
(5星)	那样刻骨铭心的灰姑娘传奇
(2星)	如果没有林志颖，我可能就只会给一颗星~女主角太做作了，受不了韩国人总眯眯眼的内样~话说人家宋惠乔不内样~
(4星)	依旧一部NC台剧...不过看在林志颖的份上...
(4星)	林志颖 你说你自己有多讨厌吧。怎么可以这么有腔调啊。
(4星)	林志穎，迷死人了。
(4星)	林志颖还是那么帅啊
(5星)	给高分  07年看过的最好的偶像剧
(3星)	喜欢女2耶~
(5星)	夏之星，喜欢你的首饰，喜欢你的勇气，喜欢你带给我，现实中不存在的梦。
(2星)	当我没看过吧。。。
(3星)	瞄了几集
(4星)	我就是喜欢林志颖|||||||||||||||||||
(3星)	剧情很奇怪
(5星)	很久以前，为它疯狂。
(NA)	小志在里面很帅呀，我一直没有感觉到女猪脚和女配角长的好看
(4星)	15
(3星)	从小喜欢的帅哥，故事情节虽然老套，但还是有点新意。因为我哭点比较低，最后还是哭了！
(2星)	不喜欢
(2星)	国庆假期穷极无聊时不慎看完了这部穷极无聊的台剧。剧情假得经不起一点轻微的推敲，演员倒是煞有介事地演，很卖力。
(3星)	不喜欢林志颖的样子 太奶油了
(2星)	虽然俗 但还是看完了
(4星)	针对台剧总体水平，确实还不错……
(3星)	断断续续的看 主要是看林志颖
(4星)	剧情和演员互相烘托，相当不错的一部电视剧，林志颖的表现成熟了许多。电视播放看了好几回。
(3星)	纯娱乐……
(4星)	突然发现以前居然看了那么多台湾偶像剧，因为比较喜欢林志颖。。
(3星)	林志颖这张脸。 三立的路线，实在不吸引人的女主角。 
(1星)	看着你们泛着油光的脸庞,我心情很复杂
(3星)	喜欢里面的歌
(5星)	小志啊~~你为什么永远那么年轻！
(3星)	不喜欢女主角，所以不喜欢此剧
(4星)	漂亮的音乐~~
(3星)	林志颖老了也挺帅的
(5星)	一次看完，累死我了。太好看了。
(3星)	只能看一遍 再多看 就觉得难看了
(4星)	完全是因为小时候的偶像...小时候超喜欢小志的~~~还是一样的帅！整部片子拍的也好，很感人
(4星)	这个绝对是小言剧~~~
(4星)	剧情有硬伤，可是林志颖实在太帅了……
(5星)	原来跟败犬女王是一个导演，哈哈，又看了一遍
(5星)	你来看看小志就是五颗的原因
(3星)	看了几集。
(5星)	剧情好看，女主太可爱了！
(5星)	看这个片子不能想太多，跟着看就会很享受心被虐待的感觉。。。很惊叹刘荷娜的演技^_^
(NA)	继续鄙视台湾偶像剧
(5星)	病休之选，台剧里的五星
(4星)	虚幻的美好，虽然俗套，但像剧中所说，感情是真的就好。我不怀疑人的感情，但感叹人的运气。天时地利人和，当真是千年修来方可拥有。
(5星)	虽然还算满好看的。。但是台湾收视大冠军。。。至于么？
(4星)	林志颖好帅啊。HOHO。 
(5星)	小志的就绝对不错过！！
(3星)	很值得佩服下的林志颖~~~
(4星)	小志还是如此的青春``
(NA)	大一网吧。
(5星)	看了几遍都不腻 无疑是有史以来最棒的台湾偶像剧. 男一号我崇拜你一辈子.
(5星)	里面的歌真是听了很多遍
(3星)	据说我买的耳钉是cos这个的。。。
(2星)	什么东西
(4星)	其实雅若生活的也很不容易
(4星)	呃。。反正我觉得万宝龙挺好滴~
(4星)	看的时候蛮喜欢的
(5星)	做人要诚信。要做一个善良的人。同时改变自己。
(4星)	老男人还是一样的帅阿哈哈~~因为有李威和韩国女人所以降星~
(4星)	其实剧情真不咋滴~但是为了帅哥林志颖诶~
(4星)	人生的一万种可能
(5星)	陪着妈妈看了很多遍....
(3星)	 放羊的星星 电视剧 林志颖 爱情 偶像剧 连续剧 
(4星)	好看哦
(3星)	如果没有林志颖..我绝对只给2颗星
(4星)	蛮好的呀啊。。
(2星)	还真没觉得好看。。
(NA)	電視臺播放頻率太高，於是東一下西一下就看了
(4星)	算台剧中比较好的作品了。说实话立威廉的哥哥感动到我了。
(4星)	看多了就没感觉了
(3星)	好吧，其实还是能看看的。
(5星)	心是不可以被切割的
(5星)	钻石王子和铁打的阿星
(5星)	不错的剧
(3星)	看几集，弃
(5星)	前一半很无聊。就是很普通的爱情片。五年以后重逢的剧情倒是蛮有意思的。
(4星)	喜欢刘荷娜
(4星)	上一代的偶像和这一代偶像的搭配，还行。
(4星)	长不大的王子
(4星)	这个也看过很多遍，看一次哭一次，不是因为剧情，是因为回忆~
(5星)	看了两遍，还是很爱、
(3星)	《我们的纪念》这歌的纯音乐版实在好听，其他实在一般。
(5星)	铁打的星星~~我喜欢
(3星)	林志颖不在是正太了= =|||
(3星)	快进快进
(4星)	还可以
(NA)	我来这儿只是想说，女一号和女二号在海报里好像哦~
(5星)	小志的第一部偶像剧  剧情不错 
(4星)	节奏和情节都处理的不错就是演员都不是很喜欢
(4星)	你心中不变的童话。
(NA)	一不小心就看了。。。
(4星)	谁能发现 我的世界 曾经有过你的脸
(4星)	林志颖挺帅的。女主角挺丑的。
(NA)	这个是我很疯狂的买碟，看了3遍的电视想起来，就觉得纳闷
(3星)	标准的言情剧。
(NA)	小萌 控
(4星)	 小志都不会老的..
(3星)	靠，老子不看偶像剧很多年了，但还是那些桥段，浪费生命啊～
(NA)	好看
(NA)	一直喜欢林志颖~
(4星)	很难得的偶像剧哇
(3星)	因为林志颖
(4星)	小志为什么永远这么年轻= =10年之后依旧让我看得流口水
(4星)	有点类似my girl...
(3星)	蛮好。。。让我没日没夜的看完了
(3星)	神呐....终于看完了...............
(2星)	不太 好看
(NA)	大家都一把年纪了 不容易 真不容易。
(4星)	Dardar
(3星)	林志颖开赛车真帅
(NA)	去年夏天
(NA)	&#34;夏之星，你不要脸的勇气哪里去了&#34; 强！
(4星)	林志颖
(5星)	我爱死小志了...555....回到少女时代了..555...小志太可爱了...555...
(NA)	有夠難看的，特別是女主角！
(4星)	挺好看的,又是我爸在看,我也忍不住...
(5星)	林志颖还真的是不老，真让人羡慕
(4星)	放羊的星星 
(4星)	这部意想不到的觉得不错。
(2星)	有点俗了
(3星)	拿来消遣，不过还可以啦~
(4星)	比其他的一些好一点！
(4星)	有小小突破的台湾偶像剧
(4星)	我是铁打的星星-仲夏夜之星
(4星)	王子和灰姑娘的故事，不过还是很喜欢
(3星)	1 我觉得小志在5年后可以留点胡子，大家都知道你留胡子很man的嘛 2 我觉得结尾太意料之中了点，甜蜜地太过平淡
(4星)	林志颖脸上都有赘肉了
(4星)	看到林志颖的高跟鞋了，第16集里有个侧面，5厘米起码~
(NA)	浪费了时间
(3星)	虽然和台湾以往的片子一样，开头和结尾都还不错，只是中间过分的冗长。但是，依然很喜欢这种设计类的电视剧。不知道为什么，对设计的东西这么痴迷。
(4星)	从一开始就不喜欢林志颖，所以这部片子一直都在有意的没去看，但好笑的是，一不小心看了几集以后就欲罢不能了。因为这部片子居然觉得从前讨厌的林志颖也有点那样的吸引力了～他其实有那么点男人味哦，虽然不知是什么时候开始改变的。
(5星)	爱~
(3星)	林志颖^_^
(NA)	唯一好看的台剧。
(1星)	水果先生大赛太雷人
(4星)	也是因为林志颖再度迷上了。。。。。羞！！http://www.douban.com/review/1186833/
(4星)	满喜欢插曲的，小志还是那么帅，呵呵～
(3星)	啊哈！
(3星)	看了三分之二，不用看完整也知道前因后果～～～不过让我赞叹的是林志颖～还是看上去很年轻，娃娃脸的好处之一，但近镜看上去皮肤不是很好．
(NA)	当然只是看过一点。
(3星)	林志颖还是林志颖．
(4星)	铁打的星星，只有在仲夏夜才最闪亮！~n年过后，他还是小志！驻颜有术！
(4星)	不晓得，竟然看偶像剧了
(5星)	女主角很有味道。音乐很棒。是我喜欢的风格。
(5星)	不老的小志
(4星)	虽然不过是些俗套的桥段，但却有让我跟着期待，跟着一起乐呵呵地傻的魔力。可惜结尾太过仓促潦草，有点令人失望。
(5星)	也许，我也可以拥有仲夏夜之星^_^
(3星)	我們的紀念很好聽。
(3星)	还好,差点就够上推荐的级别捏.
(3星)	老偶像的泡沫劇.
(4星)	挺好看哒。开始为了立威廉才看，后来发现女主角也蛮漂亮。
(NA)	好看
(5星)	最近看过的一部偶像剧,我觉得很好
(NA)	林志颖相当的帅～情节会比一般的好一点点～
(4星)	感情的纠葛难道真是如此……让人难以捉摸！
(NA)	不推荐去看，就是一个泡沫剧该有的剧情，但我还是看了。。。
(5星)	再次见到林志颖是一个意外
(5星)	我喜欢上了林志颖！
(4星)	确实好看!
(NA)	喜欢女主角的性格,很不错~难得看的台湾剧
(4星)	还挺好看的~不太喜欢刘荷娜的夸张表演
(NA)	都说好看~
(5星)	很好看...感人...！林志颖还是很帅啊
(3星)	花了一个晚上一直看到凌晨5点半，还可以啦
(4星)	.真正的爱，是不能被切割的；因为爱的中间，是颗心；心，要是切成两半，人，就死了。你知道我有多喜欢你吗？就算要我像人鱼公主一样变成泡沫，我也要喜欢你~
(2星)	很俗啊~~
(4星)	林志颖成神话了
(5星)	林志颖很帅~~ 曲折的爱情...
(4星)	比较感人 当时哭得很厉害
(3星)	别人送了个女主角戴的耳钉···那是一个闪闪发光啊
(3星)	小宇推荐:这个好女孩...
(NA)	和PP在西浦看的.很一般的片子,却在当时被它感动.
(3星)	比较yy..
(3星)	没什么意思~但是女主角很可爱~
(NA)	立威廉演的，但不是主角
(5星)	好难得可以稳到部我觉得唔错既台湾偶像剧啊！
(5星)	剧情安排的太好了！林志颖，帅；荷娜，靓！顶配！！！
(4星)	还不错,越看越好看的片子~~~
(5星)	超棒的电视剧 看了好多遍哦！！
(NA)	不过，还满好看的
(5星)	真的很好看撒````
(NA)	感觉还可以 
(NA)	剧情还是有点新意的，但看到后面会觉得有点累
(4星)	大一军训 星空卫视
(5星)	铁打的星星&amp;一直那么帅的林志颖
(4星)	女主角要不是外国人就完美了，林志颖真是妖精级的
(4星)	林志颖真是让人感觉不到时间 诶 台剧中不错的
(3星)	他的脸怎么就不老？！
(2星)	女主好丑
(4星)	剧情够扯，够瞎，但是有小志。。而且...感人！
(4星)	年轻时曾被感动过。。
(3星)	剧情太恶俗了，为了万年童颜小志先森我才勉强多给了一星。。。
(3星)	谁当年没迷过台剧。
(4星)	最喜欢的偶像剧之一，很喜欢小志在里面的表演，五年后的亮相很震撼。
(4星)	虽然依然是王子灰姑娘的老套剧情，但算是前几年中不错的台偶了
(NA)	中韩。。。。
(4星)	还不错，剧情没那么土，刘荷娜长得也好看~
(3星)	我以前也是个人才 看过他多偶像剧了
(5星)	印象最深：1.雨中  2.火中  （我一向对强势的男人没什么招架力）
(5星)	尼瑪哭死我了在樓下淋雨那一幕！！！
(4星)	不老是神话。。
(4星)	很久之前看的剧，如今为了写报告再次翻出来重温，感觉还是不一样的~~
(3星)	仲夏夜之星~
(5星)	一！點！都！不！俗！爛！
(5星)	一部完完全全的偶像剧
(5星)	小志的第一部偶像剧。。。很喜欢里面的造型
(5星)	我很少看偶像剧，单单喜欢上了这部剧，虽然故事框架是老套的，但是细节绝对称得上是细腻的，确实像某些人说的“蛮煽情的”，总之，有时我的确是被感动的，不知是剧情还是音乐，或者可能，还是有配音的好，对台湾剧的原声木有感觉
(NA)	放羊的星星2还不错 缺点是台湾偶像剧的通病 演员演技烂（浮夸，做作的表演）资金不够，制作不精良。 感觉不管是演技，剧情，服装造型，还是场景都差了点。
(3星)	56.。。
(3星)	这片让我认识了林志颖
(5星)	好喜欢
(3星)	真不好意思说看过4- -
(4星)	主要是男主！林志颖就是男人里的最大奇葩！！！
(5星)	我的无聊青春呦。。不过这个还不错！！
(3星)	林志颖还是挺帅滴~
(3星)	林志颖真是不分年龄的少女杀手啊...
(4星)	还好吧，但在偶像剧中算不上精致。单方面喜欢林志颖。
(4星)	曾经让我很着迷的一部戏。。
(4星)	一度迷恋啊 暑假安徽卫视必播
(5星)	年幼经典
(2星)	啊可以再假点啦
(4星)	一位与众不同的女主，有模仿《茶花女》的情节
(3星)	我喜欢仲天骏！！！
(4星)	虽然剧情烂透 但是！！看着三十四岁的林志颖演偶像剧还是很有挑战性啊~
(5星)	林志颖！！！
(4星)	林志颖不老啊！
(5星)	林志颖的表现带动了整个电视剧，我觉得还是很不错，很适合放松的时候看一下，还算不错。当放松蛮好的
(2星)	就图一乐
(1星)	我实在不喜欢中韩合资...口型对不上很难受
(3星)	觉得不好看 但还是看完了= =
(NA)	林志颖演技不错，又冷酷又俊美。剧情太俗。
(3星)	高中时和同学一起看的，挺无聊的。。
(4星)	林志颖真的没有老！
(4星)	就是到最后才知道原来女主角是韩国人。。。不过我还是喜欢林志颖。
(4星)	当年很爱
(3星)	表示好久以前电视上播的时候看过~额 林志颖真是童颜啊！&gt;&lt;
(5星)	原来看我过这么多电视剧——高中看的，两天看完！当时真的好喜欢！
(4星)	还是很经典阿。。。
(4星)	07年最佳台剧。
(4星)	林志颖的回归让我知道了他的多才多艺
(2星)	剧情略微臭长and恶俗。。。
(5星)	为我流过的那么多眼泪，也要打五分
(2星)	貌似没看完
(4星)	林志玲不会老哎
(3星)	林志颖真是太可爱了。。。
(3星)	我只想说呵呵呵呵了=。=
(5星)	喜欢男女主角，虽然剧情很台湾偶像
(4星)	大一结束的那个暑假，正在军训，寝室唯一一台电脑，一伙人凑在一起，看的剧，很欢乐
(4星)	虽然依然是王子与灰姑娘的老套路，但诈欺犯和赛车少的男女主身份还是带来了新意~该剧集诙谐幽默和深情款款于一体~除了男女主，五岁的妮妮也是亮点之一
(4星)	那时追着它看诶 
(3星)	剧情有够扯，也有够瞎，但是…感人！
(3星)	+半
(2星)	嘛…………嘛…………
(2星)	不晓得为什么，当初看完了！
(4星)	还行的 偶像剧...
(3星)	看的时候挺来劲 看完也懒得回忆的电视剧
(5星)	你会不停地追下去哦，尤其前半部
(3星)	不记得看没看完了
(3星)	小志好年轻啊
(3星)	(﹁&#34;﹁)
(3星)	林志颖老了，怪不得我觉得女主说话那调调怪要死，真的是韩国人……
(3星)	好久以前在电视上看的了吧
(5星)	搞笑与剧情并存也还不错，配乐都很符合剧情。
(5星)	也是某期内看的神魂颠倒的电视剧啊。小志真是永远的18岁。。。帅爆了~！刘荷娜对嘴对的我看的蛮顺眼的耶。喜欢这种题材。重逢后更加成熟的对方。还有中间的小小甜蜜~
(3星)	林志颖真的很嫩
(3星)	总裁小说啊
(3星)	剧情后面有点拖沓了。
(5星)	剧情，配乐都很好
(3星)	典型的台剧嘛，没什么特别，不过林志颖的娃娃脸太没变化啦吧。
(3星)	林志颖怎么说都老了，小小志都出来了
(4星)	当时很喜欢。林志颖。
(5星)	很感动呢~~
(5星)	第一部我欲罢不能的电视剧
(3星)	剧情有点狗血，林志颖挺帅的~~
(5星)	还记得大学里为数不多的通宵有一次就是献给了这部剧
(2星)	太一般了，不喜欢女主。
(4星)	当年还没怎么看过偶像剧，桥段虽老但胜在猪脚的颜都还正，所以在我心里这还是一部不错的偶像剧。
(4星)	挺不错的
(4星)	其实听狗血一剧，但确实也挺好看的
(NA)	每星期追着看。吸引人的剧。
(NA)	那首主題曲 聽得我超壓抑。。。。
(4星)	有点拖沓，但是还有点小清新
(2星)	林志颖真心不适合装冷淡啊
(4星)	我就觉得还可以吧，跟着电视里看了3遍了
(5星)	因为是林志颖。
(4星)	~~·^^就是介个啦~让我对jimmy迷恋了好久~~~(&gt;_&lt;)~~~好阳光的笑。
(4星)	居然大概翻完了一遍=。=。。
(NA)	高中的时候觉得超级好看翻来覆去在电视上看了好多遍...从此掉入电视剧的深渊一发不可收拾...唉...
(4星)	小志好帅哇
(5星)	能让我看的下去的电视剧都给五颗星 感谢在这些日子里陪伴了没脑的我 小时候看的三流电视剧比读的书还多 嗷 
(4星)	偶像剧该有的都有了，帅哥，美女，笑话，财团。。。爱做梦的女生会喜欢看
(4星)	到现在还是很惊异为何当初如此迷恋这部剧
(NA)	有意思，很好看~~~
(1星)	女主太恶心
(4星)	高考毕业时候看得。
(5星)	当初哭死了
(1星)	只看了一集就看不下去了，李威的造型，女主的声音，林志颖做男主气场太差，剧情弱智，男的耍帅，女的扮纯，各种受不了，不明白为什么很多人爱得不行，豆瓣这么高分……
(3星)	女主角一点没女二好看。
(3星)	当年净看脑残剧了···
(NA)	其实偶有时候也蛮喜欢看偶像剧的······
(3星)	额~
(3星)	略狗血 略真实
(NA)	不喜欢后面的
(5星)	最喜欢的台剧～
(3星)	林志颖好矮喔- -
(3星)	碟片买错，结果买来一看就看完了，还真不错，尤其是主题曲
(4星)	有种虽然够扯但得看下去的魔力，这到底是为什么……
(5星)	林志颖才是不老的神话啊！这部剧的插曲很好听！
(4星)	女主角很耐看很甜美，可能是气质把，林志颖还是那么帅这个时候，音乐很加分。
(2星)	二颗星打给林志颖
(4星)	分数都给小志…就为了颜，我就是这么不讲理…
(NA)	我到底是看过多少傻逼剧。。。
(3星)	看这个只能表现我还没能忘了当年的小志= =
(3星)	瞧，当年就好这一口
(2星)	我真的很讨厌刘荷娜。棒子能不来天朝混吗 
(3星)	我觉得这个海报巨傻！！！
(5星)	百看不厌
(5星)	剧情不老套~
(3星)	居然这么热捧，我觉得好烂俗。
(4星)	哈哈哈哈哈哈哈哈！忘记了！
(4星)	还挺喜欢的~~
(4星)	因为林志颖才看的啊~~~
(5星)	林志颖，永远的快乐小鱼儿~~
(4星)	女主角吸引了我
(NA)	安徽台没到假期都会放 就像湖南人台的还珠格格
