http://movie.douban.com/subject/2287774/	黄埔倾情
(4星)	 大仙，邵仲衡 。            
(5星)	 只要是智霖的我都要看~~            
(5星)	 初中时初看，到现在已经回味了N遍，依旧是我心目中难得的经典之作，感动于鸿飞和南星坎坷的爱情故事            
(4星)	 郭可盈在戏里叫南星啊，楼主记错啦            
(4星)	 记忆犹新的电视连续剧，重温了一遍            
(4星)	 挺经典的，张智霖好帅！~            
(5星)	 打6星都行~~            
(5星)	 经典啊 鸿飞 南星             
(4星)	 记得那时候家里刚装有线电视看的第一部港台连续剧            
(5星)	 无微不至的关心不一定是爱，无所不谈的交心也不一定是爱，爱是时时刻刻想着念着，直到想对方比想自己更多            
(5星)	 长亭外,古道边~~            
(NA)	 这可是我迷上张智霖的第一部剧，永远记得那一首送别。            
(3星)	 好早的片子。那时的郭可盈还是婴儿肥。            
(4星)	 嗯，第一次看到张智霖就是这个戏。。。。。。。            
(4星)	 那时的张智霖啊~~hc~            
(4星)	 任鸿飞：你走的是政治路，我走的是江湖路，我们走的都是一条不归路。            
(5星)	 喜欢张智霖            
(3星)	 长亭外 古道边 芳草碧连天最初爱上邵仲衡的片子永远记得他们在帐篷里吃的那顿散伙饭            
(4星)	 大仙一笑，迷倒众生。            
(4星)	 认识帅哥张智霖的契机            
(4星)	 因为怀旧所以完整品阅，那个年代的激情与经典。何等年轻与稚嫩的张智霖和郭可盈。如今皆为人父人母。时光的见证，有时候真不知道是好是坏。。。            
(4星)	 记得当时年纪小，长亭外，古道边~            
(4星)	 当时看的感觉就是，张智霖很帅啊~            
(5星)	 很多年后才知道这部电视剧的名字。            
(5星)	 喜欢张智霖。。。！！            
(5星)	 我一直一直记得的 超级喜欢            
(5星)	 是黄浦不是黄埔，三点水的浦啊。上海黄“浦”江，国民党黄“埔”军校。这里写错了。找了好几次才找到。居然都没人发现。            
(4星)	 主题曲好听            
(NA)	 剧不算长，老是老了些，但还是一样的可看．            
(4星)	 很小的时候看的一部港剧，当年战火四起，上海滩黑帮盛行，两个年轻人的一次偶遇让彼此互生情愫，可惜命运作弄让他俩变成了仇人，爱恨情仇的交加让这部戏变得跌宕起伏，心也随着主人公所牵动。让人欣慰的是结局很圆满，至此长吁一口气            
(4星)	 迷那个时候的KK和张智霖            
(4星)	 只记得张智霖在上面很帅            
(4星)	 就是从这部开始迷我家智霖的。。。果然是——情因你倾~~~            
(NA)	 MS是郭MM的第一部劇吧            
(4星)	 邵仲衡 张智霖              
(3星)	 做错事情的人还扮可怜，不可恕            
(4星)	 现在看还是觉得好看，虽然硬伤也多            
(NA)	 小时候喜欢的男人            
(NA)	 邵仲衡也是一枚帅哥阿            
(3星)	 初中时候，印象很深            
(5星)	 经典的一对            
(4星)	 张智霖，咋那么喜欢你的 啊            
(NA)	 黄浦倾情            
(NA)	 很年轻 很美            
