http://movie.douban.com/subject/2303292/	海豚湾恋人 海豚灣戀人
(3星)	当时看的时候觉得蛮好的，当时。
(3星)	相当无聊
(NA)	当时对中庭哥印象贼深贼喜欢 妈的没想到就是高山峰
(4星)	很久前的回忆~
(NA)	里面的歌很好听！那个时候就满喜欢张韶涵的声音了~~觉得maggie虽然坏···但是真的很漂亮！！
(1星)	男女猪脚一见面就搞得跟生离死别一样 烦躁~
(3星)	许绍洋的发型太。。。
(3星)	每年江苏卫视都在放。。。
(4星)	Angela很灵，其他巨傻……
(2星)	言情..
(3星)	许绍洋那个发型。。。
(5星)	霍建华、林韦君，我的二号情结在这里严重体现了
(1星)	脑残片儿
(NA)	小瓶盖~ 还有紫贝壳~还有蟹棒插贡丸
(1星)	大便
(5星)	多少年后才反应过来华哥那么帅啊啊啊
(NA)	里面的曲子很好听
(4星)	电视台反复播
(4星)	张韶涵刚出道的时候还满清纯的嘛 配乐比电视棒
(2星)	他们的声音怪怪的。
(3星)	那么回事
(4星)	涵的成长见证
(NA)	还是蛮不错的。
(NA)	海豚湾恋人
(4星)	还不算太难看的剧
(NA)	那年暑假开始听张韶涵。
(2星)	真是无聊啊……唯一喜欢的女性角色居然被演死了……男一号跟女一号真是太呕了……
(1星)	。。。
(NA)	从这里喜欢张韶涵的声音
(3星)	一般。
(1星)	不喜歡啦。
(3星)	电视剧 
(NA)	我十四五岁的时候很想去那片海豚湾.很喜欢那座船屋.
(1星)	不喜欢
(3星)	我居然也看了，还写了评论，实在是耍的无聊哦！
(5星)	这好像是我看的第一部偶像剧吧 想起看这剧的时候 我还是个孩子 但也会很感动 还会不好意思的哭 现在想想真是怀念 第一集 达达 海豚 传说 
(2星)	有点扯。
(NA)	怎么这么好看?
(NA)	哪里配了这两个人。。谁他妈找的演员。。= =
(NA)	最最最喜欢的故事与最最最喜欢的明星的完美结合.从此爱上张韶涵和霍建华.那句我真他妈的喜欢你和小红帽的故事是我喜欢钟小刚的理由.
(NA)	没太看下去
(4星)	几年前看的时候还真是很认真的看呢
(NA)	瓶盖
(4星)	命中注定的缘分。
(3星)	身边一个朋友最爱的男人和女人都在这剧里。片子本身留给我的就是几首不错的歌
(3星)	老妈在迷上韩剧之前是一直喜欢看台剧的哈。
(4星)	霍建华好帅啊啊啊啊啊啊啊！
(3星)	当年我还很喜欢她。
(NA)	【2004-08-01】
(NA)	那段时间，QQ友人十个有八个叫小瓶盖
(3星)	印象深刻啊
(NA)	林韦君挺好看的，不对，女配都挺好看的……对男主男配的选择不发表评论。ps霍建华还是该去演受，那么长睫毛演什么暴躁完美主义精英攻啊，太浪费。
(4星)	还不错了
(3星)	男主角真心丑啊
(2星)	喜欢这部剧里的霍建华= =+
(NA)	真是难为许绍洋在各大偶像剧里面装潇洒和气质了
(NA)	张韶涵初中那会儿巨火！
(3星)	我唯一看过的两部台湾偶像剧之一。
(1星)	各种烂，各种丑，各种俗集于一身
(4星)	许绍洋。
(3星)	= =
(5星)	小瓶盖···都是回忆里的事情了。不过因为在回忆里还有影子，所以分数都不会太低。
(3星)	KOKIA的歌用得不错~剧情有点虐……（霍建华的角色好虐……呃……）
(5星)	小时候还多喜欢的。
(3星)	主题曲不错什么的
(2星)	谁都能演台湾偶像剧
(2星)	对张韶涵演电视剧不感冒啊！剧里一叫“达达”，我就鸡皮疙瘩一地了。。。
(4星)	那时候觉得小刚好帅~~~~~
(4星)	说实话 再也看不进去这类的片子了 过去了就是过去了
(4星)	......恐怖男主
(2星)	当年就烦许绍洋和张韶涵。
(3星)	男主那啥了点。。。
(5星)	五分通通给霍建华！！帅帅帅！太帅了，，
(2星)	这个我也看过啊。哎呦。真是。
(4星)	张韶涵的声音很好听，剧情狗血，不过总算是台湾偶像剧里面比较能看的了~至少有一星要给第一集两个可爱的小朋友~
(NA)	那时候喜欢Angela,就买了碟看
(3星)	初中暑假。
(NA)	强势男在这里（钟小刚&gt;.&lt;
(NA)	为了华哥再看一遍。剧情神马的真的够瞎…04年的化妆好可怕Orz还好华哥不化妆= =华哥好帅啊&gt;&lt;
(3星)	不知道怎么弄的，这里我只喜欢林韦君。
(NA)	2003--20042010-11-27 
(3星)	也就原声凑合
(3星)	六年前的記憶。張韶涵那個時候還算可愛，現在就算了。男二號比男一號帥太多，這是怎麼選的主演啊！
(4星)	偶像剧启蒙啊~
(1星)	2004年冬天
(2星)	许绍洋干吗死拽着男一号不放啊！！
(3星)	钟总监大萌
(NA)	好烂啊
(2星)	挺二
(3星)	有的人说不清哪里好 却是谁都替代不了
(4星)	里面每首歌都很好听
(3星)	霍建华啊，林韦君啊。俊男美女的戏看着养眼。
(3星)	好老了啊....
(3星)	YＩ二
(2星)	哎，，，，我看这片子全因为许绍洋，可是悲剧啊，。。
(3星)	原来我年轻时还看过这个....哎...初中哪..年轻呀
(NA)	霍建华一个，还有一个之前的女歌手叫啥来着？我就记得这两人印象不错……反角大反转是最好看的orzzzz
(3星)	霍建华长得那真不错
(3星)	仅仅是回忆而已
(NA)	我拜托许绍洋的国语真的很烂。。。
(4星)	台湾偶像剧始祖！
(NA)	记忆。
(3星)	It is a long long journey。
(3星)	好吧。。因为这部剧我被戏称小瓶盖。。张韶涵初亮嗓音很让我惊艳。。
(3星)	一般般
(NA)	那个原声都很好听吧
(NA)	小霍真抢戏啊
(2星)	许绍洋老师太丑了吧
(3星)	许绍洋的造型让我大叹化妆师造型师神迹之手---对他的印象还停留在薰衣草~张韶涵这里蛮清纯的，嗓音真的很好~
(3星)	……
(3星)	矫揉造作 中意霍建华
(2星)	soso
(1星)	霍建华都不能弥补许绍洋的恶心。
(5星)	张韶涵~~~
(4星)	说实在我很喜欢这部
(1星)	有负分么，这个我真的想给负分
(3星)	台湾偶像剧/无聊啊无聊/全是为了看我的张韶涵小美女
(5星)	一段很久的记忆，依旧清晰。
(3星)	我青春时候。。。
(3星)	小瓶钙
(4星)	许绍洋个老男人。。
(3星)	霍建华好帅
(2星)	两个怪咖
(NA)	it&#39;s a long long journey。。。
(3星)	这部里许绍洋很知性嘛。
(3星)	我第一部熬夜看的电视剧，看到凌晨五点。我萌霍建华……
(3星)	我也看过~
(2星)	许绍洋太油腻了点！！
(NA)	小瓶蓋，歌很輕
(NA)	江苏台现在播。
(3星)	。
(3星)	高中某天睡在木质沙发上看了一点。深深的被开头的神话吸引了。可是一直没有完整看过。10.12.6晚终于全部看完了，大概间断的看了俩星期。涵涵在剧中真是越变越美了，我就看着她不断的往上攀升，直至最高点，那么炫的舞台，那么美的她。这个关于海豚湾的传说，很美。
(4星)	小瓶盖和达达的故事，现在觉得许绍洋真丑
(3星)	还好有霍建华
(3星)	还可以的~小瓶盖哈可爱~
(3星)	小瓶盖，我的天
(NA)	女主眼瘸。
(2星)	张韶涵很会唱
(4星)	o(∩_∩)o...
(2星)	姐..
(NA)	喜欢霍建华`` 
(2星)	张韶涵毁了这片。
(4星)	还不错！～
(3星)	又是一部偶像剧，让我认识了张含韵，歌还很好听
(3星)	恩 里面张唱的不插电版的 jouney 。。（是不是这一拼啊。。。）很好~
(NA)	小時候太可愛。
(2星)	看到许绍洋就想吐...喜欢mandy
(2星)	达达。。小瓶盖。。。出走了
(4星)	 台湾偶像剧 海豚湾恋人 张韶涵 许绍洋 爱情 偶像剧 
(3星)	不喜欢张韶涵演戏
(4星)	54男女主角 只是因为霍建华记录一记
(3星)	現在想想不怎么好看哦。嗯那大概是霍建華那時候吸引人~
(3星)	这部剧就是一部无比虐心的剧，虐完男主虐女主
(3星)	这个时候的张韶涵，多美啊。
(3星)	霍建华表现不错～
(NA)	又是俺娘要看的...娘啊娘...您真神奇...
(4星)	小瓶盖。
(3星)	歌还是不错滴~~~
(NA)	烂
(3星)	唯一的看点是女二
(3星)	霍建华啊...
(2星)	那首日文歌好听
(4星)	才知道原来张韶涵唱歌挺好听的。
(2星)	真心不喜欢张韶涵= =
(5星)	看过好多遍了~~超爱超爱
(3星)	相比许绍洋，霍建华还是好很多！
(2星)	小时候分离-长大了相遇。诶……
(4星)	和其他电视剧一样,我还剩个大结局没看.
(3星)	许绍洋好恶心好恶心
(4星)	涵的出道作品 当时看的我穷哭-  - over the rainbow好听 
(NA)	一直觉得张韶涵长得很奇怪。。
(3星)	我觉得徐婕儿很不错...
(NA)	一边看。。一边骂。。继续看。。继续骂
(NA)	许绍洋显得很老。不太感觉
(2星)	本来是冲着张韶涵才去看的，没想到她在里面的表现是如此之sui......
(3星)	温情
(4星)	喜欢那两个配角，bs主角
(3星)	我还真看过这剧，现在想来有点傻，外星人一样的张韶涵，当然她现在很好看；普通话不准的许绍洋，当然他现在更锉了...两个孤儿长大后纠葛的命运和感情，就是这些啦
(NA)	许绍洋 我太不喜欢你了。
(3星)	霍建华开始我还是觉得满帅的
(5星)	不错的一部。。算台湾不错的。真的。好怀念以前的Angela
(3星)	海豚湾恋人 
(3星)	要是真能在海湾看见海豚，我会觉得很幸福。
(NA)	还是311
(3星)	命里的爱情 
(4星)	还是感叹于张韶涵的嗓音。好棒的声音。
(4星)	这部小白剧，居然是我有段时间半夜里必看的电视。看来我是无聊透了。。。
(3星)	小瓶盖好肉麻....
(4星)	當時覺得還好。
(NA)	还好
(2星)	当时觉得霍建华挺帅的...
(4星)	有这么好的男人么。有这么好的男人么。有这么好的男人么。
(1星)	典型的台湾剧，哎
(3星)	片头曲很好听
(3星)	可看可不看。
(NA)	呵呵～又是台剧～
(4星)	嗚哇~算是較有水平的台灣偶像劇~霍建華不錯~
(4星)	同妹妹一起分享，虽然偷偷摸摸，却是当时纯真的快乐！
(3星)	哈哈 原来我还喜欢过许绍洋 ！
(3星)	为什么我看过这么俗套的剧呢...
(NA)	海豚湾恋人
(5星)	每次想到他们小时,小瓶盖和达达,都觉得很温馨.
(3星)	喜欢韶涵
(1星)	男女主角都不喜欢.
(5星)	当时很喜欢的喜欢易天边给人的感觉。音乐真的很美啊
(3星)	都不知道放过几遍了...
(3星)	中间跳过了很多集
(NA)	许绍洋那发型。。呕啊！
(3星)	灰姑娘的爱情
(NA)	喜欢张韶涵
(1星)	咋能演得这么傻呢
(4星)	清纯,就够了
(NA)	 我不是个喜欢偶像剧的人，在同龄的女孩子都在津津有味看着时，总是很不屑她们，不过这部确是我仅看过喜欢的几部的一部
(5星)	音乐很好。
(NA)	一去好多年
(3星)	三颗都是因为霍建华。。。。 .
(5星)	但是我希望珊妮和泽亚在一起 其他人就无所谓了  都得血癌也行
(NA)	启蒙
(4星)	当年好爱啊
(3星)	天阿 我竟然还喜欢过许绍洋！= =
(3星)	补遗
(3星)	我的青春年华= =
(3星)	当年的必拜剧
(3星)	有点小矫情，但是歌很好听啊~···
(3星)	好久以前看的了。。。
(4星)	啊。。。
(3星)	矮小的许绍洋
(NA)	当年一直想不通为什么是许先生做男猪脚
(3星)	当年就被霍建华秒到了！
(3星)	妈妈追的..大猩猩在唱遗失的美好 
(4星)	这剧火了好些年啊 全靠江苏卫视 喜欢里面的许绍洋 那时的霍建华多好了，现在成什么了 岁月这把杀猪刀
(3星)	好青涩的张韶涵
(NA)	当年和姐姐看了好多遍 许绍洋真的很帅 小瓶盖这小名一直没忘。
(3星)	充满槽点，唯一是让我认识了霍建华GG
(3星)	初三的时候看的 我真是没品那时
(3星)	中学时代的寒暑假。。。orz
(3星)	小时候蛮喜欢的，现在老了，看不动电视剧了。。。
(NA)	那时候还挺喜欢许绍洋的~~里面的歌很好听的撒
(5星)	原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~
(2星)	我当时怎么忍心看了
(4星)	想当初还是最喜欢里面的钟晓刚~
(5星)	看的第一部台剧啊啊啊啊
(3星)	就觉得霍建华好帅，当年
(NA)	小瓶盖的日子
(4星)	www
(3星)	在偶像剧风靡的时候，钟晓刚亮人眼球。忘记这部剧同样的画面看了多少遍，每逢假期，江苏卫视都会重播，关键是每次看都是那几个画面，泪目。。。
(4星)	当年的张韶涵是我心中的美女啊~
(5星)	嗯……日文插曲
(4星)	有些片子要看年代，要看年龄。它属于我们的小时候，刚刚进入青春期的时候。不能用成为了苛刻大人的眼光去看，也不能用现在时代的心智去看。用心吧。
(4星)	小瓶蓋，么么
(3星)	小学看的，当时还蛮迷的
(3星)	纯粹因为霍建华！
(1星)	给霍建华的  
(3星)	霍建华很帅
(3星)	我只记得霍建华和插曲白雪
(5星)	不明白为毛天边不选霍美男。。。
(4星)	喜欢里面音乐
(NA)	被看
(3星)	原来看我过这么多电视剧
(NA)	小時候的記憶啊。。 
(3星)	张韶涵那时候多纯啊！！！
(3星)	看过人家的爱，更想找爱！ 
(2星)	那时候 很哈  霍建华来着
(3星)	第一集超感动，还是两个小孩赚泪水
(3星)	早年间那时候她们多爱看这个啊...
(4星)	钟晓刚虽然看起来装，但还是很帅滴
(5星)	那个时候不喜欢张韶涵来着&gt; &lt;因为以为她是小三什么的（剧里面）
(3星)	初中有個女生同桌那時好喜歡霍建華的。
(4星)	从那时候我就发现霍建华的帅了
(3星)	三颗星都给霍建华！！！！
(5星)	是我小时候很喜欢的一部电视剧。我不知道为什么会这么少分，但是我觉得真的不错。
(2星)	喜欢曼青和小刚
(3星)	拜托我那个时候可喜欢许绍洋啊 还是高中的时候 每天晚上10点会追着看明珠电视台啊啊啊 
(3星)	看的第一部台湾偶像剧~
(5星)	这个真的挺值得推荐的 看看蛮舒服……
(3星)	音乐不错。。。。
(4星)	为了小霍当年惊艳到我，给个4星~
(4星)	那会儿真心喜欢这纯纯的爱~~
(3星)	那时候就觉得台湾是有多缺人啊找了这么低海拔的男人当主角。不过journey还是蛮好听的，到现在都记得歌词==
(NA)	第一部看的最好看的偶像剧。
(3星)	OST棒到极点的偶像剧,所以就算是多年后我都记不起剧情了,Kokia的白雪想起我还是很沉醉~
(NA)	想当年，江苏卫视一遍又一遍地播啊。。。
(3星)	想到家里还有原声带，磁带的哦~
(3星)	歌还不错
(2星)	除了第一集
(5星)	真的太感人了，尤其第一集，每次想想都想哭。。。
(4星)	就是这部剧爱上的霍建华¥
(2星)	台剧一直不是我喜欢的，爱得死去活来，哭哭啼啼，不喜欢，假，但张韶涵歌曲还是好听的。
(2星)	扯淡。为么曾经那么有名呢？没有新剧，老剧看着也不好。
(3星)	前面小孩子那段挺感动的 后面一般
(2星)	当年有个人非要我看，说女生都迷恋男二号，但男一号那部分才是真的爱情。但是我真的只注意到了霍建华……歌很好听
(3星)	张韶涵的那时候实在不怎么样啊……不过歌蛮好听的
(5星)	人生中第二部偶像剧，当时快读完小学了
(1星)	张那时候真难看
(NA)	偶像剧
(NA)	和妈妈一起看的 那个夏天天特别蓝
(4星)	歌好听
(4星)	张韶涵那时候是个萌妹子，虽然是烧饼脸啦XXXXD
(2星)	感覺是紅了張韶涵。為什麼男主角不是霍建華！！！
(NA)	一年级时看的第一部偶像剧.....
(2星)	太一般了
(3星)	因为这个接触到张韶涵的歌，前两张专辑真是不错
(4星)	小时候特别喜欢的偶像剧，那会一到点就守在电视机前面，算是童年的回忆，对美好爱情的向往吧。
(3星)	还是白豆腐帅~~
(5星)	好喜欢。
(5星)	很喜欢海豚湾的张韶涵
(3星)	“记忆是阵阵花香……”
(3星)	许绍洋是个悲剧。。。。。霍建华从此。。。。。
(4星)	有缘的人注定会在一起，即使他们分开很久，命运中会让前世就已约定今生的人相遇。
(4星)	当时看得时候好喜欢，无论里面歌曲还是内容，每个小女生都会有自己儿时玩伴，如果可以可他永远在一起，多美~虽然偏离现实，但还是希望着，祈祷~！
(5星)	好看的鬼片！
(NA)	戆。。
(NA)	青春的回忆 小瓶盖的声音.....
(5星)	华哥好帅
(3星)	曾经迷过~边煮粥边看的，大概高二刚开学时吧~
(5星)	还是很温馨的 不过我喜欢许绍洋啊 不明白为什么。。
(NA)	因为喜欢张韶涵吧。许绍洋很耐看咧
(4星)	霍建华！霍建华！我就是喜欢帅哥！那时候还很喜欢张韶涵，现在无感了！原声带还有呢，那时候很迷啊，哈哈。。。
(1星)	除了歌...........其他就..........
(3星)	好吧 我也看过。。
(3星)	劳资当初就脚得霍建华好晒气！！！
(3星)	因为喜欢海豚湾这个名字看的这个剧~~
(1星)	从不曾觉得好看过...
(5星)	那时年少！
(NA)	看了两遍
(3星)	讨厌男主角
(NA)	一直木有看到结局TT
(3星)	。。。。
(3星)	我始终带着你爱的微笑。
(5星)	这是我在初中看的电视剧，接触的比较早的电视剧之一了，这部电视剧奠定了我对帅哥的要求，就是戴眼镜，穿西装，喜欢里面的徐泽亚，喜欢他为易天边做的每件事
(NA)	為了霍建華才看的。根本不喜歡張韶涵。
(3星)	没有眉毛的小女孩。
(5星)	那会儿超级迷恋许绍洋~
(2星)	唯一记忆是霍建华强吻张韶含，许绍洋哭的口水流出来。
(3星)	剧情还可以，男主要是换一个人就好了。虽然许绍洋当年在薰衣草里面很帅，但是也只是在薰衣草。。。
(2星)	我也没看完这部... 
(4星)	虽然剧情不怎么样，但是张韶涵也是在演自己，歌曲蛮好听的，霍建华也因为这部剧红了。
(2星)	男主角是硬伤啊
(NA)	张韶涵刚开始红
(3星)	男二男二
(4星)	一段爱与传说的故事
(5星)	话说，中间好几段哭的稀里哗啦的~~
(3星)	唯一的收获是霍建华。
(4星)	直到离歌笑我才开始待见霍建华，没眼力啊
(3星)	刚接触的第一部偶像剧
(3星)	那个时候最爱狗血的味道
(2星)	我怎么看过这个
(4星)	张韶涵~
(3星)	霍建华啊！！当年就觉得ZSH眼瞎了= =
(3星)	三颗星是给霍建华的。
(3星)	霍建华徐婕儿林韦君什么的，都很美啊，只对男女猪脚无感
(NA)	台湾偶像剧心中第一
(3星)	岁月不饶人啊，我已经不是小女孩了
(4星)	2星给坚强勇敢的易天边，2星给完全秒杀我们的钟小刚。
(NA)	这个不好看
(4星)	看过的唯一一部偶像剧 .
(3星)	许绍洋帅吗？张韶涵好看吗？也就一般般嘛。。
(3星)	童年的回忆.....
(3星)	张韶涵的歌不错
(3星)	两个演技都不是很成熟。
(NA)	当时爱死霍建华了都
(NA)	选择许绍洋就对了，男二怪怪的
(4星)	桔梗就是这么来的O(∩_∩)O 
(NA)	那时候的数学竞赛123
(4星)	当时还蛮喜欢这个偶像剧的唉
(4星)	霍建华啊~~哈哈~
(2星)	看的断断续续、、
(NA)	这个也是很多人的回忆吧
(2星)	只要相信期待就会成真
(2星)	哎。。
(3星)	初高中看的！
(3星)	拜托不知道为啥最后选了许绍洋- - over the rainbow很好听
(2星)	真心不喜欢张韶涵
(4星)	4星给angela~最初的美好~~
(3星)	差。
(3星)	有一颗星是给霍建华的
(5星)	剧情有点狗血。。。前半部分很好，后面有些差强人意。。。
(4星)	送给曾经年少的自己。
(3星)	当时看到张韶涵的眼睛和声音简直快惊为天人！
(NA)	没看完~ 就记得张韶涵的好皮肤和无辜大眼睛
(3星)	哎
(4星)	现在感觉那时美好 的感觉真的像是漫步在云端
(4星)	经典啊 当年多少人拿着海豚啊 有木有
(NA)	俺想起来俺看过哦
(NA)	吾辈年轻时口味重
(2星)	这个组合。。随风去吧
(NA)	霍建华，你后来到内地发展了，就不喜欢你了
(3星)	那时候leo都不看在眼里了  就看钟晓刚了  哈哈
(NA)	为何年轻时候总是饥不择食?
(4星)	张的声音确实好，不过缺乏柔软性。。。
(4星)	初二。暴漏年龄了。
(NA)	当时周边一些人第一集看哭了呢 我哭了没啊我 不知道 
(4星)	许绍洋啊，霍建华啊。
(3星)	台湾偶像剧 ...啧啧
(3星)	第一眼看到霍建华就刹到我了，把我们男主衬托的暗淡无光！
(3星)	音乐不错
(1星)	张韶涵就是偶像剧杀手！！
(4星)	好歹初中的时候还看了很多遍
(2星)	张韶涵出道作品
(3星)	瞄过。
(3星)	你为什么不选霍建华。。。
(3星)	又是許紹洋啊
(NA)	为什么我听到片头曲会想到霍建华，脑海会出现他在明朗阳光下静静的模样......
(4星)	想当年还很喜欢那首旅行
(2星)	张韶涵唱歌好好听阿【抠鼻
(3星)	为什么不让霍建华和林韦君当主角啊啊啊，霸气的音乐制作人和大家闺秀也可以很有爱的嘛
(5星)	那时候的张韶涵真的很特别！
(4星)	那一年的经典
(3星)	【三星半】
(4星)	记得那个时候觉得霍建华好帅呀
(5星)	好纯哦
(3星)	为了霍建华的出演和张韶涵的歌，我给了三星
(2星)	。。。
(4星)	好好好，百看不厌。小瓶盖。霍建华颠覆了下形象啦。看得蛮心痛的啦。都喜欢都喜欢的三个人。
(1星)	张韶涵还可以再装纯一点
(5星)	从这部剧开始疯狂迷恋张韶涵
(3星)	额。。霍建华
(3星)	就为了看 张韶涵啊
(3星)	更爱霍建华，宁可他悲剧啊。天边，海豚湾，请允我和你漫步云端。童年玩伴的恋情长大后再续，明明和小霍才是日久生情！
(2星)	当时看得津津的，现在想想浑身起鸡皮疙瘩。
(4星)	小时候特别感人~~~
(5星)	这部也让我疯狂过啊 钟晓刚啊
(4星)	扣一星为了张韶涵最后没有和霍建华在一起。。
(4星)	挺喜欢的。
(4星)	算是人生看过的第一部偶像剧吧。
(4星)	鐘曉剛！鐘曉剛！鐘曉剛！鐘曉剛！鐘曉剛！
(4星)	当年的我好爱霍霍啊~~~~
(4星)	小~瓶盖！
(3星)	小瓶盖~~
(3星)	当年居然对霍建华无感。
(3星)	为啥男主不换一下
(4星)	我喜欢天边
(2星)	张韶涵作为歌手出道作品。
(4星)	这是我青春的回忆 曾经很爱很爱的电视剧 很美 很浪漫 很美好~~ 
(4星)	里面的配乐都很灵
(NA)	恩。男猪脚真的奇怪
(3星)	我喜欢小刚！！！
(4星)	最感动的是 她一直在为梦想努力
(4星)	有的人说不清哪里好 但就是谁都替代不了..
(NA)	霍GG一直都很帅啊
(3星)	我只是来看霍建华的！
(4星)	霍建华在这部剧里多么惊艳啊
(4星)	让我认识了霍建华。
(3星)	知道张韶涵会唱歌，over the rainbow的惊艳
(NA)	狗血剧.. 其实我不喜欢许绍洋 也不喜欢张韶涵
(3星)	狗血剧
(3星)	我不堪回首的少女loli心啊。。。
(4星)	很喜欢许绍洋的出演
(4星)	我为什么觉得许绍洋在里面很帅？！
(4星)	一般
(3星)	那个时候看，还挺喜欢
(2星)	真特么假
(2星)	不喜欢...拖拖拉拉..只觉得霍建华挺帅..不过有点小白脸...
(4星)	好早好早之前看的偶像剧了～还不错吧
(3星)	遗失的美好
(4星)	张韶涵还是以前比较灵
(4星)	涵比较优秀的一部偶像剧
(3星)	星星都给白豆腐
(3星)	感觉许在里面很娘...
(NA)	記得看完這片  我跟閨蜜說霍建華好帥哦  她說許紹洋好帥哦  =-=
(3星)	天啊，好久以前的啊，我都忘了，只记得达达~达达~
(4星)	小瓶盖 歌很好听
(5星)	很好看，~~~~~~
(3星)	许绍洋，我喜欢的~~张韶涵在里面的歌声很有磁性呀，总的来讲还不错，是不是因为这个海豚挂件才那么火呢？恩，很有可能~~
(3星)	印象中的了，貌似当时印象多少会觉得有些粗糙
(3星)	呵呵呵
(2星)	实在没有办法抑制想弄死男一的冲动。。。
(4星)	那时候好喜欢看啊。。
(3星)	张韶涵唱歌好听
(4星)	霍建华很有型……
(4星)	不说剧情，但说里边每个人都很好，就让我很喜欢了~~~
(3星)	钟晓刚超帅的！！！！！！！
(3星)	这部剧最伟大的地方就是发掘了霍建华，可惜为什么他后面跑去拍了那么多古装片？我真是理解不能。。他这个人是天生就要穿西装的好咩！
(3星)	歌好听
(2星)	受够这种童话了！
(3星)	霍建华很帅，许绍洋真丑，林韦君很美，张韶涵比在mvp情人里好看很多。journey好听。
(2星)	当年就非好感
(3星)	第一次知道霍建华，那时候他的牙还不白
(3星)	。。。
(2星)	不喜欢男主
(3星)	断断续续看都不知道看全过没有- -。
(3星)	怨念 霍叔难道不比那个许绍峰更有资格男一？
(1星)	同样很无聊。
(5星)	ANG
(4星)	四颗星是高二时的我打的。
(4星)	喜欢霍建华，不喜欢达达
(3星)	里面的歌很好听。。。那时候很爱钱韦杉和里面真的真的超级超级帅的霍建华。。。话说我问过这么多女生没有觉得他这里面不帅的。。。
(3星)	遗失的美好
(3星)	小时候还挺感动的= =
(3星)	嫩啊，嫩啊。。。
(3星)	遗失的美好
(3星)	歌不错听~
(5星)	很喜欢！
(3星)	放烂的片子，再也不想看了。
(4星)	这部片子告诉我人长大了对爱情的理解也会不一样的~
(2星)	当时的剧都流行先播一段小时候。。。于是没有转圜余地的男女主角要在一起
(3星)	歌好听。电视剧情节俗了点
(3星)	霍建华真的帅
(3星)	忘了这部还看过，喜欢当年的张韶涵。
(2星)	受不了许绍洋的声音，觉得张韶涵很丑，霍建华也没多帅~~~
(NA)	这又是另一个时代了
(NA)	为什么大家都忘了这里面有霍建华啊啊啊
(3星)	许绍洋这种为黍么不整容就出道…
(NA)	哎呀我的年轻岁月是怎么了。怎么会有这么多xxju!!
(3星)	这部看得断断续续 都是电视上看的 
(3星)	值得纪念的一部童年偶像剧，话说自从看过这个之后，我终于明白了什么叫做主角是用来虐的，配角才是用来爱的。依旧走的是什么童年约定之类的东西，可怜了霍建华和那个第二女主，我支持他俩啊啊啊啊，张韶涵算神马，我从来都不喜欢她
