http://movie.douban.com/subject/3727341/	囧探查过界 冏探查过界
(3星)	 没看完、            
(3星)	 最后的结局太草率。            
(4星)	 977~~~~~~~~            
(NA)	 我唔想leng下世，下世冇人知会点，我下世定是做人，做猪还是做狗啊，世界鬼咁大，我会去非洲，欧洲仲系亚洲啊，我哋会唔好撞翻啊，撞翻又试会唔好记得对方，冇人知个，我只知我而家中意你，你又中意我，我想pei你啊，我想同你一生一世            
(4星)	 还不错。本来还以为是上世纪的片了。。。。。颠覆的满厉害的。和鬼有关的搞笑喜剧。            
(5星)	 好看死了，好多经典台词            
(3星)	 体裁不错 不过不是我的心水            
(3星)	 为什么我觉得夹心在这个剧里还蛮可爱。。。TVB捧人的策略果真是牛气的。。。            
(4星)	 夹心原来可以这么可爱啊~！❤            
(3星)	 看完後唯一的感覺就是王喜好像不那麼丑了            
(3星)	 无聊            
(3星)	 打发时间的好电视剧。一直很喜欢王喜，从烈火雄心开始。钟嘉欣只能说这部剧把她定位得太弱智了。。。            
(4星)	 真的很囧，感觉编剧脑子被雷炸过，演员演得不错，故事很好玩！结局没看懂……            
(NA)	 哈哈，小得小得，连我都喜欢你啊            
(4星)	 題材還蠻新的，看到最近才發覺 這其實算一部科幻劇~            
(4星)	 不喜欢这个结局            
(4星)	 喜欢王喜，春节时在家看的dvd，还蛮搞笑的，爱巡逻查案的鬼，不喜欢钟嘉欣            
(4星)	 当破案剧来看还是不错的            
(NA)	 王喜的小眼睛真销魂 呵呵            
(3星)	 一般吧，不灵异也不侦探            
(4星)	 除了结尾太囧之外，我还挺喜欢的，尤其是王喜的小眼睛            
(2星)	 囧            
(5星)	 啧啧，这个春节就靠这个搞乐的！~~不赖，有时间大家也看看啵！            
(3星)	 钟嘉欣怎么可以和喜喜搭档。。。是要毁了这部戏嘛。。。            
(2星)	 受不了了            
(3星)	 还蛮好笑的。。。            
(4星)	 牙痛良药            
(2星)	 真心看不下去……钟嘉欣实在看不顺眼            
(3星)	 最後全變成鬼了            
(3星)	 装装可爱卖卖萌            
(4星)	 钟嘉欣这个造型啊。。。。            
(NA)	 太玄虚了。。。            
(3星)	 终于看着刑侦剧有点突破了- -可惜钟XX太不讨喜。            
(4星)	 个人觉得比刑警有创意的多 案情扑朔迷离            
(4星)	 很搞笑很有趣            
(4星)	 钟嘉欣居然很可爱，改观了改观了，其他演员都很喜欢啊~            
(NA)	 我真牛 周末居然给看完了            
(4星)	 变鬼之后变好看，钟包子表现还不错            
(3星)	 还好啦。。。            
(2星)	 囧片。            
(3星)	 调节紧张感的喜剧 还是挺有新意的            
(4星)	 搞笑的几个哏还好，但是结尾也太烂了点吧！            
(3星)	 嗯，这个确实够囧。            
(3星)	 能不能不要钟嘉欣演……            
(3星)	 王喜太可爱了，李思捷也不错，黄浩然同学很有进步，嘎嘎            
(3星)	 还蛮逗的。陈国邦的表演好浮夸，李思捷和黄浩然这一对很有意思。            
(4星)	 还真是越往后越精彩 看前面快睡着了 到后面才惊心动魄呢            
(4星)	 结局也太囧了点吧。。。。不过还是蛮好看的，那三个男的真的好搭的。            
(4星)	 很有喜感，也很囧，用来放松很不错            
(4星)	 黄毛丫头太可爱了 囧里个囧            
(3星)	 港版人鬼情未了            
(NA)	 结局太囧            
(3星)	 到底是不是灵异剧            
(3星)	 看钟嘉欣那么大额模子在那里撒娇。。。真是浑身不舒服诶            
(3星)	 我还挺喜欢这种有个小鬼的电视剧的            
(4星)	 给四颗星是因为笑过了。笑一笑，十年少。            
(4星)	 你知道的，tvb是不拖沓很緊實不用快進的保證，所以當你滯留學校的時候，這個就自然是推薦的了            
(3星)	 開頭沒期待發現竟然還ok看 後面就....            
(3星)	 开始比较搞笑，后面越来越扯。            
(3星)	 林峰是植入广告吗？            
(3星)	 钟嘉欣在里面太太太傻了！！！！            
(4星)	 我又极限了。。王喜这张脸就是讨喜            
(3星)	 结尾大囧啊！            
(2星)	 各种不给力。            
(4星)	 钟包子终于演了个顺眼的角色            
(4星)	 钟大哥这部戏里让我相当待见，和王喜的西皮还真的不错，而且里面的男演员几乎都是挺喜欢的，黄浩然这几年的确上去了。最后结局意料之中的崩掉了成为科幻片，不过胜在题材新颖讨喜。我对这个无剧不腐的世界绝望了！            
(4星)	 有父爱哟~            
(3星)	 好好一部腐剧被毁了……            
(4星)	 挺好看的，就是收尾仓促了点~            
(3星)	 前面都挺出彩的，可是结局太狗血了。钟嘉欣这次没让我狂按快进。。            
(2星)	 越到后面越烂啊...我竟然还看完了...            
(4星)	 其实蛮有意思的，这部电视剧~~            
(4星)	 本以为又是烂剧一部，结果还可以，里面的鬼还蛮可爱的            
(5星)	 活着的每一天都是赚回来的，因为背后要付出很大的努力，可能不是你牺牲，但总有人牺牲，所以要珍惜，更加要珍惜今生能在一起的日子！            
(4星)	 个人认为是钟嘉欣演的最好的一部            
(4星)	 不知为啥越看越好看            
(4星)	 不错。不过没想到男女主角都死了……幸好有鬼魂的出现。            
(4星)	 居然觉得钟嘉欣不那么讨人厌了！！！真是奇迹啊奇迹！！！！！            
(3星)	 钟嘉欣某些衣服有些out。。。            
(5星)	 好搞笑的肥皂剧~~~~            
(3星)	 从其他的角度来写查案，算是不小的突破。李思捷演的黄小虎很闷骚，呵呵。            
(3星)	 王喜胖了，钟嘉欣还是疯疯癫癫的感觉。            
(3星)	 剧情很囧！            
(2星)	 越看越无聊，越看越弱智            
(3星)	 2010            
(4星)	 烂尾了~            
(1星)	 这电视，看过第一集我就不想看了，最近不知道是不是越来越难以满足了            
(4星)	 算是轻松小喜剧，结局不是很喜欢。。呃，最近的TVB都喜欢不完美，，总是喜欢让一个人死掉哇，··            
(3星)	 蛮有趣的开心鬼现代演绎            
(5星)	 其实还蛮好看的~编剧有厉害            
(3星)	 钟嘉欣很可爱~王喜、黄浩然演太好了，实在是很欢乐            
(NA)	 看了法证先锋中的汀汀才对钟嘉欣有点喜欢，当然她在法里演得有点假，不过这部戏看着真有意思，8集时，如果编剧真让她们灵魂交换，这戏就无聊了，也太扯了，没想到不是这样，我是看了4集后，再看下去才觉得这戏有点意思！            
(5星)	 钟嘉欣好可爱！            
(5星)	 那个977好可爱哪            
(4星)	 结局太过匆忙，不过越来越喜欢钟嘉欣了。            
(3星)	 轻松            
(3星)	 本来没想看 可今天实在是。。哎就看了~ 没想到还可以继续下去。 毕竟有王喜嘛！！ ~~~p.s.包子女神真是囧到不知所谓~ 还有追林峰的桥段。。。。。编剧你？？“不過TVB嘅嘢不難估~~~~~&#34; 哈哈哈^^             
(4星)	 受不了钟嘉欣，受不了钟嘉欣。。            
(1星)	 最可怕的是，明明钟嘉欣演的很囧，却哪部戏都有她。。难道无路可逃了吗！！            
(4星)	 好看啊！！！钟mm不怎么讨厌了            
(3星)	 我是搞不懂爲什麽那麼多人不喜歡鐘嘉欣，是不是真是人云亦雲，被一些人一鼓搗，自己也就這麼認為了？            
(NA)	 戆居居~~太可爱了~~被上身后都是锺意得的说话口气~            
(4星)	 哦哟喂，其实后面还挺搞笑的，看得也挺欢腾的，所以不管冏不冏了，给个娱乐分！&gt;3&lt;。其实像得仔这样做鬼，还蛮开心鬼的，可以这样玩。欸。最后一集实在是太鬼马了。先来七龙珠雷轰手，后来还来世兄弟情。哦哟哟。就这样吧。看得开心就好～～王喜这个角色还蛮13的，估计如果真的，早有医院接收他了            
(2星)	 夹心是毒药            
(2星)	 最后死人都变成超人了是怎样？真的是有够囧啊！！！我到底是有多无聊才会看这种剧啊。。。            
(3星)	 钟嘉欣还是一样让人无感。结尾处的【九年后】删去更好。            
(4星)	 看到了第五集，除了钟嘉欣，其他人的都很有意思。。有人说钟嘉欣演技差扮可爱，这次我算是知道为什么了。。李思捷终于出场鸟，帅气帅气帅气~等你加入私家侦探社啊！——没时间追看了，算了吧。。            
(NA)	 又有人格分裂 香港究竟有几多人格分裂。。。            
(3星)	 TVB你改改狗血的结尾好吗？            
(4星)	 挺不错的！            
(4星)	 1：最爱李思捷的王小虎，和黄浩然的周家升对手戏基情四射啊啊啊啊啊啊…… 2：亲情戏很棒，每场都看的我眼红红的。             
(3星)	 tvb永远是我游戏挂机无聊时的调剂品(▔/﹏\▔)            
(4星)	 这两年追的紧的一部了，喜欢            
(4星)	 喜仔依旧那么搞笑，果然这种十三点的角色最适合钟嘉欣了，不过没她这个女主说不定更完美，这戏整部都在推阿峰的新专辑，笑死人了！推理部分要比近年抄得乱七八糟的剧都有逻辑点，有当年的编剧风格！            
(3星)	 近些年,TVB已经疯魔到不把人拍死不能结尾的地步了~~            
(3星)	 囧~！其实看一看还蛮欢乐的！            
(4星)	 脑瘤，人格分裂，鬼上身，人鬼恋，牺牲小我。麻痹的囧死了            
(2星)	 神奇的剧集...勉强看完了....            
(4星)	 嘉欣居然演鬼说~  哈哈~  可爱~            
(5星)	 喜欢得仔，九孖七，纪安居，我开始都没想到得仔是鬼，喜欢看            
(3星)	 无力吐槽钟嘉欣的装二。            
(4星)	 挺好笑的嘛。            
(4星)	 喜欢钟嘉欣呐，~            
(4星)	 不喜欢钟嘉欣，喜欢苑琼丹            
(4星)	 也不错~搞笑爱情剧~            
(3星)	 李思捷好好玩            
(3星)	 能看下去，但是越到后面越无聊            
(3星)	 钟嘉欣演的得崽 好可爱的            
(4星)	 到狗狗身上那段 很搞笑。。            
(3星)	 放下的和放不下的，看似囧其实很温馨             
(4星)	 这部片子有很多意外，想不到一向嬉皮笑脸的蒋志光会这么阴毒，不过好人形象太久，演坏人突然有点好笑。大家长的石修也开始不修边幅和搞笑了~陈国邦以前对他不熟悉，第一次看到他以为是黎耀祥呢，发觉也是个有演技的演员。人的牵肠挂肚东西很多，失去的不能再重来。            
(3星)	 钟嘉欣在这部剧很二啊            
(4星)	 挺轻松的，一开始是被钟嘉欣囧囧的样子吸引了，后来黄浩然和李思捷相遇后。。。哈哈            
(4星)	 风吹鸡蛋壳，情散就人安乐。。几适合单身看的喇            
(4星)	 #观影录#这是一部很轻松很幽默的片子，还略带查案推理，有人评论钟嘉欣在这部片子中有所开窍了，不错，两年来一直被压抑的她这样略带娃娃气的表演很到位，很值得她自己深思。            
(3星)	 记得和Darling一起看 哈哈哈            
(2星)	 20集！竟然看完了，得负责任的说介不是tvb史上最难看的剧，但是也够一说了，真是太有“喜感了！目前仍处在无语中。。。亲朋好友们，慎看~            
(4星)	 囧。。。不过不知道从第几集开始就开始有看头了            
(4星)	 第一部听粤语的片            
(5星)	 钟嘉欣装嫩还行            
(5星)	 很欢乐            
(3星)	 如此多的桃色纠纷，又是在看未来的故事，非常囧囧有神的结局呐!            
(4星)	 明目张胆的女同情节，TVB你是肿么了？            
(3星)	 钟好弱智。            
(3星)	 夹心毁了~            
(3星)	 其实钟嘉欣不错嘛            
(3星)	 没有很好看咯。。            
(2星)	 不喜欢~怪怪的~钟嘉欣演戏感觉需要人带动~偶尔碰到很多高手她似乎就会提高不少~如果么有的话又打回原形~反正这部不咋滴~            
(4星)	 轻松 搞笑             
(3星)	 汗 剧中最大的包袱 一开始就被我看出来了 后面也不觉得有亮点了 不懂为什么钟嘉欣演戏也总是一副花家姐的样子~            
(4星)	 其实还是挺欢乐的            
(4星)	None
(4星)	 搞笑啊搞笑。他破案作弊。            
(4星)	 王喜，钟嘉欣，李思捷，黄浩然，这个组合我太喜欢了，太囧太贱了。哈哈！            
(5星)	 一部评分不高的片子 却让我惊喜 看TVB其实一向感觉都是不疼不痒的 但这部居然在轻松搞笑之余 很多点又能让我感动~~~ 王喜和钟嘉欣都那么可爱  喜欢他们的互动             
(3星)	 还是蛮有喜感的            
(4星)	 我觉得还挺好看的呀~~~            
(NA)	 挺可愛的一個小港劇             
(5星)	 就...没人能比她扮得更可爱了   还是会感动于最后的「你一定要记得我」            
(NA)	 钟炯炯演得真像，适合你            
(2星)	 毫无萌点有木有！！！！！            
(5星)	 哈哈哈哈。。。。笑死我了。。。。。。黄浩然、李思捷你们要定型笑星了吗，哈哈哈哈。。。。。。。。。。            
(4星)	 我个人认为感人又搞笑，值得一看            
(4星)	 王喜发福很多了啊，不过钟MM不错，推荐一个吧            
(3星)	 钟嘉欣好像在这部里面没那么讨厌了。            
(4星)	 比我想象中好看很多~鍾嘉欣這個角色好太多了~王喜依舊那麽吸引~！最後有不少感動位。。。            
(5星)	 背景音乐吉他曲好温馨。能想起好多事。小故事。大智慧。第13集的狗狗我爱死了。太可爱了啊。2011.9.末尾 Haydon            
(3星)	 就是什么都给我猜到了            
(5星)	 挺不错的。。有点搞笑！~            
(3星)	 钟嘉欣第一次让我觉得她不再讨厌，甚至很可爱！她适合这种无脑又纯真的角色，得仔很可爱的说！            
(3星)	 怎么说呢 结局雷到我了            
(3星)	None
(3星)	 結果更奇怪            
(2星)	 一颗星给这个故事背景的设定，本来做个稍微严肃一点的通灵破案题材大有前途，非要恶搞的这么没水准。一颗星给以前喜欢的王喜。。。这个剧让我失望了。特别说下钟嘉欣，我本身不讨厌她，可是这部剧她有够恶心            
(3星)	 王喜胖了好多啊~~~~            
(4星)	 蛮好笑，得仔和憨居居的感情戏不多但最后很感人，王喜的一个眼神就足以打动人。结局有点囧。。但整个片还是蛮好笑~            
(5星)	 喜欢！！！！            
(3星)	 不错的开局，每集内容都很紧扣，不错，直到18集开始，整部剧崩盘了。。。            
(3星)	 人鬼殊途            
(3星)	 对钟意得实在无感 搞的有点过头了            
(5星)	 去年看过，喜欢TVB的探案剧  2011-8-17            
(4星)	    很欢乐，钟嘉欣在里面很可爱，角色还蛮适合她得            
(4星)	None
(3星)	 真的还挺好的。。。            
(3星)	 新奇的。            
(2星)	 尼玛太搞了吧、最后竟然是鬼打群架、尼玛尼玛TVB你坑我！！            
(5星)	 这部片子真的拍得很好啊，在不知不觉中告诉你关于死亡、放下、原谅的故事，让人有所领悟，发现生命中对你什么才是最重要的，才能更好地生活。推荐有空的都可以看看阿。            
(3星)	 最后一集简直是屎！夹心这里面可爱了~小虎和阿升绝对是一对啊不解释！            
(3星)	 觉得钟嘉欣还挺可爱了，李思捷不错            
(NA)	 拍出个灵异来了            
(3星)	 喜欢黄浩然            
(3星)	 九孖七 好可爱哦。。这次李思捷没有感觉了。。还是喜欢 原来爱上贼里面的BT。。            
(4星)	 钟嘉欣讨喜之作。另外，还是烂尾了。            
(4星)	 结局太囧            
(3星)	 我甚喜欢钟嘉欣            
(3星)	 真不喜欢钟嘉欣            
(4星)	 TVB向来虎头蛇尾。。            
(4星)	 钟嘉欣好傻啊            
(3星)	 其实很无厘头            
(4星)	 得仔好可爱的！！！977也好可爱的！！            
(5星)	 挺清新，有新意。勉强算是烂尾，那个鬼警察977超有爱！            
(5星)	 蛮好看的~            
(NA)	 看了一半 觉得好像也不是我喜欢的类型            
(NA)	 夹心是有够囧的。            
(3星)	 王喜不错，钟嘉欣在这里面没让我那么讨厌，虽然也谈不上喜欢            
(2星)	 钟嘉欣好丑。。            
(3星)	 蛮有劲的~~            
(4星)	 得仔很可爱，剧情轻松搞笑，但结局太囧。            
(4星)	 其实钟挺可爱的，不过我还是不喜欢这个调调。整体还是不错的。            
(4星)	 前几集一般,渐入佳境,如果可以把钟嘉欣换掉就好了.            
(3星)	 看这剧 还能一直看完的人 一定跟我一样很无聊            
(NA)	 人鬼情未了，哈哈~            
(NA)	 为了叮叮看的 也是后面变好看啦~~~~~            
(5星)	 这部剧终于可以证明钟嘉欣的演技了！案子也挺好看的。不管是人是鬼 好人好鬼就行            
(3星)	 前半部分挺好，最后结局那里有点扯            
(4星)	 蛮搞笑的            
(4星)	 搞笑灵异            
(4星)	 人鬼的故事，挺有意思的~~            
(3星)	 钟嘉欣很讨厌 演技很假            
(3星)	 一边绣绣一边看，LY.            
(4星)	 钟嘉欣难得这么可爱            
(5星)	 很好看的电祹,既温馨又搞笑,王喜和钟嘉欣我不是粉丝,但看了这剧,我居然有一点喜欢钟了.然后说,那群同事闹腾起来挺好玩的,不过结局有点出乎意料之外,挺唏嘘的.            
(2星)	 有钟嘉欣就只能两星。            
(2星)	 看不下去，啰嗦，冗长，拖沓。            
(4星)	 另辟蹊径，轻松搞笑            
(3星)	 结局太奇怪了，有些仓促            
(3星)	 有笑点 有泪点 作为一部电视剧 我觉得合格了 很钟意结尾的扫墓方式            
(4星)	 黄浩然和李思捷这对cp太可爱了            
(3星)	 也是。。。。。看一半放弃，近年来看一半放弃的tvb剧多了，偶好伤心            
(3星)	 石修很有味道~~恩恩，王喜可惜了            
(4星)	 至少他告诉我们一个道理：人也好，鬼也好，不要逃避，该放下的时候要学会放下。            
(2星)	 看完觉得浪费时间了            
(5星)	 不错的电视剧，题材新颖，期待拍续集。            
(2星)	 感觉很无聊！            
(3星)	 练习里面的吉他钢琴合奏~~真心好听            
(5星)	 很好玩儿，剧情以意想不到，出乎意料            
(4星)	 发现李思捷的演技还是很不错的~保持！~有前途呦~！大爱王喜~~顶苑琼丹...剧集整体不错，挺搞笑~！            
(3星)	 只能当个乐子瞅瞅而已，看各种囧神发次，还蛮欢乐的            
(1星)	 没意思没意思，            
(3星)	 不太喜欢钟嘉欣的角色~            
(3星)	 冲着李思捷看的~剧名没取错啊，彻头彻尾的囧，囧到爆o(╯□╰)o            
(3星)	 虽然猜到结局是投胎，但是看到他们四个大战时还是感觉很雷人，囧。            
(4星)	 得仔、九孖七两只鬼好得意！！            
(4星)	 这样的结局是喜还是悲？生和死到底哪个更快乐？            
(3星)	 有小鬼呀~            
(4星)	 题材很新颖，钟嘉欣终于找到了适合自己的角色类型，中途看得很愉快，但是在几对CP的感情处理方面有点草率，到最后几集的时候场面开始失控，但总体是TVB的一个新尝试。            
(3星)	 心存善念            
(4星)	 好看。我也想有一只可爱善良的鬼在帮我。            
(4星)	 蛮好玩的~~            
(NA)	 思捷-3-            
(3星)	 好玩~~            
(5星)	 好感人~            
(3星)	 7/10            
(3星)	 太无厘头了吧            
(3星)	  昨天看第一集今天就看完... 不喜欢男女猪脚.. 黄浩然啊 帅啊 有木有 !! 还有 全剧是提到多少个林峰啊 ..            
(4星)	 除了想象力有些发挥的过于想象外，其他都还好啦，不过只能作为一部喜剧而好，不能作为侦探剧            
(1星)	 没看完            
(5星)	 和栋笃一样，一直都很精彩，结局夸张了些，太水了~            
(3星)	 简直看不下去！            
(2星)	 2011.4.10 - 4.12            
(4星)	 挺搞笑的，越看越好玩，以前不怎么喜欢钟嘉欣，但是这部剧里她真的很可爱，977我也很喜欢，这2个真是开心鬼            
(5星)	None
(4星)	 终于看完了，虽然灵异的穿插有一点点扯，但是还蛮有意思的吧！            
(4星)	 比想象的好笑很多很多。            
(4星)	 其实嘉欣没有那么让人讨厌…… = =            
(3星)	 到第5集终于看不下去了....            
(5星)	 好萌啊饼干姐            
(3星)	 王喜演女人真绝了····超好笑。钟嘉欣果然只适合演傻傻笨笨的角色。            
(3星)	 太囧了~~~~            
(3星)	 好杀时间啊            
(3星)	 真是一部有点囧的电视剧啊。            
(4星)	 唔~~还可以~~话说钟嘉欣的造型还真是多变啊...喜欢王喜演的剧！~            
(5星)	 轻松钟嘉欣真的是演技为0            
(3星)	 好久没看过TVB啊            
(NA)	 挺好的 除了结局有点扯            
(3星)	 结尾有点瞎，这部剧的装扮还是挺适合钟嘉欣的。            
