http://movie.douban.com/subject/2153523/	北京夏天
(5星)	 我的启蒙校园剧            
(NA)	 还有羽泉呢！            
(NA)	 懵懂的我对北京对大学最初的概念            
(4星)	 曹颖！黄海冰！高蓓蓓！高虎！涛贝儿！好吧，这个片子给了青春期的我无限憧憬……虽然都是假的            
(NA)	 =D            
(5星)	 童年回忆            
(4星)	 那时候曹颖多清纯。。            
(5星)	 男主很丑啊，也没啥魅力，看的我这个纠结            
(4星)	 13岁时，想像中的大学，北京，和青春之夏            
(4星)	 记忆中最美的夏天，再也回不去，有些东西在我不知道的时候，已经天荒地老。            
(3星)	 小时，对大学的憧憬，对志愿者的理解，对爱情的想象……许多都是从这部片子开始。            
(5星)	 有些执著的片子 有些不变的沉迷             
(4星)	 那年的青春。。。1997年还是1998年暑假看的电视剧            
(5星)	 当时超爱这部剧的！连后来在大学交了男朋友，也是给妈妈看了这部剧以后才敢讲出来。。。            
(4星)	 那时对大学多么憧憬            
(4星)	 同桌的你。            
(5星)	 是青春时代的印记            
(5星)	 想当年，超迷~            
(4星)	 我以为大学就是这样的……后来才知道不是这样的。            
(4星)	 那个时候很喜欢的青春剧，每年夏天都会看，那个时候还觉得曹颖很漂亮，那个时候还在小学，特别向往剧中的大学生活。            
(4星)	 陈羽凡的”难道“。。             
(4星)	 暑假的回忆。。。            
(NA)	 好久好久以前看的电视剧，当时傻傻的觉得多大学多美好啊~~            
(4星)	 我果然老了...            
(NA)	 天哪，我十岁的时候看的。。。            
(5星)	 有陈羽凡！大学根本就不是他们演的内样！当年的“涛贝儿”音乐很动人啊！            
(4星)	 小时候看的 印象很深 曹颖和那个男的            
(4星)	 当年的偶像剧诶            
(5星)	 很棒很经典的片子            
(4星)	 初中的回忆            
(4星)	 我的最初大学印象由此诞生。            
(5星)	 我仍然当初看的时候的感动            
(NA)	 小学时看的电视剧... 给几星已经无所谓了...            
(3星)	 你没看错，中国也有校园青春剧，原创的，剧情和演员都能保质保量的。曹颖那时候美得自然。             
(5星)	 一度成为我想去北京念大学的关键原因            
(3星)	 也是曾经使人对大学生活产生误导的片子...            
(NA)	 童年回忆             
(5星)	 这部剧一如它的名字，始终闪亮在我记忆里的某个地方，永不褪色。　　它又好像是从我自己的青春岁月里凝固出来的一颗琥珀，一滴泪，当然是只有我自己才能懂的泪，一种类似于感恩和相知的液体，有那么一群人，我们气息相合，味道相合，臭味相投……            
(NA)	 看这部电视的时候还在上高三,或许是受了影响,那一年的高考之后,我来到了北京....            
(4星)	 小学时候看的。当时好喜欢。            
(5星)	 非常难得的好片子，现在已经找不大到这样的好片了。            
(NA)	 话说那几年的夏天就是看这个度过的。            
(5星)	 小时候很爱看             
(NA)	 大学的幻象来源于此            
(NA)	 怀念那个夏天            
(4星)	 曹颖            
(5星)	 遥想当年，以为白衣飘飘的拿2本书在校园里晃晃就叫大学，把妈妈给我收进行李箱的双肩书包扔出来，豪迈的大手一挥：“大学里不需要书包！”，然后，狼狈的熬到第一个周末，赶紧跑出去买了个大书包！想起往事，真是……            
(4星)	 当时觉得曹颖真好看，真洋气。。            
(3星)	 北京小妞~            
(NA)	None
(5星)	 没有一部剧能代替它在我心目中的地位。尤其是刘石！！！现在 看依然是心动的！！！            
(3星)	 很粗糙，但当年我还挺喜欢            
(4星)	 童年记忆啊，我勒个去            
(1星)	 当年看就觉得矫情，如今更加恶心了。            
(NA)	 小时候的事，那是妈妈跟我说 北京夏天 好看，我却喜欢了那首歌 陈羽凡唱的 那时才十岁            
(4星)	 想想看，我们都已经这个年纪了，却从来没有这样的活，越想越惆怅。            
(4星)	 第一次有感于偶像剧...            
(5星)	 初中那会儿还没来北京。人生中对北京最初的好感由它而起，对大学的第一印象也是因它，对夏天有了一些好感也源于它。那时候CY还没有很贫，诠释的很好，那时候羽泉还没有红，还在片中作曲加客串。那个年代，我爱这部比《将爱情进行到底》更爱。            
(NA)	 比将爱更朴素更晦暗的味道            
(4星)	 今天看快女，有个女孩唱「难道」，突然就想起这部电视剧了。那时年纪还小，那时对大学还没有概念只有憧憬，现在老了，对大学没有概念只有怀念。            
(3星)	 最早的对大学的概念。            
(3星)	 我忘了我什么时候看的，小学还是初中？总之是暑假！。。。。            
(5星)	 青春啊。。。青春。            
(NA)	 真的，以前还觉得挺好看的....            
(5星)	 今天来看，这部电视剧无论是剧情、对白还是演员的表演都是如此的做作……然而，对于曾经的青春校园而言，任何理性的评价都是无用的，只要那知了声响起，金色的夕阳洒下，夏天的气息弥漫……            
(5星)	 话剧啊            
(4星)	 里面有个跟高虎一起租房子的女孩到底是不是马伊琍？            
(5星)	 在我的将爱情进行到底之前，原来是这部北京夏天            
(5星)	 曾经的那些青春            
(NA)	 曾让我无比向往大学            
(5星)	 看过很多遍，青春浪漫美好，是它唤起我对大学生活的向往。            
(3星)	 黄很帅，曹很靓，只是当年            
(4星)	 那时的回忆~            
(4星)	 制作粗糙但掩不住纯真啊，小学时候坐在外婆身边一块儿看，做着大学梦来着～            
(4星)	 小时候的暑假，还记得那首口哨吹前奏的主题曲。            
(NA)	 哈哈哈 那个时候觉得男主角好帅的说             
(NA)	 忽然想起奶奶家那台旧的北京彩电，暑假和妹妹一边打架一边看这个，还有，亲爱的，我还有个小秘密。。。。。。。            
(4星)	 因为那时迷黄海冰才看的，结果发现他的现代戏实在不好看            
(4星)	 意念中的夏天，因青春而永不腐朽            
(5星)	 小时候的大学            
(5星)	 当时我娘还是少妇，我姐还是萝莉 岁月啊~~            
(4星)	 初中时候看...            
(5星)	 记忆一直留在那个夏天!            
(4星)	 《十六岁的花季》之后，《将爱情进行到底》之前的校园剧。是我年少轻狂的记忆。            
(3星)	 我无聊打法时间的时候看了两遍，但都错过了结局。            
(NA)	 当时我还年纪小,只是对大学时光充满了憧憬,梦想有一天能像主人公那样有着美丽多彩的大学生活,但很多时候梦想始终照不进现实,但却是记忆中永远的美好.            
(4星)	 那年夏天            
(5星)	 好像看过不止一遍。想起我的暑假。            
(4星)	 高考之后的那个暑假，北京的夏天            
(4星)	 想当年……            
(5星)	 这部剧冷门儿吗?小时候可爱看了~~特喜欢那男主,不过MS就演过这一部片,真可惜~~            
(4星)	 当时就想着夏天要去北京一次。去了之后被热死。            
(5星)	 想象中的任何东西竟是极美好的。。。            
(4星)	 土兮兮的理想主义，从来没有向往过，但是今天想起来还是觉得挺美好的。另外音乐非常好听。            
(5星)	 24歲的你演給24歲的我看的 多好的禮物            
(5星)	 ……当时那个向往啊            
(5星)	 对大学的印象是从这里开始。            
(5星)	 为了过去的回忆。            
(5星)	 忘了初几看的，当时太喜欢徐群航和刘石了。            
(NA)	 和我那年的经历一摸一样            
(3星)	 也是夏天的记忆            
(NA)	 我当年还看过这个-----都怪我没事老爱看电视。            
(4星)	 小学时看的电视剧，至今还认为大学校园应该是那样的，可惜一转眼自己大学都毕业了！咋还没感受到大学？？？            
(5星)	 我印象中最深的大学校园偶像剧...十几年来一直记着曹颖叫他：“遥远哥哥”。只为回忆。            
(5星)	 小时候看过的无数遍电视剧中的一部，现在看来，原来他们的对话都有些矫情，但对我而言还是很温暖，对大学生活的无限憧憬与美丽的幻想            
(NA)	 十几年前看的，当时就对大学充满了向往。里面还有羽凡说的            
(4星)	 小时候很爱~~~            
(5星)	 无论如何，是它凝聚了我对大学生活的全部渴望，我给这份纯真美好的感情打五星            
(NA)	 对曹颖的最初印象。多纯 啊            
(NA)	 向往。            
(5星)	 小学的时候看的  原来当时真的什么都没看懂            
(NA)	 有多少痴男怨女看完这部戏，无可救药的喜欢上了许群航，曹颖姐姐也是通过这部戏被大家熟知吧。            
(5星)	 这么多年，你都没变            
(4星)	 罗葳非常有魅力。            
(5星)	 看北京夏天，记住曹颖            
(NA)	 初中时候的事了，好迷恋~            
(5星)	 一个让我想入非非的名字。。北京夏天。。            
(5星)	 青春记忆，难磨灭。            
(4星)	 羽凡的音乐不错            
(3星)	 后来想重新回看一下，才发现，怎么演技那么生疏？不过我所有对大学的期盼都是从这里出发的            
(4星)	 竟然就是在我对面的林大拍的...            
(5星)	 对于北京夏天最初的印象。            
(3星)	 高中时下课的谈资之一            
(2星)	 天呢 我现在真感叹 曹某人还能演戏？            
(4星)	 高中暑假看的，特别感动，就是结尾有些让人失望            
(NA)	 刘石，“萝卜缨”哥哥，陈羽凡，话剧社.......还有，好听的歌。            
(4星)	 现在想明白了            
(3星)	 主演年龄偏大            
(5星)	 绝对的怀念~            
(5星)	 高蓓蓓            
(5星)	 很好的校园剧。第一次看见曹颖和黄海冰。            
(4星)	 记得还是在中学的时候看得这部片子，第一次对大学产生了深深的向往，美好的青春，爱情、事业、理想与现实的碰撞，如今我却已走过了那样的四年。            
(NA)	 大学初影            
(4星)	 为毛没在一起 为毛            
(3星)	 中学时代想象中的大学生活            
(5星)	 纪念人生中最初的几部偶像剧            
(5星)	 好怀念啊~~我对大学最美好的憧憬。。可惜了。。            
(4星)	 大学生。            
(4星)	 我不知道自己为什么不喜欢曹颖，就是因为长相吗？看这剧的时候还不知道曹颖，当时也谈不上讨厌她，因为完全还没有感觉嘛。不过我挺喜欢这剧营造的氛围的，虽然没有看完整过。            
(4星)	 我的遥远的青春梦            
(4星)	 那时候很流行啊            
(4星)	 当年的曹姐可一点都不雷人            
(5星)	 看过是我的幸运，永远的记忆，永远的憧憬            
(4星)	 1996 永远的刘石，永远的遥远哥哥。            
(3星)	 小时候看的 那时很喜欢曹颖 这个算是我们内地的偶像剧了吧 说真的 其实挺不错的            
(4星)	 里面的校园民谣好听            
(4星)	 因为是比较早的青春剧所以才给4颗星            
(5星)	 &gt;_&lt;年少无知的时候觉得他们两个实在是太配了。。。囧。。。            
(5星)	 这是一种情结            
(4星)	 算得上是不错的启蒙偶像剧            
(4星)	 童年时假期必看的电视剧。转眼大家都老了。            
(4星)	 小时看的，当时很喜欢！大学的生活在我幼小的心里就该是这样的浪漫美好的。自己的大学时代已经在不知不觉中结束了，虽然不像电影中那么具有戏剧性，但是这段回忆，对我来说，是一生的财富。在今后的人生路上，每每想起，都会微笑            
(3星)	 天啦，居然会有人说曹颖演得很自然，还完全是本色演出。这人是不是眼睛有问题啊？说实话，曹颖黄海冰王彤，这三个统统都很做作，之所以记得这片子是因为羽凡，还有他在里面唱的歌。太好听了，那时就很留意这人，不错啊！            
(4星)	 当年那感觉绝对是五星的。            
(4星)	 北京夏天            
(5星)	 记得特别爱看……看了好几遍……            
(4星)	 高中时代看的貌似是我看的国内第一部青春偶像剧，然后疯狂迷刘石同学，有好一阵子。。。            
(4星)	 这部偶像剧比将爱情进行到底还早啊            
(4星)	 童年            
(3星)	 总觉得曹颖那个做作啊            
(4星)	 曾经憧憬过的大学校园..原来离的这么近...            
(3星)	 去年找来又看了一遍            
(NA)	 那时多么向往大学，现在毕业了，曹颖也越来越惨不忍睹了            
(NA)	 成就了我在中学时代对大学生活的美好憧憬，影响了我的整个青春时代。            
(5星)	 因为喜欢,不想再看            
(NA)	 飞扬的青春            
(5星)	  我的梦            
(NA)	 看这部连续剧喜欢曹颖的！大学！            
(4星)	 突然很怀念            
(3星)	 这个应该是我那个年纪时候的第一个偶像剧吧            
(4星)	 以前每个暑假必看有木有~！            
(4星)	 曹颖姐姐小的时候，和我的小时候。            
(NA)	 我连这个都与看过 我可是90后啊            
(3星)	 剧情其实没什么，之前是在网上看到刘石的介绍才去看的，当时的黄海冰也的确挺帅，还好吧            
(5星)	 当时就向往大学生活了            
(4星)	 应该说，这是一部属于那个年代的青春偶像剧，我对大学的认知也是这部剧开始。那时候曹颖才22岁，最美丽的年华。。            
(4星)	 因为这部剧喜欢上曹颖。            
(NA)	 小时候特喜欢看这部片子，这就是我内地偶像剧的启蒙，刚开始看的时候觉得男主不是那么帅，越看到后面越觉得男主帅，到最后无法自拔了。            
(3星)	 隐约记得片头那林荫道，绿树成荫，自行车由远及近            
(NA)	 海冰哥哥&gt;&lt; 曹颖那时候也不错的            
(5星)	 怀旧是一股风            
(5星)	 中国曾经有过的最好的校园爱情，时常想起，台阶上的夏天。            
(2星)	 小的时候觉得挺喜欢的，现在看怎么这么无聊。。。。            
(4星)	 好小的时候看的。。已经完全不记得了            
(4星)	 那时的青春偶像剧还挺好看的            
(NA)	 初中的记忆了            
(NA)	 对于大学校园美好最初的憧憬。远离那个单纯无知的时代，想必如今的中学生也难有憧憬的快乐了吧。            
(3星)	 哦。。。某年夏天看过这个。。。            
(5星)	 应该是小学或者初中的时候看到，曾经懵懂的我，那是对大学生活最美好的期待和向往            
(5星)	 其实内容已经记不太得了，拍的多好或者多不好也已经不重要了。怀念的，是当年心中的美好。            
(4星)	 还能吹出那段口哨，热烈的夏天            
(5星)	 小学时看的。。。绝对是大陆言情剧中的经典!!!            
(3星)	 不知道为什么，就是对曹颖不感冒            
(4星)	 当年怎么会那么喜欢那首歌，羽泉的“难道”            
(3星)	 呵呵，前两天刷牙的时候，不知怎么还想起这部片子……            
(NA)	 小学时看的耶，居然今天忽然想起来。            
(5星)	 小时候再就那么羡慕曹颖呢~有许群航~有萝卜缨儿哥哥~~~小学时期的我已经开始想往大学生活了~但当进入大学的时候早就忘了儿时心中的期待和幻想~            
(4星)	 通过这部片子认识曹颖的            
(NA)	 懵懂少年时的一首美好爱情诗            
(4星)	 男猪还挺舒服的            
(4星)	 回不去了～读高中的时侯大爱，对大学生活最初的憧憬，但是现实远不如想象中的浪漫。            
(4星)	 萝卜缨儿哥哥看上去好Gay啊。            
(5星)	 没上小学的时候看的，这简直就在小时候为我铺垫了大学的缩影啊。。结果现在快毕业了，发现我的大学和那里简直天壤之别。。主啊，赐我一个这样的研究生生活吧            
(NA)	 恩~这部剧当时也是很美好的            
(4星)	 刚才跟拉姑在msn上回忆这部片子，哈哈。年少时代美好的回忆啊。            
(5星)	 忘不了的夏天(⌒▽⌒)            
(3星)	 那时候挺火的。            
(5星)	 难忘            
(3星)	 确实有羽泉的歌。            
(4星)	None
(4星)	 小时候看的，那时追着看的，还蛮好看的，对曹颖也有了初步认识。            
(4星)	 记得曹颖还有石头 记得北京 但是忘记了那些过往。            
(4星)	 这片我看过耶~~~当时还很喜欢。。。虽然曹大妈当时演青春女大学生的时候也有超龄的问题=。=            
(4星)	 这是我从小对大学生活最美好的憧憬。            
(4星)	 小学时看过 现在才知道电视是美好的 当年我那么向往大学生活啊            
(5星)	 当时很感动！            
(5星)	 我记得我很小很小的时候！！！看过的！！觉得很好看！！真的是很小很小的时候！！            
(5星)	 小时候看到，情节都基本忘记了。但是给了我对大学的很多向往。当时认为是最好的，就是最好的。            
(5星)	 小时候的记忆，第一次对大学生活有了美好的憧憬，觉得大学是对充满青春、梦想、个性的诠释，直到自己上了大学，才发现电视剧永远是太美好，现在的大学太功利。            
(5星)	 很少有特意翻出来看的片子 国产偶像剧鼻祖吧 戏剧性浓 每个场景都好熟悉啊···配乐也一级棒···关键是 刘石啊哈哈            
(4星)	 初中时看的，因此而向往大学校园。。。            
(3星)	 相当年我那么喜欢黄海冰            
(4星)	 梦想抵不过现实。。            
(5星)	 曾经暑假必不可少的剧集，重温一下~            
(4星)	 喜欢平实的刘石            
(4星)	 超喜欢的偶像剧            
(5星)	 小时候对大学的憧憬啊期待啊美好啊全在里面            
(5星)	 没什么记忆了 因为清淡  清淡的只留下 北京夏天这四个字            
(4星)	 想起多年前的夏天            
(5星)	 少年的回忆～            
(5星)	 对大学最初的憧憬就是从这部片子来的，尽管上了以后才知道完全不是那么回事。            
(5星)	 每年暑假的夏天，必看。            
(5星)	 我还记得看这电视剧的时候刚学会打麻将，中午利用午休时间去同学奶奶家（家长不在），一边看这，一边三个人打麻将。。三个人。。            
(5星)	 蓝蓝的月光啊 高高的挂夜空             
(NA)	 是我成长了 还是国产偶像剧退步了 为什么能看的剧就停在90年代了            
(NA)	 也是我印象里大学的样子            
(4星)	 我绝对看过这个！！！            
(5星)	 小时候觉得，哇塞，大学是这样啊~~~~现在，大学，nnd..........囧            
(4星)	 记得是一个炎炎的暑期里我随意看了个频道，剧中美丽大方的许群航一下子抓住了我的视线。虽然电视剧的制作很一般，灯光很业余，甚至你能看到演员头上的话筒，但这不妨碍学生时代的我被剧情深深的感动~  那时的陈羽凡还刚出道，里面的插曲《难道》和《在你身边有个我》相当经典。            
(5星)	 纯。            
(5星)	 夏天会过去，少年会死去            
(4星)	 只记得小时候特喜欢            
(3星)	 一代人对于中学的感触都在《十七岁不哭》，对于大学最初的向往都在《北京夏天》            
(NA)	 刚才躺在床上突然想起这部电视剧，连名字都忘了，只记得有曹颖和黄海冰…还曾经无比迷恋里面的刘石，当然还有萝卜缨哥哥！是小学的一个暑假看的…真是从小就受爱的教育啊！青春啊大学啊什么的，好向往！现在想想还是很多感慨…            
(5星)	 因为北京夏天，第一次对大学有了直观的了解，第一次知道了读书的直接意义，第一次对未来有了期待，咳咳，结果，戏剧还是高于现实啊。            
(NA)	 追忆小时候            
(4星)	 mark一下~很多年前跟着姐一起看的，现在都还记得剧情。            
(4星)	 当年好喜欢。那个时候的曹颖还是很清纯的。据说还是在我们学校取的景~            
(4星)	 当年那么迷~~~  现在还是很迷男猪脚那型╮(╯▽╰)╭            
(NA)	 就记得黄海滨了……当初就想为嘛曹颖不要他？            
(5星)	 个人认为是内陆第一部偶像剧~~            
(NA)	 九十年代的大學愛情            
(4星)	 其实最记得黄海冰老开个JEEP接曹颖 那时还以为这片会安排他俩好上 完全没体会原来是大学生片 &gt;_&lt;看到有姐们写到&#34;当年别提有多喜欢王石了&#34;...  @#$%$@!!!            
(5星)	 小学里看的            
(3星)	 一直没看到结尾的片子。            
(4星)	 那时候好崇拜大学的生活             
(3星)	 这片儿做为北京的大学生活入门曲给高中的我留下很深印象            
(4星)	 那时候我太小了。。接受不该接受的“大学教育”。。。            
(3星)	 有多少人还记得这部电视剧，彼时的曹颖还能看            
(5星)	 中国难得的青春剧——既将大学的爱情讲述得美好又纯情，又将主旋律纳入的合情合理！            
(5星)	 片頭曲還在腦中迴響 那個夏天的北京 有一股純真的味道            
(5星)	 因为这部剧痴迷一阵曹颖呢            
(5星)	 青春，无悔。            
(5星)	 小学时候看的，最喜欢的电视剧之一。            
(NA)	 原来叫《北京夏天》。从这部里认识的曹颖啊。            
(4星)	 那个夏天，还记下所有的歌            
(NA)	 看过一些，青春的曹颖我觉的长的还是可以啊            
(5星)	 印象中是很纯的校园青春爱情剧            
(5星)	 曾经的那个遥远哥哥            
(5星)	 对高校生活的美好憧憬            
(5星)	 美好的回忆，大学的无比向往            
(5星)	 高中时看的，在那个如花般的青春年少时代，憧憬着自己的大学和爱情。            
(4星)	 喔唷，当时觉得男猪很帅的呀            
(3星)	 完全没印象了            
(4星)	 曾经多么地喜欢曹颖啊            
(4星)	 萌过罗蔚啊……让我想到释小龙当时觉得曹颖好美            
(3星)	 喜欢姚远这个名字。那时觉着曹颖还不错~            
(4星)	 还记得刘石那句话：硬件不行，软件先跟上            
(3星)	 童年的记忆啊~ 那时的大学生远远没有现在的这么浮躁和现实 有一种浪漫情怀            
(5星)	 将爱情进行到底十三年后回来了，北京夏天呢？那时候念初中的吧～            
(NA)	 这不是怀旧么。。。            
(5星)	 单单就里面原创的校园民谣就值5星……            
(5星)	 中学时代第一次看这部电视剧，它就成了我对大学生活的全部想象，而后上了大学，真是现实和想象差别甚远呀，如今这部电视剧依然是我对美好生活和心灵纯净的全部理解，我依然在寻找心灵像刘石一样主张周全的人~我工作了，心累了的时候会找出来再看一遍，至今我大概首尾看过4遍吧，不算单集的次数！            
(5星)	 年少的夏天，年少的记忆            
(5星)	 大概是在小学毕业的暑假第一次看，那时候就充满了对大学生活的一种向往，许群航、刘石、罗普音一个个名字还都那么熟悉，这是我看的第一部偶像剧吧。那时的曹颖是那么清纯啊，还有黄海冰真的很帅！            
(4星)	 为什么我小时候这么爱看这部戏。。。太早熟了把，。。            
(NA)	 小时侯老喜欢这个,印象中就是很明朗....            
(NA)	 印象很深            
(5星)	 很纯很真很简单~            
(5星)	 最美好的曹颖，最美好的大学生活。我记得在我小的时候，真的是每年夏天都演！！            
(NA)	 曹颖大妈最好的年华，黄海冰难得的现代装            
(3星)	 懵懂时青春的回忆            
(4星)	 对于大学生活的最初印象            
(5星)	     剧情脱离现实，镜头转换生硬，人物造型夸张，演员演技生涩，台词过分文艺，英文发音诡异，剧中从导演到编剧到主演直到14年后的今天大都名不见经传，惟有偶尔跳进镜头的陈羽凡找到了自己的位置。但我就是爱它，没有理由。            
(NA)	  我记得这部影片让我憧憬大学的，爱情 理想 现实 那年我才十七岁 后来上大学的时候再看了一遍 ，我泪流满面……电视剧的开头是北京电话号码升8位，我大学的时候恰逢西安的电话号码升八位 故事也有，只是未开始便结束            
(4星)	 黄海冰是男二来着。            
(5星)	 看过多次的电视剧    里面所描述到的   那个年代的大学生 毕业后  要哪来哪去是我们现今80 90后无法体会到的            
(3星)	 看了半集  弃            
(5星)	 柏拉图式CAMPUS            
(4星)	 那时觉得可真好看呀~            
(5星)	 当年我是有多年轻啊，多喜欢那一对，还有校园里的野孩子。            
(4星)	 大概是人生第一部偶像剧了吧            
(3星)	 这就叫百看不厌            
(4星)	 高中的美好记忆，大学的向往            
(5星)	 当年太小，看不懂，却一直记得            
(4星)	 当时觉得好好看            
(4星)	 小学看的，当时极度迷恋想象中的大学生活              
(4星)	 怀旧阿怀旧~            
(5星)	 最早的大陆偶像剧，喜欢里面的刘实和曹颖。            
(5星)	 那个季节进了，可是从未疏远、            
(4星)	 曹颖的片子只有这部是喜欢的，后来发现里面那男配是黄海冰...            
(4星)	 总之是小时侯对大学的向往。            
(5星)	 我映像里第一部青春偶像剧。那年还是小学，对大学无限期盼中。            
(5星)	 永远忘不了高三时每天像过节一样守着看《北京夏天》，忘不了对“刘石”的疯狂迷恋。更忘不了在进上戏以后得知“刘石”就在楼上上课时恍若梦中的迷醉感。在这里说关于这电视剧两句，就好像也给自己的青春写下点儿什么。爱你，北京夏天，想你，湿漉漉的高三夜晚……            
(5星)	 经典啊，当时大爱            
(5星)	 一部充满了青春、理想的电视剧，影响了我的少年，让我第一次了解到什么是大学！但真正上了大学，才明白，这原来只是一部电视剧！            
(4星)	 印象当中很好看的一部电视剧            
(4星)	 校园剧的最初印象一个是这部，一个是十七岁不哭            
(3星)	 那会，拉齐奥很牛逼的。            
(5星)	 好吧！羽泉~~~~~~~            
(5星)	 青春。。。            
(4星)	 非常喜欢老跟着曹颖唱歌的人，后来才知道。。。            
(NA)	 那时候好想长大到二十            
(5星)	 在做梦的年龄看了这部片子            
(4星)	 印象极其深刻的一部青春爱情片。。。            
(4星)	 怀念小时候            
(NA)	 很久前的片子，质朴的画面，很棒的音乐，至今难忘剧中的一幕，校园黄昏下，许群航在青绿青绿的吉他声中思念着刘石，晃如我们生活中的某事某刻，这种纯粹和炽热遇到了，便一定会被燃烧。。。有人说，喜欢《北京夏天》的人应该是一群理想主义者，我想我们真是有这种情怀呢            
(5星)	 永远的年少回忆            
(3星)	 很喜欢曹颖的那个阶段。。。            
(5星)	 代表了一段记忆            
(5星)	 给那种记忆的5分初中时看的 以至于后来觉得大学就是那样 会有刘石那样的男生            
(4星)	 挺早的片子，看过几遍，很喜欢～            
(NA)	 已经忘了大多数的情节，只记得喜欢陈馨儿这个角色，记住了她戴了个黑色的戒指，那觉得挺特别的。            
(5星)	 北京夏天，一部值得一看的电视剧，北京夏天，注定会影响我一生的好剧。            
(5星)	 全让我毁了            
(4星)	 记忆。。            
(4星)	 小时候看过，印象深刻~~高三暑假又兴起，看了一遍。那时的单纯……            
(4星)	 夏天依然，时间已远            
(5星)	 這片子禍害我至今。例如化學。例如支教。它一直在我記憶深處，或者說改變了我的一生。            
(NA)	 do you remember？that summer……            
(3星)	 大概还是小学一二年级看的，剧情完全不懂。大学再看，仍旧剧情无爱，但很喜欢片头曲和片子意境。            
(5星)	 启蒙了我童年几乎所有的梦想            
(NA)	 记得那时候我特喜欢高虎和高蓓蓓那对！            
(5星)	 看过书            
(NA)	 非常实在的一部电视剧，没有做作，没有喧哗~~演员的本色出演~~            
(4星)	 为什么电视里拍出来的学校生活总是比实际美很多。。            
(4星)	 曹姐姐最漂亮的时候。我带现在都还会用口哨吹这个的主题曲。            
(4星)	 这些年一直没想起来，原来对于大学的很多yy都来自于这部十多年前看过的戏，现在研究生都毕业了才想起来。哎            
(4星)	 在北京的夏天中，在大学毕业前，重温了北京夏天。纪念我逝去的大学四年。            
(5星)	 最初的爱恋记忆            
(4星)	 小时候看过  对大学的最初印象 很美好            
(4星)	 童年的记忆  超级羡慕那种大学生活  可惜...            
(5星)	 记忆深刻啊。。。小学看的。。那时候超级憧憬大学的。。。            
(NA)	 已经忘记剧情了。。。有时间要重温            
(2星)	    原来是个连续剧    枯燥 无谓            
(5星)	 影响了我这么多年~            
