http://movie.douban.com/subject/1786753/	天国的阶梯 천국의 계단
(2星)	 结局特别的没有意思 崔智友的表演功底在这部电视剧里觉得特别的差，尤其是装可爱的样子，给人感觉就是假。            
(NA)	 偶娘亲巨喜欢看内东西,于是劳资就只能陪着看!            
(3星)	 烦就一个字~            
(1星)	 有必要把人都弄死吗？            
(3星)	 每次换台看到这个主角都在哭！            
(3星)	 喜歡兩個主角，不過劇情太蒼白太拖沓了……            
(3星)	 太作了、、、、、            
(4星)	 当年很爱看 也喜欢上权相宇 超喜欢插曲            
(4星)	 当年看了这部剧就好想有一个哥哥，疼爱自己的哥哥。            
(3星)	 原来年轻的时候看过那么多韩剧！！！            
(NA)	 高中陪着我妈才有电视看 什么都不挑的。。。还得跟她讨论剧情才行。。不然会被赶去做作业。。            
(4星)	 我妈咪那时候最爱看的韩剧，总是说找男人要找车程俊酱紫哒~            
(4星)	 虽然是很老套的剧情~但是老公说男主超man的~我也挺喜欢，权相佑 嘿嘿            
(NA)	 癌症……哎，韩剧的剧情真是又俗套又忍不住被感动            
(NA)	 烂尾典型 不对 烂身            
(NA)	 高二时的记忆            
(2星)	 印象比较深刻的是男主角哭的那个惨烈喂....            
(3星)	 崔智友太丑了            
(3星)	 HC权相佑和小诚俊。。。            
(NA)	 原来我从小到大看过那么多韩剧..            
(3星)	 还好。            
(1星)	 你敢再垃圾一点吗？你敢再做作一点吗？            
(3星)	 那时候让全宿舍的女生哭得稀里哗啦的。囧。现在想想，好幼稚。于是减掉一星。            
(3星)	 导演真是折腾            
(3星)	 完全看到烦。。。            
(4星)	 煽情+狗血，给四星的原因有二：一是骗了我不少眼泪，二是金泰熙真是大美女            
(4星)	 权相宇确实是超级潇洒风流倜傥            
(NA)	 这也太纠结了吧            
(NA)	 这些经典韩剧不得不看的啊            
(4星)	 权相佑好帅啊~            
(NA)	 男女主角不停地跑和哭，只能不停地快进。            
(4星)	 喜欢权相宇故事太悲了，看的人生气！            
(4星)	 好想跳进去把后妈掐死            
(5星)	 最最经典韩剧            
(3星)	 老爸的最爱            
(4星)	 看的后来都看不下去呀，怎么会呢么惨呢            
(5星)	 以前电视播，俺看个节选都能哭得稀里哗啦。那个哥哥太丑了~~            
(NA)	 权相宇一哭，天都黑了。。。            
(NA)	 = =又是车祸 失忆 小崔啊...            
(5星)	 从头哭到底，太感动了。            
(4星)	 感人是真感人，气人是真气人，悲伤是真悲伤……看完之后实在是难受啊            
(4星)	 男主角好有气质的哇            
(3星)	 韩剧全都一个意思。            
(3星)	 标准的韩国悲剧 有点拖沓 不过整体来说还好            
(5星)	 long long ago            
(2星)	 很讨厌这部~权相宇的眼睛就像是自来水龙头一样            
(1星)	 坏人太坏，好人太好，权相宇你可以再丑点嘛？            
(3星)	 高二？看的            
(2星)	 不喜欢这么苦情的            
(4星)	 少年，青年。            
(3星)	 很悲切的剧，俺娘又很爱            
(2星)	 就像婆娘的裹脚布一样，又什么又什么            
(NA)	 感人            
(3星)	 很般配 我只想说就是爱地太辛苦            
(NA)	 我讨厌老爷们哭            
(3星)	 单纯意义的赚人眼泪，观众也会腻的。            
(2星)	 老婆，麻烦你别再看了，我都快吐了            
(4星)	 为数不多的几部好看的韩剧之一。            
(4星)	 虽然情节够假,不过眼泪够了女主角也算tragic hero吧            
(NA)	 坏人在最后才得到惩罚             
(3星)	 印象最深的就是，一个跑，一个追。喂，怎么总是追不到啊囧~            
(3星)	 为什么都是悲剧.            
(4星)	 真的很讨厌悲剧，可为了权相佑我还是看了 并哭的厉害            
(5星)	 06年的暑假~~我的眼泪女王~~            
(3星)	 开头得几集超级好看            
(NA)	 是我看过的所有韩剧里面，让我哭的最伤心得，从头哭到尾哦。好厉害得~~~            
(4星)	 金泰熙很漂亮~            
(3星)	 好吧，我是跟爸爸一起看的。            
(4星)	 配乐太赞了，男主小时候的样子真TM帅，比长大后的权帅多了。            
(3星)	 不得绝症主角不死一个就不是韩剧，非得相隔两个世界才是痛彻心扉的爱情，赚我们的眼泪。两小无猜还硬生生的被分开，死去活来，终于幸福了，主角又over了~~给了希望，破灭，然后又希望，又破灭~~很压抑的片子，不会再去看第二遍了~~            
(2星)	 傻……            
(2星)	 冲权相佑去的。泡菜剧果然没啥营养啊。            
(3星)	 每个假期都在播            
(4星)	 看完之后就不想看韩剧了。            
(NA)	 看过一部分            
(3星)	 有点 蓝色生死恋 的 feel……            
(5星)	 因为 韩友莉 ，所以才忍受那两个丑八怪            
(NA)	 摧泪皇后。哭死了            
(4星)	 在电视上看的还不错  就是女主开始太窝囊            
(3星)	 悲悲惨惨的爱情我不要            
(2星)	 我妈喜欢得很。我觉得一般。            
(3星)	 太悲了  我受不了。不过由此喜欢权相宇的。            
(5星)	 当年是那样的感动            
(4星)	 骗了我很多眼泪            
(4星)	 喜欢这2个演员。权相宇。            
(NA)	 看到最后那叫一个痛哭流涕            
(NA)	 超越语言的……无趣(所以不给星咯～)            
(2星)	 哀其不幸，怒其不争            
(NA)	 眼泪泛滥的韩剧            
(NA)	 天国的阶梯             
(5星)	 细腻，细腻得让人难过……以后要怎么生活？            
(2星)	 磨磨叽饥            
(4星)	 如果一个人男人足够爱一个女人，他会通过一切办法找到她。如果没有，那只能说明他不够爱。我想你只是不够爱我。            
(5星)	 很感动  很感动 好几次哭；了            
(3星)	 急死人不偿命            
(4星)	 眼泪很多的电视剧，典型的韩剧爱情。不过喜欢权哥哥，哈哈            
(2星)	 眼泪不值钱那            
(2星)	 ……狗血鼻祖……            
(5星)	 第一遍看时哭的最多的一部，很印象~`全相宇帅的一塌糊涂~`            
(NA)	 不太喜欢女主角~但还是看过            
(NA)	 看过的为一个好看的韩国剧情句!            
(3星)	 还是不喜欢这个类型            
(4星)	 爱大过天@~!            
(3星)	 总是哭哭啼啼的@@            
(2星)	 总之不知道哪来的那么多的眼泪可以留            
(3星)	 本科看的了, 哈哈, 那时候爱看韩剧里面音乐不错            
(NA)	 纠结死了...            
(3星)	 現在真的不愿再看這樣的悲悲戚戚            
(2星)	 啰嗦            
(NA)	 过去疯狂迷恋韩剧的日子            
(3星)	 自此，或者从以前开始，两个主角从我眼前消失            
(3星)	 居然我hai看过，羞...            
(3星)	 我真。。。            
(5星)	 悲啊~~            
(3星)	 剧情太拖了，我都要吐了，不能快点么？——弃了。            
(NA)	 虽然是悲剧。但是不错。浪漫悲情。男主角小时候的演员不错。笑起来很温情            
(4星)	 权相宇在里面实在太帅了.haha~~            
(3星)	 看到崔真实那张哭兮兮的脸,我真的...很想打人..            
(4星)	 还能在悲剧一点点么。。真是服气了韩国人的想象力            
(4星)	 忒苦情了，不能看权相宇的脸            
(4星)	 看了.........劝悲伤的人不要看            
(NA)	 超级感人，有其权权的哭戏            
(4星)	 偶尔看到一个引人的镜头,便看上了.            
(2星)	 无病呻吟            
(5星)	 一部让我哭了很多次的剧            
(4星)	 骗老子眼泪，然后喜欢上相佑哦吧~            
(4星)	 那时候的权相佑很迷人~~~            
(NA)	 看了，不喜欢。当时就觉得金泰熙好看了            
(4星)	 金泰熙瞪起的大眼睛真是恶毒            
(1星)	 编剧变态到极致。            
(NA)	 不是当红的时候看的            
(NA)	 不怎么喜欢里面的崔智友            
(4星)	 心累            
(4星)	 喜欢女主角            
(3星)	 偶尔我喜欢骗骗自己            
(4星)	 也是老妈心头好            
(NA)	 【2003-12-03】            
(4星)	 啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈又是我最愛的辣個女豬腳啊阿哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈哈哈哈哈哈            
(3星)	 这片其实磨叽又苦情，剧情也挺狗血的。可我还是跟我妈一起抹着眼泪看完了。。。            
(NA)	 怎麼看權相宇就是一般般的樣子。            
(4星)	 经典。            
(NA)	 肿么没有负星的            
(3星)	 金泰熙虽然很坏，但真的好美            
(NA)	 真不明白为什么年轻时爱看这种。            
(3星)	 就曉得哭！哭哭哭！這就是為神馬我一直討厭崔智友！            
(3星)	 还是我不想再重温的狗血剧。            
(NA)	 只看了主角小时候的部分 崔智友实在不爱            
(3星)	 没看全 因为不想跟着哭 看权相宇就够了= =            
(NA)	 同样的悲情路线。。            
(4星)	 唉……傻不傻            
(3星)	 自作自受            
(5星)	 最爱的韩国男女明星。            
(4星)	 多一星给崔智友            
(NA)	 小时候妈妈跟我的最爱一 一            
(3星)	 在游轮上看的片子。。挺悲情的。。            
(2星)	None
(NA)	 当时追着看完的 眼泪哗哗地流啊 一边哭一边感叹女主怎么还不死            
(2星)	 什么蓝色生死恋的续集！宋慧乔有崔智友那么老么！            
(NA)	 第一部韩剧            
(3星)	 毫不害臊地说我就是冲着权相宇才看的这部剧。真的受不了韩剧为刻意营造悲剧气氛而弄得完全不符现实逻辑的狗血情节&gt;&lt;！不过我还蛮喜欢其中的一个小场景：诚俊在旷野中大声呼喊着他想念万分的女友的名字，与此同时已经失忆的静书在微微晃荡的公车上从打盹中突然醒来，似乎是冥冥之中对深爱的人的感应。            
(5星)	 金泰熙真美丽            
(4星)	 还是很爱金泰熙尽管她演了坏女人            
(3星)	 失忆，瞎眼，癌症，齐活了            
(3星)	 我欣赏不了女主角            
(3星)	 各种虐            
(2星)	 小时侯的静书真可爱~            
(3星)	 就记得有个游乐场了。。。            
(2星)	 我很喜欢小时候那一段，长大后的剧情很拖沓。            
(3星)	 想当年 哎            
(3星)	 草 全是眼泪  我年轻的时候为这个破剧流眼泪 我这个2b            
(3星)	 - 只喜欢看他们小时候。            
(3星)	 太狗血了。            
(2星)	 只记得男二号很丑很丑+10086            
(4星)	 很美好 很不现实 累的时候的安慰剂            
(4星)	 这一部也很经典哈哈哈            
(3星)	 金泰熙。            
(3星)	 又是失忆，算了            
(3星)	 跟妈妈一起看的。  有的时候还是脑残的。么办法啦。            
(4星)	 高考之前特想看 高考之后实在看不下去            
(3星)	 金泰熙！美！            
(3星)	 棒子电视剧还真是米少看~~啊            
(4星)	 权相佑！            
(5星)	 悲催啊~            
(5星)	 某一次和S一起在天下吃饭，香菇鸡肉盖浇饭，看着看着，我的眼泪全流进了餐盘。            
(2星)	 无爱~            
(4星)	 和我妈一起看的            
(4星)	 。被安徽台放放烂掉了            
(4星)	 纯粹为了权相佑            
(4星)	 我妈眼睛肿了，大骂我没有良心。            
(3星)	 说实话不喜欢这类型的            
(NA)	 权相佑不错            
(3星)	 太纠结，太长了            
(1星)	 看着就像侄子和姨谈恋爱。            
(1星)	 不喜欢            
(3星)	 又一部走悲情路线的韩剧。            
(3星)	 补            
(4星)	 很波折很波折，很憋屈很憋屈。            
(4星)	 成俊哥。。。哈哈  那段配乐很不丑。。。            
(5星)	 又一部赚人眼泪的片子            
(3星)	 典型的韩剧            
(3星)	 很多眼泪。            
(NA)	 可怜呢            
(5星)	 催淚彈，那時的我特別入戲            
(3星)	 崔智友小姐为何如此悲剧。            
(3星)	 两个人 都是我喜欢滴嘛            
(2星)	 里面的人都很丑= =            
(2星)	 两颗星全给权            
(NA)	 老电视剧，老桥段，女人都拒绝不了深情吧            
(1星)	 韩剧还要白痴到什么时候            
(NA)	 哈哈哈 死了            
(4星)	 我妈妈的最爱，哈哈            
(3星)	 悲剧女王……            
(2星)	 太无聊了！！！            
(3星)	 看了这个后才觉得权相宇挺不错 以前觉得他好丑啊            
(3星)	 韩剧,您可以再苦情点儿吗？哭死你.            
(4星)	 看这个 我喜欢权相宇了~            
(5星)	 HAN JUN SU, O BA GA YI DA!            
(NA)	 跟到妈看完的。。。            
(4星)	 权相宇，你个杀手，曾经迷翻            
(3星)	 又是哭哭啼啼            
(3星)	 ...我们家貌似看了好多遍了            
(3星)	 至少认识了金泰熙            
(4星)	 感人吧？            
(3星)	 靠。男二号张得那叫一个狂野。            
(4星)	 高中时代 全部口述剧情给同桌听 当时真都记得下来。。。            
(3星)	 我妈很喜欢……            
(3星)	 年少男女不能比 哦李菀哦假如爱有天意            
(2星)	 安徽卫视，永远的噩梦            
(4星)	 又是生死别离的~            
(3星)	 韩国爱情片就跟三少的书一样~看一部是经典,看两部是好片,看三部有些腻味,看四部就成了那流水！            
(2星)	 金泰熙姐姐的金鱼眼印象深刻            
(5星)	 我爱它，所以恶俗也好，狗血也罢，就是会在每个诚俊看着静书的深情时刻心里隐隐颤抖。。。喜欢他们的童年，美好得像梦；喜欢诚俊的凝视，通红的眼神像是蕴藏着海一样的深情和痛苦，大爱            
(4星)	 这部剧再多的好都不如长大后那位泰华的雷给我印象深……            
(NA)	 雷人剧            
(4星)	 想逃避人生吗？那就请看韩剧吧！            
(NA)	 失忆+眼癌（总算是想到了白血病之外的不治之症了）            
(3星)	 剧情很奇怪。。。            
(3星)	 话说这片走的是唯美路线。喜欢游乐场。            
(4星)	 崔智友姐姐~            
(3星)	 很俗套的剧情！~            
(NA)	 因为为金泰熙而看……            
(3星)	 苦情戏，不想哭就别看，看了难受，而且都是那一套。            
(3星)	 哭天抹泪型，么撒亮点            
(5星)	 哭死了爱死了。差不多每一集都哭一次。            
(3星)	 还有比这个更惨的吗？哈哈哈哈            
(NA)	 不知道流过的泪可以用什么计算，可以形容的只能用从头至尾了，为了至死不渝的爱情而哭泣，也为他们的遭遇而落泪，浪漫有时伴随着不现实，我们却恰恰在现实中追求着那么动人心弦的邂逅。            
(2星)	 超不搭配的姐弟恋……            
(4星)	 权相佑，大爱~~ 真想自己是崔智友扮演的角色T__T            
(3星)	 。。。            
(4星)	 我喜欢童年那段- -            
(5星)	 很厉害的韩国编剧！            
(3星)	 都是一个调调..惨得很            
(3星)	 后妈、兄妹、撞车、失忆……几乎所有经典催泪的情节都占足了，哭点低的时候看绝对要命的。            
(3星)	 我还是看了很多韩剧啊！- -||            
(4星)	 当年是一个晚上快进着看完的，还是很感动啊            
(NA)	 我爱权相宇            
(4星)	 好喜欢这部片子；跟着哭跟着笑。权那个邪邪的痞痞的样子就是觉得帅~可惜最后的结局还是韩剧的经典模式-历经千辛万苦后生死相隔。            
(3星)	 悲情            
(4星)	 很感人，但是，不怎么喜欢长的连续剧。            
(4星)	 哎哟 那叫一个悲哟~~            
(3星)	 拍得假了點            
(3星)	 oba oba oba obanitou            
(2星)	 不喜欢哭戏            
(3星)	 太悲情了，看不下去。            
(3星)	 2008，凝冻。            
(5星)	 大二暑假两天看完的，竟然第一次被韩剧感动            
(5星)	 唯一喜欢的一部悲剧。。            
(3星)	 我喜欢背景音乐和车诚俊~~~            
(3星)	 居然看地啪嗒啪嗒掉眼泪~~~            
(4星)	 中国翻拍了一次，惨不忍睹，原版还是不错的，可惜女主角的哥哥长得实在看不下去~            
(3星)	 男二总是脏兮兮的，女二的美貌胜过女一，ost maria不错            
(NA)	 还算是完美，凄凉的结局            
(3星)	 就冲着金泰熙看的。            
(4星)	 悲情的一塌糊涂            
(NA)	 。。。。            
(3星)	 我娘超爱.还超迷权相宇            
(3星)	 剧情……orz            
(4星)	 很感人            
(5星)	 主角里面绝对要消失掉一个，老掉牙了，但是当时的权相宇，确实是....            
(NA)	 看不下去……            
(5星)	 心中第一部打开我心扉的韩剧。            
(3星)	 韩剧就这样            
(3星)	 典型的韩剧。权相宇哭起来太让人心酸了。。            
(NA)	 好看倒挺好看，不过没改变韩剧的特点，比较喜欢那个张理事，慈眉善目的            
(3星)	 不得不承认，有些地方还是很催泪的            
(4星)	 剧情有点虐金泰熙好美阿还是~~~比较喜欢小时候都戏            
(NA)	 因爲崔智友才看得            
(3星)	 搞不懂人物到底是個甚麼性格...            
(4星)	 又一个我喜欢的气质女人~            
(3星)	 剧情超级拖 我随便落下几集再看都可以知道现在干嘛了            
(3星)	 只记得金泰熙好漂亮            
(5星)	 中毒中毒。            
(5星)	 凄美的爱情！            
(3星)	 恩．．．最近又开始无望的卷被岁月和肥皂剧日．．．如此缓慢压抑的剧都能看到一半．．．我承认我有用片中女主角悲惨命运激励自己的不纯动机．．．话说，权向宇真是天生的悲剧脸，玄兵也是．．我突然联想到了一些很负面的东西            
(4星)	 虽然是妈妈级超爱看的连续剧 但偶还是看了一记 确实不错 满感人的            
(4星)	 又是个绝症的            
(4星)	 韩剧经典套路...            
(3星)	 突然发现我看了很多悲剧……自虐狂            
(5星)	 好喜欢这部,看最多次的韩剧就是这部了.只要看到电视有播必定停下来看            
(5星)	 不知道哭了多少次我也希望有个哥哥            
(NA)	 那个眼泪流得            
(4星)	 很喜欢他们相处的时候泪奔~            
(5星)	 再一次看天国的阶梯，再一次流泪            
(4星)	 老妈和我都热爱看= =.            
(5星)	  天国的阶梯 崔智友 权相佑 爱情 悲剧 经典            
(3星)	 国内版的也不错啊....            
(3星)	 我去过剧里面的游乐园哦~            
(NA)	 韩剧。。。。。。            
(2星)	 老套。            
(5星)	 不想多说，我只是很爱，很爱这样片子，这样的权权            
(4星)	 温故就会知新            
(NA)	 因为 这部剧集 很 喜欢 权相佑            
(4星)	 金泰熙很漂亮啊            
(3星)	 隐约记得里面好像很多奔跑的镜头生命中如果有这末多错过的话 那还不如永远都不再见            
(2星)	 好吧，里头惟一喜欢的竟然是女二号。是喜欢演员噢，不是喜欢角色。            
(NA)	 不喜欢纠结的。            
(3星)	 看到10集就不用继续了，唉，最开始年少的车松株多么可爱啊，喜欢的紧            
(4星)	 伤。。。但看第二遍就没感觉了。。。            
(2星)	 俗到看着看着就睡着了 连结局都不知道 反正不是你死就是我亡~            
(5星)	 哭得稀里哗啦。            
(1星)	 再囧就没有了。。。            
(3星)	 看的我这个纠结啊~比看《还珠格格》紫薇被容嬷嬷针扎还纠结            
(NA)	 我爸超爱看的。。。            
(3星)	 泰华的悲哀.            
(5星)	 是我极喜欢的一部韩剧，喜欢他们小时候的温馨，喜欢诚俊的深情，虽然真的是套路了，但我认为演员真的很重要，权相佑，这个男人忧郁的眼神，有让人沉沦的魔力。。。            
(4星)	 一个人半夜偷偷看            
(5星)	 仍记得当年，和妈妈一起在家里看电视，一边看一边复习高考。。。。。            
(3星)	 不堪回首的迷途小羔羊时期            
(4星)	 因该是我看的第一部韩剧, 权童鞋的眼泪啊.            
(NA)	 悲伤            
(5星)	 看了一半伤心地都看不下去了            
(5星)	 当时看的时候，两个宿舍的人围着电脑哭泣，壮观            
(NA)	 曾有一张照片模仿这个里面的。。跟好朋友在海滩头靠头站着照的。            
(2星)	 不喜欢那女的。            
(4星)	 老妈的最爱.跟着看了七千八百遍            
(3星)	 害怕悲伤            
(5星)	 爱情有时候是不完美的，但是充满温暖的回忆可以永远代替离开的我，陪在爱情身边。            
(5星)	 崔智友很漂亮            
(4星)	 em 没看过结局 女主角不是很好看 却不让人讨厌~            
(3星)	 苦情……            
(2星)	 模仿剧 快进着看完滴 ；（            
(2星)	 超简单误会十年解不开的典型。            
(4星)	 我妈超爱看            
(NA)	 天国的阶梯            
(2星)	 非常老套的剧情，完全只是在看男主角的脸而已            
(2星)	 一塌糊涂            
(4星)	 太悲情了……            
(4星)	 喜欢配乐..            
(NA)	 开始觉得那个男的不错！            
(3星)	 输问卷的时候瞄两眼            
(3星)	 不咋地            
(NA)	 哭过            
(5星)	 半童话            
(2星)	 看一半就看不下去的垃圾            
(NA)	 让我久久不能释怀的疼~~            
(NA)	 太悲了            
(4星)	 又一标准韩剧            
(4星)	 感人ing            
(2星)	 - - 挫。            
(NA)	 忘记具体演什么了～            
(4星)	 太。。太。。悲~承受。。。            
(NA)	 天国的阶梯 韩剧             
(NA)	 哭得好辛苦啊,从片头到片尾            
(NA)	 权相佑也很帅，忧伤深情的眼神，爱流泪却也让人心动。            
(NA)	 這些都插進去看的,結局不太好.            
(5星)	 经典的韩剧，为什么喜欢的人这么少呢。。            
(3星)	 还不错...            
(NA)	 被迫看的，真是很受不了这种调调,磨磨叽磨磨叽磨磨叽！！            
(4星)	 还蛮喜欢权相宇的，演起悲情戏挺感人的            
(3星)	 不喜欢。但是还是看完了。            
(4星)	 为什么这么老套俗的剧情我还哭得眼睛都肿了？！！            
(NA)	  崔智友太可爱了            
(3星)	 从头悲到尾..            
(3星)	 看了一点            
(NA)	 从头到尾的催泪，音乐不错。            
(NA)	 曾经全宿舍看的一起哭            
(NA)	 看几遍哭几次            
(4星)	 已经看三次`都会哭得稀裏嘩啦            
(NA)	 当时觉得权相宇不是一般般的帅啊~~            
(2星)	 没什么            
(3星)	 更喜欢小时候的他俩            
(3星)	 寒假的时候陪着老妈看的。。现在对韩剧没什么兴趣了诶            
(4星)	 我妈和我一起看了好多遍。直到现在她还在看。            
(3星)	 挺感人，歌也挺好听的。            
(5星)	 典型催泪韩剧！            
(5星)	 悲伤的剧情,让人含泪观看,与剧中人一起痛苦            
(5星)	 http://www.youku.com/playlist_show/id_345910.html            
(3星)	 不喜欢把女猪整的那么惨            
(NA)	 权相佑，崔智友，都是曾经的爱            
(NA)	 崔智友 权相佑            
(3星)	 这样的悲剧，叫人萌生疼痛~~~            
(2星)	 累啊            
(3星)	 太悲情了            
(4星)	 就喜欢小时候的那段，无有忧虑得令人煞是羡慕！            
(3星)	 无论怎样我都会再次爱上你。。。            
(3星)	 太压抑了            
(3星)	 遗憾的爱情悲剧            
(NA)	 个人感觉权相宇比较象chris            
(NA)	 太悲情　            
(3星)	 我不爱这样的悲剧            
(3星)	 悲剧我最受不了～～所以赚了我不少眼泪！            
(5星)	 催泪经典稳坐第一名            
(3星)	 申贤俊不够帅，金泰熙又只会瞪眼睛。男女主角怎么看都不搭            
(3星)	 不喜欢悲剧 人家都把眼睛捐了 但为什么还是这种结局~            
(NA)	 泪流成河成海了都。            
(5星)	 最爱的韩国电视剧,爱一辈子...            
(2星)	 难看            
(1星)	 实在是受不了崔智友了            
(1星)	 活生生的例子——性格决定命运，谁叫你那么软弱！我妈教我的话得到了最好的验证，看女人年龄可以看脖子，那数不过来的褶子哦。还有野兽男，够了，哪来的哪去吧            
(3星)	 看的我累死了             
(3星)	 又一部哭戏，剧情融合了蓝色生死恋，灰姑娘，冬季恋歌等一系列让人揪心的故事，男女一号的泪水也是说来就来，女的还是死于非命，男一还是痴情种子，男二还是甘心奉献那种，女二还是很恶毒。其实挺感人的，是那种看了第一遍不想再看第二遍的片子，因为不想哭            
(5星)	 蛮好看的悲剧...就是太波折了...            
(2星)	 韩剧之五毒俱全，豪门，失忆，失明，绝症，兄妹，后母，恶女。。。            
(NA)	 o(∩_∩)o...            
(3星)	 编剧要不要拿一个人的命来换一双眼睛啊，太狗血了吧。            
(4星)	 一个生来带有悲剧感的民族            
(4星)	 权权啊            
(1星)	 太无聊了~~~简直是浪费时间！            
(NA)	 背景音乐很好听，权相宇很痴情。青梅竹马的爱情总是那么经典。            
(NA)	 太喜欢权相佑了！            
(4星)	 当初哭得那叫肝肠寸断啊            
(4星)	 里面的音乐相当不错啊            
(1星)	 在朋友大力推荐下，满心期待开始看。。。一半过后实在忍无可忍，边看边快进。。。看得偶心力憔悴。编剧太烂！自此，该剧成为偶心中最烂，权相宇也荣登偶最见不得韩男星之榜首~            
(4星)	 像童话            
(NA)	 我的伤悲，你不懂            
(4星)	 如果你说是左边,我绝对是左边,如果你说是右边,我绝对是右边,重要的不是哪一边重要的是信任,你的心也是,我的心也是，永远都不会改变 。            
(4星)	 很喜欢崔智友淡淡的美            
(NA)	 老模式            
(4星)	 本人看的第1部韩剧...男主角成年后再次遇到失忆的女主角那一段很美好...后半部分是隔了将近1年后看的...落于俗套了.            
(4星)	  崔智友 权相佑 感人            
(4星)	 &#34;改观&#34;之作2--我喜欢他            
(4星)	 有抄袭之嫌。。。虽然曾经迷过权相宇。。            
(3星)	 看得太晚，不再感动            
(NA)	 除了感人，还是感人            
(4星)	 最喜欢的韩剧　崔和权真的很搭．．而且恰好都是我最喜欢的男女长相　有时间会再看一遍！！            
(2星)	 磨磨唧唧的            
(4星)	 想哭就看            
(NA)	 苦中最苦            
(4星)	 不管故事是不是太多破绽，感情是真的让人心碎。            
(4星)	 悲惨啊悲惨～ 喜欢那个小时候的承俊            
(3星)	 真是惨啊，还磨矶            
(4星)	 很感人，哭死我了            
(NA)	 男人呀别老哭            
(3星)	 不是非常的喜欢！            
(2星)	 又来了，，失忆，，继母，，，有钱男，，            
(5星)	 呵  和LM一起555            
(5星)	 可能那一个时期看多了权相佑，还满喜欢的。            
(3星)	 夺了我多少眼泪，再次证明，在崔智友的影响下，我是无法不流泪的            
(4星)	 二期韩剧风格            
(NA)	 一部烂片            
(NA)	 难得喜欢的韩剧            
(3星)	 权相佑滴个人风采写真还真是能哭            
(NA)	 受不了            
(3星)	 只有韩剧才有的爱情            
(NA)	 剧情太恶了，根本不可能发现不了            
(NA)	 崔智友的招牌哦`眼泪`            
(5星)	 感动 哭得唏哩哗啦的            
(3星)	 崔智友也可以和权相佑搭档，效果好过和裴勇俊？            
(1星)	 垃圾中的垃圾，看得我想把那女主角从电视机里拖出来杀了            
(4星)	 对权相佑改观            
(4星)	 妈的，什么结局，看了就难受            
(4星)	 因为这个电视喜欢权相佑            
(2星)	 和其他韩剧不同的韩剧。            
