http://movie.douban.com/subject/6810832/	花美男拉面店 꽃미남 라면가게
(4星)	 好帅，青春偶像剧就要这么又哭又笑哇            
(1星)	 除了男1号，没有值得看的啦。。。            
(3星)	 丁一宇像权相佑，李清蛾像整容前的李多海~爱情轻喜剧，完全冲着丁一宇~            
(3星)	 剧情是头一开就知道了的，不过剧终温情+搞笑的戏份，还是让我开心的看完了16集。            
(NA)	 绝对算酱菜萝卜级别的！！！~            
(3星)	 时不时地还是要看一两部这样的脑残偶像剧。虽然是刻意为之的男后宫+刻意为之的男男暧昧镜头，但是看着当不用大脑也蛮轻松的。丁一宇黄头发还挺帅的，毕竟鼻子都假到发亮的程度了，180+的身高也够撑得住台面。还有就是真的没认出来女主是当初朗的诱惑那个小妮子。            
(5星)	 韩剧啊。。。骂着你又割舍不下你。。            
(2星)	 不爱看这些片乐。            
(2星)	 跳着看的。。所有一切都无比混乱。。            
(1星)	 郑日宇你现在走的是什么路线？            
(3星)	 又看脑残偶像剧了。发现男二是我的小众口味旧爱。            
(3星)	 就这样呗，花美男和拉面都是没营养的好货色啊！            
(3星)	 冲着帅哥，很勉强地给了三星。大概是这样的心理。            
(3星)	 片子好渣！三星都给李基宇！            
(NA)	 诶，转型后真难看，我看不下去了。            
(1星)	 能让我再看一部比这个还烂的韩剧吗？故事完全模仿秘密花园，就连郑日宇的扮演中都能看出玄彬的影子。唯一的亮点，金保罗很帅            
(NA)	 跟Jen一起看的。看的英文字幕！尼玛！老子头一次知道美国人也是追韩剧的阿！！！我擦！！！快回到老娘初中的情商了！！！            
(3星)	 剧情一般，四个男人比较给力~            
(3星)	 男二号永远是悲情的啊TAT虽然我好喜欢他~保护者的角色就是讨喜啊~            
(3星)	 受不了了！！！！前面还不错，越看到后面越心寒，太2太傻太罗嗦太崩溃。。。男子门的样子还不错            
(3星)	 宅女需要花痴卖萌脑残片！不要烂尾！            
(3星)	 结尾太仓促了 -            
(4星)	None
(3星)	 哈哈哈哈哈真的是太无厘头了，不好评分。虽然我定位它在一个不太高的level，但我确实还是笑了很多呀-。-            
(3星)	 因为丁一宇才看的，女主不好看            
(2星)	 刚开头女主角出来我就没兴趣了。。。 长的跟男主角他妈似的。。。            
(5星)	None
(2星)	 我真是无聊到蛋疼才看的。            
(3星)	 和拉面馆没多大关系            
(4星)	 看到第十集了，最后那个KISS真是让我挠墙啊~~~心就像猫抓一样，自己在屋又叫有跺脚的！兴奋了一晚上，我是我看过所有韩剧中最肉麻的一部了！现在也在看《守护BOSS》，感觉人物塑造的好像啊，不过还是拉面店最好看了！            
(NA)	 弃了。。。。            
(3星)	 2011            
(3星)	 丁一宇还是在49天那个片子里比较有感觉。这部戏有点脑残。演技夸张不讨好。            
(1星)	 看了两集实在看不下去了，弃            
(4星)	 不用动脑子的电视剧最治愈了~            
(3星)	 总觉得这个片子没说话一样，就结束了。我单纯喜欢男二号，如果不是他，估计看不完            
(2星)	 浪费了顺眼的男女搭配 搞了个眼花的噱头半毛钱关系也木有 各种sb生搬的剧情 实在木法子忍了 垃圾            
(2星)	 弃之。。。好烂的剧情=。。=            
(2星)	 5集弃            
(5星)	 郑日宇帅呆了碉堡了！！！！！！！！萌死姐了！！！！！            
(3星)	 后面有点没意思 这个片子不行啊             
(2星)	 太可预料的俗套剧情几乎全部被我猜中了完全木有惊喜，开头还蛮好笑的后面连笑点都木有了            
(2星)	 哎            
(4星)	 反正我觉得挺好看的            
(1星)	 实在受不鸟了，连带演员都觉得是SB了，什么眼光挑这个烂片            
(3星)	 三星全是给丁一宇的微笑的。。。其他什么的基本无            
(2星)	 说实在的，很没有剧情没有内容的剧，女主除了咆哮不会别的了            
(1星)	 棒子说英语我好想SHI            
(3星)	 主角长的都不错, 剧情一般。纯偶像剧...            
(NA)	 同学 还是高中生适合你啊            
(3星)	 真正的脑残偶像剧。。。看之前一直很喜欢《搞笑一家人》里的允浩，看完觉得丫就是一个瘦！！！受！！！太郁闷了。让我对韩剧绝对的失望。。。            
(NA)	 49日后熟识了丁一宇，爱有天意里被父亲狠打的男生，婚纱里那个开跤拳馆的高个子，终于记住了他叫李基宇。TVN的剧，经历过需要浪漫，知道早晚被版权，昨天编了个豆单，今天中午还有，现在已经被删。接连4集在仙仙那点了点，画面很明丽，但剧情极度夸张幼稚，留给还爱做梦有少女心的孩子们看吧~            
(NA)	 弃。            
(3星)	 一般，还不是一般的一般！            
(3星)	 有点小搞笑，剧情太一般了            
(NA)	 정일우  !            
(3星)	 为了看郑日宇。无奈忍受不了剧情，四集弃。            
(3星)	 蛮搞笑的。也蛮感人的。秘密花园的梗很好的融入。还带着一点点的基情。但是呢。。结局很唐突啊。。。有种烂尾的感觉。。            
(4星)	 还是轻松搞笑的韩剧适合我！最近不能再沉迷电视剧了。。。            
(3星)	 放假太無聊看了這,真的就是一貫的韓劇的劇情.            
(3星)	 本来是为了郑日宇看的，可是剧情太那啥了，弃剧。            
(4星)	 笑死了好么！！！              
(NA)	 纯属娱乐，看完就不大记得剧情了。也没有多美男啦。            
(4星)	 亲爱的，老婆，老师，姐姐！O(∩_∩)O~四男1女            
(2星)	 看了几集实在看不下去了。。。丁一宇也救不了这烂剧。。。2011年11月。            
(3星)	 完全靠丁一宇在撑，整部戏完全讲一出是一出，外加各种老套狗血剧集大拼凑。            
(3星)	 这部的男猪脚挺养眼的，剧情没什么养分。            
(4星)	 我喜欢。。。            
(3星)	 硬着头皮看完的。            
(3星)	 还不错。。。除了大结局二了点。。。            
(3星)	 烂俗的师生恋。刚开始还蛮搞笑的，后来越来越无聊，直接看了大结局，当然是在一起的。 还有女主角好丑呀！！            
(3星)	 剧情不行 人是蛮帅的            
(3星)	 因为有笑点，所以给三星。            
(3星)	 个人觉得搞笑部分的风格有些像台剧            
(4星)	 花美男的最先版本 看在这个份上多给了一颗星            
(NA)	 幸福可以用拉面来分享            
(3星)	 若不是李基宇早就不看了。。。            
(3星)	 小雨雨，你还能更羞射一点么！            
(5星)	 好烂的故事哦，我居然能看完，真是好帅的一宇阿。色另智昏            
(3星)	 男主角们长得实在是……            
(2星)	 剧情很2~2的没有逻辑，都没看完。。。实在是很无聊            
(2星)	 纯为了看丁一宇 实在坚持不下去了 剧情怎么可以这么弱智            
(3星)	 帅不帅真的是要放在角色设定中来看呀            
(2星)	 过了半个钟的剧情，丁sir您这次挑的剧本是在是。。。sigh...            
(2星)	 白痴            
(3星)	 全是为了郑日宇看的 哎~            
(2星)	 颜无爱 男二又悲剧了            
(4星)	 剧情有些老套，男主角的微笑很吸引人            
(4星)	 男主角不帅，剧情还行。            
(3星)	 打发时间            
(5星)	 帅哥很多哦~            
(3星)	 十集弃 前面六集蛮杂劲额 ep7开始昏昏欲睡 勉强了3集 实在看不下去了 =_=  @兔咭咭            
(NA)	 女主丑的不能忍啊~~~            
(5星)	 是冲着丁一宇看的哦            
(2星)	 真后悔没先看豆瓣分数，否则我一定不会熬两个夜看这么烂的剧            
(3星)	 放松搞笑白痴剧很好的选择=V= 其实有时候虽然设定很童话，剧情也不合理什么的，但电视剧偶像剧搞笑剧，就不要计较那么多了~带来美好的感觉就好！            
(2星)	 冲着男二号李基宇去的，却演了个最最没用的男二号，有不喜欢男主，不知道我肿么坚持下来的。。。            
(NA)	 女主你长那么丑干嘛不去整整啊，不要来祸害我的眼睛。日宇啊，长得那么帅干嘛还要去整啊，还有你把自己弄的太瘦了，没有原来好看的说。这剧里的各个角色都好二啊~剧情太差            
(3星)	 那女的眼睛永远睁不开的            
(NA)	 女主角越看越别扭            
(NA)	 前面还行，后面真一般，有点儿无聊啊~~~            
(NA)	 都是喜欢的演员。又是帅哥。再老套我也忍了。            
(5星)	 丁一宇超帅。演技也很好。极品伊素儿一脚踏N船，同母异父的兄弟。剧情设计还真是都前卫的。女主角真丑，总是挤眉弄眼的那张脸很恶。            
(3星)	 主要是奔着帅哥去的 剧情一般            
(3星)	 要不是想从里面找回允浩的样子，这么扯蛋的片子瞧也不会瞧一眼            
(5星)	 太搞笑了！！            
(3星)	 李清娥初始看觉得有些大龄。接着看下去其实挺生好的。车治秀（丁一宇饰）财阀富公子，卖足萌一点高中生样都没。部分类秘密花园。            
(3星)	 编剧肿么了             
(3星)	 除了女主 剩下的都能看            
(NA)	 看在有帅哥的面子上，原谅这无聊的剧情吧            
(2星)	 编剧太差……俗套            
(3星)	 说男主19岁真是太坑爹了。。。。这剧和“拉面”没有关系，坑爹again！            
(3星)	 女主像桂纶美，那颗痣的确很美。男二拥有永远的安全感。生鸡蛋爆头戳中笑点。            
(4星)	 男女都喜欢！挺好看的啊。。。。为什么分数这么低。。。            
(4星)	 完全的脑残剧情，但是因为小宇就变得好看😍😍😍我讨厌无脑女主            
(2星)	 完全可以开2倍的速度看完整个剧=，=无压力 女猪好做作            
(3星)	None
(2星)	 脑残的一部             
(3星)	 一星给男二美好的身材....其他的就算了吧....            
(3星)	 我不太喜欢丁一宇这么不淡定的样子~            
(3星)	 无聊时消遣不错            
(3星)	 女主太抱歉              
(3星)	 哎哟 好俗气 什么眼光嘛  慢热。。。。。            
(3星)	 生活无聊了  来点脑残棒子剧开开胃！！！            
(3星)	 没有坏人，不用动脑，有小帅哥，不脑残，穷欢乐。多适合假期观看啊~~~            
(2星)	 女主好难看- -            
(3星)	 是为了看丁一宇的。。。            
(3星)	 不用动脑子去看的韩剧 青春啊青春            
(NA)	 那些年看 狼的诱惑 被姜东元迷得要死的日子呀~~~女主长大了果然还是呆呆的，看没营养的棒子国偶像剧也开心，我脑残所以我快乐！~~~~而且保罗好可爱啊哈哈！            
(3星)	 从2/5开始就越来越烂一直在快进了。但是持续整部剧的想吃泡面的欲望没有变。。。            
(NA)	 可见我是有多无聊啊            
(NA)	 今天心中有火，删了，不看了            
(4星)	 哈哈，太可爱了。女主感觉是桂纶镁和金泰熙的综合体啊            
(2星)	 女主做作夸张—— 一直没红的她要好好检讨自己演技方面是不是有问题。男主无聊幼稚——第一次见韩剧中这么白痴不讨喜的公子哥。剧情到底在说什么。不明白            
(2星)	 有点模仿secret garden的桥段，连配乐都用了，是有多懒= =            
(5星)	 很好看，超级搞笑            
(1星)	 看不进去            
(NA)	 抗打击能力这么强的我，这部剧真心看不下去了            
(3星)	 还可以 如果真的能是“花美男”的话就算强大后宫YY剧了……            
(5星)	 最爱肥皂剧            
(4星)	 男主有弘基的影子            
(NA)	 帅哥啊！！            
(4星)	 挺好笑的。。剧情老套            
(4星)	 暖男笑颜真好看~            
(3星)	 偶尔看个韩剧。。。挺搞笑。好想吃拉面呐~{(-_-)}            
(NA)	 吃撑了无聊空虚寂寞不想用大脑的绝佳消遣╮(╯▽╰)╭            
(2星)	 我不知道哪里好看了            
(3星)	 女主长得太像朴信惠了。。。对这一类的彻底绝缘了            
(2星)	 真心不配啊            
(3星)	 …… ……＝　＝            
(3星)	 剧本不够严谨 很多细节禁不起推敲 还有就是情节剧情都太弱智了 整个太不真实了。 但是好在男主们的身材还算不错 都是华丽丽的大长腿儿 冲着这点看看还是不错的 然后金保罗跟禹贤宇才应该在一起 那华丽丽的BL爱哦~~~ 整个太炫目了~            
(4星)	 刚看完了，虽然真心就这么演演，大家也就这么看看，我喜欢男主角的身材，星星眼~biubiubiu            
(4星)	 哈哈哈太搞笑了            
(2星)	 结局微亮。爱情就像煮拉面一样。最重要的是时机，天时地利人和，缺一不可。            
(3星)	 就像中间没看一样，喜欢就那么容易啊 最后到底还是不是富家子啊 这取决于我认为它是he还是be啊啊            
(3星)	 打发时间的咯~不过男二倒是意外的又帅又可爱=。=            
(4星)	 回来看完结局，好想吃拉面啊...想起了很久以前看的《那小子真帅》和《狼的诱惑》，花痴的年代啊！            
(4星)	 For 郑日宇！            
(2星)	 没太大的感觉，快进看到10左右，弃之            
(2星)	 跟拉面有毛线关系？？            
(3星)	 一般的剧情，不过穿插的搞笑情节有时候真的很有趣，无聊时打发时间的片子吧。            
(2星)	None
(1星)	 我吐了！可以给负分的话绝对没有一星！！！            
(NA)	 即使不停的跳过跳过跳过 依然看得我快睡着了 。。。            
(3星)	 丁一宇!!!搞笑一家人的时候就看你勾引男校女老师了，这么多年了还是这样啊= =III   这部剧又是看你全耍帅╮(╯▽╰)╭            
(2星)	 男主是超自恋的弱智儿，女主是整天YY的暴躁狂。神马山寨秘密花园？明明差好几十个档次！！            
(3星)	 不怎么的, 就是来看丁一宇的...            
(3星)	 只是怀念 狼的诱惑，男二也是电影卡啊~男主这型一直无感，各种快进，无功无过~~            
(5星)	 什么都不说了，郑日宇太帅太可爱萌死我了啊·~~            
(NA)	 结局囧了 这叫什么结局呢 其实前面还好了 虽然还是一贯韩剧的套路 但是可心人的大叔就给走了 让我不能释怀 好吧其实我是看上他得一身厨艺  期末开始看的还是挺happy~            
(3星)	 轻松无障碍            
(NA)	 这些高中生也太成熟了吧！！！            
(1星)	 首先要说的是男主太丑!!!然后说下为何两星。①妈妈dei，我泪点低啊，一走亲情路线我的眼泪就花花流...②女主原来的偶像是神话...编剧，原来你是神话创造!?不得不多给一星!最后再说下，女主整容后再出发希望能红...反正看狼的诱惑的时候我很怀疑，为什么找她演女主...【改成一星，实在无法忍受的片子】            
(NA)	 烂剧。。。。我就喜欢男2.那个男一。。。。怎么这么多人喜欢。。。            
(4星)	 我就喜欢这类型轻松不用脑的，这是我看韩剧最大的推动力。我是脑残粉 (*￣︶￣)y  这个09年还叫郑日宇 11年就变成丁一宇== 真的没有微整吗？第一眼还真没认出来 只是觉得很眼熟，百度了一下才确定真的是郑日宇。比09年帅了，下颌骨小了。囧 还有这个女主角 这么多年都没火啊。            
(3星)	 男二不错，其实为毛把男一设定成高中生呢，作为一个大妈我无法接受神经错乱啊            
(3星)	 为了郑日宇看的 很失望 看来因为心中有李允浩 就再也接受不了他的其他烂角色了..            
(4星)	 搞笑加帅哥            
(3星)	None
(3星)	 拖沓~~不过有情节还是有点小搞笑的。。            
(2星)	 5集就可以结束的剧情、硬要拖到16集。            
(3星)	 唉，女1在海报上P了吗？整个剧看完之后我对女1总结了一个词：猥琐。就没见她直起腰来好好走路啊~~相比起来还是比较喜欢女2，虽然不知道她脑子是什么构造的。再就是结局弱爆了，男1和女1，男3和女2，男5和女3都有结局，连男4都有了厕所艳遇，男2哪去了？？！！帅气的男2哪去了啊！！！！            
(3星)	 额。。冲着男主角去的。。            
(4星)	 帅哥效应持续中。            
(3星)	 真的是，挺无聊的。要不是为了学语言，韩剧真是一集都看不下去，无论多坎坷的过程，男二女二通通炮灰，男女主最后都会牵手成功，韩剧就是用来刷新我的扫雷记录的，哎。。。            
(3星)	 拉面与鱼子酱            
(2星)	 边聊天边上网看完得。虽然对韩国电影有了改观，但对电视剧还是不敢恭维。对那种帅哥卖萌和丑女变美的套路实在不感冒，一群成年人装疯卖傻，故意夸张搞笑。。看也是因为男一很像某人呢。            
(4星)	 美男效应。            
(5星)	 十六集刚刚好。            
(3星)	 就看看帅哥好了            
(4星)	 男二很有型，男一很脑残            
(2星)	 女主角太丑了。只能慰藉的看点男主的搞笑。            
(3星)	 为了男一号，勉强给个3星            
(3星)	 郑日宇皮相还可以女主不行啊~另外前好多集明明就和拉面馆没有关系==一般一般~            
(3星)	 我冲着丁一宇去的。剧情真是烂爆了。            
(3星)	 一般般啦，比较做作            
(3星)	 保罗呀保罗~~你才是我看这剧的动力~~~            
(4星)	 好搞笑~            
(NA)	 一般般..男主不错~            
(3星)	 让我看下去的动力是又高又MAN的男二            
(4星)	 2012            
(4星)	 还挺搞笑            
(5星)	 搞笑            
(3星)	 轻松搞笑            
(4星)	 啊 我觉得挺逗的啊            
(1星)	 花美男在哪里啊混蛋，各个都丑爆了好嘛！弃！            
(3星)	 一开始觉得那个女的阿是有神经病阿。。后来看看正常点了。。男的好嫩阿。。。。。嘿嘿            
(2星)	 我以为是一个有美食至少有很多好看的做拉面的镜头…结果…算了都第六集了，出现的就是方！便！面！弃了……话说果然年纪大了就特别见不得韩剧夸张并且做作的风格啊……            
(2星)	 5集弃。槽点如此之多让我如何吐起。。。前4集整一个女教师与男高中生版的流星花园=_______= 第5集当男二拉着女主的手放在心前一脸深情地说“吃了你爸爸的拉面我重新活过来了 煮拉面就是在煮人的心”的时候 我知道我无论如何都承受不了了。。。。另外 女二这朵奇葩究竟是哪里来的神奇物种。。。            
(3星)	 剧情虽然不咋地，但是某些桥段还是很欢乐的~            
(2星)	 导演风格太恶俗，导致演员也表现恶俗            
(3星)	 看一看帅哥的颜就够了 电视剧结局各种不出人意料 男二和女主在一起就好了啊 说真的觉得丁一宇和女主不适合啊.....            
(4星)	 mb 太搞笑了  表情都好丰富 哈哈哈哈            
(3星)	 韩剧证明 看起来多无所谓的男人 当他在为一个女人出面 替她出气的时候 还有他强势的时候 都是最帅的。我蛮喜欢丁一宇~            
(3星)	 无能编剧...台词没有任何营养...丁一宇搞成了白痴男...女主难看 - - 加一星给那个高个儿男吧....            
(3星)	 前面还不错，看到后来没太大兴趣了，直接跳结局~            
(4星)	 ただ面白い。。でも１０までね。泣く顔をしたのは嫌。。            
(3星)	None
(3星)	None
(3星)	 即使剧情很小白，但是因为男主角比较养眼，情节比较漫画，我还是坚持看完了~话说我一直觉得丁一宇演的根本就不是高中生呀~            
(4星)	 两个人的爱情其实都是日韩偶像剧的老路，男猪脚慢慢发现自己的感情，感情戏不太多，不过以拉面为题材还是挺新颖的，贯穿了慢慢的爱。。            
(3星)	 花痴了一下 其实蛮搞笑 但是剧情好不靠谱 = = 重点是我还看完了            
(2星)	 看美男来的，快进收工，女主真够丑滴            
(NA)	 剧名太戆，男主太帅，肿么办= =            
(3星)	 一度还是蛮喜欢男主这样的笑容滴，剧情嘛比较意料之中拉。无悬念。一般般。不过有些地方还是蛮好玩的。            
(1星)	 实在是受不了女主了喂               
(3星)	 所有分数都给丁一宇不解释..            
(4星)	 宅在家里看到的东东            
(2星)	 插科打诨地也得看看脑残剧 女主好像崔智友啊有木有            
(3星)	 只看演员和笑点。。剧情神马的就不要期待了            
(3星)	 无聊的消遣            
(4星)	 哦道开！            
(3星)	 让保罗和班长在一起吧！亲！            
(3星)	 我就是来看郑日宇的。            
(3星)	 虽然剧情狗血了些 但是还不错!!!有激情的kiss!!!            
(3星)	 看帅锅咯~~其实我喜欢男二。成熟认真表情的脸。            
(3星)	 把它当短剧看就很high咯，很有漫画feel，不需要逻辑性，茶余饭后的消遣。            
(4星)	 喜看帅哥的要看，姐弟恋的要看            
(3星)	None
(3星)	 真是让人难以接受的姐弟恋。19岁的高中生？没有逻辑，只能完全当成茶余饭后的消遣喜剧去看。            
(4星)	None
(3星)	 很搞笑。泡菜KISS很WARM。但是结局很屎。完全不知道在讲什么。            
(3星)	 现在有点扯~~~            
(1星)	 女主角太丑了。。。。丁一宇也没有当年在搞笑一家人里好看了。。。。少年味不见了。。。。。剧情也不是我喜欢的菜。。。。。。。            
(4星)	 只要是欢乐的，我都给4星            
(4星)	 是一部刚开始不太吸引的剧，不过却是越看越有feel，可以看到还没成熟的男银和成熟了的男银追女人的性情，完全被丁一宇迷倒,(而且剧中有许多衣物都是一宇本人的~）            
(3星)	 如果没有小宇，我应该不会。。。。            
(3星)	 女主角是按照桂纶镁整得吧……            
(4星)	 后半开始有点拖，前面很搞笑            
(2星)	 这苍白的剧情，实在浪费了演员的脸，郑日宇啊，这种剧以后你可不能接啊，要不演技怎么能进步呢，本来49天里看你都进步了，结果又被这部剧给拉下来了！            
(4星)	 跳著看還不錯。            
(1星)	 剧情很烂，俗套元素大集合，要不是丁一宇同学演我是不会看的。相差6岁的姐弟恋+师生恋接受起来真的有点困难，而男猪脚竟然是93年的小孩~~~真心不想说什么了            
(NA)	 亲 你和李敏镐能不能稍微挑挑剧本啊。。。。。。。。。            
(2星)	 不好看，扯淡么~            
(NA)	 这是一部少女向，演员练习搞怪、发飙、各类夸张表情以及说花言巧语台词用的作品，假如你单身，最近也缺点荷尔蒙，可以拿来消遣~            
(3星)	 女主角太老太难看了...            
(NA)	 超级温暖~            
(4星)	 蠻可愛的 剛看完睡覺嚕。[月亮]            
(3星)	 郑日宇的笑容还是挺治愈的 不过我发现他一演到激动的地方 就是一个劲儿点头晃脑袋啊~女主角原来就是狼的诱惑的那个啊！我说看着怎么眼熟 果然还是那么丑……！！            
(3星)	 男1自“搞笑一家人”的大孙子后展现了长大的风范，侧面也8错，期待更多熟男佳作~~            
(3星)	 只是因为看到“花美男”而来，剧中拉面看来比较好吃啊~~可惜剧情一般~~还是比较喜欢男一号            
(3星)	 看到里面的孔孝真和扑通扑通是个鸡冻点。蓝后只要听到秘密花园的只剩下伤痛的口琴前奏也会刺激到笑点。矮油。49日里的搞笑懒羊羊尼玛去哪乐。不好笑不好笑。嗯。浓缩成5集就给尼4星。嗯。留海男什么的都速速散去吧。。。over~            
(3星)	 速食爱情片。很好笑倒是真的。结局也没有波浪起伏，好吧，纯属是为了丁一宇去看的。            
(3星)	 没什么剧情的片，感情也忽然深的莫名其妙，完全冲着小宇才看的。也就两星，多出来的一星是给小宇的。            
(4星)	 好笑死了！            
(3星)	 结尾两集太烂了            
(2星)	 我是有多无聊，居然看完了…             
(2星)	 剧情啥的没看头，女主也不好看，爱情啥的大家也编的出            
(NA)	 其实我不知道在看点什么。-_-!            
(2星)	 全寝室认为，只冲着郑日宇去的            
(3星)	 3.5            
(3星)	 还凑合吧。。。            
(3星)	 冲着丁一宇看的，剧情弱到爆。93年的tagi，丁大人真hold住了。PS：鸡蛋敲头那段笑shi我了...            
(3星)	 保罗好可爱            
(1星)	 要不是为了舒缓写论文时的焦躁心情，我怎么会看！！！！！！            
(3星)	 冲着演员看了两集，剧情太白，只适合小女生看的片。            
(2星)	 我觉得熬着看到第十集已经是极限了...弃剧弃剧。            
(3星)	 奔着丁一宇去的..但是说实话。。真的一般。。剧情一般。。。很有性格的剧倒是。            
(3星)	 哎。。。可惜了            
(3星)	None
(3星)	 说实话，有点傻。。。而且男女主角都长的不怎么样。。。哎。。。标准的狗血偶像剧。。。            
