http://movie.douban.com/subject/5288895/	欢喜婆婆俏媳妇
(3星)	 [13+郭少帅剪辑]“我不要你喜欢我，我只要你幸福”            
(3星)	 cheap            
(3星)	 真是替达明纠结。            
(3星)	 看着很欢乐～            
(1星)	 二的一塌糊涂，于妈平庸的真出神入化。看了一米米没有看下去。            
(3星)	 这帮人怎么不在TVB捞钱了？ 苑姐，就是耐你啊.....            
(3星)	 编剧还是不错的 故事多多 比较紧凑 不拖沓 最后似乎是个开放性结局 妖孽又来了 茶余饭后 看看也不错             
(NA)	 有乐啊有乐            
(4星)	 这结局实在是。。。。。。            
(3星)	 全部人都不在TVB捞了. 刘恺威是可人儿哇哈哈            
(5星)	 很不错            
