http://movie.douban.com/subject/2253756/	凤凰四重奏 鳳凰四重奏
(NA)	 挺不錯的            
(NA)	 第四部最好看            
(4星)	 对马德钟完全无语            
(NA)	 未看完            
(3星)	 有些挺好玩的。            
(3星)	 没看完，好几个年代故事单薄了点。            
(5星)	 较特别            
(NA)	 你要记住啊　能够遇到自己喜欢的人　是一件最幸福的事　所以你一定要好好珍惜　无论遇到什么问题　都不要轻易放弃　只要你爱他　就什么问题都可以解决　            
(4星)	 第三个故事不错            
(4星)	 陈键锋是坏人。。。            
(5星)	 LOVE            
(NA)	 没话讲,            
(4星)	 女人从依附于男人到自立坚强的漫长岁月，注定了，今天的路不好走，可是，总有不一般的女人可以走下去。            
(3星)	 喜欢戴立仁和子君~            
(5星)	 SS得奖的剧 一定要支持 虽然剧情真的很一般            
(5星)	 很喜欢很好看啊~~~~~~~~~！一下子演4辈子，曾外婆，外婆，妈妈，自己最喜欢妈妈，女强人~制老公有方针哈哈            
(4星)	 阿佘的四个年代中的现代版最喜欢！！爱死戴思嘉这样的女生。她跟陈键锋演的GAY姐妹情好好啊~            
(4星)	 好几年没看TVB了，在电视上随便跟了两集，那时是第四代，都快结尾了。找来自己看，看到第三代结束。最喜欢第一代，双方都难得的好，没把主仆爱演俗，还给后边每一代留下宿命的感觉。第二代的男的是我害怕的类型所以免谈。第三代女的一开始都很好都绝种了的，可惜后来自以为是（她老公大男人，但很正直很爱她）。最后一代只看了两方爱情高潮到分手= =|||，不好评价。总之第一个故事很感人，为了它咱把一切细节差错给忍了...PS:演员很强，推荐            
(4星)	 和老妈一起看的。。。            
(3星)	 阿佘还不错            
(4星)	 最喜欢最后一代。中间那个家庭妇女成功记也很搞笑。就是这部剧开始喜欢上我们苗苗的啊。            
(3星)	 阿佘、老马演技不错的说！            
(NA)	 懒得评价~            
(4星)	 我爱马德钟～～～            
(5星)	 只看了第四部            
(3星)	 看过第四部分            
(5星)	 喜欢的，有着点共鸣，好看的。。。            
(4星)	 喜欢最后一个故事。            
(3星)	 记忆深刻的还是头两个故事。后面两个看了都要不记得了。            
(3星)	 呀~~~~阿佘的咯~~~ 怎么可以把他们忘记呢~~            
(3星)	 第3代人的剧情最无聊            
(5星)	 貌似只能说看过四和一。而且是先看的四。发现苗苗在里边的造型是最帅的。尚一吉。            
(5星)	 完完全全展現了佘詩曼的實力和魅力。因為這部劇喜歡上了阿佘。            
(3星)	 佘诗曼无爱..            
(NA)	 婉玲介绍的片子            
(NA)	 四代女人的爱情观            
(NA)	 好爱马德钟            
(4星)	 陈键锋其实是这部戏中最出色，一头一尾两个故事，两种完全不同的人，演绎得掐到好处，佘诗曼演技终于成熟，叙事结构属于近年突破作品。            
(4星)	 讲了四个时代的故事，其实都是一个家族的四代啦，但是由同样两个人佘诗曼和马德钟全部演绎一遍，每个故事的基调和人物性格都不同，所以还是很有看头的。那四个时代都是很有代表性的，他们每次也都在一起了，蛮好看的，故事编的挺有新意的。            
(NA)	 就看了现代的部分            
(3星)	 偶然看到的 满好看的            
(3星)	 我能说有点傻吗            
(NA)	 喜欢你佘诗曼            
(NA)	 其实马德钟多帅的。。。            
(5星)	 喜欢佘佘~~~            
(NA)	 只有1很好看            
(NA)	 搞笑的故事情节            
(NA)	 呵呵，苗，我开始着迷于这个人，因为主唱大人            
(3星)	 凤凰四重奏 佘诗曼            
(4星)	 第三段很鬼死搞笑.            
(4星)	 佘诗曼演技不错……            
(3星)	 能否换个女主角。。。= =            
(4星)	 啊呀呀，佘佘一人饰四角            
(4星)	 还不错,喜欢第四部            
(4星)	 超搞笑的...            
(4星)	 还是不错的            
(4星)	 ssm 在第四部演现代的没前三代演的舒服，怎么又是“电影”？            
(4星)	 一个家族四个女人在不同年代奋斗的故事，主要还是想表现对于感情的态度,看的时候对男女主角都很喜欢。盲婚哑嫁-新思潮影响下的私奔-男女地位的逐渐平等-21世纪女性的爱情观，游戏人生抑或是对于婚姻的恐惧，有时代特征。            
(4星)	 佘诗曼与马德钟共同演绎了四代不同的角色，不同时代不同的人生，但唯一相同的是他们共同维持了凤凰楼。看完这部电视剧我越来越喜欢上佘诗曼了。            
(4星)	 越来越喜欢佘诗曼了            
(3星)	 佘诗曼在里面怎么那么丑？？？古装的演的真差，现代的还好点！            
(5星)	 超级喜欢这个第四奏～～太好看了            
(5星)	 看着有点断续，8古的确好看很新            
(4星)	 挺不错的，特别是Part4.            
(3星)	 喜欢陈键锋~！            
(4星)	 凭此剧拿下视后，佘诗曼当之无愧。            
(NA)	 不愧是得奖的剧，很值得回味~            
(3星)	 佘诗曼里面很漂亮,马德钟现代的样子比较帅             
(NA)	 四代人。            
(4星)	 阿佘，我欢喜饿            
(3星)	 不喜欢男主角。。。。            
(3星)	 四代女子的故事。我最喜欢第四代戴思嘉的。佘诗曼演的很好。            
(4星)	 中规中矩。            
(4星)	 不喜欢第二个故事，后面两部还不错。第三部情节慢了点。            
(5星)	 正o野            
(4星)	 佘诗曼演技不是盖的丫~~            
(4星)	 马德钟响入面四个角色都好过瘾啊！            
(5星)	 颇有思想见地，编剧下足了功夫！            
(3星)	 名字很好听 佘诗曼演技的大突破            
(4星)	 这部戏分了四段，男女主角各演四个不同年代的角色。后面两段比前两段要好看。除了造型不错，人也演得好。起初觉得佘诗曼跟马德钟都不衬的，一个那么神高马大，一个那么娇小。看完以后，还是那么喜欢佘诗曼，成功地演出了四个女人的不同，毫不造作。只是她入行也这么些年了，看得出她的演技娴熟了许多，已经知道和拥有一套特定的手法了，但并不过分或沉闷，也不会十分“在预料之中”, 而是恰到好处。可能是因为拍戏辛苦吧，瘦了不少。我不觉得她是故意减肥，因为她刚出道不久时(“刑事侦缉档案4”和“七姐妹”时期)，身材还更好，比较丰满和有肉            
(NA)	 阿吉阿吉！！            
(3星)	 一般消遣的电视剧。            
(3星)	 在里面让我学到一句李白的诗句：弃我去者,昨日之日不可留， 乱我心者.今日之日多烦忧。其实这部我现在还正在看，还没过半。我财应该是讲佘诗曼和马德钟的4段宿世姻缘。很感人的...            
(4星)	 啧系其实我唔中意个结局但真系第三部好Q好Q好Q好Q好睇啊顶            
(5星)	 阿佘的经典！！            
(4星)	 [补]。当时觉得编剧很牛            
(4星)	 好喜欢的剧啊，佘诗曼太美了。            
(2星)	 好吧。创意，主旨和新意都不错，但是越到后面越无聊，还是一重奏好看些。由于要表现不同时代的女性爱情观，所以拍到后面就有点混乱和拖沓。            
(3星)	 不怎麼專心的看完，马德钟總能讓我順利分心            
(5星)	 觉得还不错，四段故事            
(4星)	 最喜欢有口音的那代，Jenny什么的            
(4星)	 我还挺爱看的。            
(4星)	 只爱看第四部，哈哈，阿佘最棒~            
(4星)	 很久以前看过，印象已经不深刻了，有机会重温            
(3星)	 四个剧情最喜欢最后一个            
(3星)	 四代女人对爱情不同的态度            
(NA)	 10年的暑假有段时间天天晚上12点开电视看 结果还是没看完= =             
(5星)	 好看啊！            
(4星)	 最喜欢看第三段戴立仁，那一段            
(4星)	 我终于明白洪武三十二里面为什么陈键锋和马德钟那么暧昧了 - - 原来渊源在这里            
(4星)	 四代美丽女人的故事             
(4星)	 这部剧让她得了视后 哈哈哈哈哈 加油            
(5星)	 第一个故事就把我看哭了，阿佘和马德钟的搭档比东山飘雨好看很多，这个故事的架构也不错，每个时代都有不同的主题~            
(4星)	 三苗在第四单元里的尚一吉真是萌            
(NA)	 喜欢以前年代的感觉~            
(3星)	 四段爱情不一样的人生！            
(3星)	 有点无厘头，不过缘定四生啊，还是有点感人的            
(5星)	 一人演四角真的不容易。            
(3星)	 看了第一段和第四段。            
(3星)	 挺好看的其实～马德钟演男主扣一颗星，佘诗曼还是演的不错的            
(5星)	 喜欢第一个故事。每一个都很有味道，第三个太搞笑了~            
(4星)	 就是这部剧，爱上陈键锋            
(4星)	 这个貌似是几个时代的~~            
(3星)	 一般般啦，不是我喜欢的类型            
(3星)	 实在是不喜欢马德钟没看下去。。            
(NA)	 完全是佘诗曼的上位之作，四个年代四种个性，大概演员都渴望眼这么个角色吧。第四世我最中意            
(4星)	 以前放的时候超爱的。。尤其是陈键锋。一和四里完全就是两种感觉啊。。            
(5星)	 对于阿佘，这是一个milestone。可惜三苗总是演小白脸！！！！Q皿Q！！！！            
(4星)	 佘诗曼还是蛮漂亮的            
(4星)	 看得几爽诶~            
(3星)	 两天通宵看完的，那时候还没那么喜欢苗苗，现在想想第四段里那个gay蜜还挺搞            
(NA)	 還是愛佘詩曼的時代~            
(5星)	 一人分饰四角，是需要演技的。（双料视后）            
(5星)	 佘诗曼拿视后的剧!一人分饰四角!!死未?!            
(3星)	 冲着阿佘去的            
(4星)	 喜欢佘诗曼呀~            
(2星)	None
(NA)	 这部戏开始接受佘诗曼的长相            
(4星)	 欧漏!!!!!当年很爱这片子有没有!!!!!!!片头的话太励志了!!!!!但就是到现在还没遇到那个人啊!!!!!!!            
(NA)	 (*^__^*) 嘻嘻……            
(5星)	 觉得这部很好看啊。四个故事。佘诗曼演四个角色游刃有余却各有个性。最后的Happy ending总算弥补了前面的不足。            
(4星)	 4个时代啊！            
(3星)	 那时候佘诗曼还是当红小花旦呢 。            
(5星)	 看了好几遍            
(4星)	 很早就看过的剧 记得但是最喜欢的是古装的时候            
(4星)	 不错嘛~佘诗曼和马德钟很有爱            
(NA)	 为了陈键锋我忍了多少剧。。。。            
(5星)	 阿佘就是这样一人分饰四角~~            
(5星)	 精彩 每个人物性格都不同 阿佘演得很好            
(4星)	 喜欢第三重奏            
(5星)	 最喜欢第三部分了，超可爱的~~~            
(3星)	 只看了最后一个现代的故事            
(5星)	 阿佘～～爱她！            
(3星)	 很有趣的剧。讲了四代人的爱情故事，很好看~~            
(4星)	 蛮喜欢构想的            
(4星)	 很小的时候看过只记得第三段好搞笑啊            
(5星)	 有点亦舒《如果墙会说话》噶味道...感觉被低估了....            
(4星)	 还是挺不错的             
(3星)	 就为了陈键锋看了一点儿 三苗不错 哈哈哈            
(4星)	 马德钟加一星            
(5星)	 ohyeah陈键锋~！            
(5星)	 超爱阿佘。。。            
(5星)	 当时超迷恋阿佘...            
(NA)	 其实很不喜欢马德钟。。。            
(4星)	 这个跨度挺大的~好像是献礼片            
(2星)	 四个故事都挺莫名的。            
(4星)	 凑合……            
(4星)	 30集四个年代故事 每一代故事都处理都不算精细 不过也因为这样节奏快观众来不及厌烦 反而会余味悠长 编剧刻意要突出每个年代女人的爱情观 因为篇幅的原因每个故事都些说教式的台词来强调。佘跟马都演得不错，四个不同男女角色切换的很好。非常喜欢第四个故事，很让人花痴。            
(3星)	 时代改变很有趣。过去在大学里没事干就看港台肥皂剧…            
(4星)	 最爱第二与第四！            
(3星)	 除了第一个比较好以外，其他几个一般            
(4星)	 这本开始喜欢佘诗曼。            
(4星)	 最后一代。。。三苗你是来搞笑的么，你居然爱上了马德钟ORZ。。。            
(4星)	 还行啦            
(NA)	 没看全~            
(4星)	 如果喜欢一个人，就一定要好好珍惜，只要你爱他，就什么问题都可以解决            
(3星)	 一对穿越时光的男女。。。            
(4星)	 算是比较惊喜的了            
(4星)	None
(5星)	 爱情不变 我们始终被连在一起 不管多远多久            
(NA)	 无语。            
(3星)	 老实说，这样的剧拿视后真的很神奇。            
(5星)	 挺爱看这个剧的。。            
(NA)	 这种四代不渝的爱情让我无法抵抗。但是马德钟……实在无爱。但是超喜欢现代故事里面他演的那种男人。片头片尾曲都是阿佘唱的，非常契合主题，很感人。是一部有点立意的戏，四代女人不同的命运和挣扎。            
(5星)	 经典 ，精彩            
(5星)	 看这部戏开始喜欢的陈键锋            
(4星)	 4个不同时代的爱情故事，最后一个挺好玩的，第一个真心悲剧，但很符合那时代的背景            
(3星)	 一般般，三苗那段基情很揪心呢            
(3星)	 情节很吸引。            
(2星)	 四个时代四段爱情...总觉得这种题材小女子了点。            
(5星)	 三苗演gay啊            
(NA)	 点点xx            
(3星)	 没认真看完。            
(3星)	 ······            
(3星)	 演技很不错~            
(4星)	 最喜欢第四个故事，因为这世界，谁离开谁都能活。如果自己不爱惜自己，怎么会有人爱惜自己呢？            
(3星)	 编剧不错，蛮有新意的~~四代人不同的婚姻观，虽然第四个故事夸张了点~~            
(NA)	 没看完            
(3星)	 虽然很讨厌佘大妈 但是这部剧还不错 冲苗苗去看的 特别喜欢最后一个故事，，            
(5星)	 很喜欢男主角~故事也不错~            
(4星)	 当时觉得年代穿插有吸引到我            
(5星)	 还不错~ 睿智的女人~ 欣赏~             
(4星)	 喜欢一三重奏的故事，喜欢那个晶莹剔透的菊花糕            
(4星)	 女人励志剧！            
(3星)	 傻了吧唧的            
(NA)	 离奇的故事，我还是喜欢第四部里面的男主角，很有范的感觉，他们爱的很洒脱，我觉得他们是会结婚的。之前几部女性都太顺从丈夫了，所以并不认同。            
(3星)	 除了佘诗曼，其他我都很喜欢，还是喜欢第三个故事，虽然造型很雷人。            
(4星)	 港剧神马的最给力了。            
(4星)	 看了这剧居然开始喜欢马德钟。。那小表情果然。。            
(4星)	 啃不动了。。            
(3星)	 两个假期，各用一天搞定两遍。为什么我觉得一点也不恐怖 / 悬疑 / 犯罪            
(NA)	 一饰四角，演技过硬。            
(3星)	 第三段还比较搞笑 其他都一般般啦            
(4星)	 这个所谓的四重奏果然是有意思的。            
(3星)	 =-=            
(3星)	 当年纯粹为了阿佘看的……            
(3星)	 佘大妈一出来我就不开心            
(4星)	 思嘉！！！ 小真。            
(NA)	 这很明显是抄张艺谋的《活着》香港电视剧最有本事的一点~！就是各种仿~！仿得有自己的特色~！前边看看的都无语了，有点改变也行啊 ~！            
(4星)	 只喜欢最后一重装。            
(4星)	 偶然间翻出来看的，没想到还不错，尤其喜欢最后一个故事            
(4星)	 为了女主演扣一颗星~            
(5星)	 很经典            
(4星)	 以前一直不喜欢马德钟...现在依然不喜欢他的外形，不过开始慢慢喜欢上他这个人了~剧集的片头曲真的很感人！被陈键锋当掉的玉筷子在结局又被陈键锋赢回来，结局还不错。            
(NA)	 蛮喜欢看这种类型的片~            
(3星)	 好像有看过吧，佘美人的我好像没看过的少。            
(3星)	 爱现代的部分            
(4星)	 我极度讨厌马德钟。。。            
(5星)	 特别喜欢的一部片子，尤其是三奏和四奏。真实的反映了每一个时代。            
(3星)	 喜欢那个结尾。其余的。唉，佘姐姐的表演就不加评述了。            
(3星)	 马德钟老了            
(3星)	 我都唔想。。            
(3星)	 四段前两段有点傻，大概就是讲从古到今女人在社会的地位云云。。。。陈键锋在第四段演小GUY，挺好玩！~            
(3星)	 只看了最后的四分一，不懂结局的意思。            
(NA)	 喜欢最后那个故事，那类型的男人。            
(4星)	 tvb 捧ss之心～            
(3星)	 实在不喜欢马德钟            
(NA)	 有种爱叫等待            
(5星)	 挺搞笑的            
(4星)	 没有完整的看 可是 感觉 思路不错~            
(4星)	 佘诗曼在里面太漂亮了！！！            
(4星)	 老片的编剧是在用心做的            
(4星)	 这个故事很有创意。            
(5星)	 挺喜欢看的。。            
(5星)	 哈哈 时间的穿越 很喜欢这种感觉是我比较喜欢的港剧之一喽            
(4星)	 苗苗~            
(2星)	 马德钟真的不行啊            
(NA)	 不知道怎么得的最佳女演员，难道就因为一人饰四角儿？            
(4星)	 对阿佘冇咩太大噶感觉，不过一人分饰四角，唔容易啊……虽然我觉得马德钟演得好过她……            
(5星)	 五星难给，今天也得给了，很喜欢佘诗曼，对马德钟没感觉，但是这部戏的第四重奏就觉得马德钟也有王子形象，觉得很好看，尤爱三和四            
(3星)	 不过不失。但佘凭这部剧打败火舞黄沙的计明凤拿下最佳女主的确不够不让人看得爽。可惜那年的玉莹小主众望所归，尔淳也只能延续电视里的礼让精神。            
(5星)	 我不知道哪里好看 但是第四个故事让人温暖            
(5星)	 很不错。。两个人演绎四个年代四段纠缠不清的感情。。            
(5星)	 四部都那么喜欢，大爱阿佘，喜欢她的笑声和声音！            
(4星)	 果然系佘詩曼既一大突破。。幾好睇。。結局好雷人。。            
(NA)	 让我认识不同的啊佘            
(4星)	 我很爱看            
(5星)	 当初很喜欢的            
(4星)	 一直都很喜欢啊佘~~这样经久不衰的爱情真让人羡慕            
(5星)	 喜欢佘诗曼            
(5星)	 单从演技来说，阿佘很强            
(5星)	 四代美丽女人 看到啊佘在微博上叫马德钟“立仁” 太可爱了！            
(4星)	 看不下去            
(4星)	 这部港剧感觉有点像《最好的时光》。四代美丽女人的故事，很想成为汪子君。            
(4星)	 很轻松地看下来，还是不错，最后一部的时候真是喜欢上了马德钟和佘诗曼的组合，马德钟在这个时代下这个背景下很帅嘛            
(3星)	 还是蛮喜欢佘诗曼的……            
(2星)	 不喜欢.            
(5星)	 我觉得还蛮有意思的。            
(3星)	 剧情感觉很棒 每个时代很有跨越感~但是不觉得佘诗曼演得有多好 讲话语调都不变的            
(3星)	 马德钟啊。。。            
(2星)	 没看全            
(3星)	 看了一奏清末吧            
(NA)	 尚一吉，为神马你是个同性恋。            
(3星)	 挺有新意的，四个年代的戏，喜欢思嘉这个角色。。            
(4星)	 其实我一直觉得阿佘不错            
(4星)	 因为这部对佘诗曼改观            
(4星)	 第三奏的剧情很搞笑。            
(NA)	 十二少 *~* 怨念            
(5星)	 有种不一样的感觉            
(5星)	 时代            
(3星)	 貌似每天吃吃晚饭的时候看的=。=            
(3星)	 最爱第4段的苗苗～gay本色出演呢～～～哈哈哈哈            
(3星)	 撤换男一号啊。。。            
(2星)	 阿佘的視後之作 馬德鐘很礙眼。            
(4星)	 很新颖 喜欢            
(NA)	 逐渐觉得阿佘很漂亮。            
(4星)	 我最爱第四个的K.O！！            
(3星)	 总觉得是部奇奇怪怪的剧~            
(4星)	 感觉还是不错的，三生三世的感情故事，喜欢马德钟。            
(5星)	 这部对马德钟有所改观了。更喜欢阿佘了。最喜欢第2部。几多感人，几多收获。            
(4星)	 概念很好，四代都很经典，每一代都短小精悍，这样的篇幅很不错~~            
(NA)	 喜欢第三节            
(3星)	 为了看那个。。三苗版的GAY= =            
(4星)	 阿苗很正。            
(4星)	 很新的题材和形式 最喜欢第四世 最最喜欢苗苗的gay- -            
(4星)	 从清朝一直讲到现在，讲述了四个不同时期的女人的爱情观和价值观。每一段爱情都有那个时代的烙印，希望无论那个时代的女人都能最终找到自己的幸福            
(4星)	 全寝室通宵看完的剧，想到挺温暖            
(4星)	 佘诗曼……            
(4星)	 “你要记住,能够遇上自己喜欢的人,是一件最幸福的事,所以你一定要好好珍惜,无论遇到什么问题,都不要轻易放弃,只要你爱他就什么问题都可以解决”             
(4星)	 佘詩曼所有角色唯一喜歡的就是戴思嘉，因爲沾了KO的光唄！            
(4星)	 形式蛮新颖的~有点夸张~            
(NA)	 佘诗曼是我喜欢的演员            
(NA)	 喜欢马德钟，这部戏跨越4各朝代，演员刻画的非常好，TVB的演员就是不一样。            
(NA)	 好奇怪·······            
(3星)	 还蛮搞笑的，内容也很好            
(3星)	 覺得係專門捧阿佘嘅劇囖……一齣戲夸四個時代……幾特別            
(3星)	 跨越时空的爱恋             
(4星)	 四个不同时代的女子的爱情及婚姻。第三段比较无语。            
(3星)	 其实也不难看啦，况且我还是满喜欢佘的            
(4星)	 陈键锋好帅啊这里~            
(3星)	 13集之前的部分古装很好看  后面比较俗 没兴趣看下去了            
(3星)	 苗苗的小gay萌飞~            
(NA)	 不错            
(4星)	 第三重奏感觉很有趣。第四重奏剧情虽然是电视剧式，但也有点儿反映出现代的爱情，还有啊吉的角色设计得有点妙。   佘诗曼 蛮漂亮的            
(3星)	 又是电视里一直放的  马马虎虎  如果男女主换人就好了            
(4星)	 只看了最后一部分。            
(5星)	 看了之后很喜欢 佘诗曼 小姐啊            
(4星)	 有点意思，可以看看···不过不太喜欢马德钟，这个剧里还好吧            
(NA)	 嘻嘻。。很喜欢佘诗曼。。纯支持。。            
(3星)	 觉得一般吧，四个故事，四段人生            
(NA)	 《凤凰四重奏》片尾曲《禁恋》“明知双方即使爱恋，都有理性教苦缠”一直蔓延的掌纹是执着的结果？            
(3星)	 还是现代剧拍的好些。            
(4星)	 这部剧彻底改变了我对佘的看法·~~以前觉得她鼻子那长得有点像某种动物，从这块儿开始关注一下她的演技~还有她下巴上的小疤~最后一个部分强力推荐~还带男男呢~~哈哈~~~增色不少~苗儿的眼神儿亮起来的样子好可爱~~~            
(4星)	 四个故事还不错！！            
(5星)	 喜欢这种系列的，喜欢最后2个系列，很欢喜~            
(5星)	 佘诗曼的演技在这部戏里面真是完完全全的表现出来了，四种不同性格的人，不愧是用这部戏拿了当年TVB的大奖            
(NA)	 我纠缠你这辈子 下辈子 下下辈子……            
(NA)	 一吉~~~~            
(4星)	 喜欢第四重里的尚一吉！可爱到爆的苗宝宝~~~ss和马德钟分饰4角满有趣的            
(4星)	 还不错~            
(5星)	 演技派就是这样的。。。。，哈哈哈哈            
(3星)	 怎么看怎么不像2006年的片子            
(5星)	 个人很喜欢~~            
(3星)	 我觉得寂寞了~            
(3星)	 一如既往的TVB剧            
(3星)	 还好啦！            
(4星)	 很好的讲述了四个不同年代女的对爱情的态度            
(3星)	 前面还不错，后面有点傻            
(5星)	 一部剧描写四个时代的故事，挺有意思挺好看的            
(NA)	 最喜欢第四段~~            
(4星)	 很经典的电视剧。。。看的时候会想到自己。。。会想到命运。。。            
(2星)	 实在看不下去            
(3星)	 四个年代，有些乱            
(3星)	 有部分太神经了            
(5星)	 恰好是我钟爱的演员，不能不推。            
(5星)	 觉得故事写的还不错 佘诗曼演得四个女人都不错            
(5星)	 中意阿佘            
(5星)	 好东西要大家分享 这个可以看~            
