http://movie.douban.com/subject/3087440/	梧桐雨
(4星)	 爱shi男猪脚，受不了圣母女猪脚= =爱服装爱片尾曲，爱各种配角            
(4星)	 蛮喜欢邱心志和这种婚后恋爱题材的~哦呵呵            
(4星)	 有个人想我就好。            
(5星)	 其实连起来看这部剧很好看的 真的被那段爱情打动了 那时候觉得邱心志超帅！            
(3星)	 恩 徐路不错的            
(3星)	 我都不知道自己是什么时候看的了。。。            
(4星)	 傅淼~~            
(3星)	 我小时候，什么都看……            
(3星)	 和无盐女是姊妹篇好像            
(3星)	 冲着李宗翰看的，然后又喜欢了邱心志            
(4星)	 初中的美好回忆，于好友下课饭后自习的谈资            
(4星)	 这片子当时让我很痴迷。            
(4星)	 好听的歌~~            
(5星)	 非常好看!            
(4星)	 看在邱心志的份上给四星，确实不错。            
(3星)	 已经忘记什么情节，只记得整体色调不让人欢喜            
(3星)	 还好有潘虹的演技和气场。            
(5星)	 陪家里个老人看的，真不错            
(NA)	 这么多年了，想起来，我还是觉得，姐苏沈岩啊            
(4星)	 女主很灵，偶像            
(5星)	 喜欢沈岩的性格            
(3星)	 有个人想我就好            
(NA)	 徐路 当年真是仙女级别的啊。诶？？里面是不是有吴晓敏？            
(5星)	 犹记得沈岩身着月白色的长褂立在窗边。。。            
(NA)	 徐路相当美            
(4星)	 潘虹潘虹潘虹潘虹潘虹            
(3星)	 时至今日自己仍然爱看这种开始各自心有所属 从误解到深爱上对方的虐戏 最喜欢矛盾累计到极点然后一下释放 真相大白那一刻的震撼 我永远都吃这一套 没救了            
(4星)	 喜欢徐璐的表演            
(NA)	 徐路没红起来哎。            
(4星)	 当时周围的阿姨级别的女士们都看过的，跟着看过不少集。            
(NA)	 俩男主都喜欢，印象深刻的是女主曾经一段时间鼻子上顶了个大闷头            
(NA)	 最后也成绕指柔。            
(4星)	 偷偷看            
(4星)	 民国戏之一，追着电视看的            
(3星)	 喜欢邱心志来着~            
(3星)	 很吵            
(3星)	 有屋子避雨的人 当然不知道雨水有多凉 黄河再深 都是有底的 可是人心呢。这么多年过去了 还记得这两句哈哈            
(3星)	 很久很久以前看的了。。。。            
(5星)	 李宗翰代表作！            
(NA)	 想当初是冲着张信哲的主题曲看的            
(3星)	 主角的成名作            
(3星)	 finish in one day!kan de you dian e xin le ...            
(5星)	 其实这是我小时候最爱的电视剧            
(3星)	 要不是你昨天提起都忘了当年还看过：P            
(3星)	 看了几集            
(3星)	 当初看就觉得李宗翰很帅的~~            
(4星)	 很喜欢邱心志和徐路            
(NA)	 又是跟着妈妈一起看的~~            
(3星)	 儿时跟随三姑六婆盯着电视的模糊记忆            
(3星)	 N久以前看過的            
(3星)	 给我留下的印象就是囧            
(4星)	 记忆深刻            
(4星)	 喜欢邱心志。。            
(3星)	 小学时候看的 无比纠结            
(5星)	 可喜欢。。。            
(3星)	 少爷的傻样非常动人            
(3星)	 又是一压抑片            
(3星)	 陪着奶奶看的            
(2星)	 我只能说我没想到我连这戏都看过。当时觉得徐路挺美滴。            
(4星)	 邱心志和潘虹有搭档            
(3星)	 觉得很诡异~大宅的冤魂啊~            
(5星)	 梧桐更兼细雨~蛮喜欢的~虽然折腾了些            
(5星)	 影响我很深的一部作品            
(3星)	 喜欢邱心志            
(3星)	 张信哲的片尾曲----有个人想我就好            
(5星)	 很好看。            
(3星)	 邱心志这男人。。。温油啊~~~            
(4星)	 主题歌是张信哲的，好听。我还喜欢那个玉兰花的坠子。            
(4星)	 很喜欢邱心志的角色，好丈夫呀~~            
(4星)	 沈岩演的真的很不错。            
(5星)	 我个人很喜欢的一部电视剧，很有味道！            
(3星)	 我娘亲说张信哲的声音是女声= =            
(3星)	 邱心志！！！            
(NA)	 片尾曲            
(5星)	 很喜欢剧中的感觉 加上阿哲的歌声 好剧\(^o^)/~            
(3星)	 那时的民国剧还不像现在这般泛滥，俊兰的清新智慧，沈家少爷的温文尔雅，家树的痴情，还是可以轻易带人入戏的。            
(4星)	 主角配角又是实力派又是偶像派，爱            
(3星)	 一个家族一些女人一棵梧桐……好像是很久以前的电视剧了，翻出来看了潘虹真是把那种感觉演出来了~~~女人啊            
(1星)	 三年级生病在家每个台不是检修就是广告实在没得看的时候看的完全不记得剧情只记得片名的片。            
(4星)	 也许口味淡，不过是我的菜。梧桐雨……            
(3星)	 徐路的旗袍扮相不太好看 邱心志不喜欢            
(4星)	 徐路这个扮相很美            
(5星)	 细腻，没有看过这样细腻的一个电视剧了。如果看感情戏，当数此。比较起来觉得那些所谓的肥皂剧都望尘莫及。            
(3星)	 似乎看过            
(4星)	 虽然没看得很完整……不过感觉很好，而且片头乃神曲(XD)！            
(5星)	 很有那年代的感觉~            
(3星)	 很被潘虹感动的片子            
(3星)	 还是妈妈愿意看的~貌似姥姥姥爷也很喜欢……            
(5星)	 很喜欢阿哲唱的主题歌呢~            
(NA)	 邱心志 潘虹 李宗翰 徐路             
(NA)	 高中因为学习关系，断断续续的看了点。等到现在大学毕业了才想起回看。            
(4星)	 喜欢男女主~            
